,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-12,890.00M,,,,,93.00M,93.00M,-34.00M,,79.00M,,90.00M,-101.00M,-98.00M,407.00M,,,-229.00M,-21.00M,1.097B,,-93.00M,-52.00M,,2.00M,222.00M,7.00M,138.00M,,,,,,-793.00M,-793.00M,-179.00M,-179.00M,2.00M,-65.00M,700.00M,,3.877B,1.935B,-65.00M,5.747B,,,,,-793.00M,,AOR,Restated
2015-09,977.00M,,,,,94.00M,94.00M,17.00M,,24.00M,,258.00M,372.00M,-182.00M,-411.00M,,,123.00M,-98.00M,1.272B,,-106.00M,-69.00M,,0.00,483.00M,-8.00M,369.00M,,,,,,-930.00M,-930.00M,-181.00M,-181.00M,4.00M,7.00M,-1.10B,,3.361B,541.00M,-25.00M,3.877B,,,,,-930.00M,,AOR,Restated
2015-06,921.00M,,,,,92.00M,92.00M,-36.00M,,30.00M,,188.00M,-203.00M,-465.00M,224.00M,,,70.00M,-374.00M,821.00M,,-86.00M,-25.00M,,-572.00M,-54.00M,9.00M,-703.00M,,,,,,-848.00M,-848.00M,-183.00M,-183.00M,11.00M,4.00M,-1.016B,,4.207B,-898.00M,52.00M,3.361B,,,,,-848.00M,,AOR,Restated
2015-03,1.02B,,,,,87.00M,87.00M,37.00M,,-53.00M,,147.00M,-201.00M,-57.00M,-95.00M,,,26.00M,-327.00M,911.00M,,-57.00M,-31.00M,,-12.00M,-441.00M,-9.00M,-519.00M,,,,,,-947.00M,-947.00M,-184.00M,-184.00M,10.00M,21.00M,-1.10B,,5.137B,-708.00M,-222.00M,4.207B,,,,,-947.00M,,AOR,Restated
2014-12,801.00M,,,,,84.00M,84.00M,-11.00M,,28.00M,,206.00M,35.00M,-706.00M,370.00M,,,-82.00M,-383.00M,725.00M,,-162.00M,-78.00M,,-189.00M,661.00M,-68.00M,242.00M,,43.00M,,43.00M,,-155.00M,-155.00M,-127.00M,-127.00M,5.00M,-10.00M,-244.00M,,4.462B,723.00M,-48.00M,5.137B,,,43.00M,,-155.00M,,AOR,Restated
2014-09,1.015B,,,,,83.00M,83.00M,-3.00M,,3.00M,,190.00M,98.00M,-167.00M,157.00M,,,9.00M,97.00M,1.385B,,-70.00M,-58.00M,,5.00M,949.00M,-4.00M,880.00M,,0.00,,0.00,,-404.00M,-404.00M,-128.00M,-128.00M,7.00M,15.00M,-510.00M,,2.878B,1.755B,-171.00M,4.462B,,,0.00,,-404.00M,,AOR,Restated
2014-06,931.00M,,,,,81.00M,81.00M,-10.00M,,28.00M,,181.00M,24.00M,-263.00M,-258.00M,,,15.00M,-482.00M,729.00M,,-53.00M,-14.00M,,-195.00M,-307.00M,-7.00M,-562.00M,,0.00,,0.00,,-1.158B,-1.158B,-129.00M,-129.00M,8.00M,-27.00M,-1.306B,,4.019B,-1.139B,-2.00M,2.878B,,,0.00,,-1.158B,,AOR,Restated
2014-03,870.00M,,,,,73.00M,73.00M,-67.00M,,-74.00M,,166.00M,-144.00M,-180.00M,-99.00M,,,23.00M,-400.00M,568.00M,,-49.00M,-25.00M,,-146.00M,147.00M,178.00M,130.00M,,1.487B,,1.487B,,-1.669B,-1.669B,-131.00M,-131.00M,8.00M,26.00M,-279.00M,,3.599B,419.00M,1.00M,4.019B,,,1.487B,,-1.669B,,AOR,Restated
2013-12,623.00M,,,,,71.00M,71.00M,-85.00M,,36.00M,,622.00M,18.00M,-554.00M,518.00M,,,-50.00M,-68.00M,1.199B,,-146.00M,-90.00M,,0.00,-89.00M,-4.00M,-239.00M,,35.00M,,35.00M,,-751.00M,-751.00M,-73.00M,-73.00M,4.00M,-7.00M,-792.00M,,3.413B,168.00M,18.00M,3.599B,,,35.00M,,-751.00M,,AOR,Restated
2013-09,879.00M,,,,,64.00M,64.00M,-2.00M,,28.00M,,19.00M,-667.00M,68.00M,894.00M,,,39.00M,334.00M,1.322B,,-50.00M,-17.00M,,0.00,184.00M,-17.00M,117.00M,,0.00,,0.00,,-345.00M,-345.00M,-72.00M,-72.00M,6.00M,-5.00M,-416.00M,,2.348B,1.023B,42.00M,3.413B,,,0.00,,-345.00M,,AOR,Restated
2013-06,848.00M,,,,,61.00M,61.00M,-27.00M,,22.00M,,13.00M,9.00M,-105.00M,-89.00M,,,10.00M,-175.00M,742.00M,,-61.00M,-28.00M,,0.00,289.00M,-3.00M,225.00M,,0.00,,0.00,,-581.00M,-581.00M,-73.00M,-73.00M,11.00M,5.00M,-638.00M,,1.984B,329.00M,35.00M,2.348B,,,0.00,,-581.00M,,AOR,Restated
2013-03,766.00M,,,,,62.00M,62.00M,-5.00M,,-23.00M,,16.00M,557.00M,-7.00M,-546.00M,,,52.00M,56.00M,872.00M,,-42.00M,-20.00M,,0.00,-65.00M,,-107.00M,,0.00,,0.00,,-766.00M,-766.00M,-37.00M,-37.00M,5.00M,15.00M,-783.00M,,2.052B,-18.00M,-50.00M,1.984B,,,0.00,,-766.00M,,AOR,Restated
2012-12,605.00M,,,,,62.00M,62.00M,281.00M,,21.00M,,537.00M,-428.00M,-451.00M,290.00M,,,-51.00M,-640.00M,866.00M,,-54.00M,-28.00M,,0.00,-323.00M,-850.00M,-1.227B,,,,,,-613.00M,-613.00M,-38.00M,-38.00M,3.00M,1.00M,-647.00M,,3.045B,-1.008B,15.00M,2.052B,,,,,-613.00M,,AOR,Restated
2012-09,772.00M,,,,,58.00M,58.00M,15.00M,,9.00M,,11.00M,-83.00M,18.00M,198.00M,,,16.00M,149.00M,1.014B,,-57.00M,-28.00M,,-70.00M,-794.00M,-1.00M,-922.00M,,,,,,-216.00M,-216.00M,-37.00M,-37.00M,10.00M,14.00M,-229.00M,,3.153B,-137.00M,29.00M,3.045B,,,,,-216.00M,,AOR,Restated
2012-06,700.00M,,,,,56.00M,56.00M,-41.00M,,23.00M,,15.00M,-259.00M,-87.00M,210.00M,,,24.00M,-112.00M,641.00M,,-56.00M,-28.00M,,,-332.00M,,-388.00M,,,,,,-671.00M,-671.00M,-38.00M,-38.00M,4.00M,3.00M,-702.00M,,3.684B,-449.00M,-82.00M,3.153B,,,,,-671.00M,,AOR,Restated
2012-03,682.00M,,,,,54.00M,54.00M,-14.00M,,-53.00M,,8.00M,-36.00M,-53.00M,-175.00M,,,14.00M,-250.00M,427.00M,,-51.00M,-12.00M,,,-251.00M,,-302.00M,,,,,,-248.00M,-248.00M,-19.00M,-19.00M,14.00M,33.00M,-220.00M,,3.734B,-95.00M,45.00M,3.684B,,,,,-248.00M,,AOR,Restated
2011-12,20.00M,,,,,52.00M,52.00M,-311.00M,,-18.00M,11.00M,43.00M,-160.00M,-12.00M,833.00M,,302.00M,24.00M,987.00M,784.00M,,-61.00M,-26.00M,65.00M,8.00M,-645.00M,5.00M,-693.00M,,21.00M,,21.00M,,-30.00M,-30.00M,,-19.00M,4.00M,-20.00M,-44.00M,,3.753B,47.00M,-66.00M,3.734B,,,,21.00M,-30.00M,,AOR,Restated
2011-09,716.00M,,,,,51.00M,51.00M,42.00M,,17.00M,-1.00M,-7.00M,-136.00M,112.00M,248.00M,,-2.00M,-33.00M,189.00M,1.007B,,-44.00M,-16.00M,-65.00M,-6.00M,200.00M,9.00M,159.00M,,0.00,,0.00,,-77.00M,-77.00M,,-19.00M,7.00M,1.00M,-88.00M,,2.764B,1.078B,-89.00M,3.753B,,,,0.00,-77.00M,,AOR,Restated
2011-06,608.00M,,,,,49.00M,49.00M,39.00M,,21.00M,-3.00M,7.00M,-100.00M,-133.00M,206.00M,,-150.00M,-6.00M,-183.00M,538.00M,,-47.00M,-25.00M,15.00M,-462.00M,160.00M,,-349.00M,,-21.00M,,-21.00M,,-387.00M,-387.00M,,-19.00M,6.00M,3.00M,-418.00M,,2.954B,-229.00M,39.00M,2.764B,,,,-21.00M,-387.00M,,AOR,Restated
2011-03,562.00M,,,,,42.00M,42.00M,55.00M,,15.00M,-7.00M,-26.00M,120.00M,60.00M,-383.00M,,-150.00M,67.00M,-286.00M,355.00M,,-25.00M,-10.00M,-15.00M,0.00,160.00M,,135.00M,,,,,,-654.00M,-654.00M,,-20.00M,2.00M,7.00M,-665.00M,,3.067B,-175.00M,62.00M,2.954B,,,,,-654.00M,,AOR,Restated
2010-12,415.00M,,,,,42.00M,42.00M,-36.00M,,-71.00M,85.00M,128.00M,-199.00M,-2.00M,478.00M,,455.00M,-625.00M,107.00M,670.00M,,-46.00M,-24.00M,68.00M,-486.00M,-51.00M,525.00M,-58.00M,,0.00,,0.00,,0.00,0.00,,-20.00M,1.00M,2.00M,-17.00M,,2.479B,595.00M,-7.00M,3.067B,,,,0.00,0.00,,AOR,Restated
2010-09,519.00M,,,,,36.00M,36.00M,48.00M,,18.00M,4.00M,10.00M,0.00,22.00M,63.00M,,-155.00M,24.00M,-46.00M,589.00M,,-40.00M,-12.00M,-28.00M,-9.00M,14.00M,-528.00M,-563.00M,,0.00,,0.00,,0.00,0.00,,-20.00M,1.00M,-4.00M,-23.00M,,2.323B,3.00M,153.00M,2.479B,,,,0.00,0.00,,AOR,
2010-06,458.00M,,,,,35.00M,35.00M,61.00M,,15.00M,2.00M,11.00M,-75.00M,-72.00M,82.00M,,-150.00M,-24.00M,-239.00M,343.00M,,-45.00M,-22.00M,-23.00M,-2.00M,50.00M,,3.00M,,0.00,,0.00,,0.00,0.00,,-19.00M,3.00M,-2.00M,-18.00M,,2.119B,328.00M,-124.00M,2.323B,,,,0.00,0.00,,AOR,Restated
2010-03,455.00M,,,,,35.00M,35.00M,49.00M,,16.00M,-91.00M,-108.00M,48.00M,4.00M,-191.00M,,-150.00M,28.00M,-261.00M,95.00M,,-20.00M,-3.00M,-17.00M,-1.00M,-2.00M,,-23.00M,,,,,,0.00,0.00,,-20.00M,6.00M,91.00M,77.00M,,2.055B,149.00M,-85.00M,2.119B,,,,,0.00,,AOR,Restated
2009-12,294.00M,,,,,38.00M,38.00M,133.00M,0.00,19.00M,-7.00M,15.00M,-81.00M,-55.00M,-786.00M,,,714.00M,-208.00M,284.00M,,-44.00M,-20.00M,-24.00M,-2.00M,-478.00M,0.00,-524.00M,,0.00,,0.00,,0.00,0.00,,-20.00M,3.00M,7.00M,-10.00M,,2.316B,-250.00M,-11.00M,2.055B,,,,,0.00,,AOR,Restated
2009-09,453.00M,,,,,36.00M,36.00M,120.00M,1.00M,28.00M,-6.00M,10.00M,256.00M,12.00M,-92.00M,,,-502.00M,-326.00M,316.00M,,-33.00M,-12.00M,-21.00M,-1.00M,-16.00M,-2.00M,-52.00M,,0.00,,0.00,,,,,-20.00M,4.00M,6.00M,-10.00M,,2.048B,254.00M,14.00M,2.316B,,,,,,,AOR,Restated
2009-06,349.00M,,,,,36.00M,36.00M,44.00M,0.00,26.00M,-18.00M,5.00M,-32.00M,-51.00M,89.00M,,,-86.00M,-80.00M,362.00M,,-35.00M,-13.00M,-22.00M,-15.00M,15.00M,-3.00M,-38.00M,,0.00,,0.00,,5.00M,5.00M,,-19.00M,1.00M,13.00M,0.00,,1.678B,324.00M,46.00M,2.048B,,,,149.00M,5.00M,,AOR,Restated
2009-03,367.00M,,,,,31.00M,31.00M,40.00M,15.00M,15.00M,-8.00M,17.00M,223.00M,-19.00M,-100.00M,,,-165.00M,-61.00M,416.00M,,-28.00M,-12.00M,-16.00M,-3.00M,-20.00M,1.00M,-50.00M,,-149.00M,,-149.00M,,-5.00M,-5.00M,,-20.00M,1.00M,8.00M,-165.00M,,1.505B,201.00M,-28.00M,1.678B,,,,-149.00M,-5.00M,,AOR,Restated
2008-12,239.44M,-85.90M,-9.482M,,,30.05M,30.05M,47.50M,12.52M,60.97M,-47.80M,37.42M,201.33M,5.027M,1.293B,-65.12M,16.53M,-2.339B,-887.98M,-517.36M,,-47.76M,46.89M,-94.65M,-81.73M,100.85M,-1.351M,-29.99M,,-80.00M,,0.00,-9.335M,0.00,-9.335M,,-19.68M,9.546M,-1.098M,-20.57M,,2.071B,-567.92M,1.619M,1.505B,,-9.335M,,-80.00M,0.00,,AOR,Restated
2008-09,-193.58M,,4.274M,,,28.74M,28.74M,42.47M,,,,43.22M,-308.34M,-64.33M,-31.60M,66.84M,-1.532B,2.332B,462.66M,387.78M,,-54.77M,-54.77M,,,41.50M,-2.932M,-16.20M,,,,0.00,4.679M,0.00,4.679M,,-19.70M,,5.072M,-9.947M,,1.769B,361.64M,-59.39M,2.071B,,4.679M,,,0.00,,,
2008-06,-746.65M,85.90M,5.208M,,,27.95M,27.95M,-541.94M,-7.309M,-11.05M,40.66M,-0.678M,-19.49M,-14.95M,42.06M,10.40M,1.515B,19.32M,1.553B,318.89M,,-36.02M,-55.30M,19.28M,,61.63M,0.195M,25.80M,,,,-80.00M,4.656M,-355.36M,-350.70M,,-19.84M,-1.671M,3.168M,-449.04M,,1.873B,-104.35M,1.012M,1.769B,,4.656M,,,-355.36M,,,
2008-03,446.88M,-85.90M,-85.90M,,,25.26M,25.26M,-31.98M,7.309M,11.05M,-40.66M,-55.23M,-4.492M,-26.60M,-42.33M,-9.561M,,30.17M,-52.82M,223.91M,,-31.73M,-12.45M,-19.28M,0.00,253.25M,0.514M,222.04M,,0.00,,0.00,,-294.11M,-294.11M,,-20.04M,1.671M,40.66M,-271.82M,,1.659B,174.13M,39.12M,1.873B,,,,0.00,-294.11M,,,Restated
2007-12,304.23M,,113.31M,,,26.15M,26.15M,2.678M,,,,-358.12M,-348.63M,12.80M,5.459M,5.811M,122.11M,166.40M,-36.05M,52.20M,,-44.76M,-44.76M,,,284.72M,-0.642M,239.32M,,,,,0.514M,-323.37M,-322.85M,,-20.20M,,7.832M,-335.22M,,1.687B,-43.70M,15.57M,1.659B,,0.514M,,,-323.37M,,,
2007-09,314.46M,,-102.81M,,,22.27M,22.27M,-6.613M,,,,21.27M,-88.51M,3.99M,7.205M,-5.501M,81.33M,24.41M,22.92M,271.50M,,-36.98M,-36.98M,,,205.98M,3.546M,172.55M,,,,,0.00,-277.16M,-277.16M,,-20.71M,,0.864M,-297.01M,,1.520B,147.04M,20.06M,1.687B,,0.00,,,-277.16M,,,
2007-06,252.28M,,2.224M,,,25.03M,25.03M,-21.00M,,,,16.21M,-24.39M,-4.953M,4.768M,6.137M,117.32M,1.565M,100.44M,375.19M,,-38.58M,-38.58M,,,-17.97M,3.928M,-52.62M,,,,,1.083M,,1.083M,,-20.94M,,2.973M,-16.89M,,1.210B,305.68M,4.823M,1.520B,,1.083M,,,,,,
2007-03,214.91M,,2.396M,,,24.19M,24.19M,19.44M,,,,7.893M,44.25M,-31.69M,-48.08M,-4.285M,-144.04M,-14.00M,-197.85M,70.97M,,-36.10M,-36.10M,,,-9.081M,1.077M,-44.11M,,,,,,,,,-12.16M,,3.761M,-8.396M,,1.185B,18.47M,6.268M,1.210B,,,,,,,,
2006-12,40.90M,,2.306M,,,24.73M,24.73M,13.30M,,,,5.809M,-3.009M,24.48M,83.69M,-60.26M,202.00M,-130.57M,116.33M,203.38M,,-31.53M,-31.53M,,,-405.69M,0.513M,-436.70M,,,,,0.00,0.00,0.00,,,,,-12.37M,,1.421B,-245.70M,9.64M,1.185B,,0.00,,,0.00,,,
2006-09,193.00M,,-391.88M,,,25.14M,25.14M,26.33M,,,,400.90M,-16.18M,32.44M,-10.12M,3.162M,-3.911M,4.315M,9.705M,263.20M,,-31.38M,-31.38M,,,-25.67M,0.522M,-56.52M,,,,,0.00,0.00,0.00,,,,,0.00,,1.210B,206.68M,4.606M,1.421B,,0.00,,,0.00,,,
2006-06,-310.46M,,396.18M,-10.65M,-14.57M,24.69M,24.69M,-14.09M,,,,7.253M,-100.24M,9.782M,28.52M,-33.98M,132.00M,3.275M,39.37M,142.94M,,-25.93M,-25.93M,,,-64.56M,5.486M,-85.00M,,,,,2.450B,-1.800B,649.97M,,,,,649.97M,,494.79M,707.91M,7.151M,1.210B,,2.450B,,,-1.800B,,,
2006-03,126.74M,,3.138M,10.65M,14.57M,25.22M,25.22M,6.723M,,,,,26.00M,-24.08M,-12.71M,33.55M,-153.49M,9.541M,-121.19M,40.64M,,-5.625M,-5.625M,,,-85.48M,-6.889M,-97.99M,,,,,,,,,,,,0.00,,545.27M,-57.36M,6.875M,494.79M,,,,,,,,
2003-12,-67.13M,,,13.55M,17.44M,30.99M,30.99M,-25.83M,,,,1.40M,-38.60M,5.447M,779.26M,,,-712.43M,60.65M,0.079M,,-34.66M,-17.23M,49.79M,0.00,-11.96M,1.209M,-45.41M,,,0.00,0.00,,,,,,,,0.00,,414.64M,-45.33M,4.867M,374.17M,,,,,,,AOR,
2003-09,74.40M,,,12.76M,15.42M,28.18M,28.18M,-2.821M,,,,4.20M,-2.739M,-7.453M,59.72M,,,-10.40M,39.14M,143.10M,,-21.12M,-8.494M,-12.62M,0.00,-10.97M,-1.971M,-34.06M,,,0.00,0.00,,,,,,,,0.00,,305.01M,109.04M,0.59M,414.64M,,,,,,,AOR,Restated
