,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,4.565B,3.665B,797.00M,2.868B,205.00M,446.00M,651.00M,,,-225.00M,,48.00M,,-48.00M,,766.00M,2.102B,,48.00M,-48.00M,-132.00M,-48.00M,1.922B,353.00M,1.569B,,,1.569B,1.679B,2.085B,115.00M,1.97B,,1.50,,,1.606,1.50,,1.50,,,1.605,1.50,,1.043B,1.049B,0.25,,AOR,Restated
2018-03,4.322B,3.58B,752.00M,2.828B,197.00M,541.00M,738.00M,,,-117.00M,,43.00M,,-43.00M,,858.00M,1.97B,,43.00M,-43.00M,-124.00M,-43.00M,1.803B,311.00M,1.492B,,,1.492B,1.598B,1.966B,120.00M,1.846B,,1.42,,,1.521,1.42,,1.41,,,1.510,1.41,,1.051B,1.057B,0.25,,AOR,Restated
2017-12,4.179B,3.312B,726.00M,2.586B,184.00M,752.00M,936.00M,,,0.00,,41.00M,,-41.00M,,1.051B,1.535B,,41.00M,-41.00M,-10.00M,-41.00M,1.484B,1.257B,227.00M,,,227.00M,227.60M,1.641B,116.00M,1.525B,,0.21,,,0.2106,0.21,,0.21,,,0.2106,0.21,,1.055B,1.063B,0.25,,AOR,Restated
2017-09,4.121B,3.398B,723.00M,2.675B,203.00M,390.00M,593.00M,,,0.00,,35.00M,,-35.00M,,711.00M,1.964B,,35.00M,-35.00M,3.00M,-35.00M,1.932B,502.00M,1.43B,,,1.43B,1.436B,2.085B,118.00M,1.967B,,1.34,,,1.346,1.34,,1.34,,,1.346,1.34,,1.063B,1.068B,0.22,,AOR,Restated
2017-06,3.74B,3.053B,644.00M,2.409B,214.00M,398.00M,612.00M,,,,,39.00M,,-39.00M,,723.00M,1.686B,,39.00M,-39.00M,-19.00M,-39.00M,1.628B,451.00M,1.177B,,,1.177B,1.191B,1.778B,111.00M,1.667B,,1.10,,,1.113,1.10,,1.10,,,1.113,1.10,,1.070B,1.075B,0.22,,AOR,Restated
2017-03,3.452B,2.734B,594.00M,2.14B,170.00M,320.00M,490.00M,,,-15.00M,,39.00M,,-39.00M,,582.00M,1.558B,,39.00M,-39.00M,-41.00M,-39.00M,1.478B,397.00M,1.081B,,,1.081B,1.108B,1.609B,92.00M,1.517B,,1.00,,,1.025,1.00,,1.00,,,1.025,1.00,,1.078B,1.082B,0.22,,AOR,Restated
2016-12,3.402B,2.756B,579.00M,2.177B,195.00M,526.00M,721.00M,,,-10.00M,,30.00M,,-30.00M,,813.00M,1.364B,,30.00M,-30.00M,-23.00M,-30.00M,1.311B,378.00M,933.00M,,,933.00M,925.88M,1.433B,92.00M,1.341B,,0.86,,,0.8535,0.86,,0.86,,,0.8535,0.86,,1.089B,1.092B,0.22,,AOR,Restated
2016-09,3.485B,2.88B,575.00M,2.305B,184.00M,346.00M,530.00M,,,0.00,,23.00M,,-23.00M,,623.00M,1.682B,,23.00M,-23.00M,-26.00M,-23.00M,1.633B,449.00M,1.184B,,,1.184B,1.184B,1.749B,93.00M,1.656B,,1.08,,,1.08,1.08,,1.08,,,1.08,1.08,,1.096B,1.099B,0.19,,AOR,Restated
2016-06,3.247B,2.694B,551.00M,2.143B,184.00M,388.00M,572.00M,,,-107.00M,,22.00M,,-22.00M,,665.00M,1.478B,,22.00M,-22.00M,-91.00M,-22.00M,1.365B,382.00M,983.00M,,,983.00M,1.046B,1.48B,93.00M,1.387B,,0.89,,,0.9477,0.89,,0.89,,,0.9475,0.89,,1.098B,1.101B,0.19,,AOR,Restated
2016-03,2.446B,2.446B,520.00M,1.926B,135.00M,308.00M,443.00M,,,0.00,,20.00M,,-20.00M,,538.00M,1.388B,,20.00M,-20.00M,-31.00M,-20.00M,1.337B,378.00M,959.00M,,,959.00M,980.51M,1.452B,95.00M,1.357B,,0.86,,,0.8794,0.86,,0.86,,,0.8793,0.86,,1.109B,1.112B,0.19,,AOR,Restated
2015-12,3.059B,2.517B,565.00M,1.952B,319.00M,435.00M,754.00M,,,0.00,,12.00M,,-12.00M,,847.00M,1.105B,,12.00M,-12.00M,-68.00M,-12.00M,1.025B,135.00M,890.00M,,,890.00M,883.92M,1.13B,93.00M,1.037B,,0.79,,,0.7846,0.79,,0.79,,,0.7846,0.79,,1.128B,1.131B,0.19,,AOR,Restated
2015-09,3.048B,2.53B,584.00M,1.946B,184.00M,311.00M,495.00M,,,,,15.00M,,-15.00M,,589.00M,1.357B,,15.00M,-15.00M,10.00M,-15.00M,1.352B,375.00M,977.00M,,,977.00M,964.71M,1.461B,94.00M,1.367B,,0.86,,,0.8491,0.86,,0.86,,,0.8492,0.86,,1.130B,1.133B,0.16,,AOR,Restated
2015-06,2.856B,2.39B,488.00M,1.902B,176.00M,302.00M,478.00M,,,-61.00M,,17.00M,,-17.00M,,570.00M,1.332B,,17.00M,-17.00M,-74.00M,-17.00M,1.241B,320.00M,921.00M,,,921.00M,976.72M,1.35B,92.00M,1.258B,,0.81,,,0.8590,0.81,,0.81,,,0.8588,0.81,,1.138B,1.141B,0.16,,AOR,Restated
2015-03,2.23B,2.23B,468.00M,1.762B,142.00M,270.00M,412.00M,,,,,17.00M,,-17.00M,,499.00M,1.263B,,17.00M,-17.00M,94.00M,-17.00M,1.34B,320.00M,1.02B,,,1.02B,946.18M,1.444B,87.00M,1.357B,,0.89,,,0.8257,0.89,,0.89,,,0.8259,0.89,,1.148B,1.152B,0.16,,AOR,Restated
2014-12,2.411B,2.411B,618.00M,1.793B,337.00M,364.00M,701.00M,,,0.00,,16.00M,,-16.00M,,785.00M,1.008B,,16.00M,-16.00M,15.00M,-16.00M,1.007B,206.00M,801.00M,,,801.00M,787.48M,1.107B,84.00M,1.023B,,0.70,,,0.6883,0.70,,0.69,,,0.6783,0.69,,1.153B,1.160B,0.16,,AOR,Restated
2014-09,2.49B,2.49B,511.00M,1.979B,203.00M,291.00M,494.00M,,,0.00,,11.00M,,-11.00M,,577.00M,1.402B,,11.00M,-11.00M,27.00M,-11.00M,1.418B,403.00M,1.015B,,,1.015B,996.41M,1.512B,83.00M,1.429B,,0.88,,,0.8639,0.88,,0.87,,,0.8540,0.87,,1.157B,1.160B,0.11,,AOR,Restated
2014-06,2.368B,2.368B,485.00M,1.883B,173.00M,229.00M,402.00M,,,0.00,,15.00M,,-15.00M,,483.00M,1.40B,,15.00M,-15.00M,-12.00M,-15.00M,1.373B,442.00M,931.00M,,,931.00M,938.46M,1.469B,81.00M,1.388B,,0.80,,,0.8064,0.80,,0.80,,,0.8064,0.80,,1.165B,1.169B,0.11,,AOR,Restated
2014-03,2.172B,2.172B,450.00M,1.722B,149.00M,234.00M,383.00M,,,,,6.00M,,-6.00M,,456.00M,1.266B,,6.00M,-6.00M,21.00M,-6.00M,1.281B,411.00M,870.00M,,,870.00M,852.32M,1.36B,73.00M,1.287B,,0.73,,,0.7151,0.73,,0.73,,,0.7151,0.73,,1.185B,1.189B,0.11,,AOR,Restated
2013-12,2.092B,2.092B,452.00M,1.64B,321.00M,232.00M,553.00M,,,,,7.00M,,-7.00M,,624.00M,1.016B,,7.00M,-7.00M,-98.00M,-7.00M,911.00M,288.00M,623.00M,,,623.00M,618.21M,989.00M,71.00M,918.00M,,0.052,,,0.0480,0.052,,0.052,,,0.0480,0.052,,1.199B,1.203B,0.11,,AOR,Restated
2013-09,2.218B,2.218B,452.00M,1.766B,205.00M,235.00M,440.00M,,,,,,3.00M,3.00M,,504.00M,1.262B,3.00M,,3.00M,-11.00M,3.00M,1.254B,375.00M,879.00M,,,879.00M,881.10M,1.326B,64.00M,1.262B,,0.73,,,0.7317,0.73,,0.73,,,0.7317,0.73,,1.205B,1.209B,0.06,,AOR,Restated
2013-06,2.096B,2.096B,,,186.00M,621.00M,807.00M,,,,,5.00M,,-5.00M,,868.00M,1.228B,,5.00M,-5.00M,10.00M,-5.00M,1.233B,385.00M,848.00M,,,848.00M,840.43M,1.299B,61.00M,1.238B,,0.70,,,0.6938,0.70,,0.70,,,0.6938,0.70,,1.214B,1.217B,0.06,,AOR,Restated
2013-03,1.906B,1.906B,,,129.00M,608.00M,737.00M,,,,,5.00M,,-5.00M,,799.00M,1.107B,,5.00M,-5.00M,8.00M,-5.00M,1.102B,336.00M,766.00M,,,766.00M,760.44M,1.169B,62.00M,1.107B,,0.62,,,0.6155,0.62,,0.62,,,0.6155,0.62,,1.226B,1.230B,0.06,,AOR,Restated
2012-12,3.358B,1.895B,398.00M,1.497B,295.00M,234.00M,529.00M,,,0.00,,7.00M,,29.00M,,591.00M,906.00M,,7.00M,29.00M,-41.00M,29.00M,894.00M,289.00M,605.00M,,,605.00M,627.33M,963.00M,62.00M,901.00M,,0.488,,,0.5061,0.488,,0.486,,,0.5038,0.486,,1.232B,1.252B,0.03,,AOR,Restated
2012-09,1.918B,1.918B,402.00M,1.516B,176.00M,203.00M,379.00M,,,0.00,,4.00M,,-4.00M,,437.00M,1.079B,,4.00M,-4.00M,-9.00M,-4.00M,1.066B,294.00M,772.00M,,,772.00M,776.34M,1.128B,58.00M,1.07B,,0.619,,,0.6225,0.619,,0.617,,,0.6205,0.617,,1.250B,1.250B,0.03,,AOR,Restated
2012-06,1.82B,1.82B,,,179.00M,591.00M,770.00M,,,-20.00M,,3.00M,,-3.00M,,826.00M,994.00M,,3.00M,-3.00M,-18.00M,-3.00M,973.00M,273.00M,700.00M,,,700.00M,707.92M,1.032B,56.00M,976.00M,,0.556,,,0.5623,0.556,,0.555,,,0.5613,0.555,,1.260B,1.260B,0.03,,AOR,Restated
2012-03,1.758B,1.758B,,,125.00M,579.00M,704.00M,,,,,6.00M,,-6.00M,,758.00M,1.00B,,6.00M,-6.00M,6.00M,-6.00M,1.00B,318.00M,682.00M,,,682.00M,675.86M,1.06B,54.00M,1.006B,,0.538,,,0.5332,0.538,,0.536,,,0.5312,0.536,,1.270B,1.270B,0.03,,AOR,Restated
2011-12,2.873B,1.728B,1.453B,275.00M,319.00M,-843.00M,-524.00M,,,-783.00M,,7.00M,4.00M,-3.00M,,-472.00M,747.00M,4.00M,7.00M,-3.00M,-754.00M,-3.00M,-10.00M,-30.00M,20.00M,,,19.00M,527.95M,49.00M,52.00M,-3.00M,,0.015,0.00,,0.4139,0.015,,0.015,0.00,,0.4139,0.015,,1.276B,1.276B,0.015,,AOR,Restated
2011-09,1.818B,1.818B,,1.818B,200.00M,565.00M,765.00M,,,17.00M,0.00,6.00M,17.00M,11.00M,,816.00M,1.002B,17.00M,6.00M,11.00M,17.00M,11.00M,1.03B,314.00M,716.00M,,1.00M,717.00M,705.18M,1.087B,51.00M,1.036B,,0.565,0.00,,0.5557,0.565,,0.563,0.00,,0.5537,0.563,,1.270B,1.270B,0.015,,AOR,Restated
2011-06,1.667B,1.667B,,1.667B,193.00M,540.00M,733.00M,,,-2.00M,0.00,2.00M,11.00M,9.00M,,782.00M,885.00M,11.00M,2.00M,9.00M,-2.00M,9.00M,892.00M,284.00M,608.00M,,0.00,608.00M,609.36M,943.00M,49.00M,894.00M,,0.477,0.00,,0.4781,0.477,,0.476,0.00,,0.4771,0.476,,1.270B,1.280B,0.015,,AOR,Restated
2011-03,1.501B,1.501B,,1.501B,129.00M,494.00M,623.00M,,,-2.00M,,10.00M,12.00M,2.00M,,665.00M,836.00M,12.00M,10.00M,2.00M,-2.00M,2.00M,836.00M,274.00M,562.00M,,0.00,562.00M,563.34M,888.00M,42.00M,846.00M,,0.431,0.00,,0.4320,0.431,,0.429,0.00,,0.4300,0.429,,1.300B,1.310B,0.015,,AOR,Restated
2010-12,2.666B,1.438B,1.219B,219.00M,305.00M,-700.00M,-395.00M,,,-1.00M,,9.00M,14.00M,5.00M,,-353.00M,572.00M,14.00M,9.00M,5.00M,5.00M,5.00M,582.00M,167.00M,415.00M,,0.00,415.00M,415.71M,633.00M,42.00M,591.00M,,0.317,,,0.3175,0.317,,0.316,,,0.3165,0.316,,1.310B,1.310B,0.015,,AOR,Restated
2010-09,1.428B,1.428B,,1.428B,182.00M,444.00M,626.00M,,,1.00M,,11.00M,11.00M,0.00,,662.00M,766.00M,11.00M,11.00M,0.00,1.00M,0.00,767.00M,248.00M,519.00M,,-1.00M,518.00M,517.32M,814.00M,36.00M,778.00M,,0.396,0.00,,0.3955,0.396,,0.394,0.00,,0.3935,0.394,,1.310B,1.310B,0.015,,AOR,
2010-06,1.365B,1.365B,,1.365B,180.00M,433.00M,613.00M,,,0.00,,17.00M,13.00M,-4.00M,,648.00M,717.00M,13.00M,17.00M,-4.00M,,-4.00M,713.00M,255.00M,458.00M,,0.00,458.00M,458.00M,765.00M,35.00M,730.00M,,0.35,0.00,,0.35,0.35,,0.349,0.00,,0.349,0.349,,1.310B,1.310B,0.015,,AOR,Restated
2010-03,1.308B,1.308B,,1.308B,115.00M,458.00M,573.00M,,,0.00,,15.00M,10.00M,-5.00M,,608.00M,700.00M,10.00M,15.00M,-5.00M,,-5.00M,695.00M,240.00M,455.00M,,0.00,455.00M,455.00M,745.00M,35.00M,710.00M,,0.347,0.00,,0.347,0.347,,0.346,0.00,,0.346,0.346,,1.300B,1.310B,0.015,,AOR,Restated
2009-12,1.299B,1.299B,,,286.00M,507.00M,793.00M,,,-43.00M,,23.00M,,33.00M,,831.00M,468.00M,,23.00M,33.00M,-43.00M,33.00M,458.00M,164.00M,294.00M,,,294.00M,321.60M,519.00M,38.00M,481.00M,,0.224,0.00,,0.2452,0.224,,0.224,0.00,,0.2452,0.224,,1.300B,1.300B,0.015,,AOR,Restated
2009-09,1.364B,1.364B,,,174.00M,475.00M,649.00M,,,18.00M,,24.00M,,-24.00M,,685.00M,679.00M,,24.00M,-24.00M,18.00M,-24.00M,673.00M,221.00M,452.00M,,,452.00M,439.91M,733.00M,36.00M,697.00M,,0.346,0.00,,0.3367,0.346,,0.345,0.00,,0.3357,0.345,,1.300B,1.300B,0.03,,AOR,Restated
2009-06,1.28B,1.28B,,,180.00M,507.00M,687.00M,,,11.00M,,32.00M,,-32.00M,,723.00M,557.00M,,32.00M,-32.00M,11.00M,-32.00M,536.00M,187.00M,349.00M,,,349.00M,341.84M,604.00M,36.00M,568.00M,,0.267,0.00,,0.2615,0.267,,0.267,0.00,,0.2615,0.267,,1.300B,1.300B,0.015,,AOR,Restated
2009-03,1.156B,1.156B,,1.156B,116.00M,448.00M,564.00M,,,25.00M,,36.00M,,-36.00M,,595.00M,561.00M,,36.00M,-36.00M,25.00M,-36.00M,550.00M,183.00M,367.00M,,0.00,367.00M,350.32M,617.00M,31.00M,586.00M,,0.281,0.00,,0.2682,0.281,,0.28,0.00,,0.2672,0.28,,1.300B,1.300B,0.015,,AOR,Restated
2008-12,1.225B,1.225B,,,165.00M,561.42M,726.43M,,,-95.53M,,,,,,-1.720B,2.945B,,,,-95.53M,,445.06M,205.62M,239.44M,,,239.44M,301.54M,747.30M,30.05M,717.25M,,0.185,0.00,,0.2329,0.185,,0.185,0.00,,0.2329,0.185,,1.296B,1.296B,0.015,,AOR,Restated
2008-09,1.338B,1.338B,,,267.46M,493.74M,761.20M,,,-805.59M,,,,,827.50M,1.617B,-279.26M,,,,-805.59M,,-293.67M,-100.09M,-193.58M,,,-193.58M,337.44M,-250.52M,28.74M,-279.26M,,-0.149,0.00,,0.2609,-0.149,,-0.149,0.00,,0.2609,-0.149,,1.295B,1.295B,0.015,,,
2008-06,1.247B,1.247B,,,303.06M,499.35M,802.41M,,,-1.650B,,,,,1.649B,2.480B,-1.233B,,,,-1.650B,,-1.223B,-476.53M,-746.65M,,,-746.65M,260.28M,-1.205B,27.95M,-1.233B,,-0.574,0.00,,0.2001,-0.574,,-0.574,0.00,,0.2001,-0.574,,1.301B,1.301B,0.015,,,
2008-03,1.182B,1.182B,,1.182B,179.59M,461.62M,641.21M,,,188.29M,,15.32M,,-15.32M,,666.48M,515.61M,,15.32M,-15.32M,188.29M,-15.32M,688.58M,241.70M,446.88M,,0.00,446.88M,324.68M,729.16M,25.26M,703.90M,,0.337,0.00,,0.2440,0.337,,0.337,0.00,,0.2443,0.337,,1.314B,1.318B,0.015,,,Restated
2007-12,1.073B,1.073B,,,368.93M,495.55M,864.48M,,,378.48M,,,,,10.00M,900.63M,172.06M,,,,378.48M,,467.04M,162.80M,304.23M,,,304.23M,57.69M,198.21M,26.15M,172.06M,,0.229,0.00,,0.0429,0.229,,0.227,0.00,,0.0420,0.227,,1.325B,1.333B,0.015,,,
2007-09,1.083B,1.083B,,,264.42M,432.85M,697.27M,,,-10.88M,,,,,10.00M,729.55M,353.30M,,,,-10.88M,,482.31M,167.85M,314.46M,,,314.46M,321.55M,375.58M,22.27M,353.30M,,0.232,0.00,,0.2372,0.232,,0.231,0.00,,0.2362,0.231,,1.354B,1.362B,0.00,,,
2007-06,996.96M,996.96M,,,268.25M,431.46M,699.72M,,,88.79M,,,,,3.40M,728.14M,268.82M,,,,88.79M,,386.30M,134.01M,252.29M,,,252.29M,194.30M,293.84M,25.03M,268.82M,,0.186,0.00,,0.1433,0.186,,0.185,0.00,,0.1426,0.185,,1.359B,1.367B,0.015,,,
2007-03,915.10M,915.10M,,,178.45M,398.53M,576.98M,12.05M,12.13M,-0.04M,,,,,,601.16M,313.94M,,,,-0.04M,,335.79M,120.88M,214.91M,,,214.91M,214.93M,338.13M,24.19M,313.94M,,0.158,0.00,,0.1580,0.158,,0.157,0.00,,0.1570,0.157,,1.358B,1.366B,0.015,,,
2006-12,839.16M,839.16M,,,352.93M,376.05M,728.99M,,,-14.04M,,,,,39.46M,793.18M,45.99M,,,,-14.04M,,69.74M,28.84M,40.90M,,,40.90M,49.32M,70.72M,24.73M,45.99M,,0.03,0.00,,0.0362,0.03,,0.03,0.00,,0.0362,0.03,,1.357B,1.366B,0.009,,,
2006-09,901.97M,901.97M,,,209.19M,392.88M,602.07M,,,-0.292M,,,,,,627.21M,274.76M,,,,-0.292M,,292.11M,99.10M,193.00M,,,193.00M,193.20M,299.90M,25.14M,274.76M,,0.142,0.00,,0.1421,0.142,,0.142,0.00,,0.1421,0.142,,1.357B,1.361B,0.009,,,
2006-06,846.49M,846.49M,,,307.07M,388.41M,695.48M,,,-399.84M,,,,,400.28M,1.120B,-273.97M,,,,-399.84M,,-260.59M,49.87M,-310.46M,,,-310.46M,-70.55M,-249.27M,24.69M,-273.97M,,-0.23,0.00,,-0.0526,-0.23,,-0.23,0.00,,-0.0526,-0.23,,1.353B,1.353B,,,,
2006-03,738.45M,738.45M,,,182.68M,347.84M,530.52M,10.65M,14.57M,0.152M,,,,,,555.74M,182.71M,,,,0.152M,,192.92M,66.17M,126.74M,,,126.74M,126.64M,207.93M,25.22M,182.71M,,0.094,0.00,,0.0939,0.094,,0.094,0.00,,0.0939,0.094,,1.350B,1.350B,,,,
2005-12,734.41M,734.41M,,,,,,,,,,,,,,,-1.810B,,,,,,,,66.68M,,,66.68M,66.68M,-1.810B,,-1.810B,,,,,0.0525,0.0525,,,,,0.0521,0.0521,,1.270B,1.280B,,,,
2005-09,734.41M,734.41M,,,,,,,,,,,,,,,734.41M,,,,,,,,66.68M,,,66.68M,66.68M,734.41M,,734.41M,,0.106,0.00,,0.106,0.106,,0.106,0.00,,0.106,0.106,,1.000B,1.000B,,,,
2005-06,734.41M,734.41M,,,,,,,,,,,,,,,734.41M,,,,,,,,66.68M,,,66.68M,66.68M,734.41M,,734.41M,,0.12,0.00,,0.12,0.12,,0.12,0.00,,0.12,0.12,,1.000B,1.000B,,,,
2005-03,734.41M,734.41M,,,,,,,,,,,,,,,734.41M,,,,,,,,66.68M,,,66.68M,66.68M,734.41M,,734.41M,,0.093,0.00,,0.093,0.093,,0.093,0.00,,0.093,0.093,,1.000B,1.000B,,,,
2004-12,648.33M,648.33M,,,,,,,,,,,,,,,-1.598B,,,,,,,,59.52M,,,59.52M,59.52M,-1.598B,,-1.598B,,,,,0.0469,0.0469,,,,,0.0465,0.0465,,1.270B,1.280B,,,,
2004-09,648.33M,648.33M,,,,,,,,,,,,,,,648.33M,,,,,,,,59.52M,,,59.52M,59.52M,648.33M,,648.33M,,0.098,0.00,,0.098,0.098,,0.098,0.00,,0.098,0.098,,607.30M,607.30M,,,,
2004-06,648.33M,648.33M,,,,,,,,,,,,,,,648.33M,,,,,,,,59.52M,,,59.52M,59.52M,648.33M,,648.33M,,0.066,0.00,,0.066,0.066,,0.066,0.00,,0.066,0.066,,901.74M,901.74M,,,,
2004-03,648.33M,648.33M,,,,,,,,,,,,,,,648.33M,,,,,,,,59.52M,,,59.52M,59.52M,648.33M,,648.33M,,0.074,0.00,,0.074,0.074,,0.074,0.00,,0.074,0.074,,804.26M,804.26M,,,,
2003-12,567.57M,567.57M,,,320.41M,1.049B,1.369B,13.55M,17.44M,-35.87M,,,,,,670.52M,-102.95M,,,,-20.01M,,-107.67M,-40.55M,-67.13M,,,-67.13M,-39.82M,-18.68M,30.99M,-49.67M,,-0.062,-0.005,,-0.0397,-0.067,,,,,-0.0445,-0.067,,1.003B,1.280B,,,AOR,
2003-09,594.17M,594.17M,,,183.05M,255.28M,438.33M,12.76M,15.42M,11.26M,,,,,8.759M,475.27M,118.90M,,,,11.26M,,111.44M,37.04M,74.40M,0.00,0.077M,74.40M,66.88M,147.08M,28.18M,118.90M,,0.074,0.00,0.00,0.0665,0.074,,0.074,0.00,0.00,0.0665,0.074,,1.005B,1.005B,,,AOR,Restated
2003-06,556.89M,556.89M,,,195.40M,280.96M,476.36M,13.71M,16.89M,18.78M,,,,,,506.95M,49.94M,,,,18.78M,,49.98M,17.66M,32.33M,0.00,,32.33M,20.18M,80.54M,30.59M,49.94M,,0.032,0.00,0.00,0.0200,0.032,,0.032,0.00,0.00,0.0200,0.032,,1.010B,1.010B,,,AOR,Restated
