,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,5.747B,991.00M,6.738B,2.147B,,2.147B,663.00M,1.436B,,,10.98B,0.00,503.00M,551.00M,,112.00M,1.166B,-491.00M,675.00M,1.891B,803.00M,2.694B,166.00M,160.00M,317.00M,902.00M,5.266B,16.25B,,472.00M,143.00M,866.00M,1.481B,3.329B,4.81B,,,,,,,1.459B,6.269B,3.268B,,3.268B,79.00M,79.00M,,34.00M,,572.00M,3.919B,10.19B,,0.00,16.22B,4.004B,13.52B,,,,,-676.00M,6.028B,,AOR,Restated
2015-09,3.877B,1.232B,5.109B,1.993B,,1.993B,843.00M,1.412B,268.00M,,9.625B,,,,,,,,641.00M,1.907B,820.00M,2.727B,234.00M,174.00M,22.00M,843.00M,5.009B,14.63B,,381.00M,158.00M,883.00M,1.422B,3.065B,4.487B,,,,,,,1.456B,5.943B,1.495B,,1.495B,95.00M,95.00M,,31.00M,,803.00M,2.393B,8.336B,,0.00,15.54B,3.973B,12.71B,,,,,-536.00M,6.267B,,AOR,Restated
2015-06,3.361B,1.716B,5.077B,2.402B,,2.402B,903.00M,1.541B,294.00M,,10.22B,,,,,,,,632.00M,1.94B,862.00M,2.802B,,,32.00M,1.589B,5.055B,15.27B,,481.00M,125.00M,1.33B,1.936B,2.982B,4.918B,,,,,,,1.558B,6.476B,1.495B,,1.495B,101.00M,101.00M,,32.00M,,764.00M,2.36B,8.836B,,0.00,14.75B,3.936B,11.78B,,,,,-493.00M,6.404B,,AOR,Restated
2015-03,4.207B,1.589B,5.796B,2.142B,,2.142B,644.00M,1.493B,273.00M,,10.35B,,,,,,,,602.00M,1.469B,648.00M,2.117B,,,76.00M,1.49B,4.285B,14.63B,,406.00M,137.00M,1.201B,1.744B,2.763B,4.507B,,,,,,,1.43B,5.937B,1.495B,,1.495B,102.00M,102.00M,,33.00M,,765.00M,2.362B,8.299B,,0.00,14.01B,3.883B,10.95B,,,,,-639.00M,6.301B,,AOR,Restated
2014-12,5.137B,1.238B,6.375B,2.161B,,2.161B,671.00M,1.49B,300.00M,,11.00B,0.00,510.00M,451.00M,,91.00M,1.052B,-437.00M,615.00M,1.522B,714.00M,2.236B,245.00M,89.00M,96.00M,644.00M,4.332B,15.33B,,419.00M,105.00M,1.142B,1.666B,3.105B,4.771B,,,,,,,1.451B,6.222B,1.494B,,1.494B,115.00M,115.00M,,34.00M,,674.00M,2.283B,8.505B,,0.00,13.17B,3.876B,9.995B,,,,,-260.00M,6.79B,,AOR,Restated
2014-09,4.462B,1.857B,6.319B,2.259B,,2.259B,602.00M,1.493B,283.00M,,10.96B,,,,,,,,553.00M,1.456B,705.00M,2.161B,,,102.00M,887.00M,3.703B,14.66B,,319.00M,150.00M,1.226B,1.695B,2.737B,4.432B,,,,,,,1.417B,5.849B,1.494B,,1.494B,119.00M,119.00M,,47.00M,,649.00M,2.262B,8.111B,,0.00,12.55B,3.843B,9.803B,,,,,-92.00M,6.501B,,AOR,Restated
2014-06,2.878B,2.836B,5.714B,2.477B,,2.477B,641.00M,1.458B,287.00M,,10.58B,,,,,,,,539.00M,1.527B,759.00M,2.286B,,,86.00M,887.00M,3.798B,14.38B,,420.00M,146.00M,1.335B,1.901B,2.556B,4.457B,,,,,,,1.333B,5.79B,1.494B,,1.494B,125.00M,125.00M,,48.00M,,652.00M,2.271B,8.061B,,0.00,11.67B,3.811B,9.399B,,,,,188.00M,6.266B,,AOR,Restated
2014-03,4.019B,2.543B,6.562B,2.471B,,2.471B,552.00M,1.453B,304.00M,,11.34B,,,,,,,,528.00M,1.286B,723.00M,2.009B,,,65.00M,858.00M,3.46B,14.80B,,297.00M,383.00M,1.374B,2.054B,2.604B,4.658B,,,,,,,1.336B,5.994B,1.494B,,1.494B,117.00M,117.00M,,11.00M,,619.00M,2.23B,8.224B,,0.00,10.86B,3.769B,8.243B,,,,,180.00M,6.567B,,AOR,Restated
2013-12,3.599B,2.696B,6.295B,2.317B,,2.317B,36.00M,1.634B,233.00M,435.00M,10.95B,0.00,451.00M,392.00M,,77.00M,920.00M,-394.00M,526.00M,1.122B,672.00M,1.794B,229.00M,78.00M,70.00M,595.00M,3.292B,14.24B,,338.00M,95.00M,1.433B,1.866B,2.892B,4.758B,,,,,,,1.274B,6.032B,,,,117.00M,117.00M,,11.00M,,598.00M,715.00M,6.747B,,0.00,10.12B,3.762B,6.577B,,,,,178.00M,7.484B,,AOR,Restated
2013-09,3.413B,2.594B,6.007B,2.323B,,2.323B,502.00M,1.605B,122.00M,,10.56B,,,,,,,,474.00M,1.101B,655.00M,1.756B,,,89.00M,852.00M,3.171B,13.73B,,280.00M,164.00M,1.218B,1.662B,2.567B,4.229B,,,,,,,1.191B,5.42B,,,,93.00M,93.00M,,11.00M,,549.00M,642.00M,6.062B,,0.00,9.63B,3.733B,5.826B,,,,,120.00M,7.657B,,AOR,Restated
