,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2017-03,310.81M,,310.81M,734.84M,734.84M,,193.34M,193.34M,108.55M,1.378B,,,,15.15B,-2.601B,12.55B,,,1.002B,956.39M,,176.76M,14.69B,16.07B,703.28M,,,703.28M,90.15M,793.43M,,,1.701B,1.701B,,1.701B,237.17M,2.732B,7.920B,,7.920B,1.612B,1.946B,3.231B,,9.866B,12.60B,2.458M,30.89M,1.232B,887.97M,,-139.06M,238.38M
2016-12,248.88M,,248.88M,872.43M,872.43M,60.91M,140.03M,200.95M,45.99M,1.430B,542.20M,,434.26M,15.08B,-2.507B,12.57B,525.54M,479.82M,1.005B,958.81M,0.00,173.50M,14.71B,16.14B,874.73M,,,874.73M,112.51M,987.24M,,,1.521B,1.521B,,1.521B,328.53M,2.837B,7.920B,,7.920B,1.624B,1.946B,3.240B,,9.873B,12.71B,2.458M,,1.234B,893.68M,,-154.35M,188.74M
2016-09,237.41M,,237.41M,737.22M,737.22M,81.70M,217.77M,299.47M,50.76M,1.369B,,,,14.94B,-2.416B,12.53B,,,1.008B,943.39M,,134.27M,14.61B,15.98B,711.82M,,,711.82M,104.14M,815.95M,,,1.154B,1.154B,,1.154B,371.86M,2.342B,8.320B,,8.320B,1.574B,1.871B,3.226B,,10.20B,12.54B,2.458M,0.00,1.264B,897.85M,,-154.35M,214.30M
2016-06,180.85M,,180.85M,672.06M,672.06M,85.13M,245.95M,331.07M,58.20M,1.281B,,,,14.81B,-2.327B,12.48B,,,1.011B,913.81M,,131.97M,14.54B,15.82B,697.83M,,,697.83M,119.77M,817.61M,,,1.037B,1.037B,,1.037B,333.86M,2.188B,8.320B,,8.320B,1.518B,1.811B,3.255B,,10.14B,12.33B,2.458M,0.00,1.295B,900.37M,,-159.25M,237.43M
2016-03,137.22M,,137.22M,521.44M,521.44M,83.14M,156.08M,239.22M,54.02M,991.02M,,,,14.67B,-2.235B,12.44B,,,1.014B,929.21M,,129.51M,14.51B,15.50B,522.32M,,,522.32M,104.63M,626.95M,,,905.22M,905.22M,,905.22M,232.30M,1.764B,8.320B,,8.320B,1.485B,1.758B,3.359B,,10.09B,11.86B,2.458M,0.00,1.328B,908.51M,,-134.61M,286.89M
2015-12,97.62M,,97.62M,593.98M,593.98M,76.70M,128.08M,204.78M,39.95M,975.21M,502.01M,,775.37M,14.53B,-2.156B,12.37B,525.54M,491.72M,1.017B,948.22M,,131.43M,14.47B,15.45B,615.98M,,,615.98M,129.04M,745.02M,,,656.99M,656.99M,,656.99M,236.25M,1.638B,8.324B,,8.324B,1.437B,1.701B,3.431B,,10.04B,11.68B,2.458M,0.00,1.378B,917.86M,,-127.24M,335.80M
2015-09,38.37M,,38.37M,586.16M,586.16M,62.60M,142.31M,204.91M,76.13M,952.79M,,,,14.46B,-2.179B,12.28B,,,1.020B,1.137B,,119.62M,14.56B,15.51B,620.57M,,,620.57M,108.45M,729.02M,287.27M,,660.65M,947.92M,,947.92M,283.88M,1.961B,7.774B,,7.774B,1.437B,1.716B,3.623B,,9.510B,11.47B,2.458M,0.00,1.478B,929.50M,,-136.11M,414.47M
2015-06,226.19M,,226.19M,684.90M,684.90M,,150.14M,150.14M,155.97M,1.264B,,,,14.18B,-2.099B,12.08B,,,1.023B,1.146B,,141.92M,14.39B,15.65B,694.91M,,,694.91M,,694.91M,870.48M,,660.65M,1.531B,,1.531B,380.51M,2.607B,7.291B,,7.291B,1.452B,1.729B,3.482B,,9.045B,11.65B,2.458M,23.12M,1.564B,937.05M,,-135.33M,517.51M
2015-03,239.41M,,239.41M,628.06M,628.06M,,218.69M,218.69M,175.42M,1.322B,,,,13.91B,-2.017B,11.89B,,,1.012B,1.124B,,183.83M,14.21B,15.53B,721.54M,,,721.54M,,721.54M,825.48M,,660.65M,1.486B,,1.486B,341.06M,2.549B,7.340B,,7.340B,1.430B,1.721B,3.363B,,9.091B,11.64B,2.458M,72.98M,1.537B,942.55M,,-139.89M,530.16M
2014-12,172.81M,,172.81M,745.49M,745.49M,55.83M,134.13M,189.97M,117.47M,1.307B,428.40M,,1.431B,13.60B,-1.940B,11.66B,525.54M,489.20M,1.015B,1.133B,,144.70M,13.95B,15.26B,891.41M,,,891.41M,104.88M,996.29M,,,1.066B,1.066B,,1.066B,330.11M,2.392B,7.150B,,7.150B,1.395B,1.677B,3.414B,,8.864B,11.26B,2.458M,138.13M,1.542B,953.70M,,-136.35M,592.12M
2014-09,151.40M,,151.40M,971.28M,971.28M,,338.34M,338.34M,119.43M,1.713B,,,,12.17B,-1.932B,10.24B,,,1.018B,1.129B,,211.06M,12.60B,14.31B,1.222B,,90.68M,1.313B,102.84M,1.415B,0.00,,10.65M,10.65M,,10.65M,355.80M,1.782B,7.195B,,7.195B,1.304B,1.533B,3.136B,,8.771B,10.55B,2.458M,170.25M,1.515B,956.98M,,-107.66M,623.23M
2014-06,358.56M,,358.56M,1.097B,1.097B,,335.12M,335.12M,118.54M,2.060B,,,,11.74B,-1.867B,9.871B,,,1.019B,1.212B,,223.13M,12.32B,14.38B,1.272B,,,1.272B,105.10M,1.377B,0.00,,10.65M,10.65M,,10.65M,463.88M,1.851B,7.197B,,7.197B,1.253B,1.491B,3.137B,,8.740B,10.59B,2.458M,225.42M,1.504B,961.91M,,-113.13M,656.42M
2014-03,210.23M,,210.23M,883.67M,883.67M,,231.24M,231.24M,102.09M,1.656B,,,,11.31B,-1.803B,9.511B,,,1.022B,1.229B,,235.34M,12.00B,13.65B,1.155B,,,1.155B,102.83M,1.258B,125.00M,,10.65M,135.65M,,135.65M,498.13M,1.892B,7.199B,,7.199B,1.144B,1.374B,2.543B,,8.634B,10.53B,2.458M,280.24M,1.377B,965.31M,,-109.91M,584.50M
2013-12,145.56M,,145.56M,1.110B,1.110B,,188.29M,188.29M,133.01M,2.405B,368.23M,,1.861B,10.97B,-1.738B,9.232B,525.54M,499.03M,1.025B,1.230B,,3.850B,15.34B,17.74B,1.273B,,,1.273B,,1.273B,564.46M,,10.65M,575.11M,,575.11M,882.12M,2.730B,7.754B,,7.754B,1.147B,1.364B,2.507B,,10.17B,12.90B,2.458M,2.021B,1.434B,997.04M,,-121.99M,2.338B
2013-09,779.52M,,779.52M,1.167B,1.167B,,664.21M,664.21M,160.45M,2.882B,,,,14.94B,-3.173B,11.77B,,,990.46M,1.202B,,765.19M,14.73B,17.61B,1.383B,,,1.383B,,1.383B,562.33M,,10.66M,572.98M,,572.98M,665.94M,2.622B,7.757B,,7.757B,1.777B,2.541B,2.501B,,10.30B,12.92B,2.458M,2.008B,1.404B,1.006B,,-219.49M,2.190B
2013-06,33.68M,,33.68M,1.159B,1.159B,,435.00M,435.00M,163.06M,1.890B,,,,14.09B,-3.106B,10.98B,,,992.37M,1.209B,,772.04M,13.95B,15.84B,1.214B,,,1.214B,,1.214B,834.00M,,10.68M,844.68M,,844.68M,589.77M,2.649B,6.511B,,6.511B,1.717B,2.508B,2.089B,,9.019B,11.67B,2.458M,2.024B,1.278B,1.008B,,-211.97M,2.085B
2013-03,143.95M,,143.95M,1.262B,1.262B,,302.47M,302.47M,154.15M,1.950B,,,,13.56B,-3.039B,10.52B,,,994.29M,1.220B,,760.92M,13.50B,15.45B,1.205B,,,1.205B,,1.205B,551.25M,,10.77M,562.02M,,562.02M,569.76M,2.337B,6.513B,,6.513B,1.679B,2.392B,2.070B,,8.905B,11.24B,2.458M,2.098B,1.268B,1.010B,,-223.15M,2.134B
2012-12,583.62M,,583.62M,1.349B,1.349B,,517.01M,517.01M,175.87M,2.765B,657.76M,,1.585B,13.09B,-2.975B,10.11B,591.49M,404.72M,996.21M,1.221B,,758.66M,13.09B,15.86B,1.333B,,,1.333B,,1.333B,817.17M,,10.86M,828.02M,,828.02M,651.48M,2.813B,6.515B,,6.515B,1.593B,2.294B,2.103B,,8.810B,11.62B,2.458M,2.059B,1.325B,1.040B,,-216.80M,2.130B
2012-09,978.82M,57.30M,1.036B,984.72M,984.72M,,,644.72M,220.14M,2.956B,,,,12.40B,-2.914B,9.490B,,,998.12M,1.218B,,701.49M,12.41B,15.36B,1.154B,,,1.154B,,1.154B,676.75M,,11.14M,687.89M,,687.89M,597.48M,2.439B,6.517B,,6.517B,1.540B,2.232B,2.110B,,8.750B,11.19B,2.458M,2.015B,1.337B,1.048B,,-240.48M,2.066B
2012-06,114.92M,37.72M,152.64M,793.84M,793.84M,,,561.80M,208.70M,1.807B,,,,11.95B,-2.856B,9.098B,,,1.000B,1.210B,,701.51M,12.01B,13.82B,911.98M,,,911.98M,,911.98M,595.93M,,12.26M,608.19M,,608.19M,736.51M,2.257B,5.225B,,5.225B,1.458B,2.130B,2.116B,,7.355B,9.611B,2.458M,2.017B,1.326B,1.051B,,-205.64M,2.090B
2012-03,781.19M,163.94M,945.13M,1.155B,1.155B,,,299.13M,155.70M,2.609B,,,,11.50B,-2.794B,8.701B,,,1.002B,1.220B,,720.17M,11.64B,14.25B,1.110B,,,1.110B,,1.110B,419.76M,,364.40M,784.15M,,784.15M,706.06M,2.600B,5.226B,,5.226B,1.408B,2.046B,2.123B,,7.272B,9.873B,1.229M,2.020B,1.317B,903.58M,,-178.84M,2.256B
2011-12,65.95M,,65.95M,1.340B,1.340B,,549.92M,549.92M,185.14M,2.319B,580.09M,,815.46M,11.18B,-2.734B,8.444B,601.74M,412.38M,1.014B,1.223B,,695.96M,11.38B,13.70B,1.342B,,,1.342B,,1.342B,841.98M,,364.39M,1.206B,,1.206B,698.08M,3.246B,4.530B,,4.530B,1.447B,2.121B,1.561B,,6.651B,9.897B,2.458M,1.960B,1.417B,935.32M,,-206.12M,2.239B
2011-09,148.41M,105.88M,254.29M,1.141B,1.141B,658.06M,,658.06M,258.56M,2.312B,,,,10.71B,-2.690B,8.019B,,,1.016B,1.224B,,599.33M,10.86B,13.17B,1.242B,,,1.242B,,1.242B,650.00M,,365.25M,1.015B,,1.015B,719.88M,2.977B,4.532B,,4.532B,1.387B,1.979B,1.496B,1.135M,6.512B,9.489B,1.229M,1.903B,1.404B,947.84M,,-174.57M,2.186B
2011-06,477.57M,58.76M,536.33M,1.125B,1.125B,,,574.17M,293.42M,2.529B,,,,10.35B,-2.638B,7.713B,,,1.021B,1.177B,,596.41M,10.51B,13.04B,1.194B,,,1.194B,,1.194B,526.63M,,368.25M,894.88M,,894.88M,751.63M,2.841B,4.623B,,4.623B,1.288B,1.873B,1.481B,2.406M,6.498B,9.339B,1.229M,1.901B,1.396B,949.63M,,-131.27M,2.217B
2011-03,870.09M,56.43M,926.52M,1.280B,1.280B,,,407.67M,181.46M,2.796B,,,,10.04B,-2.598B,7.439B,,,1.021B,1.187B,,597.36M,10.24B,13.04B,1.132B,,,1.132B,,1.132B,0.00,,418.24M,418.24M,,418.24M,751.48M,2.302B,4.976B,,4.976B,1.223B,1.798B,1.458B,6.154M,6.781B,9.083B,1.228M,1.901B,1.384B,652.57M,,-135.14M,2.499B
2010-12,30.34M,94.85M,125.20M,1.284B,1.284B,,,706.91M,263.74M,2.380B,,9.521B,333.25M,9.854B,-2.541B,7.313B,602.84M,420.05M,1.023B,1.188B,,595.47M,10.12B,12.50B,1.212B,,,1.212B,,1.212B,556.86M,,643.24M,1.200B,,1.200B,739.02M,3.151B,3.687B,,3.687B,1.172B,1.740B,1.472B,,5.427B,8.578B,1.228M,1.827B,1.393B,663.27M,,-108.80M,2.449B
2010-09,50.48M,98.27M,148.76M,858.82M,858.82M,703.68M,,703.68M,277.52M,1.989B,,,,9.629B,-2.490B,7.139B,,,1.025B,1.194B,,583.11M,9.941B,11.93B,885.02M,,,885.02M,,885.02M,326.38M,,643.23M,969.62M,,969.62M,742.31M,2.597B,3.692B,,3.692B,1.127B,1.743B,1.481B,2.045M,5.437B,8.034B,1.227M,1.795B,1.383B,673.98M,,-90.27M,2.414B
2010-06,103.25M,88.18M,191.43M,904.32M,904.32M,,,572.94M,209.56M,1.878B,,,,10.30B,-2.457B,7.847B,,,1.027B,757.23M,,610.36M,10.24B,12.12B,830.02M,,,830.02M,,830.02M,680.00M,,643.22M,1.323B,,1.323B,722.37M,2.876B,3.698B,,3.698B,1.054B,1.671B,1.483B,5.081M,5.374B,8.249B,1.227M,1.789B,1.375B,674.10M,,-103.49M,2.387B
2010-03,167.43M,156.09M,323.52M,1.202B,1.202B,,,397.25M,185.66M,2.109B,,,,10.21B,-2.411B,7.794B,,,1.029B,762.44M,,634.98M,10.22B,12.33B,965.02M,,,965.02M,,965.02M,310.00M,,493.22M,803.22M,,803.22M,903.28M,2.672B,4.103B,,4.103B,1.033B,1.662B,1.499B,13.12M,5.778B,8.450B,1.225M,1.794B,1.366B,674.10M,,-105.56M,2.381B
2009-12,29.40M,113.04M,142.44M,1.438B,1.438B,,,583.13M,424.90M,2.588B,,9.857B,289.29M,10.15B,-2.352B,7.794B,602.84M,427.72M,1.031B,788.29M,,626.71M,10.24B,12.83B,1.240B,,,1.240B,,1.240B,881.87M,,268.22M,1.150B,,1.150B,948.62M,3.339B,4.334B,,4.334B,1.038B,1.700B,1.238B,8.926M,6.043B,9.382B,1.224M,1.686B,1.322B,683.47M,,-118.61M,2.207B
2009-09,52.18M,127.88M,180.06M,726.72M,726.72M,,,657.40M,292.78M,1.857B,,,,10.01B,-2.312B,7.699B,,,1.032B,806.54M,,634.90M,10.17B,12.03B,766.58M,,,766.58M,,766.58M,824.00M,,268.21M,1.092B,,1.092B,785.67M,2.644B,4.340B,,4.340B,893.21M,1.645B,1.260B,,5.985B,8.630B,1.223M,1.637B,1.317B,696.81M,,-118.54M,2.140B
2009-06,47.04M,168.46M,215.50M,771.20M,771.20M,,,564.53M,242.69M,1.794B,,,,9.881B,-2.290B,7.591B,,,1.034B,782.56M,,632.00M,10.04B,11.83B,826.41M,,,826.41M,,826.41M,689.91M,,268.20M,958.12M,,958.12M,652.51M,2.437B,4.346B,,4.346B,867.02M,1.638B,1.250B,,5.984B,8.421B,1.222M,1.633B,1.308B,696.80M,,-82.96M,2.162B
2009-03,179.11M,,179.11M,1.014B,1.014B,,,443.24M,402.24M,2.039B,,,,9.689B,-2.252B,7.437B,,,1.036B,747.99M,,680.28M,9.901B,11.94B,798.62M,,,798.62M,,798.62M,986.70M,,18.20M,1.005B,,1.005B,643.98M,2.448B,4.603B,,4.603B,866.50M,1.649B,1.058B,,6.251B,8.699B,1.221M,1.633B,1.302B,696.86M,,-56.15M,2.183B
2008-12,510.06M,362.81M,872.87M,1.265B,1.265B,,,858.97M,380.47M,3.378B,,8.619B,857.21M,9.477B,-2.213B,7.264B,602.84M,435.38M,1.038B,755.49M,,690.97M,9.748B,13.13B,1.123B,,,1.123B,,1.123B,2.27B,,118.20M,2.388B,,2.388B,682.81M,4.194B,4.113B,,4.113B,890.82M,1.606B,1.079B,,5.718B,9.959B,1.216M,1.553B,1.301B,696.62M,,-70.62M,2.088B
2008-09,72.94M,,72.94M,1.067B,1.067B,,,1.120B,761.02M,3.021B,,,,9.067B,-2.174B,6.893B,,,1.040B,,,1.268B,9.201B,12.22B,1.295B,,,1.295B,882.44M,2.177B,,,,1.440B,,1.440B,,3.617B,4.102B,,4.102B,832.41M,832.41M,1.059B,,4.935B,9.105B,1.216M,1.534B,1.300B,708.96M,,-68.76M,2.058B
2008-06,98.74M,,98.74M,1.508B,1.508B,,,902.13M,760.02M,3.269B,,,,8.610B,-2.133B,6.477B,,,1.042B,,,1.382B,8.901B,12.17B,1.730B,,,1.730B,1.080B,2.810B,,,,919.68M,,919.68M,,3.730B,4.105B,,4.105B,755.82M,755.82M,972.70M,,4.861B,9.213B,1.215M,1.518B,1.286B,708.96M,,-113.40M,1.983B
2008-03,268.74M,,268.74M,1.724B,1.724B,,,329.31M,421.04M,2.743B,,,,8.298B,-2.091B,6.206B,,,1.042B,,,1.249B,8.497B,11.24B,1.586B,,,1.586B,909.47M,2.495B,,,,383.78M,,383.78M,,2.879B,4.118B,,4.118B,720.73M,720.73M,965.46M,,4.839B,8.268B,1.214M,1.516B,1.275B,710.14M,,-75.18M,2.007B
2007-12,19.10M,,19.10M,1.723B,1.723B,,,841.36M,367.80M,2.951B,,,,7.893B,-2.048B,5.845B,,,1.044B,,,1.222B,8.111B,11.06B,1.436B,,,1.436B,822.58M,2.259B,,,,623.08M,,623.08M,,2.882B,4.215B,,4.215B,680.54M,680.54M,801.96M,,4.896B,8.291B,1.211M,1.411B,1.274B,710.13M,,-7.069M,1.969B
2007-09,833.74M,,833.74M,923.44M,923.44M,,,971.79M,549.28M,3.278B,,,,7.246B,-1.998B,5.248B,,,1.046B,,,1.350B,7.644B,10.92B,979.70M,,,979.70M,740.17M,1.720B,,,,785.48M,,785.48M,,2.505B,4.211B,,4.211B,789.49M,789.49M,794.80M,,5.000B,8.252B,1.21M,1.346B,1.275B,719.12M,,-27.72M,1.876B
2007-06,303.29M,,303.29M,1.029B,1.029B,,,787.65M,471.26M,2.591B,,,,6.990B,-1.946B,5.044B,,,1.048B,,,1.305B,7.397B,9.989B,1.089B,,,1.089B,685.81M,1.774B,,,,525.47M,,525.47M,,2.300B,3.609B,,3.609B,772.82M,772.82M,796.25M,,4.382B,7.331B,1.21M,1.369B,1.279B,730.18M,,-57.71M,1.862B
2007-03,225.51M,,225.51M,1.286B,1.286B,,,499.06M,1.069B,3.080B,,,,6.816B,-1.915B,4.902B,,,1.050B,,,1.317B,7.269B,10.35B,1.074B,,,1.074B,849.43M,1.923B,,,,420.47M,,420.47M,,2.344B,3.627B,,3.627B,762.64M,762.64M,798.88M,,4.390B,7.339B,1.206M,1.372B,1.263B,360.12M,,-65.37M,2.211B
2006-12,68.27M,,68.27M,1.348B,1.348B,,,925.19M,783.01M,3.125B,,,,6.725B,-1.880B,4.845B,,,1.051B,,,1.370B,7.266B,10.39B,1.077B,,,1.077B,849.42M,1.926B,,,,24.16M,,24.16M,,1.951B,4.031B,,4.031B,707.44M,707.44M,800.64M,,4.738B,7.374B,1.203M,1.257B,1.259B,340.25M,,39.53M,2.216B
2006-09,247.48M,,247.48M,944.73M,944.73M,,,1.028B,856.68M,3.077B,,,,6.635B,-1.868B,4.767B,,,1.025B,,,1.319B,7.112B,10.19B,1.022B,,,1.022B,1.079B,2.101B,,,,22.68M,,22.68M,,2.123B,4.036B,,4.036B,577.59M,577.59M,810.09M,,4.614B,7.223B,1.198M,1.217B,1.244B,340.24M,,33.25M,2.156B
2006-06,645.35M,,645.35M,971.86M,971.86M,,,905.10M,702.02M,3.224B,,,,6.534B,-1.824B,4.711B,,,1.027B,,,1.214B,6.952B,10.18B,943.19M,,,943.19M,996.34M,1.940B,,,,1.382B,,1.382B,,3.322B,2.630B,,2.630B,572.74M,572.74M,802.41M,,3.203B,7.008B,1.197M,1.231B,1.237B,58.82M,,-43.70M,2.366B
