,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-06,2.726B,2.726B,2.192B,533.90M,,0.659M,24.30M,118.47M,-118.47M,,215.09M,318.81M,118.47M,-118.47M,19.50M,-118.47M,219.84M,43.84M,175.99M,,,-104.30M,0.217M,71.69M,71.17M,439.16M,100.85M,338.31M,0.34,,,0.3375,0.34,0.33,,,0.3275,0.33,211.78M,214.01M,0.615
2017-03,2.750B,2.750B,2.243B,506.35M,,0.006M,27.15M,116.46M,-116.46M,,189.20M,317.14M,116.46M,-116.46M,40.44M,-116.46M,241.13M,54.94M,186.18M,,,-98.82M,,87.36M,87.36M,457.01M,99.42M,357.59M,0.41,,,0.41,0.41,0.41,,,0.41,0.41,211.62M,213.60M,0.615
2016-12,2.654B,2.654B,2.121B,533.68M,0.00,0.099M,24.32M,114.19M,-114.19M,,194.08M,339.60M,114.19M,-114.19M,24.22M,-114.19M,249.63M,54.87M,194.76M,-0.296M,,-103.96M,,90.50M,90.72M,463.13M,99.31M,363.82M,0.43,0.0,,0.4296,0.43,0.43,0.0,,0.4296,0.43,211.40M,213.16M,0.615
2016-09,2.358B,2.358B,1.850B,507.76M,0.00,5.744M,18.49M,118.24M,-118.24M,,184.15M,323.61M,118.24M,-118.24M,44.43M,-118.24M,249.80M,55.01M,194.79M,-0.576M,,-102.07M,,92.14M,88.24M,466.59M,98.55M,368.04M,0.44,0.0,,0.4188,0.44,0.44,-0.01,,0.419,0.43,211.31M,212.87M,0.615
2016-06,2.134B,2.134B,1.627B,507.54M,,-0.413M,24.17M,118.98M,-118.98M,,191.84M,315.70M,118.98M,-118.98M,35.82M,-118.98M,232.54M,52.46M,180.09M,-0.227M,,-93.92M,,85.94M,86.49M,450.77M,99.25M,351.52M,0.41,0.0,,0.4115,0.41,0.41,-0.01,,0.4115,0.4,211.08M,212.62M,0.615
2016-03,1.774B,1.774B,1.290B,484.24M,,4.414M,21.87M,118.25M,-118.25M,,177.02M,307.23M,118.25M,-118.25M,37.00M,-118.25M,225.98M,50.07M,175.91M,-0.952M,,-91.51M,,83.45M,80.96M,438.70M,94.48M,344.22M,0.4,0.0,,0.3837,0.4,0.4,0.0,,0.3837,0.4,210.78M,211.07M,0.615
2015-12,1.931B,1.931B,1.427B,504.24M,,-257.56M,21.22M,110.73M,-110.73M,,184.79M,319.45M,110.73M,-110.73M,-222.35M,-110.73M,-13.63M,12.65M,-26.28M,-1.937M,,53.73M,,25.52M,181.99M,190.48M,93.38M,97.10M,0.13,0.0,,0.8644,0.13,0.13,-0.01,,0.8636,0.12,210.42M,210.64M,0.615
2015-09,1.899B,1.899B,1.449B,449.84M,,-0.549M,17.20M,106.92M,-106.92M,,164.18M,285.66M,106.92M,-106.92M,24.26M,-106.92M,203.00M,38.30M,164.70M,-3.86M,,-78.68M,,82.16M,86.46M,398.22M,88.30M,309.92M,0.41,-0.02,,0.4121,0.39,0.41,-0.02,,0.4121,0.39,210.30M,210.52M,0.605
2015-06,2.128B,2.128B,1.690B,437.97M,,0.864M,24.48M,102.38M,-102.38M,,165.35M,272.62M,102.38M,-102.38M,29.00M,-102.38M,199.24M,48.22M,151.02M,-0.14M,,-74.38M,,76.50M,75.99M,388.61M,86.99M,301.63M,0.36,0.0,,0.3569,0.36,0.36,0.0,,0.3569,0.36,210.20M,210.48M,0.605
2015-03,1.805B,1.805B,1.430B,375.49M,,0.793M,24.69M,96.75M,-96.75M,,179.02M,196.47M,96.75M,-96.75M,33.55M,-96.75M,133.26M,37.43M,95.84M,-0.144M,,-34.89M,,60.80M,60.37M,315.97M,85.96M,230.02M,0.29,0.0,,0.2873,0.29,0.29,0.0,,0.2873,0.29,209.87M,210.47M,0.605
2014-12,2.845B,2.845B,2.362B,482.94M,,-70.36M,15.57M,86.46M,-86.46M,,181.26M,301.68M,86.46M,-86.46M,41.55M,-86.46M,256.77M,56.00M,200.77M,0.799M,,-107.02M,,94.54M,148.76M,423.78M,80.56M,343.23M,0.45,0.0,,0.7125,0.45,0.45,0.0,,0.7116,0.45,209.54M,210.26M,0.59
2014-09,3.120B,3.120B,2.658B,462.35M,,3.257M,19.09M,86.05M,-86.05M,,172.50M,289.86M,86.05M,-86.05M,-51.50M,-86.05M,152.31M,37.86M,114.45M,-0.171M,,-49.82M,,64.46M,62.18M,312.95M,74.59M,238.36M,0.31,0.0,,0.2983,0.31,0.31,0.0,,0.2984,0.31,209.49M,210.76M,0.575
2014-06,3.067B,3.067B,2.644B,423.35M,,1.237M,18.70M,88.75M,-88.75M,,172.02M,251.33M,88.75M,-88.75M,28.49M,-88.75M,191.07M,42.31M,148.76M,-8.009M,,-79.16M,,61.59M,68.64M,351.95M,72.13M,279.82M,0.33,-0.04,,0.3254,0.29,0.33,-0.04,,0.3254,0.29,209.40M,210.52M,0.56
2014-03,3.163B,3.163B,2.720B,443.21M,,10.99M,22.38M,94.90M,-94.90M,,149.11M,294.10M,94.90M,-94.90M,20.52M,-94.90M,219.72M,14.98M,204.74M,1.774M,,-113.00M,,93.52M,81.50M,393.39M,78.77M,314.62M,0.44,0.01,,0.3911,0.45,0.44,0.01,,0.3913,0.45,209.13M,210.17M,0.4
2013-12,3.450B,3.450B,3.071B,378.25M,,20.89M,11.51M,73.85M,-73.85M,,143.68M,234.57M,73.85M,-73.85M,45.66M,-73.85M,206.38M,39.39M,166.99M,17.08M,,-93.33M,,90.74M,56.76M,388.26M,108.03M,280.23M,0.44,0.0,0.0,0.3581,0.44,0.43,0.0,0.0,0.3497,0.43,206.32M,210.56M,0.38
2013-09,3.135B,3.135B,2.773B,362.37M,,6.45M,14.32M,66.19M,-66.19M,,131.00M,231.37M,66.19M,-66.19M,37.60M,-66.19M,202.78M,44.96M,157.82M,-10.13M,,-85.34M,,62.36M,67.46M,363.24M,94.27M,268.97M,0.35,-0.05,,0.3257,0.3,0.35,-0.05,,0.3261,0.3,206.24M,209.89M,0.38
2013-06,2.769B,2.769B,2.415B,353.88M,,5.935M,16.86M,66.12M,-66.12M,,125.76M,228.11M,66.12M,-66.12M,34.71M,-66.12M,196.70M,42.92M,153.78M,-74.28M,,-78.58M,,0.919M,70.56M,354.68M,91.86M,262.82M,0.36,-0.36,,0.3375,0.0,0.36,-0.36,,0.3378,0.0,206.14M,208.87M,0.36
2013-03,2.518B,2.518B,2.202B,315.82M,,9.128M,19.73M,64.49M,-64.49M,,141.14M,174.69M,64.49M,-64.49M,39.10M,-64.49M,149.31M,38.80M,110.50M,55.20M,,-53.18M,,112.52M,50.56M,304.01M,90.22M,213.79M,0.28,0.27,,0.2471,0.55,0.27,0.27,,0.2377,0.54,205.48M,209.46M,0.36
2012-12,1.211B,1.211B,1.270B,-58.62M,,23.91M,-27.40M,18.92M,-18.92M,,-192.80M,134.18M,18.92M,-18.92M,53.04M,-18.92M,168.30M,23.92M,144.37M,51.50M,0.00,-84.33M,,111.54M,39.53M,273.63M,86.42M,187.22M,0.55,0.0,0.0,0.4498,0.55,0.53,0.0,0.0,0.432,0.53,204.65M,209.25M,0.33
2012-09,3.029B,3.029B,2.556B,472.54M,,2.882M,23.16M,71.36M,-71.36M,,229.20M,243.33M,71.36M,-71.36M,35.60M,-71.36M,207.57M,42.58M,164.99M,0.00,0.00,-99.77M,,65.22M,62.93M,360.37M,81.43M,278.94M,0.32,0.0,0.0,0.3088,0.32,0.31,0.0,0.0,0.2991,0.31,205.00M,209.96M,0.33
2012-06,2.529B,2.529B,2.065B,464.38M,,2.815M,27.14M,71.54M,-71.54M,,231.26M,233.11M,71.54M,-71.54M,27.77M,-71.54M,189.35M,40.41M,148.94M,0.00,0.267M,-88.21M,,60.99M,58.51M,345.47M,84.59M,260.88M,0.29,0.0,0.0,0.2793,0.29,0.29,0.0,0.0013,0.2795,0.29,207.29M,211.78M,0.305
2012-03,3.415B,3.415B,2.854B,560.18M,,-9.223M,31.18M,75.82M,-75.82M,,224.06M,336.12M,75.82M,-75.82M,32.98M,-75.82M,293.29M,73.84M,219.45M,0.762M,13.25M,-110.60M,,122.86M,115.75M,452.52M,83.42M,369.10M,0.52,0.07,0.0,0.5532,0.59,0.51,0.07,0.0625,0.5426,0.58,207.62M,211.85M,0.305
2011-12,4.071B,4.071B,3.684B,386.86M,,12.21M,17.76M,68.32M,-68.32M,,21.67M,365.20M,68.32M,-68.32M,37.87M,-68.32M,335.54M,71.80M,263.74M,1.011M,,-149.75M,,115.00M,104.39M,481.94M,78.09M,403.86M,0.55,0.0,,0.5034,0.55,0.54,0.0,,0.4946,0.54,206.06M,211.63M,0.28
2011-09,3.529B,3.529B,2.997B,532.62M,,-12.34M,22.13M,73.84M,-73.84M,185.13M,283.21M,249.41M,73.84M,-73.84M,19.69M,-73.84M,195.19M,34.03M,161.16M,-0.279M,,-100.56M,,60.32M,70.79M,345.01M,75.99M,269.03M,0.29,0.0,,0.3393,0.29,0.29,-0.01,,0.3381,0.28,206.61M,211.94M,0.28
2011-06,3.445B,3.445B,2.926B,518.83M,,-0.032M,25.84M,75.50M,-75.50M,197.77M,302.40M,216.43M,75.50M,-75.50M,29.51M,-75.50M,170.23M,35.90M,134.33M,0.437M,,-79.62M,,55.14M,54.73M,324.56M,78.82M,245.73M,0.26,0.0,,0.2601,0.26,0.25,0.0,,0.2501,0.25,210.67M,216.06M,0.26
2011-03,3.761B,3.761B,3.131B,629.88M,,1.023M,28.92M,79.35M,-79.35M,192.76M,301.04M,328.84M,79.35M,-79.35M,33.12M,-79.35M,282.60M,84.32M,198.28M,1.061M,,-69.22M,,130.13M,128.35M,441.34M,79.39M,361.95M,0.605,0.005,,0.6016,0.61,0.59,0.005,,0.5867,0.595,214.04M,218.36M,0.26
2010-12,3.005B,3.005B,2.779B,226.18M,,4.193M,22.39M,69.44M,-69.44M,,-9.973M,236.15M,69.44M,-69.44M,35.35M,-69.44M,202.06M,55.40M,146.66M,,,-64.86M,,83.07M,78.76M,348.22M,76.72M,271.50M,0.385,0.0,,0.3707,0.385,0.38,0.0,,0.366,0.38,213.08M,217.79M,0.24
2010-09,2.943B,2.943B,2.491B,451.37M,,21.00M,19.46M,70.91M,-70.91M,,280.59M,170.78M,70.91M,-70.91M,50.40M,-70.91M,150.27M,29.96M,120.30M,,,-65.01M,,55.30M,38.48M,298.41M,77.23M,221.17M,0.26,0.0,,0.181,0.26,0.255,0.0,,0.1769,0.255,212.89M,215.30M,0.23
2010-06,2.807B,2.807B,2.349B,458.08M,,-6.606M,25.10M,75.36M,-75.36M,178.48M,279.09M,178.99M,75.36M,-75.36M,14.07M,-75.36M,117.42M,31.05M,86.37M,,,-44.65M,,41.72M,46.58M,268.29M,75.51M,192.78M,0.195,0.0,,0.2178,0.195,0.195,0.0,,0.2175,0.195,212.71M,215.68M,0.22
2010-03,3.924B,3.924B,3.305B,619.32M,,1.317M,23.07M,76.52M,-76.52M,180.27M,281.20M,338.12M,76.52M,-76.52M,22.43M,-76.52M,284.03M,97.31M,186.72M,,,-32.18M,,154.54M,153.67M,438.41M,77.86M,360.55M,0.73,0.0,,0.7259,0.73,0.72,0.0,,0.716,0.72,212.26M,214.82M,0.22
2009-12,3.729B,3.729B,3.149B,580.26M,,-9.238M,25.61M,76.78M,-76.78M,,308.76M,271.50M,76.78M,-76.78M,8.02M,-76.78M,207.54M,63.54M,144.00M,,,-50.55M,,93.44M,99.85M,357.62M,73.30M,284.32M,0.445,0.0,,0.4754,0.445,0.435,0.0,,0.4649,0.435,211.06M,214.19M,0.21
2009-09,2.365B,2.365B,1.913B,451.85M,,14.06M,24.90M,72.69M,-72.69M,,276.90M,174.96M,72.69M,-72.69M,34.12M,-72.69M,136.39M,34.08M,102.31M,,,-54.27M,,48.04M,37.49M,281.40M,72.32M,209.08M,0.23,0.0,,0.18,0.23,0.225,0.0,,0.1755,0.225,210.84M,212.98M,0.21
2009-06,2.228B,2.228B,1.795B,432.43M,,16.01M,25.26M,73.39M,-73.39M,184.87M,281.38M,151.04M,73.39M,-73.39M,30.20M,-73.39M,111.61M,30.26M,81.35M,,,-39.67M,,41.68M,30.01M,256.25M,71.25M,185.00M,0.2,0.0,,0.1446,0.2,0.195,0.0,,0.1399,0.195,210.67M,211.90M,0.2
2009-03,2.790B,2.790B,2.238B,551.41M,,6.724M,25.23M,77.96M,-77.96M,161.72M,259.07M,292.34M,77.96M,-77.96M,27.95M,-77.96M,242.99M,79.44M,163.55M,,,-41.26M,,122.28M,117.76M,393.08M,72.13M,320.95M,0.58,0.0,,0.5585,0.58,0.58,0.0,,0.5586,0.58,210.32M,211.47M,0.2
2008-12,2.843B,2.843B,2.369B,473.76M,,-71.96M,16.24M,,,175.33M,256.07M,217.69M,,,29.48M,,403.83M,47.10M,356.73M,,,-53.15M,,68.17M,131.74M,426.21M,64.50M,361.71M,0.325,0.0,,0.6291,0.325,0.325,0.0,,0.6262,0.325,209.04M,211.02M,0.2
2008-09,4.239B,4.239B,3.784B,455.03M,,47.73M,24.07M,,,179.84M,264.16M,190.87M,,,47.73M,,82.06M,24.03M,58.03M,,,-95.35M,,58.03M,24.28M,251.12M,60.25M,190.87M,0.28,0.0,,0.1184,0.28,0.275,0.0,,0.1152,0.275,208.89M,211.27M,0.2
2008-06,4.173B,4.173B,3.752B,420.83M,,17.90M,16.68M,,,171.43M,247.81M,173.02M,,,17.90M,,72.44M,30.57M,41.86M,,,-71.10M,,41.86M,30.23M,232.72M,59.70M,173.02M,0.2,0.0,,0.1442,0.2,0.195,0.0,,0.1401,0.195,208.68M,212.14M,0.19
2008-03,4.902B,4.902B,4.316B,585.91M,,26.42M,25.33M,,,167.99M,252.80M,333.11M,,,26.42M,,236.20M,92.37M,143.84M,,,-68.96M,,143.84M,127.75M,392.59M,59.48M,333.11M,0.69,0.0,,0.6128,0.69,0.68,0.0,,0.604,0.68,208.34M,211.64M,0.19
2007-12,3.985B,3.985B,3.448B,537.40M,,17.08M,23.62M,,,198.56M,281.69M,255.71M,,,17.08M,,158.33M,55.40M,102.92M,,,-58.19M,,102.92M,91.82M,315.22M,59.51M,255.71M,0.49,0.0,,0.4365,0.49,0.48,0.0,,0.4274,0.48,207.51M,211.10M,0.18
2007-09,2.810B,2.810B,2.470B,340.16M,,27.01M,20.73M,,,160.35M,237.45M,102.71M,,,27.01M,,22.05M,8.138M,13.91M,,,-45.00M,,13.91M,-3.131M,159.08M,56.36M,102.71M,0.065,0.0,,-0.017,0.065,0.065,0.0,,-0.0155,0.065,207.76M,211.86M,0.18
2007-06,2.876B,2.876B,2.509B,367.70M,,28.16M,17.92M,,,158.02M,231.58M,136.11M,,,28.16M,,58.41M,23.21M,35.20M,,,-44.70M,,35.20M,18.23M,191.76M,55.64M,136.11M,0.16,0.0,,0.0835,0.16,0.155,0.0,,0.0799,0.155,221.76M,225.97M,0.17
2007-03,3.806B,3.806B,3.241B,564.85M,,30.62M,23.66M,,,158.64M,238.75M,326.10M,,,30.62M,,250.73M,97.85M,152.88M,,,-45.31M,,152.88M,134.21M,382.55M,56.45M,326.10M,0.69,0.0,,0.6058,0.69,0.68,0.0,,0.5972,0.68,221.74M,225.45M,0.17
2006-12,3.049B,3.049B,2.581B,468.61M,,18.71M,20.32M,,,189.05M,266.03M,202.59M,,,18.71M,,120.84M,46.26M,74.58M,0.045M,,-37.38M,,74.62M,63.03M,259.24M,56.65M,202.59M,0.34,0.0,,0.2876,0.34,0.33,0.0,,0.279,0.33,220.51M,226.41M,0.16
2006-09,2.645B,2.645B,2.295B,349.77M,,30.34M,19.48M,,,155.28M,230.24M,119.54M,,,30.34M,,40.14M,15.73M,24.41M,-0.013M,,-48.28M,,24.40M,5.957M,175.00M,55.47M,119.54M,0.11,0.0,,0.0285,0.11,0.105,0.0,,0.0247,0.105,226.40M,229.84M,0.16
2006-06,2.432B,2.432B,2.034B,398.21M,,135.27M,19.90M,,,156.74M,243.73M,154.48M,,,135.27M,,129.58M,51.64M,77.94M,-0.15M,,-100.57M,,77.80M,-3.421M,221.58M,67.10M,154.48M,0.33,0.0,,-0.0165,0.33,0.325,0.0,,-0.0168,0.325,234.85M,238.05M,0.15
2006-03,3.848B,3.848B,3.346B,501.28M,,32.17M,18.38M,,,157.51M,232.21M,269.07M,,,32.17M,,209.88M,80.14M,129.74M,-0.247M,,-35.77M,,129.49M,109.86M,325.40M,56.32M,269.07M,0.605,0.0,,0.5122,0.605,0.585,0.0,,0.4952,0.585,214.29M,221.51M,0.14
2005-12,4.696B,4.696B,4.288B,408.46M,,250.11M,16.40M,,,157.55M,222.32M,186.14M,,,250.11M,,380.32M,140.64M,239.68M,-2.146M,,,,237.54M,82.06M,234.51M,48.37M,186.14M,1.2,0.0,,0.3889,1.2,1.12,0.0,,0.3577,1.12,194.33M,206.77M,0.14
2005-09,3.192B,3.192B,2.863B,329.32M,,3.582M,18.11M,,,153.01M,219.25M,110.07M,,,3.582M,,72.35M,27.74M,44.61M,131.84M,,,,176.45M,42.41M,158.20M,31.36M,110.07M,0.225,0.66,,0.2139,0.885,0.205,0.605,,0.1948,0.81,199.79M,217.20M,0.14
2005-06,2.081B,2.081B,1.851B,229.98M,,-0.001M,15.65M,,,118.48M,177.80M,52.18M,,,-0.001M,,28.19M,11.12M,17.07M,7.778M,,,,24.85M,17.07M,112.63M,60.44M,52.18M,0.085,0.04,,0.085,0.125,0.08,0.035,,0.08,0.115,202.29M,218.12M,0.14
2005-03,2.707B,2.707B,2.337B,370.40M,,4.516M,17.30M,,,123.50M,184.02M,186.38M,,,4.516M,,164.80M,63.03M,101.78M,5.886M,,,,107.66M,98.99M,229.60M,43.22M,186.38M,0.49,0.03,,0.4765,0.52,0.46,0.025,,0.4474,0.485,207.33M,222.00M,0.125
2004-12,2.544B,2.544B,2.197B,346.88M,,4.953M,13.91M,,,123.46M,177.42M,169.46M,,,4.953M,,148.35M,53.82M,94.53M,3.867M,,,,98.40M,91.37M,209.50M,40.05M,169.46M,0.465,0.015,,0.4497,0.48,0.44,0.015,,0.4256,0.46,206.54M,219.21M,0.125
2004-09,1.664B,1.664B,1.445B,219.85M,,-0.044M,13.22M,,,118.51M,171.45M,48.40M,,,-0.044M,,27.56M,11.01M,16.55M,4.288M,,,,20.84M,16.58M,88.11M,25.04M,48.40M,0.08,0.02,,0.0801,0.1,0.075,0.02,,0.0751,0.095,205.83M,213.88M,0.115
2004-06,632.14M,632.14M,402.09M,230.05M,,0.772M,16.57M,,,113.65M,176.45M,53.61M,,,0.772M,,29.43M,11.64M,17.79M,,,,,17.79M,17.32M,99.83M,46.23M,53.61M,0.085,0.0,,0.0827,0.085,0.085,0.0,,0.0828,0.085,205.09M,207.94M,0.105
2004-03,1.031B,1.031B,637.82M,392.76M,,0.224M,20.54M,,,130.38M,197.65M,195.11M,,,0.224M,,171.64M,66.49M,105.15M,,,,,105.15M,105.02M,241.85M,46.74M,195.11M,0.53,0.0,,0.5293,0.53,0.52,0.0,,0.5193,0.52,198.23M,202.60M,0.095
2003-12,720.50M,720.50M,465.45M,255.05M,,0.363M,13.00M,,,116.01M,153.46M,101.59M,,,0.363M,,82.24M,28.54M,53.70M,9.213M,0.00,,0.00,62.91M,53.46M,142.21M,40.62M,101.59M,0.32,0.06,0.0,0.3186,0.38,0.28,0.045,0.0218,0.2788,0.325,172.65M,191.68M,0.09
2003-09,568.27M,568.27M,373.89M,194.38M,,0.78M,16.02M,,,106.43M,162.56M,31.82M,,,0.78M,,7.628M,3.033M,4.595M,,,,4.00M,4.595M,4.125M,71.92M,40.10M,31.82M,0.005,0.0,,0.002,0.005,0.005,0.0,,0.002,0.005,155.73M,157.40M,0.085
2003-06,494.99M,494.99M,262.55M,232.44M,,1.046M,16.60M,,,114.12M,170.43M,62.01M,,,1.046M,,38.09M,15.54M,22.55M,,,,5.045M,22.55M,21.92M,101.72M,39.71M,62.01M,0.12,0.0,,0.1158,0.12,0.115,0.0,,0.1118,0.115,148.82M,194.05M,0.085
2003-03,1.087B,1.087B,683.76M,402.95M,,0.741M,17.64M,,,112.44M,170.52M,232.44M,,,0.741M,,204.60M,78.99M,125.61M,40.71M,-143.88M,,15.17M,22.43M,125.15M,272.86M,40.43M,232.44M,0.715,0.18,-0.0,0.7123,0.255,0.6,0.18,-0.8592,0.5977,0.14,167.47M,197.03M,0.0775
2002-12,601.38M,601.38M,367.64M,233.74M,,-4.011M,12.47M,,,97.82M,146.81M,86.94M,,,-4.011M,,59.55M,24.96M,34.59M,3.335M,,,9.275M,37.92M,37.00M,125.58M,38.64M,86.94M,0.15,0.015,,0.162,0.165,0.15,0.015,,0.162,0.165,200.20M,201.12M,0.0775
2002-09,449.04M,449.04M,240.20M,208.84M,,-7.012M,13.73M,,,92.81M,145.06M,63.78M,,,-7.012M,,27.78M,10.40M,17.38M,3.343M,,,9.275M,20.72M,21.76M,102.30M,25.05M,63.78M,0.075,0.01,,0.0969,0.085,0.075,0.01,,0.0968,0.085,199.91M,201.15M,0.0775
2002-06,1.171B,1.171B,916.52M,254.92M,,5.131M,15.53M,,,110.10M,170.60M,84.32M,,,5.131M,,61.60M,26.21M,35.38M,,,,9.275M,35.38M,32.30M,136.49M,52.17M,84.32M,0.145,0.0,,0.1296,0.145,0.145,0.0,,0.1297,0.145,199.75M,201.41M,0.0775
