,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,1.239B,,,-133.00M,-133.00M,280.00M,280.00M,81.00M,,,104.00M,710.00M,-1.302B,176.00M,1.259B,2.922B,,,,,519.00M,-284.00M,-1.25B,,-509.00M,-151.00M,-660.00M,33.00M,-840.00M,-807.00M,,,,-358.00M,-63.00M,-421.00M,,-2.272B,,5.249B,-600.00M,4.649B,,33.00M,2.103B,-2.763B,-840.00M,7.00M,501.00M,,AOR,Restated
2017-12,2.091B,,,-412.00M,-412.00M,258.00M,258.00M,-550.00M,,,492.00M,-709.00M,701.00M,53.00M,-1.14B,864.00M,,,,-19.00M,-1.69B,-432.00M,-5.391B,,1.902B,-170.00M,1.732B,38.00M,-520.00M,-482.00M,,,,-362.00M,-55.00M,-417.00M,0.00,5.04B,,4.736B,513.00M,5.249B,,38.00M,6.633B,-4.901B,-520.00M,19.00M,542.00M,,AOR,Restated
2017-09,1.126B,,,-117.00M,-117.00M,291.00M,291.00M,67.00M,,,49.00M,369.00M,-335.00M,1.328B,949.00M,2.495B,,,,0.00,1.069B,-345.00M,-4.735B,,1.445B,279.00M,1.724B,26.00M,-553.00M,-527.00M,,,,-364.00M,-63.00M,-427.00M,0.00,1.937B,,5.039B,-303.00M,4.736B,,26.00M,1.705B,19.00M,-553.00M,23.00M,408.00M,,AOR,Restated
2017-06,1.097B,,,-98.00M,-98.00M,289.00M,289.00M,59.00M,,,-79.00M,520.00M,30.00M,-671.00M,-736.00M,630.00M,,,,-1.323B,1.164B,-285.00M,851.00M,,925.00M,-243.00M,682.00M,8.00M,-686.00M,-678.00M,,,,-269.00M,-55.00M,-324.00M,0.00,-1.445B,,5.003B,36.00M,5.039B,,8.00M,3.569B,-2.887B,-686.00M,22.00M,446.00M,,AOR,Restated
2017-03,1.074B,,,-100.00M,-100.00M,279.00M,279.00M,21.00M,,,-122.00M,-884.00M,574.00M,-405.00M,350.00M,1.59B,,,,,-424.00M,-158.00M,-5.62B,,1.72B,802.00M,2.522B,60.00M,-688.00M,-628.00M,,,,-271.00M,-63.00M,-334.00M,-1.00B,4.154B,,4.879B,124.00M,5.003B,,60.00M,7.141B,-4.619B,-688.00M,8.00M,347.00M,,AOR,Restated
2016-12,1.047B,,,-105.00M,-105.00M,276.00M,276.00M,497.00M,,,496.00M,-1.545B,1.055B,-138.00M,-1.073B,1.205B,,,,,633.00M,-658.00M,297.00M,,1.007B,238.00M,1.245B,88.00M,-503.00M,-415.00M,,,,-270.00M,-41.00M,-311.00M,,-1.154B,,4.531B,348.00M,4.879B,,607.00M,3.055B,-1.81B,-503.00M,197.00M,337.00M,,AOR,Restated
2016-09,1.006B,,,-108.00M,-108.00M,356.00M,356.00M,-103.00M,,,-165.00M,18.00M,369.00M,-164.00M,461.00M,1.534B,,,,,-6.168B,-208.00M,-7.515B,,-2.051B,-538.00M,-2.589B,34.00M,-505.00M,-471.00M,,,,-275.00M,-63.00M,-338.00M,,6.316B,,4.196B,335.00M,4.531B,,34.00M,470.00M,-3.059B,-505.00M,177.00M,316.00M,,AOR,Restated
2016-06,989.00M,,,-87.00M,-169.00M,291.00M,291.00M,-19.00M,,,-111.00M,1.095B,-1.02B,81.00M,-623.00M,485.00M,,,,,279.00M,-70.00M,819.00M,,880.00M,347.00M,1.227B,11.00M,-503.00M,-492.00M,,,,-256.00M,-41.00M,-297.00M,,-969.00M,,3.861B,335.00M,4.196B,,11.00M,2.308B,-1.081B,-503.00M,265.00M,319.00M,,AOR,Restated
2016-03,943.00M,,,-61.00M,-105.00M,270.00M,270.00M,-49.00M,,,-155.00M,1.084B,-969.00M,-946.00M,-780.00M,276.00M,,,,,-818.00M,119.00M,-908.00M,,-1.032B,-165.00M,-1.197B,18.00M,-551.00M,-533.00M,,,,-260.00M,-64.00M,-324.00M,,428.00M,,4.065B,-204.00M,3.861B,,18.00M,1.205B,-2.402B,-551.00M,19.00M,345.00M,,AOR,Restated
2015-12,1.022B,,41.00M,-115.00M,-121.00M,286.00M,286.00M,276.00M,,,-54.00M,-4.068B,3.96B,38.00M,409.00M,1.892B,,,,,-4.202B,-139.00M,-2.726B,,-387.00M,-1.224B,-1.611B,9.00M,-554.00M,-545.00M,,0.00,0.00,-259.00M,-41.00M,-300.00M,,1.064B,,3.835B,230.00M,4.065B,,9.00M,1.552B,-3.163B,-554.00M,392.00M,241.00M,,AOR,Restated
2015-09,1.073B,,9.00M,-96.00M,-130.00M,272.00M,272.00M,19.00M,,,-113.00M,2.466B,-2.183B,187.00M,775.00M,1.977B,,,,,-5.02B,-173.00M,-5.051B,,490.00M,-2.265B,-1.775B,21.00M,-578.00M,-557.00M,,0.00,0.00,-263.00M,-63.00M,-326.00M,,2.497B,,4.412B,-577.00M,3.835B,,21.00M,1.244B,-3.019B,-578.00M,336.00M,261.00M,,AOR,Restated
2015-06,1.044B,,-8.00M,-100.00M,-187.00M,278.00M,278.00M,69.00M,,,-79.00M,-1.23B,1.371B,207.00M,225.00M,1.396B,,,,,-1.231B,-129.00M,-4.597B,,3.446B,-1.849B,1.597B,49.00M,-557.00M,-508.00M,,-500.00M,-500.00M,-265.00M,-47.00M,-312.00M,,3.462B,,4.151B,261.00M,4.412B,,49.00M,3.856B,-2.259B,-1.057B,163.00M,252.00M,,AOR,Restated
2015-03,1.004B,,-42.00M,-96.00M,-138.00M,252.00M,252.00M,40.00M,,,-193.00M,1.044B,-1.306B,-229.00M,-759.00M,260.00M,,,,,-4.135B,-265.00M,-3.886B,,1.579B,-424.00M,1.155B,60.00M,-463.00M,-403.00M,,,,-251.00M,-68.00M,-319.00M,,3.417B,,4.36B,-209.00M,4.151B,,60.00M,5.859B,-4.704B,-463.00M,28.00M,251.00M,,AOR,Restated
2014-12,1.057B,,4.00M,-107.00M,-139.00M,264.00M,264.00M,205.00M,,23.00M,-266.00M,-163.00M,28.00M,129.00M,-191.00M,1.005B,,,,,-659.00M,78.00M,-10.35B,,3.913B,505.00M,4.418B,49.00M,-543.00M,-494.00M,,,,-252.00M,-47.00M,-299.00M,-23.00M,9.537B,,4.164B,196.00M,4.36B,,49.00M,9.414B,-4.996B,-543.00M,1.791B,1.49B,,AOR,Restated
2014-09,1.038B,,0.00,-141.00M,-198.00M,248.00M,248.00M,-54.00M,,13.00M,-101.00M,-49.00M,490.00M,-211.00M,109.00M,1.11B,,,,,1.327B,-11.00M,-8.265B,,2.763B,218.00M,2.981B,24.00M,-342.00M,-318.00M,,,,-257.00M,-70.00M,-327.00M,-13.00M,6.427B,,4.892B,-728.00M,4.164B,,24.00M,6.43B,-3.449B,-342.00M,-1.24B,-1.045B,,AOR,Restated
2014-06,1.052B,,6.00M,-92.00M,-142.00M,240.00M,240.00M,87.00M,,-20.00M,-119.00M,25.00M,219.00M,223.00M,380.00M,1.55B,,,,,2.346B,-186.00M,-3.297B,,2.051B,235.00M,2.286B,53.00M,-250.00M,-197.00M,,,,-256.00M,-47.00M,-303.00M,20.00M,1.916B,,4.723B,169.00M,4.892B,,53.00M,6.97B,-4.684B,-250.00M,531.00M,213.00M,,AOR,Restated
2014-03,1.06B,,-10.00M,-101.00M,-171.00M,236.00M,236.00M,17.00M,,-16.00M,-29.00M,356.00M,-231.00M,616.00M,729.00M,1.92B,,,,,1.831B,-80.00M,-2.985B,,2.263B,-701.00M,1.562B,126.00M,-41.00M,85.00M,,,,-235.00M,-68.00M,-303.00M,16.00M,1.745B,,4.043B,680.00M,4.723B,,126.00M,9.211B,-7.649B,-41.00M,20.00M,205.00M,,AOR,Restated
2013-12,1.074B,,-3.00M,-111.00M,-130.00M,263.00M,263.00M,217.00M,,0.00,-92.00M,-1.399B,1.263B,-1.438B,-1.786B,-341.00M,,,,,-2.738B,-253.00M,-11.11B,,5.699B,-869.00M,4.83B,49.00M,-1.00M,48.00M,0.00,0.00,0.00,-234.00M,-49.00M,-283.00M,0.00,10.58B,,4.908B,-865.00M,4.043B,,49.00M,10.27B,-5.444B,-1.00M,6.00M,193.00M,,AOR,Restated
2013-09,1.028B,,-21.00M,-89.00M,-193.00M,300.00M,300.00M,187.00M,,-5.00M,12.00M,-1.31B,2.551B,520.00M,2.634B,4.10B,,,,,-667.00M,76.00M,-7.186B,,1.449B,107.00M,1.556B,64.00M,0.00,64.00M,0.00,0.00,0.00,-233.00M,-70.00M,-303.00M,5.00M,3.943B,,4.051B,857.00M,4.908B,,64.00M,8.48B,-6.924B,0.00,228.00M,698.00M,,AOR,Restated
2013-06,1.115B,,-61.00M,-100.00M,-240.00M,300.00M,300.00M,533.00M,,-14.00M,-12.00M,-436.00M,-146.00M,351.00M,-1.055B,784.00M,,,,,1.626B,173.00M,-4.023B,,2.739B,-561.00M,2.178B,102.00M,-1.00M,101.00M,496.00M,-150.00M,346.00M,-234.00M,-51.00M,-285.00M,14.00M,3.342B,,3.948B,103.00M,4.051B,,598.00M,8.452B,-6.274B,-151.00M,-32.00M,-233.00M,,AOR,Restated
2013-03,995.00M,,-14.00M,-73.00M,-77.00M,283.00M,283.00M,259.00M,,-4.00M,-41.00M,-845.00M,25.00M,112.00M,-639.00M,1.012B,,,,,1.602B,133.00M,3.38B,,-2.639B,-1.557B,-4.196B,29.00M,-22.00M,7.00M,,,,-210.00M,-67.00M,-277.00M,-371.00M,-5.664B,,5.22B,-1.272B,3.948B,,29.00M,3.057B,-7.253B,-22.00M,32.00M,233.00M,,AOR,Restated
2012-12,712.00M,,-45.00M,-82.00M,-242.00M,298.00M,298.00M,83.00M,,-1.00M,33.00M,-1.256B,1.827B,493.00M,-63.00M,1.183B,,,,-836.00M,907.00M,67.00M,-5.628B,,516.00M,-2.115B,-1.599B,11.00M,-56.00M,-45.00M,529.00M,,529.00M,-212.00M,-52.00M,-264.00M,-499.00M,5.381B,,4.284B,936.00M,5.22B,,540.00M,6.555B,-8.154B,-56.00M,3.00M,265.00M,,AOR,Restated
2012-09,925.00M,,-40.00M,-88.00M,-241.00M,307.00M,307.00M,68.00M,,-2.00M,-15.00M,555.00M,1.00M,-537.00M,542.00M,1.812B,,,,0.00,-49.00M,112.00M,-392.00M,,-1.72B,1.316B,-404.00M,35.00M,-109.00M,-74.00M,438.00M,,438.00M,-212.00M,-62.00M,-274.00M,2.00M,-1.272B,,4.136B,148.00M,4.284B,,473.00M,9.314B,-9.718B,-109.00M,14.00M,310.00M,,AOR,Restated
2012-06,546.00M,,-62.00M,-64.00M,-92.00M,285.00M,285.00M,231.00M,,-15.00M,66.00M,66.00M,446.00M,263.00M,-239.00M,1.038B,,,,35.00M,2.852B,-70.00M,-4.133B,,-1.332B,2.984B,1.652B,42.00M,-26.00M,16.00M,1.482B,,1.482B,-211.00M,-25.00M,-236.00M,15.00M,3.069B,,4.162B,-26.00M,4.136B,,1.524B,10.95B,-9.299B,-26.00M,15.00M,295.00M,,AOR,Restated
2012-03,811.00M,,-57.00M,-68.00M,-87.00M,269.00M,269.00M,181.00M,,,-90.00M,-55.00M,-62.00M,1.131B,1.507B,2.776B,,,,-3.329B,-626.00M,-12.00M,-7.108B,,1.318B,1.639B,2.957B,70.00M,-25.00M,45.00M,,,,-185.00M,-38.00M,-223.00M,,4.389B,,4.105B,57.00M,4.162B,,70.00M,11.52B,-8.564B,-25.00M,7.00M,338.00M,,AOR,Restated
2011-12,493.00M,,-62.00M,-46.00M,44.00M,290.00M,290.00M,680.00M,-108.00M,,-779.00M,-180.00M,735.00M,610.00M,640.00M,1.448B,,,,169.00M,776.00M,84.00M,-2.823B,,658.00M,1.116B,1.774B,37.00M,-7.00M,30.00M,0.00,,0.00,-183.00M,-24.00M,-207.00M,,1.498B,,3.982B,123.00M,4.105B,,37.00M,3.427B,-1.653B,-7.00M,-24.00M,352.00M,,AOR,Restated
2011-09,834.00M,,-68.00M,-84.00M,-152.00M,281.00M,281.00M,287.00M,35.00M,,378.00M,2.927B,-3.882B,-280.00M,-1.044B,880.00M,,,,0.00,-4.46B,-57.00M,-6.957B,,545.00M,-237.00M,308.00M,11.00M,-14.00M,-3.00M,988.00M,,988.00M,-185.00M,-4.00M,-189.00M,,6.194B,,3.865B,117.00M,3.982B,,999.00M,3.646B,-3.731B,-14.00M,142.00M,346.00M,,AOR,Restated
2011-06,912.00M,,-82.00M,-77.00M,-159.00M,290.00M,290.00M,-173.00M,39.00M,,234.00M,994.00M,316.00M,,1.555B,2.978B,,,,261.00M,3.137B,-307.00M,-1.882B,,-694.00M,968.00M,274.00M,10.00M,-19.00M,-9.00M,,,0.00,-184.00M,-24.00M,-208.00M,,-620.00M,,3.389B,476.00M,3.865B,,10.00M,2.433B,-3.127B,-19.00M,433.00M,374.00M,,AOR,Restated
2011-03,832.00M,,-37.00M,-55.00M,-92.00M,279.00M,279.00M,46.00M,34.00M,,37.00M,-411.00M,-585.00M,,-830.00M,727.00M,,,,,2.855B,-80.00M,5.113B,,-2.895B,-1.361B,-4.256B,14.00M,-33.00M,-19.00M,,,,-52.00M,-4.00M,-56.00M,,-5.748B,,3.297B,92.00M,3.389B,,14.00M,2.201B,-5.096B,-33.00M,291.00M,445.00M,,AOR,Restated
2010-12,820.00M,,571.00M,-115.00M,-18.00M,306.00M,306.00M,328.00M,-281.00M,,-1.185B,-2.137B,1.506B,410.00M,-319.00M,374.00M,,,,-277.00M,559.00M,-733.00M,-4.715B,,-958.00M,1.264B,306.00M,20.00M,-32.00M,-12.00M,,0.00,0.00,-53.00M,-24.00M,-77.00M,-1.00M,3.914B,,3.724B,-427.00M,3.297B,,20.00M,1.69B,-1.384B,-32.00M,173.00M,452.00M,,AOR,Restated
2010-09,1.103B,,-760.00M,-61.00M,-821.00M,311.00M,311.00M,120.00M,71.00M,,-119.00M,972.00M,-1.005B,58.00M,-701.00M,169.00M,,,,2.323B,-8.907B,93.00M,1.168B,,-1.188B,-401.00M,-1.589B,25.00M,-56.00M,-31.00M,,0.00,0.00,-53.00M,-4.00M,-57.00M,-99.00M,-1.171B,,3.558B,166.00M,3.724B,,25.00M,1.585B,-3.174B,-56.00M,236.00M,498.00M,,AOR,Restated
2010-06,803.00M,,-147.00M,-58.00M,-205.00M,216.00M,216.00M,317.00M,94.00M,,196.00M,501.00M,-636.00M,,-247.00M,1.997B,,,,156.00M,6.673B,329.00M,3.659B,,-1.104B,1.089B,-15.00M,32.00M,-49.00M,-17.00M,,0.00,0.00,-53.00M,-25.00M,-78.00M,,-5.661B,,3.563B,-5.00M,3.558B,,32.00M,1.452B,-1.467B,-49.00M,34.00M,406.00M,,AOR,Restated
2010-03,671.00M,,-90.00M,-57.00M,-147.00M,226.00M,226.00M,254.00M,116.00M,,204.00M,-907.00M,1.322B,,197.00M,2.272B,,,,,-1.57B,264.00M,5.617B,,-1.238B,-1.429B,-2.667B,3.409B,-67.00M,3.342B,,-7.579B,-7.579B,-45.00M,-93.00M,-138.00M,,-8.614B,,4.288B,-725.00M,3.563B,,3.409B,3.323B,-5.99B,-7.646B,309.00M,515.00M,,AOR,Restated
2009-12,1.107B,,-144.00M,-37.00M,-1.257B,231.00M,231.00M,789.00M,144.00M,1.00M,-163.00M,-2.14B,2.487B,-298.00M,892.00M,3.225B,,,,0.00,-1.334B,-532.00M,-2.859B,,-3.379B,1.755B,-1.624B,73.00M,-64.00M,9.00M,,,0.00,-46.00M,-119.00M,-165.00M,-1.00M,496.00M,,3.426B,862.00M,4.288B,,73.00M,681.00M,-2.305B,-64.00M,120.00M,625.00M,,AOR,Restated
2009-09,559.00M,,-168.00M,-64.00M,-335.00M,242.00M,242.00M,-45.00M,129.00M,-1.00M,604.00M,-881.00M,-612.00M,106.00M,-456.00M,1.179B,,,,-3.396B,-3.905B,26.00M,4.624B,,-3.682B,93.00M,-3.589B,53.00M,-42.00M,11.00M,,,0.00,-46.00M,-99.00M,-145.00M,1.00M,-6.174B,,3.797B,-371.00M,3.426B,,53.00M,556.00M,-4.145B,-42.00M,614.00M,710.00M,,AOR,Restated
2009-06,207.00M,,-182.00M,-33.00M,-215.00M,247.00M,247.00M,-49.00M,155.00M,,-678.00M,-285.00M,1.754B,-931.00M,-274.00M,480.00M,,,,0.00,-2.57B,119.00M,6.892B,,-2.653B,102.00M,-2.551B,675.00M,-47.00M,628.00M,,,,-45.00M,-119.00M,-164.00M,,-7.151B,,3.576B,221.00M,3.797B,,675.00M,2.528B,-5.079B,-47.00M,41.00M,833.00M,,AOR,Restated
2009-03,530.00M,,-56.00M,-10.00M,-66.00M,258.00M,258.00M,237.00M,149.00M,,506.00M,-4.812B,1.917B,1.123B,-1.624B,870.00M,,,,,-1.989B,-154.00M,822.00M,,-1.714B,-1.95B,-3.664B,70.00M,-35.00M,35.00M,,,0.00,-293.00M,-51.00M,-344.00M,,-2.587B,,4.471B,-895.00M,3.576B,,70.00M,1.022B,-4.686B,-35.00M,9.00M,983.00M,,AOR,Restated
2008-12,-246.00M,,-2.00M,27.00M,120.00M,119.00M,119.00M,-254.00M,174.00M,-4.00M,-327.00M,700.00M,707.00M,,1.438B,2.01B,,,,2.143B,-1.297B,-196.00M,-6.37B,,-128.00M,21.00M,-107.00M,84.00M,-35.00M,49.00M,7.275B,,7.275B,-229.00M,-21.00M,-250.00M,4.00M,5.771B,,3.06B,1.411B,4.471B,,7.359B,2.226B,-1.173B,-35.00M,220.00M,205.00M,,,Restated
2008-09,278.00M,,-64.00M,-156.00M,-195.00M,176.00M,176.00M,-52.00M,138.00M,-9.00M,-190.00M,4.44B,-1.222B,,2.628B,3.301B,,,,377.00M,-2.10B,960.00M,-3.512B,,786.00M,1.837B,2.623B,291.00M,-199.00M,59.00M,492.00M,,0.00,-673.00M,0.00,-229.00M,-670.00M,-254.00M,,3.525B,-465.00M,3.06B,,783.00M,1.40B,-1.795B,-199.00M,668.00M,1.94B,,,Restated
2008-06,498.00M,,1.00M,63.00M,39.00M,76.00M,76.00M,52.00M,,3.00M,213.00M,-2.088B,1.457B,-113.00M,667.00M,1.397B,,,,-136.00M,-2.344B,-1.292B,-3.47B,,-1.642B,-1.302B,-2.944B,-56.00M,48.00M,25.00M,,,492.00M,,,-229.00M,676.00M,1.664B,,3.934B,-409.00M,3.525B,,-56.00M,-627.00M,701.00M,48.00M,-3.00M,-744.00M,,,
2008-03,384.00M,,-41.00M,-63.00M,-199.00M,92.00M,92.00M,-7.00M,0.00,-3.00M,93.00M,2.088B,-1.457B,113.00M,195.00M,706.00M,,,,377.00M,533.00M,-242.00M,366.00M,,5.615B,-1.716B,3.899B,56.00M,-48.00M,8.00M,,,,,,-215.00M,3.00M,-705.00M,,3.567B,367.00M,3.934B,,56.00M,6.761B,-2.862B,-48.00M,3.00M,744.00M,,,Restated
2007-12,178.00M,,1.00M,,129.00M,94.00M,94.00M,-3.00M,,,-110.00M,,,,-1.491B,-1.203B,,,,-373.00M,15.00M,-3.166B,-3.524B,,3.761B,-403.00M,3.358B,,,-9.00M,,,,,,-212.00M,-488.00M,4.976B,,3.318B,249.00M,3.567B,,,4.88B,-1.119B,,,,,,
2007-09,407.00M,,4.00M,,54.00M,83.00M,83.00M,11.00M,,,256.00M,,,,186.00M,997.00M,,,,-280.00M,-4.671B,726.00M,-4.225B,,2.555B,245.00M,2.80B,,,-397.00M,,,,,,-215.00M,1.00M,3.369B,,3.177B,141.00M,3.318B,,,3.137B,-582.00M,,,,,,
2007-06,423.00M,,,,1.00M,78.00M,78.00M,25.00M,,,10.00M,,,,-1.798B,-1.261B,,,,0.00,-289.00M,-2.088B,-2.377B,,2.197B,1.51B,3.707B,,,-248.00M,,,,,,-218.00M,494.00M,3.581B,,3.234B,-57.00M,3.177B,,,2.519B,-322.00M,,,,,,
2007-03,459.00M,,,,-52.00M,77.00M,77.00M,45.00M,,,-103.00M,,,,625.00M,1.051B,,,,-1.89B,-1.656B,-967.00M,-4.513B,,1.517B,3.219B,4.736B,,,-56.00M,,,,,,-161.00M,8.00M,3.173B,,3.523B,-289.00M,3.234B,,,2.42B,-903.00M,,,,,,
2006-12,376.00M,,0.00,,-2.066B,77.00M,77.00M,-103.00M,,,2.344B,,,,500.00M,1.128B,,,,-3.00M,-1.598B,-525.00M,-2.126B,,981.00M,-924.00M,57.00M,,,-84.00M,,,,,,-162.00M,78.00M,1.503B,,3.018B,505.00M,3.523B,,,1.46B,-479.00M,,,,,,
2006-09,1.484B,,195.00M,,195.00M,86.00M,86.00M,784.00M,,,-1.756B,,,,-827.00M,-34.00M,,,,0.00,907.00M,-754.00M,153.00M,,-2.297B,639.00M,-1.658B,,,-95.00M,,,,,,-162.00M,298.00M,-539.00M,,3.438B,-420.00M,3.018B,,,-133.00M,-2.164B,,,,,,
2006-06,381.00M,,8.00M,,8.00M,89.00M,89.00M,34.00M,,,-688.00M,,,,785.00M,609.00M,,,,-50.00M,-838.00M,-1.17B,-2.058B,,-19.00M,-283.00M,-302.00M,,,-86.00M,,,,,,-162.00M,-361.00M,1.681B,,3.206B,232.00M,3.438B,,,-484.00M,465.00M,,,,,,
