,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2001-06,,3.659B,,3.659B,,3.659B,,,,2.405B,45.78B,675.00M,,45.10B,12.05B,66.35B,70.01B,,,,,,3.83B,3.83B,3.83B,5.274B,,6.845B,6.845B,45.83B,848.00M,52.67B,62.42B,,1.769B,7.01B,1.257B,3.203B,5.00M,-85.00M,6.748B,,,
2001-03,,2.998B,,2.998B,,2.998B,,,,2.437B,48.45B,675.00M,-1.062B,46.72B,12.83B,67.97B,70.97B,,,,,,3.453B,3.453B,3.453B,4.238B,,8.041B,8.041B,47.19B,848.00M,55.23B,63.34B,,1.771B,6.857B,1.323B,3.151B,7.00M,-19.00M,6.781B,,,
2000-12,,3.662B,,3.662B,,3.662B,,,,2.468B,52.26B,675.00M,,51.58B,7.053B,66.18B,69.84B,,,,,,1.756B,1.756B,1.756B,3.201B,,8.517B,8.517B,47.66B,848.00M,56.18B,62.34B,,1.771B,6.736B,1.303B,3.041B,7.00M,-113.00M,6.656B,,,
2000-09,,3.106B,,3.106B,,3.106B,,,,2.476B,52.88B,675.00M,-964.00M,51.24B,8.163B,66.78B,69.88B,,,,,,2.443B,2.443B,2.443B,3.784B,,8.515B,8.515B,47.49B,848.00M,56.01B,62.65B,,1.771B,6.545B,1.29B,3.028B,7.00M,-195.00M,6.383B,,,
2000-06,,3.138B,,3.138B,,4.546B,,,,4.366B,56.18B,675.00M,-732.00M,54.78B,7.302B,71.19B,75.74B,,,,,,9.137B,9.137B,9.137B,10.02B,,8.566B,8.566B,47.43B,848.00M,55.99B,68.73B,,1.771B,6.358B,1.287B,2.987B,7.00M,-272.00M,6.157B,,,
2000-03,,2.19B,,2.19B,,2.19B,,,,4.155B,55.30B,674.00M,,54.63B,8.698B,72.12B,74.31B,,,,,,,,,909.00M,,17.18B,17.18B,46.70B,848.00M,63.89B,67.42B,,1.771B,6.178B,1.285B,2.913B,7.00M,-282.00M,6.039B,,,
1999-12,,3.08B,,3.08B,,3.08B,,,,2.512B,53.87B,674.00M,-724.00M,52.48B,7.06B,66.21B,69.29B,,,,,,3.646B,3.646B,3.646B,4.927B,,9.302B,9.302B,45.80B,848.00M,55.10B,62.49B,,1.771B,6.006B,1.276B,2.823B,7.00M,-284.00M,5.946B,,,
1999-09,,2.194B,,2.194B,,2.194B,,,,2.943B,55.52B,674.00M,,54.84B,9.198B,70.81B,73.00B,,,,,,,,,472.00M,,18.43B,18.43B,45.15B,848.00M,63.57B,66.28B,,7.00M,5.839B,,,7.00M,-236.00M,5.871B,,,
1999-06,,2.188B,,2.188B,,2.188B,,,,2.769B,56.58B,673.00M,,55.91B,10.24B,73.37B,75.56B,,,,,,,,,320.00M,,18.14B,18.14B,47.68B,848.00M,65.83B,68.96B,,7.00M,5.646B,,,7.00M,-248.00M,5.755B,,,
1999-03,,2.322B,,2.322B,,2.322B,,,,2.457B,56.40B,672.00M,,55.73B,10.15B,72.55B,74.87B,,,,,,,,,245.00M,,19.69B,19.69B,45.80B,848.00M,65.49B,68.09B,,7.00M,5.458B,,,7.00M,-89.00M,5.931B,,,
1998-12,,2.534B,,2.534B,,2.534B,,,,2.548B,60.88B,753.00M,,60.12B,8.088B,74.67B,77.21B,,,,,,,,,390.00M,,20.56B,20.56B,47.50B,848.00M,68.05B,70.32B,,7.00M,5.262B,,,7.00M,-43.00M,6.043B,,,
1998-09,,1.982B,,1.982B,,1.982B,,,,,61.03B,816.00M,-445.00M,59.77B,7.152B,74.26B,76.24B,,,,,,,,,1.812B,,18.16B,18.16B,46.88B,848.00M,65.04B,69.60B,,7.00M,5.105B,,,7.00M,17.00M,5.793B,,,
1998-06,,2.094B,,2.094B,,2.094B,,,,,59.19B,859.00M,,58.33B,9.091B,73.78B,75.87B,,,,,,,,,2.555B,,17.93B,17.93B,47.10B,848.00M,65.03B,69.39B,,7.00M,4.947B,,,7.00M,-16.00M,5.633B,,,
1998-03,,2.581B,,2.581B,,2.581B,,,,,57.30B,912.00M,-393.00M,56.00B,8.229B,69.77B,72.36B,,,,,,,,,773.00M,,17.60B,17.60B,46.07B,650.00M,63.67B,66.22B,,7.00M,4.788B,,,7.00M,,5.487B,,,
1997-12,,4.303B,,4.303B,,4.303B,,,,1.632B,56.57B,972.00M,,55.60B,10.05B,70.82B,75.12B,,,,,,,,,3.632B,,15.99B,15.99B,47.65B,650.00M,63.64B,69.09B,,7.00M,4.641B,,,7.00M,-23.00M,5.384B,,,
1997-09,,3.46B,,3.46B,,3.46B,,,,,55.05B,1.027B,,54.02B,9.084B,68.37B,71.83B,,,,,,,,,2.628B,,16.42B,16.42B,44.79B,650.00M,61.21B,65.70B,,7.00M,4.499B,,,7.00M,-35.00M,5.476B,,,
1997-06,,3.676B,,3.676B,,3.676B,,,,,54.73B,1.075B,,53.66B,9.555B,68.30B,71.97B,,,,,,,,,3.273B,,15.79B,15.79B,45.22B,650.00M,61.01B,65.94B,,7.00M,4.356B,,,7.00M,-83.00M,5.384B,,,
1997-03,,3.096B,,3.096B,,3.096B,,,,,53.95B,1.119B,,52.83B,10.30B,68.07B,71.17B,,,,,,,,,3.468B,,15.08B,15.08B,44.90B,,59.98B,65.69B,,7.00M,4.218B,,,7.00M,-137.00M,5.478B,,,
1996-12,,4.016B,,4.016B,,4.016B,,,,,52.74B,1.166B,,51.57B,12.69B,69.24B,73.26B,,,,,,,,,3.442B,,16.16B,16.16B,45.68B,,61.84B,67.39B,,7.00M,4.075B,,,7.00M,-67.00M,5.869B,,,
1996-09,,3.611B,,3.611B,,3.611B,,,,999.00M,50.70B,1.152B,-347.00M,49.21B,12.16B,66.05B,69.66B,,,,,,,,,2.432B,,11.71B,11.71B,45.43B,,57.14B,63.86B,,1.00M,3.931B,,,1.00M,-115.00M,5.798B,,,
1996-06,,3.232B,,3.232B,,3.232B,,,,1.004B,50.63B,1.189B,-358.00M,49.09B,14.95B,68.73B,71.96B,,,,,,,,,3.55B,,15.78B,15.78B,44.85B,,60.63B,66.13B,,1.00M,3.817B,,,1.00M,-141.00M,5.832B,,,
1996-03,,3.251B,,3.251B,,3.251B,,,,1.019B,48.80B,1.225B,,47.58B,17.23B,69.42B,72.67B,,,,,,,,,3.434B,,14.65B,14.65B,45.62B,,60.27B,66.88B,,,3.689B,,,,-98.00M,5.786B,,,
1995-12,,3.679B,,3.679B,,3.679B,,,,,48.65B,1.259B,,47.39B,17.45B,69.72B,73.40B,,,,,,,,,3.817B,,12.40B,12.40B,46.90B,,59.29B,67.64B,,1.00M,3.571B,,,1.00M,26.00M,5.768B,,,
1995-09,,2.124B,,2.124B,,2.124B,,,,,37.94B,943.00M,-225.00M,36.77B,18.90B,59.09B,61.22B,,,,,,3.849B,3.849B,3.849B,12.68B,,9.616B,9.616B,33.01B,,42.63B,56.71B,,1.00M,3.189B,,,1.00M,-45.00M,4.504B,,,
1995-06,,2.612B,,2.612B,,2.612B,,,,,36.69B,961.00M,,35.73B,19.61B,60.15B,62.76B,,,,,,576.00M,576.00M,576.00M,8.523B,,12.86B,12.86B,35.29B,,48.15B,58.33B,,1.00M,3.119B,,,1.00M,-41.00M,4.436B,,,
1995-03,,2.699B,,2.699B,,2.699B,,,,,35.72B,981.00M,,34.74B,17.07B,59.40B,62.09B,,,,,,7.884B,7.884B,7.884B,10.81B,,12.57B,12.57B,32.94B,,45.51B,57.70B,,1.00M,3.062B,,,1.00M,,4.39B,,,
1994-12,,2.592B,,2.592B,,2.592B,,,,,35.41B,1.002B,,34.40B,20.92B,61.55B,64.14B,,,,,,5.011B,5.011B,5.011B,7.192B,,11.75B,11.75B,35.01B,,46.76B,59.75B,,1.00M,3.018B,,,1.00M,-119.00M,4.394B,,,
1994-09,,1.938B,,1.938B,,1.938B,,,,,36.22B,1.03B,,35.19B,23.74B,62.07B,64.00B,,,,,,5.13B,5.13B,5.13B,12.38B,,11.84B,11.84B,33.57B,,45.41B,59.56B,,1.00M,3.071B,,,1.00M,-138.00M,4.446B,,,
1994-06,,1.989B,,1.989B,,1.989B,,,,,34.86B,1.036B,,33.82B,24.68B,61.98B,63.97B,,,,,,1.161B,1.161B,1.161B,7.831B,,17.01B,17.01B,32.95B,,49.96B,59.62B,,1.00M,2.958B,,,1.00M,-1.254B,4.349B,,,
1994-03,,2.536B,,2.536B,,2.536B,,,,,33.29B,980.00M,,32.31B,22.52B,58.63B,61.16B,,,,,,431.00M,431.00M,431.00M,7.012B,,14.97B,14.97B,33.00B,,47.97B,56.88B,,1.00M,2.846B,,,1.00M,-92.00M,4.282B,,,
1993-12,,1.817B,,1.817B,,1.817B,,,,,33.31B,972.00M,,32.34B,23.92B,60.26B,62.08B,,,,,,514.00M,514.00M,514.00M,7.575B,,13.67B,13.67B,33.12B,,46.79B,57.76B,,1.00M,2.715B,,,1.00M,88.00M,4.325B,,,
1993-09,,1.747B,,1.747B,,1.889B,623.00M,,,,27.38B,940.00M,,26.44B,21.28B,50.29B,52.28B,,,,,,546.00M,546.00M,546.00M,8.016B,,10.31B,10.31B,28.27B,,38.57B,48.16B,,1.00M,2.168B,,,1.00M,,4.119B,,,
1993-06,,2.364B,,2.364B,,2.631B,599.00M,,,,25.43B,917.00M,,24.52B,24.01B,51.07B,53.82B,,,,,,575.00M,575.00M,575.00M,1.762B,,16.08B,16.08B,28.50B,,44.58B,49.86B,,1.00M,2.467B,,,1.00M,,3.961B,,,
1993-03,,1.759B,,1.759B,,3.849B,609.00M,,,,25.13B,911.00M,,24.22B,15.19B,47.08B,51.12B,,,,,,949.00M,949.00M,949.00M,4.611B,,12.70B,12.70B,28.17B,,40.86B,47.27B,,1.00M,2.371B,,,1.00M,,3.855B,,,
1992-12,,2.812B,,2.812B,,3.189B,546.00M,,,,25.82B,896.80M,,24.92B,20.83B,48.04B,51.38B,,,,,,12.70B,12.70B,12.70B,14.74B,,1.372B,1.372B,29.47B,,30.84B,47.63B,,1.50M,2.263B,,,1.50M,,3.746B,,,
1992-09,,1.557B,,1.557B,,1.642B,497.90M,,,,24.37B,870.10M,,23.50B,19.43B,44.88B,46.63B,,,,,,10.52B,10.52B,10.52B,12.82B,,1.374B,1.374B,27.41B,,28.78B,42.98B,,1.60M,2.255B,,,1.60M,,3.657B,,,
1992-06,,2.011B,,2.011B,,2.113B,484.60M,,,,24.57B,837.10M,,23.73B,17.58B,43.23B,45.45B,,,,,,9.099B,9.099B,9.099B,11.55B,,1.331B,1.331B,28.09B,,29.43B,41.95B,,1.60M,2.162B,,,1.60M,,3.500B,,,
1992-03,,1.991B,,1.991B,,2.262B,449.00M,,,,24.83B,794.90M,,24.03B,15.26B,41.43B,43.82B,,,,,,6.600B,6.600B,6.600B,9.110B,,1.345B,1.345B,29.15B,,30.50B,40.41B,,1.70M,2.091B,,,1.70M,,3.411B,,,
1991-12,,2.346B,,2.346B,,3.674B,429.70M,,,,25.44B,797.00M,,24.65B,14.47B,41.14B,44.89B,,,,,,7.907B,7.907B,7.907B,9.486B,,1.288B,1.288B,30.02B,,31.31B,41.57B,,1.70M,2.016B,,,1.70M,,3.317B,,,
1991-09,,2.332B,,2.332B,,2.992B,431.50M,,,,25.34B,823.60M,,24.52B,12.69B,39.20B,42.28B,,,,,,5.620B,5.620B,5.620B,7.402B,,1.464B,1.464B,29.77B,,31.24B,39.46B,,1.70M,1.969B,,,1.70M,,2.821B,,,
1991-06,,2.246B,,2.246B,,2.869B,461.90M,,,,27.15B,809.90M,,26.34B,11.72B,40.36B,43.33B,,,,,,4.880B,4.880B,4.880B,6.836B,,1.438B,1.438B,31.55B,,32.99B,40.57B,,1.80M,1.913B,,,1.80M,,2.757B,,,
1991-03,,2.324B,,2.324B,,2.714B,464.90M,,,,28.56B,801.90M,,27.76B,11.56B,41.43B,44.27B,,,,,,4.542B,4.542B,4.542B,6.935B,,1.40B,1.40B,32.43B,,33.83B,41.62B,,1.80M,1.821B,,,1.80M,,2.654B,,,
1990-12,,3.158B,,3.158B,,4.326B,462.20M,,,,27.63B,784.50M,,26.85B,12.26B,41.06B,45.53B,,,,,,6.750B,6.750B,6.750B,8.735B,,1.319B,1.319B,32.04B,,33.36B,42.93B,,1.80M,1.779B,,,1.80M,,2.601B,,,
1990-09,,2.393B,,2.393B,,2.644B,446.70M,,,,27.88B,563.30M,,27.31B,13.54B,42.62B,45.63B,,,,,,7.513B,7.513B,7.513B,9.705B,,1.130B,1.130B,30.91B,,32.04B,42.84B,,1.80M,1.997B,,,1.80M,,2.797B,,,
1990-06,,2.451B,,2.451B,,4.425B,445.80M,,,,27.92B,522.50M,,27.40B,13.88B,43.01B,47.82B,,,,,,9.867B,9.867B,9.867B,12.02B,,864.60M,864.60M,31.04B,,31.90B,45.03B,,1.80M,1.997B,,,1.80M,,2.790B,,,
1990-03,,2.306B,,2.306B,,2.664B,439.80M,,,,28.11B,617.00M,,27.49B,14.39B,43.46B,46.62B,,,,,,7.866B,7.866B,7.866B,11.02B,,867.20M,867.20M,30.79B,,31.66B,43.89B,,1.90M,1.937B,,,1.90M,,2.727B,,,
1989-12,,2.938B,,2.938B,,3.081B,429.40M,,,,28.11B,615.90M,,27.49B,12.93B,41.98B,45.66B,,,,,,6.863B,6.863B,6.863B,10.73B,,714.70M,714.70M,30.12B,,30.83B,42.83B,,2.30M,1.915B,,,2.30M,,2.830B,,,
1989-09,,2.673B,,2.673B,,2.877B,418.90M,,,,27.60B,502.10M,,27.10B,11.30B,39.84B,43.12B,,,,,,5.526B,5.526B,5.526B,9.342B,,696.70M,696.70M,29.06B,,29.76B,40.24B,,2.40M,1.963B,,,2.40M,,2.874B,,,
