,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,204.00M,,-38.00M,-44.00M,38.00M,12.00M,50.00M,50.00M,21.00M,45.00M,-335.00M,,3.00M,43.00M,-300.00M,,406.00M,152.00M,,93.00M,,-21.00M,-21.00M,-22.00M,189.00M,,146.00M,,2007-09,-211.00M,-202.00M,-22.00M,-71.00M,-93.00M,,,,,-44.00M,,,-339.00M,2007-09,406.00M,-100.00M,15.00M,,2007-09,-22.00M,17.00M,-219.00M,-71.00M,,,2007-09,AOR,Restated
2007-06,240.00M,,-45.00M,-69.00M,40.00M,9.00M,49.00M,49.00M,134.00M,107.00M,-417.00M,-61.00M,38.00M,-99.00M,450.00M,,-355.00M,-27.00M,,17.00M,,-47.00M,-47.00M,23.00M,633.00M,-499.00M,110.00M,,2007-06,137.00M,140.00M,26.00M,-209.00M,-183.00M,,,,,-44.00M,,,-87.00M,2007-06,351.00M,40.00M,15.00M,,2007-06,26.00M,410.00M,-311.00M,-209.00M,,,2007-06,AOR,Restated
2007-03,213.00M,,,,40.00M,10.00M,50.00M,50.00M,,,853.00M,61.00M,1.00M,-362.00M,,,,-300.00M,,816.00M,,-35.00M,-35.00M,-190.00M,-495.00M,499.00M,-221.00M,,2007-03,-173.00M,-214.00M,11.00M,-283.00M,-272.00M,,,,,-44.00M,,,-530.00M,2007-03,281.00M,65.00M,5.00M,,2007-03,11.00M,250.00M,-423.00M,-283.00M,,,2007-03,AOR,Restated
2006-12,223.00M,,,,100.00M,7.00M,107.00M,107.00M,,,-90.00M,-602.00M,99.00M,271.00M,,,295.00M,63.00M,,144.00M,,-56.00M,-56.00M,656.00M,-444.00M,,156.00M,,2006-12,164.00M,-63.00M,4.00M,-374.00M,-370.00M,,,,,-46.00M,,,-479.00M,2006-12,461.00M,-179.00M,-1.00M,,2006-12,4.00M,186.00M,-22.00M,-374.00M,,,2006-12,AOR,Restated
2006-09,106.00M,,,,31.00M,13.00M,44.00M,44.00M,,,-300.00M,-18.00M,-29.00M,-336.00M,-95.00M,-234.00M,794.00M,82.00M,,-68.00M,,-25.00M,-25.00M,-24.00M,135.00M,,86.00M,,2006-09,-8.00M,239.00M,0.00,-168.00M,-168.00M,,,,,-47.00M,,,24.00M,2006-09,425.00M,42.00M,-6.00M,,2006-09,0.00,0.00,-8.00M,-168.00M,,,2006-09,AOR,Restated
2006-06,193.00M,,,,35.00M,12.00M,47.00M,47.00M,,,-156.00M,74.00M,-30.00M,242.00M,95.00M,234.00M,-504.00M,111.00M,,195.00M,,-39.00M,-39.00M,-89.00M,112.00M,,-16.00M,,2006-06,45.00M,62.00M,-7.00M,-212.00M,-219.00M,,,,,-48.00M,,,-205.00M,2006-06,451.00M,-26.00M,0.00,,2006-06,-7.00M,378.00M,-330.00M,-212.00M,,,2006-06,AOR,Restated
2006-03,198.00M,,,,35.00M,11.00M,46.00M,46.00M,,,465.00M,-9.00M,-40.00M,-8.00M,,,45.00M,-12.00M,,697.00M,,-32.00M,-32.00M,1.00M,-385.00M,,-416.00M,,2006-03,-94.00M,-97.00M,53.00M,-212.00M,-159.00M,,,,,-48.00M,,,-304.00M,2006-03,476.00M,-23.00M,-2.00M,,2006-03,53.00M,3.00M,-100.00M,-212.00M,,,2006-03,AOR,Restated
2005-12,222.00M,,,,143.00M,-38.00M,105.00M,105.00M,,,-193.00M,40.00M,4.00M,144.00M,,,-211.00M,-23.00M,,25.00M,,-39.00M,-39.00M,332.00M,-1.191B,731.00M,-167.00M,,2005-12,261.00M,227.00M,-15.00M,25.00M,10.00M,,,,,-48.00M,,50.00M,189.00M,2005-12,433.00M,47.00M,-4.00M,,2005-12,-15.00M,264.00M,-3.00M,-25.00M,,,2005-12,AOR,Restated
2005-09,122.00M,,,,-21.00M,27.00M,6.00M,6.00M,,,-102.00M,-28.00M,18.00M,-222.00M,73.00M,-185.00M,629.00M,285.00M,,311.00M,,-36.00M,-36.00M,-6.00M,513.00M,-731.00M,-260.00M,,2005-09,-2.00M,17.00M,79.00M,-50.00M,29.00M,,,,,-48.00M,,-50.00M,-52.00M,2005-09,419.00M,-1.00M,15.00M,,2005-09,79.00M,1.00M,-3.00M,-50.00M,,,2005-09,AOR,Restated
2005-06,191.00M,,,,50.00M,48.00M,98.00M,98.00M,,,-373.00M,-19.00M,-22.00M,226.00M,-73.00M,185.00M,-455.00M,-158.00M,,-242.00M,,-24.00M,-24.00M,-24.00M,463.00M,,415.00M,,2005-06,-249.00M,-229.00M,7.00M,,7.00M,,,,,-49.00M,,,-271.00M,2005-06,526.00M,-98.00M,-9.00M,,2005-06,7.00M,2.00M,-251.00M,,,,2005-06,AOR,Restated
2005-03,200.00M,,,,55.00M,13.00M,68.00M,68.00M,,,565.00M,,,-41.00M,,,,-41.00M,,792.00M,,-27.00M,-27.00M,-19.00M,-711.00M,,-757.00M,,2005-03,-27.00M,-27.00M,5.00M,,5.00M,,,,,-48.00M,,,-70.00M,2005-03,570.00M,-35.00M,-9.00M,,2005-03,5.00M,302.00M,-329.00M,,,,2005-03,AOR,Restated
2004-12,81.00M,,,,65.00M,11.00M,76.00M,76.00M,,,269.00M,,,-133.00M,,,,-133.00M,,293.00M,,-37.00M,-37.00M,64.00M,-224.00M,,-197.00M,,2004-12,198.00M,136.00M,5.00M,,5.00M,,0.00,0.00,,-48.00M,,,42.00M,2004-12,396.00M,138.00M,36.00M,,2004-12,5.00M,202.00M,-53.00M,0.00,,,2004-12,AOR,
2004-09,122.00M,,,,62.00M,16.00M,78.00M,78.00M,,,28.00M,,,-23.00M,,,,-23.00M,,205.00M,,-2.00M,-2.00M,30.00M,-207.00M,,-179.00M,,2004-09,-102.00M,-93.00M,4.00M,,4.00M,,0.00,0.00,,-48.00M,,,-137.00M,2004-09,510.00M,-111.00M,-3.00M,,2004-09,4.00M,114.00M,-220.00M,0.00,,,2004-09,AOR,Restated
2004-06,173.00M,,,,69.00M,15.00M,84.00M,84.00M,,,-368.00M,,,-5.00M,,,,-5.00M,,-116.00M,,-18.00M,-18.00M,-42.00M,185.00M,,125.00M,,2004-06,-4.00M,47.00M,9.00M,,9.00M,,,,,-48.00M,,,8.00M,2004-06,491.00M,17.00M,2.00M,,2004-06,9.00M,4.00M,43.00M,,,,2004-06,AOR,Restated
2004-03,170.00M,,,,57.00M,14.00M,71.00M,71.00M,,,522.00M,,,39.00M,,,,39.00M,,802.00M,,-23.00M,-23.00M,1.00M,-650.00M,,-672.00M,,2004-03,-89.00M,-136.00M,5.00M,,5.00M,,,,,-48.00M,,,-179.00M,2004-03,540.00M,-49.00M,0.00,,2004-03,5.00M,3.00M,-139.00M,,,,2004-03,AOR,Restated
2003-12,203.00M,,,,68.00M,20.00M,88.00M,88.00M,,,-141.00M,,,60.00M,,,,60.00M,,210.00M,,-40.00M,-40.00M,3.00M,-38.00M,,-75.00M,,2003-12,-3.00M,-117.00M,0.00,0.00,0.00,,,,,-48.00M,,-10.00M,-175.00M,2003-12,570.00M,-40.00M,10.00M,,2003-12,0.00,-34.00M,-83.00M,0.00,,,2003-12,AOR,
2003-09,150.00M,,,,64.00M,15.00M,79.00M,79.00M,,,760.00M,-318.00M,,0.00,-318.00M,,,-636.00M,,353.00M,,-40.00M,-40.00M,0.00,122.00M,-42.00M,40.00M,,2003-09,-121.00M,-228.00M,0.00,0.00,0.00,,,,,-47.00M,,-22.00M,-297.00M,2003-09,470.00M,96.00M,4.00M,,2003-09,0.00,-107.00M,-121.00M,0.00,,,2003-09,AOR,Restated
2003-06,146.00M,,,,64.00M,15.00M,79.00M,79.00M,,,-907.00M,318.00M,,15.00M,318.00M,,,651.00M,,-31.00M,,-53.00M,-53.00M,-35.00M,91.00M,42.00M,45.00M,,2003-06,-34.00M,104.00M,0.00,1.00M,1.00M,,,,,-48.00M,,-16.00M,41.00M,2003-06,410.00M,55.00M,5.00M,,2003-06,0.00,263.00M,-153.00M,1.00M,,,2003-06,AOR,Restated
2003-03,152.00M,,,,55.00M,13.00M,68.00M,68.00M,,,560.00M,,,,,,,,,780.00M,,-52.00M,-52.00M,24.00M,-589.00M,,-617.00M,,2003-03,-150.00M,-144.00M,0.00,-7.00M,-7.00M,,,,,-47.00M,,-41.00M,-239.00M,2003-03,484.00M,-76.00M,2.00M,,2003-03,0.00,0.00,-150.00M,-7.00M,,,2003-03,AOR,Restated
2002-12,178.00M,,,,,,74.00M,74.00M,,,360.00M,-206.00M,,-29.00M,-206.00M,,,-441.00M,,171.00M,,-82.00M,-82.00M,-71.00M,-374.00M,,-527.00M,,2002-12,-194.00M,-400.00M,578.00M,-97.00M,481.00M,,,,,-47.00M,,-127.00M,-93.00M,2002-12,927.00M,-449.00M,6.00M,,2002-12,578.00M,353.00M,-547.00M,-97.00M,,,2002-12,AOR,Restated
2002-09,128.00M,,,,-101.00M,-25.00M,62.00M,62.00M,,,269.00M,-14.00M,,13.00M,-14.00M,,,-15.00M,,444.00M,,-90.00M,-90.00M,2.00M,146.00M,,58.00M,,2002-09,45.00M,73.00M,6.00M,,6.00M,,,,,-62.00M,,-352.00M,-335.00M,2002-09,761.00M,167.00M,-1.00M,,2002-09,6.00M,45.00M,,,,,2002-09,AOR,
2002-06,56.00M,,,,54.00M,14.00M,68.00M,68.00M,,,-95.00M,220.00M,,-55.00M,220.00M,,,385.00M,,414.00M,,-50.00M,-50.00M,-7.00M,-66.00M,,-123.00M,,2002-06,25.00M,83.00M,23.00M,-13.00M,10.00M,,,,,-62.00M,,-144.00M,-113.00M,2002-06,569.00M,178.00M,14.00M,,2002-06,23.00M,25.00M,43.00M,-13.00M,,,2002-06,AOR,
2002-03,104.00M,,,,47.00M,11.00M,58.00M,58.00M,,,25.00M,,,4.00M,,,,4.00M,,191.00M,,-56.00M,-56.00M,-35.00M,86.00M,,-5.00M,,2002-03,96.00M,53.00M,,13.00M,13.00M,,,,,-62.00M,,-59.00M,-55.00M,2002-03,439.00M,131.00M,-1.00M,,2002-03,,96.00M,-43.00M,13.00M,,,2002-03,AOR,
2001-12,83.00M,,,,-134.00M,-118.00M,87.00M,87.00M,,,-319.00M,,,30.00M,,,,30.00M,,-119.00M,,-115.00M,-115.00M,-6.00M,-898.00M,1.053B,34.00M,,2001-12,388.00M,109.00M,,-30.00M,19.00M,,,,,-62.00M,,-40.00M,26.00M,2001-12,498.00M,-59.00M,0.00,,2001-12,,400.00M,-12.00M,-30.00M,,,2001-12,AOR,Restated
2001-09,72.00M,,,,44.00M,40.00M,84.00M,84.00M,,,232.00M,,,-6.00M,,,,-6.00M,,382.00M,,-54.00M,-54.00M,-31.00M,604.00M,-891.00M,-372.00M,,2001-09,-103.00M,-114.00M,,11.00M,11.00M,,,,,-61.00M,,-116.00M,-280.00M,2001-09,765.00M,-270.00M,3.00M,,2001-09,,0.00,-103.00M,11.00M,,,2001-09,AOR,
2001-06,29.00M,,,,46.00M,39.00M,85.00M,85.00M,,,-83.00M,,,-67.00M,,,,-67.00M,,-36.00M,,-55.00M,-55.00M,-26.00M,151.00M,-162.00M,-92.00M,,2001-06,-48.00M,99.00M,,1.00M,1.00M,,,,,-60.00M,,-30.00M,10.00M,2001-06,886.00M,-118.00M,-3.00M,,2001-06,,-15.00M,-33.00M,1.00M,,,2001-06,AOR,
2001-03,19.00M,,,,44.00M,39.00M,83.00M,83.00M,,,250.00M,,,-20.00M,,,,-20.00M,,332.00M,,-57.00M,-57.00M,-44.00M,-85.00M,,-186.00M,,2001-03,15.00M,-237.00M,,18.00M,18.00M,,,,,-58.00M,,-99.00M,-376.00M,2001-03,1.118B,-230.00M,-2.00M,,2001-03,,15.00M,0.00,18.00M,,,2001-03,AOR,
2000-12,90.00M,,,,48.00M,39.00M,87.00M,87.00M,,,8.00M,,,20.00M,,,,20.00M,,205.00M,,-75.00M,-75.00M,-25.00M,308.00M,,208.00M,,2000-12,-44.00M,-211.00M,,2.00M,2.00M,,,,,-58.00M,,-9.00M,-276.00M,2000-12,980.00M,137.00M,1.00M,,2000-12,,-167.00M,-44.00M,2.00M,,,2000-12,AOR,Restated
2000-09,139.00M,,,,43.00M,38.00M,81.00M,81.00M,-62.00M,,266.00M,,,-152.00M,,,,-152.00M,,272.00M,,-31.00M,-31.00M,-19.00M,-191.00M,,-241.00M,,2000-09,-26.00M,51.00M,,2.00M,2.00M,,,,,-57.00M,,25.00M,21.00M,2000-09,930.00M,52.00M,-2.00M,,2000-09,,46.00M,5.00M,2.00M,,,2000-09,AOR,
2000-06,129.00M,,,,44.00M,39.00M,83.00M,83.00M,45.00M,,-293.00M,,,152.00M,,,,152.00M,,116.00M,,-14.00M,-14.00M,-6.00M,-16.00M,,-36.00M,,2000-06,266.00M,326.00M,,-40.00M,-40.00M,,,,,-57.00M,,-146.00M,83.00M,2000-06,774.00M,163.00M,-7.00M,,2000-06,,341.00M,-15.00M,-40.00M,,,2000-06,AOR,
2000-03,123.00M,,,,44.00M,38.00M,82.00M,82.00M,17.00M,,-201.00M,,,125.00M,,,,125.00M,,146.00M,,-59.00M,-59.00M,-35.00M,26.00M,,-68.00M,,2000-03,-16.00M,25.00M,,-23.00M,-23.00M,,,,,-54.00M,,-89.00M,-141.00M,2000-03,837.00M,-63.00M,0.00,,2000-03,,41.00M,-16.00M,-23.00M,,,2000-03,AOR,
1999-12,13.00M,,,,,,,,,,-359.00M,,,,,,,,,-16.00M,,297.00M,297.00M,,298.00M,,200.00M,,1999-12,-105.00M,-25.00M,,22.00M,-44.00M,,,,,-54.00M,,-92.00M,-215.00M,1999-12,871.00M,-31.00M,-3.00M,,1999-12,,658.00M,-355.00M,22.00M,,,1999-12,AOR,Restated
1999-09,138.00M,,,,,,,,,,-17.00M,,,,,,,,,121.00M,,-257.00M,-257.00M,,-73.00M,,-330.00M,,1999-09,3.00M,205.00M,,-9.00M,-9.00M,,,,,-55.00M,,-100.00M,41.00M,1999-09,1.038B,-168.00M,1.00M,,1999-09,,-252.00M,255.00M,-9.00M,,,1999-09,,
1999-06,151.00M,,,,,,,,,,-57.00M,,,,,,,,,94.00M,,-168.00M,-168.00M,,-44.00M,,-212.00M,,1999-06,257.00M,258.00M,,-12.00M,-12.00M,,,,,-53.00M,,40.00M,233.00M,1999-06,927.00M,115.00M,-4.00M,,1999-06,,252.00M,5.00M,-12.00M,,,1999-06,,
1999-03,50.00M,,,,,,,,,,213.00M,,,,,,,,,263.00M,,-143.00M,-143.00M,,-8.00M,,-151.00M,,1999-03,-5.00M,120.00M,,-1.00M,-1.00M,,,,,-48.00M,,22.00M,93.00M,1999-03,723.00M,205.00M,-1.00M,,1999-03,,,-5.00M,-1.00M,,,1999-03,,
1998-12,139.00M,,,,,,,,,,-262.00M,,,,,,,,,157.00M,,193.00M,193.00M,,4.552B,,-280.00M,,1998-12,-7.00M,-216.00M,-10.00M,,-28.00M,,,,,-48.00M,,-22.00M,-314.00M,1998-12,1.171B,-437.00M,-11.00M,,1998-12,-10.00M,,-7.00M,,,,1998-12,AOR,Restated
1998-09,124.00M,,,,,,,,,,-201.00M,,,,,,,,,-77.00M,,-125.00M,-125.00M,,140.00M,,15.00M,,1998-09,-14.00M,108.00M,-5.00M,,-5.00M,,,,,-54.00M,,147.00M,196.00M,1998-09,1.034B,134.00M,3.00M,,1998-09,-5.00M,,-14.00M,,,,1998-09,,
1998-06,139.00M,,,,,,,,,,389.00M,,,,,,,,,528.00M,,-229.00M,-229.00M,,-496.00M,,-725.00M,,1998-06,6.00M,262.00M,3.00M,,3.00M,,,,,-48.00M,,4.00M,221.00M,1998-06,1.01B,24.00M,0.00,,1998-06,3.00M,,6.00M,,,,1998-06,,
