,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,321.00M,321.00M,4.096B,4.417B,,,8.296B,,,,12.71B,,,,,,,,,520.00M,4.883B,203.00M,5.086B,7.485B,,,,,13.09B,23.82B,,,9.457B,9.457B,,14.00M,,14.00M,,,,,9.471B,1.994B,,1.994B,,,,,,,1.994B,18.21B,,2007-09,350.00M,2.137B,,277.00M,-1.068B,-791.00M,5.615B,,2007-09,AOR,Restated
2007-06,406.00M,406.00M,4.199B,4.605B,,,9.255B,,,,13.86B,,,,,,,,,526.00M,4.739B,202.00M,4.941B,7.547B,,,,,13.01B,24.79B,,,10.58B,10.58B,,4.00M,,4.00M,,,,,10.58B,2.182B,,2.182B,,,,,,,2.182B,19.45B,,2007-06,350.00M,2.085B,,180.00M,-1.108B,-928.00M,5.344B,,2007-06,AOR,Restated
2007-03,351.00M,351.00M,4.314B,4.665B,,,8.972B,,,,13.64B,,,,,,,,,507.00M,4.698B,197.00M,4.895B,7.666B,,,,,13.07B,24.59B,,,10.41B,10.41B,,1.00M,,1.00M,,,,,10.41B,2.072B,,2.072B,,,,,,,2.072B,19.33B,,2007-03,347.00M,1.926B,,162.00M,-1.083B,-921.00M,5.26B,,2007-03,AOR,Restated
2006-12,281.00M,281.00M,4.335B,4.616B,8.631B,,8.791B,,30.00M,156.00M,17.64B,0.00,80.00M,1.173B,,20.00M,374.00M,1.647B,-1.191B,456.00M,4.521B,145.00M,4.666B,529.00M,,,710.00M,380.00M,6.741B,24.38B,11.18B,0.00,11.18B,11.18B,,42.00M,,42.00M,,13.00M,13.00M,3.117B,14.36B,2.243B,,2.243B,81.00M,,81.00M,,1.441B,,4.81B,19.17B,,2006-12,347.00M,1.694B,,,,-1.01B,5.218B,,2006-12,AOR,Restated
2006-09,461.00M,461.00M,4.044B,4.505B,,,8.907B,,,,13.41B,,,,,,,,,499.00M,4.41B,136.00M,4.546B,7.072B,,,,,12.12B,28.68B,,,9.332B,9.332B,,268.00M,,268.00M,,,,,9.60B,2.075B,,2.075B,,,,,,,2.075B,23.31B,,2006-09,347.00M,1.333B,,,,-1.002B,5.372B,,2006-09,AOR,Restated
2006-06,425.00M,425.00M,4.536B,4.961B,,,10.57B,,,,15.53B,,,,,,,,,507.00M,4.39B,136.00M,4.526B,7.386B,,,,,12.42B,30.10B,,,10.98B,10.98B,,21.00M,,21.00M,,,,,11.00B,2.082B,,2.082B,,,,,,,2.082B,24.71B,,2006-06,347.00M,1.175B,,,,-1.059B,5.392B,,2006-06,AOR,Restated
2006-03,451.00M,451.00M,5.102B,5.553B,,,9.963B,,,,15.52B,,,,,,,,,524.00M,4.423B,110.00M,4.533B,9.301B,,,,,14.36B,28.62B,,,10.16B,10.16B,,4.00M,,4.00M,,,,,10.17B,2.012B,,2.012B,,,,,,,2.012B,23.31B,,2006-03,346.00M,1.00B,,,,-1.161B,5.308B,,2006-03,AOR,Restated
2005-12,476.00M,476.00M,4.806B,5.282B,,,9.697B,,148.00M,,15.13B,,,,,,,,,537.00M,4.391B,115.00M,4.506B,9.064B,,,533.00M,,14.64B,27.82B,,,9.427B,9.427B,,7.00M,,7.00M,,,,,9.434B,2.105B,,2.105B,,,,1.497B,,,3.602B,22.52B,,2005-12,344.00M,808.00M,,,,-1.155B,5.303B,,2005-12,AOR,Restated
2005-09,433.00M,433.00M,4.594B,5.027B,,,8.857B,,,,13.88B,,,,,,,,,552.00M,4.428B,118.00M,4.546B,8.78B,,,,,13.88B,27.22B,,,8.997B,8.997B,,41.00M,,41.00M,,,,,9.038B,1.846B,,1.846B,,,,,,,1.846B,21.89B,,2005-09,342.00M,783.00M,,,,-913.00M,5.329B,,2005-09,AOR,Restated
2005-06,419.00M,419.00M,4.67B,5.089B,,,9.57B,,,,14.66B,,,,,,,,,585.00M,4.444B,128.00M,4.572B,8.595B,,,,,13.75B,27.89B,,,9.705B,9.705B,,22.00M,,22.00M,,,,,9.727B,1.83B,,1.83B,,,,,,,1.88B,22.64B,,2005-06,341.00M,783.00M,,,,-877.00M,5.251B,,2005-06,AOR,Restated
2005-03,526.00M,526.00M,5.305B,5.831B,,,9.63B,,,,15.46B,,,,,,,,,622.00M,4.644B,134.00M,4.778B,9.126B,,,,,14.53B,28.56B,,,10.21B,10.21B,,2.00M,,2.00M,,,,,10.21B,2.085B,,2.085B,,,,,,,2.135B,23.42B,,2005-03,340.00M,783.00M,,,,-816.00M,5.144B,,2005-03,AOR,Restated
2004-12,570.00M,570.00M,5.099B,5.669B,,,10.10B,,175.00M,,15.94B,,,,,,,,,664.00M,4.727B,136.00M,4.863B,8.621B,,,512.00M,,14.66B,28.33B,,,10.12B,10.12B,,2.00M,,2.00M,,,,,10.12B,2.115B,,2.115B,,,,1.533B,,,3.698B,23.23B,,2004-12,339.00M,783.00M,,,,-870.00M,5.103B,,2004-12,AOR,
2004-09,396.00M,396.00M,4.073B,4.469B,,,9.181B,,,,13.65B,,,,,,,,,693.00M,4.508B,147.00M,4.655B,8.194B,,,,,13.54B,26.57B,,,9.597B,9.597B,,65.00M,,65.00M,,,,,9.662B,1.899B,,1.899B,,,,,,,1.949B,21.70B,,2004-09,339.00M,783.00M,,,,-867.00M,4.868B,,2004-09,AOR,Restated
2004-06,510.00M,510.00M,4.077B,4.587B,,,10.37B,,,,14.96B,,,,,,,,,745.00M,4.511B,166.00M,4.677B,7.929B,,,,,13.35B,27.77B,,,10.95B,10.95B,,58.00M,,58.00M,,,,,11.01B,2.00B,,2.00B,,,,,,,2.05B,23.05B,,2004-06,338.00M,784.00M,,,,-930.00M,4.717B,,2004-06,AOR,Restated
2004-03,491.00M,491.00M,4.435B,4.926B,,,10.37B,,,,15.30B,,,,,,,,,791.00M,4.485B,166.00M,4.651B,8.141B,,,,,13.58B,27.91B,,,11.08B,11.08B,,7.00M,,7.00M,,,,,11.09B,2.004B,,2.004B,,,,,,,2.054B,23.26B,,2004-03,337.00M,784.00M,,,,-849.00M,4.654B,,2004-03,AOR,Restated
2003-12,540.00M,540.00M,3.815B,4.355B,,,10.11B,,84.00M,,14.55B,,,,,,,,,827.00M,4.509B,176.00M,4.685B,7.324B,,,524.00M,,13.36B,27.03B,,,10.37B,10.37B,,53.00M,,53.00M,,,,,10.42B,2.095B,,2.095B,,,,,,,2.145B,22.53B,,2003-12,336.00M,784.00M,,,,-861.00M,4.498B,,2003-12,AOR,
2003-09,570.00M,570.00M,3.824B,4.394B,,,9.533B,,,,13.93B,,,,,,,,,830.00M,4.313B,189.00M,4.502B,7.141B,,,,,12.47B,26.21B,,,10.15B,10.15B,,166.00M,,166.00M,,,,,10.31B,1.368B,,1.368B,,,,,,702.00M,2.12B,21.11B,,2003-09,336.00M,784.00M,,,,-779.00M,4.399B,,2003-09,AOR,Restated
2003-06,470.00M,470.00M,4.044B,4.514B,,,11.17B,,,,15.69B,,,,,,,,,871.00M,4.31B,197.00M,4.507B,7.284B,,,,,12.66B,27.91B,,,11.88B,11.88B,,271.00M,,271.00M,,,,,12.15B,1.49B,,1.49B,,,,,,702.00M,2.242B,22.89B,,2003-06,335.00M,789.00M,,,,-786.00M,4.318B,,2003-06,AOR,Restated
2003-03,432.00M,432.00M,5.041B,5.473B,,,10.25B,,,,15.73B,,,,,,,,,855.00M,4.152B,212.00M,4.364B,7.178B,,,,,12.40B,26.55B,,,11.00B,11.00B,,127.00M,,127.00M,,,,,11.13B,1.523B,,1.523B,,,,,,702.00M,1.573B,21.78B,,2003-03,335.00M,799.00M,,,,-1.089B,4.07B,,2003-03,AOR,Restated
2002-12,,0.00,6.587B,6.587B,,,,,,,6.587B,,,,,,,,,865.00M,,4.324B,4.324B,5.621B,,,,,10.81B,25.33B,,,9.42B,9.42B,,117.00M,,117.00M,,,,,9.537B,1.671B,,1.671B,,,,,,702.00M,1.671B,20.69B,,2002-12,333.00M,794.00M,,,,,3.908B,,2002-12,AOR,Restated
2002-09,927.00M,927.00M,3.594B,4.521B,,,8.884B,,,,13.40B,,,,,,,,,,3.998B,204.00M,4.202B,6.266B,,,,,10.47B,24.32B,,,9.648B,9.648B,,320.00M,,320.00M,,,,,9.968B,1.862B,,1.862B,,,,,,800.00M,2.712B,19.81B,,2002-09,295.00M,784.00M,,,,-389.00M,3.713B,,2002-09,AOR,
2002-06,761.00M,761.00M,3.615B,4.376B,,,9.732B,,,,14.11B,,,,,,,,,,4.003B,218.00M,4.221B,5.936B,,,,,10.16B,24.59B,,,10.10B,10.10B,,292.00M,,292.00M,,,,,10.40B,1.816B,,1.816B,,,,,,800.00M,2.666B,20.10B,,2002-06,295.00M,784.00M,,,,-380.00M,3.691B,,2002-06,AOR,
2002-03,569.00M,569.00M,2.615B,3.184B,7.543B,1.019B,8.562B,,,,11.75B,,,,,,,,,,3.856B,229.00M,4.085B,5.995B,,,,,10.08B,23.11B,,,8.97B,8.97B,,212.00M,,212.00M,,,,,9.182B,1.79B,,1.79B,,,,,,800.00M,2.64B,18.78B,,2002-03,294.00M,785.00M,,,,-577.00M,3.529B,,2002-03,AOR,
2001-12,,0.00,6.146B,6.146B,,,,,,,6.146B,,,,,,,,,,,4.084B,4.084B,,,,,,4.084B,22.33B,,,7.933B,7.933B,,257.00M,,257.00M,,,,,8.19B,1.694B,,1.694B,,,,,,800.00M,1.744B,18.06B,,2001-12,293.00M,786.00M,,,,,3.465B,,2001-12,AOR,Restated
2001-09,498.00M,498.00M,2.899B,3.397B,8.353B,,8.353B,,,,11.75B,,,,,,,,,,3.626B,469.00M,4.095B,6.387B,,,,,10.48B,22.84B,,,8.722B,8.722B,,193.00M,,193.00M,,,,,8.915B,1.66B,,1.66B,,,,,,800.00M,2.51B,18.42B,,2001-09,292.00M,807.00M,,,,-377.00M,3.626B,,2001-09,AOR,
2001-06,765.00M,765.00M,2.414B,3.179B,8.473B,,8.473B,,,,11.65B,,,,,,,,,,3.449B,481.00M,3.93B,5.964B,,,,,9.894B,22.47B,,,8.643B,8.643B,,204.00M,,204.00M,,,,,8.847B,1.746B,,1.746B,,,,,,800.00M,2.596B,18.20B,,2001-06,268.00M,42.00M,,,,-413.00M,3.47B,,2001-06,AOR,
2001-03,886.00M,886.00M,2.42B,3.306B,8.05B,,8.05B,,,,11.36B,,,,,,,,,,3.38B,485.00M,3.865B,6.079B,,,,,9.944B,22.04B,,,8.432B,8.432B,,60.00M,,60.00M,,,,,8.492B,1.804B,,1.804B,,,,,,800.00M,2.654B,17.87B,,2001-03,264.00M,81.00M,,,,-413.00M,3.363B,,2001-03,AOR,
2000-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.25B,,,8.123B,8.123B,,,,,,,,,8.123B,,,,,,,,,,50.00M,18.86B,,2000-12,,,,,,,3.388B,,2000-12,AOR,Restated
2000-09,980.00M,980.00M,2.473B,3.453B,8.009B,,8.009B,,,,11.46B,,,,,,,,,,3.255B,482.00M,3.737B,6.256B,,,,,9.993B,21.83B,,,8.143B,8.143B,,476.00M,,476.00M,,,,,8.619B,1.801B,,1.801B,,,,,,800.00M,2.651B,17.85B,,2000-09,260.00M,125.00M,,,,-409.00M,3.182B,,2000-09,AOR,
2000-06,930.00M,930.00M,2.322B,3.252B,1.234B,7.065B,8.299B,,,,11.55B,,,,,,,,,,3.296B,493.00M,3.789B,6.135B,,,,,9.924B,22.10B,,,8.493B,8.493B,,390.00M,,390.00M,,,,,8.883B,1.818B,,1.818B,,,,,,800.00M,2.668B,18.21B,,2000-06,260.00M,141.00M,,,,-394.00M,3.087B,,2000-06,AOR,
2000-03,774.00M,774.00M,2.263B,3.037B,1.201B,6.299B,7.50B,,,,10.54B,,,,,,,,,,3.335B,498.00M,3.833B,6.175B,,,,,10.01B,21.30B,,,7.837B,7.837B,,343.00M,,343.00M,,,,,8.18B,1.593B,,1.593B,,,,,,800.00M,2.443B,17.41B,,2000-03,259.00M,106.00M,,,,-338.00M,3.09B,,2000-03,AOR,
1999-12,837.00M,837.00M,2.362B,3.199B,,,7.346B,,73.00M,,10.62B,,,,,,,,,,3.359B,503.00M,3.862B,6.184B,,,270.00M,,10.32B,21.13B,,,7.643B,7.643B,,303.00M,,303.00M,,,,,7.946B,1.611B,,1.611B,,,,,,,2.461B,18.08B,,1999-12,259.00M,90.00M,,,,-309.00M,3.051B,,1999-12,AOR,Restated
1999-09,,0.00,6.483B,6.483B,6.992B,,6.992B,,,,13.48B,,,,,,,,,,,3.842B,3.842B,,,,,,3.842B,21.11B,,,,,,1.129B,,1.129B,,,,,1.129B,817.00M,,817.00M,,,,,,800.00M,817.00M,17.11B,,1999-09,,,,,,,3.206B,,1999-09,,
1999-06,,0.00,6.358B,6.358B,7.252B,,7.252B,,,,13.61B,,,,,,,,,,,3.642B,3.642B,,,,,,3.642B,21.00B,,,,,,926.00M,,926.00M,,,,,926.00M,814.00M,,814.00M,,,,,,800.00M,814.00M,17.04B,,1999-06,,,,,,,3.168B,,1999-06,,
1999-03,,0.00,6.39B,6.39B,7.052B,,7.052B,,,,13.44B,,,,,,,,,,,3.594B,3.594B,,,,,,3.594B,20.48B,,,,,,929.00M,,929.00M,,,,,929.00M,576.00M,,576.00M,,,,,,800.00M,576.00M,16.75B,,1999-03,,,,,,,2.937B,,1999-03,,
1998-12,723.00M,723.00M,2.221B,2.944B,1.183B,5.423B,6.606B,,0.00,,9.55B,,,,,,,,,,3.006B,494.00M,3.50B,6.452B,,,214.00M,,10.17B,19.69B,6.948B,156.00M,7.104B,7.104B,,501.00M,,501.00M,,,,,7.605B,923.00M,,923.00M,,,,,,800.00M,1.773B,15.87B,,1998-12,172.00M,58.00M,,,,-116.00M,3.017B,,1998-12,AOR,Restated
1998-09,,0.00,6.395B,6.395B,1.085B,,1.085B,,,,7.481B,,,,,,,,,,,3.341B,3.341B,,,,,,3.341B,19.94B,,,,,,1.053B,,1.053B,,,,,1.053B,594.70M,,594.70M,,,,,,800.00M,594.70M,16.09B,,1998-09,,,,-82.20M,,-82.20M,3.047B,,1998-09,,
1998-06,,0.00,6.545B,6.545B,1.109B,,1.109B,,,,7.653B,,,,,,,,,,,3.274B,3.274B,,,,,,3.274B,19.85B,,,,,,931.20M,,931.20M,,,,,931.20M,624.50M,,624.50M,,,,,,800.00M,624.50M,15.97B,,1998-06,,,,-91.40M,,-91.40M,3.075B,,1998-06,,
1998-03,,0.00,6.117B,6.117B,993.50M,,993.50M,,,,7.111B,,,,,,,,,,,3.142B,3.142B,,,,,,3.142B,18.87B,,,,,,675.60M,,675.60M,,,,,675.60M,618.30M,,618.30M,,,,,,800.00M,618.30M,15.14B,,1998-03,,,,-83.30M,,-83.30M,2.934B,,1998-03,,
