,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2012-03,2.841B,2.841B,1.661B,1.18B,778.00M,778.00M,,,,,,59.00M,3.00M,-56.00M,,778.00M,402.00M,3.00M,59.00M,-56.00M,,-56.00M,346.00M,97.00M,249.00M,-11.00M,,238.00M,238.00M,564.00M,,2012-03,0.72,,,,2012-03,0.71,0.71,0.71,,2012-03,332.40M,336.60M,0.15,,2012-03,AOR,Restated
2011-12,2.994B,2.994B,6.567B,-3.573B,-4.003B,-4.003B,,,,,,59.00M,4.00M,-55.00M,,-4.003B,430.00M,4.00M,59.00M,-55.00M,13.00M,-55.00M,388.00M,104.00M,284.00M,-3.00M,,277.00M,281.00M,592.00M,,2011-12,0.85,,,,2011-12,0.83,0.83,0.82,,2011-12,331.90M,338.20M,0.15,,2011-12,AOR,Restated
2011-09,2.723B,2.723B,,2.723B,2.395B,2.395B,,,,20.00M,,60.00M,4.00M,-56.00M,,2.395B,328.00M,4.00M,60.00M,-56.00M,20.00M,-56.00M,292.00M,84.00M,208.00M,-10.00M,,198.00M,183.75M,496.00M,,2011-09,0.59,0.00,,,2011-09,0.59,0.5477,0.59,,2011-09,332.60M,336.90M,0.15,,2011-09,AOR,Restated
2011-06,2.811B,2.811B,,2.811B,2.371B,2.371B,,,,-29.00M,,63.00M,4.00M,-59.00M,,2.371B,440.00M,4.00M,63.00M,-59.00M,-29.00M,-59.00M,352.00M,87.00M,265.00M,-9.00M,,258.00M,277.83M,564.00M,,2011-06,0.76,0.00,,,2011-06,0.75,0.8137,0.75,,2011-06,337.70M,342.70M,0.15,,2011-06,AOR,Restated
2011-03,2.759B,2.759B,,2.759B,2.361B,2.361B,,,,15.00M,,63.00M,6.00M,-57.00M,,2.361B,398.00M,6.00M,63.00M,-57.00M,15.00M,-57.00M,356.00M,103.00M,253.00M,-9.00M,,246.00M,233.34M,563.00M,,2011-03,0.72,0.00,,,2011-03,0.71,0.6791,0.71,,2011-03,339.40M,345.40M,0.15,,2011-03,AOR,Restated
2010-12,2.909B,2.909B,5.097B,-2.188B,-2.628B,-2.628B,,,,,,65.00M,6.00M,-59.00M,,-2.628B,440.00M,6.00M,65.00M,-59.00M,-21.00M,-59.00M,360.00M,118.00M,242.00M,-10.00M,,231.00M,232.00M,551.00M,,2010-12,0.70,0.00,,,2010-12,0.68,0.68,0.69,,2010-12,340.80M,346.70M,0.15,,2010-12,AOR,Restated
2010-09,1.801B,1.801B,,1.801B,1.538B,1.538B,,,,-9.00M,,50.00M,4.00M,-46.00M,,1.538B,263.00M,4.00M,50.00M,-46.00M,-9.00M,-46.00M,208.00M,61.00M,147.00M,-3.00M,,144.00M,150.36M,319.00M,,2010-09,0.52,0.00,,,2010-09,0.51,0.5325,0.51,,2010-09,278.70M,282.20M,0.15,,2010-09,AOR,
2010-06,1.898B,1.898B,,1.898B,1.63B,1.63B,,,,5.00M,,33.00M,4.00M,-29.00M,,1.63B,268.00M,4.00M,33.00M,-29.00M,5.00M,-29.00M,244.00M,60.00M,184.00M,-5.00M,,153.00M,175.23M,337.00M,,2010-06,0.64,-0.09,,,2010-06,0.63,0.6167,0.54,,2010-06,278.40M,282.60M,0.15,,2010-06,AOR,Restated
2010-03,1.904B,1.904B,,1.904B,1.631B,1.631B,,,,7.00M,,34.00M,1.00M,-33.00M,,1.631B,273.00M,1.00M,34.00M,-33.00M,7.00M,-33.00M,247.00M,61.00M,186.00M,-8.00M,,178.00M,172.73M,339.00M,,2010-03,0.65,0.00,,,2010-03,0.63,0.6114,0.63,,2010-03,275.90M,283.40M,0.15,,2010-03,AOR,Restated
2009-12,2.073B,2.073B,,2.073B,1.832B,1.832B,,,,6.00M,,35.00M,6.00M,-29.00M,,1.832B,241.00M,6.00M,35.00M,-29.00M,6.00M,-29.00M,218.00M,56.00M,162.00M,-20.00M,,198.00M,137.54M,321.00M,,2009-12,0.51,0.20,,,2009-12,0.50,0.4845,0.69,,2009-12,279.30M,287.80M,0.15,,2009-12,AOR,Restated
2009-09,1.794B,1.794B,,1.794B,1.60B,1.60B,,,,13.00M,,32.00M,3.00M,-29.00M,,1.60B,194.00M,3.00M,32.00M,-29.00M,13.00M,-29.00M,178.00M,47.00M,131.00M,-14.00M,,120.00M,107.43M,266.00M,,2009-09,0.41,0.01,,,2009-09,0.40,0.3672,0.41,,2009-09,283.80M,292.10M,0.15,,2009-09,AOR,Restated
2009-06,1.882B,1.882B,,1.882B,1.662B,1.662B,,,,14.00M,,26.00M,2.00M,-24.00M,,1.662B,220.00M,2.00M,26.00M,-24.00M,14.00M,-24.00M,210.00M,57.00M,153.00M,-6.00M,,149.00M,136.80M,294.00M,,2009-06,0.52,0.00,,,2009-06,0.50,0.4652,0.51,,2009-06,285.40M,292.70M,0.15,,2009-06,AOR,Restated
2009-03,1.846B,1.846B,,1.846B,1.48B,1.48B,,,,-1.00M,,29.00M,7.00M,-22.00M,,1.48B,366.00M,7.00M,29.00M,-22.00M,-1.00M,-22.00M,343.00M,108.00M,235.00M,-5.00M,,280.00M,230.69M,432.00M,,2009-03,0.81,0.18,,,2009-03,0.79,0.7923,0.96,,2009-03,284.30M,292.00M,0.15,,2009-03,AOR,Restated
2008-12,1.821B,1.821B,,1.821B,1.827B,1.827B,,,,-38.00M,,30.00M,,64.00M,,1.67B,151.00M,,30.00M,64.00M,-38.00M,64.00M,177.00M,50.00M,127.00M,-4.00M,,-6.00M,150.27M,272.00M,,2008-12,0.44,-0.39,,,2008-12,0.43,0.5236,0.05,,2008-12,280.50M,291.30M,0.15,,2008-12,AOR,Restated
2008-09,1.846B,1.846B,,1.846B,1.55B,1.55B,,,,3.00M,,32.00M,,-32.00M,,1.599B,247.00M,,32.00M,-32.00M,3.00M,-32.00M,218.00M,59.00M,159.00M,-4.00M,,117.00M,152.81M,299.00M,,2008-09,0.55,-0.13,,,2008-09,0.53,0.5226,0.40,,2008-09,281.70M,293.90M,0.15,,2008-09,AOR,Restated
2008-06,1.956B,1.956B,,1.956B,1.643B,1.643B,,,,2.00M,,31.00M,,-31.00M,,1.701B,255.00M,,31.00M,-31.00M,2.00M,-31.00M,226.00M,57.00M,169.00M,-3.00M,,1.133B,164.50M,315.00M,,2008-06,0.56,3.26,,,2008-06,0.54,0.5351,3.71,,2008-06,289.50M,305.30M,0.15,,2008-06,AOR,Restated
2008-03,1.905B,1.905B,,1.905B,1.568B,1.568B,,,,4.00M,,33.00M,,-33.00M,,1.618B,287.00M,,33.00M,-33.00M,4.00M,-33.00M,258.00M,76.00M,182.00M,-5.00M,,218.00M,174.18M,341.00M,,2008-03,0.57,0.13,,,2008-03,0.55,0.5412,0.68,,2008-03,311.90M,319.80M,0.15,,2008-03,AOR,Restated
2007-12,1.998B,1.998B,,1.998B,1.637B,1.637B,,,,6.00M,,36.00M,,-36.00M,,1.689B,309.00M,,36.00M,-36.00M,6.00M,-36.00M,279.00M,86.00M,193.00M,,,207.00M,188.85M,371.00M,,2007-12,0.64,0.04,,,2007-12,0.60,0.5872,0.64,,2007-12,304.00M,324.20M,0.15,,2007-12,AOR,Restated
2007-09,1.749B,1.749B,,1.749B,1.445B,1.445B,,,,0.00,,33.00M,,-33.00M,,1.493B,256.00M,,33.00M,-33.00M,,-33.00M,223.00M,93.00M,130.00M,,,204.00M,130.00M,306.00M,,2007-09,0.44,0.25,,,2007-09,0.41,0.41,0.64,,2007-09,295.00M,321.50M,0.15,,2007-09,AOR,Restated
2007-06,1.866B,1.866B,,1.866B,1.534B,1.534B,,,,29.00M,,34.00M,,-34.00M,,1.58B,286.00M,,34.00M,-34.00M,29.00M,-34.00M,281.00M,98.00M,183.00M,,,240.00M,164.11M,364.00M,,2007-06,0.62,0.19,,,2007-06,0.57,0.5113,0.75,,2007-06,296.00M,321.90M,0.15,,2007-06,AOR,Restated
2007-03,1.798B,1.798B,,,1.053B,1.053B,,,,0.00,,,,,423.00M,1.523B,275.00M,,,,,,240.00M,75.00M,165.00M,,,213.00M,165.00M,325.00M,,2007-03,0.55,0.16,,,2007-03,0.51,0.51,0.66,,2007-03,298.00M,324.40M,0.15,,2007-03,AOR,Restated
2006-12,2.029B,340.00M,,,,,,,,,,,,,,316.00M,24.00M,,,,,,-9.00M,-18.00M,9.00M,,,223.00M,9.00M,128.00M,,2006-12,0.04,0.68,0.00,,2006-12,0.04,0.04,0.67,,2006-12,233.00M,333.40M,0.15,,2006-12,AOR,Restated
2006-09,1.589B,2.168B,,,,,,,,,,,,,1.939B,1.995B,173.00M,,,,,,139.00M,49.00M,90.00M,,,106.00M,90.00M,229.00M,,2006-09,0.29,0.05,0.00,,2006-09,0.27,0.27,0.32,,2006-09,340.10M,340.10M,0.15,,2006-09,AOR,Restated
2006-06,1.651B,2.208B,,,1.59B,1.59B,,,,,,,,,262.00M,1.907B,301.00M,,,,,,267.00M,92.00M,175.00M,,,193.00M,175.00M,356.00M,,2006-06,0.54,0.06,0.00,,2006-06,0.52,0.52,0.57,,2006-06,320.00M,344.80M,0.15,,2006-06,AOR,Restated
2006-03,1.612B,2.165B,,,1.097B,1.097B,,,,-255.00M,-1.868B,,,,2.36B,1.644B,521.00M,,,,-255.00M,,266.00M,93.00M,173.00M,,,198.00M,338.85M,576.00M,,2006-03,0.54,0.07,0.00,,2006-03,0.50,0.9736,0.57,,2006-03,324.59M,350.20M,0.15,,2006-03,AOR,Restated
2005-12,1.895B,402.00M,,,2.506B,2.506B,,,,-1.00M,,,,,,462.00M,-60.00M,,,,-1.00M,,-92.00M,-40.00M,-52.00M,,,222.00M,-51.40M,40.00M,,2005-12,-0.17,0.85,0.00,,2005-12,-0.17,-0.1683,0.65,,2005-12,323.85M,347.80M,0.15,,2005-12,AOR,Restated
2005-09,1.527B,2.018B,,,,,,,,,,,,,1.768B,1.845B,173.00M,,,,,,144.00M,47.00M,97.00M,,1.00M,122.00M,97.00M,250.00M,,2005-09,0.29,0.08,0.00,,2005-09,0.29,0.29,0.36,,2005-09,327.03M,342.70M,0.15,,2005-09,AOR,Restated
2005-06,1.61B,2.148B,,,1.552B,1.552B,,,,,-1.871B,,,,2.131B,1.871B,277.00M,,,,,,246.00M,98.00M,193.00M,,,191.00M,193.00M,375.00M,,2005-06,0.60,-0.01,0.00,,2005-06,0.58,0.58,0.57,,2005-06,323.73M,338.50M,0.15,,2005-06,AOR,Restated
2005-03,1.675B,2.464B,,,1.123B,1.123B,,,,,-2.12B,,,,3.05B,2.12B,344.00M,,,,,,310.00M,112.00M,198.00M,,1.00M,200.00M,198.00M,412.00M,,2005-03,0.61,0.01,0.00,,2005-03,0.58,0.58,0.59,,2005-03,320.97M,337.10M,0.15,,2005-03,AOR,Restated
2004-12,2.023B,2.834B,,,2.286B,2.286B,,,,,-2.474B,,,,2.836B,2.474B,360.00M,,,,,,145.00M,40.00M,105.00M,,1.00M,81.00M,104.00M,436.00M,,2004-12,0.33,-0.08,,,2004-12,0.31,0.31,0.24,,2004-12,319.72M,336.60M,0.15,,2004-12,AOR,
2004-09,1.603B,2.347B,,,1.684B,1.684B,,,,,-2.14B,,,,2.519B,2.14B,207.00M,,,,,,175.00M,62.00M,113.00M,,1.00M,122.00M,98.00M,285.00M,,2004-09,0.35,0.03,,,2004-09,0.33,0.33,0.36,,2004-09,318.42M,337.40M,0.15,,2004-09,AOR,Restated
2004-06,1.759B,2.544B,,,1.752B,1.752B,,,,,-2.227B,,,,2.619B,2.227B,317.00M,,,,,,282.00M,102.00M,180.00M,,,173.00M,193.00M,401.00M,,2004-06,0.56,-0.02,,,2004-06,0.54,0.54,0.52,,2004-06,320.37M,337.10M,0.15,,2004-06,AOR,Restated
