,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2016-06,2.556B,2.556B,126.08M,2.430B,1.139B,481.09M,1.620B,,12.86M,-12.86M,50.29M,21.29M,-29.00M,,1.697B,732.41M,21.29M,50.29M,-29.00M,-10.86M,-29.00M,692.55M,111.91M,580.64M,,589.74M,820.55M,77.71M,742.84M,,,11.89,11.71,,2016-06,11.78,11.60,,50.06M,,2016-06,AOR,Restated
2016-03,2.148B,2.148B,128.67M,2.019B,942.08M,454.18M,1.396B,,50.35M,-50.35M,46.89M,20.35M,-26.55M,,1.469B,550.32M,20.35M,46.89M,-26.55M,-63.28M,-26.55M,460.49M,86.07M,374.42M,,425.87M,580.26M,72.87M,507.39M,,,8.577,7.54,,2016-03,8.496,7.47,,50.13M,,2016-03,AOR,Restated
2015-12,2.000B,2.000B,120.61M,1.879B,699.10M,451.62M,1.151B,,0.00,0.00,43.77M,16.41M,-27.35M,,1.221B,657.90M,16.41M,43.77M,-27.35M,-14.02M,-27.35M,616.53M,112.26M,504.27M,,515.73M,731.06M,70.76M,660.30M,,,10.37,10.14,,2015-12,10.23,10.00,,50.52M,,2015-12,AOR,Restated
2015-09,3.103B,3.103B,155.62M,2.947B,945.66M,443.86M,1.390B,,0.00,0.00,41.44M,14.68M,-26.75M,,1.459B,1.489B,14.68M,41.44M,-26.75M,-5.783M,-26.75M,1.456B,259.44M,1.197B,,1.201B,1.567B,69.05M,1.498B,,,23.76,23.67,,2015-09,23.50,23.41,,51.13M,,2015-09,AOR,Restated
2015-06,2.280B,2.280B,187.49M,2.093B,931.64M,415.26M,1.347B,,0.00,0.00,41.55M,13.04M,-28.51M,,1.415B,678.33M,13.04M,41.55M,-28.51M,-1.444M,-28.51M,648.38M,131.34M,517.03M,,518.18M,757.60M,67.67M,689.92M,,,10.04,10.02,,2015-06,9.962,9.94,,52.04M,,2015-06,AOR,Restated
2015-03,1.841B,1.841B,168.46M,1.672B,788.74M,384.52M,1.173B,,0.00,0.00,33.48M,11.60M,-21.88M,,1.238B,433.97M,11.60M,33.48M,-21.88M,-4.843M,-21.88M,407.24M,73.92M,333.33M,,337.29M,505.72M,65.00M,440.72M,,,6.496,6.42,,2015-03,6.436,6.36,,52.41M,,2015-03,AOR,Restated
2014-12,1.840B,1.840B,165.41M,1.675B,633.57M,390.69M,1.024B,,,,30.55M,8.768M,-21.78M,,1.096B,578.87M,8.768M,30.55M,-21.78M,-5.045M,-21.78M,552.04M,100.21M,451.83M,,455.96M,654.15M,71.56M,582.59M,,,8.729,8.65,,2014-12,8.618,8.54,,52.95M,,2014-12,AOR,Restated
2014-09,2.836B,2.836B,216.52M,2.620B,857.50M,382.18M,1.240B,,,,22.95M,2.49M,-20.46M,,1.297B,1.323B,2.49M,22.95M,-20.46M,3.347M,-20.46M,1.306B,243.34M,1.062B,,1.060B,1.386B,57.60M,1.329B,,,20.22,20.27,,2014-09,19.98,20.03,,53.02M,,2014-09,AOR,Restated
2014-06,2.124B,2.124B,240.58M,1.883B,772.73M,336.96M,1.110B,,,,17.11M,1.634M,-15.47M,,1.150B,733.01M,1.634M,17.11M,-15.47M,-1.777M,-15.47M,715.76M,139.31M,576.45M,,577.88M,773.16M,40.29M,732.87M,,,11.03,11.00,,2014-06,10.92,10.89,,52.96M,,2014-06,AOR,Restated
2014-03,1.642B,1.642B,235.33M,1.406B,638.63M,290.74M,929.37M,,,,17.74M,1.041M,-16.70M,,967.74M,438.73M,1.041M,17.74M,-16.70M,-5.969M,-16.70M,416.05M,84.84M,331.22M,,335.97M,472.17M,38.38M,433.80M,,,6.441,6.35,,2014-03,6.340,6.25,,53.02M,,2014-03,AOR,Restated
2013-12,1.541B,1.541B,207.85M,1.333B,485.33M,310.01M,795.33M,,,,22.19M,1.285M,-20.91M,,832.45M,500.85M,1.285M,22.19M,-20.91M,-29.75M,-20.91M,450.19M,72.11M,378.08M,0.00,403.06M,509.50M,37.12M,472.38M,,,7.804,7.32,,2013-12,7.612,7.14,,52.97M,,2013-12,AOR,Restated
2013-09,2.270B,2.270B,280.84M,1.989B,638.33M,268.09M,906.42M,,,,24.14M,0.867M,-23.27M,,942.17M,1.047B,0.867M,24.14M,-23.27M,-3.278M,-23.27M,1.020B,187.36M,832.99M,0.00,835.66M,1.080B,35.75M,1.044B,,,16.27,16.22,,2013-09,15.77,15.72,,52.98M,,2013-09,AOR,Restated
2013-06,1.680B,1.680B,296.38M,1.384B,555.12M,247.88M,803.00M,,,,19.63M,1.141M,-18.49M,,829.02M,554.83M,1.141M,19.63M,-18.49M,-0.782M,-18.49M,535.56M,98.12M,437.44M,-0.114M,437.96M,581.22M,26.03M,555.19M,,,8.633,8.62,,2013-06,8.402,8.39,,52.11M,,2013-06,AOR,Restated
2013-03,1.302B,1.302B,292.35M,1.010B,483.14M,197.60M,680.75M,,,,17.33M,0.874M,-16.46M,,699.83M,309.84M,0.874M,17.33M,-16.46M,-2.942M,-16.46M,290.44M,46.15M,244.29M,-0.021M,246.75M,326.85M,19.08M,307.77M,,,4.940,4.89,,2013-03,4.808,4.76,,51.35M,,2013-03,AOR,Restated
2012-12,1.191B,1.191B,250.89M,939.75M,362.78M,185.03M,547.81M,,,,16.86M,0.856M,-16.00M,,565.44M,374.32M,0.856M,16.86M,-16.00M,-2.293M,-16.00M,356.02M,66.43M,289.60M,-0.932M,290.53M,390.51M,17.63M,372.88M,,,5.827,5.79,,2012-12,5.666,5.63,,51.42M,,2012-12,AOR,Restated
2012-09,1.706B,1.706B,309.81M,1.397B,436.61M,188.30M,624.90M,,,,17.07M,0.905M,-16.16M,,640.91M,755.59M,0.905M,17.07M,-16.16M,-8.256M,-16.16M,731.17M,131.20M,599.97M,-3.387M,603.36M,764.25M,16.01M,748.24M,,,12.11,11.97,,2012-09,11.79,11.66,,51.18M,,2012-09,AOR,Restated
2012-06,1.327B,1.327B,322.62M,1.004B,371.85M,158.28M,530.12M,,,,16.88M,1.001M,-15.88M,,545.79M,458.36M,1.001M,16.88M,-15.88M,3.205M,-15.88M,445.68M,93.02M,352.65M,-0.307M,349.81M,478.22M,15.66M,462.56M,,,7.019,7.07,,2012-06,6.831,6.88,,51.23M,,2012-06,AOR,Restated
2012-03,1.037B,1.037B,293.96M,743.29M,333.83M,152.08M,485.92M,,,,11.26M,1.098M,-10.16M,,501.76M,241.53M,1.098M,11.26M,-10.16M,-2.376M,-10.16M,229.00M,47.18M,181.82M,0.154M,183.86M,256.10M,15.84M,240.25M,,,3.688,3.65,,2012-03,3.577,3.54,,51.35M,,2012-03,AOR,Restated
2011-12,990.77M,990.77M,266.07M,724.70M,263.66M,166.98M,430.64M,,,,8.332M,2.044M,-6.288M,,420.92M,303.78M,2.044M,8.332M,-6.288M,1.17M,-6.288M,298.66M,72.70M,225.96M,-0.24M,224.83M,320.73M,13.74M,306.99M,,,4.512,4.53,,2011-12,4.383,4.40,,51.26M,,2011-12,AOR,Restated
2011-09,1.453B,1.453B,352.66M,1.100B,335.08M,126.18M,461.26M,8.548M,,,7.879M,2.526M,-5.353M,,483.77M,616.38M,2.526M,7.879M,-5.353M,0.827M,-5.353M,611.85M,138.97M,472.89M,-3.387M,468.86M,633.69M,13.96M,619.73M,,0.00,9.417,9.43,,2011-09,9.158,9.17,,51.18M,,2011-09,AOR,Restated
2011-06,1.103B,1.103B,353.49M,749.23M,287.13M,115.50M,402.63M,8.239M,,,7.795M,2.129M,-5.666M,,424.52M,324.71M,2.129M,7.795M,-5.666M,-2.451M,-5.666M,316.59M,60.31M,256.28M,0.091M,258.35M,338.04M,13.65M,324.39M,,0.00,5.200,5.16,,2011-06,5.059,5.02,,51.10M,,2011-06,AOR,Restated
2011-03,809.32M,809.32M,303.51M,505.81M,231.50M,101.10M,332.60M,6.67M,,,7.715M,1.421M,-6.294M,,351.75M,154.06M,1.421M,7.715M,-6.294M,-7.073M,-6.294M,140.69M,36.68M,104.01M,0.777M,110.02M,160.89M,12.48M,148.41M,,0.00,2.226,2.12,,2011-03,2.152,2.05,,51.16M,,2011-03,AOR,Restated
2010-12,731.31M,731.31M,252.90M,478.41M,170.46M,121.40M,291.85M,,,,7.578M,1.144M,-6.434M,,289.45M,188.96M,1.144M,7.578M,-6.434M,-1.621M,-6.434M,180.90M,45.79M,135.11M,0.618M,136.94M,202.69M,14.20M,188.48M,,,2.785,2.76,,2010-12,2.674,2.65,,51.20M,,2010-12,AOR,Restated
2010-09,1.002B,1.002B,335.57M,666.19M,213.56M,97.74M,311.30M,5.347M,,,8.293M,0.918M,-7.375M,,329.42M,336.77M,0.918M,8.293M,-7.375M,-10.72M,-7.375M,318.68M,94.12M,224.56M,-1.58M,230.53M,341.77M,14.80M,326.97M,,0.00,4.745,4.59,,2010-09,4.559,4.41,,50.56M,,2010-09,AOR,Restated
2010-06,767.44M,767.44M,322.18M,445.26M,171.13M,85.31M,256.44M,4.895M,,,9.267M,0.94M,-8.327M,,272.10M,173.16M,0.94M,9.267M,-8.327M,1.039M,-8.327M,165.87M,51.28M,114.60M,0.361M,114.24M,186.82M,11.69M,175.14M,,0.00,2.395,2.41,,2010-06,2.246,2.26,,50.85M,,2010-06,AOR,Restated
2010-03,584.39M,584.39M,265.28M,319.12M,149.01M,67.81M,216.82M,4.608M,,,4.806M,0.855M,-3.951M,,231.21M,87.91M,0.855M,4.806M,-3.951M,-3.13M,-3.951M,80.83M,26.95M,53.88M,0.00,55.96M,95.41M,9.779M,85.63M,,0.00,1.205,1.16,,2010-03,1.101,1.06,,50.86M,,2010-03,AOR,Restated
2009-12,541.75M,541.75M,228.56M,313.19M,115.69M,64.49M,180.18M,5.137M,,,4.863M,0.528M,-4.335M,,195.33M,117.86M,0.528M,4.863M,-4.335M,-5.389M,-4.335M,108.14M,29.68M,78.46M,0.00,78.46M,123.01M,10.01M,113.00M,,0.00,1.70,1.70,,2009-12,1.46,1.46,,51.67M,,2009-12,AOR,Restated
2009-09,730.66M,730.66M,296.65M,434.01M,148.05M,70.33M,218.38M,4.777M,,-1.22M,5.911M,0.471M,-5.44M,,233.25M,200.76M,0.471M,5.911M,-5.44M,-1.22M,-5.44M,194.10M,-124.89M,318.98M,0.00,319.78M,210.10M,10.10M,200.01M,,0.00,7.509,7.49,,2009-09,6.436,6.42,,49.67M,,2009-09,AOR,Restated
2009-06,603.74M,603.74M,298.50M,305.24M,121.85M,59.59M,181.44M,4.697M,,-3.88M,6.505M,0.483M,-6.022M,,195.86M,109.38M,0.483M,6.505M,-6.022M,-3.88M,-6.022M,99.47M,32.50M,67.01M,0.00,69.62M,115.70M,9.723M,105.98M,,0.00,1.673,1.61,,2009-06,1.434,1.38,,48.48M,,2009-06,AOR,Restated
2009-03,462.06M,462.06M,253.73M,208.33M,97.30M,54.30M,151.60M,4.527M,,3.817M,6.805M,0.741M,-6.064M,,165.49M,42.84M,0.741M,6.805M,-6.064M,3.817M,-6.064M,40.60M,15.54M,25.02M,,22.67M,56.76M,9.361M,47.40M,,0.00,0.5525,0.61,,2009-03,0.4799,0.53,,47.01M,,2009-03,AOR,Restated
2008-12,406.04M,406.04M,200.98M,205.06M,83.77M,57.75M,141.52M,4.268M,,11.33M,7.532M,1.522M,-6.01M,,156.23M,48.83M,1.522M,7.532M,-6.01M,11.33M,-6.01M,54.16M,19.96M,34.15M,0.00,26.99M,72.13M,10.44M,61.69M,,0.00,0.6533,0.83,,2008-12,0.5866,0.74,,46.65M,,2008-12,AOR,Restated
2008-09,561.61M,561.61M,245.53M,316.08M,114.04M,58.78M,172.82M,4.402M,,3.587M,7.739M,3.061M,-4.678M,,188.16M,127.92M,3.061M,7.739M,-4.678M,3.587M,-4.678M,126.83M,40.44M,86.29M,-1.803M,82.04M,145.50M,10.94M,134.57M,,0.00,2.068,2.13,,2008-09,1.690,1.74,,48.66M,,2008-09,,Restated
2008-06,513.98M,513.98M,260.25M,253.72M,102.72M,53.85M,156.57M,5.136M,,-0.011M,9.521M,2.905M,-6.616M,,172.77M,80.95M,2.905M,9.521M,-6.616M,-0.011M,-6.616M,74.33M,23.26M,50.99M,-1.154M,49.85M,94.91M,11.06M,83.85M,,0.00,1.290,1.29,,2008-06,1.000,1.00,,49.95M,,2008-06,,Restated
2008-03,403.18M,403.18M,222.08M,181.10M,86.16M,48.67M,134.84M,4.149M,,-5.084M,10.06M,4.172M,-5.889M,,149.34M,31.76M,4.172M,10.06M,-5.889M,-5.084M,-5.889M,20.79M,6.506M,14.20M,-0.421M,17.27M,41.48M,10.62M,30.85M,,0.00,0.4514,0.36,,2008-03,0.3511,0.28,,49.13M,,2008-03,,Restated
2007-12,334.85M,334.85M,174.70M,160.15M,97.53M,-5.605M,91.92M,,,-1.414M,,,,,116.14M,44.01M,,,,2.531M,,45.14M,11.23M,32.86M,,32.37M,76.95M,8.511M,66.51M,,0.00,0.8879,0.86,,2007-12,0.6511,0.63,,50.24M,,2007-12,,Restated
2007-09,417.29M,417.29M,214.96M,202.33M,62.26M,52.86M,115.12M,,,-1.316M,,,,,124.25M,78.08M,,,,-3.832M,,80.22M,-26.66M,104.36M,,105.22M,88.00M,9.916M,78.08M,,0.00,2.783,2.76,,2007-09,2.289,2.27,,45.92M,,2007-09,,
2007-06,355.88M,355.88M,198.67M,157.21M,52.75M,47.89M,100.64M,,,-0.332M,,,,,109.64M,47.57M,,,,-1.666M,,50.87M,14.96M,34.57M,,34.81M,57.38M,9.805M,47.57M,,0.00,0.9262,0.92,,2007-06,0.7954,0.79,,43.67M,,2007-06,,
2007-03,301.39M,301.39M,181.67M,119.72M,43.26M,99.69M,142.95M,,,-0.214M,,,,,151.45M,-31.74M,,,,-0.307M,,-26.22M,-11.59M,-14.72M,,-14.58M,-22.47M,9.268M,-31.74M,,0.00,-0.4363,-0.44,,2007-03,-0.4363,-0.44,,37.19M,,2007-03,,
2006-12,260.07M,260.07M,160.55M,99.52M,33.78M,44.68M,78.46M,,,-0.449M,,,,,86.94M,12.58M,,,,-0.988M,,14.66M,0.889M,13.23M,,13.65M,22.36M,9.78M,12.58M,,0.00,0.3917,0.38,,2006-12,0.3504,0.34,,40.43M,,2006-12,,
2006-09,313.47M,313.47M,189.92M,123.55M,41.22M,42.06M,83.28M,,,0.354M,,,,,91.94M,31.60M,,,,-1.974M,,33.03M,-18.11M,48.82M,,48.60M,40.94M,9.34M,31.60M,,0.00,1.205,1.21,,2006-09,1.045,1.05,,46.38M,,2006-09,,
2006-06,307.65M,307.65M,201.85M,105.80M,39.35M,39.05M,78.41M,,,-0.622M,,,,,86.77M,19.04M,,,,-1.509M,,18.98M,5.578M,12.52M,,12.96M,28.10M,9.066M,19.04M,,0.00,0.3311,0.32,,2006-06,0.2893,0.28,,46.99M,,2006-06,,
2006-03,241.91M,241.91M,169.68M,72.23M,31.30M,34.08M,65.38M,,,-0.024M,,,,,73.32M,-1.094M,,,,0.177M,,-1.041M,-0.741M,-0.099M,,-0.0846M,7.551M,8.645M,-1.094M,,0.00,-0.0196,-0.02,,2006-03,-0.0196,-0.02,,39.38M,,2006-03,,
2005-12,203.91M,203.91M,138.99M,64.92M,21.01M,30.16M,51.17M,,,-0.098M,,,,,58.88M,6.034M,,,,0.025M,,5.917M,2.25M,3.79M,,3.851M,14.50M,8.469M,6.034M,,0.00,0.0815,0.08,,2005-12,0.0813,0.08,,46.42M,,2005-12,,
2005-09,258.80M,258.80M,178.80M,80.00M,27.18M,30.79M,57.97M,,,-2.077M,,,,,65.11M,14.89M,,,,-1.752M,,12.67M,-158.57M,171.57M,,172.82M,23.26M,8.369M,14.89M,,0.00,4.392,4.36,,2005-09,3.737,3.71,,46.48M,,2005-09,,
2005-06,266.56M,266.56M,201.32M,65.23M,20.29M,28.10M,48.40M,,,0.137M,,,,,53.44M,11.79M,,,,0.449M,,12.40M,0.336M,12.38M,,12.24M,17.56M,5.771M,11.79M,,0.00,0.3166,0.32,,2005-06,0.2871,0.29,,46.52M,,2005-06,,
2005-03,232.45M,233.39M,175.68M,57.71M,21.00M,26.41M,47.41M,,,0.657M,,,,,52.88M,4.831M,,,,0.647M,,4.712M,-0.29M,4.992M,,4.598M,11.00M,6.169M,4.831M,,0.00,0.0999,0.11,,2005-03,0.0901,0.10,,39.76M,,2005-03,,
2004-12,194.97M,194.97M,145.07M,49.90M,14.54M,24.87M,39.41M,,,-0.06M,,,,,44.76M,5.133M,,,,-0.419M,,5.252M,-0.26M,5.001M,,5.037M,10.49M,5.234M,5.133M,,0.00,0.1209,0.12,,2004-12,0.1207,0.12,,49.95M,,2004-12,AOR,
2004-09,235.88M,235.88M,184.78M,51.10M,14.65M,23.45M,38.10M,,,0.056M,,,,,41.45M,9.65M,,,,0.065M,,10.07M,0.067M,10.00M,,9.948M,13.93M,4.276M,9.65M,,0.00,0.2386,0.24,,2004-09,0.2286,0.23,,40.28M,,2004-09,,
2004-06,259.39M,259.39M,205.61M,53.78M,16.37M,23.90M,40.27M,,,0.025M,,,,,42.83M,10.95M,,,,-0.01M,,,,11.40M,,11.39M,14.56M,3.61M,10.95M,,0.00,0.2996,0.30,,2004-06,0.2896,0.29,,39.93M,,2004-06,,
2004-03,224.13M,224.13M,180.76M,43.37M,15.40M,21.07M,36.48M,,,0.006M,,,,,38.70M,4.679M,,,,-0.12M,,,,5.103M,,5.099M,7.115M,2.436M,4.679M,,0.00,0.1199,0.12,,2004-03,0.1099,0.11,,38.90M,,2004-03,,
2003-12,183.15M,180.17M,148.35M,31.82M,43.53M,-18.20M,25.33M,,,3.704M,,,,,30.85M,0.964M,,,,1.21M,,,,2.228M,,0.0056M,5.948M,2.189M,3.624M,,0.00,0.0016,0.06,,2003-12,0.0036,0.06,,39.39M,,2003-12,,Restated
2003-09,242.48M,243.44M,202.79M,40.65M,10.28M,19.88M,30.16M,,,1.099M,,,,-0.137M,32.54M,8.112M,,,,2.488M,,,,9.73M,,9.071M,10.76M,2.645M,8.112M,,0.00,0.2027,0.22,,2003-09,0.1934,0.21,,39.81M,,2003-09,,
2003-06,239.57M,239.57M,199.07M,40.49M,10.77M,20.75M,31.53M,,,,,,,,34.32M,6.179M,,,,1.105M,,,,7.689M,,7.689M,8.966M,2.787M,6.179M,,0.00,0.20,0.20,,2003-06,0.20,0.20,,39.28M,,2003-06,,
2003-03,200.49M,200.49M,167.50M,32.99M,11.10M,14.63M,25.73M,4.93M,,-6.638M,,,,6.638M,41.21M,-8.223M,,,,-6.638M,,,,-7.731M,,-3.748M,-4.311M,3.912M,-8.223M,,0.00,-0.1337,-0.2400,,2003-03,-0.1337,-0.2400,,37.48M,,2003-03,,
2002-12,197.30M,197.30M,166.82M,30.48M,,,34.78M,-19.18M,,-4.653M,,,,,9.685M,20.80M,,,,-5.784M,,,,-7.411M,,-4.619M,0.63M,4.466M,-3.836M,,0.00,-0.1355,-0.2101,,2002-12,-0.1355,-0.2101,,37.43M,,2002-12,,Restated
2002-09,239.96M,239.96M,202.22M,37.74M,,,28.50M,10.14M,,-23.97M,,,,24.23M,62.87M,-25.13M,,,,-23.58M,,,,-23.82M,,-9.439M,-20.28M,4.85M,-25.13M,,0.00,-0.2802,-0.6599,,2002-09,-0.2997,-0.6599,,39.93M,,2002-09,,
2002-06,304.46M,304.46M,256.31M,48.15M,,,32.64M,10.52M,,0.292M,,,,-0.255M,42.91M,5.239M,,,,0.537M,,6.309M,,6.309M,,6.134M,9.729M,4.49M,5.239M,,0.00,0.1754,0.1800,,2002-06,0.1756,0.1800,,39.92M,,2002-06,,
2002-03,261.88M,261.88M,219.89M,41.99M,,,27.78M,10.53M,,0.788M,,,,,38.31M,3.679M,,,,1.28M,,,,5.741M,,5.268M,8.138M,4.459M,3.679M,,0.00,0.1075,0.1200,,2002-03,0.1082,0.1200,,40.00M,,2002-03,,
2001-12,235.30M,235.30M,196.05M,39.25M,,,76.34M,,,2.737M,,,,-1.218M,43.95M,-4.70M,,,,3.254M,,,,-1.322M,,-2.964M,-4.70M,-5.037M,-4.70M,,0.00,-0.1041,-0.0600,,2001-12,-0.0989,-0.0600,,42.23M,,2001-12,,
