,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-11,2.337B,2.337B,1.441B,895.40M,,,677.70M,-6.50M,,,677.70M,217.70M,,,-6.50M,,198.90M,69.60M,129.30M,,,129.30M,133.53M,294.30M,76.60M,217.70M,,0.06,0.00,,0.0620,0.06,,0.06,0.00,,0.0620,0.06,,2.155B,2.155B,0.015,,,
2001-08,2.614B,2.614B,1.585B,1.029B,,,696.20M,-5.50M,,,696.20M,332.70M,,,-5.50M,,314.20M,110.00M,204.20M,,-5.00M,199.20M,207.77M,395.80M,63.10M,332.70M,,0.0475,-0.0012,0.00,0.0483,0.0462,,0.0469,-0.0012,-0.0012,0.0477,0.0456,,4.298B,4.346B,0.015,,,
2001-05,2.483B,2.483B,1.547B,936.50M,,,655.30M,-14.40M,,,655.30M,281.20M,,,-14.40M,,254.20M,91.50M,162.70M,,,162.70M,171.92M,328.30M,47.10M,281.20M,,0.075,0.00,,0.0792,0.075,,0.075,0.00,,0.0792,0.075,,2.170B,2.170B,0.015,,,
2001-02,2.170B,2.170B,1.342B,828.60M,,,660.20M,-6.20M,,,660.20M,168.40M,,,-6.20M,,148.20M,50.80M,97.40M,,,97.40M,101.47M,228.10M,59.70M,168.40M,,0.045,0.00,,0.0469,0.045,,0.0438,0.00,,0.0456,0.0438,,2.164B,2.226B,0.015,,,
2000-11,2.199B,2.199B,1.327B,871.40M,,,673.10M,6.40M,,,673.10M,198.30M,,,6.40M,,188.00M,68.60M,119.40M,,,119.40M,115.34M,253.20M,54.90M,198.30M,,0.055,0.00,,0.0531,0.055,,0.055,0.00,,0.0531,0.055,,2.171B,2.171B,0.015,,,
2000-08,2.637B,2.637B,1.569B,1.068B,,,701.10M,-20.00M,,,701.10M,366.40M,,,-20.00M,,331.00M,120.80M,210.20M,,,210.20M,222.90M,418.80M,52.40M,366.40M,,0.0975,0.00,,0.1034,0.0975,,0.0962,0.00,,0.1021,0.0962,,2.156B,2.184B,0.015,,,
2000-05,2.273B,2.273B,1.289B,984.10M,,,722.60M,2.80M,,,778.80M,205.30M,,,2.80M,,193.70M,67.70M,126.00M,,,126.00M,124.18M,261.50M,56.20M,205.30M,,0.1606,0.00,,0.1598,0.1606,,0.1581,0.00,,0.1573,0.1581,,2.109B,2.175B,0.015,,,
2000-02,2.162B,2.162B,1.230B,931.20M,,,632.40M,0.20M,,,688.40M,242.80M,,,0.20M,,229.10M,83.80M,145.30M,,,145.30M,145.17M,298.80M,56.00M,242.80M,,0.0331,0.00,,0.0331,0.0331,,0.0325,0.00,,0.0324,0.0325,,2.239B,2.259B,0.015,,,
1999-11,2.060B,2.060B,1.147B,912.70M,,,624.80M,-16.80M,,,715.80M,196.90M,,,-16.80M,,173.40M,65.90M,107.50M,,,107.50M,117.92M,287.90M,49.80M,196.90M,,0.0488,0.00,,0.0535,0.0488,,0.0475,0.00,,0.0521,0.0475,,2.205B,2.263B,0.015,,,
1999-08,2.501B,2.501B,1.473B,1.028B,,,626.50M,-7.00M,,,688.10M,339.90M,,,-7.00M,,322.90M,122.70M,200.20M,,,200.20M,204.54M,401.50M,61.60M,339.90M,,0.0444,0.00,,0.0463,0.0444,,0.0438,0.00,,0.0457,0.0438,,2.241B,2.241B,0.015,,,
1999-05,2.182B,2.182B,1.296B,886.80M,,,672.30M,-8.20M,,,713.20M,173.60M,,,-8.20M,,156.00M,61.60M,94.40M,,,94.40M,99.36M,214.50M,40.90M,173.60M,,0.0418,,,0.0440,0.0418,,0.0418,,,0.0440,0.0418,,2.258B,2.258B,0.015,,,
1999-02,2.177B,2.177B,1.296B,881.00M,,,569.80M,-26.30M,,,638.90M,242.10M,,,-26.30M,,205.40M,81.20M,124.20M,,,124.20M,140.10M,311.20M,69.10M,242.10M,,0.0275,0.00,,0.0346,0.0275,,0.0275,0.00,,0.0346,0.0275,,2.250B,2.250B,0.015,,,
1998-11,1.913B,1.913B,1.168B,745.00M,,,531.90M,-27.60M,,,593.50M,151.50M,,,-27.60M,,113.80M,44.90M,68.90M,,,68.90M,85.61M,213.10M,61.60M,151.50M,,0.015,0.00,,0.0224,0.015,,0.015,0.00,,0.0224,0.015,,2.261B,2.261B,0.015,,,
1998-08,2.505B,2.505B,1.505B,999.40M,,,652.60M,-4.60M,,,709.80M,289.60M,,,-4.60M,,270.80M,107.00M,163.80M,,,163.80M,166.58M,346.80M,57.20M,289.60M,,0.0356,0.00,,0.0368,0.0356,,0.035,0.00,,0.0362,0.035,,2.290B,2.290B,0.015,,,
1998-05,2.308B,2.308B,1.461B,846.50M,,,720.50M,-123.30M,,,821.00M,25.50M,,,-123.30M,,-110.50M,-42.80M,-67.70M,,,-67.70M,7.842M,126.00M,100.50M,25.50M,,-0.0295,,,0.0034,-0.0295,,-0.0295,,,0.0034,-0.0295,,2.296B,2.296B,0.015,,,
1998-02,2.224B,2.224B,1.384B,840.10M,,,651.40M,-8.00M,,,696.30M,143.80M,,,-8.00M,,122.60M,49.50M,73.10M,,,73.10M,77.90M,188.70M,44.90M,143.80M,,0.0156,0.00,,0.0177,0.0156,,0.0156,0.00,,0.0177,0.0156,,2.302B,2.302B,0.015,,,
1997-11,2.255B,2.255B,1.365B,890.10M,,,593.10M,-6.30M,,,637.40M,252.70M,,,-6.30M,,229.30M,88.20M,141.10M,,,141.10M,144.98M,297.00M,44.30M,252.70M,,0.0306,0.00,,0.0323,0.0306,,0.03,0.00,,0.0317,0.03,,2.325B,2.325B,0.0125,,,
1997-08,2.766B,2.766B,1.622B,1.144B,,,658.90M,-13.20M,,,702.70M,441.70M,,,-13.20M,,411.60M,158.50M,253.10M,,,253.10M,261.22M,485.50M,43.80M,441.70M,,0.0544,0.00,,0.0579,0.0544,,0.0531,0.00,,0.0566,0.0531,,2.325B,2.325B,0.0125,,,
1997-05,2.374B,2.374B,1.354B,1.020B,,,666.10M,-16.10M,,,739.60M,280.00M,,,-16.10M,,250.20M,94.50M,155.70M,,,155.70M,165.72M,353.50M,73.50M,280.00M,,0.0673,,,0.0716,0.0673,,0.0673,,,0.0716,0.0673,,2.314B,2.314B,0.0125,,,
1997-02,2.424B,2.424B,1.399B,1.025B,,,577.60M,-7.70M,,,614.20M,410.60M,,,-7.70M,,387.10M,150.00M,237.10M,,,237.10M,241.82M,447.20M,36.60M,410.60M,,0.0512,0.00,,0.0533,0.0512,,0.05,0.00,,0.0520,0.05,,2.310B,2.310B,0.0125,,,
1996-11,2.107B,2.107B,1.246B,860.60M,,,530.50M,0.10M,,,561.70M,298.90M,,,0.10M,,288.90M,112.00M,176.90M,,,176.90M,176.84M,330.10M,31.20M,298.90M,,0.0381,0.00,,0.0381,0.0381,,0.0375,0.00,,0.0375,0.0375,,2.307B,2.307B,0.00,,,
1996-08,2.282B,2.282B,1.335B,946.80M,,,529.50M,-8.60M,,,556.50M,390.30M,,,-8.60M,,369.00M,142.90M,226.10M,,,226.10M,231.37M,417.30M,27.00M,390.30M,,0.0247,0.00,,0.0270,0.0247,,0.0238,0.00,,0.0260,0.0238,,2.304B,2.304B,0.0094,,,
1996-05,1.921B,1.921B,1.093B,827.90M,,,487.80M,-9.70M,,,555.80M,272.10M,,,-9.70M,,254.00M,97.50M,156.50M,,,156.50M,162.48M,340.10M,68.00M,272.10M,,0.0681,,,0.0707,0.0681,,0.0681,,,0.0707,0.0681,,2.298B,2.298B,0.0094,,,
1996-02,1.492B,1.492B,879.00M,612.60M,,,382.70M,-9.80M,,,406.10M,206.50M,,,-9.80M,,185.00M,71.30M,113.70M,,,113.70M,119.72M,229.90M,23.40M,206.50M,,0.0122,0.00,,0.0148,0.0122,,0.0122,0.00,,0.0148,0.0122,,2.294B,2.294B,0.0094,,,
1995-11,1.443B,1.443B,854.40M,588.60M,,,358.60M,-8.80M,,,379.60M,209.00M,,,-8.80M,,192.20M,74.00M,118.20M,,,118.20M,123.61M,230.00M,21.00M,209.00M,,0.0125,0.00,,0.0149,0.0125,,0.0125,0.00,,0.0149,0.0125,,2.292B,2.292B,0.0094,,,
1995-08,1.615B,1.615B,947.50M,667.10M,,,359.50M,-8.30M,,,379.50M,287.60M,,,-8.30M,,267.90M,103.10M,164.80M,,,164.80M,169.91M,307.60M,20.00M,287.60M,,0.0089,0.00,,0.0111,0.0089,,0.0089,0.00,,0.0111,0.0089,,2.287B,2.287B,0.0078,,,
1995-05,1.412B,1.412B,804.20M,607.80M,,,370.30M,-5.50M,,,412.50M,195.30M,,,-5.50M,,180.60M,67.20M,113.40M,,,113.40M,116.85M,237.50M,42.20M,195.30M,,0.0496,,,0.0511,0.0496,,0.0496,,,0.0511,0.0496,,2.286B,2.286B,0.0078,,,
1995-02,1.125B,1.125B,661.50M,463.20M,,,278.30M,-5.40M,,,295.20M,168.00M,,,-5.40M,,156.30M,61.00M,95.30M,,,95.30M,98.59M,184.90M,16.90M,168.00M,,0.0052,0.00,,0.0066,0.0052,,0.0052,0.00,,0.0066,0.0052,,2.310B,2.310B,0.0078,,,
1994-11,1.054B,1.054B,623.70M,430.00M,,,268.90M,-1.70M,,,285.20M,144.80M,,,-1.70M,,139.20M,54.30M,84.90M,,,84.90M,85.94M,161.10M,16.30M,144.80M,,0.0045,0.00,,0.0050,0.0045,,0.0045,0.00,,0.0050,0.0045,,2.345B,2.345B,0.0078,,,
1994-08,1.170B,1.170B,685.60M,484.80M,,,292.30M,0.80M,,,307.10M,177.70M,,,0.80M,,173.70M,67.70M,106.00M,,,106.00M,105.51M,192.50M,14.80M,177.70M,,0.0056,0.00,,0.0054,0.0056,,0.0056,0.00,,0.0054,0.0056,,2.345B,2.345B,0.0062,,,
1994-05,1.004B,1.004B,581.30M,422.90M,,,280.10M,-9.40M,,,299.20M,123.70M,,,-9.40M,,111.60M,42.40M,69.20M,,,69.20M,75.03M,142.80M,19.10M,123.70M,,0.0295,,,0.0320,0.0295,,0.0295,,,0.0320,0.0295,,2.342B,2.342B,0.0062,,,
1994-02,871.80M,871.80M,520.50M,351.30M,,,231.30M,3.20M,,,247.90M,103.40M,,,3.20M,,102.70M,39.50M,63.20M,,,63.20M,61.23M,120.00M,16.60M,103.40M,,0.0034,0.00,,0.0026,0.0034,,0.0034,0.00,,0.0026,0.0034,,2.370B,2.370B,0.0062,,,
1993-11,805.80M,805.80M,481.50M,324.30M,,,223.50M,1.20M,,,238.10M,86.20M,,,1.20M,,83.50M,31.20M,52.30M,,,52.30M,51.55M,100.80M,14.60M,86.20M,,0.0028,0.00,,0.0025,0.0028,,0.0028,0.00,,0.0025,0.0028,,2.394B,2.394B,0.0062,,,
1993-08,1.108B,1.108B,653.60M,454.30M,,,239.30M,-3.40M,,,253.50M,200.80M,,,-3.40M,,192.80M,78.70M,114.10M,,,114.10M,116.14M,215.00M,14.20M,200.80M,,0.0059,0.00,,0.0068,0.0059,,0.0059,0.00,,0.0068,0.0059,,2.420B,2.420B,0.0062,,,
1993-05,983.30M,983.30M,574.20M,409.10M,,,258.10M,0.30M,,,278.60M,130.50M,,,0.30M,,124.10M,47.20M,76.90M,,,76.90M,76.71M,151.00M,20.50M,130.50M,,0.0317,,,0.0316,0.0317,,0.0317,,,0.0316,0.0317,,2.427B,2.427B,0.0062,,,
1993-02,972.00M,972.00M,581.50M,390.50M,,,222.70M,-1.40M,,,237.20M,153.30M,,,-1.40M,,146.10M,56.60M,89.50M,,,89.50M,90.36M,167.80M,14.50M,153.30M,,0.0045,0.00,,0.0049,0.0045,,0.0045,0.00,,0.0049,0.0045,,2.427B,2.427B,0.0062,,,
1992-11,875.80M,875.80M,516.40M,359.40M,,,213.50M,-1.20M,,,226.70M,132.70M,,,-1.20M,,124.10M,48.10M,76.00M,,,76.00M,76.73M,145.90M,13.20M,132.70M,,0.0039,0.00,,0.0042,0.0039,,0.0039,0.00,,0.0042,0.0039,,2.423B,2.423B,0.0062,,,
1992-08,1.100B,1.100B,654.50M,445.40M,,,228.00M,0.90M,,,240.20M,205.20M,,,0.90M,,200.20M,77.60M,122.60M,,,122.60M,122.05M,217.40M,12.20M,205.20M,,0.0062,0.00,,0.0060,0.0062,,0.0062,0.00,,0.0060,0.0062,,2.420B,2.420B,0.0094,,,
1992-05,847.60M,847.60M,506.40M,341.20M,,,214.20M,-2.90M,,,228.30M,112.90M,,,-2.90M,,101.50M,30.80M,70.70M,,,70.70M,72.72M,127.00M,14.10M,112.90M,,0.0293,,,0.0301,0.0293,,0.0293,,,0.0301,0.0293,,2.416B,2.416B,0.0047,,,
1992-02,867.00M,867.00M,520.80M,346.20M,,,193.70M,0.10M,,,205.50M,140.70M,,,0.10M,,134.20M,51.70M,82.50M,,,82.50M,82.44M,152.50M,11.80M,140.70M,,0.0042,0.00,,0.0042,0.0042,,0.0042,0.00,,0.0042,0.0042,,2.415B,2.415B,0.0047,,,
1991-11,743.40M,743.40M,444.10M,299.30M,,,181.40M,0.40M,,,192.70M,106.60M,,,0.40M,,99.90M,38.40M,61.50M,,,61.50M,61.25M,117.90M,11.30M,106.60M,,0.0031,0.00,,0.0030,0.0031,,0.0031,0.00,,0.0030,0.0031,,2.414B,2.414B,0.0044,,,
1991-08,947.20M,947.20M,570.10M,377.10M,,,172.30M,0.30M,,,182.80M,194.30M,,,0.30M,,186.10M,71.70M,114.40M,,,114.40M,114.22M,204.80M,10.50M,194.30M,,0.0059,0.00,,0.0059,0.0059,,0.0059,0.00,,0.0059,0.0059,,2.411B,2.411B,0.0044,,,
1991-05,719.00M,719.00M,414.70M,304.30M,,,192.90M,,,,204.00M,100.30M,,,,,87.30M,28.70M,58.60M,,,58.60M,58.60M,111.40M,11.10M,100.30M,,0.0243,,,0.0243,0.0243,,0.0243,,,0.0243,0.0243,,2.409B,2.409B,0.0044,,,
1991-02,802.20M,802.20M,486.40M,315.80M,,,181.80M,1.30M,,,191.60M,124.20M,,,1.30M,,115.90M,45.20M,70.70M,,,70.70M,69.91M,134.00M,9.80M,124.20M,,0.0038,0.00,,0.0034,0.0038,,0.0038,0.00,,0.0034,0.0038,,2.405B,2.405B,0.0044,,,
1990-11,648.80M,648.80M,397.90M,250.90M,,,143.00M,1.30M,,,151.90M,99.00M,,,1.30M,,95.20M,37.10M,58.10M,,,58.10M,57.31M,107.90M,8.90M,99.00M,,0.0031,0.00,,0.0028,0.0031,,0.0031,0.00,,0.0028,0.0031,,2.402B,2.402B,0.0031,,,
1990-08,833.60M,833.60M,517.20M,316.40M,,,146.40M,0.40M,,,151.10M,165.30M,,,0.40M,,163.40M,63.70M,99.70M,,,99.70M,99.46M,170.00M,4.70M,165.30M,,0.0026,0.00,,0.0025,0.0026,,0.0026,0.00,,0.0025,0.0026,,2.402B,2.402B,0.0031,,,
1990-05,609.00M,609.00M,365.20M,243.80M,,,134.40M,2.70M,,,139.30M,104.50M,,,2.70M,,104.10M,36.80M,67.30M,,,67.30M,65.55M,109.40M,4.90M,104.50M,,0.0282,,,0.0275,0.0282,,0.0282,,,0.0275,0.0282,,2.387B,2.387B,0.0031,,,
1990-02,577.90M,577.90M,353.70M,224.20M,,,114.70M,1.20M,,,118.90M,105.30M,,,1.20M,,103.90M,40.80M,63.10M,,,63.10M,62.37M,109.50M,4.20M,105.30M,,0.0016,0.00,,0.0013,0.0016,,0.0016,0.00,,0.0013,0.0016,,2.396B,2.396B,0.0031,,,
1989-11,445.70M,445.70M,277.70M,168.00M,,,104.10M,3.20M,,,108.10M,59.90M,,,3.20M,,60.60M,23.80M,36.80M,,,36.80M,34.86M,63.90M,4.00M,59.90M,,0.0010,0.00,,0.0002,0.0010,,0.0010,0.00,,0.0002,0.0010,,2.372B,2.372B,0.0024,,,
1989-08,602.60M,602.60M,,,,,,,,,,602.60M,,,,,,,75.90M,,,75.90M,,602.60M,,602.60M,,0.0020,0.00,,0.0020,0.0020,,0.0020,0.00,,0.0020,0.0020,,2.384B,2.384B,0.0024,,,
1989-05,413.40M,413.40M,,,,,,,,,,-1.016B,,,,,,,36.40M,,,36.40M,,-1.016B,,-1.016B,,,,,,,,,,,,,,2.387B,2.387B,0.0024,,,
1989-02,464.70M,464.70M,,,,,,,,,,464.70M,,,,,,,48.80M,,,48.80M,,464.70M,,464.70M,,0.0013,0.00,,0.0013,0.0013,,0.0013,0.00,,0.0013,0.0013,,2.376B,2.376B,0.0024,,,
1988-11,322.00M,322.00M,,,,,,,,,,322.00M,,,,,,,24.80M,,,24.80M,,322.00M,,322.00M,,0.0007,0.00,,0.0007,0.0007,,0.0007,0.00,,0.0007,0.0007,,2.376B,2.376B,0.0016,,,
1988-08,510.70M,510.70M,,,,,,,,,,510.70M,,,,,,,57.00M,,,57.00M,,510.70M,,510.70M,,0.0015,0.00,,0.0015,0.0015,,0.0015,0.00,,0.0015,0.0015,,2.256B,2.256B,0.0016,,,
1988-05,354.40M,354.40M,,,,,,,,,,-695.60M,,,,,,,30.40M,,,30.40M,,-695.60M,,-695.60M,,,,,,,,,,,,,,2.375B,2.375B,0.0016,,,
1988-02,331.80M,331.80M,,,,,,,,,,331.80M,,,,,,,27.60M,,,27.60M,,331.80M,,331.80M,,0.0008,0.00,,0.0008,0.0008,,0.0008,0.00,,0.0008,0.0008,,2.256B,2.256B,0.00,,,
1987-11,234.40M,234.40M,,,,,,,,,,234.40M,,,,,,,18.50M,,,18.50M,,234.40M,,234.40M,,0.0005,0.00,,0.0005,0.0005,,0.0005,0.00,,0.0005,0.0005,,2.430B,2.430B,0.0016,,,
1987-08,282.80M,282.80M,,,,,,,,,,282.80M,,,,,,,25.10M,,,25.10M,,282.80M,,282.80M,,0.0007,0.00,,0.0007,0.0007,,0.0007,0.00,,0.0007,0.0007,,2.424B,2.424B,0.0032,,,
1987-05,237.70M,237.70M,,,,,,,,,,-563.70M,,,,,,,11.50M,,,11.50M,,-563.70M,,-563.70M,,,,,,,,,,,,,,2.428B,2.428B,0.0016,,,
1987-02,199.40M,199.40M,,,,,,,,,,199.40M,,,,,,,4.30M,,,4.30M,,199.40M,,199.40M,,0.0002,0.00,,0.0002,0.0002,,0.0002,0.00,,0.0002,0.0002,,2.423B,2.423B,0.0016,,,
1986-11,183.10M,183.10M,,,,,,,,,,183.10M,,,,,,,5.20M,,,5.20M,,183.10M,,183.10M,,0.0002,0.00,,0.0002,0.0002,,0.0002,0.00,,0.0002,0.0002,,2.423B,2.423B,0.00,,,
1986-08,257.20M,257.20M,,,,,,,,,,257.20M,,,,,,,14.90M,,,14.90M,,257.20M,,257.20M,,0.0004,0.00,,0.0004,0.0004,,0.0004,0.00,,0.0004,0.0004,,2.417B,2.417B,0.0016,,,
1986-05,244.90M,244.90M,,,,,,,,,,-687.20M,,,,,,,13.70M,,,13.70M,,-687.20M,,-687.20M,,,,,,,,,,,,,,2.417B,2.417B,0.0016,,,
1986-02,258.70M,258.70M,,,,,,,,,,258.70M,,,,,,,11.50M,,,11.50M,,258.70M,,258.70M,,0.0003,0.00,,0.0003,0.0003,,0.0003,0.00,,0.0003,0.0003,,2.404B,2.404B,0.0016,,,
1985-11,237.90M,237.90M,,,,,,,,,,237.90M,,,,,,,9.80M,,,9.80M,,237.90M,,237.90M,,0.0003,0.00,,0.0003,0.0003,,0.0003,0.00,,0.0003,0.0003,,2.393B,2.393B,,,,
1985-08,327.70M,327.70M,,,,,,,,,,327.70M,,,,,,,24.20M,,,24.20M,,327.70M,,327.70M,,0.0006,0.00,,0.0006,0.0006,,0.0006,0.00,,0.0006,0.0006,,2.393B,2.393B,,,,
1985-05,257.20M,257.20M,,,,,,,,,,-644.90M,,,,,,,6.80M,,,6.80M,,-644.90M,,-644.90M,,,,,,,,,,,,,,2.393B,2.393B,,,,
1985-02,220.70M,220.70M,,,,,,,,,,220.70M,,,,,,,-2.10M,,,-2.10M,,220.70M,,220.70M,,-0.0001,0.00,,-0.0001,-0.0001,,-0.0001,0.00,,-0.0001,-0.0001,,2.393B,2.393B,,,,
1984-11,183.90M,183.90M,,,,,,,,,,183.90M,,,,,,,-2.10M,,,-2.10M,,183.90M,,183.90M,,-0.0001,0.00,,-0.0001,-0.0001,,-0.0001,0.00,,-0.0001,-0.0001,,2.425B,2.425B,,,,
1984-08,284.60M,284.60M,,,,,,,,,,284.60M,,,,,,,7.80M,,,7.80M,,284.60M,,284.60M,,0.0002,0.00,,0.0002,0.0002,,0.0002,0.00,,0.0002,0.0002,,2.385B,2.385B,,,,
1984-05,256.70M,256.70M,,,,,,,,,,-565.20M,,,,,,,6.00M,,,6.00M,,-565.20M,,-565.20M,,,,,,,,,,,,,,2.385B,2.385B,,,,
1984-02,224.00M,224.00M,,,,,,,,,,224.00M,,,,,,,6.40M,,,6.40M,,224.00M,,224.00M,,0.0002,0.00,,0.0002,0.0002,,0.0002,0.00,,0.0002,0.0002,,2.385B,2.385B,,,,
