,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-05,1.137B,,31.00M,31.00M,196.00M,4.00M,200.00M,200.00M,83.00M,,60.00M,60.00M,184.00M,-10.00M,509.00M,76.00M,,,759.00M,2.27B,,-300.00M,,-300.00M,,72.00M,,-250.00M,,20.00M,327.00M,347.00M,,-1.56B,-1.56B,-323.00M,-323.00M,179.00M,-30.00M,-1.387B,,3.662B,633.00M,-46.00M,4.249B,,,,20.00M,-1.56B,,AOR,Restated
2018-02,-921.00M,,-63.00M,-63.00M,185.00M,13.00M,198.00M,198.00M,647.00M,,55.00M,55.00M,-140.00M,-2.00M,-266.00M,1.279B,,,871.00M,787.00M,,-230.00M,-1.00M,-231.00M,,983.00M,,752.00M,,-6.00M,-1.218B,-1.224B,,-918.00M,-918.00M,-325.00M,-325.00M,234.00M,-1.00M,-2.234B,,4.304B,-695.00M,53.00M,3.662B,,,,-6.00M,-918.00M,,AOR,Restated
2017-11,767.00M,,-48.00M,-48.00M,187.00M,4.00M,191.00M,191.00M,-24.00M,,53.00M,53.00M,244.00M,-147.00M,335.00M,-48.00M,,,384.00M,1.323B,,-228.00M,1.00M,-227.00M,,13.00M,,-214.00M,,-7.00M,895.00M,888.00M,,-972.00M,-972.00M,-295.00M,-295.00M,162.00M,1.00M,-216.00M,,3.413B,893.00M,-2.00M,4.304B,,,,-7.00M,-972.00M,,AOR,Restated
2017-08,950.00M,,-19.00M,-19.00M,179.00M,6.00M,185.00M,185.00M,-59.00M,,50.00M,50.00M,-101.00M,-96.00M,-543.00M,208.00M,,,-532.00M,575.00M,,-270.00M,0.00,-270.00M,,258.00M,,-12.00M,,-7.00M,9.00M,2.00M,,-804.00M,-804.00M,-300.00M,-300.00M,158.00M,-54.00M,-998.00M,,3.808B,-435.00M,40.00M,3.413B,,,,-7.00M,-804.00M,,AOR,Restated
2017-05,1.008B,,-27.00M,-27.00M,185.00M,3.00M,188.00M,188.00M,-74.00M,,53.00M,53.00M,120.00M,-74.00M,32.00M,-264.00M,,,-186.00M,962.00M,,-329.00M,0.00,-329.00M,,-191.00M,0.00,-520.00M,,-4.00M,303.00M,299.00M,,-794.00M,-794.00M,-299.00M,-299.00M,150.00M,-21.00M,-665.00M,,4.021B,-223.00M,10.00M,3.808B,,,0.00,-4.00M,-794.00M,,AOR,Restated
2017-02,1.141B,,-56.00M,-56.00M,175.00M,-5.00M,170.00M,170.00M,-129.00M,,51.00M,51.00M,-228.00M,143.00M,-67.00M,89.00M,,,-63.00M,1.114B,,-264.00M,1.00M,-263.00M,,-480.00M,19.00M,-724.00M,,-48.00M,3.00M,-45.00M,,-475.00M,-475.00M,-298.00M,-298.00M,101.00M,0.00,-717.00M,,4.339B,-327.00M,9.00M,4.021B,,,0.00,-48.00M,-475.00M,,AOR,Restated
2016-11,842.00M,,27.00M,27.00M,173.00M,5.00M,178.00M,178.00M,-20.00M,,54.00M,54.00M,-34.00M,-238.00M,-22.00M,195.00M,,,-99.00M,982.00M,,-235.00M,12.00M,-223.00M,,546.00M,-11.00M,312.00M,,1.477B,0.00,1.477B,,-900.00M,-900.00M,-267.00M,-267.00M,126.00M,0.00,436.00M,,2.659B,1.73B,-50.00M,4.339B,,,1.482B,-5.00M,-900.00M,,AOR,Restated
2016-08,1.249B,,-61.00M,-61.00M,173.00M,7.00M,180.00M,180.00M,-50.00M,,57.00M,57.00M,-284.00M,-62.00M,-63.00M,-178.00M,,,-587.00M,788.00M,,-277.00M,,-277.00M,,243.00M,-42.00M,-76.00M,,-4.00M,21.00M,17.00M,,-1.054B,-1.054B,-269.00M,-269.00M,112.00M,-8.00M,-1.202B,,3.138B,-490.00M,11.00M,2.659B,,,,-4.00M,-1.054B,,AOR,Restated
2016-05,846.00M,,-94.00M,-94.00M,168.00M,-5.00M,163.00M,163.00M,-74.00M,,60.00M,60.00M,184.00M,-231.00M,-12.00M,645.00M,,,586.00M,1.487B,,-242.00M,1.00M,-241.00M,,-258.00M,9.00M,-490.00M,,-4.00M,1.00M,-3.00M,,-540.00M,-540.00M,-270.00M,-270.00M,137.00M,-253.00M,-929.00M,,3.044B,68.00M,26.00M,3.138B,,,0.00,-4.00M,-540.00M,,AOR,Restated
2016-02,950.00M,,118.00M,118.00M,167.00M,10.00M,177.00M,177.00M,33.00M,,60.00M,60.00M,15.00M,-5.00M,-35.00M,-437.00M,,,-462.00M,876.00M,,-286.00M,0.00,-286.00M,,442.00M,-3.00M,153.00M,,-3.00M,-101.00M,-104.00M,,-1.458B,-1.458B,-273.00M,-273.00M,42.00M,30.00M,-1.763B,,3.851B,-734.00M,-73.00M,3.044B,,,0.00,-3.00M,-1.458B,,AOR,Restated
2015-11,785.00M,,42.00M,42.00M,160.00M,-3.00M,157.00M,157.00M,-8.00M,,62.00M,62.00M,-191.00M,-254.00M,-41.00M,-7.00M,,,-493.00M,545.00M,,-288.00M,0.00,-288.00M,,-24.00M,,-312.00M,,876.00M,81.00M,957.00M,,-652.00M,-652.00M,-239.00M,-239.00M,200.00M,126.00M,392.00M,,3.246B,625.00M,-20.00M,3.851B,,,981.00M,-105.00M,-652.00M,,AOR,Restated
2015-08,1.179B,,32.00M,32.00M,154.00M,11.00M,165.00M,165.00M,-31.00M,,54.00M,54.00M,52.00M,-100.00M,-73.00M,-787.00M,,,-908.00M,491.00M,,-327.00M,9.00M,-318.00M,,-67.00M,,-385.00M,,-1.00M,-48.00M,-49.00M,,-588.00M,-588.00M,-240.00M,-240.00M,128.00M,75.00M,-674.00M,,3.852B,-568.00M,-38.00M,3.246B,,,,-1.00M,-588.00M,,AOR,Restated
2015-05,865.00M,,13.00M,13.00M,153.00M,15.00M,168.00M,168.00M,-156.00M,,51.00M,51.00M,-107.00M,-111.00M,-113.00M,732.00M,,,401.00M,1.342B,,-240.00M,0.00,-240.00M,,447.00M,,207.00M,,-5.00M,20.00M,15.00M,,-679.00M,-679.00M,-241.00M,-241.00M,142.00M,68.00M,-695.00M,,3.015B,854.00M,-17.00M,3.852B,,,0.00,-5.00M,-679.00M,,AOR,Restated
2015-02,791.00M,,168.00M,168.00M,152.00M,13.00M,165.00M,165.00M,-6.00M,,48.00M,48.00M,68.00M,-192.00M,27.00M,722.00M,,,625.00M,1.791B,,-236.00M,1.00M,-235.00M,,19.00M,,-216.00M,,-5.00M,-25.00M,-30.00M,,-612.00M,-612.00M,-242.00M,-242.00M,59.00M,34.00M,-791.00M,,2.273B,784.00M,-42.00M,3.015B,,,,-5.00M,-612.00M,,AOR,Restated
2014-11,655.00M,,190.00M,190.00M,154.00M,7.00M,161.00M,161.00M,14.00M,,49.00M,49.00M,26.00M,-207.00M,-58.00M,34.00M,,,-205.00M,864.00M,,-225.00M,0.00,-225.00M,,-221.00M,,-446.00M,,-8.00M,-41.00M,-49.00M,,-424.00M,-424.00M,-207.00M,-207.00M,186.00M,72.00M,-422.00M,,2.303B,-4.00M,-26.00M,2.273B,,,0.00,-8.00M,-424.00M,,AOR,Restated
2014-08,962.00M,,53.00M,53.00M,147.00M,8.00M,155.00M,155.00M,35.00M,,43.00M,43.00M,-203.00M,-111.00M,0.00,-251.00M,,,-565.00M,683.00M,,-262.00M,2.00M,-260.00M,,540.00M,,280.00M,,-8.00M,-17.00M,-25.00M,,-819.00M,-819.00M,-209.00M,-209.00M,127.00M,44.00M,-882.00M,,2.22B,81.00M,2.00M,2.303B,,,,-8.00M,-819.00M,,AOR,Restated
2014-05,698.00M,,-3.00M,-3.00M,140.00M,15.00M,155.00M,155.00M,45.00M,,46.00M,46.00M,-43.00M,-156.00M,12.00M,574.00M,,,387.00M,1.328B,,-210.00M,2.00M,-208.00M,,233.00M,-1.00M,24.00M,,-10.00M,38.00M,28.00M,,-912.00M,-912.00M,-212.00M,-212.00M,75.00M,24.00M,-997.00M,,1.864B,355.00M,1.00M,2.22B,,,,-10.00M,-912.00M,,AOR,Restated
2014-02,682.00M,,59.00M,59.00M,132.00M,2.00M,134.00M,134.00M,-80.00M,,43.00M,43.00M,-166.00M,-72.00M,-97.00M,234.00M,,,-101.00M,737.00M,,-221.00M,0.00,-221.00M,,179.00M,0.00,-42.00M,,-10.00M,-22.00M,-32.00M,,-788.00M,-788.00M,-212.00M,-212.00M,75.00M,37.00M,-920.00M,,2.086B,-225.00M,3.00M,1.864B,,,,-10.00M,-788.00M,,AOR,Restated
2013-11,534.00M,,,,124.00M,21.00M,145.00M,145.00M,0.00,,46.00M,46.00M,13.00M,-216.00M,-23.00M,-169.00M,,,-395.00M,330.00M,,-204.00M,0.00,-204.00M,,-291.00M,0.00,-495.00M,,-55.00M,56.00M,1.00M,,-402.00M,-402.00M,-187.00M,-187.00M,139.00M,44.00M,-405.00M,,2.661B,-570.00M,-5.00M,2.086B,,,,-55.00M,-402.00M,,AOR,Restated
2013-08,779.00M,,,,122.00M,30.00M,152.00M,152.00M,24.00M,,42.00M,42.00M,-102.00M,-61.00M,-102.00M,-114.00M,,,-379.00M,618.00M,,-245.00M,1.00M,-244.00M,,-449.00M,-1.00M,-694.00M,,-2.00M,3.00M,1.00M,,-526.00M,-526.00M,-188.00M,-188.00M,94.00M,27.00M,-592.00M,,3.337B,-668.00M,-8.00M,2.661B,,,,-2.00M,-526.00M,,AOR,Restated
2013-05,655.00M,0.00,,66.00M,116.00M,27.00M,143.00M,143.00M,76.00M,,46.00M,46.00M,104.00M,-114.00M,51.00M,313.00M,,,354.00M,1.34B,,-173.00M,13.00M,-160.00M,0.00,-1.082B,16.00M,-1.226B,,984.00M,17.00M,1.001B,,-242.00M,-242.00M,-188.00M,-188.00M,129.00M,38.00M,738.00M,,2.557B,852.00M,-9.00M,3.337B,,,,-2.00M,-242.00M,,AOR,Restated
2013-02,866.00M,-231.00M,,-231.00M,111.00M,-18.00M,93.00M,93.00M,-7.00M,,45.00M,45.00M,16.00M,-64.00M,-46.00M,-225.00M,,,-319.00M,447.00M,,-175.00M,1.00M,-174.00M,561.00M,-255.00M,-6.00M,126.00M,,-2.00M,3.00M,1.00M,,-253.00M,-253.00M,-188.00M,-188.00M,68.00M,20.00M,-352.00M,,2.291B,221.00M,45.00M,2.557B,,,,-2.00M,-253.00M,,AOR,Restated
2012-11,384.00M,107.00M,,107.00M,107.00M,22.00M,129.00M,129.00M,-32.00M,,46.00M,46.00M,145.00M,-24.00M,30.00M,-75.00M,,,76.00M,710.00M,,-143.00M,0.00,-143.00M,225.00M,-136.00M,-7.00M,-61.00M,,-3.00M,-29.00M,-32.00M,,-413.00M,-413.00M,-162.00M,-162.00M,77.00M,6.00M,-524.00M,,2.165B,125.00M,1.00M,2.291B,,,,-3.00M,-413.00M,,AOR,Restated
2012-08,567.00M,,,,104.00M,33.00M,137.00M,137.00M,-17.00M,,37.00M,37.00M,-123.00M,-17.00M,-63.00M,14.00M,,,-189.00M,535.00M,,-107.00M,0.00,-107.00M,,333.00M,-5.00M,221.00M,,-42.00M,19.00M,-23.00M,,-766.00M,-766.00M,-165.00M,-165.00M,39.00M,8.00M,-907.00M,,2.317B,-151.00M,-1.00M,2.165B,,,,-42.00M,-766.00M,,AOR,Restated
2012-05,537.00M,0.00,,0.00,101.00M,-25.00M,76.00M,76.00M,-52.00M,,35.00M,35.00M,-90.00M,-124.00M,8.00M,509.00M,,,303.00M,899.00M,,-184.00M,1.00M,-183.00M,0.00,-245.00M,16.00M,-412.00M,,-2.00M,40.00M,38.00M,,-229.00M,-229.00M,-165.00M,-165.00M,96.00M,30.00M,-230.00M,,2.021B,257.00M,54.00M,2.254B,,,,-2.00M,-229.00M,,AOR,Restated
2012-02,560.00M,0.00,,0.00,94.00M,28.00M,122.00M,122.00M,-6.00M,,34.00M,34.00M,-142.00M,-136.00M,-94.00M,-10.00M,,,-382.00M,328.00M,,-120.00M,0.00,-120.00M,0.00,279.00M,7.00M,166.00M,,-67.00M,-38.00M,-105.00M,,-260.00M,-260.00M,-165.00M,-165.00M,88.00M,26.00M,-416.00M,,1.929B,78.00M,14.00M,2.021B,,,,-67.00M,-260.00M,,AOR,Restated
2011-11,1.114B,0.00,,0.00,92.00M,-5.00M,87.00M,87.00M,-5.00M,,36.00M,-584.00M,50.00M,-157.00M,4.00M,26.00M,,,-77.00M,510.00M,,-145.00M,0.00,-145.00M,0.00,665.00M,-5.00M,515.00M,,-2.00M,-31.00M,-33.00M,,-699.00M,-699.00M,-144.00M,-144.00M,137.00M,29.00M,-710.00M,,1.608B,315.00M,6.00M,1.929B,,,,-2.00M,-699.00M,,AOR,Restated
2011-08,,,,,86.00M,25.00M,111.00M,111.00M,4.00M,,25.00M,645.00M,-141.00M,-398.00M,-59.00M,-100.00M,,,-698.00M,87.00M,,-114.00M,1.00M,-113.00M,,462.00M,-32.00M,317.00M,,-132.00M,-18.00M,-150.00M,,-626.00M,-626.00M,-145.00M,-145.00M,147.00M,30.00M,-744.00M,,1.955B,-340.00M,-7.00M,1.608B,,,,-132.00M,-626.00M,,AOR,Restated
2011-05,,,,,86.00M,12.00M,98.00M,98.00M,-6.00M,,27.00M,-1.434B,-103.00M,-152.00M,-43.00M,427.00M,,,129.00M,842.00M,,-129.00M,0.00,-129.00M,,-270.00M,-20.00M,-419.00M,,3.00M,41.00M,44.00M,,-607.00M,-607.00M,-147.00M,-147.00M,66.00M,10.00M,-634.00M,,2.132B,-211.00M,34.00M,1.955B,,,,3.00M,-607.00M,,AOR,Restated
2011-02,,,,,88.00M,-3.00M,85.00M,85.00M,-67.00M,,28.00M,523.00M,-134.00M,-147.00M,-2.00M,37.00M,,,-246.00M,323.00M,,-112.00M,1.00M,-111.00M,,686.00M,-6.00M,569.00M,,-7.00M,15.00M,8.00M,,-467.00M,-467.00M,-148.00M,-148.00M,51.00M,14.00M,-542.00M,,1.768B,350.00M,14.00M,2.132B,,,,8.00M,-467.00M,,AOR,
2010-11,,,,,83.00M,30.00M,113.00M,113.00M,-3.00M,,29.00M,457.00M,46.00M,-134.00M,-3.00M,-70.00M,,,-161.00M,435.00M,,-102.00M,0.00,-102.00M,,-384.00M,-1.00M,-487.00M,,-2.00M,17.00M,15.00M,,-297.00M,-297.00M,-129.00M,-129.00M,181.00M,34.00M,-196.00M,,2.01B,-248.00M,6.00M,1.768B,,,,15.00M,-297.00M,,AOR,Restated
2010-08,,,,,78.00M,-16.00M,62.00M,62.00M,0.00,,21.00M,559.00M,-82.00M,-118.00M,13.00M,-243.00M,,,-430.00M,212.00M,,-89.00M,0.00,-89.00M,,-592.00M,-3.00M,-684.00M,,-2.00M,-32.00M,-34.00M,,-488.00M,-488.00M,-131.00M,-131.00M,47.00M,6.00M,-600.00M,,3.079B,-1.072B,3.00M,2.01B,,,,-34.00M,-488.00M,,AOR,Restated
2010-05,522.00M,,,,84.00M,50.00M,134.00M,134.00M,-66.00M,,21.00M,21.00M,93.00M,70.00M,-34.00M,535.00M,,,664.00M,1.275B,,-95.00M,0.00,-95.00M,,-205.00M,-4.00M,-304.00M,,236.00M,-205.00M,31.00M,,-215.00M,-215.00M,-130.00M,-130.00M,141.00M,21.00M,-152.00M,,2.225B,819.00M,35.00M,3.079B,,,,236.00M,-215.00M,,AOR,Restated
2010-02,1.385B,,,,81.00M,6.00M,87.00M,87.00M,55.00M,,23.00M,-750.00M,-196.00M,-37.00M,-35.00M,118.00M,,,-150.00M,512.00M,,-67.00M,1.00M,-66.00M,,171.00M,-4.00M,101.00M,,6.00M,,6.00M,,-333.00M,-333.00M,-132.00M,-132.00M,44.00M,12.00M,-403.00M,,2.035B,210.00M,-20.00M,2.225B,,,,6.00M,-333.00M,,AOR,Restated
2009-11,-513.00M,,,,80.00M,14.00M,94.00M,94.00M,37.00M,,24.00M,797.00M,191.00M,157.00M,54.00M,-264.00M,,,138.00M,668.00M,,-93.00M,9.00M,-84.00M,,-677.00M,28.00M,-733.00M,,-247.00M,249.00M,2.00M,,-178.00M,-178.00M,-122.00M,-122.00M,132.00M,18.00M,-148.00M,,2.261B,-213.00M,-13.00M,2.035B,,,,2.00M,-178.00M,,AOR,Restated
2009-08,513.00M,,,,79.00M,2.00M,81.00M,81.00M,-18.00M,,91.00M,91.00M,94.00M,95.00M,-55.00M,-92.00M,,,42.00M,709.00M,,-80.00M,,-80.00M,,-221.00M,-31.00M,-332.00M,,-27.00M,-249.00M,-276.00M,,-15.00M,-15.00M,-121.00M,-121.00M,47.00M,7.00M,-358.00M,,2.291B,19.00M,-49.00M,2.261B,,,,-276.00M,-15.00M,,AOR,Restated
2009-05,341.40M,,,,88.40M,40.10M,128.50M,128.50M,-23.80M,0.00,43.60M,43.60M,135.80M,214.70M,69.10M,164.40M,,,584.00M,1.074B,,-120.40M,17.40M,-103.00M,,-488.80M,-4.60M,-596.40M,,-173.50M,,3.60M,,0.00,0.00,345.60M,-121.10M,37.60M,3.10M,-76.80M,,1.892B,400.50M,-1.50M,2.291B,,,,-173.50M,0.00,,AOR,Restated
2009-02,243.80M,,,,87.40M,-7.50M,79.90M,79.90M,-231.20M,401.30M,23.70M,425.00M,-200.80M,-56.50M,-80.60M,-155.50M,,,-493.40M,24.10M,,-110.40M,0.60M,-109.80M,,334.30M,-16.10M,208.40M,,16.20M,,16.20M,,0.00,0.00,-121.00M,-121.00M,9.40M,0.60M,-94.80M,,1.722B,137.70M,32.90M,1.892B,,,-153.70M,169.90M,0.00,,,Restated
2008-11,391.00M,,,,80.70M,8.90M,89.60M,89.60M,33.90M,,103.30M,25.10M,119.90M,-69.00M,-23.60M,-286.20M,,,-258.90M,280.70M,,-118.20M,0.90M,-117.30M,,149.00M,-13.70M,18.00M,,150.50M,,107.10M,-45.80M,-230.40M,-276.20M,-224.60M,-111.60M,139.60M,12.70M,-128.40M,,1.626B,170.30M,-74.40M,1.722B,,-45.80M,153.70M,-3.20M,-230.40M,,,Restated
2008-08,510.50M,,,,78.50M,6.80M,85.30M,85.30M,-73.00M,,,78.20M,-292.90M,-57.00M,49.20M,57.30M,,,-243.40M,357.60M,,-106.70M,13.10M,-93.60M,,-321.90M,-12.60M,-428.10M,,,,43.40M,45.80M,-418.80M,-373.00M,,-113.00M,,8.70M,-433.90M,,2.134B,-504.40M,-3.90M,1.626B,,45.80M,,,-418.80M,,,
2008-05,490.50M,,,-32.00M,79.60M,-7.00M,72.60M,72.60M,-196.50M,,,25.40M,15.50M,-65.90M,18.90M,304.00M,,,272.50M,632.50M,,-156.90M,1.10M,-155.80M,-273.10M,-21.80M,-11.70M,-462.40M,,,,-32.60M,-246.30M,-296.50M,-542.80M,,-113.40M,,26.00M,-319.50M,,2.242B,-149.40M,40.90M,2.134B,,-246.30M,,,-296.50M,,,Restated
2008-02,463.80M,,,-28.60M,75.30M,16.20M,91.50M,91.50M,4.30M,,,25.30M,-119.90M,-156.00M,50.20M,23.30M,,,-202.40M,353.90M,,-90.40M,0.40M,-90.00M,-52.00M,-80.10M,0.30M,-221.80M,,,,81.60M,34.70M,-344.70M,-310.00M,,-114.40M,,7.80M,-335.00M,,2.470B,-202.90M,-25.20M,2.242B,,34.70M,,,-344.70M,,,
2007-11,359.40M,,,,78.70M,7.10M,85.80M,85.80M,-3.60M,,,26.50M,243.40M,-7.90M,-78.40M,5.20M,,,162.30M,630.40M,,-110.10M,0.20M,-109.90M,,224.80M,-9.20M,105.70M,,,,-32.40M,114.90M,-288.50M,-173.60M,,-92.30M,,14.30M,-284.00M,,1.974B,452.10M,44.50M,2.470B,,114.90M,,,-288.50M,,,
2007-08,569.70M,,,,70.00M,1.60M,71.60M,71.60M,-104.80M,,,63.80M,-257.30M,-20.00M,-1.90M,-1.60M,,,-280.80M,319.50M,,-91.80M,0.20M,-91.60M,,181.50M,-1.20M,88.70M,,,,11.90M,96.70M,-318.30M,-221.60M,,-92.80M,,14.90M,-287.60M,,1.857B,120.60M,-3.40M,1.974B,,96.70M,,,-318.30M,,,
2007-05,437.90M,,,,70.50M,10.50M,81.00M,81.00M,-27.00M,,,28.60M,63.10M,59.30M,78.80M,242.20M,,,443.40M,963.90M,,-96.40M,0.50M,-95.90M,,-594.10M,4.90M,-685.10M,,,,2.40M,47.70M,-280.60M,-232.90M,,-93.50M,,7.50M,-316.50M,,1.879B,-37.70M,15.20M,1.857B,,47.70M,,,-280.60M,,,
2007-02,350.80M,,,,63.80M,-16.90M,46.90M,46.90M,19.00M,,,27.40M,-140.80M,-10.40M,91.20M,-10.90M,,,-70.90M,373.20M,,-62.00M,27.40M,-34.60M,,421.50M,1.20M,388.10M,,,,75.70M,94.70M,-85.20M,9.50M,,-93.20M,,48.30M,8.70M,,1.103B,770.00M,6.30M,1.879B,,94.70M,,,-85.20M,,,
2006-11,325.60M,,,,68.50M,-0.20M,68.30M,68.30M,44.00M,,,22.00M,202.40M,-24.50M,-182.90M,-145.10M,,,-150.10M,309.80M,,-82.80M,0.30M,-82.50M,,-106.80M,-4.90M,-194.20M,,,,-4.50M,150.40M,-146.50M,3.90M,,-77.70M,,-5.10M,-51.80M,,1.031B,63.80M,8.40M,1.103B,,150.40M,,,-146.50M,,,
