,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2005-09,,17.07B,,17.07B,,,1.215B,,30.76B,,,,1.455B,,,1.797B,8.188B,18.00M,8.17B,57.73B,,73.24B,104.00B,,2.575B,2.575B,,2.575B,1.618B,1.618B,1.618B,27.71B,2.439B,,2.439B,63.45B,,65.89B,97.90B,,337.00M,6.003B,328.00M,420.00M,,,,-144.00M,6.104B,,,
2005-06,,21.19B,,21.19B,,,1.249B,,34.14B,,,,1.449B,,,1.964B,6.37B,18.00M,6.352B,54.66B,,70.11B,104.25B,,2.541B,2.541B,,2.541B,1.654B,1.654B,1.654B,28.25B,2.463B,,2.463B,62.06B,,64.52B,98.01B,,337.00M,5.92B,287.00M,290.00M,,,,-6.00M,6.248B,,,
2005-03,,23.09B,,23.09B,,,1.174B,,37.96B,,,,1.45B,,,1.957B,4.848B,18.00M,4.83B,48.73B,,62.14B,100.09B,,2.41B,2.41B,,2.41B,2.84B,2.84B,2.84B,27.69B,2.436B,,2.436B,58.32B,,60.75B,94.07B,,337.00M,5.759B,282.00M,258.00M,,,,-95.00M,6.025B,,,
2004-12,,22.67B,,22.67B,,,1.204B,,42.20B,,,,1.444B,,,1.991B,4.629B,18.00M,4.611B,38.32B,,51.84B,94.04B,,2.603B,2.603B,,2.603B,1.343B,1.343B,1.343B,26.26B,2.458B,,2.458B,55.13B,,57.59B,87.88B,,337.00M,5.59B,289.00M,149.00M,,,,92.00M,6.159B,,,
2004-09,,36.45B,,36.45B,,,1.085B,,50.61B,,,,1.431B,,,1.928B,5.548B,36.00M,5.512B,37.49B,,49.91B,100.53B,,2.513B,2.513B,,2.513B,1.881B,1.881B,1.881B,30.60B,2.436B,,2.436B,57.93B,,60.36B,94.38B,,337.00M,5.463B,287.00M,22.00M,,,,86.00M,6.151B,,,
2004-06,,32.51B,,32.51B,,,1.14B,,45.93B,,,,1.37B,,,1.938B,5.469B,36.00M,5.433B,36.46B,,48.21B,94.14B,,2.375B,2.375B,,2.375B,1.428B,1.428B,1.428B,27.46B,2.347B,,2.347B,55.35B,,57.69B,88.23B,,337.00M,5.34B,304.00M,66.00M,,,,-5.00M,5.91B,,,
2004-03,,29.61B,,29.61B,,,1.014B,,45.59B,,,,1.238B,,,1.871B,5.004B,36.00M,4.968B,34.95B,,47.31B,92.90B,,2.386B,2.386B,,2.386B,1.434B,1.434B,1.434B,27.71B,2.244B,,2.244B,53.51B,,55.76B,86.95B,,337.00M,5.174B,298.00M,74.00M,,,,207.00M,5.942B,,,
2003-12,,25.11B,,25.11B,,,1.015B,,35.68B,,,,1.212B,,,1.851B,5.021B,61.00M,4.96B,38.62B,,51.85B,87.53B,,2.424B,2.424B,,2.424B,1.437B,1.437B,1.437B,27.69B,2.222B,,2.222B,47.52B,,49.74B,81.79B,,337.00M,5.007B,329.00M,118.00M,,,,192.00M,5.747B,,,
2003-09,,24.02B,,24.02B,,,1.01B,,33.77B,,,,1.154B,,,1.809B,6.229B,61.00M,6.168B,33.42B,,48.00B,81.78B,,2.199B,2.199B,,2.199B,1.842B,1.842B,1.842B,27.71B,2.151B,,2.151B,43.16B,,45.31B,76.53B,,337.00M,4.61B,336.00M,165.00M,,,,126.00M,5.244B,,,
2003-06,,27.78B,,27.78B,,,942.00M,,40.43B,,,,1.015B,,,1.708B,6.018B,61.00M,5.957B,30.15B,,42.68B,83.10B,,2.238B,2.238B,,2.238B,2.035B,2.035B,2.035B,25.32B,1.676B,,1.676B,48.36B,,50.03B,78.02B,,337.00M,4.455B,336.00M,189.00M,,,,146.00M,5.085B,,,
2003-03,,22.59B,,22.59B,,,829.00M,,39.09B,,,,948.00M,,,1.677B,4.70B,61.00M,4.639B,29.92B,,40.02B,79.11B,,1.991B,1.991B,,1.991B,2.004B,2.004B,2.004B,32.12B,1.616B,,1.616B,38.40B,,40.02B,74.06B,,337.00M,4.525B,335.00M,210.00M,,,,94.00M,5.051B,,,
2002-12,,29.50B,,29.50B,,,823.00M,,47.54B,,,,887.00M,,,589.00M,4.174B,61.00M,4.113B,29.06B,,38.25B,85.79B,,1.967B,1.967B,,1.967B,3.44B,3.44B,3.44B,31.26B,1.27B,,1.27B,45.47B,,46.74B,81.01B,,330.00M,4.472B,104.00M,225.00M,,,,106.00M,4.787B,,,
2002-09,,25.80B,,25.80B,,,792.00M,,47.04B,,,,890.00M,,,674.00M,4.739B,61.00M,4.678B,21.86B,,30.52B,77.56B,,1.70B,1.70B,,1.70B,1.192B,1.192B,1.192B,27.08B,1.262B,,1.262B,43.18B,,44.45B,73.21B,,330.00M,4.037B,107.00M,250.00M,,,,125.00M,4.349B,,,
2002-06,,27.56B,,27.56B,,,853.00M,,48.74B,,,,863.00M,,,616.00M,5.431B,63.00M,5.368B,20.89B,,31.59B,80.33B,,1.649B,1.649B,,1.649B,1.131B,1.131B,1.131B,24.87B,1.272B,,1.272B,46.97B,,48.24B,76.14B,,330.00M,3.893B,103.00M,256.00M,,,,117.00M,4.187B,,,
2002-03,,25.06B,,25.06B,,,924.00M,,43.77B,,,,846.00M,,,612.00M,4.865B,61.00M,4.804B,21.62B,,29.53B,73.30B,,1.501B,1.501B,,1.501B,706.00M,706.00M,706.00M,24.07B,1.242B,,1.242B,42.87B,,44.11B,69.30B,,330.00M,3.755B,102.00M,206.00M,,,,13.00M,3.994B,,,
2001-12,,21.97B,,21.97B,,,880.00M,,39.53B,,,,829.00M,,,612.00M,5.341B,58.00M,5.283B,21.78B,,30.32B,69.85B,,1.582B,1.582B,,1.582B,1.012B,1.012B,1.012B,24.92B,1.217B,,1.217B,38.56B,,39.78B,66.00B,,330.00M,3.612B,110.00M,277.00M,,,,70.00M,3.845B,,,
2001-09,,23.12B,,23.12B,,,831.00M,,44.39B,,,,817.00M,,,,6.012B,55.00M,5.957B,19.10B,,28.78B,73.18B,,1.509B,1.509B,,1.509B,1.40B,1.40B,1.40B,21.76B,1.217B,,1.217B,43.93B,,45.15B,69.37B,,330.00M,3.477B,107.00M,191.00M,,,,85.00M,3.808B,,,
2001-06,,23.54B,,23.54B,,,924.00M,,42.52B,,,,823.00M,,,,5.431B,61.00M,5.37B,18.78B,,27.80B,70.32B,,1.418B,1.418B,,1.418B,1.379B,1.379B,1.379B,23.34B,1.218B,,1.218B,40.35B,,41.57B,66.64B,,330.00M,3.34B,109.00M,115.00M,,,,13.00M,3.677B,,,
2001-03,,19.09B,,19.09B,,,798.00M,,39.59B,,,,773.00M,,,,5.414B,58.00M,5.356B,18.08B,,28.01B,67.60B,,1.284B,1.284B,,1.284B,683.00M,683.00M,683.00M,22.16B,1.218B,,1.218B,37.92B,,39.14B,64.12B,,167.00M,3.368B,140.00M,220.00M,,,,29.00M,3.484B,,,
2000-12,,22.91B,,22.91B,,,845.00M,,45.54B,,,,726.00M,,,,5.273B,57.00M,5.216B,14.74B,,23.76B,69.30B,,1.431B,1.431B,,1.431B,632.00M,632.00M,632.00M,24.37B,1.219B,,1.219B,37.94B,,39.16B,66.04B,,167.00M,3.278B,69.00M,251.00M,,,,-1.00M,3.262B,,,
2000-09,,19.37B,,19.37B,,,754.00M,,40.40B,,,,675.00M,,,,5.689B,56.00M,5.633B,15.81B,,24.57B,64.98B,,1.311B,1.311B,,1.311B,729.00M,729.00M,729.00M,21.91B,1.22B,,1.22B,36.94B,,38.16B,61.89B,,167.00M,3.162B,71.00M,260.00M,,,,-51.00M,3.089B,,,
2000-06,,20.14B,,20.14B,,,696.00M,,39.52B,,,,655.00M,,,,5.383B,53.00M,5.33B,16.83B,,25.11B,64.63B,,1.151B,1.151B,,1.151B,275.00M,275.00M,275.00M,19.92B,1.22B,,1.22B,37.37B,,38.59B,61.70B,,167.00M,3.038B,66.00M,265.00M,,,,-75.00M,2.931B,,,
2000-03,,17.66B,,17.66B,,,721.00M,,35.37B,,,,722.00M,,,,5.193B,50.00M,5.143B,17.19B,,25.16B,60.53B,,1.069B,1.069B,,1.069B,912.00M,912.00M,912.00M,19.27B,920.00M,,920.00M,36.15B,,37.07B,57.75B,,167.00M,2.919B,55.00M,281.00M,,,,-83.00M,2.777B,,,
1999-12,,19.83B,,19.83B,,,717.00M,,38.48B,,,,732.00M,,,,4.293B,48.00M,4.245B,15.49B,,22.42B,60.90B,,1.133B,1.133B,,1.133B,1.104B,1.104B,1.104B,21.69B,921.00M,,921.00M,34.14B,,35.07B,58.24B,,167.00M,2.795B,55.00M,308.00M,,,,-57.00M,2.652B,,,
1999-09,,15.65B,,15.65B,,,686.00M,,29.88B,,,,726.00M,,,,7.126B,92.00M,7.034B,14.86B,,25.10B,54.97B,,1.007B,1.007B,,1.007B,622.00M,622.00M,622.00M,17.95B,922.00M,,922.00M,31.95B,,32.88B,52.51B,,167.00M,2.572B,47.00M,284.00M,,,,-40.00M,2.462B,,,
1999-06,,16.00B,,16.00B,,,651.00M,,29.30B,,,,710.00M,,,,7.391B,88.00M,7.303B,13.79B,,24.03B,53.33B,,945.00M,945.00M,,945.00M,198.00M,198.00M,198.00M,15.56B,922.00M,,922.00M,32.78B,,33.70B,50.89B,,167.00M,2.469B,51.00M,208.00M,,,,-38.00M,2.441B,,,
1999-03,,14.62B,,14.62B,,,621.00M,,29.31B,,,,716.00M,,,,6.329B,85.00M,6.244B,11.53B,,20.44B,49.75B,,868.00M,868.00M,,868.00M,485.00M,485.00M,485.00M,16.97B,922.00M,,922.00M,28.06B,,28.99B,47.36B,,167.00M,2.37B,56.00M,204.00M,,,,6.00M,2.395B,,,
1998-12,,13.45B,,13.45B,,,610.00M,,28.04B,,,,700.00M,,,,6.309B,84.00M,6.225B,10.07B,,19.04B,47.08B,,943.00M,943.00M,,943.00M,431.00M,431.00M,431.00M,14.85B,922.00M,,922.00M,27.54B,,28.46B,44.77B,,167.00M,2.272B,63.00M,213.00M,,,,22.00M,2.311B,,,
1998-09,,14.40B,,14.40B,,,597.00M,,31.16B,,,,684.00M,,,,6.353B,83.00M,6.27B,9.967B,,19.40B,50.61B,,884.00M,884.00M,,884.00M,808.00M,808.00M,808.00M,17.58B,922.00M,,922.00M,27.92B,,28.84B,48.39B,,,2.184B,,,,,,23.00M,2.218B,,,
1998-06,,14.10B,,14.10B,,,579.00M,,28.25B,,,,669.00M,,,,6.137B,93.00M,6.044B,9.585B,,18.39B,46.71B,,816.00M,816.00M,,816.00M,360.00M,360.00M,360.00M,13.07B,922.00M,,922.00M,29.42B,,30.34B,44.55B,,,2.094B,,,,,,8.00M,2.158B,,,
1998-03,,11.17B,,11.17B,,,636.00M,,20.90B,,,,546.00M,,,,5.68B,89.00M,5.591B,10.19B,,18.04B,39.01B,,788.00M,788.00M,,788.00M,578.00M,578.00M,578.00M,11.31B,774.00M,,774.00M,23.59B,,24.37B,36.93B,,,2.005B,,,,,,13.00M,2.077B,,,
1997-12,,12.49B,,12.49B,,,566.00M,,19.22B,,,,500.00M,,,,5.562B,83.00M,5.479B,10.58B,,18.71B,37.98B,,831.00M,831.00M,,831.00M,609.00M,609.00M,609.00M,9.038B,818.00M,,818.00M,24.88B,,25.70B,35.98B,,,1.92B,,,,,,11.00M,1.995B,,,
1997-09,,10.34B,,10.34B,,,550.00M,,17.22B,,,,478.00M,,,,5.356B,79.00M,5.277B,10.57B,,18.10B,35.40B,,805.00M,805.00M,,805.00M,671.00M,671.00M,671.00M,9.129B,862.00M,,862.00M,22.11B,,22.97B,33.49B,,,1.833B,,,,,,18.00M,1.916B,,,
1997-06,,10.76B,,10.76B,,,490.00M,,17.86B,,,,465.00M,,,,5.527B,74.00M,5.453B,10.72B,,18.73B,36.69B,,730.00M,730.00M,,730.00M,514.00M,514.00M,514.00M,8.021B,862.00M,,862.00M,24.86B,,25.72B,34.85B,,,1.751B,,,,,,10.00M,1.832B,,,
1997-03,,9.91B,,9.91B,,,477.00M,,16.34B,,,,466.00M,,,,4.841B,70.00M,4.771B,10.38B,,17.24B,33.63B,,634.00M,634.00M,,634.00M,722.00M,722.00M,722.00M,9.564B,856.00M,,856.00M,20.44B,,21.30B,31.89B,,,1.76B,,,,,,-15.00M,1.738B,,,
1996-12,,9.188B,,9.188B,,,442.00M,,15.40B,,,,468.00M,,,,4.713B,73.00M,4.64B,9.642B,,16.09B,31.52B,,657.00M,657.00M,,657.00M,649.00M,649.00M,649.00M,8.81B,562.00M,,562.00M,19.52B,,20.08B,29.75B,,,1.694B,,,,,,12.00M,1.775B,,,
1996-09,,7.643B,,7.643B,,,449.40M,,13.90B,,,,454.70M,,,,4.252B,71.40M,4.180B,8.894B,,14.51B,28.44B,,,,,,816.00M,816.00M,816.00M,7.814B,365.50M,,365.50M,17.38B,,17.74B,26.82B,,,1.634B,,,,,,-7.70M,1.622B,,,
1996-06,,9.596B,,9.596B,,,463.50M,,11.54B,,,,458.90M,,,,4.268B,70.10M,4.198B,11.45B,,17.37B,28.94B,,,,,,985.90M,985.90M,985.90M,6.307B,276.10M,,276.10M,19.35B,,19.62B,27.37B,,,1.575B,,,,,,-16.00M,1.576B,,,
1996-03,,9.566B,,9.566B,,,409.80M,,14.16B,,,,458.20M,,,,4.204B,65.70M,4.138B,7.408B,,13.04B,27.23B,,,,,,5.985B,5.985B,5.985B,6.216B,250.90M,,250.90M,17.74B,,17.99B,25.67B,,,1.520B,,,,,,-4.20M,1.560B,,,
1995-12,,7.397B,,7.397B,,,392.10M,,13.54B,,,,467.60M,,,,3.986B,63.50M,3.923B,6.864B,,12.18B,25.79B,,,,,,5.564B,5.564B,5.564B,6.032B,301.80M,,301.80M,16.65B,,16.95B,24.20B,,,1.465B,,,,,,12.70M,1.588B,,,
1995-09,,7.259B,,7.259B,,,376.80M,,13.44B,,,,479.30M,,,,3.671B,62.50M,3.609B,6.608B,,12.03B,25.53B,,503.60M,503.60M,,503.60M,788.90M,788.90M,788.90M,7.732B,257.80M,,257.80M,15.08B,,15.33B,23.99B,,,1.416B,,,,,,4.80M,1.539B,,,
1995-06,,6.906B,,6.906B,,,366.20M,,12.97B,,,,487.80M,,,,3.537B,60.20M,3.477B,7.732B,,12.53B,25.57B,,496.40M,496.40M,,496.40M,759.00M,759.00M,759.00M,7.215B,564.60M,,564.60M,15.64B,,16.20B,24.08B,,,1.368B,,,,,,-55.80M,1.492B,,,
1995-03,,6.446B,,6.446B,,,347.30M,,7.089B,,,,485.50M,,,,3.263B,59.40M,3.204B,8.467B,,16.39B,23.54B,,456.70M,456.70M,,456.70M,672.00M,672.00M,672.00M,6.514B,202.20M,,202.20M,14.17B,,14.37B,22.13B,,,1.320B,,,,,,,1.415B,,,
1994-12,,5.852B,,5.852B,,,349.00M,,8.441B,,,,475.00M,,,,3.233B,58.00M,3.175B,8.942B,,13.23B,21.73B,,406.00M,406.00M,,406.00M,649.00M,649.00M,649.00M,5.966B,128.00M,,128.00M,13.90B,,14.03B,20.50B,,,1.177B,,,,,,,1.231B,,,
1994-09,,6.403B,,6.403B,,,321.60M,,9.914B,,,,473.10M,,,,3.078B,58.30M,3.020B,8.206B,,12.42B,22.36B,,403.50M,403.50M,,403.50M,472.40M,472.40M,472.40M,6.135B,432.80M,,432.80M,14.04B,,14.47B,21.14B,,,1.108B,,,,,,,1.214B,,,
1994-06,,6.077B,,6.077B,,,338.00M,,10.12B,,,,463.10M,,,,3.261B,55.90M,3.205B,6.878B,,11.64B,21.78B,,398.00M,398.00M,,398.00M,603.30M,603.30M,603.30M,4.777B,242.90M,,242.90M,14.73B,,14.97B,20.60B,,,1.073B,,,,,,,1.179B,,,
1994-03,,7.629B,,7.629B,,,306.50M,,10.53B,,,,447.70M,,,,3.289B,55.00M,3.234B,6.870B,,11.82B,22.37B,,389.00M,389.00M,,389.00M,728.70M,728.70M,728.70M,4.611B,476.60M,,476.60M,15.31B,,15.79B,21.23B,,,1.042B,,,,,,,1.143B,,,
1993-12,,6.618B,,6.618B,,,281.10M,,9.354B,,,,445.10M,,,,2.680B,54.30M,2.626B,5.861B,,9.300B,18.72B,,373.20M,373.20M,,373.20M,469.30M,469.30M,469.30M,4.084B,278.90M,,278.90M,13.02B,,13.30B,17.62B,,,1.010B,,,,,,,1.105B,,,
1993-09,,5.878B,,5.878B,,,255.20M,,10.50B,,,,442.30M,,,,2.610B,55.20M,2.554B,5.312B,,8.758B,19.30B,,362.90M,362.90M,,362.90M,404.70M,404.70M,404.70M,5.375B,748.80M,,748.80M,11.90B,,12.65B,18.24B,,,973.10M,,,,,,,1.064B,,,
1993-06,,6.679B,,6.679B,,,236.20M,,10.13B,,,,439.00M,,,,2.413B,55.70M,2.357B,4.900B,,8.023B,18.17B,,327.10M,327.10M,,327.10M,229.90M,229.90M,229.90M,4.824B,541.50M,,541.50M,11.59B,,12.13B,17.14B,,,937.10M,,,,,,,1.026B,,,
1993-03,,5.968B,,5.968B,,,207.10M,,10.51B,,,,420.40M,,,,2.121B,55.20M,2.066B,4.398B,,7.128B,17.68B,,308.70M,308.70M,,308.70M,100.30M,100.30M,100.30M,5.504B,692.70M,,692.70M,10.34B,,11.03B,16.68B,,,904.40M,,,,,,,992.80M,,,
1992-12,,6.088B,,6.088B,,,216.40M,,9.560B,,,,412.80M,,,,2.004B,57.90M,1.946B,4.257B,,6.895B,16.49B,,309.90M,309.90M,,309.90M,135.00M,135.00M,135.00M,3.82B,482.20M,,482.20M,11.06B,,11.54B,15.54B,,,870.10M,,,,,,,953.10M,,,
1992-09,,6.519B,,6.519B,,,182.70M,,7.204B,,,,383.00M,,,,2.132B,61.60M,2.070B,6.692B,,9.458B,16.66B,,,433.20M,,433.20M,199.90M,199.90M,199.90M,4.461B,146.10M,,146.10M,10.64B,,10.78B,15.74B,,,837.80M,,,,,,,919.80M,,,
1992-06,,6.836B,,6.836B,,,207.30M,,7.853B,,,,351.50M,,,,1.972B,65.40M,1.906B,6.620B,,9.100B,17.01B,,,580.80M,,580.80M,3.673B,3.673B,3.673B,4.792B,146.40M,,146.40M,10.66B,,10.81B,16.13B,,,804.20M,,,,,,,881.30M,,,
1992-03,,6.018B,,6.018B,,,,,9.156B,,,,333.10M,,,,1.875B,67.30M,1.808B,3.686B,,6.227B,15.45B,,284.50M,284.50M,,284.50M,153.20M,153.20M,153.20M,4.166B,509.80M,,509.80M,9.736B,,10.25B,14.60B,,,772.80M,,,,,,,846.90M,,,
1991-12,,4.848B,,4.848B,,,206.40M,,9.082B,,,,319.50M,,,,1.905B,65.90M,1.839B,3.504B,,5.878B,15.05B,,270.60M,270.60M,,270.60M,487.40M,487.40M,487.40M,5.167B,147.00M,,147.00M,8.731B,,8.878B,14.23B,,,745.50M,,,,,,,816.60M,,,
1991-09,,5.012B,,5.012B,,,191.20M,,7.315B,,,,287.90M,,,,2.038B,57.90M,1.980B,3.259B,,5.899B,13.33B,,257.70M,257.70M,,257.70M,548.80M,548.80M,548.80M,4.105B,148.90M,,148.90M,8.029B,,8.178B,12.53B,,,724.60M,,,,,,,792.00M,,,
1991-06,,4.805B,,4.805B,,,187.00M,,6.012B,,,,264.20M,,,,2.070B,54.40M,2.016B,3.206B,,5.682B,11.73B,,249.90M,249.90M,,249.90M,247.10M,247.10M,247.10M,2.813B,350.00M,,350.00M,7.593B,,7.943B,10.96B,,,704.20M,,,,,,,770.30M,,,
1991-03,,3.955B,,3.955B,,,202.40M,,5.156B,,,,259.00M,,,,2.149B,52.40M,2.097B,3.218B,,5.756B,10.94B,,258.30M,258.30M,,258.30M,203.30M,203.30M,203.30M,2.652B,350.60M,,350.60M,7.011B,,7.362B,10.20B,,,685.40M,,,,,,,747.60M,,,
1990-12,,4.348B,,4.348B,,,204.30M,,5.770B,,,,212.70M,,,,2.541B,51.00M,2.490B,2.957B,,5.836B,11.65B,,227.00M,227.00M,,227.00M,361.60M,361.60M,361.60M,3.031B,112.40M,,112.40M,7.658B,,7.770B,10.96B,,,634.90M,,,,,,,695.10M,,,
1990-09,,4.485B,,4.485B,,,197.60M,,5.774B,,,,210.20M,,,,2.584B,51.80M,2.532B,2.875B,,5.783B,11.59B,,227.50M,227.50M,,227.50M,380.80M,380.80M,380.80M,3.320B,113.80M,,113.80M,7.331B,,7.445B,10.92B,,,610.00M,,,,,,,667.80M,,,
1990-06,,3.912B,,3.912B,,,192.10M,,4.514B,,,,202.60M,,,,2.476B,52.70M,2.424B,2.952B,,5.752B,10.31B,,221.80M,221.80M,,221.80M,405.00M,405.00M,405.00M,2.761B,114.20M,,114.20M,6.626B,,6.74B,9.663B,,,586.30M,,,,,,,643.00M,,,
1990-03,,3.018B,,3.018B,,,201.60M,,4.648B,,,,190.70M,,,,2.476B,51.70M,2.425B,2.954B,,5.692B,10.38B,,222.90M,222.90M,,222.90M,304.50M,304.50M,304.50M,3.281B,114.50M,,114.50M,6.229B,,6.344B,9.756B,,,563.90M,,,,,,,620.10M,,,
1989-12,,3.102B,,3.102B,,,200.90M,,4.569B,,,,175.70M,,,,2.465B,50.30M,2.415B,2.635B,,5.372B,9.983B,,223.80M,223.80M,,223.80M,348.10M,348.10M,348.10M,2.955B,114.60M,,114.60M,6.178B,,6.293B,9.386B,,,542.10M,,,,,,,597.20M,,,
1989-09,,2.208B,,2.208B,,,190.20M,,2.902B,,,,176.50M,,,,2.409B,49.50M,2.359B,2.501B,,5.198B,8.160B,,206.40M,206.40M,,206.40M,201.70M,201.70M,201.70M,2.373B,314.70M,,314.70M,4.726B,,5.040B,7.586B,,,519.70M,,,,,,,574.30M,,,
1989-06,,2.029B,,2.029B,,,172.50M,,3.104B,,,,174.10M,,,,2.347B,49.30M,2.298B,2.399B,,5.009B,8.187B,,172.00M,172.00M,,172.00M,246.90M,246.90M,246.90M,2.44B,315.80M,,315.80M,4.701B,,5.017B,7.635B,,,498.10M,,,,,,,551.60M,,,
