,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-09,2.287B,2.287B,1.666B,621.00M,181.00M,54.00M,,-30.00M,71.00M,7.00M,-64.00M,,235.00M,386.00M,7.00M,71.00M,-64.00M,-33.00M,-64.00M,289.00M,56.00M,233.00M,,,-1.00M,232.00M,260.00M,505.00M,145.00M,360.00M,1.57,,,1.76,1.57,1.56,,,1.749,1.56,147.20M,148.20M,0.46
2016-06,2.297B,2.297B,1.692B,605.00M,174.00M,55.00M,,8.00M,71.00M,8.00M,-63.00M,,229.00M,376.00M,8.00M,71.00M,-63.00M,11.00M,-63.00M,324.00M,67.00M,257.00M,,,-2.00M,255.00M,251.05M,539.00M,144.00M,395.00M,1.73,,,1.703,1.73,1.71,,,1.683,1.71,147.80M,148.90M,0.46
2016-03,2.236B,2.236B,1.602B,634.00M,183.00M,54.00M,,2.00M,70.00M,6.00M,-64.00M,,237.00M,397.00M,6.00M,70.00M,-64.00M,-10.00M,-64.00M,323.00M,72.00M,251.00M,,,0.00,251.00M,258.02M,540.00M,147.00M,393.00M,1.7,,,1.7469999999999999,1.7,1.69,,,1.7369999999999999,1.69,147.80M,148.80M,0.46
2015-12,2.225B,2.225B,1.716B,509.00M,210.00M,74.00M,,-53.00M,56.00M,-9.00M,-65.00M,,284.00M,225.00M,-9.00M,56.00M,-65.00M,-43.00M,-65.00M,117.00M,-8.00M,125.00M,,,-1.00M,124.00M,154.00M,315.00M,142.00M,173.00M,0.83,0.0,,1.032,0.83,0.83,0.0,,1.03,0.83,148.60M,149.80M,0.46
2015-09,2.447B,2.447B,1.752B,695.00M,183.00M,59.00M,,-21.00M,70.00M,4.00M,-66.00M,,242.00M,453.00M,4.00M,70.00M,-66.00M,-34.00M,-66.00M,353.00M,95.00M,258.00M,,,-2.00M,256.00M,281.55M,565.00M,142.00M,423.00M,1.73,,,1.902,1.73,1.71,,,1.881,1.71,148.60M,149.80M,0.4
2015-06,2.533B,2.533B,1.813B,720.00M,194.00M,57.00M,0.00,0.00,70.00M,4.00M,-66.00M,,251.00M,469.00M,4.00M,70.00M,-66.00M,1.00M,-66.00M,403.00M,104.00M,299.00M,,,-2.00M,297.00M,299.22M,615.00M,142.00M,473.00M,2.0,,,2.015,2.0,1.98,,,1.995,1.98,148.60M,149.80M,0.4
2015-03,2.443B,2.443B,1.787B,656.00M,180.00M,56.00M,109.00M,-109.00M,70.00M,4.00M,-66.00M,,236.00M,420.00M,4.00M,70.00M,-66.00M,-98.00M,-66.00M,256.00M,84.00M,172.00M,,,-1.00M,171.00M,238.67M,471.00M,145.00M,326.00M,1.15,,,1.605,1.15,1.14,,,1.5919999999999999,1.14,148.70M,149.70M,0.4
2014-12,2.349B,2.349B,2.016B,333.00M,244.00M,62.00M,,-7.00M,60.00M,5.00M,-55.00M,,306.00M,27.00M,5.00M,60.00M,-55.00M,-1.00M,-55.00M,-29.00M,-46.00M,17.00M,0.00,,-1.00M,16.00M,19.90M,153.00M,122.00M,31.00M,0.11,0.0,,0.1362,0.11,0.11,0.0,,0.136,0.11,148.60M,149.90M,0.4
2014-09,2.413B,2.413B,1.777B,636.00M,171.00M,56.00M,71.00M,-74.00M,50.00M,5.00M,-45.00M,,227.00M,409.00M,5.00M,50.00M,-45.00M,-66.00M,-45.00M,298.00M,86.00M,212.00M,0.00,,-2.00M,210.00M,258.28M,459.00M,111.00M,348.00M,1.41,0.0,,1.735,1.41,1.39,0.0,,1.7109999999999999,1.39,148.70M,150.30M,0.35
2014-06,2.46B,2.46B,1.803B,657.00M,172.00M,56.00M,-7.00M,7.00M,48.00M,3.00M,-45.00M,,228.00M,429.00M,3.00M,48.00M,-45.00M,15.00M,-45.00M,399.00M,107.00M,292.00M,2.00M,,-2.00M,292.00M,284.89M,557.00M,110.00M,447.00M,1.94,0.02,,1.906,1.96,1.92,0.01,,1.886,1.93,149.50M,151.30M,0.35
2014-03,2.305B,2.305B,1.71B,595.00M,168.00M,53.00M,13.00M,-13.00M,45.00M,3.00M,-42.00M,,221.00M,374.00M,3.00M,45.00M,-42.00M,-10.00M,-42.00M,322.00M,88.00M,234.00M,,,-1.00M,233.00M,242.49M,474.00M,107.00M,367.00M,1.54,,,1.6030000000000002,1.54,1.52,,,1.5819999999999999,1.52,151.40M,153.00M,0.35
2013-12,2.265B,2.265B,1.471B,794.00M,135.00M,45.00M,,-52.00M,45.00M,2.00M,-43.00M,,180.00M,614.00M,2.00M,45.00M,-43.00M,-53.00M,-43.00M,518.00M,169.00M,349.00M,0.00,,-3.00M,346.00M,381.03M,670.00M,107.00M,563.00M,2.26,0.0,,2.489,2.26,2.22,0.0,,2.445,2.22,153.10M,155.90M,0.35
2013-09,2.338B,2.338B,1.649B,689.00M,159.00M,48.00M,3.00M,-3.00M,46.00M,2.00M,-44.00M,,207.00M,482.00M,2.00M,46.00M,-44.00M,-4.00M,-44.00M,434.00M,125.00M,309.00M,0.00,,-1.00M,308.00M,312.26M,588.00M,108.00M,480.00M,2.0,0.0,,2.028,2.0,1.97,0.0,,1.9969999999999999,1.97,154.00M,156.40M,0.3
2013-06,2.44B,2.44B,1.763B,677.00M,180.00M,51.00M,18.00M,-18.00M,47.00M,1.00M,-46.00M,,231.00M,446.00M,1.00M,47.00M,-46.00M,-18.00M,-46.00M,382.00M,116.00M,266.00M,0.00,,-2.00M,264.00M,275.90M,537.00M,108.00M,429.00M,1.71,0.0,,1.787,1.71,1.69,0.0,,1.766,1.69,154.40M,156.70M,0.3
2013-03,2.307B,2.307B,1.691B,616.00M,171.00M,49.00M,3.00M,-3.00M,48.00M,1.00M,-47.00M,,220.00M,396.00M,1.00M,48.00M,-47.00M,-4.00M,-47.00M,345.00M,97.00M,248.00M,,,-1.00M,247.00M,252.76M,503.00M,110.00M,393.00M,1.6,,,1.6369999999999998,1.6,1.57,,,1.607,1.57,154.40M,156.70M,0.3
2012-12,2.169B,2.169B,1.844B,325.00M,224.00M,62.00M,,-83.00M,48.00M,0.00,-48.00M,,286.00M,39.00M,0.00,48.00M,-48.00M,-77.00M,-48.00M,-86.00M,-34.00M,-52.00M,0.00,,-2.00M,-54.00M,-3.814M,70.00M,108.00M,-38.00M,-0.35,0.0,,-0.0233,-0.35,-0.35,0.0,,-0.0314,-0.35,153.60M,157.50M,0.3
2012-09,2.259B,2.259B,1.734B,525.00M,173.00M,52.00M,37.00M,-37.00M,50.00M,2.00M,-48.00M,,225.00M,300.00M,2.00M,50.00M,-48.00M,-31.00M,-48.00M,221.00M,64.00M,157.00M,0.00,,-3.00M,154.00M,180.27M,383.00M,112.00M,271.00M,1.01,0.0,,1.182,1.01,0.99,0.0,,1.158,0.99,152.90M,156.40M,0.26
2012-06,1.853B,1.853B,1.372B,481.00M,121.00M,43.00M,0.00,-18.00M,29.00M,1.00M,-28.00M,,164.00M,317.00M,1.00M,29.00M,-28.00M,-20.00M,-28.00M,269.00M,91.00M,178.00M,2.00M,,-1.00M,179.00M,189.54M,369.00M,71.00M,298.00M,1.28,0.02,,1.371,1.3,1.26,0.01,,1.349,1.27,138.10M,141.20M,0.26
2012-03,1.821B,1.821B,1.39B,431.00M,126.00M,41.00M,0.00,-5.00M,21.00M,2.00M,-19.00M,,167.00M,264.00M,2.00M,21.00M,-19.00M,4.00M,-19.00M,245.00M,85.00M,160.00M,-1.00M,,-1.00M,158.00M,161.60M,335.00M,69.00M,266.00M,1.158,-0.0073,,1.177,1.15,1.13,-0.01,,1.148,1.12,137.30M,140.70M,0.26
2011-12,1.723B,1.723B,1.519B,204.00M,141.00M,44.00M,,-14.00M,21.00M,2.00M,-19.00M,,185.00M,19.00M,2.00M,21.00M,-19.00M,6.00M,-19.00M,6.00M,-7.00M,13.00M,0.00,,,12.00M,21.10M,96.00M,69.00M,27.00M,0.12,0.0,,0.1843,0.12,0.12,0.0,,0.1827,0.12,141.50M,145.20M,0.26
2011-09,1.812B,1.812B,1.379B,433.00M,114.00M,41.00M,,-4.00M,21.00M,1.00M,-20.00M,,155.00M,278.00M,1.00M,21.00M,-20.00M,-4.00M,-20.00M,254.00M,80.00M,174.00M,0.00,,,174.00M,176.76M,344.00M,69.00M,275.00M,1.25,0.0,,1.27,1.25,1.22,0.0,,1.239,1.22,140.60M,144.10M,0.26
2011-06,1.885B,1.885B,1.411B,474.00M,118.00M,38.00M,,5.00M,20.00M,2.00M,-18.00M,-15.00M,141.00M,333.00M,2.00M,20.00M,-18.00M,5.00M,-18.00M,320.00M,101.00M,219.00M,1.00M,,,220.00M,215.60M,407.00M,67.00M,340.00M,1.55,0.0,,1.526,1.55,1.51,0.0,,1.4869999999999999,1.51,141.40M,145.00M,0.235
2011-03,1.758B,1.758B,1.30B,458.00M,108.00M,36.00M,,6.00M,21.00M,2.00M,-19.00M,,144.00M,314.00M,2.00M,21.00M,-19.00M,6.00M,-19.00M,301.00M,100.00M,201.00M,39.00M,,,240.00M,196.98M,390.00M,68.00M,322.00M,1.42,0.28,,1.392,1.7,1.39,0.27,,1.3619999999999999,1.66,141.40M,144.60M,0.235
2010-12,1.463B,1.463B,1.127B,336.00M,123.00M,44.00M,,-133.00M,26.00M,2.00M,-24.00M,,164.00M,172.00M,2.00M,26.00M,-24.00M,-143.00M,-24.00M,5.00M,-5.00M,10.00M,-2.00M,,,6.00M,94.45M,99.00M,68.00M,31.00M,0.05,-0.01,,0.6508,0.04,0.04,-0.01,,0.6179,0.03,143.90M,149.60M,0.235
2010-09,1.507B,1.507B,1.085B,422.00M,114.00M,42.00M,,3.00M,26.00M,1.00M,-25.00M,,156.00M,266.00M,1.00M,26.00M,-25.00M,3.00M,-25.00M,244.00M,82.00M,162.00M,8.00M,,,170.00M,160.01M,343.00M,73.00M,270.00M,1.13,0.06,,1.1159999999999999,1.19,1.11,0.05,,1.0959999999999999,1.16,143.80M,146.60M,0.22
2010-06,1.502B,1.502B,1.118B,384.00M,102.00M,33.00M,,-7.00M,27.00M,2.00M,-25.00M,3.00M,138.00M,246.00M,2.00M,27.00M,-25.00M,-7.00M,-25.00M,214.00M,73.00M,141.00M,7.00M,,,148.00M,145.61M,311.00M,70.00M,241.00M,0.98,0.045,,1.012,1.025,0.96,0.045,,0.9914,1.01,144.60M,147.00M,0.22
2010-03,1.37B,1.37B,1.053B,317.00M,95.00M,33.00M,,7.00M,26.00M,1.00M,-25.00M,,128.00M,189.00M,1.00M,26.00M,-25.00M,7.00M,-25.00M,157.00M,52.00M,105.00M,-4.00M,,,101.00M,100.32M,252.00M,69.00M,183.00M,0.725,-0.03,,0.6926,0.695,0.715,-0.03,,0.6831,0.685,144.40M,146.60M,0.22
2009-12,677.00M,677.00M,412.00M,265.00M,71.00M,23.00M,,-175.00M,20.00M,,-25.00M,,94.00M,171.00M,,20.00M,-25.00M,-175.00M,-25.00M,-24.00M,-10.00M,-14.00M,,,,-32.00M,99.75M,67.00M,71.00M,-4.00M,-0.095,-0.12,,0.6965,-0.215,-0.1,-0.12,,0.667,-0.22,143.72M,148.31M,0.22
2009-09,1.337B,1.337B,1.009B,328.00M,104.00M,33.00M,,-2.00M,19.00M,1.00M,-18.00M,,137.00M,191.00M,1.00M,19.00M,-18.00M,-2.00M,-18.00M,170.00M,69.00M,101.00M,,,,101.00M,102.30M,258.00M,69.00M,189.00M,0.7,0.0,,0.709,0.7,0.69,0.0,,0.6988,0.69,145.20M,147.00M,0.22
2009-06,1.253B,1.253B,993.00M,260.00M,98.00M,34.00M,,-2.00M,22.00M,2.00M,-20.00M,,132.00M,128.00M,2.00M,22.00M,-20.00M,-2.00M,-20.00M,106.00M,41.00M,65.00M,,,,65.00M,66.23M,195.00M,67.00M,128.00M,0.445,0.0,,0.4535,0.445,0.445,0.0,,0.4534,0.445,145.00M,146.20M,0.22
2009-03,1.129B,1.129B,950.00M,179.00M,94.00M,34.00M,,-30.00M,19.00M,,-19.00M,,128.00M,51.00M,,19.00M,-19.00M,-30.00M,-19.00M,2.00M,0.00,2.00M,,,,2.00M,32.00M,88.00M,67.00M,21.00M,0.015,0.0,,0.2219,0.015,0.015,0.0,,0.2208,0.015,145.00M,145.80M,0.22
2008-12,1.346B,1.346B,1.20B,146.00M,95.00M,38.00M,,-37.00M,17.00M,,-17.00M,,117.00M,29.00M,,17.00M,-17.00M,-37.00M,-17.00M,-25.00M,-23.00M,-2.00M,0.00,,,-2.00M,22.05M,60.00M,68.00M,-8.00M,0.01,0.0,,0.1759,0.01,0.01,0.0,,0.1759,0.01,145.00M,145.00M,0.22
2008-09,1.819B,1.819B,1.497B,322.00M,107.00M,39.00M,,-9.00M,19.00M,,-19.00M,,146.00M,176.00M,,19.00M,-19.00M,-9.00M,-19.00M,148.00M,48.00M,100.00M,0.00,,,100.00M,106.08M,234.00M,67.00M,167.00M,0.675,0.0,,0.716,0.675,0.665,0.0,,0.7055,0.665,148.40M,150.20M,0.22
2008-06,1.834B,1.834B,1.513B,321.00M,107.00M,39.00M,,-4.00M,,,,3.00M,149.00M,172.00M,,,,-4.00M,,153.00M,38.00M,115.00M,,,,115.00M,118.01M,239.00M,67.00M,172.00M,0.755,0.0,,0.7747,0.755,0.74,0.0,,0.7593,0.74,152.32M,155.41M,0.22
2008-03,1.727B,1.727B,1.39B,337.00M,110.00M,42.00M,,-16.00M,,,,,152.00M,185.00M,,,,-16.00M,,153.00M,38.00M,115.00M,18.00M,,,133.00M,127.03M,250.00M,65.00M,185.00M,0.735,0.115,,0.8119,0.85,0.73,0.11,,0.806,0.84,156.47M,158.33M,0.22
2007-12,1.737B,1.737B,1.447B,290.00M,109.00M,41.00M,,14.00M,,,,,272.00M,18.00M,,,,14.00M,,139.00M,38.00M,101.00M,-3.00M,,,98.00M,90.83M,98.00M,80.00M,18.00M,0.63,-0.02,,0.5657,0.61,0.62,-0.02,,0.5569,0.6,158.25M,161.15M,0.22
2007-09,1.692B,1.692B,1.385B,307.00M,104.00M,43.00M,,-105.00M,,,,114.00M,261.00M,46.00M,,,,-105.00M,,32.00M,12.00M,25.00M,-5.00M,,,20.00M,90.62M,124.00M,78.00M,46.00M,0.15,-0.03,,0.5438,0.12,0.15,-0.03,,0.5438,0.12,166.67M,166.67M,0.22
2007-06,1.764B,1.764B,1.455B,309.00M,109.00M,38.00M,,3.00M,,,,-6.00M,141.00M,168.00M,,,,3.00M,,151.00M,49.00M,102.00M,3.00M,,,105.00M,99.97M,253.00M,85.00M,168.00M,0.605,0.015,,0.593,0.62,0.595,0.015,,0.5832,0.61,169.35M,172.13M,0.22
2007-03,1.637B,1.637B,1.351B,286.00M,98.00M,34.00M,,3.00M,,,,,132.00M,154.00M,,,,3.00M,,140.00M,47.00M,93.00M,-16.00M,,,77.00M,91.01M,238.00M,84.00M,154.00M,0.555,-0.095,,0.5431,0.46,0.55,-0.095,,0.5382,0.455,167.39M,169.23M,0.22
2006-12,1.081B,1.081B,813.00M,268.00M,107.00M,29.00M,,5.00M,,,,10.00M,146.00M,122.00M,,,,5.00M,,122.00M,9.00M,113.00M,,,,95.00M,108.37M,204.00M,82.00M,122.00M,0.68,-0.11,,0.6522,0.57,0.665,-0.11,,0.6376,0.56,166.40M,169.30M,0.22
2006-09,1.966B,1.966B,1.65B,316.00M,105.00M,40.00M,,-14.00M,,,,13.00M,158.00M,158.00M,,,,-14.00M,,136.00M,41.00M,95.00M,,,,95.00M,104.78M,234.00M,76.00M,158.00M,0.58,0.0,,0.6397,0.58,0.575,0.0,,0.6342,0.575,163.79M,165.22M,0.22
2006-06,1.929B,1.929B,1.579B,350.00M,113.00M,44.00M,,-1.00M,,,,,157.00M,193.00M,,,,-1.00M,,171.00M,57.00M,114.00M,,,,114.00M,114.67M,269.00M,76.00M,193.00M,0.695,0.0,,0.6991,0.695,0.685,0.0,,0.689,0.685,164.03M,166.42M,0.22
2006-03,1.803B,1.803B,1.472B,331.00M,98.00M,42.00M,,-6.00M,,,,,140.00M,191.00M,,,,-6.00M,,165.00M,60.00M,105.00M,,,,105.00M,108.82M,265.00M,74.00M,191.00M,0.64,0.0,,0.6633,0.64,0.635,0.0,,0.6581,0.635,164.06M,165.35M,0.22
2005-12,1.13B,1.13B,895.00M,235.00M,100.00M,30.00M,,-19.00M,,,,,161.00M,74.00M,,,,-19.00M,,65.00M,15.00M,50.00M,,,,66.00M,64.62M,149.00M,75.00M,74.00M,0.3,0.1,,0.3899,0.4,0.3,0.1,,0.389,0.4,162.65M,164.22M,0.22
2005-09,1.816B,1.816B,1.464B,352.00M,108.00M,42.00M,,-2.00M,,,,,150.00M,202.00M,,,,-2.00M,,177.00M,54.00M,123.00M,,,,123.00M,124.39M,278.00M,76.00M,202.00M,0.755,0.0,,0.7635,0.755,0.75,0.0,,0.7585,0.75,162.91M,164.00M,0.22
2005-06,1.752B,1.752B,1.378B,374.00M,122.00M,39.00M,,-56.00M,,,,,161.00M,213.00M,,,,115.00M,,304.00M,98.00M,206.00M,,,,206.00M,243.95M,290.00M,77.00M,213.00M,1.275,0.0,,1.51,1.275,1.255,0.0,,1.486,1.255,161.57M,164.14M,0.22
2005-03,1.762B,1.762B,1.363B,399.00M,109.00M,39.00M,,-6.00M,,,,7.00M,155.00M,244.00M,,,,-4.00M,,217.00M,55.00M,162.00M,,,,162.00M,166.48M,320.00M,76.00M,244.00M,1.02,0.0,,1.048,1.02,1.0,0.0,,1.028,1.0,158.82M,162.00M,0.22
2004-12,1.658B,1.658B,1.442B,216.00M,121.00M,38.00M,,-25.00M,,,,,152.00M,64.00M,,,,-11.00M,,19.00M,-35.00M,54.00M,,,,54.00M,69.00M,143.00M,79.00M,64.00M,0.345,0.0,,0.4388,0.345,0.345,0.0,,0.4388,0.345,159.87M,159.87M,0.22
2004-09,1.649B,1.649B,1.392B,257.00M,107.00M,35.00M,,-38.00M,,,,,142.00M,115.00M,,,,-38.00M,,48.00M,10.00M,38.00M,,,,38.00M,68.08M,193.00M,78.00M,115.00M,0.25,0.0,,0.4479,0.25,0.245,0.0,,0.439,0.245,152.00M,155.10M,0.22
2004-06,1.676B,1.676B,1.406B,270.00M,112.00M,38.00M,,-80.00M,,,,,150.00M,120.00M,,,,-80.00M,,10.00M,-74.00M,84.00M,,,,84.00M,132.00M,201.00M,81.00M,120.00M,0.54,0.0,,0.8486,0.54,0.535,0.0,,0.8407,0.535,155.56M,157.01M,0.22
2004-03,1.597B,1.597B,1.362B,235.00M,110.00M,43.00M,,-66.00M,,,,,153.00M,82.00M,,,,-66.00M,,-13.00M,-7.00M,-6.00M,,,,-6.00M,33.60M,166.00M,84.00M,82.00M,-0.035,0.0,,0.196,-0.035,-0.035,0.0,,0.196,-0.035,171.43M,171.43M,0.22
2003-12,1.434B,1.434B,1.249B,185.00M,106.00M,44.00M,,-1.00M,,,,-13.00M,137.00M,48.00M,,,,9.00M,,12.00M,2.00M,10.00M,,0.00,,10.00M,10.83M,135.00M,87.00M,48.00M,0.04,0.0,0.0,0.0454,0.06,0.04,0.0,0.0001,0.0454,0.06,153.05M,153.05M,0.22
2003-09,1.444B,1.444B,1.244B,200.00M,100.00M,44.00M,,-497.00M,,,,34.00M,178.00M,22.00M,,,,-497.00M,,-471.00M,-135.00M,-336.00M,,,,-336.00M,18.55M,109.00M,87.00M,22.00M,-2.175,0.0,,0.1201,-2.175,-2.175,0.0,,0.1201,-2.175,154.48M,154.48M,0.22
2003-06,1.481B,1.481B,1.24B,241.00M,108.00M,42.00M,,-11.00M,,,,,150.00M,91.00M,,,,-11.00M,,49.00M,14.00M,35.00M,,,,35.00M,42.86M,188.00M,97.00M,91.00M,0.23,0.0,,0.2816,0.23,0.23,0.0,,0.2816,0.23,152.17M,152.17M,0.22
