,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-06,257.00M,-17.00M,,-28.00M,-36.00M,144.00M,144.00M,38.00M,,42.00M,-7.00M,43.00M,-14.00M,,27.00M,49.00M,494.00M,-124.00M,,-124.00M,,-1.00M,,39.00M,-86.00M,10.00M,-290.00M,-280.00M,,-25.00M,-25.00M,-68.00M,-68.00M,8.00M,-4.00M,-369.00M,202.00M,39.00M,-1.00M,240.00M,,725.00M,-1.005B,-25.00M
2016-03,251.00M,,,-23.00M,-23.00M,147.00M,147.00M,9.00M,,-109.00M,-144.00M,-2.00M,-62.00M,,-16.00M,-224.00M,51.00M,-110.00M,,-110.00M,,-21.00M,,5.00M,-126.00M,-10.00M,82.00M,72.00M,,-20.00M,-20.00M,-68.00M,-68.00M,0.00,,-16.00M,293.00M,-91.00M,0.00,202.00M,,82.00M,-10.00M,-20.00M
2015-12,125.00M,0.00,,45.00M,45.00M,142.00M,142.00M,78.00M,0.00,51.00M,168.00M,-3.00M,37.00M,,-69.00M,133.00M,574.00M,-226.00M,,-226.00M,,4.00M,,-4.00M,-226.00M,-275.00M,38.00M,-237.00M,,-55.00M,-55.00M,-59.00M,-59.00M,-12.00M,0.00,-363.00M,309.00M,-15.00M,-1.00M,293.00M,,38.00M,-275.00M,-55.00M
2015-09,258.00M,0.00,,-110.00M,-110.00M,142.00M,142.00M,59.00M,18.00M,44.00M,49.00M,-66.00M,-30.00M,,4.00M,-43.00M,368.00M,-160.00M,,-160.00M,,-45.00M,,3.00M,-202.00M,-50.00M,0.00,-50.00M,,-17.00M,-17.00M,-60.00M,-60.00M,8.00M,-3.00M,-122.00M,268.00M,44.00M,-3.00M,309.00M,,0.00,-50.00M,-17.00M
2015-06,299.00M,0.00,,-14.00M,-14.00M,142.00M,142.00M,-46.00M,0.00,56.00M,-12.00M,22.00M,-1.00M,,145.00M,154.00M,591.00M,-141.00M,,-141.00M,,0.00,,-2.00M,-143.00M,-375.00M,64.00M,-311.00M,,-5.00M,-5.00M,-60.00M,-60.00M,1.00M,-1.00M,-376.00M,196.00M,72.00M,0.00,268.00M,,314.00M,-625.00M,-5.00M
2015-03,172.00M,,,-23.00M,-23.00M,145.00M,145.00M,16.00M,89.00M,-80.00M,-91.00M,21.00M,-108.00M,,-50.00M,-228.00M,91.00M,-125.00M,,-125.00M,,0.00,,3.00M,-122.00M,0.00,93.00M,93.00M,,-26.00M,-26.00M,-59.00M,-59.00M,11.00M,-2.00M,17.00M,214.00M,-14.00M,-4.00M,196.00M,,93.00M,0.00,-26.00M
2014-12,17.00M,,,204.00M,204.00M,122.00M,122.00M,41.00M,2.00M,35.00M,137.00M,15.00M,-18.00M,,-71.00M,63.00M,484.00M,-185.00M,,-187.00M,,-3.184B,,-4.00M,-3.373B,2.95B,-5.00M,2.945B,,0.00,0.00,-51.00M,-51.00M,-4.00M,0.00,2.89B,212.00M,1.00M,1.00M,214.00M,,2.95B,-5.00M,0.00
2014-09,212.00M,,,-31.00M,-31.00M,111.00M,111.00M,-3.00M,42.00M,45.00M,73.00M,-22.00M,32.00M,,101.00M,184.00M,560.00M,-153.00M,,-152.00M,,-42.00M,,1.00M,-194.00M,0.00,-211.00M,-211.00M,,-50.00M,-50.00M,-53.00M,-53.00M,-8.00M,0.00,-322.00M,175.00M,44.00M,-7.00M,212.00M,,-26.00M,-185.00M,-50.00M
2014-06,294.00M,,,-33.00M,-38.00M,110.00M,110.00M,29.00M,0.00,40.00M,-73.00M,62.00M,-23.00M,,18.00M,-16.00M,419.00M,-132.00M,,-132.00M,,-283.00M,,10.00M,-405.00M,365.00M,-231.00M,134.00M,,-100.00M,-100.00M,-53.00M,-53.00M,-2.00M,-6.00M,-27.00M,185.00M,-13.00M,3.00M,175.00M,,259.00M,-125.00M,-100.00M
2014-03,234.00M,,,-12.00M,-12.00M,107.00M,107.00M,32.00M,8.00M,-93.00M,-118.00M,-116.00M,-21.00M,,-51.00M,-306.00M,-30.00M,-123.00M,,-122.00M,,,,4.00M,-119.00M,125.00M,257.00M,382.00M,,-260.00M,-260.00M,-53.00M,-53.00M,32.00M,-3.00M,98.00M,237.00M,-51.00M,-1.00M,185.00M,,382.00M,,-260.00M
2013-12,349.00M,,,-326.00M,-326.00M,107.00M,107.00M,213.00M,22.00M,52.00M,81.00M,8.00M,65.00M,,-68.00M,86.00M,503.00M,-169.00M,,-171.00M,,0.00,,20.00M,-149.00M,-300.00M,125.00M,-175.00M,,-125.00M,-125.00M,-46.00M,-46.00M,4.00M,0.00,-342.00M,222.00M,12.00M,3.00M,237.00M,,125.00M,-300.00M,-125.00M
2013-09,309.00M,,,-164.00M,-164.00M,108.00M,108.00M,72.00M,0.00,39.00M,95.00M,21.00M,-35.00M,,-18.00M,63.00M,427.00M,-126.00M,,-125.00M,,0.00,,9.00M,-117.00M,-250.00M,0.00,-250.00M,,-35.00M,-35.00M,-47.00M,-47.00M,8.00M,-3.00M,-327.00M,234.00M,-17.00M,5.00M,222.00M,,0.00,-250.00M,-35.00M
2013-06,266.00M,,,-17.00M,-17.00M,108.00M,108.00M,20.00M,6.00M,48.00M,-59.00M,18.00M,-5.00M,,-23.00M,-69.00M,362.00M,-100.00M,,-100.00M,,0.00,,-8.00M,-108.00M,-205.00M,100.00M,-105.00M,,-46.00M,-46.00M,-46.00M,-46.00M,1.00M,-4.00M,-200.00M,178.00M,54.00M,2.00M,234.00M,,250.00M,-355.00M,-46.00M
2013-03,248.00M,,,-25.00M,-25.00M,110.00M,110.00M,26.00M,0.00,-57.00M,-155.00M,-53.00M,-27.00M,,-62.00M,-297.00M,5.00M,-88.00M,,-87.00M,,,,5.00M,-83.00M,-200.00M,200.00M,0.00,,-32.00M,-32.00M,-1.00M,-1.00M,46.00M,-3.00M,10.00M,249.00M,-68.00M,-3.00M,178.00M,,200.00M,-200.00M,-32.00M
2012-12,-52.00M,,,235.00M,235.00M,108.00M,108.00M,-15.00M,37.00M,31.00M,111.00M,8.00M,-3.00M,,-20.00M,96.00M,440.00M,-169.00M,,-168.00M,,-1.00M,0.00,3.00M,-167.00M,-200.00M,0.00,-200.00M,,0.00,0.00,-85.00M,-85.00M,24.00M,0.00,-261.00M,237.00M,12.00M,0.00,249.00M,,0.00,-200.00M,0.00
2012-09,157.00M,,,-40.00M,-40.00M,112.00M,112.00M,40.00M,9.00M,31.00M,40.00M,32.00M,44.00M,,-72.00M,44.00M,353.00M,-121.00M,,-120.00M,,-2.658B,0.00,3.00M,-2.776B,-320.00M,0.00,-320.00M,,0.00,0.00,-36.00M,-36.00M,17.00M,-3.00M,-342.00M,3.00B,-2.765B,2.00M,237.00M,,1.20B,-1.52B,0.00
2012-06,180.00M,,,-18.00M,-18.00M,71.00M,71.00M,10.00M,0.00,35.00M,0.00,-16.00M,-11.00M,,65.00M,38.00M,316.00M,-89.00M,,-87.00M,,0.00,80.00M,0.00,-9.00M,2.16B,0.00,2.16B,,0.00,0.00,-35.00M,-35.00M,0.00,-1.00M,2.124B,569.00M,2.431B,0.00,3.00B,,2.306B,-146.00M,0.00
2012-03,159.00M,,,-27.00M,-27.00M,69.00M,69.00M,13.00M,,-71.00M,-103.00M,14.00M,-20.00M,,-15.00M,-124.00M,19.00M,-91.00M,,-90.00M,,-10.00M,120.00M,-29.00M,-10.00M,5.00M,-1.00M,4.00M,,0.00,0.00,-36.00M,-36.00M,15.00M,,-17.00M,577.00M,-8.00M,0.00,569.00M,,5.00M,-1.00M,0.00
2011-12,,,,163.00M,163.00M,69.00M,69.00M,-22.00M,0.00,-610.00M,74.00M,69.00M,-85.00M,,47.00M,105.00M,352.00M,-126.00M,,-124.00M,7.00M,-2.00M,-200.00M,202.00M,-126.00M,-36.00M,0.00,-36.00M,,-24.00M,-24.00M,,-36.00M,2.00M,,-97.00M,448.00M,129.00M,0.00,577.00M,,1.00M,-36.00M,-24.00M
2011-09,,,70.00M,-7.00M,-7.00M,69.00M,69.00M,14.00M,0.00,210.00M,65.00M,-104.00M,-36.00M,,1.00M,-74.00M,212.00M,-129.00M,,-127.00M,-2.00M,-154.00M,200.00M,-160.00M,-243.00M,0.00,0.00,0.00,,-115.00M,-115.00M,,-33.00M,-8.00M,,-156.00M,634.00M,-187.00M,1.00M,448.00M,,-1.00M,0.00,-115.00M
2011-06,,,-18.00M,2.00M,-16.00M,67.00M,67.00M,26.00M,,257.00M,17.00M,-72.00M,62.00M,,-134.00M,-127.00M,207.00M,-112.00M,-617.00M,-726.00M,-3.00M,0.00,0.00,649.00M,-80.00M,-2.00M,0.00,-2.00M,,-103.00M,-103.00M,,-33.00M,5.00M,,-133.00M,640.00M,-6.00M,0.00,634.00M,,0.00,-2.00M,-103.00M
2011-03,,,-52.00M,-114.00M,-166.00M,68.00M,68.00M,-40.00M,,158.00M,-229.00M,-49.00M,8.00M,,104.00M,-166.00M,-146.00M,-99.00M,617.00M,520.00M,-2.00M,0.00,-200.00M,-11.00M,307.00M,,1.00M,1.00M,,-74.00M,-74.00M,,-34.00M,70.00M,,-37.00M,516.00M,124.00M,0.00,640.00M,,1.00M,,-74.00M
2010-12,8.00M,,,,127.00M,68.00M,68.00M,-5.00M,,,39.00M,-60.00M,96.00M,,-40.00M,35.00M,278.00M,-112.00M,,-110.00M,5.00M,-1.00M,-11.00M,5.00M,-119.00M,-120.00M,1.00M,-119.00M,,-212.00M,-212.00M,,-31.00M,77.00M,,-285.00M,642.00M,-126.00M,0.00,516.00M,,497.00M,-616.00M,-212.00M
2010-09,170.00M,,0.00,,0.00,73.00M,73.00M,40.00M,,,36.00M,-10.00M,-34.00M,,41.00M,33.00M,316.00M,-59.00M,,-57.00M,-2.00M,0.00,0.00,-7.00M,-66.00M,-4.00M,0.00,-4.00M,,-15.00M,-15.00M,,-32.00M,8.00M,,-43.00M,435.00M,207.00M,0.00,642.00M,,0.00,-4.00M,-15.00M
2010-06,148.00M,,0.00,,0.00,70.00M,70.00M,-4.00M,,,-19.00M,-32.00M,-4.00M,,47.00M,-8.00M,206.00M,-46.00M,,-45.00M,-1.00M,-189.00M,25.00M,,-210.00M,0.00,-1.00M,-1.00M,,-33.00M,-33.00M,,-32.00M,21.00M,,-45.00M,483.00M,-49.00M,1.00M,435.00M,,-1.00M,0.00,-33.00M
2010-03,101.00M,,0.00,,0.00,69.00M,69.00M,16.00M,,,-414.00M,-58.00M,94.00M,,-33.00M,-411.00M,-225.00M,-33.00M,,-31.00M,-2.00M,,-14.00M,,-47.00M,,2.00M,2.00M,,-20.00M,-20.00M,,-32.00M,12.00M,,-38.00M,793.00M,-310.00M,0.00,483.00M,,2.00M,,-20.00M
2009-12,-32.00M,,,,,71.00M,71.00M,20.00M,,,37.00M,-41.00M,24.00M,,-168.00M,-148.00M,90.00M,-44.00M,,-42.00M,-2.00M,-16.00M,5.00M,-1.00M,-56.00M,163.00M,-20.00M,143.00M,,-21.00M,-21.00M,,-32.00M,2.00M,,92.00M,668.00M,126.00M,-1.00M,793.00M,,228.00M,-85.00M,-21.00M
2009-09,101.00M,,,,,69.00M,69.00M,25.00M,,,17.00M,-50.00M,47.00M,,122.00M,136.00M,331.00M,-66.00M,,-64.00M,-2.00M,-16.00M,0.00,-5.00M,-87.00M,-14.00M,14.00M,0.00,,0.00,0.00,,-32.00M,6.00M,,-26.00M,450.00M,218.00M,0.00,668.00M,,14.00M,-14.00M,0.00
2009-06,65.00M,,,,,67.00M,67.00M,153.00M,,,-57.00M,121.00M,-38.00M,,-56.00M,-30.00M,255.00M,-96.00M,,-94.00M,-2.00M,-16.00M,1.00M,-7.00M,-118.00M,-8.00M,9.00M,1.00M,,0.00,0.00,,-32.00M,4.00M,,-27.00M,340.00M,110.00M,0.00,450.00M,,3.00M,-2.00M,0.00
2009-03,2.00M,,,,,67.00M,67.00M,-13.00M,,,5.00M,70.00M,-17.00M,,-32.00M,26.00M,82.00M,-112.00M,,-110.00M,-2.00M,-20.00M,24.00M,,-108.00M,6.00M,,6.00M,,0.00,0.00,,-32.00M,5.00M,,-21.00M,387.00M,-47.00M,0.00,340.00M,,6.00M,,0.00
2008-12,-2.00M,,,,-1.00M,68.00M,68.00M,-15.00M,0.00,0.00,277.00M,75.00M,-162.00M,,120.00M,310.00M,360.00M,-206.00M,,-204.00M,-2.00M,0.00,337.00M,-362.00M,-231.00M,0.00,-49.00M,-49.00M,,0.00,0.00,,-32.00M,1.00M,,-80.00M,337.00M,49.00M,1.00M,387.00M,,-42.00M,-7.00M,0.00
2008-09,100.00M,,,,0.00,67.00M,67.00M,3.00M,1.00M,0.00,72.00M,-55.00M,-59.00M,29.00M,57.00M,44.00M,214.00M,-154.00M,-329.00M,-475.00M,-8.00M,-38.00M,38.00M,332.00M,-151.00M,-175.00M,42.00M,-21.00M,-39.00M,-231.00M,-270.00M,,-34.00M,38.00M,,-287.00M,562.00M,-224.00M,-1.00M,337.00M,-39.00M,42.00M,-175.00M,-231.00M
2008-06,115.00M,,,,-6.00M,67.00M,67.00M,-3.00M,,0.00,-48.00M,1.00M,57.00M,-29.00M,-22.00M,-41.00M,132.00M,-149.00M,6.00M,-143.00M,,,-38.00M,5.00M,-176.00M,,,-160.00M,32.00M,-25.00M,7.00M,,-34.00M,,,-187.00M,793.00M,-231.00M,0.00,562.00M,32.00M,,,-25.00M
2008-03,133.00M,,,,-7.00M,65.00M,65.00M,-56.00M,,1.00M,-40.00M,-116.00M,-47.00M,,14.00M,-189.00M,-53.00M,-135.00M,323.00M,188.00M,,,,-6.00M,182.00M,,,48.00M,7.00M,-245.00M,-238.00M,,-35.00M,,,-225.00M,888.00M,-96.00M,1.00M,793.00M,7.00M,,,-245.00M
2007-12,98.00M,,,,-5.00M,80.00M,80.00M,14.00M,,0.00,-50.00M,65.00M,111.00M,,8.00M,134.00M,321.00M,-175.00M,159.00M,-16.00M,,,,20.00M,-36.00M,,,-64.00M,3.00M,-82.00M,-79.00M,,-35.00M,,,-178.00M,781.00M,107.00M,,888.00M,3.00M,,,-82.00M
2007-09,20.00M,,,,-3.00M,78.00M,78.00M,-5.00M,,116.00M,81.00M,19.00M,0.00,121.00M,-115.00M,106.00M,312.00M,-151.00M,0.00,-151.00M,,,,-2.00M,-153.00M,,,-33.00M,12.00M,-214.00M,-202.00M,,-37.00M,,,-272.00M,891.00M,-113.00M,3.00M,781.00M,12.00M,,,-214.00M
2007-06,105.00M,,,,,85.00M,85.00M,-3.00M,,0.00,-30.00M,-33.00M,17.00M,-121.00M,145.00M,-22.00M,165.00M,-112.00M,43.00M,-69.00M,,,,14.00M,-55.00M,,,2.00M,39.00M,-53.00M,-14.00M,,-37.00M,,,-49.00M,833.00M,61.00M,-3.00M,891.00M,39.00M,,,-53.00M
2007-03,77.00M,,,,,84.00M,84.00M,-15.00M,,22.00M,-29.00M,15.00M,-80.00M,,-140.00M,-234.00M,-66.00M,-91.00M,,-91.00M,,,,,-91.00M,,,73.00M,49.00M,-33.00M,16.00M,,-38.00M,,,51.00M,939.00M,-106.00M,,833.00M,49.00M,,,-33.00M
2006-12,95.00M,,,,-69.00M,82.00M,82.00M,-42.00M,,42.00M,107.00M,35.00M,3.00M,,123.00M,268.00M,376.00M,-114.00M,310.00M,196.00M,,,,-11.00M,185.00M,,,-83.00M,68.00M,,68.00M,,-36.00M,,,-51.00M,430.00M,510.00M,1.00M,939.00M,68.00M,,,
2006-09,95.00M,,,,-5.00M,76.00M,76.00M,20.00M,,12.00M,-33.00M,-85.00M,-9.00M,74.00M,-75.00M,-128.00M,70.00M,-114.00M,1.00M,-113.00M,,,,1.00M,-112.00M,,,10.00M,1.00M,,1.00M,,-36.00M,,,-25.00M,497.00M,-67.00M,-2.00M,430.00M,1.00M,,,
2006-06,114.00M,,,,,76.00M,76.00M,7.00M,,2.00M,-101.00M,-40.00M,95.00M,-74.00M,47.00M,-73.00M,126.00M,-95.00M,4.00M,-91.00M,,,,0.00,-91.00M,,,-12.00M,23.00M,,23.00M,,-36.00M,,,-25.00M,485.00M,10.00M,2.00M,497.00M,23.00M,,,
2006-03,105.00M,,,,,74.00M,74.00M,22.00M,,6.00M,-55.00M,-9.00M,-36.00M,,-70.00M,-170.00M,37.00M,-82.00M,7.00M,-75.00M,,,,-1.00M,-76.00M,,,35.00M,1.00M,,1.00M,,-36.00M,,,0.00,524.00M,-39.00M,,485.00M,1.00M,,,
2005-12,66.00M,,,,-47.00M,75.00M,75.00M,-15.00M,,58.00M,95.00M,31.00M,76.00M,108.00M,-52.00M,258.00M,395.00M,-119.00M,0.00,-119.00M,,,0.00,-129.00M,-248.00M,,,123.00M,9.00M,,9.00M,,-36.00M,,,96.00M,286.00M,243.00M,-5.00M,524.00M,9.00M,,,
2005-09,123.00M,,,,47.00M,76.00M,76.00M,63.00M,,-47.00M,3.00M,32.00M,-27.00M,-62.00M,-45.00M,-99.00M,163.00M,-100.00M,0.00,-100.00M,,,0.00,-5.00M,-105.00M,,,20.00M,1.00M,,1.00M,,-36.00M,,,-15.00M,241.00M,43.00M,,286.00M,1.00M,,,
2005-06,206.00M,,,,-174.00M,77.00M,77.00M,78.00M,,47.00M,18.00M,-79.00M,6.00M,-46.00M,-25.00M,-126.00M,108.00M,-71.00M,47.00M,-24.00M,,,417.00M,-7.00M,386.00M,,,-654.00M,44.00M,,44.00M,,-35.00M,,,-645.00M,393.00M,-151.00M,1.00M,241.00M,44.00M,,,
2005-03,162.00M,,,,1.00M,76.00M,76.00M,-11.00M,,,-56.00M,-94.00M,16.00M,,9.00M,-125.00M,103.00M,-53.00M,3.00M,-50.00M,,,,-1.00M,-51.00M,,,6.00M,46.00M,,46.00M,,-35.00M,,,17.00M,325.00M,69.00M,-1.00M,393.00M,46.00M,,,
2004-12,54.00M,,,,-153.00M,79.00M,79.00M,-54.00M,,140.00M,18.00M,9.00M,39.00M,-25.00M,86.00M,127.00M,193.00M,-77.00M,12.00M,-65.00M,,,,-6.00M,-71.00M,,,-4.00M,63.00M,,63.00M,,-35.00M,,,24.00M,179.00M,146.00M,,325.00M,63.00M,,,
2004-09,38.00M,,,,112.00M,78.00M,78.00M,-82.00M,,,1.00M,15.00M,-60.00M,11.00M,6.00M,-27.00M,119.00M,-54.00M,114.00M,60.00M,,,,-10.00M,50.00M,,,-104.00M,14.00M,,14.00M,,-34.00M,,-13.00M,-137.00M,147.00M,32.00M,,179.00M,14.00M,,,
2004-06,84.00M,,,,-22.00M,81.00M,81.00M,16.00M,,9.00M,-25.00M,-13.00M,60.00M,32.00M,-6.00M,48.00M,216.00M,-58.00M,1.00M,-57.00M,,,,-7.00M,-64.00M,,,-16.00M,,,,,-34.00M,,3.00M,-47.00M,42.00M,105.00M,,147.00M,,,,
