,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,194.00M,,194.00M,1.43B,319.00M,1.749B,504.00M,241.00M,1.031B,,1.476B,64.00M,3.483B,,,,,,,12.52B,-6.888B,5.632B,4.54B,2.349B,6.889B,362.00M,12.88B,16.37B,838.00M,,67.00M,,905.00M,120.00M,1.025B,,,,589.00M,589.00M,415.00M,2.029B,6.311B,6.311B,914.00M,914.00M,951.00M,75.00M,541.00M,8.717B,10.75B,2.00M,7.026B,2.004B,3.275B,,,-212.00M,5.545B
2017-12,191.00M,,191.00M,1.026B,360.00M,1.386B,470.00M,213.00M,1.114B,,1.509B,57.00M,3.143B,0.00,161.00M,1.325B,10.12B,,762.00M,12.37B,-6.763B,5.607B,4.527B,2.373B,6.90B,349.00M,12.86B,16.00B,842.00M,,111.00M,,953.00M,199.00M,1.152B,,,,393.00M,393.00M,437.00M,1.982B,6.147B,6.147B,893.00M,893.00M,963.00M,77.00M,534.00M,8.537B,10.52B,2.00M,6.802B,1.983B,3.175B,,,-209.00M,5.403B
2017-09,195.00M,,195.00M,1.047B,378.00M,1.425B,501.00M,216.00M,1.12B,,1.576B,49.00M,3.245B,,,,,,,12.14B,-6.66B,5.485B,4.52B,2.404B,6.924B,370.00M,12.78B,16.02B,689.00M,,106.00M,,795.00M,183.00M,978.00M,,,,369.00M,369.00M,341.00M,1.771B,6.325B,6.325B,1.349B,1.349B,989.00M,76.00M,491.00M,9.154B,10.92B,2.00M,6.391B,1.968B,3.10B,,,-238.00M,5.023B
2017-06,222.00M,,222.00M,1.018B,419.00M,1.437B,478.00M,220.00M,1.103B,,1.54B,63.00M,3.262B,,,,,,,11.97B,-6.563B,5.403B,4.507B,2.433B,6.94B,359.00M,12.70B,15.96B,675.00M,,90.00M,,765.00M,125.00M,890.00M,,,212.00M,212.00M,212.00M,410.00M,1.596B,6.669B,6.669B,1.286B,1.286B,1.004B,78.00M,519.00M,9.478B,11.07B,2.00M,6.142B,1.954B,3.00B,,,-286.00M,4.812B
2017-03,197.00M,,197.00M,982.00M,423.00M,1.405B,488.00M,213.00M,1.058B,,1.495B,68.00M,3.165B,,,,,,,11.78B,-6.459B,5.321B,4.484B,2.434B,6.918B,351.00M,12.59B,15.76B,668.00M,,76.00M,,744.00M,110.00M,854.00M,,,,305.00M,305.00M,390.00M,1.637B,6.578B,6.578B,1.269B,1.269B,1.009B,76.00M,535.00M,9.391B,11.03B,2.00M,5.925B,1.93B,2.90B,,,-306.00M,4.651B
2016-12,181.00M,,181.00M,812.00M,399.00M,1.211B,473.00M,198.00M,997.00M,,1.404B,70.00M,2.866B,0.00,157.00M,1.256B,9.646B,,640.00M,11.70B,-6.423B,5.276B,4.461B,2.479B,6.94B,375.00M,12.59B,15.46B,704.00M,,106.00M,,810.00M,196.00M,1.006B,,,,283.00M,283.00M,396.00M,1.795B,6.311B,6.311B,1.206B,1.206B,1.018B,76.00M,519.00M,9.054B,10.85B,2.00M,5.721B,1.915B,2.825B,,,-281.00M,4.532B
2016-09,207.00M,,207.00M,905.00M,258.00M,1.163B,476.00M,197.00M,1.057B,,1.471B,59.00M,2.90B,,,,,,,11.56B,-6.367B,5.197B,4.474B,2.543B,7.017B,375.00M,12.59B,15.49B,629.00M,,99.00M,,728.00M,197.00M,925.00M,,,675.00M,675.00M,675.00M,490.00M,2.206B,5.933B,5.933B,1.022B,1.022B,1.239B,75.00M,573.00M,8.767B,10.97B,2.00M,5.68B,1.907B,2.80B,,,-348.00M,4.441B
2016-06,240.00M,,240.00M,951.00M,226.00M,1.177B,469.00M,209.00M,1.038B,,1.445B,68.00M,2.93B,,,,,,,11.44B,-6.278B,5.162B,4.52B,2.585B,7.105B,385.00M,12.65B,15.58B,610.00M,,,,610.00M,172.00M,782.00M,,,722.00M,722.00M,722.00M,589.00M,2.189B,6.082B,6.082B,1.014B,1.014B,1.276B,78.00M,568.00M,8.94B,11.13B,2.00M,5.517B,1.892B,2.725B,,,-311.00M,4.375B
2016-03,202.00M,,202.00M,951.00M,155.00M,1.106B,486.00M,213.00M,1.09B,,1.493B,62.00M,2.863B,,,,,,,11.40B,-6.21B,5.185B,4.527B,2.637B,7.164B,404.00M,12.75B,15.62B,633.00M,,,,633.00M,125.00M,758.00M,,,513.00M,513.00M,513.00M,469.00M,1.847B,6.565B,6.565B,939.00M,939.00M,1.294B,81.00M,686.00M,9.484B,11.33B,2.00M,5.33B,1.877B,2.70B,,,-305.00M,4.204B
2015-12,293.00M,,293.00M,792.00M,246.00M,1.038B,500.00M,212.00M,1.063B,,1.479B,68.00M,2.878B,0.00,163.00M,1.148B,9.333B,,590.00M,11.23B,-6.104B,5.13B,4.518B,2.65B,7.168B,404.00M,12.70B,15.58B,699.00M,,80.00M,,779.00M,227.00M,1.006B,,,431.00M,431.00M,431.00M,499.00M,2.056B,6.577B,6.577B,928.00M,928.00M,1.297B,80.00M,701.00M,9.503B,11.56B,2.00M,5.146B,1.863B,2.68B,,,-390.00M,3.941B
2015-09,309.00M,,309.00M,968.00M,152.00M,1.12B,510.00M,214.00M,1.116B,,1.484B,269.00M,3.182B,,,,,,,11.05B,-6.007B,5.045B,4.482B,2.718B,7.20B,453.00M,12.70B,15.88B,685.00M,,97.00M,,782.00M,180.00M,962.00M,,,251.00M,251.00M,251.00M,587.00M,1.80B,7.029B,7.029B,1.004B,1.004B,1.38B,79.00M,711.00M,10.12B,11.92B,2.00M,5.09B,1.856B,2.625B,,,-446.00M,3.877B
2015-06,268.00M,,268.00M,1.021B,167.00M,1.188B,510.00M,223.00M,1.12B,,1.439B,272.00M,3.167B,,,,,,,10.94B,-5.934B,5.011B,4.474B,2.777B,7.251B,457.00M,12.72B,15.89B,712.00M,,120.00M,,832.00M,142.00M,974.00M,,,251.00M,251.00M,251.00M,596.00M,1.821B,7.072B,7.072B,962.00M,962.00M,1.49B,81.00M,696.00M,10.22B,12.04B,2.00M,4.893B,1.84B,2.608B,,,-363.00M,3.764B
2015-03,196.00M,,196.00M,998.00M,218.00M,1.216B,504.00M,255.00M,1.15B,,1.447B,307.00M,3.166B,,,,,,,10.88B,-5.928B,4.957B,4.419B,2.821B,7.24B,471.00M,12.67B,15.83B,705.00M,,,,705.00M,92.00M,797.00M,,,351.00M,351.00M,351.00M,616.00M,1.764B,7.293B,7.293B,1.023B,1.023B,1.488B,79.00M,744.00M,10.55B,12.31B,2.00M,4.656B,1.829B,2.603B,,,-441.00M,3.443B
2014-12,214.00M,,214.00M,936.00M,264.00M,1.20B,553.00M,288.00M,1.13B,,1.509B,250.00M,3.173B,0.00,175.00M,1.128B,9.252B,,471.00M,11.03B,-5.939B,5.087B,4.486B,2.905B,7.391B,421.00M,12.90B,16.07B,827.00M,,,,827.00M,191.00M,1.018B,,,301.00M,301.00M,301.00M,703.00M,2.022B,7.248B,7.248B,946.00M,946.00M,1.498B,80.00M,768.00M,10.46B,12.48B,2.00M,4.545B,1.817B,2.577B,,,-277.00M,3.51B
2014-09,212.00M,,212.00M,985.00M,141.00M,1.126B,507.00M,282.00M,1.07B,,1.358B,194.00M,2.89B,,,,,,,10.23B,-5.878B,4.352B,2.716B,1.808B,4.524B,369.00M,9.245B,12.14B,735.00M,,131.00M,,866.00M,199.00M,1.065B,40.00M,,,,,235.00M,1.398B,4.563B,4.563B,573.00M,573.00M,1.242B,78.00M,380.00M,6.758B,8.156B,2.00M,4.588B,1.81B,2.577B,,,78.00M,3.901B
2014-06,175.00M,,175.00M,1.071B,155.00M,1.226B,509.00M,301.00M,1.046B,,1.354B,231.00M,2.986B,,,,,,,10.15B,-5.804B,4.343B,2.701B,1.881B,4.582B,327.00M,9.252B,12.24B,704.00M,,68.00M,,772.00M,172.00M,944.00M,40.00M,,,,,234.00M,1.274B,4.773B,4.773B,572.00M,572.00M,1.272B,77.00M,388.00M,7.005B,8.279B,2.00M,4.431B,1.803B,2.527B,,,173.00M,3.882B
2014-03,185.00M,,185.00M,998.00M,169.00M,1.167B,520.00M,308.00M,1.055B,,1.377B,220.00M,2.949B,,,,,,,10.07B,-5.769B,4.301B,2.636B,1.738B,4.374B,323.00M,8.998B,11.95B,729.00M,,65.00M,,794.00M,119.00M,913.00M,40.00M,,,,,250.00M,1.259B,4.635B,4.635B,546.00M,546.00M,1.301B,79.00M,398.00M,6.88B,8.139B,2.00M,4.191B,1.795B,2.427B,,,168.00M,3.729B
2013-12,237.00M,,237.00M,880.00M,208.00M,1.088B,494.00M,300.00M,976.00M,,1.264B,251.00M,2.84B,0.00,147.00M,1.057B,8.389B,,365.00M,9.958B,-5.668B,4.29B,2.637B,1.781B,4.418B,297.00M,9.005B,11.84B,762.00M,,,,762.00M,205.00M,967.00M,,,,,,503.00M,1.47B,4.254B,4.254B,496.00M,496.00M,1.297B,79.00M,453.00M,6.50B,7.97B,2.00M,4.012B,1.778B,2.167B,,,171.00M,3.796B
2013-09,222.00M,,222.00M,967.00M,181.00M,1.148B,511.00M,297.00M,966.00M,,1.274B,123.00M,2.767B,,,,,,,9.872B,-5.655B,4.217B,2.634B,1.801B,4.435B,308.00M,8.96B,11.73B,657.00M,,97.00M,,754.00M,208.00M,962.00M,35.00M,,,,,266.00M,1.323B,4.429B,4.429B,204.00M,204.00M,1.624B,81.00M,478.00M,6.735B,8.058B,2.00M,3.718B,1.763B,2.042B,,,147.00M,3.588B
2013-06,234.00M,,234.00M,1.053B,173.00M,1.226B,514.00M,298.00M,977.00M,,1.286B,92.00M,2.838B,,,,,,,9.747B,-5.57B,4.177B,2.62B,1.82B,4.44B,307.00M,8.924B,11.76B,686.00M,,71.00M,,757.00M,199.00M,956.00M,35.00M,,,,,257.00M,1.309B,4.679B,4.679B,97.00M,97.00M,1.827B,83.00M,477.00M,7.08B,8.389B,2.00M,3.456B,1.749B,2.007B,,,90.00M,3.29B
2013-03,178.00M,,178.00M,990.00M,182.00M,1.172B,517.00M,301.00M,989.00M,,1.301B,86.00M,2.737B,,,,,,,9.684B,-5.53B,4.154B,2.635B,1.842B,4.477B,319.00M,8.95B,11.69B,687.00M,,112.00M,,799.00M,132.00M,931.00M,35.00M,,,4.00M,4.00M,262.00M,1.293B,4.779B,4.779B,104.00M,104.00M,1.84B,83.00M,483.00M,7.206B,8.499B,2.00M,3.239B,1.74B,1.961B,,,85.00M,3.105B
2012-12,249.00M,,249.00M,846.00M,151.00M,997.00M,536.00M,288.00M,941.00M,,1.26B,193.00M,2.699B,0.00,173.00M,991.00M,8.193B,,324.00M,9.681B,-5.50B,4.181B,2.644B,1.849B,4.493B,337.00M,9.011B,11.71B,723.00M,,76.00M,,799.00M,230.00M,1.029B,35.00M,,,4.00M,4.00M,234.00M,1.364B,4.779B,4.779B,182.00M,182.00M,1.856B,85.00M,501.00M,7.318B,8.682B,2.00M,3.038B,1.709B,1.929B,,,123.00M,2.943B
2012-09,237.00M,0.00,237.00M,954.00M,118.00M,1.072B,559.00M,286.00M,940.00M,,1.269B,95.00M,2.673B,,,,,,,9.58B,-5.467B,4.113B,2.367B,1.882B,4.249B,610.00M,8.972B,11.64B,722.00M,,99.00M,,821.00M,320.00M,1.141B,,,,120.00M,120.00M,,1.464B,4.865B,4.865B,71.00M,71.00M,1.644B,,591.00M,7.171B,8.635B,2.00M,3.139B,1.689B,1.929B,,,109.00M,3.01B
2012-06,3.00B,0.00,3.00B,732.00M,70.00M,802.00M,387.00M,225.00M,732.00M,,775.00M,53.00M,4.63B,,,,,,,8.509B,-5.374B,3.135B,404.00M,,404.00M,397.00M,3.936B,8.566B,497.00M,,83.00M,,580.00M,165.00M,745.00M,,,,5.00M,5.00M,,899.00M,3.83B,3.83B,229.00M,229.00M,1.382B,,103.00M,5.544B,6.443B,2.00M,3.024B,936.00M,1.929B,,,90.00M,2.123B
2012-03,569.00M,80.00M,649.00M,740.00M,68.00M,808.00M,374.00M,229.00M,745.00M,,768.00M,39.00M,2.264B,,,,,,,8.479B,-5.343B,3.136B,408.00M,,408.00M,383.00M,3.927B,6.191B,512.00M,,67.00M,,579.00M,210.00M,789.00M,,,,151.00M,151.00M,,997.00M,1.444B,1.444B,223.00M,223.00M,1.395B,,107.00M,3.169B,4.166B,2.00M,2.882B,918.00M,1.93B,,,153.00M,2.025B
2011-12,577.00M,200.00M,777.00M,632.00M,72.00M,704.00M,353.00M,239.00M,777.00M,,779.00M,42.00M,2.302B,0.00,113.00M,772.00M,7.176B,,322.00M,8.383B,-5.276B,3.107B,406.00M,101.00M,507.00M,268.00M,3.882B,6.184B,529.00M,,40.00M,,569.00M,172.00M,741.00M,,,,153.00M,153.00M,162.00M,1.114B,1.445B,1.445B,210.00M,210.00M,1.411B,31.00M,103.00M,3.169B,4.283B,2.00M,2.76B,900.00M,1.93B,,,138.00M,1.87B
2011-09,448.00M,201.00M,649.00M,711.00M,95.00M,806.00M,402.00M,242.00M,773.00M,,850.00M,49.00M,2.354B,,,,,,,8.303B,-5.245B,3.058B,410.00M,,410.00M,361.00M,3.829B,6.183B,615.00M,,38.00M,,653.00M,337.00M,990.00M,,,,154.00M,154.00M,,1.201B,1.445B,1.445B,241.00M,241.00M,1.243B,,144.00M,3.073B,4.274B,2.00M,3.372B,888.00M,1.906B,,,-447.00M,1.909B
2011-06,634.00M,200.00M,834.00M,769.00M,115.00M,884.00M,359.00M,223.00M,707.00M,,748.00M,42.00M,2.508B,0.00,,,,8.125B,,8.125B,-5.206B,2.919B,379.00M,,379.00M,308.00M,3.606B,6.114B,646.00M,,,159.00M,805.00M,170.00M,975.00M,,,,155.00M,155.00M,,1.192B,1.446B,1.446B,245.00M,245.00M,1.192B,,132.00M,3.015B,4.207B,1.00M,3.244B,876.00M,1.791B,,,-423.00M,1.907B
2011-03,640.00M,200.00M,840.00M,777.00M,111.00M,888.00M,323.00M,203.00M,654.00M,,675.00M,31.00M,2.434B,0.00,,,,8.01B,,8.01B,-5.124B,2.886B,378.00M,,378.00M,311.00M,3.575B,6.009B,,,,,1.048B,,1.048B,,,,7.00M,7.00M,,1.055B,1.596B,1.596B,226.00M,226.00M,1.182B,,133.00M,3.137B,4.192B,1.00M,3.066B,855.00M,1.688B,,,-417.00M,1.817B
2010-12,516.00M,,516.00M,545.00M,131.00M,676.00M,292.00M,206.00M,611.00M,,619.00M,236.00M,2.047B,374.00M,77.00M,743.00M,6.851B,,237.00M,8.282B,-5.063B,3.219B,375.00M,,375.00M,345.00M,3.939B,5.986B,,,,,1.012B,,1.012B,,,,6.00M,6.00M,52.00M,1.07B,1.598B,1.598B,284.00M,284.00M,1.274B,,133.00M,3.289B,4.359B,1.00M,2.88B,793.00M,1.615B,,,-432.00M,1.627B
2010-09,642.00M,,642.00M,701.00M,66.00M,767.00M,299.00M,193.00M,623.00M,,652.00M,40.00M,2.101B,,,,,,,8.712B,-5.546B,3.166B,377.00M,,377.00M,345.00M,3.888B,5.989B,511.00M,,35.00M,215.00M,761.00M,175.00M,936.00M,,,,4.00M,4.00M,,940.00M,1.602B,1.602B,297.00M,297.00M,1.198B,,142.00M,3.239B,4.179B,1.00M,2.894B,710.00M,1.403B,,,-392.00M,1.81B
2010-06,435.00M,,435.00M,721.00M,88.00M,809.00M,297.00M,189.00M,612.00M,,635.00M,30.00M,1.909B,,,,,,,8.631B,-5.476B,3.155B,376.00M,,376.00M,359.00M,3.89B,5.799B,540.00M,,30.00M,175.00M,745.00M,135.00M,880.00M,,,,6.00M,6.00M,,886.00M,1.605B,1.605B,285.00M,285.00M,1.216B,,130.00M,3.236B,4.122B,1.00M,2.756B,697.00M,1.388B,,,-389.00M,1.677B
2010-03,483.00M,,483.00M,687.00M,87.00M,774.00M,286.00M,179.00M,580.00M,,588.00M,32.00M,1.877B,,,,,,,8.626B,-5.459B,3.167B,314.00M,,314.00M,290.00M,3.771B,5.648B,,,,,866.00M,,866.00M,,,,4.00M,4.00M,,870.00M,1.603B,1.603B,261.00M,261.00M,1.225B,,120.00M,3.209B,4.079B,1.00M,2.64B,671.00M,1.355B,,,-388.00M,1.569B
2009-12,793.00M,,793.00M,277.00M,102.00M,379.00M,262.00M,168.00M,547.00M,,531.00M,32.00M,1.735B,0.00,78.00M,849.00M,7.456B,,142.00M,8.525B,-5.415B,3.11B,315.00M,,315.00M,355.00M,3.78B,5.515B,,,,,800.00M,,800.00M,,,,,,,800.00M,1.604B,1.604B,258.00M,258.00M,1.221B,,119.00M,3.202B,4.002B,1.00M,2.571B,661.00M,1.335B,,,-385.00M,1.513B
2009-09,668.00M,,668.00M,316.00M,68.00M,384.00M,259.00M,161.00M,535.00M,,495.00M,33.00M,1.58B,,,,,,,8.636B,-5.363B,3.273B,326.00M,,326.00M,375.00M,3.974B,5.554B,,,,,827.00M,,827.00M,,,,1.00M,1.00M,,828.00M,1.44B,1.44B,274.00M,274.00M,1.25B,,117.00M,3.081B,3.909B,1.00M,2.635B,649.00M,1.314B,,,-326.00M,1.645B
2009-06,450.00M,,450.00M,328.00M,155.00M,483.00M,263.00M,155.00M,510.00M,,443.00M,29.00M,1.405B,,,,,,,8.573B,-5.301B,3.272B,325.00M,,325.00M,354.00M,3.951B,5.356B,,,,,706.00M,,706.00M,,,,11.00M,11.00M,,717.00M,1.44B,1.44B,248.00M,248.00M,1.262B,,114.00M,3.064B,3.781B,1.00M,2.566B,643.00M,1.314B,,,-321.00M,1.575B
2009-03,340.00M,,340.00M,264.00M,89.00M,353.00M,288.00M,181.00M,594.00M,,561.00M,49.00M,1.303B,,,,,,,8.557B,-5.329B,3.228B,324.00M,,324.00M,342.00M,3.894B,5.197B,,,,,756.00M,,756.00M,,,,13.00M,13.00M,,769.00M,1.437B,1.437B,111.00M,111.00M,1.25B,,107.00M,2.905B,3.674B,1.00M,2.533B,639.00M,1.314B,,,-336.00M,1.523B
2008-12,387.00M,,387.00M,275.00M,79.00M,354.00M,328.00M,200.00M,634.00M,,637.00M,45.00M,1.423B,0.00,79.00M,803.00M,7.19B,,455.00M,8.527B,-5.329B,3.198B,325.00M,,325.00M,335.00M,3.858B,5.281B,,,,,819.00M,,819.00M,,,,13.00M,13.00M,,832.00M,1.442B,1.442B,106.00M,106.00M,1.246B,,102.00M,2.896B,3.728B,1.00M,2.563B,638.00M,1.314B,,,-335.00M,1.553B
2008-09,337.00M,,337.00M,548.00M,99.00M,647.00M,333.00M,235.00M,737.00M,,715.00M,66.00M,1.765B,,,,,,,8.448B,-5.355B,3.093B,325.00M,,325.00M,346.00M,3.764B,5.529B,1.019B,,,,1.019B,,1.019B,,,,,,,1.019B,1.436B,1.436B,283.00M,283.00M,,,971.00M,2.69B,3.709B,1.00M,2.598B,627.00M,1.314B,89.00M,-181.00M,-92.00M,1.82B
2008-06,562.00M,,562.00M,644.00M,155.00M,799.00M,329.00M,218.00M,672.00M,,669.00M,102.00M,2.132B,,,,,,,8.376B,-5.341B,3.035B,328.00M,,328.00M,335.00M,3.698B,5.83B,620.00M,,,,620.00M,147.00M,767.00M,,,,73.00M,73.00M,267.00M,1.107B,1.44B,1.44B,286.00M,286.00M,,,985.00M,2.711B,3.818B,1.00M,2.529B,623.00M,1.083B,,,-58.00M,2.012B
2008-03,793.00M,,793.00M,599.00M,105.00M,704.00M,279.00M,219.00M,688.00M,,670.00M,64.00M,2.231B,,,,,,,8.263B,-5.356B,2.907B,318.00M,,318.00M,350.00M,3.575B,5.806B,1.036B,,,,1.036B,,1.036B,,,,72.00M,72.00M,,1.108B,1.557B,1.557B,273.00M,273.00M,,,972.00M,2.802B,3.91B,1.00M,2.448B,587.00M,1.058B,,,-82.00M,1.896B
2007-12,888.00M,,888.00M,546.00M,112.00M,658.00M,247.00M,195.00M,607.00M,,539.00M,208.00M,2.293B,0.00,46.00M,782.00M,7.009B,,315.00M,8.152B,-5.306B,2.846B,316.00M,,316.00M,554.00M,3.716B,6.009B,578.00M,,,,578.00M,174.00M,752.00M,,,,78.00M,78.00M,292.00M,1.122B,1.535B,1.535B,300.00M,300.00M,,,970.00M,2.805B,3.927B,1.00M,2.349B,573.00M,813.00M,157.00M,-185.00M,-28.00M,2.082B
