,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-09,118.00M,,118.00M,,946.00M,,,,,773.00M,,,323.00M,2.16B,,23.18B,-9.219B,13.96B,,,,,,,1.324B,15.29B,17.45B,,841.00M,,841.00M,,841.00M,,,49.00M,,49.00M,,,1.143B,2.033B,,5.271B,,5.271B,2.549B,2.549B,,,,2.894B,10.71B,12.75B,,1.325B,-1.425B,,,1.325B,,,,4.699B,,,
1995-06,315.00M,,315.00M,,987.00M,,,,,721.00M,,,387.00M,2.41B,,22.90B,-9.021B,13.88B,,,,,,,1.35B,15.22B,17.64B,,844.00M,,844.00M,,844.00M,,,146.00M,,146.00M,,,1.241B,2.231B,,5.191B,,5.191B,2.571B,2.571B,,,,2.987B,10.75B,12.98B,,1.325B,-1.564B,,,1.325B,,,,4.655B,,,
1995-03,118.00M,,118.00M,,1.038B,,,,,750.00M,,,381.00M,2.287B,,23.38B,-9.007B,14.37B,,,,,,,1.244B,15.62B,17.90B,,860.00M,,860.00M,,860.00M,,,93.00M,,93.00M,,,1.177B,2.13B,,5.711B,,5.711B,2.539B,2.539B,,,,2.975B,11.22B,13.36B,,1.325B,-1.751B,,,1.325B,,,,4.55B,,,
1994-12,129.00M,,129.00M,,965.00M,,,,,748.00M,,,416.00M,2.258B,,23.39B,-8.884B,14.50B,,,,,,,1.229B,15.73B,17.99B,,847.00M,,847.00M,,847.00M,,,89.00M,,89.00M,,,1.265B,2.201B,,5.823B,,5.823B,2.565B,2.565B,,6.00M,,2.937B,11.32B,13.53B,,1.325B,-1.929B,,,1.325B,,,,4.457B,,,
1994-09,92.00M,,92.00M,,879.00M,,,,,757.00M,,,258.00M,1.986B,,22.88B,-8.654B,14.23B,,,,,,,1.079B,15.31B,17.30B,,817.00M,,817.00M,,817.00M,,,58.00M,,58.00M,,,1.141B,2.016B,,5.682B,,5.682B,2.367B,2.367B,,5.00M,,2.918B,10.97B,12.98B,,1.144B,-1.919B,,,1.144B,,,,4.307B,,,
1994-06,51.00M,,51.00M,,787.00M,,,,,686.00M,,,286.00M,1.81B,,22.86B,-8.527B,14.33B,,,,,,,1.083B,15.41B,17.22B,,786.00M,,786.00M,,786.00M,,,90.00M,,90.00M,,,1.114B,1.99B,,5.606B,,5.606B,2.349B,2.349B,,5.00M,,2.902B,10.86B,12.85B,,1.145B,-1.943B,,,1.145B,,,,4.371B,,,
1994-03,99.00M,,99.00M,,768.00M,,,,,688.00M,,,305.00M,1.86B,,22.74B,-8.34B,14.40B,,,,,,,976.00M,15.37B,17.23B,,752.00M,,752.00M,,752.00M,,,70.00M,,70.00M,,,1.077B,1.899B,,5.538B,,5.538B,2.347B,2.347B,,12.00M,,2.96B,10.84B,12.74B,,1.145B,-1.924B,,,1.145B,,,,4.477B,,,
1993-12,157.00M,,157.00M,,667.00M,,,,,791.00M,,,319.00M,1.934B,,22.43B,-8.144B,14.28B,,,,,,,905.00M,15.19B,17.12B,,870.00M,,870.00M,,870.00M,,,74.00M,,74.00M,,,1.104B,2.048B,,5.728B,,5.728B,2.388B,2.388B,,13.00M,,2.988B,11.10B,13.15B,,575.00M,-1.883B,,,575.00M,,,,3.958B,,,
1993-09,93.00M,,93.00M,,776.00M,,,,,860.00M,,,226.00M,1.955B,,22.10B,-7.978B,14.12B,,,,,,,1.015B,15.13B,17.09B,,832.00M,,832.00M,,832.00M,,,70.00M,,70.00M,,,1.137B,2.039B,,5.596B,,5.596B,2.268B,2.268B,,13.00M,,3.178B,11.04B,13.08B,,575.00M,-1.928B,,,575.00M,,,,3.993B,,,
1993-06,133.00M,,133.00M,,829.00M,,,,,750.00M,,,272.00M,1.984B,,21.91B,-7.797B,14.12B,,,,,,,1.568B,15.68B,17.67B,,821.00M,,821.00M,,821.00M,,,102.00M,,102.00M,,,1.095B,2.018B,,5.283B,,5.283B,,,,12.00M,,6.35B,11.63B,13.65B,,575.00M,-1.999B,,,575.00M,,,,4.006B,,,
1993-03,87.00M,,87.00M,,931.00M,,,,,755.00M,,,352.00M,2.125B,,21.67B,-7.704B,13.96B,,,,,,,1.631B,15.59B,17.72B,,902.00M,,902.00M,,902.00M,,,39.00M,,39.00M,,,1.265B,2.206B,,5.018B,,5.018B,,,,12.00M,,6.47B,11.49B,13.69B,,575.00M,-2.074B,,,575.00M,,,,4.013B,,,
1992-12,85.00M,,85.00M,,987.00M,,,,,817.00M,,,356.00M,2.245B,,21.59B,-7.541B,14.05B,,,,,,,1.581B,15.63B,17.88B,,976.00M,,976.00M,,976.00M,,,99.00M,,99.00M,,,1.215B,2.29B,,5.452B,,5.452B,,,,3.00M,,6.692B,12.14B,14.43B,,,-2.152B,,,,,,,3.44B,,,
1992-09,210.00M,,210.00M,,1.754B,,,,,923.00M,,,100.00M,2.987B,,18.68B,-6.866B,11.82B,,,,,,,1.137B,12.96B,15.94B,,998.00M,,998.00M,,998.00M,,,659.00M,,659.00M,,,1.251B,2.908B,,5.572B,,5.572B,,,,53.00M,,3.074B,8.646B,11.55B,,,-1.318B,,,,,,,4.335B,,,
1992-06,84.00M,,84.00M,,1.671B,,,,,851.00M,,,227.00M,2.833B,,18.59B,-6.727B,11.86B,,,,,,,1.098B,12.96B,15.79B,,921.00M,,921.00M,,921.00M,,,346.00M,,346.00M,,,1.353B,2.62B,,5.556B,,5.556B,,,,53.00M,,3.182B,8.738B,11.36B,,40.00M,-1.377B,,,40.00M,,,,4.381B,,,
1992-03,28.00M,,28.00M,,1.726B,,,,,793.00M,,,164.00M,2.711B,,18.48B,-6.597B,11.88B,,,,,,,1.106B,12.99B,15.70B,,854.00M,,854.00M,,854.00M,,,117.00M,,117.00M,,,1.43B,2.401B,,5.577B,,5.577B,,,,53.00M,,3.30B,8.877B,11.28B,,40.00M,-1.452B,,,40.00M,,,,4.366B,,,
1991-12,191.00M,,191.00M,,1.704B,,,,,818.00M,,,255.00M,2.968B,,18.41B,-6.473B,11.94B,,,,,,,1.21B,13.15B,16.12B,,1.33B,,1.33B,,1.33B,,,78.00M,,78.00M,,,1.37B,2.778B,,5.546B,,5.546B,199.00M,199.00M,,63.00M,,3.189B,8.934B,11.71B,,40.00M,-1.551B,,,40.00M,,,,4.34B,,,
1991-09,21.00M,,21.00M,,2.392B,,,,,816.00M,,,133.00M,3.362B,,18.46B,-6.551B,11.91B,,,,,,,1.339B,13.25B,16.61B,,946.00M,,946.00M,,946.00M,,,606.00M,,606.00M,,,1.658B,3.21B,,5.881B,,5.881B,,,,64.00M,,3.049B,8.93B,12.14B,,13.00M,-1.553B,,,13.00M,,,,4.41B,,,
1991-06,126.00M,,126.00M,,2.376B,,,,,1.096B,,,229.00M,3.827B,,21.46B,-7.576B,13.88B,,,,,,,1.45B,15.33B,19.16B,,1.292B,,1.292B,,1.292B,,,531.00M,,531.00M,,,1.733B,3.556B,,8.079B,,8.079B,,,,178.00M,,3.049B,11.13B,14.68B,,53.00M,-1.724B,,,53.00M,,,,4.297B,,,
1991-03,156.00M,,156.00M,,2.599B,,,,,1.091B,,,245.00M,4.091B,,21.34B,-7.45B,13.89B,,,,,,,1.467B,15.36B,19.45B,,1.423B,,1.423B,,1.423B,,,401.00M,,401.00M,,,1.95B,3.774B,,8.132B,,8.132B,,,,187.00M,,3.148B,11.28B,15.05B,,53.00M,-1.872B,,,53.00M,,,,4.208B,,,
1990-12,285.00M,,285.00M,,2.764B,,,,,1.123B,,,279.00M,4.451B,,21.20B,-7.316B,13.89B,,,,,,,1.405B,15.29B,19.74B,,1.777B,,1.777B,,1.777B,,,301.00M,,301.00M,,,2.236B,4.314B,,7.925B,,7.925B,672.00M,672.00M,,233.00M,,2.474B,11.07B,15.38B,,53.00M,-2.008B,,,53.00M,,,,4.125B,,,
1990-09,185.00M,,185.00M,,2.631B,,,,,1.156B,,,292.00M,4.264B,,22.23B,-7.195B,15.04B,,,,,,,1.785B,16.82B,21.08B,,1.395B,,1.395B,,1.395B,,,225.00M,,225.00M,,,1.603B,3.223B,,8.565B,,8.565B,,,,237.00M,,2.758B,11.32B,14.55B,,53.00M,1.00M,,,53.00M,,,,6.302B,,,
1990-06,195.00M,,195.00M,,2.227B,,,,,1.136B,,,320.00M,3.878B,,22.00B,-7.02B,14.98B,,,,,,,1.757B,16.73B,20.61B,,1.285B,,1.285B,,1.285B,,,326.00M,,326.00M,,,1.602B,3.213B,,8.07B,,8.07B,,,,239.00M,,2.734B,10.80B,14.02B,,53.00M,1.00M,,,53.00M,,,,6.354B,,,
1990-03,201.00M,,201.00M,,2.306B,,,,,1.058B,,,400.00M,3.965B,,21.88B,-6.933B,14.95B,,,,,,,1.771B,16.72B,20.69B,,1.292B,,1.292B,,1.292B,,,238.00M,,238.00M,,,1.707B,3.237B,,7.947B,,7.947B,,,,234.00M,,2.84B,10.79B,14.02B,,53.00M,1.00M,,,53.00M,,,,6.429B,,,
1989-12,209.00M,,209.00M,,2.301B,,,,,1.102B,,,362.00M,3.974B,,21.71B,-6.726B,14.98B,,,,,,,1.782B,16.77B,20.74B,,1.477B,,1.477B,,1.477B,,,279.00M,,279.00M,,,1.849B,3.605B,,8.153B,,8.153B,833.00M,833.00M,,243.00M,,1.995B,10.98B,14.59B,,53.00M,1.00M,,,53.00M,,,,5.912B,,,
1989-09,173.00M,,173.00M,,2.10B,,,,,1.208B,,,375.00M,3.856B,,21.44B,-6.457B,14.99B,,,,,,,1.869B,16.86B,20.71B,,1.142B,,1.142B,,1.142B,,,236.00M,,236.00M,,,1.762B,3.14B,,8.161B,,8.161B,,,,256.00M,,3.118B,11.28B,14.42B,,53.00M,141.00M,,,53.00M,,,,6.037B,,,
1988-12,567.00M,,567.00M,,2.152B,,,,,1.043B,,,191.00M,3.953B,,21.33B,-6.301B,15.03B,,,,,,,1.762B,16.79B,20.75B,,,,,,,,,261.00M,,261.00M,,,3.307B,3.568B,,7.617B,,7.617B,632.00M,632.00M,,,,2.746B,11.00B,14.56B,,,387.00M,,,,,,,6.184B,,,
1987-12,542.00M,,542.00M,,1.918B,,,,,792.00M,,,108.00M,3.36B,,17.63B,-5.718B,11.91B,,,,,,,1.47B,13.38B,16.74B,,,,,,,,,190.00M,,190.00M,,,2.757B,2.947B,,6.422B,,6.422B,589.00M,589.00M,,,,1.657B,8.668B,11.62B,,,736.00M,,,,,,,5.124B,,,
1986-12,654.70M,,654.70M,,1.952B,,,,,955.90M,,,148.00M,3.711B,,17.15B,-4.971B,12.18B,,279.30M,279.30M,,,,1.293B,13.76B,17.47B,,,,,,,,,829.10M,,829.10M,,,2.484B,3.313B,,7.544B,,7.544B,566.10M,566.10M,,,,1.736B,9.845B,13.16B,,,1.047B,,,,,,,4.308B,,,
1985-12,509.60M,,509.60M,,1.575B,,,,,610.60M,,,277.90M,2.973B,,12.07B,-4.643B,7.430B,,286.90M,286.90M,,,,895.80M,8.613B,11.59B,,,,,,,,,340.80M,,340.80M,,,2.129B,2.470B,,3.845B,,3.845B,547.70M,547.70M,,,,1.443B,5.835B,8.305B,,,1.343B,,,,,,,3.281B,,,
1984-12,1.195B,,1.195B,,1.524B,,,,,582.30M,,,50.50M,3.352B,,11.58B,-4.139B,7.437B,,295.10M,295.10M,,,,1.189B,8.921B,12.27B,,,,,,,,,273.30M,,273.30M,,,2.094B,2.367B,,3.882B,,3.882B,652.90M,652.90M,,,,2.803B,7.337B,9.704B,,,1.365B,,,,,,,2.569B,,,
