,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-09,2.547B,,2.547B,3.507B,3.507B,670.00M,,541.00M,,1.122B,,1.765B,890.00M,10.54B,,73.45B,-36.61B,36.84B,,,,1.614B,,1.10B,,39.55B,50.09B,,3.727B,25.00M,3.752B,2.202B,5.954B,,,1.45B,,1.45B,,,29.00M,7.433B,,6.882B,,6.882B,2.579B,2.579B,,,,3.313B,12.77B,20.21B,,178.00M,31.71B,7.664B,9.113B,,,,-559.00M,29.88B,,AOR,Restated
2015-06,2.756B,,2.756B,3.973B,3.973B,712.00M,,497.00M,,1.12B,,2.382B,777.00M,11.01B,,77.38B,-36.90B,40.48B,,,,1.762B,,1.121B,,43.36B,54.37B,,4.145B,0.00,4.145B,2.23B,6.375B,,,1.45B,,1.45B,,,,7.825B,,6.88B,,6.88B,3.153B,3.153B,,,,3.209B,13.24B,21.07B,,178.00M,34.90B,7.651B,9.107B,,,,-316.00M,33.30B,,AOR,Restated
2015-03,2.153B,,2.153B,3.068B,3.068B,690.00M,,533.00M,,1.133B,,3.265B,815.00M,10.43B,,75.98B,-35.87B,40.11B,,,,1.765B,,1.081B,,42.96B,53.39B,,3.867B,196.00M,4.063B,2.152B,6.215B,,,700.00M,,700.00M,,,,6.915B,,6.139B,,6.139B,2.947B,2.947B,,,,3.224B,12.31B,19.22B,,178.00M,35.29B,7.632B,8.734B,,,,-206.00M,34.16B,,AOR,Restated
2014-12,3.789B,,3.789B,4.206B,4.206B,656.00M,,485.00M,,1.052B,,4.019B,807.00M,13.87B,74.52B,74.52B,-34.78B,39.73B,,,,1.565B,,1.091B,,42.39B,56.26B,,5.229B,414.00M,5.643B,2.601B,8.244B,,,,,,,,,8.244B,,6.838B,,6.838B,3.015B,3.015B,,,,3.203B,13.06B,21.30B,,178.00M,36.07B,7.599B,8.528B,,,,-357.00M,34.96B,,AOR,Restated
2014-09,2.897B,,2.897B,4.96B,4.96B,737.00M,,713.00M,,1.359B,,,1.291B,10.51B,,94.77B,-36.31B,58.46B,,,,1.544B,,994.00M,,61.00B,71.51B,,5.511B,74.00M,5.585B,2.337B,7.922B,,,1.599B,,1.599B,,,,9.521B,,6.837B,,6.837B,7.634B,7.634B,,606.00M,,3.433B,17.90B,27.42B,,178.00M,44.17B,7.57B,8.146B,,,,-289.00M,43.48B,,AOR,Restated
2014-06,2.391B,,2.391B,5.826B,5.826B,721.00M,,693.00M,,1.323B,,,1.246B,10.79B,,92.14B,-35.00B,57.13B,,,,1.547B,,826.00M,,59.51B,70.29B,,6.097B,440.00M,6.537B,2.332B,8.869B,,,,,,,,,8.869B,,6.835B,,6.835B,7.313B,7.313B,,523.00M,,3.464B,17.61B,26.48B,,178.00M,43.52B,7.564B,7.681B,,,,-291.00M,43.29B,,AOR,Restated
2014-03,2.332B,,2.332B,5.233B,5.233B,711.00M,,688.00M,,1.308B,,,1.201B,10.90B,,89.79B,-33.75B,56.04B,,,,1.511B,,821.00M,,58.38B,69.28B,,5.423B,326.00M,5.749B,2.346B,8.095B,,,,,,,,95.00M,8.19B,,6.877B,,6.877B,7.398B,7.398B,,371.00M,,3.441B,17.72B,25.91B,,178.00M,42.65B,7.543B,7.079B,,,,-296.00M,43.00B,,AOR,Restated
2013-12,3.393B,,3.393B,5.674B,5.674B,702.00M,,589.00M,,1.20B,,0.00,1.056B,11.32B,89.05B,89.05B,-33.23B,55.82B,,,,1.459B,,840.00M,,58.12B,69.44B,,5.52B,358.00M,5.878B,2.556B,8.434B,,,,,,,,,8.434B,,6.939B,,6.939B,7.197B,7.197B,,246.00M,,3.501B,17.64B,26.07B,,178.00M,41.83B,7.515B,6.095B,,,,-303.00M,43.13B,,AOR,Restated
2013-09,3.771B,,3.771B,5.653B,5.653B,721.00M,,708.00M,,1.328B,,,1.186B,11.94B,,86.87B,-31.84B,55.03B,,,,1.713B,,759.00M,,57.50B,69.44B,,5.671B,83.00M,5.754B,2.488B,8.242B,,,600.00M,,600.00M,,,,8.842B,,6.961B,,6.961B,7.048B,7.048B,,178.00M,,3.618B,17.63B,26.47B,,178.00M,40.70B,7.508B,5.148B,,,,-448.00M,42.79B,,AOR,Restated
2013-06,3.069B,,3.069B,5.221B,5.221B,716.00M,,725.00M,,1.34B,,,1.229B,10.86B,,84.48B,-30.54B,53.95B,,,,1.808B,,806.00M,,56.56B,67.42B,,5.274B,29.00M,5.303B,2.331B,7.634B,,,600.00M,,600.00M,,,,8.234B,,7.026B,,7.026B,6.658B,6.658B,,97.00M,,3.654B,17.34B,25.57B,,178.00M,39.63B,7.51B,5.113B,,,,-456.00M,41.75B,,AOR,Restated
