,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-03,2.957B,2.957B,2.368B,589.00M,272.00M,13.00M,-13.00M,68.00M,81.00M,21.00M,-60.00M,11.00M,351.00M,238.00M,21.00M,81.00M,-60.00M,-13.00M,-60.00M,165.00M,78.00M,117.00M,,,,,117.00M,124.80M,1.188B,942.00M,246.00M,,0.15,,,,0.1602,0.15,,0.15,,,,0.1602,0.15,,764.40M,765.20M,0.76,,AOR,Restated
2016-12,2.788B,2.788B,2.376B,412.00M,404.00M,526.00M,-522.00M,67.00M,76.00M,34.00M,-42.00M,17.00M,488.00M,-76.00M,34.00M,76.00M,-42.00M,-522.00M,-42.00M,-640.00M,-333.00M,-268.00M,-4.00M,,,,-272.00M,45.20M,486.00M,1.05B,-564.00M,,-0.35,-0.01,,,0.0599,-0.36,,-0.3507,-0.01,,,0.0592,-0.36,,764.10M,764.10M,0.76,,AOR,Restated
2016-09,2.648B,2.648B,2.384B,264.00M,316.00M,221.00M,-161.00M,61.00M,68.00M,25.00M,-43.00M,9.00M,386.00M,-122.00M,25.00M,68.00M,-43.00M,-161.00M,-43.00M,-326.00M,-30.00M,-238.00M,-3.00M,,,,-241.00M,-94.71M,788.00M,1.046B,-258.00M,,-0.31,-0.01,,,-0.1224,-0.32,,-0.31,-0.01,,,-0.1224,-0.32,,764.00M,764.00M,0.76,,AOR,Restated
2016-06,2.531B,2.531B,2.314B,217.00M,338.00M,0.00,0.00,74.00M,88.00M,27.00M,-61.00M,27.00M,439.00M,-222.00M,27.00M,88.00M,-61.00M,0.00,-61.00M,-283.00M,-96.00M,-136.00M,-3.00M,,,,-139.00M,-136.00M,875.00M,1.07B,-195.00M,,-0.18,0.00,,,-0.18,-0.18,,-0.18,0.00,,,-0.18,-0.18,,763.60M,763.60M,0.75,,AOR,Restated
2016-03,2.123B,2.123B,2.383B,-260.00M,272.00M,78.00M,60.00M,75.00M,60.00M,20.00M,-40.00M,9.00M,356.00M,-616.00M,20.00M,60.00M,-40.00M,60.00M,-40.00M,-596.00M,-203.00M,-360.00M,438.00M,,,,78.00M,-398.40M,566.00M,1.102B,-536.00M,,-0.47,0.57,,,-0.5203,0.10,,-0.47,0.57,,,-0.5203,0.10,,763.40M,763.40M,0.75,,AOR,Restated
2015-12,2.806B,2.806B,2.63B,176.00M,320.00M,6.518B,-6.511B,50.00M,61.00M,30.00M,-31.00M,13.00M,383.00M,-207.00M,30.00M,61.00M,-31.00M,-6.511B,-31.00M,-6.749B,-1.19B,-5.505B,327.00M,,,,-5.178B,-142.04M,-5.412B,1.276B,-6.688B,,-7.21,0.43,,,-0.1831,-6.78,,-7.213,0.4285,,,-0.1861,-6.78,,763.20M,763.20M,0.75,,AOR,Restated
2015-09,3.116B,3.116B,2.536B,580.00M,292.00M,3.397B,-3.298B,79.00M,48.00M,31.00M,-17.00M,5.00M,376.00M,204.00M,31.00M,48.00M,-17.00M,-3.298B,-17.00M,-3.111B,-445.00M,-2.606B,-3.00M,,0.00,,-2.609B,197.30M,-1.94B,1.123B,-3.063B,,-3.41,-0.01,,,0.2626,-3.42,,-3.41,-0.01,,,0.2626,-3.42,,763.30M,763.30M,0.75,,AOR,Restated
2015-06,3.469B,3.469B,2.596B,873.00M,347.00M,0.00,19.00M,107.00M,8.00M,26.00M,18.00M,10.00M,464.00M,409.00M,26.00M,8.00M,18.00M,19.00M,18.00M,446.00M,324.00M,180.00M,-4.00M,,,,176.00M,168.60M,1.57B,1.116B,454.00M,,0.23,0.00,,,0.2151,0.23,,0.23,0.00,,,0.2151,0.23,,766.40M,766.60M,0.75,,AOR,Restated
2015-03,3.089B,3.089B,2.586B,503.00M,311.00M,324.00M,-348.00M,107.00M,30.00M,31.00M,1.00M,8.00M,426.00M,77.00M,31.00M,30.00M,1.00M,-348.00M,1.00M,-270.00M,-19.00M,-215.00M,-3.00M,,,,-218.00M,105.16M,789.00M,1.029B,-240.00M,,-0.28,0.00,,,0.1360,-0.28,,-0.28,0.00,,,0.1360,-0.28,,769.60M,769.60M,0.72,,AOR,Restated
2014-12,4.307B,4.307B,2.937B,1.37B,402.00M,6.908B,-4.923B,120.00M,19.00M,22.00M,3.00M,59.00M,581.00M,789.00M,22.00M,19.00M,3.00M,-4.923B,3.00M,-4.131B,-617.00M,-3.426B,19.00M,,-6.00M,,-3.413B,755.71M,-2.908B,1.204B,-4.112B,,-4.36,0.02,,,1.055,-4.34,,-4.36,0.02,,,1.055,-4.34,,773.30M,773.30M,0.72,,AOR,Restated
2014-09,4.904B,4.904B,2.792B,2.112B,355.00M,0.00,-5.00M,135.00M,16.00M,31.00M,15.00M,28.00M,518.00M,1.594B,31.00M,16.00M,15.00M,-5.00M,15.00M,1.604B,699.00M,998.00M,213.00M,,-3.00M,,1.208B,998.25M,2.676B,1.056B,1.62B,,1.28,0.27,,,1.284,1.55,,1.28,0.27,,,1.284,1.55,,777.40M,777.70M,0.72,,AOR,Restated
2014-06,5.133B,5.133B,2.715B,2.418B,429.00M,471.00M,54.00M,144.00M,20.00M,47.00M,27.00M,39.00M,612.00M,1.806B,47.00M,20.00M,27.00M,54.00M,27.00M,1.887B,809.00M,1.161B,273.00M,,-3.00M,,1.431B,1.123B,2.931B,1.024B,1.907B,,1.48,0.35,,,1.435,1.83,,1.47,0.35,,,1.425,1.82,,782.60M,782.90M,0.72,,AOR,Restated
2014-03,4.968B,4.968B,2.62B,2.348B,317.00M,0.00,0.00,151.00M,22.00M,30.00M,8.00M,24.00M,492.00M,1.856B,30.00M,22.00M,8.00M,0.00,8.00M,1.864B,794.00M,1.137B,255.00M,,-2.00M,,1.39B,1.135B,2.863B,977.00M,1.886B,,1.43,0.32,,,1.43,1.75,,1.43,0.32,,,1.43,1.75,,791.30M,791.70M,0.72,,AOR,Restated
2013-12,1.887B,1.887B,1.169B,718.00M,197.00M,621.00M,423.00M,-4.00M,39.00M,18.00M,-21.00M,-56.00M,137.00M,581.00M,18.00M,39.00M,-21.00M,423.00M,-21.00M,983.00M,432.00M,658.00M,985.00M,,,,1.643B,383.05M,1.329B,307.00M,1.022B,,2.05,-0.01,,,1.707,2.04,,2.05,-0.01,,,1.707,2.04,,802.00M,802.20M,0.64,,AOR,Restated
2013-09,6.449B,6.449B,3.214B,3.235B,459.00M,0.00,0.00,186.00M,29.00M,26.00M,-3.00M,68.00M,713.00M,2.522B,26.00M,29.00M,-3.00M,0.00,-3.00M,2.519B,1.037B,1.588B,-5.00M,,0.00,,1.583B,1.588B,3.882B,1.334B,2.548B,,1.97,-0.01,,,1.97,1.96,,1.97,-0.01,,,1.97,1.96,,805.10M,805.70M,0.64,,AOR,Restated
2013-06,5.962B,5.962B,3.18B,2.782B,495.00M,0.00,131.00M,196.00M,30.00M,28.00M,-2.00M,78.00M,769.00M,2.013B,28.00M,30.00M,-2.00M,131.00M,-2.00M,2.142B,901.00M,1.327B,-5.00M,,0.00,,1.322B,1.248B,3.475B,1.303B,2.172B,,1.65,-0.01,,,1.552,1.64,,1.64,-0.01,,,1.542,1.64,,804.90M,805.40M,0.64,,AOR,Restated
2013-03,5.872B,5.872B,3.137B,2.735B,393.00M,,,186.00M,34.00M,35.00M,1.00M,50.00M,629.00M,2.106B,35.00M,34.00M,1.00M,,1.00M,2.107B,844.00M,1.359B,-4.00M,,0.00,,1.355B,1.359B,3.40B,1.259B,2.141B,,1.69,-0.01,,,1.69,1.68,,1.69,-0.01,,,1.69,1.68,,804.70M,805.20M,0.64,,AOR,Restated
2012-12,2.099B,2.099B,929.00M,1.17B,203.00M,,-1.71B,0.00,60.00M,15.00M,-45.00M,-66.00M,137.00M,1.033B,15.00M,60.00M,-45.00M,0.00,-45.00M,-722.00M,-210.00M,-442.00M,778.00M,,,,336.00M,770.63M,-397.00M,265.00M,-662.00M,,0.45,-0.03,,,1.953,0.42,,0.45,-0.03,,,1.952,0.42,,806.90M,807.60M,0.54,,AOR,Restated
2012-09,5.965B,5.965B,3.176B,2.789B,394.00M,,0.00,172.00M,36.00M,26.00M,-10.00M,69.00M,635.00M,2.154B,26.00M,36.00M,-10.00M,0.00,-10.00M,2.144B,855.00M,1.379B,-4.00M,,,,1.375B,1.379B,3.328B,1.148B,2.18B,,1.70,-0.01,,,1.70,1.69,,1.70,-0.01,,,1.70,1.69,,809.70M,810.40M,0.54,,AOR,Restated
2012-06,5.768B,5.768B,3.06B,2.708B,335.00M,,0.00,167.00M,28.00M,24.00M,-4.00M,96.00M,598.00M,2.11B,24.00M,28.00M,-4.00M,0.00,-4.00M,2.106B,875.00M,1.332B,-4.00M,,,,1.328B,1.332B,3.221B,1.087B,2.134B,,1.64,0.00,,,1.64,1.64,,1.64,0.00,,,1.64,1.64,,810.30M,811.00M,0.54,,AOR,Restated
2012-03,6.268B,6.268B,2.95B,3.318B,434.00M,,,174.00M,30.00M,15.00M,-15.00M,98.00M,706.00M,2.612B,15.00M,30.00M,-15.00M,,-15.00M,2.597B,1.139B,1.56B,-1.00M,,,,1.559B,1.56B,3.712B,1.085B,2.627B,,1.92,0.00,,,1.92,1.92,,1.92,0.00,,,1.92,1.92,,810.50M,811.30M,0.54,,AOR,Restated
2011-12,6.034B,6.034B,2.851B,3.183B,452.00M,,,140.00M,31.00M,44.00M,13.00M,73.00M,665.00M,2.518B,44.00M,31.00M,13.00M,,13.00M,2.509B,949.00M,1.641B,-7.00M,,,,1.634B,1.641B,3.478B,938.00M,2.54B,,2.02,-0.01,,,2.02,2.01,,2.02,-0.01,,,2.02,2.01,,810.60M,811.70M,0.46,,AOR,Restated
2011-09,6.006B,6.006B,2.879B,3.127B,242.00M,,,152.00M,25.00M,70.00M,45.00M,39.00M,433.00M,2.694B,70.00M,25.00M,45.00M,0.00,45.00M,2.739B,1.087B,1.775B,-4.00M,,,,1.771B,1.775B,3.688B,924.00M,2.764B,,2.18,-0.01,,,2.18,2.17,,2.18,-0.01,,,2.18,2.17,,812.50M,813.20M,0.46,,AOR,Restated
2011-06,6.173B,6.173B,2.72B,3.453B,388.00M,,,162.00M,27.00M,35.00M,8.00M,62.00M,612.00M,2.841B,35.00M,27.00M,8.00M,0.00,8.00M,2.849B,1.111B,1.819B,-2.00M,,,,1.817B,1.819B,3.715B,839.00M,2.876B,,2.23,0.00,,,2.23,2.23,,2.23,0.00,,,2.23,2.23,,812.50M,813.30M,0.46,,AOR,Restated
2011-03,5.726B,5.726B,2.526B,3.20B,441.00M,,,151.00M,215.00M,31.00M,-184.00M,84.00M,676.00M,2.524B,31.00M,215.00M,-184.00M,22.00M,-184.00M,2.362B,1.054B,1.405B,144.00M,,,,1.549B,1.405B,3.467B,890.00M,2.577B,,1.72,0.18,,,1.72,1.90,,1.72,0.18,,,1.72,1.90,,812.60M,813.40M,0.46,,AOR,Restated
2010-12,5.063B,5.063B,2.377B,2.686B,488.00M,,,128.00M,24.00M,24.00M,0.00,54.00M,670.00M,2.016B,24.00M,24.00M,0.00,-276.00M,0.00,1.74B,618.00M,1.206B,20.00M,,-14.00M,,1.212B,1.192B,2.564B,800.00M,1.764B,,1.47,0.02,,,1.47,1.49,,1.47,0.02,,,1.47,1.49,,812.80M,813.80M,0.38,,AOR,Restated
2010-09,4.763B,4.763B,2.323B,2.44B,277.00M,,,110.00M,25.00M,27.00M,2.00M,83.00M,470.00M,1.97B,27.00M,25.00M,2.00M,6.00M,2.00M,1.978B,822.00M,1.225B,-12.00M,,-22.00M,,1.191B,1.203B,2.795B,792.00M,2.003B,,1.48,-0.02,,,1.48,1.46,,1.48,-0.02,,,1.48,1.46,,812.70M,813.90M,0.38,,AOR,Restated
2010-06,4.603B,4.603B,2.292B,2.311B,282.00M,,,125.00M,30.00M,40.00M,10.00M,69.00M,476.00M,1.835B,40.00M,30.00M,10.00M,-6.00M,10.00M,1.839B,809.00M,1.089B,-14.00M,,-12.00M,,1.063B,1.077B,2.667B,798.00M,1.869B,,1.32,-0.01,,,1.32,1.31,,1.32,-0.01,,,1.32,1.31,,812.60M,813.80M,0.38,,AOR,Restated
2010-03,4.616B,4.616B,2.273B,2.343B,349.00M,,,121.00M,37.00M,21.00M,-16.00M,56.00M,526.00M,1.817B,21.00M,37.00M,-16.00M,1.00M,-16.00M,1.802B,746.00M,1.121B,-33.00M,,-24.00M,,1.064B,1.097B,2.602B,763.00M,1.839B,,1.35,-0.04,,,1.35,1.31,,1.35,-0.04,,,1.35,1.31,,812.10M,813.50M,0.33,,AOR,Restated
2009-12,3.95B,4.071B,-1.062B,5.133B,309.00M,,,105.00M,34.00M,,-114.00M,,3.091B,2.042B,,34.00M,-114.00M,,-114.00M,1.928B,818.00M,1.183B,-229.00M,,-16.00M,,938.00M,1.167B,2.352B,390.00M,1.962B,,1.44,-0.28,,,1.44,1.16,,1.43,-0.28,,,1.43,1.15,,811.90M,813.50M,0.33,,AOR,Restated
2009-09,4.104B,4.104B,2.186B,1.918B,359.00M,,,105.00M,40.00M,22.00M,-18.00M,10.00M,474.00M,1.444B,22.00M,40.00M,-18.00M,,-18.00M,1.426B,549.00M,943.00M,-2.00M,,-14.00M,,927.00M,929.00M,2.235B,769.00M,1.466B,,1.14,0.00,,,1.14,1.14,,1.14,0.00,,,1.14,1.14,,811.80M,814.40M,0.33,,AOR,Restated
2009-06,3.687B,3.722B,2.113B,1.609B,362.00M,,,110.00M,32.00M,28.00M,-4.00M,,472.00M,1.137B,28.00M,32.00M,-4.00M,,-4.00M,1.105B,455.00M,696.00M,-2.00M,,-12.00M,,682.00M,684.00M,1.879B,742.00M,1.137B,,0.84,0.00,,,0.84,0.84,,0.84,0.00,,,0.84,0.84,,811.00M,814.00M,0.33,,AOR,Restated
2009-03,3.073B,3.103B,2.122B,981.00M,270.00M,,,105.00M,27.00M,,-27.00M,,375.00M,606.00M,,27.00M,-27.00M,42.00M,-27.00M,579.00M,241.00M,380.00M,-3.00M,,-9.00M,,368.00M,371.00M,1.392B,786.00M,606.00M,,0.45,0.00,,,0.45,0.45,,0.45,0.00,,,0.45,0.45,,810.70M,813.30M,0.32,,AOR,Restated
2008-12,4.021B,4.284B,-430.00M,4.714B,-16.00M,,-672.00M,,,,,,3.282B,1.432B,,,,-840.00M,,533.00M,118.00M,564.00M,-5.00M,,-12.00M,,443.00M,971.23M,1.538B,753.00M,785.00M,,0.56,-0.01,,,1.206,0.55,,0.56,-0.01,,,1.205,0.55,,810.10M,810.60M,0.32,,AOR,Restated
2008-09,7.06B,7.06B,2.905B,4.155B,391.00M,,,,,,,,391.00M,3.764B,,,,57.00M,,3.799B,1.546B,2.272B,-1.00M,,-38.00M,,2.271B,2.272B,4.447B,683.00M,3.764B,,2.79,0.00,,,2.79,2.79,,2.78,0.00,,,2.78,2.78,,815.30M,817.70M,0.32,,,
2008-06,7.116B,7.22B,2.668B,4.552B,406.00M,,,171.00M,32.00M,73.00M,41.00M,,577.00M,3.975B,73.00M,32.00M,41.00M,,41.00M,3.943B,1.671B,2.337B,-3.00M,,-37.00M,,2.297B,2.30B,4.596B,621.00M,3.975B,,2.79,0.00,,,2.79,2.79,,2.78,0.00,,,2.78,2.78,,821.30M,825.20M,0.32,,,Restated
2008-03,6.02B,6.074B,2.484B,3.59B,323.00M,,,133.00M,38.00M,60.00M,22.00M,,456.00M,3.134B,60.00M,38.00M,22.00M,,22.00M,3.096B,1.294B,1.848B,27.00M,,-29.00M,,1.846B,1.819B,3.787B,653.00M,3.134B,,2.21,0.03,,,2.21,2.24,,2.19,0.03,,,2.19,2.22,,825.50M,829.80M,0.25,,,Restated
2007-12,5.517B,6.746B,-56.00M,6.802B,227.00M,,-935.00M,,,,,,3.16B,3.642B,,,,-988.00M,,2.507B,1.057B,1.448B,4.00M,,,,1.452B,2.056B,4.223B,639.00M,3.584B,,1.74,0.01,,,2.357,1.75,,1.74,0.01,,,2.357,1.75,,985.00M,985.00M,0.25,,,Restated
2007-09,4.841B,4.841B,2.423B,2.418B,415.00M,,157.00M,,,,,,415.00M,2.003B,,,,182.00M,,2.169B,862.00M,1.316B,8.00M,,-16.00M,,1.324B,1.221B,2.605B,602.00M,2.003B,,1.58,0.01,,,1.466,1.59,,1.57,0.01,,,1.457,1.58,,833.10M,837.00M,0.25,,,
2007-06,4.411B,4.411B,2.298B,2.113B,394.00M,,308.00M,,,,,,394.00M,1.719B,,,,326.00M,,2.052B,904.00M,1.145B,267.00M,,-21.00M,,1.412B,944.80M,2.283B,564.00M,1.719B,,1.36,0.32,,,1.121,1.68,,1.36,0.32,,,1.122,1.68,,837.70M,841.80M,0.22,,,
2007-03,4.015B,4.015B,2.051B,1.964B,493.00M,,412.00M,,,,,,493.00M,1.471B,,,,422.00M,,1.85B,684.00M,1.169B,43.00M,,-7.00M,,1.212B,909.33M,2.045B,574.00M,1.471B,,1.39,0.05,,,1.081,1.44,,1.38,0.05,,,1.073,1.43,,841.00M,846.50M,0.22,,,
2006-12,4.038B,4.537B,217.00M,4.32B,353.00M,,93.00M,,,,,,2.361B,1.959B,,,,108.00M,,1.642B,771.00M,870.00M,60.00M,,-16.00M,,930.00M,814.20M,2.521B,562.00M,1.959B,,1.03,0.07,,,0.9642,1.10,,1.02,0.07,,,0.9546,1.09,,847.80M,852.60M,0.22,,,
2006-09,4.402B,4.402B,2.14B,2.262B,352.00M,,6.00M,,,,,,352.00M,1.91B,,,,62.00M,,2.013B,858.00M,1.103B,67.00M,,-24.00M,,1.17B,1.099B,2.426B,516.00M,1.91B,,1.29,0.08,,,1.286,1.37,,1.28,0.08,,,1.276,1.36,,852.80M,860.30M,0.22,,,
2006-06,4.47B,4.47B,2.152B,2.318B,352.00M,,16.00M,,,,,,352.00M,1.966B,,,,59.00M,,1.984B,851.00M,1.142B,-282.00M,,-34.00M,,860.00M,1.132B,2.433B,467.00M,1.966B,,1.33,-0.33,,,1.319,1.00,,1.32,-0.33,,,1.309,0.99,,860.20M,867.70M,0.18,,,
2006-03,4.396B,4.453B,2.006B,2.447B,351.00M,,3.00M,,,,,,351.00M,2.096B,,,,72.00M,,2.116B,907.00M,1.153B,78.00M,,-37.00M,,1.231B,1.151B,2.559B,463.00M,2.096B,,1.36,0.09,,,1.358,1.45,,1.34,0.09,,,1.338,1.43,,848.50M,860.90M,0.18,,,
2005-12,3.738B,3.799B,573.00M,3.226B,268.00M,,0.00,,,,,,1.64B,1.586B,,,,66.00M,,1.525B,657.00M,904.00M,260.00M,0.00,-30.00M,,1.164B,904.00M,1.923B,337.00M,1.586B,,1.11,0.32,0.00,,1.11,1.435,,1.09,0.32,-0.0000,,1.09,1.415,,812.00M,823.30M,0.18,,,
2005-09,3.857B,4.634B,1.842B,2.792B,521.00M,,723.00M,,,,,,521.00M,2.271B,,,,773.00M,,2.175B,574.00M,1.657B,87.00M,3.00M,6.00M,,1.747B,1.125B,2.633B,362.00M,2.271B,,2.05,0.11,0.00,,1.392,2.16,,2.01,0.11,0.0036,,1.363,2.12,,808.50M,822.40M,0.155,,,
2005-06,3.385B,3.561B,1.695B,1.866B,315.00M,,143.00M,,,,,,315.00M,1.551B,,,,188.00M,,1.49B,26.00M,1.48B,56.00M,,-29.00M,,1.536B,1.339B,1.88B,329.00M,1.551B,,1.84,0.07,,,1.665,1.91,,1.815,0.07,,,1.643,1.885,,803.80M,814.60M,0.155,,,
