,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-03,,6.154B,,6.154B,,,,6.154B,,,,,,,,2.057B,8.419B,2.698B,11.12B,189.10B,3.947B,,185.15B,39.27B,257.47B,263.62B,,,26.01B,26.01B,26.01B,26.01B,38.82B,,38.82B,162.57B,719.00M,201.39B,235.68B,,7.959B,23.02B,5.744B,6.546B,7.939B,-2.949B,27.22B,,AOR,Restated
2008-12,,6.859B,,6.859B,,,,6.859B,343.00M,2.465B,2.487B,106.00M,91.00M,5.492B,-3.702B,1.79B,8.571B,2.834B,11.40B,188.44B,3.514B,,184.92B,39.52B,259.05B,265.91B,,,33.98B,33.98B,33.98B,33.98B,38.36B,,38.36B,159.35B,733.00M,197.71B,238.88B,,7.951B,22.54B,5.83B,6.659B,7.931B,-3.363B,26.30B,,,Restated
2008-09,,7.118B,,7.118B,,,,7.118B,,,,,,,,1.775B,,,11.06B,172.98B,2.767B,,170.21B,39.35B,239.94B,247.06B,,,37.42B,37.42B,37.42B,37.42B,40.11B,,40.11B,139.50B,,179.61B,225.38B,,1.52B,23.03B,5.646B,6.695B,1.50B,-1.828B,21.68B,,,Restated
2008-06,,7.956B,,7.956B,,,,7.956B,,,,,,,,1.811B,,,11.16B,169.68B,2.518B,,167.16B,41.12B,238.58B,246.54B,,,41.11B,41.11B,41.11B,41.11B,39.94B,,39.94B,135.13B,,175.07B,224.71B,,1.52B,23.22B,5.682B,7.075B,1.50B,-1.519B,21.83B,,,Restated
2008-03,,7.323B,,7.323B,,,,7.323B,,,,,,,,1.805B,,,10.65B,163.54B,2.251B,,161.29B,41.70B,234.46B,241.78B,,,36.39B,36.39B,36.39B,36.39B,36.23B,,36.23B,138.27B,,174.50B,220.21B,,1.52B,23.03B,5.677B,7.178B,1.50B,-1.48B,21.57B,,,Restated
2007-12,,8.884B,,8.884B,,,,8.884B,,,,,,,,1.779B,,,10.69B,158.65B,2.058B,,156.59B,43.12B,228.73B,237.62B,,,32.37B,32.37B,32.37B,32.37B,43.44B,,43.44B,131.44B,,174.88B,216.57B,,1.02B,22.69B,5.749B,7.48B,1.00B,-936.00M,21.05B,,,
2007-09,,6.636B,,6.636B,,,,6.636B,,,,,,,,1.779B,,,10.75B,153.64B,2.041B,,151.60B,40.37B,220.99B,227.63B,,,28.87B,28.87B,28.87B,28.87B,45.24B,,45.24B,122.75B,,167.99B,206.86B,,1.02B,22.58B,5.748B,7.554B,1.00B,-1.028B,20.77B,,,
2007-06,,6.534B,,6.534B,,,,6.534B,,,,,,,,1.798B,,,10.94B,150.26B,2.028B,,148.23B,39.51B,216.00B,222.53B,,,27.16B,27.16B,27.16B,27.16B,45.95B,,45.95B,119.70B,,165.65B,202.20B,,1.02B,22.11B,5.748B,7.476B,1.00B,-1.072B,20.33B,,,
2007-03,,6.287B,,6.287B,,,,6.287B,,,,,,,,1.818B,,,10.80B,148.92B,2.027B,,146.89B,40.59B,215.16B,221.45B,,,28.52B,28.52B,28.52B,28.52B,44.70B,,44.70B,118.06B,,162.76B,200.65B,,1.02B,21.66B,5.745B,6.972B,1.00B,-653.00M,20.80B,,,
2006-12,,8.639B,,8.639B,,,,8.639B,,,,,,,,1.835B,,,10.76B,146.85B,2.022B,,144.83B,40.12B,210.59B,219.23B,,,26.93B,26.93B,26.93B,26.93B,37.60B,,37.60B,124.88B,,162.48B,198.04B,,1.02B,21.24B,5.762B,6.091B,1.00B,-736.00M,21.20B,,,
2006-09,,6.355B,,6.355B,,,,6.355B,,,,,,,,1.835B,,,10.62B,147.06B,2.034B,,145.02B,39.52B,210.50B,216.86B,,,24.78B,24.78B,24.78B,24.78B,41.23B,,41.23B,120.96B,,162.19B,195.93B,,1.02B,20.77B,5.77B,6.093B,1.00B,-541.00M,20.93B,,,
2006-06,,7.234B,,7.234B,,,,7.234B,,,,,,,,1.817B,,,10.44B,143.97B,2.039B,,141.93B,38.46B,206.17B,213.40B,,,20.57B,20.57B,20.57B,20.57B,41.95B,,41.95B,122.72B,,164.67B,192.99B,,1.02B,20.16B,5.789B,5.421B,1.00B,-1.137B,20.42B,,,
2006-03,,7.05B,,7.05B,,,,7.05B,,,,,,,,1.817B,,,10.40B,140.84B,2.035B,,138.80B,39.40B,202.86B,209.91B,,,20.65B,20.65B,20.65B,20.65B,39.33B,,39.33B,121.74B,,161.07B,189.65B,,1.02B,19.57B,5.819B,5.394B,1.00B,-757.00M,20.26B,,,
2005-12,,8.004B,,8.004B,,,,8.004B,,,,,,,,1.841B,,,9.879B,139.49B,2.041B,,137.45B,39.77B,201.46B,209.46B,,,20.20B,20.20B,20.20B,20.20B,37.07B,,37.07B,124.71B,,161.78B,189.38B,,20.00M,19.00B,5.907B,4.413B,,-429.00M,20.09B,,,
2005-09,,6.918B,,6.918B,,,,6.918B,,,,,,,,1.85B,,,8.958B,138.32B,2.055B,,136.27B,41.52B,199.89B,206.90B,,,23.06B,23.06B,23.06B,23.06B,36.26B,,36.26B,120.80B,,157.05B,187.03B,,20.00M,18.46B,5.913B,4.318B,,-208.00M,19.86B,,,
2005-06,,6.442B,,6.442B,,,,6.442B,,,,,,,,1.864B,,,8.956B,135.18B,2.082B,,133.10B,42.30B,197.44B,203.98B,,,20.43B,20.43B,20.43B,20.43B,34.79B,,34.79B,121.82B,,156.61B,184.08B,,20.00M,17.85B,5.903B,3.984B,,113.00M,19.90B,,,
2005-03,,5.881B,,5.881B,,,,5.881B,,,,,,,,1.877B,,,8.81B,130.54B,2.082B,,128.46B,43.10B,192.49B,198.47B,,,14.27B,14.27B,14.27B,14.27B,38.07B,,38.07B,119.72B,,157.79B,179.26B,,20.00M,17.28B,5.889B,3.59B,,-387.00M,19.21B,,,
2004-12,,6.336B,,6.336B,,,,6.336B,,,,,,,,1.89B,,,8.628B,127.75B,2.08B,,125.67B,41.48B,188.67B,195.10B,,,13.08B,13.08B,13.08B,13.08B,34.74B,,34.74B,120.74B,,155.48B,175.56B,,20.00M,16.76B,5.902B,3.125B,,-16.00M,19.54B,,,
2004-09,,6.969B,,6.969B,,,,6.969B,,,,,,,,1.894B,,,8.645B,126.20B,2.184B,,124.01B,39.65B,185.73B,192.84B,,,12.65B,12.65B,12.65B,12.65B,38.00B,,38.00B,115.57B,,153.57B,173.24B,,20.00M,16.26B,5.868B,2.71B,,162.00M,19.60B,,,
2004-06,,7.476B,,7.476B,,,,7.476B,,,,,,,,1.893B,,,8.701B,124.21B,2.244B,,121.97B,40.28B,182.58B,190.23B,,,11.59B,11.59B,11.59B,11.59B,33.66B,,33.66B,119.93B,,153.59B,171.56B,,20.00M,15.64B,5.86B,2.316B,,-533.00M,18.68B,,,
2004-03,,7.177B,,7.177B,,,,7.177B,,,,,,,,1.924B,,,8.12B,121.53B,2.238B,,119.29B,45.40B,184.77B,192.09B,,,13.43B,13.43B,13.43B,13.43B,33.57B,,33.57B,118.96B,,152.53B,172.64B,,20.00M,15.06B,5.832B,1.853B,,394.00M,19.45B,,,
2003-12,,8.63B,,8.63B,,,,8.63B,,,,,,,,1.957B,,,8.149B,119.67B,2.184B,,117.48B,43.33B,180.72B,189.47B,,,10.85B,10.85B,10.85B,10.85B,33.82B,,33.82B,119.05B,,152.87B,170.23B,,20.00M,14.51B,5.851B,1.205B,,68.00M,19.24B,,,
2003-09,,9.723B,,9.723B,,,,9.723B,,,,,,,,2.028B,,,8.467B,123.52B,2.368B,,121.15B,36.15B,178.97B,188.84B,,,12.86B,12.86B,12.86B,12.86B,31.60B,,31.60B,115.04B,2.605B,146.65B,166.80B,,20.00M,15.38B,4.80B,1.031B,,252.00M,19.43B,,,
2003-06,,15.01B,,15.01B,,,,15.01B,,,,,,,,2.064B,,,8.313B,123.21B,2.368B,,120.85B,36.62B,179.74B,194.90B,,,7.387B,7.387B,7.387B,7.387B,34.03B,,34.03B,126.33B,,160.36B,175.72B,,20.00M,14.80B,4.821B,1.092B,,636.00M,19.18B,,,
