,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,113.82M,6.44M,-23.52M,-4.036M,-21.12M,,,72.92M,72.92M,,-40.26M,-6.414M,18.89M,,,-50.81M,-38.34M,94.55M,,,,-51.16M,10.53M,-3.02M,456.00M,49.71M,,49.71M,,-382.68M,-382.68M,,-0.15M,-0.15M,-81.73M,0.771M,-8.231M,-422.31M,250.03M,128.24M,378.26M,,554.12M,-504.41M,-382.83M
2017-12,38.34M,0.00,-76.50M,-7.788M,-84.28M,,,87.68M,87.68M,,-5.069M,-2.37M,-13.21M,,,15.79M,0.203M,130.75M,,,,-276.55M,-110.63M,,97.57M,225.72M,,225.72M,,-456.31M,-456.31M,,-0.15M,-0.15M,-81.84M,11.06M,-26.02M,-327.54M,349.25M,-99.23M,250.03M,,1.428B,-1.202B,-456.46M
2017-09,45.80M,-1.03M,0.00,-4.078M,-5.108M,,,95.74M,95.74M,,-9.414M,-4.134M,12.08M,,,-40.78M,-32.83M,101.40M,,,,-19.52M,8.096M,,162.03M,-26.18M,,-26.18M,,-138.39M,-138.39M,,0.00,0.00,-83.02M,0.769M,-48.29M,-295.11M,380.92M,-31.67M,349.25M,,381.74M,-407.92M,-138.39M
2017-06,16.02M,-13.09M,3.823M,-3.412M,-12.68M,,,136.49M,136.49M,,-14.41M,-4.483M,5.017M,,,35.77M,36.30M,197.70M,,,,-85.18M,-219.66M,,-254.91M,195.63M,,195.63M,,-211.50M,-211.50M,,-0.125M,-0.125M,-84.50M,2.898M,-3.525M,-101.12M,539.25M,-158.33M,380.92M,,806.20M,-610.57M,-211.62M
2017-03,0.924M,-2.047M,-3.829M,-6.614M,-12.49M,,,98.90M,98.90M,,11.52M,-1.939M,-16.33M,,,-29.18M,-47.44M,113.15M,,,,-8.00M,85.60M,,17.32M,97.87M,,97.87M,,-0.102M,-0.102M,,0.00,0.00,-84.18M,8.808M,16.41M,38.81M,369.97M,169.28M,539.25M,,1.056B,-958.37M,-0.102M
2016-12,53.97M,-0.421M,-27.37M,0.095M,-27.69M,,,108.41M,108.41M,,-10.21M,1.05M,-7.539M,,,12.20M,5.714M,135.22M,,,,-75.95M,-206.05M,-85.98M,-431.79M,115.82M,,115.82M,,0.00,0.00,,-0.30M,-0.30M,-79.28M,2.705M,-11.88M,27.07M,405.90M,-269.51M,369.97M,,217.09M,-101.27M,-0.30M
2016-09,43.34M,-0.225M,-0.397M,3.968M,3.346M,,,117.48M,117.48M,,-4.268M,-3.887M,5.546M,,,-30.20M,-28.54M,135.41M,,,,-44.03M,-88.55M,9.763M,278.43M,-179.08M,,-179.08M,,0.00,0.00,,-0.15M,-0.15M,-78.57M,7.973M,-34.34M,-284.17M,276.23M,129.67M,405.90M,,548.64M,-727.73M,-0.15M
2016-06,149.10M,-33.45M,-196.50M,-5.841M,-235.79M,,,432.48M,432.48M,,-95.66M,-0.892M,-13.00M,,,6.307M,-7.59M,259.29M,,,,-18.79M,42.01M,16.16M,1.788B,-2.003B,,-2.003B,,0.00,0.00,,-2.409M,-2.409M,-78.13M,3.175M,-6.493M,-2.087B,316.20M,-39.98M,276.23M,,202.62M,-2.206B,-2.409M
2016-03,32.50M,-9.915M,-13.77M,-10.10M,-33.78M,,,187.24M,187.24M,,-15.57M,3.326M,-20.63M,,,-47.88M,-65.19M,114.09M,,,,-6.603M,151.03M,60.06M,338.86M,-297.60M,,-297.60M,,0.00,0.00,,-0.44M,-0.44M,-78.10M,1.256M,-17.26M,-392.14M,255.40M,60.81M,316.20M,,824.39M,-1.122B,-0.44M
2015-12,114.25M,-0.933M,-16.27M,-2.377M,-19.58M,,,114.42M,114.42M,,-82.52M,2.725M,2.515M,,,64.06M,69.30M,203.48M,,,,-33.93M,-150.47M,16.03M,-279.48M,188.32M,,188.32M,-0.033M,,-0.033M,,0.00,0.00,-65.46M,3.518M,-39.31M,87.04M,244.36M,11.04M,255.40M,-0.033M,528.28M,-339.95M,0.00
2015-09,176.75M,-15.28M,-159.70M,-3.627M,-178.61M,,,153.34M,153.34M,,-46.30M,-1.366M,23.11M,,,-67.29M,-45.55M,89.54M,,,,-18.65M,186.12M,112.83M,-1.728B,1.751B,,1.751B,-0.205M,,-0.205M,,0.00,0.00,-64.61M,1.092M,-20.31M,1.667B,215.90M,28.46M,244.36M,-0.205M,2.675B,-923.15M,0.00
2015-06,-29.18M,-0.769M,,-2.994M,-3.763M,,,205.52M,205.52M,,-41.08M,-13.23M,3.243M,,,14.01M,4.025M,142.50M,,,,-25.36M,-134.00M,-226.77M,-488.23M,283.88M,,283.88M,4.402M,,4.402M,,0.00,0.00,-64.41M,1.467M,5.51M,230.86M,330.77M,-114.87M,215.90M,4.402M,496.42M,-212.54M,0.00
2015-03,55.64M,-12.98M,,-4.03M,-16.96M,,,114.96M,114.96M,,-27.78M,6.743M,-20.23M,,,-36.89M,-50.38M,90.96M,,,,-83.77M,-160.53M,-3.084M,230.30M,-321.61M,,-321.61M,120.60M,,120.60M,,-0.20M,-0.20M,-62.90M,109.84M,-117.62M,-271.90M,281.41M,49.36M,330.77M,120.60M,690.00M,-1.012B,-0.20M
2014-12,65.32M,-19.49M,,-5.756M,-22.28M,,,104.12M,104.12M,,-15.48M,10.84M,-25.24M,,,-9.912M,-24.31M,113.18M,,,,-164.82M,8.332M,59.41M,28.43M,-199.35M,,-199.35M,142.62M,,142.62M,,-2.00M,-2.00M,-52.07M,4.726M,-7.645M,-113.71M,253.52M,27.89M,281.41M,142.62M,921.60M,-1.121B,-2.00M
2014-09,73.60M,-46.00M,,-6.033M,-27.56M,,,101.85M,101.85M,,-25.81M,-17.57M,4.472M,,,-16.75M,-29.85M,100.64M,,,,-46.66M,120.14M,-29.64M,-507.22M,352.53M,,352.53M,33.95M,,33.95M,,0.00,0.00,-51.96M,0.772M,16.71M,352.00M,308.10M,-54.58M,253.52M,33.95M,853.40M,-500.87M,0.00
2014-06,250.33M,-116.18M,,-8.62M,-123.77M,,,100.35M,100.35M,,-91.15M,5.023M,14.79M,,,25.86M,45.68M,188.41M,,,,-151.57M,-30.68M,-3.366M,-246.24M,-5.065M,,-5.065M,8.726M,,8.726M,,0.00,0.00,-51.29M,10.78M,-44.39M,-81.23M,447.16M,-139.06M,308.10M,8.726M,1.560B,-1.565B,0.00
2014-03,156.61M,-104.64M,,-6.128M,-110.77M,,,93.68M,93.68M,,-23.92M,0.014M,-1.821M,,,-33.31M,-35.12M,88.15M,,,,-18.97M,-151.52M,-34.86M,-71.80M,272.75M,,272.75M,0.024M,,0.024M,,0.00,0.00,-51.65M,8.992M,-5.995M,224.12M,206.69M,240.47M,447.16M,0.024M,724.22M,-451.46M,0.00
2013-12,44.36M,-7.538M,,-5.67M,-13.21M,,,92.77M,92.77M,,-18.83M,-5.282M,-25.11M,,,-12.30M,-42.69M,75.67M,,,,-30.14M,-2.467M,239.01M,-385.89M,97.58M,,97.58M,250.00M,,250.00M,-0.024M,-0.033M,-0.057M,-35.22M,2.519M,-7.003M,307.82M,209.10M,-2.406M,206.69M,249.97M,596.84M,-499.26M,-0.033M
2013-09,45.34M,-13.43M,,-2.938M,-16.37M,,,91.80M,91.80M,,-17.63M,-8.869M,21.84M,,,-23.53M,-10.56M,100.84M,,,,-38.22M,-83.87M,-246.29M,-199.82M,106.53M,,106.53M,39.34M,,39.34M,0.024M,0.009M,0.033M,-33.66M,1.457M,-4.589M,109.11M,198.97M,10.13M,209.10M,39.36M,474.00M,-367.47M,0.009M
2013-06,31.25M,3.583M,,3.76M,7.353M,,,87.88M,87.88M,,-17.87M,1.893M,0.924M,,,-0.014M,2.803M,120.13M,,,,-31.92M,207.02M,-0.585M,126.35M,-43.41M,,-43.41M,8.487M,0.024M,8.511M,,-192.48M,-192.48M,-40.94M,4.449M,-3.756M,-267.62M,220.10M,-21.14M,198.97M,8.487M,215.00M,-258.41M,-192.45M
2013-03,30.34M,-1.113M,,-5.073M,4.772M,,,85.15M,85.15M,,-37.95M,3.771M,0.869M,,,-4.289M,0.351M,89.56M,,,,-50.00M,-70.34M,0.191M,-169.08M,155.04M,,155.04M,,-0.024M,-0.024M,,-0.033M,-0.033M,-38.59M,4.546M,-11.30M,109.64M,189.98M,30.12M,220.10M,,1.135B,-980.29M,-0.057M
2012-12,27.46M,-19.28M,-2.703M,4.57M,-10.43M,,,101.59M,101.59M,,-33.17M,-2.235M,-1.92M,,,-11.69M,-15.84M,76.56M,,,,-55.65M,-290.47M,-1.388M,-340.00M,340.50M,,340.50M,-211.07M,-14.15M,-225.22M,,0.00,221.96M,-33.26M,0.296M,-13.22M,291.06M,162.36M,27.62M,189.98M,10.90M,1.060B,-719.31M,-14.15M
2012-09,28.63M,-0.982M,-2.237M,-11.66M,-14.88M,,,87.92M,87.92M,,-18.22M,-3.494M,1.70M,,,-21.40M,-23.19M,72.26M,,,,-27.70M,-94.91M,-3.662M,-265.36M,107.77M,,107.77M,211.04M,11.16M,222.20M,,-200.01M,-200.01M,-32.12M,7.252M,-6.428M,98.66M,256.80M,-94.44M,162.36M,211.04M,345.00M,-237.23M,-188.86M
2012-06,118.46M,-9.534M,,-70.89M,-80.42M,,,81.36M,81.36M,,-17.99M,-5.148M,5.491M,,,-28.43M,-28.09M,141.10M,,,,-26.19M,-57.77M,-63.50M,-263.86M,226.24M,,226.24M,78.35M,0.00,78.35M,,0.00,0.00,-30.70M,3.106M,-31.11M,245.88M,133.66M,123.13M,256.80M,78.35M,1.173B,-947.10M,0.00
2012-03,35.16M,-13.89M,,1.56M,-12.33M,,,80.66M,80.66M,,-15.57M,-3.65M,4.118M,,,-36.53M,-36.06M,56.83M,,,,-105.63M,-48.65M,-1.533M,-294.19M,42.52M,,42.52M,122.95M,-11.16M,111.80M,,,,-28.45M,102.09M,4.883M,232.83M,138.19M,-4.527M,133.66M,122.95M,408.50M,-365.98M,-11.16M
2011-12,17.56M,,-4.999M,-0.675M,-8.592M,-212.56M,,79.75M,79.75M,,-31.70M,0.347M,-1.988M,-1.757M,-12.01M,4.119M,-11.29M,69.42M,443.46M,-160.55M,282.91M,-217.67M,45.98M,-10.60M,-232.34M,-42.52M,,-42.52M,-0.182M,-1.173M,-1.355M,,0.00,0.00,-16.18M,1.933M,-35.28M,-93.40M,394.50M,-256.31M,138.19M,-0.182M,621.85M,-664.37M,-1.173M
2011-09,16.49M,,0.00,1.616M,1.683M,212.56M,,76.20M,76.20M,,-21.87M,-2.922M,18.02M,1.757M,12.01M,-40.52M,-11.66M,60.85M,-54.04M,9.655M,-44.39M,107.75M,-391.09M,-109.06M,-436.79M,308.24M,,308.24M,96.89M,-0.116M,96.77M,,0.00,0.00,-16.02M,1.181M,-9.952M,380.21M,390.23M,4.276M,394.50M,96.89M,725.99M,-417.75M,-0.116M
2011-06,549.18M,,0.006M,2.767M,-44.28M,,,68.38M,68.38M,,-488.20M,-3.158M,0.51M,,,17.76M,15.11M,100.19M,-358.02M,150.89M,-207.12M,,100.97M,7.271M,-98.88M,45.70M,,45.70M,257.75M,-4.197M,253.55M,,,,-15.98M,3.295M,-131.66M,154.91M,234.01M,156.22M,390.23M,257.75M,916.53M,-870.83M,-4.197M
2011-03,93.89M,,-19.71M,-5.291M,-25.00M,,,67.98M,67.98M,,-43.13M,3.474M,-5.833M,,,-14.72M,-17.08M,76.66M,-31.40M,0.00,-31.40M,,-76.13M,141.68M,34.15M,-357.02M,,-357.02M,161.71M,0.00,161.71M,,,,-15.68M,3.802M,-2.438M,-209.63M,332.83M,-98.82M,234.01M,161.71M,498.55M,-855.58M,0.00
2010-12,17.96M,,-0.775M,101.18M,-28.51M,,,62.04M,62.04M,,-17.22M,4.412M,-13.98M,5.717M,-5.218M,-6.169M,-15.24M,67.01M,239.14M,-623.12M,-383.98M,-103.00M,67.76M,-34.24M,-156.18M,180.52M,,180.52M,-122.02M,11.61M,-110.41M,,,,-15.38M,0.29M,-25.88M,151.19M,270.80M,62.03M,332.83M,0.022M,369.15M,-188.63M,11.61M
2010-09,124.56M,,0.00,-4.606M,-39.58M,,,60.14M,60.14M,,-10.71M,-8.307M,-6.433M,-5.717M,5.218M,-17.78M,-33.02M,101.40M,-204.54M,118.95M,-85.60M,15.16M,-39.23M,37.76M,-71.91M,-44.32M,,-44.32M,0.00,-11.61M,-11.61M,,,,-15.38M,0.256M,-27.19M,-98.26M,339.58M,-68.77M,270.80M,0.00,116.10M,-160.42M,-11.61M
2010-06,150.50M,,0.00,-131.14M,-129.86M,,,58.70M,58.70M,,-5.061M,0.799M,4.412M,,,6.488M,11.70M,85.97M,-20.74M,504.17M,483.44M,,-136.41M,-39.89M,307.14M,-203.85M,,-203.85M,-0.149M,0.00,-0.149M,,,,-15.39M,1.825M,-3.628M,-221.19M,167.65M,171.92M,339.58M,-0.149M,104.10M,-307.95M,0.00
2010-03,26.13M,,0.285M,-5.048M,-4.65M,,,59.57M,59.57M,,-14.98M,5.765M,12.29M,,,-17.45M,0.612M,66.68M,-13.86M,,-13.86M,,-42.54M,-3.851M,-60.24M,-289.45M,,-289.45M,122.17M,,122.17M,,,,-12.84M,12.16M,-14.54M,-182.50M,343.72M,-176.06M,167.65M,122.17M,250.00M,-539.45M,
2009-12,2.962M,,-0.233M,-4.448M,-95.94M,,,62.20M,62.20M,,108.24M,4.831M,-8.32M,-3.659M,-2.951M,-6.967M,-17.07M,60.40M,-35.88M,0.00,-35.88M,,-325.91M,53.82M,-307.97M,-24.52M,,-24.52M,,0.00,387.14M,-387.23M,,-387.23M,3.268M,0.341M,,-42.79M,634.07M,-290.36M,343.72M,-0.092M,6.00M,-30.52M,0.00
2009-09,4.593M,,-0.052M,-6.079M,5.698M,,,60.10M,60.10M,,0.494M,5.65M,1.541M,-4.936M,8.924M,-19.63M,-8.447M,62.44M,-24.47M,1.939M,-22.53M,,-17.10M,-22.95M,-62.58M,-25.55M,,-25.55M,,0.00,0.00,-0.094M,,-0.094M,-17.19M,0.278M,,-42.55M,676.77M,-42.70M,634.07M,-0.094M,185.10M,-210.64M,0.00
2009-06,21.58M,,-0.126M,-5.00M,-5.126M,,,55.98M,55.98M,,15.20M,5.774M,-5.799M,16.80M,-11.91M,4.437M,9.296M,96.92M,-29.12M,8.853M,-20.26M,,51.09M,-2.42M,28.41M,-237.77M,,-237.77M,,0.00,0.00,387.32M,,387.32M,-31.77M,0.00,,117.78M,433.65M,243.11M,676.77M,387.32M,30.62M,-268.39M,0.00
2009-03,42.53M,,0.807M,-13.36M,-19.13M,,,56.92M,56.92M,,4.613M,-6.123M,-2.183M,8.016M,-1.286M,-27.91M,-29.48M,55.45M,-17.57M,17.15M,-0.416M,,-7.904M,5.084M,-3.236M,-312.82M,,-312.82M,,0.00,0.00,0.00,,0.00,-32.63M,0.00,,-345.45M,726.89M,-293.24M,433.65M,0.00,1.112M,-313.93M,0.00
2008-12,88.05M,,,-104.74M,-170.05M,,,57.32M,57.32M,,119.13M,9.436M,-18.25M,-10.43M,-1.044M,8.518M,-11.78M,82.67M,-40.14M,53.85M,13.71M,,88.57M,27.14M,129.41M,-80.84M,,-80.84M,0.00,-35.38M,-35.38M,,,,-20.73M,0.08M,-59.47M,-196.34M,711.15M,15.74M,726.89M,0.00,102.98M,-183.83M,-35.38M
2008-09,143.77M,,,-2.263M,-122.03M,,,56.99M,56.99M,,-1.771M,-0.878M,21.01M,-3.355M,8.353M,-26.35M,-1.225M,75.74M,-26.99M,0.00,-26.99M,,-91.34M,39.15M,-79.19M,758.25M,,758.25M,0.00,-48.55M,-48.55M,,,,-56.64M,0.184M,7.788M,661.03M,53.57M,657.58M,711.15M,0.00,1.094B,-335.97M,-48.55M
2008-06,148.00M,,,4.142M,-89.34M,,,57.70M,57.70M,,2.251M,4.601M,-0.38M,-5.172M,-2.80M,2.355M,-1.396M,117.22M,-76.39M,0.00,-76.39M,,-69.38M,449.87M,304.10M,-353.60M,,-353.60M,0.00,-18.14M,-18.14M,,,,-68.49M,6.51M,19.18M,-414.55M,46.79M,6.774M,53.57M,0.00,386.28M,-739.88M,-18.14M
2008-03,24.22M,,,6.985M,6.985M,,,57.49M,57.49M,,-4.088M,3.899M,-51.67M,5.676M,5.679M,-27.82M,-64.24M,20.38M,-56.60M,152.93M,96.33M,,-7.897M,-46.54M,41.89M,33.72M,,33.72M,,-49.91M,-49.91M,,,,-57.27M,0.598M,11.42M,-61.44M,45.96M,0.829M,46.79M,,242.06M,-208.34M,-49.91M
2007-12,34.44M,,,-47.34M,-1.481M,,,58.85M,58.85M,,-25.22M,18.30M,-4.608M,,,8.034M,21.73M,88.32M,-9.864M,149.04M,139.18M,-534.23M,-108.81M,83.36M,-420.50M,3.231B,,393.27M,,-56.65M,-56.65M,,,,-54.63M,1.969M,-3.913M,280.05M,98.10M,-52.14M,45.96M,,877.65M,-484.38M,-56.65M
2007-09,20.15M,,,-30.94M,-30.94M,,,49.96M,49.96M,,33.55M,-41.90M,34.79M,,,3.311M,-3.801M,68.92M,-187.52M,431.25M,243.73M,-88.28M,-241.87M,129.43M,43.02M,-0.545M,,-0.545M,,-53.70M,-53.70M,,,,-48.24M,0.441M,7.909M,-94.14M,80.30M,17.80M,98.10M,,604.19M,-604.73M,-53.70M
2007-06,-28.33M,,,,,,,54.02M,54.02M,,57.54M,,-8.147M,,,39.14M,31.00M,114.22M,-359.75M,383.00M,23.24M,-83.66M,,10.35M,-50.07M,-394.54M,,-394.54M,,-40.37M,-40.37M,,,,-45.74M,1.783M,-4.713M,-483.59M,499.73M,-419.43M,80.30M,,754.54M,-1.149B,-40.37M
2007-03,152.40M,,,,,,,42.01M,42.01M,,-62.84M,,66.08M,,,-62.41M,3.675M,135.25M,-3.725B,2.023B,-1.702B,-34.42M,,-170.76M,-1.907B,1.684B,,1.684B,,0.00,0.00,,,,-39.68M,8.724M,501.12M,2.154B,117.18M,382.55M,499.73M,,2.408B,-723.95M,0.00
2006-12,-59.64M,,,,,,,27.32M,27.32M,,115.93M,1.451M,29.25M,32.86M,-17.28M,-46.54M,-0.271M,83.33M,-119.98M,667.56M,547.58M,,-96.12M,-733.56M,-282.10M,-104.04M,,-104.04M,532.71M,0.00,532.71M,,,,-30.46M,,-258.71M,139.50M,176.44M,-59.27M,117.18M,532.71M,260.70M,-364.74M,0.00
2006-09,123.66M,,,,,,,21.12M,21.12M,,-91.03M,-6.081M,11.45M,-31.18M,16.68M,-5.372M,-14.50M,39.24M,-224.71M,152.19M,-72.52M,253.76M,-1.353M,-434.60M,-254.72M,226.32M,,226.32M,269.01M,0.00,269.01M,,,,-28.19M,,-89.40M,377.74M,14.18M,162.26M,176.44M,269.01M,225.38M,0.948M,0.00
2006-06,34.03M,,,,,,,16.16M,16.16M,,7.238M,-11.30M,18.62M,0.973M,11.28M,-7.32M,12.25M,69.68M,-24.46M,0.00,-24.46M,-253.76M,-39.42M,374.05M,56.40M,316.85M,,316.85M,1.427M,0.00,1.427M,,,,-30.98M,,-419.73M,-132.43M,20.54M,-6.351M,14.18M,1.427M,202.70M,114.15M,0.00
2006-03,28.70M,,,,,,,15.64M,15.64M,,2.383M,4.279M,-15.90M,-2.645M,-10.68M,11.62M,-13.32M,33.40M,-255.99M,8.847M,-247.15M,,-29.99M,-29.36M,-306.50M,272.51M,,272.51M,11.58M,,11.58M,,,,-28.52M,,13.96M,269.54M,24.10M,-3.569M,20.54M,11.58M,390.54M,-118.02M,
2005-12,25.79M,,,,,,,18.85M,18.85M,,-1.766M,-4.479M,9.86M,-29.17M,5.698M,-5.381M,-23.47M,19.40M,-31.78M,484.45M,452.67M,-435.74M,21.72M,40.32M,78.97M,719.51M,,719.51M,8.396M,,8.396M,,,,-22.31M,,-794.06M,-88.46M,14.19M,9.911M,24.10M,8.396M,148.50M,571.01M,
2005-09,42.29M,,,,,,,16.65M,16.65M,,-11.25M,-3.33M,11.74M,-17.42M,16.47M,-11.44M,-3.969M,43.72M,-137.32M,3.02M,-134.30M,295.20M,-51.90M,-243.08M,-134.08M,132.89M,,132.89M,0.289M,,0.289M,,,,-22.94M,,-7.664M,102.57M,1.978M,12.22M,14.19M,0.289M,355.50M,-222.61M,
2005-06,27.59M,,,,,,,14.88M,14.88M,,-2.376M,-2.218M,13.64M,-6.005M,10.64M,-8.399M,7.66M,47.76M,-202.57M,56.65M,-145.92M,-295.20M,-74.78M,298.47M,-217.43M,178.44M,,178.44M,1.571M,,1.571M,,,,-22.23M,,-2.918M,154.86M,16.79M,-14.81M,1.978M,1.571M,593.04M,-414.61M,
2005-03,27.88M,,,,,,,14.83M,14.83M,,-2.992M,-0.928M,-8.978M,-4.296M,-7.908M,9.906M,-12.20M,27.52M,-112.78M,,-112.78M,,-22.77M,-57.58M,-193.14M,164.94M,,164.94M,13.93M,,13.93M,,,,-27.26M,,-4.991M,146.61M,35.80M,-19.01M,16.79M,13.93M,264.00M,-99.06M,
2004-12,116.49M,,,,,,,22.70M,22.70M,,-136.61M,-8.993M,12.75M,4.414M,13.11M,9.97M,31.24M,33.82M,263.98M,,263.98M,,-101.68M,297.02M,71.16M,569.30M,,569.30M,103.48M,,103.48M,-96.32M,,-96.32M,-23.81M,,-645.13M,-92.49M,23.30M,12.50M,35.80M,7.155M,841.17M,-271.88M,
2004-09,25.15M,,,,,,,13.02M,13.02M,,-8.05M,0.692M,4.753M,-12.10M,8.304M,-19.71M,-18.06M,12.06M,-255.92M,0.00,-255.92M,,111.27M,-203.44M,-348.10M,-251.83M,,-251.83M,74.00M,,74.00M,96.32M,,37.45M,-21.50M,,456.17M,294.29M,65.04M,-41.75M,23.30M,170.33M,0.00,-251.83M,
