,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2017-12,127.89M,,127.89M,422.98M,,446.02M,122.14M,1.034B,,,,,,,,,,4.506B,,,226.20M,310.69M,12.95B,13.98B,137.14M,85.14M,3.239M,225.52M,38.14M,263.66M,30.34M,30.34M,30.34M,,4.074M,298.07M,5.825B,42.84M,5.868B,208.12M,208.12M,826.32M,,255.93M,6.332B,6.630B,524.61M,1.139B,4.968B,124.05M,523.67M,18.60M,6.527B
2017-09,241.49M,,241.49M,448.46M,,472.52M,107.76M,949.44M,,,,,,,,,,4.095B,,,247.98M,395.61M,14.16B,15.11B,144.77M,85.01M,3.075M,232.85M,34.37M,267.22M,275.83M,275.83M,275.83M,,1.141M,544.19M,6.149B,42.66M,6.192B,252.78M,252.78M,837.06M,,164.18M,6.609B,7.153B,524.80M,1.410B,5.294B,124.05M,523.82M,14.18M,7.120B
2017-06,270.96M,,270.96M,435.99M,,459.71M,109.96M,959.86M,,,,,,,,,,4.235B,,,249.72M,360.10M,14.35B,15.31B,134.29M,86.08M,2.911M,223.29M,36.48M,259.76M,195.12M,195.12M,195.12M,,0.106M,455.00M,6.181B,42.48M,6.224B,229.69M,229.69M,899.59M,,264.23M,6.718B,7.173B,524.81M,1.431B,5.391B,124.05M,523.82M,14.35M,7.238B
2017-03,468.04M,,468.04M,505.94M,,525.01M,71.22M,1.119B,,,,,,,,,,3.518B,,,267.95M,584.99M,14.76B,15.88B,169.24M,87.62M,2.747M,259.61M,33.86M,293.47M,,,,,0.043M,293.51M,6.579B,42.30M,6.622B,235.21M,235.21M,931.72M,,229.77M,7.087B,7.380B,524.96M,1.497B,5.651B,124.05M,523.94M,16.51M,7.565B
2016-12,279.44M,,279.44M,495.95M,,511.81M,90.52M,881.77M,,,,,,,,,,3.616B,,,267.60M,614.07M,14.98B,15.86B,190.58M,87.27M,2.583M,280.44M,36.05M,316.49M,0.00,0.00,0.00,,,316.49M,6.482B,42.13M,6.524B,217.96M,217.96M,900.32M,,272.74M,7.014B,7.331B,524.96M,1.579B,5.625B,124.05M,523.94M,22.14M,7.626B
2016-09,405.90M,,405.90M,486.62M,,501.46M,100.20M,1.125B,,,,,,,,,,3.374B,,,252.18M,620.84M,14.67B,15.79B,178.95M,81.39M,2.419M,262.76M,30.73M,293.49M,,,,,65.52M,359.01M,6.358B,41.95M,6.400B,237.55M,237.55M,919.53M,,279.22M,6.917B,7.276B,525.26M,1.613B,5.596B,124.05M,524.24M,-14.07M,7.596B
2016-06,276.23M,,276.23M,501.53M,,514.59M,166.90M,997.36M,,,,,,,,,,2.523B,,,256.30M,979.47M,16.55B,17.54B,189.69M,80.56M,2.236M,272.48M,36.38M,308.86M,277.42M,277.42M,277.42M,,0.007M,586.29M,7.685B,41.75M,7.727B,384.14M,384.14M,915.28M,,311.21M,8.422B,9.008B,525.40M,1.655B,5.467B,10.00M,524.39M,-16.56M,7.621B
2016-03,316.20M,,316.20M,483.78M,,498.92M,179.94M,2.887B,,,,,,,,,,2.569B,,,246.50M,1.055B,16.70B,19.59B,168.32M,80.04M,2.01M,250.37M,36.94M,287.31M,766.73M,766.73M,766.73M,,1.612B,2.666B,7.742B,41.55M,7.783B,414.69M,414.69M,833.90M,,314.95M,8.513B,11.18B,527.80M,1.621B,5.452B,10.00M,526.80M,-17.22M,7.573B
2015-12,255.40M,,255.40M,562.27M,,572.92M,233.58M,1.097B,,,,,,,,,,2.919B,,,239.92M,850.94M,18.63B,19.73B,196.21M,79.79M,1.783M,277.79M,42.41M,320.19M,985.06M,985.06M,985.06M,,29.00M,1.334B,9.290B,41.36M,9.332B,399.10M,399.10M,856.06M,,236.50M,9.967B,11.30B,505.45M,1.644B,5.440B,10.00M,504.45M,-8.749M,7.570B
2015-09,244.36M,,244.36M,534.52M,,545.61M,279.59M,1.187B,,,,,,,,,,2.787B,,,342.94M,912.02M,18.30B,19.49B,173.23M,67.11M,1.557M,241.89M,204.22M,446.12M,949.00M,949.00M,949.00M,,0.094M,1.395B,9.182B,41.17M,9.223B,428.33M,428.33M,856.86M,,66.65M,9.718B,11.11B,505.48M,1.773B,5.594B,335.31M,504.45M,-15.82M,7.521B
2015-06,215.90M,,215.90M,498.87M,,510.27M,128.23M,1.275B,,,,,,,,,,2.994B,,,328.84M,1.145B,15.99B,17.27B,147.03M,66.03M,1.387M,214.44M,161.19M,375.63M,705.00M,705.00M,705.00M,,178.25M,1.259B,7.501B,21.01M,7.522B,337.57M,337.57M,840.29M,,67.98M,7.928B,9.186B,347.69M,1.658B,5.571B,325.21M,346.66M,-10.91M,7.240B
2015-03,330.77M,,330.77M,458.38M,,470.47M,128.83M,930.08M,,,,,,,,,,2.841B,,,326.56M,978.67M,16.15B,17.08B,151.43M,65.87M,1.301M,218.60M,162.91M,381.51M,520.00M,520.00M,520.00M,,,901.51M,7.569B,20.92M,7.590B,369.63M,369.63M,893.32M,,66.43M,8.026B,8.928B,333.88M,1.691B,5.572B,325.21M,332.85M,-11.81M,7.260B
2014-12,281.41M,,281.41M,432.31M,,444.05M,149.18M,1.337B,,,,,,,,,,2.620B,,,327.96M,647.33M,15.76B,17.10B,173.25M,64.39M,1.215M,238.85M,137.63M,376.49M,385.00M,385.00M,385.00M,,266.87M,1.028B,7.794B,20.82M,7.815B,187.15M,187.15M,991.37M,,66.61M,8.068B,9.097B,294.02M,1.608B,5.114B,,293.05M,-6.98M,7.008B
2014-09,253.52M,,253.52M,428.47M,,441.73M,159.30M,1.608B,,,,,,,,,,2.469B,,,310.86M,729.54M,15.63B,17.24B,183.00M,53.57M,1.129M,237.70M,127.81M,365.51M,244.00M,244.00M,244.00M,,461.89M,1.071B,8.045B,20.73M,8.066B,215.53M,215.53M,900.10M,,66.66M,8.348B,9.419B,296.04M,1.814B,5.131B,320.22M,295.05M,-2.896M,6.918B
2014-06,308.10M,,308.10M,406.23M,,415.15M,157.22M,1.220B,,,,,,,,,,2.560B,,,300.04M,679.84M,15.50B,16.72B,164.22M,53.19M,1.044M,218.45M,128.73M,347.18M,0.00,0.00,0.00,,193.38M,540.56M,8.166B,20.64M,8.187B,223.39M,223.39M,871.93M,,65.17M,8.476B,9.016B,272.48M,1.798B,5.086B,320.15M,271.48M,-6.196M,6.830B
2014-03,447.16M,,447.16M,426.28M,,446.22M,154.49M,1.112B,,,,,,,,,,2.588B,,,261.54M,815.87M,14.25B,15.36B,140.35M,52.47M,0.958M,193.78M,112.85M,306.63M,0.00,0.00,0.00,,49.70M,356.33M,7.195B,20.54M,7.216B,259.93M,259.93M,790.75M,,65.08M,7.541B,7.897B,272.47M,1.688B,5.050B,320.08M,271.48M,-14.87M,6.675B
2013-12,206.69M,,206.69M,446.90M,,455.43M,142.05M,804.17M,,,,,,,,,,2.450B,,,267.06M,750.12M,14.15B,14.96B,145.89M,52.26M,22.18M,220.33M,114.62M,334.95M,220.00M,220.00M,220.00M,,,554.95M,6.700B,47.67M,6.748B,263.26M,263.26M,756.95M,,61.31M,7.072B,7.627B,272.47M,1.619B,5.016B,317.36M,271.48M,-15.21M,6.575B
2013-09,209.10M,,209.10M,425.97M,,433.77M,356.84M,999.71M,,,,,,,,,,2.458B,,,247.85M,729.43M,13.58B,14.57B,167.72M,34.75M,21.07M,223.53M,69.36M,292.89M,340.00M,340.00M,340.00M,,,632.89M,6.480B,47.49M,6.527B,293.39M,293.39M,736.12M,,54.82M,6.875B,7.508B,272.44M,1.637B,4.758B,316.99M,271.48M,-19.25M,6.331B
2013-06,198.97M,,198.97M,412.60M,,419.44M,130.48M,956.56M,,,,,,,,,,2.339B,,,246.06M,699.26M,13.45B,14.40B,138.03M,34.74M,19.95M,192.72M,72.42M,265.13M,40.00M,40.00M,40.00M,,11.89M,317.03M,6.670B,47.24M,6.718B,296.93M,296.93M,732.34M,,53.60M,7.068B,7.385B,272.44M,1.631B,4.716B,316.77M,271.48M,-18.62M,6.284B
2013-03,220.10M,,220.10M,397.20M,,408.37M,130.23M,758.71M,,,,,,,,,,2.540B,,,252.02M,722.95M,13.79B,14.54B,143.81M,37.74M,19.75M,201.30M,73.67M,274.96M,30.00M,30.00M,30.00M,,,304.96M,6.648B,43.40M,6.691B,322.32M,322.32M,708.61M,,49.80M,7.064B,7.369B,452.78M,1.665B,4.698B,322.86M,451.82M,-26.12M,6.467B
2012-12,189.98M,,189.98M,396.60M,,404.13M,136.07M,735.09M,,,,,,,,,,2.402B,,,261.14M,718.33M,13.65B,14.39B,159.60M,37.84M,20.90M,218.33M,81.08M,299.41M,70.00M,70.00M,70.00M,,0.136M,369.55M,6.450B,37.52M,6.488B,313.00M,313.00M,700.21M,,46.25M,6.847B,7.217B,452.80M,1.701B,4.668B,322.86M,451.86M,-29.59M,6.469B
2012-09,162.36M,21.55M,183.91M,35.32M,330.35M,365.66M,143.06M,784.21M,0.0,2.938B,8.770B,12.21M,11.72B,-1.339B,10.38B,,,2.092B,,,253.14M,774.86M,13.50B,14.28B,147.45M,29.15M,,176.61M,100.53M,277.13M,,200.00M,200.00M,,,477.13M,6.125B,17.17M,6.143B,360.75M,379.58M,753.21M,,97.25M,6.683B,7.160B,403.52M,1.728B,4.589B,319.90M,402.58M,-29.28M,6.372B
2012-06,256.80M,23.50M,280.30M,32.73M,,40.52M,138.49M,866.59M,0.0,2.873B,8.627B,12.21M,11.51B,-1.270B,10.24B,,,1.996B,,,249.15M,784.90M,13.27B,14.14B,140.91M,30.13M,,171.04M,114.00M,285.04M,,,,,,285.04M,6.215B,17.15M,6.232B,352.15M,370.87M,769.20M,49.55M,47.46M,6.763B,7.048B,371.28M,1.741B,4.558B,319.87M,370.34M,-28.41M,6.322B
2012-03,133.66M,25.69M,159.35M,29.02M,,36.68M,98.56M,595.02M,0.0,2.817B,8.509B,12.21M,11.34B,-1.203B,10.14B,,,2.023B,,,211.73M,796.55M,13.17B,13.76B,137.50M,29.65M,,167.15M,116.50M,283.65M,,,,,,283.65M,6.081B,17.13M,6.098B,373.57M,392.18M,727.81M,49.55M,48.00M,6.588B,6.872B,371.27M,1.666B,4.470B,319.87M,370.34M,-24.38M,6.162B
2011-12,138.19M,,138.19M,314.08M,,318.08M,86.58M,619.42M,,,,,,,,,,1.905B,,,210.79M,737.90M,12.86B,13.48B,142.43M,28.40M,18.50M,189.32M,126.14M,315.46M,350.00M,350.00M,350.00M,,61.99M,727.44M,5.685B,17.11M,5.703B,357.19M,357.19M,672.79M,,46.37M,6.106B,6.834B,373.24M,1.705B,4.237B,308.71M,372.34M,-28.44M,5.978B
2011-09,394.50M,54.96M,449.47M,,,300.47M,102.08M,852.02M,0.0,2.582B,8.025B,12.21M,10.62B,-1.071B,9.548B,,,1.818B,,,191.12M,753.30M,12.31B,13.16B,146.44M,15.00M,,161.45M,126.40M,287.85M,,500.00M,500.00M,,,787.85M,5.386B,17.09M,5.404B,381.21M,399.59M,498.81M,,44.31M,5.847B,6.635B,371.24M,1.763B,4.226B,307.54M,370.34M,-24.46M,6.029B
2011-06,390.23M,55.37M,445.60M,28.45M,,31.03M,85.37M,806.00M,0.0,2.473B,8.125B,12.21M,10.61B,-1.008B,9.602B,,,1.479B,,,182.24M,575.19M,11.84B,12.64B,130.74M,14.86M,,145.60M,102.71M,248.31M,,,,,,248.31M,5.598B,17.08M,5.615B,300.09M,318.42M,550.57M,,43.03M,5.976B,6.224B,371.22M,1.721B,4.105B,307.42M,370.34M,-21.59M,5.869B
2011-03,234.01M,64.44M,298.45M,26.31M,,29.97M,107.84M,764.61M,0.0,1.975B,7.274B,12.21M,9.262B,-953.99M,8.308B,,,1.496B,,,180.71M,693.60M,10.68B,11.44B,123.73M,14.56M,,138.29M,150.90M,289.19M,,,,,,289.19M,4.899B,17.06M,4.916B,294.63M,312.95M,663.62M,,43.20M,5.394B,5.683B,371.19M,1.208B,3.836B,306.17M,370.34M,-13.01M,5.096B
2010-12,332.83M,34.05M,366.88M,,,33.35M,137.67M,739.22M,0.0,1.750B,7.128B,12.21M,8.890B,-916.29M,7.974B,,,1.595B,,,172.52M,819.44M,10.56B,11.30B,133.39M,14.18M,,147.57M,38.15M,185.72M,,650.00M,650.00M,,,835.72M,4.601B,17.04M,4.618B,307.68M,325.94M,602.80M,,38.69M,4.983B,5.818B,371.16M,1.173B,3.661B,303.22M,370.34M,-22.66M,4.879B
2010-09,270.80M,72.09M,342.89M,,,36.56M,153.67M,723.60M,0.0,1.460B,7.128B,12.21M,8.600B,-871.91M,7.728B,,,1.685B,,,156.50M,294.52M,9.864B,10.59B,144.81M,14.20M,,159.02M,21.36M,180.37M,,800.00M,800.00M,18.20M,,998.58M,3.828B,17.03M,3.845B,320.71M,320.71M,517.82M,,117.14M,4.283B,5.282B,371.14M,1.181B,3.571B,303.22M,370.32M,-30.94M,4.788B
2010-06,339.58M,72.99M,412.57M,,,28.76M,157.52M,783.58M,0.0,1.393B,6.928B,12.21M,8.333B,-832.44M,7.501B,,,1.643B,,,147.60M,332.81M,9.624B,10.41B,144.17M,14.23M,,158.40M,24.64M,183.04M,,800.00M,800.00M,18.14M,,1.001B,3.759B,16.98M,3.776B,325.23M,325.23M,515.44M,,106.26M,4.207B,5.209B,371.14M,1.082B,3.564B,302.70M,370.32M,-30.30M,4.684B
2010-03,167.65M,78.05M,245.70M,,,26.20M,170.32M,618.82M,0.0,1.412B,6.963B,12.21M,8.387B,-790.17M,7.597B,,,1.840B,,,151.86M,306.74M,9.895B,10.51B,137.28M,14.25M,,151.53M,23.00M,174.53M,,900.00M,900.00M,18.08M,,1.093B,3.876B,16.93M,3.893B,344.77M,344.77M,525.03M,,120.54M,4.359B,5.451B,371.28M,949.08M,3.542B,302.70M,370.47M,-21.90M,4.538B
2009-12,343.72M,58.78M,402.50M,,,31.05M,94.50M,696.02M,0.0,1.379B,6.866B,12.21M,8.257B,-738.42M,7.519B,,,1.843B,,,139.26M,290.63M,9.792B,10.49B,79.24M,12.01M,,91.25M,34.73M,125.98M,,1.374B,1.374B,,34.73M,1.535B,3.519B,16.88M,3.535B,349.67M,367.68M,609.31M,,51.86M,3.955B,5.490B,249.11M,949.67M,3.526B,302.70M,248.30M,-33.54M,4.388B
2009-09,634.07M,53.05M,687.12M,,,36.47M,91.36M,975.77M,0.0,1.379B,6.823B,12.21M,8.214B,-685.06M,7.529B,,,1.586B,,,138.98M,304.44M,9.558B,10.53B,121.88M,12.01M,,133.88M,44.74M,178.62M,,1.374B,1.374B,17.92M,,1.571B,3.542B,16.84M,3.558B,368.75M,368.75M,526.90M,,142.75M,4.070B,5.641B,249.10M,973.55M,3.489B,302.70M,248.30M,-42.50M,4.366B
2009-06,676.77M,,676.77M,,,41.18M,87.15M,961.79M,0.0,1.385B,6.829B,12.21M,8.226B,-635.42M,7.591B,,,1.513B,,,135.52M,393.92M,9.633B,10.60B,125.27M,12.01M,,137.28M,38.18M,175.46M,,1.420B,1.420B,,36.74M,1.632B,3.543B,16.79M,3.560B,376.14M,393.97M,528.74M,,89.04M,4.043B,5.675B,249.10M,996.05M,3.482B,302.70M,248.30M,-32.28M,4.392B
2009-03,433.65M,,433.65M,,,47.58M,97.40M,730.76M,0.0,1.385B,6.803B,12.21M,8.200B,-586.03M,7.614B,,,1.566B,,,134.30M,455.86M,9.770B,10.50B,133.94M,26.42M,,160.36M,54.48M,214.84M,,1.389B,1.389B,,,1.604B,3.837B,16.75M,3.854B,401.85M,419.59M,529.57M,,124.46M,4.398B,6.002B,248.91M,989.48M,3.087B,302.70M,248.30M,-53.09M,3.970B
2008-12,726.89M,,726.89M,,,38.56M,105.95M,871.40M,0.0,1.386B,6.803B,12.21M,8.202B,-546.54M,7.655B,,,1.655B,,145.56M,133.05M,,9.589B,10.98B,,,,230.12M,,230.12M,,1.389B,1.389B,,,1.619B,4.227B,16.70M,4.244B,427.94M,427.94M,622.74M,,,4.672B,6.450B,248.91M,1.023B,2.999B,302.70M,248.30M,-56.99M,3.912B
2008-09,711.15M,,711.15M,,,49.61M,105.83M,866.59M,0.0,1.400B,6.842B,12.21M,8.255B,-498.88M,7.756B,,,2.067B,,152.72M,135.95M,,10.11B,11.49B,,,,238.79M,,238.79M,,1.289B,1.289B,,,1.528B,4.587B,16.66M,4.604B,462.73M,462.73M,644.72M,,,5.067B,6.955B,248.91M,952.91M,2.971B,267.33M,248.30M,-13.73M,3.892B
2008-06,53.57M,,53.57M,,,51.03M,101.79M,206.39M,0.0,1.484B,7.255B,12.21M,8.751B,-484.09M,8.267B,,,1.972B,,158.05M,141.28M,,10.54B,11.15B,,,,223.57M,,223.57M,,644.50M,644.50M,,,868.07M,1.894B,16.62M,1.910B,789.52M,789.52M,88.93M,,,2.700B,7.113B,248.91M,964.70M,2.960B,218.78M,248.30M,-7.576M,3.948B
2008-03,46.79M,,46.79M,,,58.04M,144.13M,248.96M,0.0,1.454B,7.244B,12.21M,8.710B,-432.57M,8.278B,,,2.208B,,150.09M,137.08M,,10.77B,11.45B,,,,226.60M,,226.60M,,720.50M,720.50M,,,947.10M,2.170B,16.58M,2.187B,808.26M,808.26M,85.20M,,,2.995B,7.498B,248.90M,871.73M,2.944B,200.63M,248.30M,2.143M,3.866B
2007-12,45.96M,,45.96M,,,62.10M,105.48M,213.54M,0.0,1.437B,7.174B,12.21M,8.622B,-381.51M,8.241B,,,2.243B,,136.60M,134.35M,,10.76B,11.43B,,,,278.17M,,278.17M,,708.50M,708.50M,,,986.67M,5.015B,16.54M,5.031B,819.02M,819.02M,714.41M,,,5.850B,6.889B,248.90M,791.86M,2.932B,150.72M,248.30M,4.943M,3.827B
2007-09,98.10M,1.570B,1.668B,,,216.34M,119.55M,2.004B,,,,,8.497B,-406.96M,8.090B,,,1.570B,,,,,9.660B,10.52B,166.27M,,,166.27M,50.26M,216.53M,,,,,,216.53M,5.230B,16.50M,5.246B,385.84M,402.71M,674.66M,,,5.649B,6.051B,248.90M,709.47M,2.919B,94.07M,248.30M,6.961M,3.790B
2007-06,80.30M,1.501B,1.581B,,,164.34M,131.25M,1.877B,,,,,7.583B,-324.76M,7.258B,,,1.501B,,,,,8.759B,9.452B,153.43M,,,153.43M,42.29M,195.72M,,,,,,195.72M,4.553B,16.47M,4.570B,42.38M,59.21M,669.88M,,,4.629B,5.007B,248.90M,652.36M,2.906B,40.37M,248.30M,9.287M,3.776B
2007-03,499.73M,1.432B,1.932B,,,171.24M,128.22M,2.231B,,,,,7.272B,-297.36M,6.974B,,,1.432B,,,,,8.407B,9.626B,180.38M,,,180.38M,36.78M,217.16M,,,,,,217.16M,4.849B,16.43M,4.866B,44.08M,61.18M,656.42M,,,4.927B,5.395B,248.89M,428.21M,2.886B,,248.30M,11.57M,3.575B
2006-12,117.18M,,117.18M,,,138.30M,,255.48M,,,,,3.055B,-279.44M,2.776B,,,1.131B,,,,,3.907B,4.632B,128.17M,,,128.17M,10.01M,138.18M,,,,,,138.18M,1.715B,16.39M,1.732B,43.72M,60.66M,127.89M,,,1.792B,2.109B,248.80M,322.22M,1.810B,0.00,248.30M,13.97M,2.395B
2006-09,176.44M,549.04M,725.48M,,,126.84M,227.48M,1.080B,,,,,2.738B,-253.14M,2.485B,,,896.60M,,,,,3.382B,4.227B,129.99M,,,129.99M,9.353M,139.34M,,,,,,139.34M,1.780B,16.36M,1.797B,63.36M,80.14M,128.84M,,,1.877B,2.240B,248.76M,327.74M,1.268B,,248.30M,13.06M,1.858B
2006-06,14.18M,571.42M,585.60M,,,117.01M,61.66M,764.27M,,,,,2.496B,-236.73M,2.259B,,,905.41M,,,,,3.165B,3.692B,116.70M,,,116.70M,7.991M,124.69M,,,,,,124.69M,1.659B,16.32M,1.675B,49.04M,65.67M,104.66M,,,1.741B,2.091B,248.73M,236.52M,991.24M,,248.30M,20.01M,1.497B
2006-03,20.54M,,20.54M,,,107.59M,59.49M,187.61M,,,,,2.344B,-231.56M,2.112B,,,999.32M,,,,,3.111B,3.483B,100.49M,,,100.49M,7.706M,108.19M,,,,,,108.19M,1.594B,16.29M,1.610B,30.76M,47.23M,103.68M,,,1.657B,1.894B,248.73M,233.39M,983.14M,,248.30M,19.75M,1.485B
2005-12,0.00,543.19M,543.19M,,,,60.75M,603.94M,,,,,,,2.004B,,,,,,,,2.004B,3.310B,,,,,7.711M,7.711M,,,,,,7.711M,1.542B,,1.542B,,,99.06M,,,1.542B,1.751B,0.425M,235.54M,959.86M,,,,1.459B
2005-09,14.19M,,14.19M,,,95.91M,56.22M,166.32M,,,,,2.183B,-205.44M,1.978B,,,1.060B,3.598M,,,,3.041B,3.352B,105.50M,,,105.50M,7.589M,113.09M,,,,,,113.09M,1.527B,16.23M,1.543B,,,91.12M,,,1.543B,1.822B,248.72M,240.18M,956.60M,,248.30M,13.69M,1.440B
