,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-03,250.88M,250.88M,93.76M,157.12M,,26.22M,26.22M,,,7.821M,-7.171M,,,57.16M,0.368M,-56.79M,2.295M,84.04M,73.08M,0.368M,57.16M,-56.79M,7.92M,-56.79M,,24.22M,1.917M,,-3.939M,7.116M,22.20M,25.12M,132.65M,59.57M,73.08M,0.17,0.02,,,0.2323,0.19,0.17,0.02,,,0.2308,0.19,77.82M,79.76M,0.1
2009-12,225.55M,225.55M,230.26M,-4.711M,,27.08M,27.08M,,,7.822M,0.605M,,,51.31M,0.757M,-50.55M,-116.61M,-39.60M,34.88M,0.757M,51.31M,-50.55M,17.07M,-50.55M,,1.408M,1.554M,,-3.115M,4.969M,-0.153M,-2.252M,256.57M,62.20M,194.37M,-0.11,0.01,,,-0.117,-0.1,-0.11,0.01,,,-0.1169,-0.1,77.35M,79.44M,0.1
2009-09,245.77M,245.77M,88.54M,157.23M,,26.78M,26.78M,56.36M,3.069M,7.912M,8.368M,,,66.24M,0.87M,-65.37M,16.10M,102.31M,54.92M,0.87M,66.24M,-65.37M,25.00M,-65.37M,,14.56M,-9.966M,,-2.144M,4.969M,2.449M,6.942M,115.02M,60.10M,54.92M,0.09,-0.12,,,0.0188,-0.03,0.09,-0.12,,,0.0209,-0.03,76.83M,79.17M,0.1
2009-06,252.00M,252.00M,88.63M,163.38M,,25.99M,25.99M,,,8.046M,29.32M,,,57.84M,1.104M,-56.73M,47.06M,127.94M,35.43M,1.104M,57.84M,-56.73M,43.58M,-56.73M,,22.28M,-0.705M,,-4.065M,4.969M,17.51M,-0.9236M,91.41M,55.98M,35.43M,0.24,-0.05,,,-0.0441,0.19,0.23,-0.05,,,-0.0444,0.18,67.36M,69.74M,0.1
2009-03,262.44M,262.44M,91.84M,170.60M,,25.97M,25.97M,,,8.046M,47.71M,,,61.57M,1.575M,-60.00M,63.44M,143.87M,26.73M,1.575M,61.57M,-60.00M,69.52M,-60.00M,,36.25M,6.286M,,-4.797M,4.969M,37.74M,0.9628M,83.64M,56.92M,26.73M,0.31,0.26,,,-0.2232,0.57,0.31,0.26,,,-0.2019,0.57,57.18M,59.56M,0.375
2008-12,254.62M,254.62M,200.19M,54.43M,,41.48M,41.48M,,,7.71M,-25.55M,,,75.52M,4.735M,-70.79M,1.663M,82.02M,-27.60M,4.735M,75.52M,-70.79M,-59.56M,-70.79M,,-157.95M,246.00M,,-6.445M,4.969M,81.61M,-147.79M,130.88M,57.32M,73.56M,-2.75,4.09,,,-2.459,1.34,-2.75,4.08,,,-2.471,1.34,57.06M,59.44M,0.375
2008-09,268.31M,268.31M,92.10M,176.21M,,28.63M,28.63M,,,7.709M,9.533M,9.15M,,72.38M,0.737M,-71.65M,1.599M,92.91M,83.30M,0.737M,72.38M,-71.65M,21.82M,-71.65M,,33.48M,0.063M,,0.257M,4.969M,33.80M,27.54M,140.29M,56.99M,83.30M,0.34,0.16,,,0.2334,0.5,0.33,0.16,,,0.2279,0.49,58.11M,60.72M,0.7875
2008-06,290.72M,290.72M,87.50M,203.22M,,33.26M,33.26M,,,7.826M,93.48M,5.00M,,74.27M,0.665M,-73.60M,1.538M,94.48M,108.74M,0.665M,74.27M,-73.60M,111.30M,-73.60M,,146.43M,1.566M,,-8.84M,4.969M,139.16M,76.83M,166.44M,57.70M,108.74M,0.73,1.57,,,-0.3117,2.3,0.73,1.56,,,-0.2659,2.29,58.33M,61.01M,0.7875
2008-03,254.70M,254.70M,86.20M,168.51M,,32.71M,32.71M,53.43M,1.632M,8.249M,,1.25M,,78.08M,2.034M,-76.05M,,89.02M,79.48M,2.034M,78.08M,-76.05M,19.42M,-76.05M,,22.86M,112.99M,,-9.789M,4.969M,126.06M,13.07M,136.98M,57.49M,79.48M,0.24,1.83,,,0.24,2.07,0.24,1.82,,,0.24,2.06,58.48M,61.22M,0.7875
2007-12,246.81M,246.81M,57.58M,189.23M,,33.13M,33.13M,50.19M,1.698M,8.684M,,,,65.19M,,-65.19M,30.18M,115.19M,74.04M,,65.19M,-65.19M,14.05M,-65.19M,,16.95M,116.68M,,-5.955M,4.968M,133.63M,16.95M,132.89M,58.85M,74.04M,0.2,2.49,,,0.2,2.17,0.2,2.47,,,0.2,2.16,59.02M,61.80M,0.7875
