,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2014-09,5.955B,,,630.00M,630.00M,,381.00M,-48.00M,-8.53B,-551.00M,7.163B,-1.012B,9.567B,16.31B,15.06B,,,,,0.00,-12.78B,-207.00M,-42.53B,,16.73B,-424.00M,16.31B,324.00M,-2.49B,-2.166B,780.00M,,780.00M,-1.787B,-358.00M,-2.145B,,42.00M,24.86B,,20.64B,-2.603B,18.03B,,1.104B,19.87B,-3.139B,-2.49B,2.163B,1.111B,,AOR,Restated
2014-06,5.786B,,,732.00M,732.00M,,452.00M,-61.00M,-9.155B,142.00M,3.662B,-2.625B,-1.511B,-1.21B,-3.239B,,,,,-174.00M,-6.29B,-89.00M,-34.52B,,12.86B,4.158B,17.02B,435.00M,-2.954B,-2.519B,1.995B,,1.995B,-1.802B,-218.00M,-2.02B,,184.00M,38.66B,,19.73B,904.00M,20.64B,,2.43B,15.38B,-2.519B,-2.954B,4.01B,897.00M,,AOR,Restated
2014-03,6.075B,,,571.00M,571.00M,,692.00M,-269.00M,-3.234B,-139.00M,-2.233B,-3.545B,4.19B,-1.319B,2.841B,,,,,,-3.304B,-360.00M,-18.22B,,-1.104B,3.808B,2.704B,617.00M,-1.025B,-408.00M,0.00,,0.00,-1.545B,-352.00M,-1.897B,,-602.00M,15.20B,,19.92B,-188.00M,19.73B,,617.00M,3.11B,-4.214B,-1.025B,81.00M,776.00M,,AOR,Restated
2013-12,5.713B,,,785.00M,785.00M,,385.00M,-39.00M,806.00M,202.00M,-8.127B,7.655B,4.505B,6.41B,14.42B,,,,,0.00,-6.341B,-352.00M,-50.74B,,2.048B,-55.00M,1.993B,289.00M,-1.378B,-1.089B,828.00M,,828.00M,-1.544B,-204.00M,-1.748B,,15.00M,37.30B,,18.93B,991.00M,19.92B,,1.117B,8.744B,-6.696B,-1.378B,1.589B,1.075B,,AOR,Restated
2013-09,5.683B,,,865.00M,865.00M,,396.00M,-74.00M,2.274B,-29.00M,1.878B,-1.806B,11.21B,11.88B,21.10B,,,,,0.00,-13.79B,-299.00M,-61.78B,,26.12B,-3.132B,22.99B,598.00M,-2.14B,-1.542B,1.707B,,1.707B,-1.559B,-327.00M,-1.886B,,112.00M,41.66B,,17.94B,989.00M,18.93B,,2.305B,28.77B,-2.651B,-2.14B,660.00M,1.216B,,AOR,Restated
2013-06,5.608B,,,809.00M,809.00M,,514.00M,-72.00M,-4.473B,102.00M,-2.62B,-4.266B,14.79B,9.94B,12.98B,,,,,0.00,-4.539B,-120.00M,-14.82B,,-1.05B,-3.71B,-4.76B,693.00M,-1.455B,-762.00M,0.00,,0.00,-1.566B,-180.00M,-1.746B,,-21.00M,3.563B,,16.22B,1.722B,17.94B,,693.00M,7.892B,-8.942B,-1.455B,4.506B,1.035B,,AOR,Restated
2013-03,5.22B,,,834.00M,834.00M,,625.00M,-86.00M,-16.56B,-288.00M,1.692B,3.11B,13.14B,17.88B,9.137B,,,,,,-17.68B,1.759B,-26.16B,,686.00M,3.507B,4.193B,644.00M,-383.00M,261.00M,610.00M,,610.00M,-1.284B,-306.00M,-1.59B,,5.00M,11.38B,,21.86B,-5.643B,16.22B,,1.254B,7.82B,-7.134B,-383.00M,377.00M,995.00M,,AOR,Restated
2012-12,5.297B,,,724.00M,724.00M,,395.00M,-33.00M,-12.76B,296.00M,-11.78B,6.563B,19.31B,12.90B,8.351B,,,,,-3.00M,139.00M,902.00M,-54.11B,,-3.124B,5.218B,2.094B,91.00M,-1.321B,-1.23B,635.00M,,635.00M,-1.065B,-166.00M,-1.231B,,-226.00M,50.64B,,16.99B,4.874B,21.86B,,726.00M,2.696B,-5.82B,-1.321B,3.323B,1.379B,,AOR,Restated
2012-09,5.03B,,,699.00M,699.00M,,264.00M,-68.00M,-11.82B,-43.00M,4.70B,-6.357B,21.18B,19.11B,14.81B,,,,,-244.00M,-447.00M,-784.00M,-38.06B,,4.714B,-4.066B,648.00M,689.00M,-496.00M,193.00M,742.00M,,742.00M,-1.164B,-287.00M,-1.451B,,-14.00M,23.42B,,16.81B,175.00M,16.99B,,1.431B,7.866B,-3.152B,-496.00M,1.851B,1.256B,,AOR,Restated
2012-06,4.721B,,,735.00M,735.00M,,500.00M,-27.00M,-8.128B,153.00M,1.472B,-3.703B,21.47B,19.88B,19.48B,,,,,-3.649B,1.865B,-728.00M,-14.76B,,-5.75B,5.059B,-691.00M,432.00M,-2.037B,-1.605B,0.00,,0.00,-1.171B,-153.00M,-1.324B,,47.00M,-4.907B,,17.00B,-189.00M,16.81B,,432.00M,8.134B,-13.88B,-2.037B,2.517B,1.427B,,AOR,Restated
2012-03,4.32B,,,649.00M,649.00M,,539.00M,-98.00M,-34.08B,-113.00M,-6.431B,5.561B,43.48B,42.58B,15.90B,,,,,-426.00M,-1.731B,-443.00M,-32.96B,,3.762B,1.488B,5.25B,879.00M,-64.00M,815.00M,0.00,,0.00,-1.165B,-286.00M,-1.451B,,-192.00M,14.62B,,19.44B,-2.44B,17.00B,,879.00M,8.999B,-5.237B,-64.00M,333.00M,1.183B,,AOR,Restated
2011-12,4.183B,,757.00M,725.00M,725.00M,,1.034B,-9.00M,-45.03B,-124.00M,-4.852B,-21.57B,,12.18B,-24.12B,,,-8.089B,-8.089B,-108.00M,-17.02B,-2.131B,16.72B,,-13.21B,-1.684B,-14.90B,282.00M,-654.00M,-372.00M,0.00,,0.00,-632.00M,-153.00M,-785.00M,,-63.00M,8.525B,,18.31B,1.126B,19.44B,,282.00M,3.908B,-17.12B,-654.00M,1.977B,1.723B,,AOR,Restated
2011-09,4.142B,,-8.893B,515.00M,515.00M,,78.00M,-6.00M,1.364B,-163.00M,15.31B,-4.926B,,10.22B,9.228B,,,5.028B,5.028B,-245.00M,-23.44B,-753.00M,-41.51B,,-10.67B,-3.106B,-13.77B,213.00M,-690.00M,-477.00M,0.00,,0.00,-636.00M,-287.00M,-923.00M,,-86.00M,26.53B,,24.06B,-5.745B,18.31B,,213.00M,1.077B,-11.74B,-690.00M,317.00M,1.718B,,AOR,Restated
2011-06,4.072B,,-725.00M,491.00M,491.00M,,115.00M,-9.00M,1.62B,42.00M,-2.308B,6.214B,,3.948B,11.35B,,,1.419B,1.419B,0.00,-13.46B,895.00M,-11.50B,,-6.273B,-777.00M,-7.05B,167.00M,-1.017B,-850.00M,0.00,,0.00,-635.00M,-153.00M,-788.00M,,-59.00M,7.226B,,16.98B,7.081B,24.06B,,167.00M,1.485B,-7.758B,-1.017B,2.437B,1.763B,,AOR,Restated
2011-03,3.814B,,8.861B,477.00M,477.00M,,261.00M,-55.00M,-1.447B,-156.00M,-5.508B,8.754B,,3.09B,17.21B,,,1.642B,1.642B,0.00,8.136B,1.909B,1.232B,,-8.716B,-664.00M,-9.38B,634.00M,-55.00M,579.00M,2.501B,,2.501B,-634.00M,-251.00M,-885.00M,,-44.00M,-17.51B,,16.04B,934.00M,16.98B,,3.135B,5.217B,-13.93B,-55.00M,144.00M,1.807B,,AOR,Restated
2010-12,3.493B,,-17.87B,422.00M,422.00M,,81.00M,-19.00M,-724.00M,280.00M,3.163B,8.173B,,7.601B,-4.028B,,,,,-13.00M,1.772B,2.748B,-29.21B,,-4.676B,4.686B,10.00M,325.00M,-20.00M,305.00M,,,0.00,-262.00M,-117.00M,-379.00M,,-84.00M,33.28B,,16.00B,43.00M,16.04B,,325.00M,851.00M,-12.15B,-20.00M,270.00M,1.936B,,AOR,Restated
2010-09,3.425B,,-1.348B,167.00M,167.00M,,76.00M,-4.00M,-2.40B,44.00M,3.57B,-5.044B,,2.585B,5.946B,,,,,-23.00M,-14.33B,2.331B,13.82B,,-25.39B,5.528B,-19.86B,185.00M,-3.00M,182.00M,,,0.00,-263.00M,-251.00M,-514.00M,,-25.00M,-21.33B,,17.57B,-1.57B,16.00B,,185.00M,473.00M,-20.34B,-3.00M,292.00M,2.214B,,AOR,Restated
2010-06,3.145B,,2.481B,622.00M,622.00M,,104.00M,-24.00M,3.792B,37.00M,740.00M,-6.913B,,-6.136B,7.973B,,,,,,8.721B,1.786B,-975.00M,,-14.67B,-1.146B,-15.81B,401.00M,-30.00M,371.00M,,,0.00,-260.00M,-118.00M,-378.00M,,-638.00M,-5.728B,,16.30B,1.27B,17.57B,,401.00M,750.00M,-16.56B,-30.00M,300.00M,1.937B,,AOR,Restated
2010-03,2.60B,,7.65B,713.00M,713.00M,,175.00M,-51.00M,448.00M,690.00M,-9.47B,796.00M,,-7.984B,8.881B,,,,,,6.891B,1.379B,12.70B,,-15.09B,2.24B,-12.85B,464.00M,-38.00M,426.00M,,,0.00,-260.00M,-251.00M,-511.00M,,-292.00M,-32.36B,,27.08B,-10.78B,16.30B,,464.00M,1.415B,-14.27B,-38.00M,325.00M,2.22B,,AOR,Restated
2009-12,3.013B,,1.466B,404.00M,404.00M,,65.00M,-9.00M,-5.188B,-1.241B,3.032B,-4.092B,,-2.301B,3.363B,,,1.051B,1.051B,-6.00M,10.88B,-1.395B,-3.369B,,-7.335B,8.166B,831.00M,12.39B,-140.00M,12.25B,,,,-796.00M,,-796.00M,9.00M,-4.698B,9.853B,,17.23B,9.847B,27.08B,,12.39B,3.593B,-2.762B,-25.14B,208.00M,2.063B,,AOR,Restated
2009-09,3.316B,,6.459B,897.00M,897.00M,,42.00M,-6.00M,1.173B,664.00M,-6.21B,-5.045B,,-10.59B,7.401B,,,2.708B,2.708B,0.00,29.26B,2.455B,50.67B,,-19.24B,-24.68B,-43.93B,282.00M,-17.00M,265.00M,,,,-797.00M,,-797.00M,6.00M,-40.00M,-61.47B,,20.63B,-3.399B,17.23B,,282.00M,927.00M,-44.85B,-17.00M,1.772B,2.81B,,AOR,Restated
2009-06,3.249B,,-6.815B,559.00M,559.00M,,43.00M,-3.00M,-49.00M,-390.00M,-831.00M,1.121B,,-100.00M,1.97B,,,,,-9.00M,-22.50B,5.612B,5.781B,,-17.22B,-16.60B,-33.82B,8.784B,-9.00M,8.775B,,,,-1.267B,623.00M,-644.00M,3.00M,-85.00M,-9.305B,,22.19B,-1.554B,20.63B,,8.784B,65.00M,-33.89B,-9.00M,813.00M,2.401B,,AOR,Restated
2009-03,3.089B,,-15.29B,981.00M,981.00M,,95.00M,0.00,283.00M,674.00M,5.051B,16.43B,,22.16B,15.88B,,,,,-123.00M,-21.07B,-3.116B,18.70B,,-14.07B,-35.99B,-50.06B,524.00M,-54.00M,470.00M,,,,-1.443B,-623.00M,-2.066B,0.00,-230.00M,-36.16B,,23.76B,-1.577B,22.19B,,524.00M,3.811B,-53.87B,-54.00M,249.00M,3.704B,,AOR,Restated
2008-12,-2.741B,,-257.00M,515.00M,515.00M,,40.00M,-17.00M,7.26B,-2.739B,-9.762B,-17.73B,,-30.23B,-16.99B,,,,,11.79B,-1.393B,-3.744B,39.45B,,35.38B,-46.69B,-11.31B,-1.269B,-461.00M,-1.73B,,,,,,-1.134B,17.00M,2.273B,-11.56B,,12.86B,10.90B,23.76B,,-1.269B,18.00B,-29.31B,-461.00M,123.00M,194.00M,,,Restated
2008-09,1.651B,,5.53B,406.00M,406.00M,,31.00M,-85.00M,560.00M,-120.00M,-1.93B,-9.114B,,-11.16B,-576.00M,,,,,-204.00M,1.801B,-673.00M,-15.56B,,4.792B,-1.086B,3.706B,661.00M,-642.00M,19.00M,,,,2.05B,,-1.128B,85.00M,,15.39B,,13.61B,-749.00M,12.86B,,661.00M,9.182B,-5.476B,-642.00M,46.00M,2.364B,,,Restated
2008-06,1.789B,0.00,4.05B,380.00M,380.00M,,32.00M,-4.00M,-3.461B,41.00M,1.025B,6.303B,,7.369B,13.17B,,,,,-340.00M,-11.30B,2.215B,-23.63B,,1.952B,32.16B,34.11B,291.00M,-169.00M,122.00M,,,,-1.026B,0.00,-1.026B,4.00M,-3.262B,10.93B,,13.15B,464.00M,13.61B,,291.00M,36.50B,-2.394B,-169.00M,2.126B,2.411B,,,Restated
2008-03,1.999B,0.00,-2.567B,368.00M,368.00M,,71.00M,-15.00M,1.946B,142.00M,1.36B,-5.722B,,-4.22B,-390.00M,,,,,-46.00M,-9.231B,-1.618B,-18.42B,,568.00M,728.00M,1.296B,317.00M,-351.00M,-34.00M,,,,-1.024B,0.00,-1.024B,15.00M,3.262B,17.20B,,14.76B,-1.611B,13.15B,,317.00M,8.865B,-7.569B,-351.00M,259.00M,3.152B,,,Restated
2007-12,1.251B,,-70.00M,391.00M,391.00M,-663.00M,,,4.855B,,,,,-379.00M,5.385B,,,,,51.00M,-6.815B,-11.16B,-17.92B,,3.387B,11.07B,14.45B,,,-2.308B,,,,,,-1.036B,,-123.00M,15.09B,,12.20B,2.557B,14.76B,,,6.791B,-3.404B,,,,,,
2007-09,2.283B,,114.00M,377.00M,377.00M,173.00M,,,1.942B,,,,,-10.12B,-5.231B,,,,,-37.00M,20.79B,-25.76B,-5.009B,,1.461B,891.00M,2.352B,,,-1.54B,,,,,,-1.034B,,-265.00M,9.726B,,12.71B,-514.00M,12.20B,,,7.664B,-6.203B,,,,,,
2007-06,2.279B,513.00M,-938.00M,382.00M,382.00M,275.00M,,,-313.00M,,,,,1.568B,3.253B,,,,,-2.825B,-27.96B,-13.11B,-43.90B,,3.082B,27.52B,30.60B,,,-511.00M,,,,,,-937.00M,,-105.00M,40.87B,,12.48B,229.00M,12.71B,,,5.369B,-2.287B,,,,,,
2007-03,2.244B,-513.00M,-513.00M,382.00M,382.00M,184.00M,,,1.417B,,,,,1.957B,5.671B,,,,,,-1.314B,-9.176B,-10.49B,,3.18B,352.00M,3.532B,,,-1.183B,,,,,,-948.00M,,-39.00M,2.276B,,15.03B,-2.543B,12.48B,,,9.536B,-6.356B,,,,,,
2006-12,2.119B,-1.701B,-573.00M,971.00M,971.00M,-284.00M,,,3.202B,,,,,769.00M,6.204B,,,,,-100.00M,7.858B,-8.536B,-778.00M,,3.291B,-1.017B,2.274B,,,-54.00M,,,,,,-946.00M,,-187.00M,-2.989B,,12.59B,2.437B,15.03B,,,5.268B,-1.977B,,,,,,
2006-09,2.194B,-11.00M,-507.00M,976.00M,976.00M,394.00M,,,764.00M,,,,,-2.44B,1.381B,,,,,-194.00M,20.63B,-11.82B,8.613B,,390.00M,180.00M,570.00M,,,107.00M,,,,,,-3.00M,,2.00M,-11.47B,,14.07B,-1.478B,12.59B,,,3.063B,-2.673B,,,,,,
2006-06,2.089B,514.00M,-118.00M,734.00M,734.00M,277.00M,,,-1.943B,,,,,2.695B,3.734B,,,,,-66.00M,-21.62B,11.20B,-10.50B,,-888.00M,-7.777B,-8.665B,,,-93.00M,,,,,,-1.818B,,195.00M,7.607B,,13.22B,845.00M,14.07B,,,3.425B,-4.313B,,,,,,
