,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1998-09,3.884B,3.884B,,1.061B,1.061B,,,,1.061B,76.00M,2.263B,1.23B,488.00M,742.00M,,,9.00M,742.00M,739.59M,609.00M,2.495B,,0.225,0.00,,0.2234,0.225,,0.225,0.00,,0.2234,0.225,,1.512B,1.544B,0.0925,,,
1998-06,3.947B,3.947B,,1.054B,1.054B,,,,1.054B,66.00M,2.232B,1.186B,467.00M,719.00M,,,9.00M,719.00M,686.87M,571.00M,2.444B,,0.22,0.00,,0.1988,0.22,,0.215,0.00,,0.1942,0.215,,1.514B,1.546B,0.0825,,,
1998-03,3.727B,3.727B,,1.007B,1.007B,,,,1.007B,19.00M,2.194B,1.126B,442.00M,684.00M,,,9.00M,684.00M,648.16M,466.00M,2.371B,,0.21,0.00,,0.1863,0.21,,0.205,0.00,,0.1813,0.205,,1.515B,1.515B,0.0825,,,
1997-12,9.148B,9.148B,,2.086B,1.901B,,,,1.901B,79.10M,5.667B,2.669B,1.165B,1.504B,,,29.70M,1.504B,1.489B,1.131B,5.642B,,0.095,0.00,,0.0847,0.095,,0.095,0.00,,0.0849,0.095,,1.499B,1.522B,0.0825,,,
1997-09,1.776B,1.776B,63.30M,608.00M,671.30M,,,,671.30M,15.40M,1.023B,518.00M,176.40M,341.60M,,,4.40M,341.60M,306.78M,197.30M,1.188B,,0.225,0.00,,0.2018,0.225,,0.22,0.00,,0.1973,0.22,,1.499B,1.533B,0.075,,,
1997-06,1.756B,1.756B,63.70M,569.90M,633.60M,,,,633.60M,8.90M,999.80M,513.70M,182.30M,331.40M,,,4.40M,331.40M,271.21M,227.60M,1.175B,,0.215,0.00,,0.1754,0.215,,0.215,0.00,,0.1754,0.215,,1.521B,1.521B,0.075,,,
1997-03,1.649B,1.649B,,546.60M,546.60M,,,,546.60M,-4.40M,958.30M,492.40M,170.50M,321.90M,,,4.40M,321.90M,309.35M,178.40M,1.142B,,0.215,0.00,,0.2065,0.215,,0.21,0.00,,0.2017,0.21,,1.477B,1.512B,0.075,,,
1996-12,8.410B,8.410B,,2.065B,1.898B,,,,1.898B,68.50M,5.467B,2.453B,1.071B,1.382B,,,71.70M,1.382B,1.329B,968.30M,5.117B,,0.12,0.00,,0.0837,0.12,,0.115,0.00,,0.0790,0.115,,1.461B,1.473B,0.0675,,,
1996-09,1.580B,1.580B,56.80M,539.00M,595.80M,,,,595.80M,-12.40M,947.70M,441.20M,152.20M,289.00M,,,4.40M,289.00M,265.62M,192.40M,1.105B,,0.19,0.00,,0.1744,0.19,,0.19,0.00,,0.1744,0.19,,1.498B,1.498B,0.0675,,,
1996-06,1.563B,1.563B,56.90M,511.30M,568.20M,,,,568.20M,-45.80M,916.50M,459.90M,174.50M,285.40M,,,4.40M,285.40M,244.75M,160.10M,1.118B,,0.19,0.00,,0.1625,0.19,,0.19,0.00,,0.1625,0.19,,1.479B,1.479B,0.0675,,,
1996-03,1.444B,1.444B,,509.10M,509.10M,,,,509.10M,1.70M,890.80M,412.60M,141.20M,271.40M,,,4.50M,271.40M,227.66M,137.20M,1.046B,,0.185,0.00,,0.1547,0.185,,0.185,0.00,,0.1547,0.185,,1.443B,1.443B,0.06,,,
1995-12,1.398B,1.398B,,465.50M,465.50M,,,,465.50M,-5.60M,887.60M,379.10M,119.40M,259.70M,,,,259.70M,233.81M,109.70M,1.056B,,0.185,0.00,,0.1629,0.185,,0.175,0.00,,0.1542,0.175,,1.169B,1.245B,0.06,,,
1995-09,1.329B,1.329B,,455.70M,455.70M,,,,455.70M,-15.60M,839.80M,370.80M,125.60M,245.20M,,,,245.20M,220.14M,77.60M,1.007B,,0.175,0.00,,0.1571,0.175,,0.175,0.00,,0.1571,0.175,,1.401B,1.401B,0.06,,,
1995-06,1.250B,1.250B,,425.40M,425.40M,,,,425.40M,11.90M,798.20M,348.90M,114.60M,234.30M,,,,234.30M,231.08M,63.80M,939.80M,,0.17,0.00,,0.1677,0.17,,0.17,0.00,,0.1677,0.17,,1.378B,1.378B,0.0525,,,
1995-03,1.172B,1.172B,,398.50M,398.50M,,,,398.50M,-35.20M,743.70M,324.00M,107.20M,216.80M,,,,216.80M,202.35M,60.70M,868.30M,,0.165,0.00,,0.154,0.165,,0.165,0.00,,0.154,0.165,,1.314B,1.314B,0.0525,,,
1994-12,1.172B,1.172B,,393.40M,393.40M,,,,393.40M,-20.30M,734.60M,301.40M,96.50M,204.90M,,,6.80M,204.90M,187.43M,47.60M,763.20M,,0.1575,0.00,,0.1436,0.1575,,0.1575,0.00,,0.1436,0.1575,,1.254B,1.256B,0.0525,,,
1994-09,1.101B,1.101B,,389.90M,389.90M,,,,389.90M,-51.90M,721.80M,299.10M,96.10M,203.00M,,,6.90M,203.00M,192.01M,72.20M,708.00M,,0.155,0.00,,0.1463,0.155,,0.155,0.00,,0.1463,0.155,,1.265B,1.265B,0.0463,,,
1994-06,1.084B,1.084B,,393.40M,393.40M,,,,393.40M,-43.50M,697.30M,301.50M,99.50M,202.00M,,,6.10M,202.00M,191.95M,55.40M,678.00M,,0.155,0.00,,0.1470,0.155,,0.15,0.00,,0.1423,0.15,,1.264B,1.306B,0.0463,,,
1994-03,1.084B,1.084B,,397.00M,397.00M,,,,397.00M,36.50M,649.90M,278.60M,88.10M,190.50M,,,8.00M,190.50M,176.69M,57.00M,621.50M,,0.15,0.00,,0.1386,0.15,,0.145,0.00,,0.1340,0.145,,1.217B,1.259B,0.0463,,,
1993-12,1.045B,1.045B,,382.00M,382.00M,,,,382.00M,22.30M,619.10M,254.20M,79.20M,175.00M,,,6.90M,175.00M,167.08M,55.80M,601.00M,,0.085,0.00,,0.0805,0.085,,0.08,0.00,,0.0756,0.08,,1.749B,1.817B,0.0413,,,
1993-09,961.00M,961.00M,,370.10M,370.10M,,,,370.10M,-0.80M,593.90M,226.60M,59.30M,167.30M,,,6.90M,167.30M,151.50M,51.70M,565.80M,,0.14,0.00,,0.1262,0.14,,0.135,0.00,,0.1217,0.135,,1.146B,1.188B,0.0413,,,
1993-06,994.40M,994.40M,,344.80M,344.80M,,,,344.80M,5.80M,583.00M,229.70M,68.60M,161.10M,,,6.90M,161.10M,146.44M,47.30M,565.90M,,0.13,0.00,,0.1176,0.13,,0.13,0.00,,0.1176,0.13,,1.186B,1.186B,0.0413,,,
1993-03,918.10M,918.10M,,319.60M,319.60M,,,,319.60M,22.80M,580.10M,227.20M,77.00M,150.20M,,,6.90M,150.20M,146.43M,40.00M,563.00M,,0.125,0.00,,0.1217,0.125,,0.12,0.00,,0.1168,0.12,,1.146B,1.194B,0.0363,,,
1992-12,848.60M,848.60M,,296.20M,296.20M,,,,296.20M,-0.10M,550.30M,179.40M,45.20M,134.20M,,,6.90M,62.50M,124.77M,192.30M,500.00M,,0.0496,,,0.0412,0.0496,,0.0496,,,0.0412,0.0496,,1.121B,1.121B,0.0363,,,
1992-09,849.20M,849.20M,,276.10M,276.10M,,,,276.10M,0.90M,503.60M,193.50M,59.60M,133.90M,,,7.00M,133.90M,127.40M,40.70M,523.90M,,0.115,0.00,,0.1091,0.115,,0.115,0.00,,0.1091,0.115,,1.103B,1.103B,0.0363,,,
1992-06,771.00M,771.00M,,256.20M,256.20M,,,,256.20M,3.10M,482.30M,165.60M,37.70M,127.90M,,,6.90M,127.90M,129.91M,39.30M,536.80M,,0.11,0.00,,0.1118,0.11,,0.11,0.00,,0.1118,0.11,,1.10B,1.10B,0.0313,,,
1992-03,742.90M,742.90M,,258.60M,258.60M,,,,258.60M,5.00M,472.80M,161.10M,38.70M,122.40M,,,7.00M,122.40M,118.53M,38.40M,555.30M,,0.105,0.00,,0.1015,0.105,,0.105,0.00,,0.1015,0.105,,1.099B,1.099B,0.0313,,,
1991-12,686.40M,686.40M,,234.20M,234.20M,,,,234.20M,8.00M,435.40M,127.00M,18.10M,108.90M,,,7.70M,108.90M,110.10M,38.70M,549.90M,,0.095,0.00,,0.0961,0.095,,0.095,0.00,,0.0961,0.095,,1.067B,1.067B,0.0313,,,
1991-09,657.70M,657.70M,,224.50M,224.50M,,,,224.50M,4.40M,414.00M,121.80M,17.70M,104.10M,,,2.90M,104.10M,103.93M,37.80M,565.30M,,0.095,0.00,,0.0948,0.095,,0.095,0.00,,0.0948,0.095,,1.065B,1.065B,0.0288,,,
1991-06,640.30M,640.30M,,223.30M,223.30M,,,,223.30M,-2.30M,400.10M,108.20M,10.20M,98.00M,,,3.70M,98.00M,101.89M,40.80M,558.90M,,0.095,0.00,,0.0989,0.095,,0.095,0.00,,0.0989,0.095,,992.63M,992.63M,0.0288,,,
1991-03,543.70M,543.70M,,181.70M,181.70M,,,,181.70M,4.10M,328.70M,107.60M,30.60M,77.00M,,,3.00M,77.00M,76.36M,31.80M,525.10M,,0.09,0.00,,0.0892,0.09,,0.09,0.00,,0.0892,0.09,,822.22M,822.22M,0.0288,,,
1990-12,492.70M,492.70M,,165.50M,165.50M,,,,165.50M,1.30M,294.90M,90.90M,20.20M,70.70M,,,0.10M,70.70M,66.19M,25.60M,499.40M,,0.09,0.00,,0.0842,0.09,,0.085,0.00,,0.0796,0.085,,782.81M,830.59M,0.0288,,,
1990-09,476.70M,476.70M,,166.50M,166.50M,,,,166.50M,1.90M,284.70M,98.60M,27.10M,71.50M,,,,71.50M,71.35M,24.70M,501.40M,,0.09,0.00,,0.0898,0.09,,0.09,0.00,,0.0898,0.09,,794.44M,794.44M,0.0257,,,
1990-06,454.90M,454.90M,,159.10M,159.10M,,,,159.10M,1.00M,290.70M,94.00M,24.00M,70.00M,,,,70.00M,68.59M,25.50M,511.90M,,0.085,0.00,,0.0833,0.085,,0.085,0.00,,0.0833,0.085,,823.53M,823.53M,0.0257,,,
1990-03,407.30M,407.30M,,142.50M,142.50M,,,,142.50M,0.10M,264.30M,85.90M,23.10M,62.80M,,,,62.80M,61.05M,18.90M,460.50M,,0.085,0.00,,0.0826,0.085,,0.085,0.00,,0.0826,0.085,,738.82M,738.82M,0.0257,,,
1989-12,,,,,,,,,,,,,,61.10M,,,,61.10M,,,,,,,,,,,,,,,,,747.94M,747.94M,0.0257,,,
1989-09,,,,,,,,,,,,,,60.10M,,,,60.10M,,,,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,745.02M,745.02M,0.0232,,,
1989-06,,,,,,,,,,,,,,58.80M,,,,58.80M,,,,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,710.88M,710.88M,,,,
1989-03,,,,,,,,,,,,,,57.00M,,,,57.00M,,,,,0.075,0.00,,0.075,0.075,,0.075,0.00,,0.075,0.075,,710.88M,710.88M,0.0232,,,
1988-12,,,,,,,,,,,,,,55.90M,,,,55.90M,,,,,,,,,,,,,,,,,710.88M,710.88M,0.0209,,,
1988-09,,,,,,,,,,,,,,53.90M,,,,53.90M,,,,,0.075,0.00,,0.075,0.075,,0.075,0.00,,0.075,0.075,,706.88M,706.88M,0.0209,,,
1988-06,,,,,,,,,,,,,,51.30M,,,,51.30M,,,,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,706.88M,706.88M,,,,
1988-03,,,,,,,,,,,,,,50.10M,,,,50.10M,,,,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,706.88M,706.88M,0.0188,,,
1987-12,,,,,,,,,,,,,,48.70M,,,,48.70M,,,,,,,,,,,,,,,,,708.99M,708.99M,0.0188,,,
1987-09,,,,,,,,,,,,,,48.60M,,,,48.60M,,,,,0.065,0.00,,0.065,0.065,,0.065,0.00,,0.065,0.065,,726.35M,726.35M,0.0188,,,
1987-06,,,,,,,,,,,,,,-157.80M,,,,-157.80M,,,-157.80M,,-0.225,0.00,,-0.225,-0.225,,-0.225,0.00,,-0.225,-0.225,,726.35M,726.35M,,,,
1987-03,,,,,,,,,,,,,,30.70M,,,,30.70M,,,,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,727.68M,727.68M,0.0188,,,
1986-12,,,,,,,,,,,,,,33.20M,,,,33.20M,,,,,,,,,,,,,,,,,735.76M,735.76M,0.0188,,,
1986-09,,,,,,,,,,,,,,32.30M,,,,32.30M,,,,,0.045,0.00,,0.045,0.045,,0.04,0.00,,0.04,0.04,,740.72M,740.72M,0.0188,,,
1986-06,,,,,,,,,,,,,,29.10M,,,,29.10M,,,,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,731.41M,731.41M,,,,
1986-03,,,,,,,,,,,,,,27.10M,,,,27.10M,,,,,0.035,0.00,,0.035,0.035,,0.035,0.00,,0.035,0.035,,726.11M,726.11M,0.0188,,,
1985-12,,,,,,,,,,,,,,22.20M,,,,22.20M,,,,,,,,,,,,,,,,,713.81M,713.81M,,,,
1985-09,,,,,,,,,,,,,,26.90M,,,,26.90M,,,,,0.035,0.00,,0.035,0.035,,0.035,0.00,,0.035,0.035,,706.18M,706.18M,,,,
1985-06,,,,,,,,,,,,,,30.20M,,,,30.20M,,,,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,705.79M,705.79M,,,,
1985-03,,,,,,,,,,,,,,28.30M,,,,28.30M,,,,,0.04,0.00,,0.04,0.04,,0.035,0.00,,0.035,0.035,,698.34M,698.34M,,,,
1984-12,,,,,,,,,,,,,,27.30M,,,,27.30M,,,,,,,,,,,,,,,,,696.26M,696.26M,,,,
1984-09,,,,,,,,,,,,,,-24.00M,,,,-24.00M,,,-24.00M,,-0.045,0.00,,-0.045,-0.045,,-0.045,0.00,,-0.045,-0.045,,688.54M,688.54M,,,,
1984-06,,,,,,,,,,,,,,32.40M,,,,32.40M,,,,,0.045,0.00,,0.045,0.045,,0.045,0.00,,0.045,0.045,,688.54M,688.54M,,,,
1984-03,,,,,,,,,,,,,,33.80M,,,,33.80M,,,,,0.045,0.00,,0.045,0.045,,0.045,0.00,,0.045,0.045,,673.87M,673.87M,,,,
