,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,152.03M,152.03M,68.86M,83.16M,,,46.86M,48.77M,8.727M,-65.81M,,,,2.507M,106.86M,-23.70M,,,,-65.99M,,-86.83M,1.50M,-88.33M,,-88.33M,-48.84M,1.669M,25.37M,-23.70M,-0.24,0.0,-0.1333,-0.24,-0.24,0.0,-0.1333,-0.24,369.94M,369.94M,
2002-06,117.04M,117.04M,48.16M,68.88M,,,35.00M,33.77M,-6.362M,,,,,,62.41M,6.475M,,,,-0.111M,,6.981M,0.75M,6.231M,,6.231M,6.231M,11.36M,4.884M,6.475M,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.02,330.96M,342.17M,
2002-03,122.22M,122.22M,50.00M,72.22M,,,37.13M,35.07M,15.28M,-30.60M,,,,,87.47M,-15.25M,,,,-31.62M,,-45.25M,0.75M,-46.00M,,-46.00M,-27.64M,9.152M,24.40M,-15.25M,-0.14,0.0,-0.0843,-0.14,-0.14,0.0,-0.0843,-0.14,329.37M,329.37M,
2001-12,151.03M,151.03M,58.78M,92.25M,,,50.33M,36.76M,27.69M,,,,,,114.79M,-22.54M,,,,,,-8.44M,-3.314M,-5.126M,,-5.126M,-5.126M,9.846M,32.38M,-22.54M,-0.01,0.0,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,323.57M,323.57M,
2001-09,201.70M,201.70M,119.77M,81.94M,,,42.78M,37.90M,27.97M,-11.00M,,,,,108.64M,-26.70M,,,,-12.48M,,-30.99M,-1.265M,-29.73M,,-29.73M,-19.18M,9.027M,35.73M,-26.70M,-0.09,0.0,-0.057,-0.09,-0.09,0.0,-0.057,-0.09,320.18M,320.18M,
2001-06,202.18M,202.18M,80.48M,121.70M,,,45.40M,42.08M,31.12M,-46.04M,,,,,118.60M,3.105M,,,,-46.04M,,-33.02M,4.107M,-37.13M,,-37.13M,-9.504M,34.22M,26.93M,3.105M,-0.12,0.0,-0.0332,-0.12,-0.12,0.0,-0.0332,-0.12,318.20M,318.20M,
2001-03,332.10M,332.10M,113.74M,218.36M,,,51.79M,42.99M,36.58M,,,,,,131.36M,87.00M,,,,,,88.99M,30.43M,58.57M,,58.57M,58.57M,139.63M,52.63M,87.00M,0.19,0.0,0.19,0.19,0.17,0.0,0.17,0.17,315.57M,344.92M,
2000-12,295.39M,295.39M,66.62M,228.77M,,,45.44M,30.24M,,-33.82M,,,,,93.50M,135.27M,,,,-33.82M,,99.58M,37.42M,62.16M,,62.16M,83.27M,163.09M,18.56M,135.27M,0.21,0.0,0.2776,0.21,0.18,0.0,0.2404,0.18,312.42M,349.50M,
2000-09,201.20M,201.20M,70.29M,130.91M,,,28.83M,23.60M,2.272M,,,,,,54.70M,76.21M,,,,,,87.85M,29.78M,58.07M,,58.07M,58.07M,81.59M,5.383M,76.21M,0.19,0.0,0.19,0.19,0.17,0.0,0.17,0.17,307.68M,349.72M,
2000-06,113.03M,113.03M,40.75M,72.28M,,,21.42M,18.00M,2.315M,-10.00M,,,,10.00M,51.73M,20.54M,,,,-10.00M,,30.42M,10.80M,19.62M,,19.62M,26.07M,26.66M,6.117M,20.54M,0.06,0.0,0.0814,0.06,0.06,0.0,0.0786,0.06,301.88M,346.41M,
2000-03,63.89M,63.89M,25.10M,38.78M,,,14.52M,15.99M,2.391M,,,,,,32.90M,5.885M,,,,,,12.52M,4.45M,8.071M,,8.071M,8.071M,10.62M,4.74M,5.885M,0.025,0.0,0.025,0.025,0.025,0.0,0.025,0.025,295.54M,350.29M,
1999-12,45.41M,45.41M,13.70M,31.71M,,,10.70M,15.80M,,,,,,,32.90M,-1.194M,,,,,,5.00M,1.90M,3.10M,,3.10M,3.10M,5.206M,6.40M,-1.194M,0.0099,,0.0099,0.0099,0.0099,,0.0099,0.0099,311.88M,311.88M,
1999-09,29.56M,29.56M,11.90M,17.66M,,,7.30M,11.50M,,,,,,,20.20M,-2.536M,,,,,,-1.20M,0.40M,-1.60M,,-1.60M,-1.60M,-1.136M,1.40M,-2.536M,-0.0017,0.0,-0.0017,-0.0017,-0.0017,0.0,-0.0017,-0.0017,592.28M,592.28M,
1999-06,17.60M,17.60M,8.60M,9.00M,,,4.80M,8.00M,0.30M,,,,,0.60M,13.70M,-4.70M,,,,,,-3.80M,0.10M,-3.90M,,-3.90M,-3.90M,-4.40M,0.30M,-4.70M,-0.0033,0.0,-0.0033,-0.0033,-0.0033,0.0,-0.0033,-0.0033,644.39M,644.39M,
1999-03,10.00M,10.00M,5.20M,4.80M,,,3.40M,6.20M,,0.30M,,,,,11.70M,-6.90M,,,,0.30M,,,,-6.70M,,-6.70M,-6.88M,-4.80M,2.10M,-6.90M,-0.005,0.0,-0.0056,-0.005,-0.005,0.0,-0.0056,-0.005,300.40M,300.40M,
