,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-09,172.40M,,-0.20M,,-0.20M,,,53.30M,53.30M,,,54.70M,,54.70M,-2.90M,-9.70M,-38.30M,,,14.60M,-36.30M,243.90M,-46.00M,-46.00M,,-73.90M,-59.10M,-2.90M,-181.90M,0.00,0.00,27.50M,-113.80M,-86.30M,-38.00M,-38.00M,0.90M,-123.40M,1.757B,-61.40M,-6.50M,1.689B,27.50M,0.00,0.00,-113.80M
2016-06,140.00M,,-3.60M,,-3.60M,,,51.60M,51.60M,-21.10M,,55.60M,,55.60M,42.70M,47.10M,0.60M,,,47.10M,137.50M,360.00M,-67.60M,-67.60M,,-22.80M,20.70M,0.50M,-69.20M,0.00,0.00,0.20M,-126.70M,-126.50M,-38.10M,-38.10M,-16.40M,-181.00M,1.646B,109.80M,1.10M,1.757B,0.20M,0.00,0.00,-126.70M
2016-03,91.40M,,5.40M,,5.40M,,,47.00M,47.00M,21.10M,,51.80M,,51.80M,-3.20M,-59.60M,40.00M,,,-21.50M,-44.30M,172.40M,-49.30M,-49.30M,,,-7.90M,,-57.20M,194.00M,194.00M,32.00M,-83.40M,-51.40M,-38.30M,-38.30M,,104.30M,1.421B,219.50M,5.60M,1.646B,32.00M,494.00M,-300.00M,-83.40M
2015-12,197.80M,,0.00,,0.00,,,45.00M,45.00M,-24.60M,,56.00M,7.40M,0.50M,-203.20M,-52.30M,-14.60M,,,112.00M,-158.10M,124.00M,-55.40M,-55.40M,,0.00,21.90M,0.10M,-33.40M,0.40M,0.40M,24.20M,-96.00M,-71.80M,-38.30M,-38.30M,-7.80M,-117.50M,1.454B,-26.90M,-5.70M,1.421B,24.20M,0.00,0.40M,-96.00M
2015-09,197.70M,-0.40M,-5.60M,,-6.00M,,,42.50M,42.50M,-13.90M,,56.40M,-3.10M,-3.50M,-44.70M,50.50M,-22.30M,,,39.40M,22.90M,293.00M,-71.10M,-71.10M,,-3.50M,-43.00M,11.60M,-106.00M,-0.80M,-0.80M,34.00M,-52.10M,-18.10M,-38.50M,-38.50M,3.10M,-54.30M,1.330B,132.70M,-9.50M,1.454B,34.00M,-0.40M,-0.40M,-52.10M
2015-06,158.00M,0.40M,-0.20M,,0.20M,,,41.50M,41.50M,12.60M,,58.90M,-2.60M,-1.90M,-25.20M,-19.90M,11.70M,,,29.90M,-3.50M,263.20M,-39.60M,-39.60M,,0.00,-103.10M,,-142.70M,0.00,0.00,31.20M,-602.30M,-571.10M,-38.70M,-38.70M,2.60M,-607.20M,1.811B,-486.70M,6.20M,1.330B,31.20M,0.00,0.00,-602.30M
2015-03,80.20M,,-0.60M,,-0.60M,,,47.50M,47.50M,11.30M,,46.00M,-1.70M,1.40M,54.20M,-21.80M,-56.20M,,,59.00M,35.20M,219.30M,-44.20M,-44.20M,,,-177.10M,,-221.30M,595.00M,595.00M,31.80M,-402.40M,-370.60M,-40.80M,-40.80M,1.70M,185.30M,1.640B,183.30M,-12.10M,1.811B,31.80M,595.00M,0.00,-402.40M
2014-12,-769.60M,-1.90M,-1.10M,,-22.60M,,,44.20M,44.20M,68.50M,,54.60M,-0.60M,-40.20M,16.40M,9.80M,73.00M,,,1.40M,100.60M,284.90M,-51.90M,-51.90M,,105.70M,229.80M,-0.40M,283.20M,0.40M,0.40M,2.20M,-501.50M,-499.30M,-42.20M,-42.20M,8.40M,-532.70M,1.616B,35.40M,-11.70M,1.640B,2.20M,0.00,0.40M,-501.50M
2014-09,103.60M,1.10M,1.90M,,3.00M,,,46.30M,46.30M,-3.10M,,65.30M,-0.80M,-15.80M,-54.60M,-16.00M,-70.40M,,,-127.20M,-268.20M,-69.70M,-42.40M,-42.40M,,0.00,117.60M,20.00M,95.20M,0.00,0.00,36.40M,-853.90M,-817.50M,-43.80M,-43.80M,300.90M,-560.40M,2.160B,-534.90M,-9.00M,1.616B,36.40M,0.00,0.00,-853.90M
2014-06,221.10M,0.00,-0.80M,,-0.80M,,,47.50M,47.50M,-37.80M,,59.30M,-1.30M,-48.30M,37.10M,11.80M,23.00M,,,112.00M,183.90M,423.60M,-41.20M,-41.20M,,0.00,-816.30M,0.10M,-857.40M,0.00,0.00,20.00M,-1.30M,18.70M,0.00,0.00,-6.00M,12.70M,2.579B,-421.10M,1.50M,2.160B,20.00M,0.00,0.00,-1.30M
2014-03,110.60M,0.80M,-166.20M,,-165.40M,,,48.10M,48.10M,-44.50M,,60.80M,-6.70M,122.40M,-15.70M,-15.70M,-33.20M,,,63.90M,-0.70M,124.60M,-57.40M,-57.40M,,-27.10M,972.60M,24.90M,913.00M,346.10M,346.10M,101.20M,-905.80M,-804.60M,0.00,0.00,-285.30M,-743.80M,2.284B,293.80M,1.60M,2.579B,101.20M,346.50M,-0.40M,-905.80M
2013-12,151.80M,0.20M,-3.50M,,-3.30M,,,54.70M,54.70M,31.80M,,63.90M,-0.40M,18.90M,-28.90M,-59.00M,45.50M,,,119.00M,76.60M,394.00M,-47.00M,-47.00M,0.00,0.00,-91.10M,,-139.30M,0.00,0.00,18.00M,-245.70M,-227.70M,,,-7.50M,-235.20M,2.272B,19.50M,,2.284B,18.00M,0.00,0.00,-245.70M
2013-09,99.10M,1.10M,-4.00M,,-2.90M,,,40.60M,40.60M,13.80M,,69.30M,-0.20M,12.10M,-18.70M,19.90M,-17.60M,,,-39.00M,-55.40M,176.40M,-40.70M,-40.70M,0.00,0.00,-80.20M,,-120.90M,0.00,0.00,49.40M,-92.90M,-43.50M,0.00,0.00,9.60M,-33.90M,2.250B,21.60M,,2.272B,49.40M,0.00,0.00,-92.90M
2013-06,97.90M,0.00,-1.50M,,-1.50M,,,42.80M,42.80M,10.90M,,61.50M,-0.20M,8.80M,2.00M,-33.30M,17.10M,,,78.40M,64.20M,284.40M,-80.80M,-70.80M,-10.00M,0.00,65.10M,,-15.70M,0.00,0.00,9.30M,-106.70M,-97.40M,,,34.90M,-62.50M,2.044B,206.20M,,2.250B,9.30M,0.00,0.00,-106.70M
2013-03,91.00M,0.10M,-2.30M,,-2.20M,,,51.80M,51.80M,15.70M,,49.90M,-1.10M,7.70M,-94.30M,-53.60M,-17.40M,,,-56.40M,-221.70M,-8.90M,-71.50M,-71.50M,,-10.00M,-203.60M,,-285.10M,-1.40M,-1.40M,65.00M,-132.50M,-67.50M,,,-1.20M,-70.10M,2.408B,-364.10M,,2.044B,65.00M,0.00,-1.40M,-132.50M
2012-12,95.70M,,-18.90M,,-18.30M,,,50.00M,50.00M,56.90M,,56.70M,0.00,10.50M,-41.30M,42.60M,-10.20M,,,-92.50M,-101.40M,150.10M,-90.90M,-90.90M,0.00,-48.90M,-88.00M,0.00,-227.80M,0.00,0.00,10.90M,-250.50M,-239.60M,,,13.60M,-226.00M,2.708B,-303.70M,,2.408B,10.90M,,0.00,-250.50M
2012-09,16.80M,,-7.00M,,-7.00M,,,48.00M,48.00M,-52.00M,,59.20M,-0.40M,83.60M,9.70M,-7.50M,1.10M,,,21.70M,25.00M,173.20M,-152.10M,-87.10M,-65.00M,0.00,-101.40M,-20.60M,-274.10M,0.00,0.00,38.40M,-250.00M,-211.60M,,,-23.90M,-235.50M,3.044B,-336.40M,,2.708B,38.40M,,0.00,-250.00M
2012-06,57.70M,,-14.80M,,-14.80M,,,46.50M,46.50M,-9.20M,,61.80M,-2.50M,3.40M,44.20M,-24.20M,-1.90M,,,51.10M,69.20M,212.10M,-88.00M,-87.70M,-0.30M,0.00,87.80M,-0.20M,-0.40M,-1.40M,-1.40M,12.00M,-94.00M,-82.00M,,,2.90M,-80.50M,2.913B,131.20M,,3.044B,12.00M,,-1.40M,-94.00M
2012-03,16.30M,,14.00M,,14.00M,,,43.40M,43.40M,-13.90M,,65.00M,-4.30M,2.20M,126.50M,-22.30M,-138.00M,,,13.40M,-20.40M,102.30M,-82.00M,-82.00M,,-90.50M,79.20M,,-93.30M,0.00,0.00,37.80M,-56.10M,-18.30M,,,12.00M,-6.30M,2.910B,2.70M,,2.913B,37.80M,,0.00,-56.10M
2011-12,96.15M,,-0.682M,,-0.682M,,,44.01M,44.01M,13.21M,-0.509M,52.56M,-0.476M,15.05M,-133.42M,14.40M,-21.54M,,,164.81M,24.25M,243.58M,-78.41M,-78.41M,0.00,0.401M,24.36M,-0.056M,-53.70M,7.66M,7.66M,5.837M,-0.01M,5.827M,,,-15.42M,-1.937M,2.722B,187.94M,,2.910B,5.837M,7.66M,0.00,-0.01M
2011-09,83.67M,,0.982M,,0.982M,,,43.34M,43.34M,-14.69M,0.236M,58.99M,-1.193M,-47.64M,44.04M,7.695M,15.20M,,,-68.65M,-1.721M,185.16M,-71.94M,-71.94M,0.00,-0.028M,-51.18M,0.092M,-123.06M,-22.68M,-22.68M,37.19M,-193.42M,-156.23M,,,1.193M,-177.72M,2.838B,-115.62M,,2.722B,37.19M,-22.68M,0.00,-193.42M
2011-06,115.52M,,,,,,,41.89M,41.89M,7.174M,0.273M,58.66M,-4.29M,54.64M,-17.63M,65.78M,109.74M,,,-58.80M,99.08M,318.31M,-61.97M,-61.97M,,-2.50M,-255.50M,-1.236M,-321.21M,2.533M,2.533M,39.76M,-150.00M,-110.24M,,,4.29M,-103.42M,2.944B,-106.32M,,2.838B,39.76M,2.533M,0.00,-150.00M
2011-03,129.66M,,,,,,,40.76M,40.76M,1.503M,0.00,47.59M,-39.04M,8.545M,125.61M,-59.37M,-72.90M,,,65.84M,59.18M,239.65M,-53.97M,-53.97M,,-28.57M,-126.68M,,-209.22M,1.004B,1.004B,264.11M,-205.17M,58.94M,,,39.04M,1.102B,1.812B,1.132B,,2.944B,264.11M,1.004B,,-205.17M
2010-12,190.11M,,-5.468M,,-5.468M,,,42.93M,42.93M,37.58M,,48.24M,-15.57M,-85.82M,-114.11M,-61.49M,38.04M,,,199.93M,62.37M,371.00M,-47.82M,-47.82M,,-241.47M,223.68M,0.032M,-65.57M,0.00,0.00,193.31M,-176.70M,16.60M,,,28.97M,45.58M,1.461B,351.01M,,1.812B,193.31M,0.00,,-176.70M
2010-09,134.34M,,0.00,,0.00,,,39.62M,39.62M,52.02M,0.00,44.39M,-4.645M,39.75M,-82.26M,-52.10M,-17.19M,,-14.04M,31.27M,-134.31M,131.41M,-54.32M,-54.32M,,-69.12M,-161.72M,-0.136M,-285.29M,0.00,0.00,81.03M,-135.03M,-54.00M,,,8.706M,-45.29M,1.660B,-199.17M,,1.461B,81.03M,0.00,,-135.03M
2010-06,294.95M,,-3.232M,,-3.232M,,,37.48M,37.48M,-13.12M,0.00,65.12M,-28.29M,-107.73M,11.45M,-4.562M,48.42M,,-22.26M,,33.04M,221.34M,-45.35M,-45.35M,,-64.22M,-28.91M,-10.75M,-149.22M,0.00,0.00,57.74M,-177.45M,-119.70M,,,-16.28M,-135.99M,1.724B,-63.86M,,1.660B,57.74M,0.00,,-177.45M
2010-03,,,,,,,,35.27M,35.27M,-12.47M,,20.04M,,164.61M,55.72M,-11.15M,-199.77M,,36.30M,,-118.90M,88.55M,-37.81M,-37.81M,,0.00,6.74M,-1.55M,-32.62M,0.00,0.00,118.92M,-76.22M,42.70M,,,20.60M,63.30M,1.605B,119.23M,,1.724B,118.92M,0.00,,-76.22M
2009-12,21.13M,,2.251M,,2.251M,,,36.57M,36.57M,-32.56M,,38.21M,-4.183M,34.03M,-85.41M,2.924M,170.27M,,110.39M,,198.18M,259.60M,-39.89M,-39.89M,,0.00,-83.69M,5.289M,-118.29M,19.61M,19.61M,32.82M,-212.41M,-179.59M,,,4.799M,-155.18M,1.619B,-13.87M,,1.605B,32.82M,,0.00,-212.41M
2009-09,83.79M,,0.00,,0.00,,,36.45M,36.45M,-27.29M,,34.35M,-6.524M,27.83M,55.89M,-5.328M,58.01M,,52.93M,-58.32M,103.17M,223.95M,-33.79M,-33.79M,,0.00,-134.46M,-15.29M,-183.54M,,,80.71M,-72.11M,8.602M,,,15.43M,24.03M,1.554B,64.44M,,1.619B,80.71M,,,-72.11M
2009-06,14.77M,,3.311M,-1.686M,1.625M,,,37.82M,37.82M,20.85M,,33.53M,10.31M,43.84M,-67.17M,-14.43M,75.14M,,,36.24M,29.78M,148.68M,-45.20M,-45.20M,,0.00,-536.74M,-1.275M,-583.22M,20.61M,20.61M,28.05M,-49.52M,-21.47M,,,-15.43M,-16.30M,2.005B,-450.83M,,1.554B,28.05M,,20.61M,-49.52M
2009-03,-4.46M,,,1.686M,1.686M,,,37.54M,37.54M,48.44M,,33.56M,-3.11M,30.45M,68.01M,8.312M,-48.20M,,,22.08M,50.21M,163.86M,-34.23M,-34.23M,,,-29.03M,,-63.25M,-20.61M,-20.61M,22.63M,-119.85M,-97.22M,,,3.11M,-114.71M,2.019B,-14.10M,,2.005B,22.63M,,-20.61M,-119.85M
2008-12,132.48M,,,,13.33M,,,37.83M,37.83M,,,,,-40.21M,-61.37M,4.807M,64.28M,,30.95M,-49.27M,-10.59M,215.11M,-42.88M,-42.88M,,,80.02M,4.509M,41.66M,,22.68M,4.026M,-42.51M,-38.49M,,,-0.37M,-16.18M,1.778B,240.59M,,2.019B,4.026M,,,-42.51M
2008-09,148.51M,,,,0.00,,,38.86M,38.86M,,,,,-3.802M,55.19M,1.884M,-6.707M,,0.972M,-30.28M,21.06M,204.62M,-40.88M,-40.88M,,,-44.94M,-10.04M,-95.86M,,-2.413M,38.33M,-440.91M,-402.58M,,,34.33M,-370.67M,2.040B,-261.91M,,1.778B,38.33M,,,-440.91M
2008-06,120.41M,,,,1.499M,,,40.38M,40.38M,,,,,22.66M,-54.73M,-12.98M,14.54M,,41.90M,26.87M,15.60M,200.54M,-47.44M,-47.44M,,,-121.13M,-3.085M,-171.65M,,1.438M,35.86M,-68.22M,-32.35M,,,5.018M,-25.90M,2.037B,2.991M,,2.040B,35.86M,,,-68.22M
2008-03,110.36M,,,,,,,55.39M,55.39M,,,,,21.96M,10.70M,5.75M,-5.097M,,3.169M,52.67M,67.20M,254.90M,-33.41M,-33.41M,,,108.94M,0.52M,76.05M,,0.975M,41.23M,-53.06M,-11.83M,,,1.206M,-9.645M,1.716B,321.30M,,2.037B,41.23M,,,-53.06M
2007-12,122.90M,,,,0.00,,,49.92M,49.92M,,,,,16.75M,-100.23M,-3.711M,15.34M,,203.40M,-67.73M,47.07M,236.64M,-35.91M,-35.91M,,0.00,97.98M,0.075M,62.15M,,,54.02M,0.005M,54.02M,,,14.02M,68.04M,1.349B,366.83M,,1.716B,54.02M,,,0.005M
2007-09,85.10M,,,,0.00,,,48.06M,48.06M,,,,,9.715M,-15.91M,-0.488M,25.74M,,38.41M,2.623M,50.37M,193.24M,-35.90M,-35.90M,,0.00,112.78M,-10.08M,66.81M,,,217.28M,0.00,217.28M,,,11.88M,229.16M,860.07M,489.21M,,1.349B,217.28M,,,0.00
2007-06,86.18M,,,,-6.745M,,,48.93M,48.93M,,,,,18.93M,2.851M,9.114M,-6.491M,,11.91M,40.49M,57.88M,205.18M,-42.68M,-42.68M,,-0.375M,182.44M,0.375M,139.77M,,,68.29M,-1.594B,-1.526B,,,3.053M,-1.523B,2.038B,-1.178B,,860.07M,68.29M,,,-1.594B
2007-03,66.65M,,,,,,,46.26M,46.26M,,,,,25.68M,-7.611M,5.804M,0.349M,,-10.27M,24.61M,12.88M,151.46M,-32.37M,-32.37M,,,333.18M,2.218M,303.03M,,,15.41M,-29.14M,-13.73M,,,0.739M,-12.99M,1.596B,441.51M,,2.038B,15.41M,,,-29.14M
2006-12,70.98M,,,,,,,44.42M,44.42M,,,,,17.09M,36.35M,-4.097M,19.85M,,142.78M,-93.14M,101.74M,234.23M,-32.27M,-32.27M,,0.00,56.34M,2.828M,26.90M,,,0.002M,0.00,0.002M,,,1.85M,1.852M,1.333B,262.98M,,1.596B,0.002M,,,0.00
2006-09,58.27M,,,,,,,44.08M,44.08M,,,,,19.22M,-34.17M,13.80M,22.64M,,4.358M,36.70M,43.34M,164.91M,-26.40M,-26.40M,,-2.039M,88.71M,-1.242M,59.03M,,,17.79M,0.00,17.79M,,,4.011M,21.80M,1.088B,245.74M,,1.333B,17.79M,,,0.00
2006-06,-1.206B,,,,,,,43.16M,43.16M,,,,,1.304B,54.00M,6.684M,-23.70M,,25.04M,15.42M,77.44M,217.90M,-25.19M,-25.19M,,-13.06M,-30.18M,12.79M,-55.64M,,,17.83M,0.00,17.83M,,,3.232M,21.06M,904.30M,183.32M,,1.088B,17.83M,,,0.00
2006-03,75.76M,,,,,,,41.83M,41.83M,,,,,22.87M,-35.44M,6.577M,-5.149M,,-8.913M,41.02M,-1.904M,138.56M,-18.23M,-18.23M,,,-6.216M,6.09M,-18.35M,,,51.52M,-186.39M,-134.87M,,,0.557M,-134.31M,918.40M,-14.11M,,904.30M,51.52M,,,-186.39M
2005-12,104.86M,,,,6.634M,,,39.19M,39.19M,,,,,44.58M,-24.57M,42.58M,14.86M,,-37.34M,6.733M,2.256M,197.51M,-39.32M,-39.32M,,-110.83M,-32.57M,-27.75M,-210.47M,,,42.97M,,42.96M,,,,42.96M,888.40M,30.00M,,918.40M,42.97M,,,
2005-09,83.50M,,,,2.102M,,,36.53M,36.53M,,,,,38.38M,-30.34M,-13.88M,33.27M,,4.653M,-9.289M,-15.58M,144.92M,-18.24M,-18.24M,,-43.80M,-70.46M,-8.791M,-141.29M,,,27.71M,,27.71M,,,,27.71M,857.06M,31.34M,,888.40M,27.71M,,,
2005-06,86.91M,,,,-30.43M,,,32.91M,32.91M,,,,,74.50M,-15.66M,-3.789M,9.348M,,-7.753M,20.09M,2.234M,166.12M,-18.09M,-18.09M,,-155.26M,16.83M,-8.059M,-164.57M,,,35.97M,,35.97M,,,,35.97M,819.55M,37.51M,,857.06M,35.97M,,,
2005-03,75.44M,,,,32.33M,,,30.28M,30.28M,,,,,0.363M,2.517M,-19.60M,-7.167M,,-26.52M,46.75M,-4.018M,134.39M,-22.55M,-22.55M,,,-44.78M,-0.073M,-67.40M,,,39.38M,,39.38M,,,,39.38M,713.18M,106.37M,,819.55M,39.38M,,,
2004-12,58.48M,,,,-4.107M,-29.31M,-75.94M,-7.633M,-7.633M,,,,,,-25.27M,-38.40M,8.499M,,-68.75M,,-30.28M,142.45M,-18.50M,-18.50M,,,-124.00M,-41.05M,-142.66M,,0.00,54.08M,-8.408M,45.67M,,,,45.67M,667.71M,45.47M,,713.18M,54.08M,,,-8.408M
2004-09,48.76M,,,,2.939M,10.60M,33.39M,43.99M,43.99M,,,,,,-21.39M,-1.609M,12.74M,,19.79M,,9.533M,105.22M,-25.01M,-25.01M,,,-81.60M,-1.222M,-107.83M,,-71.47M,121.09M,-55.20M,65.89M,,,,-5.581M,675.90M,-8.191M,,667.71M,121.09M,,,-55.20M
2004-06,-12.55M,,,,31.61M,10.11M,37.96M,48.07M,48.07M,,,,,,-25.26M,-22.16M,4.159M,,95.15M,,51.89M,119.01M,-12.07M,-12.07M,,,213.16M,41.89M,242.98M,,-73.50M,-41.08M,,-41.08M,,,,-114.58M,428.49M,247.41M,,675.90M,-41.08M,,,
2004-03,33.54M,,,,,8.603M,4.599M,13.20M,13.20M,,,,,,-9.478M,5.915M,3.992M,,25.59M,,26.02M,72.76M,-7.612M,-7.612M,,,-42.26M,-1.088M,-50.96M,,,41.08M,,41.08M,,,,41.08M,365.61M,62.89M,,428.49M,41.08M,,,
2003-12,14.73M,,,,29.63M,8.244M,2.445M,10.69M,10.69M,,,,,,-29.44M,-4.026M,7.18M,,34.51M,,7.896M,62.94M,-5.252M,-5.252M,,,252.74M,-5.837M,241.65M,,-410.85M,14.35M,,14.35M,,,,-396.50M,457.51M,-91.90M,,365.61M,14.35M,,,
