,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,31.63B,37.16B,68.78B,32.69B,6.804B,39.50B,10.98B,9.334B,257.00M,20.57B,501.00M,,139.34B,,,,,,,,,,53.65B,85.47B,20.66B,106.13B,,20.78B,,11.48B,358.11B,,2018-03,15.06B,1.06B,16.12B,21.95B,38.07B,,,,19.73B,19.73B,19.73B,19.22B,77.02B,106.11B,,106.11B,,,41.13B,57.11B,207.89B,284.92B,,2018-03,,84.70B,6.00M,-4.00M,-8.984B,-3.988B,114.00M,-12.86B,55.96B,,2018-03,AOR,Restated
2017-12,43.30B,38.70B,82.00B,34.54B,6.301B,40.85B,10.13B,8.847B,441.00M,19.42B,668.00M,,153.00B,0.00,1.175B,11.66B,73.72B,-684.00M,,3.862B,89.73B,-35.85B,53.87B,83.97B,20.27B,104.24B,0.00,20.36B,,8.819B,369.24B,,2017-12,15.17B,1.052B,16.22B,22.12B,38.34B,,8.013B,,16.64B,24.66B,24.66B,18.87B,81.87B,109.93B,,109.93B,,,41.63B,58.92B,213.88B,295.75B,,2017-12,,84.90B,6.00M,-102.00M,-9.702B,-4.661B,62.00M,-14.40B,56.03B,,2017-12,AOR,Restated
2017-09,39.85B,38.70B,78.55B,37.25B,6.107B,43.36B,13.94B,10.86B,532.00M,25.85B,,,156.92B,,,,,,,,,,54.10B,87.07B,21.44B,108.50B,0.00,29.81B,,1.129B,378.04B,,2017-09,14.91B,2.093B,17.00B,16.97B,33.97B,,7.021B,,21.33B,28.35B,28.35B,18.97B,81.29B,108.04B,,108.04B,,,42.42B,48.79B,202.70B,283.99B,,2017-09,,85.20B,6.00M,887.00M,-10.44B,-5.092B,119.00M,-14.52B,76.10B,,2017-09,AOR,Restated
2017-06,44.05B,39.97B,84.02B,33.60B,6.156B,39.75B,12.83B,9.11B,427.00M,22.84B,,,158.56B,,,,,,,,,,50.17B,72.34B,16.93B,89.26B,0.00,28.92B,,1.241B,355.47B,,2017-06,13.28B,2.09B,15.37B,17.16B,32.54B,,7.012B,,23.56B,30.57B,30.57B,18.86B,81.97B,103.83B,,103.83B,,,42.62B,48.08B,197.72B,279.69B,,2017-06,,85.62B,6.00M,866.00M,-10.86B,-5.481B,22.00M,-15.45B,74.15B,,2017-06,AOR,Restated
2017-03,41.56B,41.95B,83.51B,33.92B,5.804B,39.72B,13.26B,8.548B,441.00M,22.70B,,,159.80B,,,,,,,,,,49.02B,70.31B,16.51B,86.83B,0.00,27.38B,,953.00M,351.64B,,2017-03,13.70B,2.109B,15.81B,16.58B,32.39B,,7.017B,,21.83B,28.84B,28.84B,19.98B,81.22B,99.82B,,99.82B,,,43.04B,48.35B,194.25B,275.47B,,2017-03,,84.83B,6.00M,622.00M,-11.42B,-6.004B,32.00M,-16.77B,74.53B,,2017-03,AOR,Restated
2016-12,48.13B,44.31B,92.44B,36.32B,5.944B,42.26B,12.64B,8.798B,537.00M,22.35B,,,173.62B,,,,,,,,,,50.52B,70.44B,16.44B,86.88B,,25.16B,,1.833B,365.18B,,2016-12,14.44B,2.107B,16.54B,16.76B,33.30B,,6.502B,,24.53B,31.04B,31.04B,22.38B,86.72B,105.18B,,105.18B,,,43.78B,48.99B,200.98B,287.69B,,2016-12,,83.04B,6.00M,674.00M,-12.47B,-6.816B,12.00M,-18.60B,75.83B,,2016-12,AOR,Restated
2016-09,52.53B,46.37B,98.90B,37.05B,6.301B,43.35B,13.92B,9.387B,500.00M,24.12B,,,197.91B,,,,,,,,87.58B,-36.12B,51.45B,69.99B,16.78B,86.77B,,24.35B,,1.463B,387.69B,,2016-09,13.07B,2.062B,15.13B,15.76B,30.89B,,6.502B,,26.91B,33.42B,33.42B,30.04B,94.34B,116.02B,,116.02B,,,40.42B,50.32B,209.80B,304.15B,,2016-09,,79.85B,6.00M,1.176B,-9.934B,-5.643B,-21.00M,-14.42B,81.88B,,2016-09,AOR,Restated
2016-06,52.12B,39.72B,91.84B,37.13B,6.684B,43.81B,14.65B,9.305B,511.00M,24.72B,,,210.30B,,,,,,,,86.32B,-35.88B,50.44B,67.10B,16.65B,83.75B,0.00,23.46B,,2.242B,401.46B,,2016-06,13.12B,2.105B,15.22B,16.22B,31.44B,,6.002B,,27.12B,33.12B,33.12B,34.86B,99.42B,123.32B,,123.32B,,,40.44B,48.53B,215.36B,314.78B,,2016-06,,76.12B,6.00M,1.077B,-10.48B,-5.448B,-51.00M,-14.90B,84.99B,,2016-06,AOR,Restated
2016-03,75.08B,32.97B,108.05B,37.82B,6.409B,44.23B,14.34B,8.834B,507.00M,23.91B,,,260.81B,,,,,,,,89.86B,-36.07B,53.79B,66.21B,16.89B,83.10B,0.00,21.65B,,3.214B,462.19B,,2016-03,13.15B,2.153B,15.30B,16.34B,31.64B,,6.497B,,46.04B,52.53B,52.53B,59.52B,143.69B,133.52B,,133.52B,,,40.42B,48.78B,225.74B,369.44B,,2016-03,,69.04B,6.00M,680.00M,-10.86B,-5.50B,-26.00M,-15.70B,91.09B,,2016-03,AOR,Restated
2015-12,70.48B,31.97B,102.46B,39.08B,6.782B,45.86B,13.42B,8.265B,628.00M,22.52B,,,294.60B,,,,,,,,,,54.10B,65.53B,17.80B,83.32B,0.00,21.16B,,3.105B,493.07B,,2015-12,13.68B,2.167B,15.85B,15.78B,31.62B,,5.501B,,45.28B,50.78B,50.78B,70.94B,153.35B,146.82B,,146.82B,,,40.49B,49.30B,239.59B,392.93B,,2015-12,,63.54B,6.00M,460.00M,-11.41B,-5.499B,-80.00M,-16.53B,98.27B,,2015-12,AOR,Restated
2015-09,99.09B,36.93B,136.02B,94.68B,6.28B,100.96B,10.62B,7.921B,709.00M,19.28B,,,386.53B,,,,,,,,87.33B,-36.63B,50.70B,61.66B,13.62B,75.28B,0.00,,,176.00M,581.31B,,2015-09,11.76B,2.324B,14.09B,11.25B,25.33B,0.00,13.91B,48.66B,34.52B,97.08B,97.08B,57.78B,180.19B,194.30B,,194.30B,,,,86.82B,281.12B,461.32B,,2015-09,,41.21B,,561.00M,-12.09B,-5.281B,-174.00M,-16.98B,111.20B,,2015-09,AOR,Restated
2015-06,91.67B,39.44B,131.10B,92.59B,6.316B,98.90B,10.49B,7.604B,617.00M,18.70B,,,411.95B,,,,,,,,87.21B,-36.17B,51.04B,62.18B,13.67B,75.85B,0.00,,,,610.93B,,2015-06,12.02B,2.322B,14.34B,11.44B,25.78B,2.499B,26.01B,45.80B,42.21B,116.52B,116.52B,62.97B,205.28B,199.44B,,199.44B,67.00M,67.00M,,87.86B,287.37B,492.65B,,2015-06,,41.55B,,564.00M,-12.72B,-5.914B,-140.00M,-18.21B,109.50B,,2015-06,AOR,Restated
2015-03,87.06B,41.99B,129.05B,88.59B,6.814B,95.40B,9.896B,7.363B,614.00M,17.83B,,,330.09B,,,,,,,,102.64B,-41.42B,61.22B,69.60B,13.53B,83.14B,0.00,,,,617.63B,,2015-03,14.39B,2.315B,16.71B,11.50B,28.20B,5.457B,25.51B,62.69B,44.61B,138.28B,138.28B,21.83B,188.32B,213.08B,,213.08B,2.901B,2.901B,,96.04B,312.02B,500.33B,,2015-03,,42.09B,,1.245B,-15.67B,-7.716B,-226.00M,-22.36B,108.56B,,2015-03,AOR,Restated
2014-12,70.02B,35.50B,105.53B,36.68B,6.261B,42.94B,9.963B,7.032B,756.00M,17.69B,,,492.52B,,,,,,,,,,48.07B,53.21B,13.18B,66.39B,,16.96B,,6.183B,654.95B,,2014-12,12.07B,2.317B,14.38B,12.54B,26.92B,5.467B,25.51B,,40.22B,71.20B,71.20B,143.50B,241.62B,190.23B,,190.23B,,,42.24B,43.94B,276.51B,518.12B,,2014-12,,42.59B,,1.013B,-16.58B,-2.428B,-180.00M,-18.17B,128.16B,,2014-12,AOR,Restated
2014-09,90.44B,47.02B,137.46B,248.51B,8.601B,257.11B,10.59B,8.084B,878.00M,19.43B,,,421.10B,,,,,,,,112.58B,-47.12B,65.46B,77.86B,14.36B,92.22B,0.00,,,,650.02B,,2014-09,16.76B,2.209B,18.97B,12.38B,31.35B,5.732B,25.36B,60.82B,46.98B,138.89B,138.89B,15.57B,185.81B,235.25B,,235.25B,1.612B,1.612B,,83.84B,320.70B,506.51B,,2014-09,,43.00B,,755.00M,-7.226B,-1.518B,-121.00M,-8.11B,135.00B,,2014-09,AOR,Restated
2014-06,86.57B,46.75B,133.32B,252.52B,9.208B,261.72B,10.16B,8.845B,920.00M,19.71B,,,419.53B,,,,,,,,116.38B,-48.48B,67.90B,79.02B,14.80B,93.82B,0.00,,,,651.87B,,2014-06,17.56B,2.208B,19.77B,12.62B,32.38B,8.147B,25.36B,58.14B,48.54B,140.19B,140.19B,14.02B,186.59B,238.53B,,238.53B,96.00M,96.00M,,86.59B,325.21B,511.80B,,2014-06,,43.23B,,1.04B,-8.083B,61.00M,-176.00M,-7.158B,134.01B,,2014-06,AOR,Restated
2014-03,86.98B,45.73B,132.71B,257.98B,9.009B,266.99B,10.45B,7.911B,766.00M,18.88B,,,420.09B,,,,,,,,115.87B,-48.13B,67.74B,79.13B,14.79B,93.92B,0.00,,,,652.25B,,2014-03,17.21B,2.206B,19.41B,12.80B,32.22B,8.935B,25.40B,54.74B,51.67B,140.74B,140.74B,14.89B,187.85B,239.84B,,239.84B,381.00M,381.00M,,86.17B,326.38B,514.23B,,2014-03,,43.40B,,764.00M,-8.601B,177.00M,-189.00M,-7.849B,131.84B,,2014-03,AOR,Restated
2013-12,88.56B,43.98B,132.54B,263.33B,9.114B,272.44B,9.76B,7.229B,609.00M,17.32B,,,424.69B,,,,,,,,,,68.83B,77.65B,14.31B,91.96B,0.00,,,275.00M,656.56B,,2013-12,16.47B,2.22B,18.69B,13.12B,31.82B,8.699B,29.04B,53.36B,49.19B,140.30B,140.30B,17.32B,189.43B,242.74B,,242.74B,,,,87.60B,330.34B,519.78B,,2013-12,,42.56B,,307.00M,-9.296B,126.00M,-257.00M,-9.12B,130.57B,,2013-12,AOR,Restated
2013-09,86.50B,43.90B,130.40B,264.42B,9.03B,273.45B,10.64B,6.974B,678.00M,17.94B,,,423.63B,,,,,,,,115.87B,-47.13B,68.74B,78.02B,14.23B,92.25B,0.00,,,3.937B,661.44B,,2013-09,16.45B,1.922B,18.37B,12.12B,30.49B,8.482B,33.33B,50.76B,45.78B,138.36B,138.36B,17.11B,185.96B,249.74B,,249.74B,,,,96.69B,346.43B,532.39B,,2013-09,,41.02B,,315.00M,-17.77B,-36.00M,-370.00M,-17.86B,122.69B,,2013-09,AOR,Restated
2013-06,88.71B,43.75B,132.46B,267.12B,9.381B,276.50B,9.926B,6.653B,543.00M,16.76B,,,427.87B,,,,,,,,115.16B,-46.40B,68.76B,73.09B,11.60B,84.68B,0.00,,,5.013B,660.54B,,2013-06,16.24B,1.939B,18.18B,12.44B,30.61B,8.421B,36.04B,48.60B,39.80B,132.86B,132.86B,16.88B,180.35B,254.46B,,254.46B,,,,96.93B,351.38B,531.73B,,2013-06,,39.50B,,146.00M,-18.54B,358.00M,-430.00M,-18.46B,122.51B,,2013-06,AOR,Restated
2013-03,89.78B,48.33B,138.11B,269.46B,8.664B,278.12B,9.738B,6.462B,467.00M,16.28B,,,434.70B,,,,,,,,114.50B,-46.09B,68.41B,72.74B,11.82B,84.56B,0.00,,,5.076B,670.69B,,2013-03,16.13B,1.971B,18.10B,11.34B,29.44B,8.58B,39.13B,49.43B,44.51B,141.64B,141.64B,18.36B,189.45B,255.70B,,255.70B,,,,96.50B,352.19B,541.64B,,2013-03,,35.99B,,744.00M,-19.74B,-43.00M,-620.00M,-19.66B,123.71B,,2013-03,AOR,Restated
2012-12,77.27B,48.51B,125.78B,277.14B,7.864B,285.00B,9.295B,6.099B,378.00M,15.37B,,,429.68B,,,,,,,,,,68.63B,73.11B,11.98B,85.09B,0.00,,,-54.00M,685.00B,,2012-12,15.65B,1.98B,17.63B,10.88B,28.51B,8.189B,43.41B,46.20B,57.50B,155.30B,155.30B,17.78B,201.60B,258.50B,,258.50B,,,,96.43B,354.93B,556.53B,,2012-12,,34.57B,,677.00M,-20.60B,412.00M,-722.00M,-20.23B,123.03B,,2012-12,AOR,Restated
2012-09,85.46B,48.72B,134.18B,289.56B,,289.56B,9.552B,6.881B,,16.02B,,,439.76B,,,,,,,,111.04B,-43.66B,67.39B,73.16B,11.71B,84.87B,0.00,,,,698.88B,,2012-09,15.85B,1.785B,17.64B,9.402B,27.04B,,,,,128.95B,128.95B,41.91B,197.90B,257.33B,,257.33B,-541.00M,-541.00M,,114.13B,372.97B,570.86B,,2012-09,33.12B,32.97B,,-373.00M,-20.38B,430.00M,,-20.32B,122.55B,,2012-09,AOR,Restated
2012-06,74.30B,47.93B,122.23B,291.84B,,291.84B,9.404B,6.474B,,15.44B,,,429.50B,,,,,,,,109.61B,-42.95B,66.66B,72.40B,11.74B,84.14B,0.00,,,,694.12B,,2012-06,16.72B,1.798B,18.52B,9.982B,28.50B,,,,,135.05B,135.05B,38.66B,202.22B,251.78B,,251.78B,456.00M,456.00M,,113.55B,368.01B,570.22B,,2012-06,33.50B,31.68B,,-559.00M,-21.30B,-861.00M,,-22.72B,120.12B,,2012-06,AOR,Restated
2012-03,83.65B,47.83B,131.48B,299.60B,,299.60B,9.387B,6.282B,,15.21B,,,446.30B,,,,,,,,108.97B,-42.97B,66.00B,72.96B,11.92B,84.88B,0.00,,,,707.72B,,2012-03,17.03B,1.799B,18.83B,10.67B,29.50B,,,,,148.16B,148.16B,39.54B,217.20B,253.53B,,253.53B,281.00M,281.00M,,113.43B,368.93B,586.13B,,2012-03,33.59B,31.32B,,-747.00M,-21.86B,476.00M,,-22.13B,119.87B,,2012-03,AOR,Restated
2011-12,84.50B,47.37B,131.88B,300.40B,7.561B,307.96B,8.735B,5.022B,485.00M,13.79B,,,456.06B,,,,,,,,,,65.74B,72.62B,12.07B,84.69B,0.00,,,,718.19B,,2011-12,16.40B,1.797B,18.20B,11.35B,29.55B,8.474B,45.96B,43.12B,93.89B,191.44B,191.44B,16.77B,237.76B,262.00B,,262.00B,-131.00M,-131.00M,,100.43B,362.30B,600.06B,,2011-12,,31.77B,,-30.00M,-22.90B,133.00M,-1.176B,-23.97B,116.44B,,2011-12,AOR,Restated
2011-09,91.37B,46.46B,137.83B,313.02B,,313.02B,9.20B,6.215B,,15.02B,,,465.87B,,,,,,,,109.76B,-43.66B,66.09B,73.29B,12.43B,85.72B,0.00,,,,737.70B,,2011-09,16.15B,,16.15B,11.11B,27.26B,,,,,139.00B,139.00B,46.76B,213.02B,285.62B,,285.62B,1.98B,1.98B,,106.74B,397.91B,610.93B,,2011-09,33.83B,32.26B,,-1.801B,-14.25B,2.39B,,-13.66B,124.46B,,2011-09,AOR,Restated
2011-06,91.05B,45.34B,136.39B,320.08B,,320.08B,8.717B,6.29B,,14.62B,,,471.09B,,,,,,,,113.03B,-44.18B,68.85B,70.54B,11.80B,82.33B,0.00,,,,739.13B,,2011-06,15.76B,,15.76B,11.07B,26.84B,,,,,135.08B,135.08B,44.40B,206.32B,295.34B,,295.34B,-705.00M,-705.00M,,105.13B,402.41B,608.73B,,2011-06,36.60B,31.87B,,-1.967B,-14.75B,4.26B,,-12.46B,128.07B,,2011-06,AOR,Restated
2011-03,82.17B,44.89B,127.06B,327.76B,,327.76B,8.111B,5.613B,,13.33B,,,468.15B,,,,,,,,111.55B,-44.04B,67.50B,67.92B,11.29B,79.21B,0.00,,,,727.84B,,2011-03,15.75B,,15.75B,10.49B,26.24B,,,,,120.28B,120.28B,43.95B,190.47B,307.01B,,307.01B,1.297B,1.297B,,100.62B,411.58B,602.05B,,2011-03,36.78B,31.95B,,-2.178B,-15.25B,2.43B,,-15.00B,123.54B,,2011-03,AOR,Restated
2010-12,78.94B,43.94B,122.88B,321.63B,7.571B,329.20B,6.973B,4.501B,456.00M,11.53B,,,512.92B,,,,,,,,,,66.21B,64.39B,9.971B,74.36B,0.00,,,,747.79B,,2010-12,14.66B,1.563B,16.22B,11.14B,27.36B,9.058B,42.04B,37.30B,66.86B,155.26B,155.26B,30.03B,212.65B,323.34B,,323.34B,2.753B,2.753B,,84.85B,410.95B,623.60B,,2010-12,,31.94B,,-636.00M,-15.85B,-86.00M,-1.28B,-17.86B,118.94B,,2010-12,AOR,Restated
2010-09,78.39B,45.69B,124.08B,348.70B,,348.70B,7.262B,5.194B,,12.00B,,,484.78B,,,,,,,,110.23B,-44.70B,65.54B,64.13B,10.23B,74.36B,,,,,758.82B,,2010-09,14.62B,,14.62B,11.05B,25.66B,,,,145.38B,145.38B,145.38B,56.79B,227.83B,307.52B,,307.52B,1.993B,1.993B,,87.86B,410.38B,638.21B,,2010-09,36.98B,31.51B,,-2.144B,-15.66B,-963.00M,,-18.76B,115.54B,,2010-09,AOR,Restated
2010-06,73.85B,42.10B,115.95B,350.31B,,350.31B,6.894B,4.965B,,11.37B,,,477.63B,,,,,,,,108.98B,-43.62B,65.36B,63.09B,10.95B,74.04B,0.00,,,,749.93B,,2010-06,14.23B,,14.23B,10.87B,25.10B,,,,120.15B,120.15B,120.15B,14.31B,159.56B,298.70B,,298.70B,2.434B,2.434B,,156.76B,469.64B,629.20B,,2010-06,37.36B,31.24B,,-999.00M,-16.01B,-3.319B,,-20.33B,113.93B,,2010-06,AOR,Restated
2010-03,69.63B,41.55B,111.18B,374.66B,,374.66B,7.341B,4.915B,,11.75B,,,497.59B,,,,,,,,112.45B,-44.43B,68.02B,64.91B,11.54B,76.46B,0.00,,,,777.36B,,2010-03,14.50B,,14.50B,11.47B,25.97B,,,,123.93B,123.93B,123.93B,14.43B,164.33B,317.61B,,317.61B,2.615B,2.615B,,162.19B,490.08B,654.40B,,2010-03,37.59B,31.76B,,-1.674B,-16.53B,1.424B,,-16.78B,115.20B,,2010-03,AOR,Restated
2009-12,70.49B,51.34B,121.83B,16.46B,333.30B,349.76B,7.581B,4.935B,,11.99B,,,483.58B,0.00,562.00M,7.569B,20.71B,82.63B,,1.431B,112.91B,-43.94B,68.97B,65.08B,11.75B,76.83B,72.14B,2.056B,8.006B,3.613B,781.90B,,2009-12,19.53B,1.141B,20.67B,12.19B,32.86B,,,,,132.29B,132.29B,36.43B,201.58B,337.63B,,337.63B,2.081B,2.081B,,100.89B,455.18B,656.76B,,2009-12,37.73B,32.24B,,-2.169B,-16.93B,3.836B,,-15.26B,117.29B,,2009-12,AOR,Restated
2009-09,61.37B,52.76B,114.14B,374.64B,,374.64B,8.365B,5.382B,,13.09B,,,501.87B,,,,,,,,118.92B,-45.92B,72.99B,84.88B,15.01B,99.89B,0.00,,,,787.85B,,2009-09,18.93B,,18.93B,12.51B,31.44B,,,,,160.12B,160.12B,19.23B,210.79B,358.09B,,358.09B,5.308B,5.308B,,86.26B,451.25B,662.04B,,2009-09,38.56B,32.80B,,-1.856B,-14.47B,4.043B,,-12.28B,117.53B,,2009-09,AOR,Restated
2009-06,52.32B,45.21B,97.53B,385.31B,,385.31B,8.432B,5.552B,,13.31B,,,496.15B,,,,,,,,118.12B,-45.18B,72.94B,83.82B,15.23B,99.05B,,,,,778.17B,,2009-06,19.19B,,19.19B,11.88B,31.08B,,,,,174.64B,174.64B,19.19B,224.91B,339.42B,,339.42B,2.858B,2.858B,,88.77B,432.80B,657.71B,,2009-06,39.07B,33.55B,,-1.927B,-14.65B,2.186B,,-14.39B,112.12B,,2009-06,AOR,Restated
