,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2007-06,5.613B,,,,,,,,2.411B,2.411B,608.00M,,178.00M,-747.00M,-253.00M,315.00M,,1.078B,393.00M,3.158B,13.42B,2007-06,-4.184B,2.08B,-2.104B,,-6.45B,,-10.99B,-22.58B,2007-06,18.15B,1.808B,19.96B,,-1.392B,-1.445B,,,,-2.882B,-9.759B,,2007-06,19.26B,-3.409B,15.85B,,2007-06,,,18.15B,,,2007-06,AOR,Restated
2007-03,4.928B,,,,,,,,2.44B,2.44B,89.00M,,-3.906B,1.483B,-1.155B,-800.00M,,680.00M,208.00M,247.00M,4.942B,2007-03,-4.751B,2.715B,-2.036B,,-4.621B,,-265.00M,-7.176B,2007-03,34.22B,-8.691B,25.53B,,,53.00M,,,,-2.886B,-15.47B,,2007-03,14.28B,4.984B,19.26B,,2007-03,,,34.22B,,,2007-03,AOR,Restated
2006-12,5.926B,,,,,,2.298B,,2.298B,2.298B,340.00M,,3.479B,-2.268B,254.00M,1.306B,,173.00M,-535.00M,-2.611B,9.759B,2006-12,-5.318B,2.369B,-2.949B,,3.005B,,-20.10B,-17.75B,2006-12,27.62B,4.373B,31.99B,,-1.164B,-1.164B,,,,-2.589B,-20.02B,,2006-12,13.97B,309.00M,14.28B,,2006-12,,,27.62B,,,2006-12,AOR,Restated
2006-09,4.604B,,,,,,2.108B,,2.108B,2.108B,928.00M,,1.292B,-1.094B,-394.00M,277.00M,,223.00M,-988.00M,1.066B,9.492B,2006-09,-3.473B,1.53B,-1.943B,,-3.506B,,-9.244B,-15.48B,2006-09,16.57B,4.139B,20.71B,,-7.39B,-1.173B,,,,-2.584B,-8.02B,,2006-09,11.25B,2.715B,13.97B,,2006-09,,,16.57B,,,2006-09,AOR,Restated
2006-06,4.637B,,,,,,1.919B,,1.919B,1.919B,64.00M,,32.00M,-671.00M,-496.00M,-437.00M,,354.00M,-1.25B,397.00M,6.695B,2006-06,-4.066B,1.783B,-2.283B,,1.102B,,-7.788B,-13.06B,2006-06,19.56B,-2.045B,17.51B,,,-3.076B,,,,-2.616B,-6.551B,,2006-06,12.12B,-869.00M,11.25B,,2006-06,,,19.56B,,,2006-06,AOR,Restated
2006-03,4.177B,,,,,,2.132B,,2.132B,2.132B,307.00M,,-1.451B,1.839B,-878.00M,-1.422B,,-108.00M,-569.00M,91.00M,5.509B,2006-03,-2.931B,1.113B,-1.818B,,718.00M,,-6.063B,-6.363B,2006-03,24.62B,-1.498B,23.12B,,,-3.141B,,,,-2.631B,-15.93B,,2006-03,11.80B,320.00M,12.12B,,2006-03,,,24.62B,,,2006-03,AOR,Restated
2005-12,4.826B,,,,,,1.358B,,1.358B,1.358B,-254.00M,,-443.00M,-2.856B,363.00M,1.336B,,115.00M,-1.042B,3.70B,8.429B,2005-12,-4.096B,1.586B,-2.51B,,983.00M,,-9.324B,-13.92B,2005-12,18.24B,5.249B,23.48B,,,-2.976B,,,,-2.337B,-11.99B,,2005-12,10.93B,874.00M,11.80B,,2005-12,,,18.24B,,,2005-12,AOR,Restated
2005-09,4.592B,,,,,,2.217B,,2.217B,2.217B,-260.00M,,3.963B,222.00M,-306.00M,305.00M,,285.00M,506.00M,1.481B,13.59B,2005-09,-3.525B,1.362B,-2.163B,,3.101B,,-9.846B,-13.03B,2005-09,7.763B,-4.204B,3.559B,,,-1.479B,,,,-2.338B,-3.216B,,2005-09,12.89B,-1.967B,10.93B,,2005-09,,,7.763B,,,2005-09,AOR,Restated
2005-06,4.376B,,,,,,1.986B,,1.986B,1.986B,-381.00M,,-2.08B,229.00M,65.00M,182.00M,,212.00M,688.00M,1.197B,6.744B,2005-06,-3.207B,1.26B,-1.947B,,362.00M,,1.37B,-987.00M,2005-06,16.80B,-2.397B,14.41B,,,-510.00M,,,,-2.341B,-17.24B,,2005-06,12.90B,-5.00M,12.89B,,2005-06,,,16.80B,,,2005-06,AOR,Restated
2005-03,3.56B,,,,,,2.28B,,2.28B,2.28B,-168.00M,,2.188B,1.315B,-678.00M,-1.583B,,-102.00M,-1.048B,1.21B,8.924B,2005-03,-2.934B,1.811B,-1.123B,,-7.30B,,1.616B,-7.166B,2005-03,23.72B,-3.27B,20.45B,,,121.00M,,,,-2.336B,-21.81B,,2005-03,15.33B,-2.429B,12.90B,,2005-03,,,23.72B,,,2005-03,AOR,Restated
2004-12,5.413B,,,,,,,,2.19B,2.19B,2.266B,,-285.00M,-2.307B,7.00M,-585.00M,,-3.544B,-6.429B,,9.92B,2004-12,-3.689B,,2.15B,,5.973B,,-13.27B,-12.80B,2004-12,15.01B,6.633B,21.64B,,,129.00M,,,,-2.12B,-13.83B,,2004-12,10.08B,5.253B,15.33B,,2004-12,,,15.01B,8.191B,,2004-12,AOR,Restated
2004-09,4.071B,,,,,,,,2.104B,2.104B,-484.00M,,108.00M,-107.00M,-216.00M,1.449B,,1.86B,2.986B,,9.57B,2004-09,-2.966B,,-2.966B,,-1.134B,,-2.909B,-7.009B,2004-09,15.13B,-4.552B,10.58B,,,-99.00M,,,,-2.118B,-11.11B,,2004-09,10.26B,-190.00M,10.08B,,2004-09,,,15.13B,-8.191B,,2004-09,AOR,Restated
2004-06,3.751B,,,,,,,,2.057B,2.057B,-1.937B,,530.00M,-19.00M,9.00M,3.226B,,506.00M,3.722B,,9.127B,2004-06,-3.882B,,-3.882B,,-6.802B,,1.729B,-8.955B,2004-06,17.77B,-4.699B,13.07B,,,-90.00M,,,,-2.021B,-14.24B,,2004-06,13.37B,-3.106B,10.26B,,2004-06,,,17.77B,,,2004-06,AOR,Restated
2004-03,3.366B,,,,,,,,1.997B,1.997B,206.00M,,424.00M,816.00M,-268.00M,-334.00M,,714.00M,928.00M,,7.876B,2004-03,-2.399B,,-2.399B,,-12.12B,,4.862B,-9.661B,2004-03,10.63B,1.06B,11.69B,,,4.053B,,,,-2.019B,-11.23B,,2004-03,12.66B,707.00M,13.37B,,2004-03,,,10.63B,,,2004-03,AOR,Restated
2003-12,2.737B,,,,,,1.74B,,1.74B,1.74B,950.00M,,-4.165B,-450.00M,725.00M,-1.647B,,-1.907B,-3.279B,,6.325B,2003-12,-3.224B,,1.694B,,-3.849B,,2.257B,-5.843B,2003-12,17.25B,220.00M,17.47B,,,398.00M,,,,-1.914B,-11.42B,,2003-12,8.334B,4.33B,12.66B,,2003-12,,,17.25B,20.78B,,2003-12,AOR,Restated
2003-09,4.021B,,,,,,1.741B,,1.741B,1.741B,417.00M,,2.685B,182.00M,70.00M,1.302B,,-373.00M,1.181B,,11.11B,2003-09,-2.471B,,-2.471B,,-1.828B,,13.49B,9.188B,2003-09,8.199B,-12.12B,-3.921B,,,162.00M,,,,-1.908B,-13.44B,,2003-09,7.151B,1.183B,8.334B,,2003-09,,,8.199B,-20.78B,,2003-09,AOR,Restated
2003-06,3.794B,,,,,,1.718B,,1.718B,1.718B,-205.00M,,355.00M,147.00M,15.00M,802.00M,,560.00M,1.524B,,8.164B,2003-06,-2.084B,,-2.084B,,-8.58B,,-9.927B,-20.59B,2003-06,32.24B,-1.75B,30.49B,,,286.00M,,,,-1.926B,-18.77B,,2003-06,9.499B,-2.348B,7.151B,,2003-06,,,20.53B,11.71B,,2003-06,AOR,Restated
2003-03,3.214B,,,,,,1.665B,,1.665B,1.665B,44.00M,,-1.266B,655.00M,64.00M,-225.00M,,-1.277B,-783.00M,,3.634B,2003-03,-1.972B,,-1.972B,,-95.00M,,-2.53B,-4.597B,2003-03,10.03B,-6.909B,3.118B,,,-120.00M,,,,-1.895B,449.00M,,2003-03,8.91B,589.00M,9.499B,,2003-03,,,21.74B,-11.71B,,2003-03,AOR,Restated
2002-12,3.102B,,,,,,,,1.844B,1.844B,493.00M,,-235.00M,234.00M,249.00M,-2.404B,,2.683B,762.00M,,6.963B,2002-12,-5.22B,,1.137B,,-7.887B,,-14.19B,-20.94B,2002-12,16.71B,11.18B,27.89B,,,-115.00M,,,,-1.79B,-13.57B,,2002-12,10.48B,-1.567B,8.91B,,2002-12,,,16.71B,,,2002-12,AOR,Restated
2002-09,4.087B,,,,,,,,1.694B,1.694B,347.00M,,-504.00M,-536.00M,-151.00M,3.262B,,1.691B,4.266B,,10.53B,2002-09,-2.793B,,-2.793B,,-931.00M,,-8.358B,-12.08B,2002-09,19.17B,-1.982B,17.19B,,,-335.00M,,,,-1.791B,-12.60B,,2002-09,9.562B,915.00M,10.48B,,2002-09,,,19.17B,,,2002-09,AOR,Restated
2002-06,4.426B,,,,,,,,1.67B,1.67B,1.108B,,-761.00M,-345.00M,421.00M,-225.00M,,-1.298B,-1.447B,,5.781B,2002-06,-2.588B,,-2.588B,,-10.84B,,-5.589B,-19.02B,2002-06,33.23B,-14.89B,18.34B,,,37.00M,,,,-1.789B,-2.576B,,2002-06,8.793B,769.00M,9.562B,,2002-06,,,33.23B,11.65B,,2002-06,AOR,Restated
2002-03,3.518B,,,,,,,,1.303B,1.303B,466.00M,,-999.00M,238.00M,-606.00M,-406.00M,,1.316B,542.00M,,5.492B,2002-03,-3.455B,,-3.455B,,-1.909B,,-3.818B,-9.182B,2002-03,25.90B,-11.65B,14.25B,,,-572.00M,,,,-1.787B,-7.838B,,2002-03,8.433B,360.00M,8.793B,,2002-03,,,25.90B,-11.65B,,2002-03,AOR,Restated
2001-12,3.933B,,,,,,1.907B,313.00M,2.22B,2.22B,752.00M,,-4.668B,489.00M,-31.00M,2.515B,,3.077B,6.05B,,9.222B,2001-12,-4.782B,,2.809B,,-5.60B,,-16.59B,-19.38B,2001-12,13.01B,23.78B,36.80B,,,-640.00M,,,,-1.59B,-24.16B,,2001-12,8.834B,248.00M,8.433B,,2001-12,,,13.01B,,,2001-12,AOR,Restated
2001-09,3.281B,,,,,,1.424B,334.00M,1.758B,1.758B,939.00M,,-6.084B,55.00M,-216.00M,506.00M,,6.596B,6.941B,,7.402B,2001-09,-3.882B,,-3.882B,,-3.125B,,-2.035B,-9.042B,2001-09,6.596B,-1.792B,4.804B,,,-458.00M,,,,-1.59B,-282.00M,,2001-09,8.00B,834.00M,8.834B,,2001-09,,,6.596B,,,2001-09,AOR,Restated
2001-06,3.897B,,,,,,1.276B,310.00M,1.586B,1.586B,-441.00M,,3.473B,4.00M,-16.00M,2.289B,,530.00M,2.807B,,11.82B,2001-06,-5.231B,,-5.231B,,-3.245B,,-1.457B,-9.933B,2001-06,5.174B,563.00M,5.737B,,,-697.00M,,,,-1.589B,-5.513B,,2001-06,8.177B,-177.00M,8.00B,,2001-06,,,5.174B,,,2001-06,AOR,Restated
2001-03,3.017B,,,,,,1.266B,295.00M,1.561B,1.561B,176.00M,,-1.017B,-351.00M,-222.00M,-634.00M,,1.437B,230.00M,,4.45B,2001-03,-2.499B,,-2.499B,,-459.00M,,504.00M,-2.454B,2001-03,7.287B,-2.07B,5.217B,,,-640.00M,,,,-1.589B,-5.002B,,2001-03,8.195B,-18.00M,8.177B,,2001-03,,,7.287B,,,2001-03,AOR,Restated
2000-12,3.585B,,,,,,1.268B,-567.00M,701.00M,701.00M,660.00M,,451.00M,161.00M,38.00M,1.055B,,4.138B,5.392B,,11.43B,2000-12,-4.428B,,2.339B,,-1.247B,,-14.99B,-13.89B,2000-12,19.99B,-11.89B,8.097B,,,376.00M,,,,-1.355B,-5.24B,,2000-12,8.782B,-587.00M,7.546B,,2000-12,,,19.99B,,,2000-12,AOR,Restated
2000-09,3.18B,,,,,,1.229B,604.00M,1.833B,1.833B,-252.00M,,-92.00M,-497.00M,-301.00M,1.352B,,3.00M,557.00M,,5.689B,2000-09,-3.425B,,-3.425B,,-417.00M,,-8.059B,-11.90B,2000-09,7.417B,5.788B,13.20B,,,-892.00M,,,,-1.353B,-8.051B,,2000-09,12.08B,-3.303B,8.782B,,2000-09,,,7.417B,,,2000-09,AOR,Restated
2000-06,3.378B,,,,,,1.153B,745.00M,1.898B,1.898B,448.00M,,-1.597B,-58.00M,-54.00M,1.202B,,-1.744B,-654.00M,,3.894B,2000-06,-3.936B,,-3.936B,,-481.00M,,-6.944B,-11.36B,2000-06,11.52B,5.918B,17.43B,,,362.00M,,,,-1.346B,-14.96B,,2000-06,18.06B,-5.977B,12.08B,,2000-06,,,11.52B,,,2000-06,AOR,Restated
2000-03,2.592B,,,,,,1.389B,564.00M,1.953B,1.953B,297.00M,,-2.472B,-143.00M,-607.00M,-312.00M,,-151.00M,-1.213B,,1.678B,2000-03,-2.178B,,-2.178B,,-187.00M,,1.822B,-543.00M,2000-03,8.723B,-8.056B,667.00M,,,623.00M,,,,-1.347B,8.43B,,2000-03,8.554B,9.508B,18.06B,,2000-03,,,8.723B,,,2000-03,AOR,Restated
1999-12,3.089B,,,,,,1.306B,528.00M,1.834B,1.834B,1.406B,,-2.026B,-158.00M,621.00M,1.32B,,1.754B,3.537B,,8.463B,1999-12,-6.873B,,-611.00M,,-3.809B,,-15.53B,-19.95B,1999-12,20.48B,12.06B,32.54B,,,-260.00M,,,,-1.147B,-17.20B,,1999-12,6.112B,2.442B,8.554B,,1999-12,,,20.48B,,,1999-12,,Restated
1999-09,2.653B,,,,,,1.241B,434.00M,1.675B,1.675B,275.00M,,-1.412B,-60.00M,96.00M,560.00M,,1.796B,2.392B,,5.81B,1999-09,-3.79B,,-3.79B,,-832.00M,,-1.597B,-6.219B,1999-09,12.60B,-10.98B,1.616B,,,-840.00M,,,,-1.148B,1.794B,,1999-09,5.099B,1.013B,6.112B,,1999-09,,,12.60B,,,1999-09,,Restated
1999-06,2.82B,,,,,,1.236B,433.00M,1.669B,1.669B,-367.00M,,2.312B,-119.00M,-232.00M,-394.00M,,-81.00M,-826.00M,,6.05B,1999-06,-3.183B,,-3.183B,,-2.711B,,-3.831B,-9.725B,1999-06,14.94B,1.557B,16.50B,,,588.00M,,,1.146B,-1.146B,-11.76B,,1999-06,4.596B,503.00M,5.099B,,1999-06,,,7.248B,7.696B,,1999-06,,Restated
1999-03,2.155B,,,,,,1.125B,388.00M,1.513B,1.513B,188.00M,,-675.00M,480.00M,-219.00M,-666.00M,,1.115B,710.00M,,4.27B,1999-03,-1.656B,,-1.656B,,-4.302B,,-327.00M,-6.285B,1999-03,134.00M,3.537B,3.671B,,,-490.00M,,,-1.146B,-1.146B,259.00M,,1999-03,4.317B,279.00M,4.596B,,1999-03,,,7.83B,-7.696B,,1999-03,,Restated
1998-12,2.671B,,,,,,,,2.625B,2.625B,471.00M,,-2.017B,-958.00M,163.00M,1.867B,-3.008B,,1.734B,,7.087B,1998-12,6.023B,,10.07B,,,,-7.544B,-16.09B,1998-12,,,42.29B,,1.717B,-1.102B,,,,-980.00M,-32.66B,,1998-12,0.00,-1.45B,4.317B,,1998-12,,,,,,1998-12,,Restated
1998-09,2.284B,,,,,,,,1.152B,1.152B,289.00M,,-531.00M,1.26B,-311.00M,133.00M,673.00M,,1.755B,,4.949B,1998-09,-8.292B,,-8.292B,,,,-2.486B,-10.78B,1998-09,,,8.749B,,11.00M,11.00M,,,,-976.00M,-50.00M,,1998-09,0.00,1.905B,0.00,,1998-09,,,,,,1998-09,,
1998-06,2.45B,,,,,,,,660.00M,660.00M,209.00M,,-124.00M,-357.00M,424.00M,-719.00M,1.174B,,522.00M,,3.717B,1998-06,-3.354B,,-3.354B,,,,-5.539B,-8.893B,1998-06,,,5.379B,,-774.00M,-774.00M,,,,-978.00M,-8.00M,,1998-06,5.419B,-1.557B,0.00,,1998-06,,,,,,1998-06,,
