,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-03,1.808B,1.808B,,,24.00M,92.10M,,,,1.074B,1.310B,497.80M,,,,24.00M,,388.70M,144.90M,243.80M,-1.60M,,-5.10M,,242.20M,149.40M,497.80M,,2002-03,1.19,1.117,1.18,,2002-03,1.17,1.098,1.16,,208.20M,0.29,,2002-03,,
2001-12,2.029B,2.029B,,,15.00M,76.90M,,,,1.540B,1.787B,242.20M,,,,15.00M,,105.60M,51.70M,53.90M,1.60M,0.00,-12.60M,,55.50M,176.00M,242.20M,,2001-12,0.16,0.1167,0.27,,2001-12,0.15,0.1075,0.26,,211.71M,0.29,,2001-12,,
2001-09,1.756B,1.756B,,,-10.60M,58.50M,,,,1.396B,1.61B,146.40M,,,,-10.60M,,-15.40M,4.30M,-19.70M,-0.40M,,-5.10M,,-20.10M,171.60M,146.40M,,2001-09,-0.10,-0.0690,-0.10,,2001-09,-0.10,-0.0690,-0.10,,205.40M,0.29,,2001-09,,
2001-06,1.873B,1.873B,,,8.90M,61.50M,,,,1.513B,1.733B,140.10M,,,,8.90M,,-7.50M,2.40M,-9.90M,-1.70M,,-7.10M,,-11.60M,163.00M,140.10M,,2001-06,-0.05,-0.0760,-0.06,,2001-06,-0.05,-0.0760,-0.06,,205.30M,0.29,,2001-06,,
2001-03,3.798B,3.798B,,,4.50M,97.90M,,,,3.067B,3.326B,472.20M,,,,4.50M,,306.50M,122.30M,184.20M,0.60M,4.00M,-7.00M,,188.80M,161.10M,472.20M,,2001-03,0.90,0.8868,0.92,,2001-03,0.88,0.8671,0.90,,209.40M,0.29,,2001-03,,
2000-12,2.735B,2.735B,,,-2.50M,72.00M,,,,2.321B,2.528B,207.70M,,,,-2.50M,,24.40M,24.60M,-0.20M,2.10M,,-12.90M,,1.90M,121.03M,207.70M,,2000-12,-0.30,-0.2877,-0.15,,2000-12,-0.30,-0.2877,-0.15,,121.51M,0.27,,2000-12,,
2000-09,1.181B,1.181B,,,49.40M,22.40M,,,,981.60M,1.084B,97.40M,,,,49.40M,,94.80M,48.00M,46.80M,5.20M,,-5.20M,,52.00M,84.10M,97.40M,,2000-09,0.39,0.1441,0.43,,2000-09,0.38,0.1398,0.42,,123.41M,0.27,,2000-09,,
2000-06,922.97M,922.97M,529.70M,393.27M,2.51M,20.58M,,,,198.76M,303.92M,89.35M,,,,2.51M,,36.32M,12.90M,23.41M,,,-5.00M,,23.41M,88.97M,89.35M,,2000-06,0.19,0.1766,0.19,,2000-06,0.18,0.1666,0.18,,120.57M,0.27,,2000-06,,
2000-03,1.106B,1.106B,,,2.40M,25.80M,,,,825.70M,931.60M,174.70M,,,,2.40M,,125.60M,46.50M,79.10M,0.50M,,-7.00M,,79.60M,80.10M,174.70M,,2000-03,0.64,0.6278,0.64,,2000-03,0.62,0.6078,0.62,,124.30M,0.27,,2000-03,,
1999-12,1.014B,1.014B,,,-11.14M,17.69M,,,,1.907B,1.991B,91.05M,,,,-11.14M,,38.28M,11.84M,26.44M,,,-5.597M,,32.94M,64.55M,91.05M,,1999-12,0.22,0.2828,0.27,,1999-12,0.20,0.2591,0.25,,130.32M,0.255,,1999-12,,
1999-09,692.97M,692.97M,308.33M,384.64M,-14.28M,24.57M,,,,176.04M,278.62M,106.02M,,,,-14.28M,,41.74M,13.78M,27.96M,,,-7.634M,,27.96M,78.05M,106.02M,,1999-09,0.22,0.2953,0.22,,1999-09,0.22,0.2953,0.22,,127.07M,0.255,,1999-09,,
1999-06,675.35M,675.35M,300.19M,375.16M,-2.318M,25.22M,,,,187.36M,290.18M,84.98M,,,,-2.318M,,34.60M,11.66M,22.94M,,,-5.668M,,22.94M,77.50M,84.98M,,1999-06,0.18,0.1921,0.18,,1999-06,0.18,0.1921,0.18,,127.47M,0.255,,1999-06,,
1999-03,891.58M,891.58M,460.00M,431.58M,7.10M,28.00M,,,,174.70M,275.60M,155.98M,,,,7.10M,,121.50M,44.90M,76.60M,,,-2.70M,,76.60M,72.90M,155.98M,,1999-03,0.62,0.5838,0.62,,1999-03,0.62,0.5838,0.62,,123.55M,0.255,,1999-03,,
1998-12,664.40M,664.40M,,,-0.90M,14.10M,,,,1.289B,1.353B,113.10M,,,,-0.90M,,80.40M,25.10M,55.30M,,,,,60.60M,,113.10M,,1998-12,0.47,0.4753,0.51,,1998-12,0.47,0.4753,0.51,,117.87M,0.24,,1998-12,,
1998-09,747.80M,747.80M,295.40M,452.40M,2.90M,22.00M,,,,270.20M,356.60M,95.80M,,,,2.90M,,64.60M,21.50M,43.10M,,,,,43.10M,,95.80M,,1998-09,0.36,0.3438,0.36,,1998-09,0.35,0.3343,0.35,,123.14M,0.24,,1998-09,,
1998-06,652.40M,652.40M,222.00M,430.40M,-0.90M,21.10M,,,,267.80M,352.50M,77.90M,,,,-0.90M,,44.80M,15.40M,29.40M,,,,,29.40M,,77.90M,,1998-06,0.24,0.2448,0.24,,1998-06,0.24,0.2448,0.24,,122.50M,0.24,,1998-06,,
