,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2016-06,28.90M,,,,,136.90M,136.90M,22.00M,,,,8.40M,,,,,,,-11.60M,-11.60M,-0.40M,,2016-06,-371.50M,,,,2.10M,-30.30M,-399.70M,2016-06,-3.40M,255.40M,252.00M,5.70M,-0.50M,5.20M,,,-49.70M,,-49.70M,207.50M,,2016-06,23.70M,15.70M,,2016-06,,5.70M,255.40M,-3.40M,,,,2016-06,AOR,Restated
2016-03,186.60M,,,,,132.80M,132.80M,95.10M,,,,10.00M,,,,,,,-121.30M,-121.30M,-0.30M,,2016-03,-301.00M,,,,,-14.30M,-315.30M,2016-03,-204.30M,277.90M,73.60M,4.30M,-7.40M,-3.10M,,,-49.60M,,-49.60M,20.60M,,2016-03,15.50M,23.70M,,2016-03,,4.30M,277.90M,-204.30M,,,,2016-03,AOR,Restated
2015-12,64.40M,,,,0.00,133.40M,133.40M,75.20M,,,12.10M,-0.10M,-158.10M,27.10M,-30.00M,189.80M,,61.00M,-117.70M,-27.90M,5.80M,,2015-12,-437.30M,,,0.00,,-22.60M,-456.50M,2015-12,-233.10M,460.20M,227.10M,4.60M,-0.10M,4.50M,,,-49.40M,,-49.40M,182.20M,,2015-12,31.70M,45.20M,,2015-12,0.00,4.60M,,227.10M,,,,2015-12,AOR,Restated
2015-09,14.80M,,,,0.00,132.50M,132.50M,9.30M,,,9.00M,2.70M,49.20M,-128.50M,6.80M,-77.00M,,90.20M,-22.00M,-81.30M,-8.60M,,2015-09,-368.70M,,,0.00,,-29.60M,-398.30M,2015-09,-2.80M,38.50M,35.70M,5.50M,-0.10M,5.40M,,,-49.30M,,-49.30M,-145.00M,,2015-09,361.00M,31.70M,,2015-09,135.60M,5.50M,,35.70M,,,,2015-09,AOR,Restated
2015-06,-73.10M,,,,97.20M,133.50M,133.50M,-39.10M,,,12.30M,7.20M,477.40M,-148.20M,45.60M,-215.50M,,6.50M,67.30M,233.10M,140.00M,,2015-06,-311.20M,,,3.298B,,-18.60M,2.693B,2015-06,-1.848B,-172.20M,-2.020B,6.50M,-0.20M,6.30M,,,-82.50M,,-82.50M,-2.75B,,2015-06,34.90M,361.00M,,2015-06,-128.30M,6.50M,,-2.020B,,,,2015-06,AOR,Restated
2015-03,192.50M,,,,,125.00M,125.00M,89.90M,,,17.30M,0.50M,-106.30M,296.50M,-22.30M,-145.80M,,-122.20M,123.10M,23.00M,156.20M,,2015-03,-243.50M,,,500.00M,,9.60M,111.20M,2015-03,-8.00M,-1.263B,-1.271B,5.90M,-20.00M,-14.10M,,,-82.20M,,-82.20M,-698.80M,,2015-03,24.90M,34.90M,,2015-03,-6.80M,5.90M,,-1.271B,,,,2015-03,AOR,Restated
2014-12,79.50M,,-1.90M,-0.60M,-3.60M,123.80M,123.80M,51.30M,,,15.80M,5.50M,-403.10M,54.60M,-36.10M,387.10M,,54.00M,13.60M,70.10M,90.70M,,2014-12,-368.20M,,,0.00,,-17.10M,-604.40M,2014-12,-3.90M,265.80M,261.90M,7.90M,0.00,7.90M,,,-82.10M,,-82.10M,179.00M,,2014-12,17.30M,24.90M,,2014-12,-0.10M,7.90M,265.80M,-3.90M,,,,2014-12,AOR,Restated
2014-09,-168.20M,,0.50M,21.20M,37.60M,65.30M,65.30M,-76.70M,,,22.30M,4.20M,182.90M,-198.70M,-9.10M,-88.40M,,8.30M,0.20M,-104.80M,468.70M,,2014-09,-61.40M,,,0.00,,-24.00M,-614.60M,2014-09,244.60M,209.90M,454.50M,6.30M,0.00,6.30M,,,-82.00M,,-82.00M,378.80M,,2014-09,18.00M,17.30M,,2014-09,-0.10M,6.30M,958.30M,-503.80M,,,,2014-09,AOR,Restated
2014-06,78.50M,,0.60M,-11.00M,-11.30M,149.10M,149.10M,37.90M,,,14.00M,-2.50M,441.60M,-245.80M,38.50M,-310.20M,,64.80M,-2.30M,-13.40M,-0.60M,,2014-06,-466.60M,,,,,0.70M,-489.70M,2014-06,-4.20M,288.60M,284.40M,7.20M,-0.20M,7.00M,,,-78.70M,,-78.70M,212.70M,,2014-06,38.00M,18.00M,,2014-06,,7.20M,288.60M,-4.20M,,,,2014-06,AOR,Restated
2014-03,266.40M,,0.80M,-9.60M,-22.70M,148.70M,148.70M,148.90M,,,13.90M,-1.60M,-264.20M,274.00M,4.50M,54.60M,,-97.30M,-138.40M,-166.80M,-0.40M,,2014-03,-386.30M,,,,,9.40M,-407.90M,2014-03,-9.10M,113.80M,104.70M,8.90M,-10.00M,-1.10M,,,-78.50M,,-78.50M,25.10M,,2014-03,26.80M,38.00M,,2014-03,,8.90M,113.80M,-9.10M,,,,2014-03,AOR,Restated
2013-12,-116.90M,,0.70M,26.00M,37.00M,39.00M,39.00M,-80.70M,,,8.80M,3.40M,-438.80M,90.60M,-53.80M,421.20M,,-17.30M,26.60M,28.50M,458.10M,,2013-12,92.20M,,,77.10M,,-21.70M,-640.10M,2013-12,486.60M,-122.00M,364.60M,7.60M,-0.10M,7.50M,,,-78.30M,,-78.30M,293.80M,,2013-12,14.90M,26.50M,,2013-12,,7.60M,448.40M,-83.80M,,,,2013-12,AOR,Restated
2013-09,49.50M,,0.60M,-10.30M,-17.50M,144.50M,144.50M,30.50M,,,16.70M,-2.30M,124.00M,-176.90M,9.30M,-136.30M,,35.60M,103.00M,-41.30M,-2.70M,,2013-09,-495.60M,,,-44.40M,,9.90M,-533.20M,2013-09,-54.20M,443.10M,388.90M,12.00M,-0.10M,11.90M,,,-78.10M,,-78.10M,319.50M,,2013-09,44.50M,14.90M,,2013-09,,12.00M,43.90M,345.00M,,,,2013-09,AOR,Restated
2013-06,72.40M,,0.80M,-7.90M,-7.30M,143.30M,143.30M,51.50M,,,12.40M,-2.20M,430.00M,-181.50M,42.00M,-169.40M,,14.80M,32.80M,168.70M,1.30M,,2013-06,-432.40M,,,-15.60M,,-24.30M,-472.00M,2013-06,791.40M,-753.50M,37.90M,6.90M,-0.30M,6.60M,,,-74.80M,,-74.80M,-30.30M,,2013-06,101.40M,44.50M,,2013-06,,6.90M,461.00M,-423.10M,,,,2013-06,AOR,Restated
2013-03,216.00M,,0.50M,-7.30M,-7.40M,143.60M,143.60M,117.10M,,,10.60M,-1.20M,-111.00M,254.70M,-5.80M,-38.60M,,-32.70M,-115.50M,-48.90M,12.30M,,2013-03,-369.30M,,,-17.10M,,18.80M,-246.10M,2013-03,-427.10M,354.30M,-72.80M,17.20M,-7.60M,9.60M,,,-74.70M,,-74.70M,-137.90M,,2013-03,36.30M,101.40M,,2013-03,,17.20M,354.30M,-427.10M,,,,2013-03,AOR,Restated
2012-12,132.10M,,1.30M,-8.00M,-10.50M,143.90M,143.90M,159.80M,,,12.00M,-3.50M,-460.20M,42.80M,-52.80M,387.00M,,-35.90M,10.50M,-108.60M,2.50M,,2012-12,-476.60M,,,-9.10M,,13.00M,-473.90M,2012-12,-320.00M,551.50M,231.50M,7.10M,0.00,7.10M,,,-74.40M,,-74.40M,164.20M,,2012-12,12.30M,36.30M,,2012-12,,7.10M,0.00,231.50M,,,,2012-12,AOR,Restated
2012-09,16.30M,,21.30M,-8.00M,14.10M,125.30M,125.30M,3.80M,,,13.30M,0.90M,-25.80M,-114.00M,13.10M,-41.80M,,-1.50M,175.20M,5.20M,-16.80M,,2012-09,-404.30M,,,-3.70M,,26.10M,-382.40M,2012-09,-3.80M,-102.30M,-106.10M,346.40M,0.00,346.40M,,,-68.40M,,-68.40M,171.90M,,2012-09,52.80M,12.30M,,2012-09,,346.40M,0.00,-106.10M,,,,2012-09,AOR,Restated
2012-06,67.90M,,-45.00M,-8.30M,-56.30M,147.30M,147.30M,36.80M,,,10.80M,0.40M,176.90M,-77.50M,39.90M,-149.70M,,9.80M,77.30M,76.70M,3.90M,,2012-06,-326.10M,,,-2.30M,,55.00M,-274.20M,2012-06,989.50M,-936.60M,52.90M,12.60M,-0.10M,12.50M,,,-65.30M,,-65.30M,-3.30M,,2012-06,38.50M,52.80M,,2012-06,,12.60M,991.40M,-938.50M,,,,2012-06,AOR,Restated
2012-03,192.50M,,24.90M,-6.60M,16.00M,145.40M,145.40M,92.20M,,,8.90M,1.30M,127.70M,211.10M,-4.70M,-120.70M,,-67.40M,-138.20M,7.80M,3.00M,,2012-03,-291.80M,,,-5.30M,,3.20M,-294.70M,2012-03,-5.90M,-94.80M,-100.70M,17.40M,-9.90M,7.50M,,,-65.10M,,-65.10M,-158.30M,,2012-03,11.50M,38.50M,,2012-03,,17.40M,,-100.70M,,,,2012-03,AOR,Restated
2011-12,25.20M,,2.60M,-16.60M,40.50M,132.00M,132.00M,27.60M,-6.60M,15.50M,11.80M,-0.20M,-341.60M,29.70M,-41.30M,328.40M,,160.90M,-362.00M,-225.90M,37.40M,,2011-12,-348.50M,,,,0.20M,9.80M,-347.40M,2011-12,244.30M,125.40M,369.70M,9.30M,0.00,9.30M,,,-64.50M,,-64.50M,260.60M,,2011-12,22.20M,11.50M,,2011-12,,9.30M,494.70M,-273.50M,,,,2011-12,AOR,Restated
2011-09,34.70M,,,-2.60M,-1.10M,134.90M,134.90M,33.00M,2.40M,0.50M,10.20M,-4.10M,126.80M,-185.10M,10.50M,-150.40M,,98.10M,-47.80M,-147.90M,-4.50M,,2011-09,-329.20M,,,,-0.10M,-49.20M,-378.50M,2011-09,-23.50M,363.70M,340.20M,7.20M,-0.10M,7.10M,,,-64.60M,,-64.60M,282.70M,,2011-09,59.90M,22.20M,,2011-09,,7.20M,0.00,-23.50M,,,,2011-09,AOR,Restated
2011-06,40.20M,,-1.80M,8.60M,7.40M,134.50M,134.50M,33.60M,2.10M,0.00,9.40M,-2.80M,437.80M,-194.80M,19.30M,-135.10M,,1.60M,-9.90M,118.90M,-29.40M,,2011-06,-235.60M,,,,-0.10M,-12.60M,-248.30M,2011-06,385.10M,-392.70M,-7.60M,4.20M,-0.30M,3.90M,,,-64.50M,,-64.50M,-68.20M,,2011-06,62.50M,59.90M,,2011-06,,4.20M,395.30M,-10.20M,,,,2011-06,AOR,Restated
2011-03,209.50M,,1.80M,-3.10M,-1.70M,134.30M,134.30M,102.30M,2.10M,0.70M,7.80M,13.60M,94.60M,208.50M,1.30M,-182.80M,,-136.50M,-16.90M,-31.80M,-14.70M,,2011-03,-209.40M,,,,0.00,34.30M,-175.10M,2011-03,-2.80M,-119.50M,-122.30M,3.70M,-2.70M,1.00M,,,-64.20M,,-64.20M,-193.70M,,2011-03,9.20M,62.50M,,2011-03,,3.70M,,-2.80M,,,,2011-03,AOR,Restated
2010-12,18.20M,,-5.50M,-11.60M,59.00M,140.30M,140.30M,63.20M,-8.10M,1.00M,7.70M,36.00M,-516.20M,136.10M,-43.90M,399.10M,,-257.30M,336.80M,54.60M,8.10M,,2010-12,-247.60M,,,,63.90M,68.10M,-182.20M,2010-12,-716.80M,657.90M,-58.90M,3.80M,-0.10M,3.70M,,,-64.20M,,-64.20M,-212.40M,,2010-12,10.90M,9.20M,,2010-12,,3.80M,1.524B,-961.40M,,,,2010-12,AOR,Restated
2010-09,33.20M,,-7.90M,4.60M,-3.30M,153.10M,153.10M,92.00M,2.70M,1.10M,17.20M,-15.30M,54.20M,-180.40M,4.30M,-171.20M,,94.00M,-141.50M,-340.60M,-10.10M,,2010-09,-216.80M,,,,-63.60M,-86.80M,-367.20M,2010-09,-11.10M,511.80M,500.70M,3.80M,0.00,3.80M,,,-63.80M,,-63.80M,440.70M,,2010-09,7.40M,10.90M,,2010-09,,3.80M,0.00,-11.10M,,,,2010-09,AOR,Restated
2010-06,28.10M,,7.90M,-0.40M,7.60M,151.60M,151.60M,11.40M,2.70M,0.00,3.80M,8.10M,386.20M,-185.10M,22.70M,-191.70M,,20.00M,67.50M,119.60M,-13.70M,,2010-06,-198.10M,,,,-0.30M,-1.10M,-199.50M,2010-06,-4.30M,-157.90M,-162.20M,3.20M,0.00,3.20M,,,-63.90M,,-63.90M,-222.90M,,2010-06,110.60M,7.40M,,2010-06,,3.20M,0.00,-4.30M,,,,2010-06,AOR,Restated
2010-03,197.30M,,,-7.40M,-7.40M,149.80M,149.80M,27.20M,2.70M,0.00,2.20M,-24.60M,-116.30M,332.70M,5.40M,-62.70M,,-124.70M,-267.20M,-232.80M,-31.10M,,2010-03,-138.80M,,,,,-56.00M,-194.40M,2010-03,-0.90M,267.70M,266.80M,3.60M,-1.40M,2.20M,,,-63.70M,,-63.70M,205.30M,,2010-03,16.40M,110.60M,,2010-03,,3.60M,,-0.90M,,,,2010-03,AOR,Restated
2009-12,89.50M,,,-5.90M,-1.50M,148.60M,148.60M,23.40M,3.10M,15.70M,1.30M,3.00M,-68.30M,151.60M,-10.60M,429.80M,,30.70M,-201.60M,331.60M,-69.40M,,2009-12,-191.20M,,,,3.00M,30.60M,-151.90M,2009-12,-309.00M,-97.10M,-406.10M,10.00M,-1.70M,8.30M,,,-63.70M,,-63.70M,-461.50M,,2009-12,84.50M,16.40M,,2009-12,,10.00M,494.90M,159.50M,,,,2009-12,AOR,Restated
2009-09,-15.40M,2.00M,,-5.40M,-3.20M,148.80M,148.80M,318.40M,3.70M,6.80M,3.40M,-7.50M,-192.10M,-242.20M,-4.00M,-61.60M,,2.30M,46.50M,-451.10M,-122.80M,,2009-09,-200.20M,,,,-6.30M,23.40M,-183.00M,2009-09,0.60M,200.10M,200.70M,0.20M,0.00,0.20M,,,-63.40M,,-63.40M,137.50M,,2009-09,248.90M,84.50M,,2009-09,,0.20M,1.60M,199.10M,,,,2009-09,AOR,Restated
2009-06,-4.80M,-2.00M,,2.60M,3.90M,148.20M,148.20M,13.30M,4.10M,0.80M,3.30M,-1.20M,322.40M,-268.40M,29.70M,-274.00M,,-4.30M,209.30M,14.70M,-0.40M,,2009-06,-178.90M,,,,-9.50M,64.90M,-123.50M,2009-06,118.30M,0.00,118.30M,0.20M,-0.10M,0.10M,,,-63.10M,,-63.10M,55.30M,,2009-06,135.20M,248.90M,,2009-06,,0.20M,381.80M,-263.50M,,,,2009-06,AOR,Restated
2009-03,148.40M,,,-6.40M,-0.60M,143.70M,143.70M,23.10M,2.10M,,1.60M,-4.50M,172.00M,487.70M,8.80M,-171.80M,,-3.40M,312.70M,806.00M,-61.90M,,2009-03,-206.90M,,,,-10.70M,13.70M,-196.40M,2009-03,480.30M,-1.164B,-683.20M,0.20M,-0.80M,-0.60M,,,-63.10M,,-63.10M,-746.90M,,2009-03,20.60M,135.20M,,2009-03,,0.20M,581.70M,-1.265B,,,,2009-03,AOR,Restated
2008-12,162.00M,,,-5.00M,-27.10M,143.20M,143.20M,45.50M,2.00M,1.80M,2.30M,-3.30M,-590.00M,165.60M,-14.60M,220.50M,,32.40M,171.50M,-14.60M,23.20M,,2008-12,-592.40M,,47.80M,,,107.80M,-145.40M,2008-12,-3.50M,-99.50M,-103.00M,0.20M,0.20M,0.40M,,,-63.20M,,-63.20M,-165.80M,,2008-12,25.10M,20.60M,,2008-12,,0.20M,-202.80M,-2.70M,,,,2008-12,,Restated
2008-09,20.00M,,,-19.20M,-8.40M,140.70M,140.70M,40.10M,2.00M,0.00,2.70M,1.00M,180.50M,-609.90M,-23.90M,-117.50M,,8.60M,-29.20M,-591.40M,5.20M,,2008-09,70.90M,,329.70M,,,-671.50M,-581.30M,2008-09,228.20M,757.00M,985.20M,0.30M,0.00,0.30M,,,-63.10M,,-63.10M,922.40M,,2008-09,45.90M,25.10M,,2008-09,-17.40M,0.30M,456.10M,529.10M,,,,2008-09,,Restated
2008-06,-202.30M,,,0.60M,220.90M,147.50M,147.50M,35.50M,1.90M,0.00,3.10M,25.60M,360.00M,-485.40M,7.30M,-218.00M,,5.30M,-80.20M,-411.00M,-28.80M,,2008-06,-581.50M,,-329.70M,,,254.10M,-283.00M,2008-06,639.10M,-118.70M,520.40M,0.20M,-0.20M,0.00,,,-63.00M,,-63.00M,457.40M,,2008-06,77.40M,45.90M,,2008-06,17.40M,0.20M,705.10M,-184.70M,,,,2008-06,,Restated
2008-03,99.30M,,,-1.70M,85.20M,135.60M,135.60M,16.70M,1.80M,1.60M,1.40M,-27.00M,-152.90M,847.30M,3.70M,30.60M,,-4.00M,-191.20M,533.50M,-2.10M,,2008-03,-196.90M,,,,,89.40M,-104.60M,2008-03,-199.10M,-436.30M,-635.40M,0.60M,0.00,0.60M,,,-63.10M,,-63.10M,-697.90M,,2008-03,34.60M,77.40M,,2008-03,,0.60M,0.90M,-636.30M,,,,2008-03,,Restated
2007-12,67.00M,,,,-3.10M,,135.00M,29.70M,,,,39.40M,-270.90M,218.80M,,170.10M,-41.40M,-2.40M,16.90M,91.10M,-1.90M,,2007-12,-266.60M,1.90M,-264.70M,,,29.80M,-234.90M,2007-12,,,-1.80M,0.30M,0.00,0.30M,,,,,-63.00M,-105.10M,,2007-12,17.70M,34.60M,,2007-12,,0.30M,,,35.50M,113.90M,,2007-12,,
2007-09,11.00M,,,,-16.40M,,124.40M,-10.20M,,,,-14.80M,120.60M,-407.10M,,-84.20M,46.80M,31.30M,2.10M,-290.50M,7.50M,,2007-09,-188.10M,0.00,-188.10M,,,4.40M,-183.70M,2007-09,,,430.30M,0.20M,0.00,0.20M,,,,,-63.10M,367.40M,,2007-09,23.00M,17.70M,,2007-09,,0.20M,,,62.90M,81.00M,,2007-09,,
2007-06,26.70M,,,,5.10M,,144.70M,-13.30M,,,,8.80M,251.50M,-418.70M,,-127.10M,-24.60M,12.60M,-58.20M,-364.50M,3.10M,,2007-06,-183.90M,0.80M,-183.10M,,,-9.10M,-192.20M,2007-06,,,361.50M,5.60M,-0.60M,5.00M,,,,,-63.00M,303.50M,,2007-06,100.90M,23.00M,,2007-06,,5.60M,,,83.40M,117.20M,,2007-06,,
2007-03,216.70M,,,,-3.60M,,136.10M,-0.80M,,,,-9.40M,-83.30M,705.10M,,-19.00M,25.10M,-153.80M,-27.10M,447.00M,-8.70M,,2007-03,-147.80M,1.50M,-146.30M,,,75.70M,-70.60M,2007-03,,,-576.30M,2.10M,-1.50M,0.60M,,,,,-63.00M,-638.70M,,2007-03,32.90M,100.90M,,2007-03,,2.10M,,,3.40M,101.10M,,2007-03,,
