,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,35.00M,,35.00M,973.80M,53.60M,1.027B,141.00M,245.30M,155.50M,9.70M,,160.90M,1.634B,130.70M,,21.50B,-7.048B,14.46B,1.691B,228.90M,1.920B,206.30M,,98.00M,,18.46B,20.10B,,2018-03,497.30M,11.50M,787.40M,203.40M,990.80M,33.60M,1.054B,513.40M,262.70M,1.83B,,1.83B,154.70M,154.70M,101.90M,3.226B,269.90M,7.287B,,7.287B,1.397B,,1.397B,32.80M,,,191.70M,12.37B,2018-03,3.40M,-919.20M,5.540B,99.50M,,,,-19.00M,4.506B,,2018-03,AOR,Restated
2017-12,29.00M,,29.00M,898.90M,45.80M,944.70M,365.20M,471.10M,132.80M,9.40M,,176.30M,1.763B,764.60M,950.50M,21.65B,-7.290B,14.36B,1.691B,231.70M,1.922B,209.60M,,82.00M,,18.20B,19.96B,,2017-12,625.60M,59.60M,893.30M,203.10M,1.096B,32.10M,869.00M,336.70M,284.30M,1.49B,,1.49B,262.60M,262.60M,101.90M,3.178B,268.70M,7.512B,,7.512B,1.305B,,1.305B,28.50M,,,194.40M,12.46B,2017-12,3.40M,-1.073B,5.529B,95.90M,,,,-43.40M,4.320B,,2017-12,AOR,Restated
2017-09,19.30M,,19.30M,480.00M,42.90M,522.90M,409.20M,511.50M,65.80M,9.00M,,203.90M,1.332B,290.70M,,20.95B,-6.906B,14.04B,1.691B,234.40M,1.925B,213.30M,,90.40M,,17.94B,19.27B,,2017-09,447.40M,68.00M,722.70M,208.40M,931.10M,27.50M,581.00M,262.20M,289.80M,1.133B,,1.133B,253.10M,253.10M,55.10M,2.567B,268.50M,7.519B,,7.519B,2.632B,,2.632B,28.70M,,,187.80M,12.34B,2017-09,3.40M,-1.021B,5.518B,94.60M,,,,-43.70M,4.363B,,2017-09,AOR,Restated
2017-06,17.90M,,17.90M,545.20M,35.10M,580.30M,296.50M,393.20M,91.30M,14.90M,,183.20M,1.281B,296.60M,,20.50B,-6.834B,13.67B,1.691B,237.20M,1.928B,201.10M,,84.20M,,17.54B,18.82B,,2017-06,451.10M,46.60M,706.90M,183.60M,890.50M,29.30M,603.00M,298.30M,561.20M,1.462B,,1.462B,168.60M,168.60M,83.70M,2.778B,267.20M,6.777B,,6.777B,2.630B,,2.630B,58.50M,,,188.90M,11.92B,2017-06,3.30M,-975.60M,5.225B,94.60M,,,,-35.60M,4.123B,,2017-06,AOR,Restated
2017-03,28.40M,,28.40M,813.80M,18.80M,832.60M,178.00M,275.50M,139.10M,10.80M,,184.80M,1.471B,309.80M,,19.99B,-6.702B,13.29B,1.691B,239.90M,1.931B,200.60M,,86.90M,,17.16B,18.64B,,2017-03,461.60M,23.30M,758.20M,143.70M,901.90M,33.80M,1.075B,439.00M,809.30M,2.324B,,2.324B,166.30M,166.30M,131.60M,3.664B,261.30M,5.591B,,5.591B,2.657B,,2.657B,52.90M,,,199.20M,10.78B,2017-03,3.30M,-874.20M,5.175B,93.10M,,,,-19.60M,4.191B,,2017-03,AOR,Restated
2016-12,26.40M,,26.40M,847.00M,5.40M,852.40M,392.70M,494.40M,130.60M,9.60M,,248.70M,1.762B,786.70M,663.10M,20.05B,-6.982B,13.07B,1.691B,242.70M,1.933B,199.90M,,91.80M,,16.93B,18.69B,,2016-12,539.40M,83.70M,818.50M,186.20M,1.005B,37.40M,1.178B,310.00M,363.10M,1.851B,,1.851B,264.10M,264.10M,133.50M,3.452B,262.60M,6.058B,,6.058B,2.541B,,2.541B,44.50M,,,200.50M,11.17B,2016-12,3.30M,-972.20M,5.154B,88.70M,,,,-25.10M,4.071B,,2016-12,AOR,Restated
2016-09,16.10M,,16.10M,471.00M,16.90M,487.90M,433.60M,533.70M,64.10M,13.80M,,262.90M,1.378B,17.10M,,19.87B,-7.020B,12.85B,1.691B,245.40M,1.936B,207.00M,,72.10M,,16.69B,18.07B,,2016-09,352.20M,58.20M,594.40M,138.60M,733.00M,38.60M,824.00M,235.00M,582.60M,1.642B,,1.642B,255.20M,255.20M,107.20M,2.912B,272.30M,6.096B,,6.096B,2.398B,,2.493B,264.50M,,,182.80M,11.34B,2016-09,3.30M,-1.061B,5.136B,87.40M,,,,-179.00M,3.812B,,2016-09,AOR,Restated
2016-06,15.70M,,15.70M,474.10M,16.20M,490.30M,312.10M,414.70M,89.80M,12.30M,,236.80M,1.260B,17.40M,,19.60B,-7.040B,12.56B,1.691B,246.40M,1.937B,196.90M,,66.60M,,16.36B,17.62B,,2016-06,371.20M,37.70M,602.80M,189.60M,792.40M,37.30M,881.50M,219.20M,311.90M,1.413B,,1.413B,186.70M,186.70M,142.50M,2.696B,257.40M,5.857B,,5.857B,2.427B,,2.521B,221.10M,,,187.00M,11.11B,2016-06,3.20M,-1.067B,5.118B,87.20M,,,,-156.30M,3.811B,,2016-06,AOR,Restated
2016-03,23.70M,,23.70M,647.90M,26.40M,674.30M,223.60M,318.40M,133.50M,19.40M,,226.10M,1.395B,17.60M,,19.22B,-6.957B,12.27B,1.691B,250.90M,1.942B,201.50M,,65.00M,,16.08B,17.47B,,2016-03,392.70M,25.80M,671.30M,175.30M,846.60M,37.40M,460.00M,385.30M,263.80M,1.109B,,1.109B,218.30M,218.30M,176.80M,2.496B,253.10M,5.906B,,5.906B,2.441B,,2.532B,135.40M,,,188.40M,11.10B,2016-03,3.20M,-1.043B,5.102B,86.70M,,,,-103.80M,3.872B,,2016-03,AOR,Restated
2015-12,15.50M,,15.50M,660.00M,21.00M,681.00M,449.80M,536.60M,107.50M,29.70M,,206.90M,1.577B,148.40M,453.60M,18.99B,-6.877B,12.11B,1.691B,253.70M,1.944B,194.60M,,65.00M,,15.92B,17.49B,,2015-12,433.40M,62.30M,679.20M,250.60M,929.80M,37.60M,321.40M,246.00M,433.70M,1.001B,,1.001B,316.30M,316.30M,231.40M,2.658B,254.00M,5.948B,,5.948B,2.380B,,2.380B,22.60M,,,189.00M,10.99B,2015-12,3.20M,-1.123B,5.078B,79.30M,,,,-35.10M,3.844B,,2015-12,AOR,Restated
2015-09,31.70M,,31.70M,500.50M,19.70M,520.20M,480.00M,571.30M,75.90M,27.90M,227.10M,183.70M,1.638B,17.40M,,18.50B,-6.812B,11.69B,1.691B,256.40M,1.947B,202.50M,,70.30M,,15.42B,17.06B,,2015-09,349.20M,66.80M,602.30M,199.20M,801.50M,36.80M,0.00,107.20M,442.60M,549.80M,,549.80M,264.70M,264.70M,289.40M,2.073B,181.20M,6.134B,,6.134B,2.529B,,2.629B,,,,186.60M,11.18B,2015-09,3.20M,-1.183B,5.079B,79.20M,,,,-19.60M,3.800B,,2015-09,AOR,Restated
2015-06,496.60M,,496.60M,672.70M,57.10M,729.80M,355.70M,471.60M,133.20M,25.20M,303.80M,175.50M,2.336B,401.90M,,26.63B,-9.719B,16.91B,3.666B,258.40M,3.925B,653.00M,,111.60M,,23.27B,25.61B,,2015-06,429.20M,63.90M,714.60M,601.70M,1.316B,34.50M,0.00,161.80M,442.60M,604.40M,,604.40M,228.50M,228.50M,334.70M,2.524B,204.70M,8.881B,,8.881B,3.839B,,3.944B,,950.00M,,270.60M,15.63B,2015-06,3.20M,1.561B,5.065B,79.10M,,,,-44.40M,6.506B,,2015-06,AOR,Restated
2015-03,42.00M,,42.00M,1.152B,77.00M,1.229B,209.90M,344.40M,187.30M,21.60M,277.20M,159.50M,2.261B,376.20M,,25.97B,-9.687B,16.28B,3.666B,261.90M,3.928B,656.60M,,86.60M,,22.64B,24.90B,,2015-03,563.90M,65.80M,999.20M,478.80M,1.478B,25.40M,39.00M,275.00M,462.70M,776.70M,,776.70M,198.10M,198.10M,274.30M,2.758B,160.90M,7.958B,,7.958B,3.820B,,3.926B,,946.20M,,294.00M,14.67B,2015-03,3.20M,1.598B,5.048B,79.00M,,,,-46.60M,6.524B,,2015-03,AOR,Restated
2014-12,24.90M,,24.90M,920.80M,28.30M,949.10M,505.10M,618.20M,106.50M,24.90M,,187.40M,2.194B,43.10M,573.00M,17.71B,-6.654B,11.06B,1.691B,264.70M,1.955B,213.10M,,79.00M,7.546B,22.40B,24.59B,,2014-12,610.10M,101.50M,880.80M,285.20M,1.166B,22.70M,792.60M,784.30M,266.60M,1.844B,,1.844B,284.30M,284.30M,475.70M,3.964B,136.20M,8.099B,52.80M,8.152B,2.183B,,2.284B,,,,206.80M,14.45B,2014-12,3.20M,1.494B,4.788B,58.90M,,,,-50.60M,6.175B,,2014-12,AOR,Restated
2014-09,17.70M,,17.70M,639.30M,80.90M,720.20M,561.20M,722.30M,103.60M,16.00M,231.70M,200.10M,2.012B,344.00M,,25.12B,-9.533B,15.59B,3.666B,267.40M,3.934B,655.20M,,82.30M,,21.70B,23.71B,,2014-09,427.70M,143.10M,842.20M,490.30M,1.332B,15.30M,1.105B,205.80M,18.70M,1.330B,,1.330B,263.60M,263.60M,101.10M,3.048B,175.20M,8.397B,,8.397B,3.559B,20.90M,3.683B,,,,297.70M,14.65B,2014-09,3.20M,1.340B,4.765B,58.90M,,,,-41.60M,6.007B,,2014-09,AOR,Restated
2014-06,18.00M,,18.00M,824.00M,135.70M,959.70M,363.10M,544.80M,320.90M,9.80M,,188.10M,2.054B,330.40M,,24.53B,-9.444B,15.09B,3.666B,270.20M,3.936B,639.00M,,85.00M,,21.20B,23.26B,,2014-06,459.60M,139.20M,896.90M,489.40M,1.386B,18.90M,801.10M,300.00M,530.00M,1.631B,,1.631B,250.40M,250.40M,138.50M,3.431B,178.00M,7.641B,,7.641B,3.491B,20.30M,3.615B,,,,224.30M,13.80B,2014-06,3.20M,1.391B,4.735B,58.80M,,,,-41.40M,6.028B,,2014-06,AOR,Restated
2014-03,38.00M,,38.00M,1.271B,161.40M,1.437B,120.80M,339.90M,321.10M,10.90M,,159.10M,2.320B,320.60M,,24.02B,-9.359B,14.66B,3.666B,272.90M,3.939B,610.20M,,85.30M,,20.79B,23.11B,,2014-03,714.40M,143.10M,1.215B,399.10M,1.614B,25.50M,297.50M,515.00M,530.50M,1.343B,,1.343B,247.30M,247.30M,104.90M,3.341B,176.50M,7.638B,,7.638B,3.412B,21.80M,3.534B,,,,219.40M,13.75B,2014-03,3.20M,1.394B,4.716B,58.60M,,,,-42.50M,6.012B,,2014-03,AOR,Restated
2013-12,26.80M,,26.80M,1.006B,70.60M,1.076B,399.20M,546.80M,183.10M,8.00M,175.30M,142.80M,2.159B,360.50M,728.80M,23.66B,-9.299B,14.37B,3.666B,275.70M,3.942B,577.70M,,87.80M,,20.49B,22.65B,,2013-12,619.00M,186.40M,1.060B,465.40M,1.526B,32.30M,433.60M,265.10M,542.10M,1.241B,,1.241B,281.10M,281.10M,92.40M,3.178B,174.40M,7.484B,109.50M,7.593B,3.299B,17.10M,3.408B,,,,216.30M,13.59B,2013-12,3.20M,1.286B,4.690B,48.60M,,,,-43.60M,5.887B,,2013-12,AOR,Restated
2013-09,14.90M,,14.90M,591.00M,84.30M,681.70M,494.60M,610.90M,246.10M,18.30M,,152.50M,1.746B,301.30M,,23.17B,-9.259B,13.91B,3.666B,278.40M,3.945B,529.40M,0.00,89.00M,,20.34B,22.08B,,2013-09,369.60M,207.30M,836.50M,380.30M,1.217B,34.20M,612.50M,208.30M,541.20M,1.362B,,1.362B,270.50M,270.50M,116.00M,3.006B,175.50M,7.089B,,7.089B,3.155B,23.10M,3.273B,1.50M,,,219.10M,13.38B,2013-09,3.20M,1.134B,4.673B,48.60M,,,,-60.40M,5.701B,,2013-09,AOR,Restated
2013-06,44.50M,,44.50M,716.50M,81.10M,804.00M,304.80M,420.30M,224.40M,29.30M,,145.50M,1.708B,297.60M,,22.64B,-9.170B,13.47B,3.666B,281.20M,3.947B,468.50M,33.90M,88.10M,,19.91B,21.62B,,2013-06,393.00M,126.30M,799.50M,409.00M,1.208B,43.10M,117.60M,260.10M,70.70M,448.40M,,448.40M,169.80M,169.80M,192.10M,2.068B,167.10M,7.617B,,7.617B,3.086B,37.20M,3.215B,5.00M,,,216.40M,13.85B,2013-06,3.10M,1.164B,4.646B,48.50M,,,,-62.00M,5.703B,,2013-06,AOR,Restated
2013-03,101.40M,,101.40M,1.070B,71.10M,1.222B,129.30M,257.60M,228.10M,23.10M,,141.70M,2.032B,284.20M,,22.19B,-9.075B,13.12B,3.666B,283.90M,3.950B,451.20M,36.10M,94.10M,,19.60B,21.64B,,2013-03,527.40M,76.00M,936.40M,337.90M,1.274B,41.10M,686.50M,444.70M,89.30M,1.220B,,1.220B,210.00M,210.00M,222.40M,2.974B,165.30M,6.804B,,6.804B,3.004B,,3.092B,6.90M,,,225.00M,12.97B,2013-03,3.10M,1.170B,4.628B,48.10M,,,,-62.30M,5.691B,,2013-03,AOR,Restated
2012-12,36.30M,,36.30M,907.30M,51.30M,1.090B,398.30M,540.70M,357.20M,46.80M,,162.80M,2.368B,298.60M,737.30M,21.94B,-9.025B,12.92B,3.677B,286.60M,3.964B,437.70M,40.70M,94.40M,,19.48B,21.84B,,2012-12,538.90M,146.20M,920.60M,443.40M,1.364B,42.20M,499.60M,277.30M,507.20M,1.284B,,1.284B,312.40M,312.40M,310.50M,3.319B,160.40M,6.753B,66.40M,6.819B,2.978B,0.00,3.062B,2.60M,,,226.20M,12.97B,2012-12,3.10M,1.060B,4.598B,40.50M,,,,-65.50M,5.554B,,2012-12,AOR,Restated
2012-09,12.30M,0.00,12.30M,526.20M,30.90M,613.10M,,573.20M,280.80M,65.10M,,190.60M,1.839B,195.70M,,21.50B,-8.957B,12.54B,3.677B,289.40M,3.967B,411.70M,72.10M,94.50M,0.20M,19.00B,20.84B,,2012-09,300.10M,124.70M,671.10M,315.60M,986.70M,36.80M,,,1.049B,1.049B,,1.049B,294.50M,294.50M,333.90M,2.727B,152.00M,6.820B,,6.820B,2.784B,22.80M,2.893B,32.90M,,,246.20M,12.70B,2012-09,3.10M,925.70M,4.579B,40.50M,,,,-56.80M,5.411B,,2012-09,AOR,Restated
2012-06,52.80M,0.00,52.80M,553.30M,42.70M,596.70M,,430.00M,274.20M,85.00M,,192.90M,1.752B,143.20M,,21.03B,-8.883B,12.15B,3.677B,292.10M,3.969B,368.30M,90.30M,143.10M,0.20M,18.66B,20.41B,,2012-06,292.10M,101.40M,647.30M,336.40M,983.70M,35.60M,,,1.094B,1.094B,,1.094B,211.80M,211.80M,310.10M,2.662B,149.70M,6.807B,,6.807B,2.757B,,2.842B,45.60M,,,242.10M,12.64B,2012-06,2.90M,980.90M,4.221B,40.50M,,,,-59.00M,5.105B,,2012-06,AOR,Restated
2012-03,38.50M,0.00,38.50M,730.30M,76.40M,807.40M,,369.20M,277.40M,149.70M,,186.20M,1.970B,136.80M,,20.71B,-8.806B,11.90B,3.677B,294.90M,3.972B,361.30M,114.70M,150.20M,0.20M,18.48B,20.45B,,2012-03,380.70M,66.30M,749.60M,309.90M,1.060B,37.00M,,,2.015B,2.015B,,2.015B,225.70M,225.70M,354.60M,3.718B,148.40M,5.834B,,5.834B,2.679B,,2.759B,94.90M,,,247.80M,11.65B,2012-03,2.90M,980.00M,4.199B,40.40M,,,,-60.90M,5.080B,,2012-03,AOR,Restated
2011-12,11.50M,,11.50M,850.60M,64.90M,916.40M,478.50M,585.80M,261.80M,160.60M,,169.70M,2.269B,131.40M,,20.43B,-8.652B,11.78B,3.677B,297.60M,3.975B,355.60M,188.70M,130.90M,0.20M,18.44B,20.71B,,2011-12,434.80M,168.20M,823.90M,412.90M,1.237B,43.90M,402.70M,956.70M,327.30M,1.687B,,1.687B,323.30M,323.30M,329.10M,3.646B,146.40M,6.228B,39.60M,6.267B,2.571B,,2.650B,138.90M,,,244.70M,12.06B,2011-12,2.80M,917.00M,4.168B,30.50M,,,,-59.70M,4.997B,,2011-12,AOR,Restated
2011-09,22.20M,0.00,22.20M,512.50M,92.70M,606.40M,,653.00M,119.70M,180.10M,,142.40M,1.860B,125.50M,,20.22B,-8.672B,11.55B,3.677B,300.40M,3.978B,364.50M,191.40M,134.60M,2.30M,17.88B,19.74B,,2011-09,244.40M,178.30M,645.20M,322.20M,967.40M,28.90M,,,1.242B,1.242B,,1.242B,284.80M,284.80M,340.60M,2.887B,140.50M,6.337B,,6.337B,2.460B,0.00,2.539B,136.60M,,,193.10M,11.86B,2011-09,2.80M,922.60M,4.149B,30.40M,,,,-54.40M,4.99B,,2011-09,AOR,Restated
2011-06,59.90M,0.00,59.90M,638.30M,118.20M,757.70M,,434.60M,100.40M,154.60M,,121.90M,1.745B,114.10M,,19.90B,-8.603B,11.30B,3.677B,303.10M,3.980B,348.00M,190.60M,120.70M,2.30M,17.60B,19.35B,,2011-06,316.20M,155.40M,715.70M,344.40M,1.060B,46.00M,,,900.40M,900.40M,,900.40M,188.10M,188.10M,340.20M,2.558B,138.90M,6.34B,,6.34B,2.400B,0.00,2.476B,127.80M,,,157.80M,11.78B,2011-06,2.80M,952.60M,4.133B,30.40M,,,,-54.50M,5.003B,,2011-06,AOR,Restated
2011-03,62.50M,0.00,62.50M,1.063B,65.50M,1.149B,,242.30M,119.70M,164.90M,,112.60M,1.985B,92.80M,,19.67B,-8.528B,11.14B,3.677B,305.90M,3.983B,338.90M,188.30M,140.60M,2.30M,17.49B,19.48B,,2011-03,429.60M,139.40M,877.90M,310.40M,1.188B,68.20M,,,1.299B,1.299B,,1.299B,189.40M,189.40M,327.50M,3.096B,140.10M,5.928B,,5.928B,2.373B,0.00,2.445B,135.50M,,,163.40M,11.37B,2011-03,2.80M,978.30M,4.120B,30.20M,,,,-56.70M,5.014B,,2011-03,AOR,Restated
2010-12,9.20M,0.00,9.20M,1.079B,62.70M,1.241B,,548.70M,120.80M,202.90M,,143.80M,2.426B,94.70M,,19.59B,-8.493B,11.10B,3.677B,308.60M,3.986B,340.60M,240.30M,132.70M,7.90M,17.49B,19.91B,,2010-12,581.80M,266.10M,1.069B,458.10M,1.527B,86.00M,,,1.417B,1.417B,,1.417B,324.90M,324.90M,288.20M,3.666B,138.80M,5.936B,,5.936B,2.227B,0.30M,2.296B,181.60M,,,162.00M,11.35B,2010-12,2.80M,876.10M,4.104B,27.40M,,,,-57.90M,4.898B,,2010-12,AOR,Restated
