,NetIncome,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2013-12,,,,,,,,,-1.212B,-714.00M,101.00M,101.00M,0.00,,1.453B,232.00M,1.278B,382.00M,382.00M,,0.00,0.00,0.00,0.00,0.00,-25.00M,357.00M,717.00M,423.00M,1.14B,,1.256B,-874.00M,0.00,2.00M,282.00M
2013-09,,,,,,,,,17.00M,-596.00M,1.00M,1.00M,0.00,,-440.00M,-72.00M,-1.107B,1.261B,1.261B,,0.00,0.00,0.00,0.00,0.00,-58.00M,1.203B,604.00M,113.00M,717.00M,,2.762B,-1.501B,0.00,4.00M,241.00M
2013-06,,,,,,,,,1.17B,-919.00M,0.00,0.00,0.00,,-1.968B,-10.00M,-2.897B,1.734B,1.734B,,0.00,0.00,,,0.00,-9.00M,1.725B,606.00M,-2.00M,604.00M,,1.891B,-157.00M,0.00,4.00M,65.00M
2013-03,,,,,,,,,700.00M,-885.00M,26.00M,26.00M,0.00,,-226.00M,-3.00M,-1.088B,531.00M,531.00M,,,,,,0.00,-17.00M,514.00M,480.00M,126.00M,606.00M,,925.00M,-394.00M,,2.00M,125.00M
2012-12,,,,,,,,,-282.00M,-735.00M,65.00M,65.00M,,,391.00M,-88.00M,-367.00M,627.00M,627.00M,,,,,,,,621.00M,508.00M,-28.00M,480.00M,,924.00M,-297.00M,,,
2012-09,,,,,,,,,-155.00M,-420.00M,1.00M,1.00M,,,805.00M,10.00M,396.00M,-104.00M,-104.00M,,,,,,,,-104.00M,371.00M,137.00M,508.00M,,285.00M,-389.00M,,,
2012-06,,,,,,,,,655.00M,-495.00M,45.00M,45.00M,,,-164.00M,-1.00M,-615.00M,-44.00M,-44.00M,,,,,,,,-44.00M,375.00M,-4.00M,371.00M,,244.00M,-288.00M,,,
2012-03,,,,,,,,,1.067B,-238.00M,12.00M,12.00M,,,-726.00M,-33.00M,-985.00M,10.00M,10.00M,,,,,,,,10.00M,283.00M,92.00M,375.00M,,324.00M,-314.00M,,,
2011-12,,,,,,,,,397.00M,-372.00M,,4.00M,,,298.00M,,-362.00M,470.00M,470.00M,,,,,,,-526.00M,-56.00M,304.00M,-21.00M,283.00M,,1.488B,-1.018B,,,
2011-09,,,,,,,,,-307.00M,-481.00M,,5.00M,,,849.00M,,368.00M,-276.00M,-276.00M,,,,,,,201.00M,-75.00M,318.00M,-14.00M,304.00M,,67.00M,-343.00M,,,
2011-06,,,,,,,,,-55.00M,-396.00M,,-7.00M,,,653.00M,,257.00M,-308.00M,-308.00M,,,,,,,138.00M,-170.00M,286.00M,32.00M,318.00M,,553.00M,-861.00M,,,
2011-03,,,,,,,,,708.00M,-365.00M,,-6.00M,,,-1.19B,,-1.555B,841.00M,841.00M,,,,,,,124.00M,965.00M,168.00M,118.00M,286.00M,,1.164B,-323.00M,,,
2010-12,,,,,,,,,151.00M,-550.00M,,-8.00M,,,14.00M,,-534.00M,1.243B,1.243B,,,,,,,-895.00M,349.00M,202.00M,-34.00M,168.00M,,1.524B,-281.00M,,,
2010-09,,,,,,,,,-83.00M,-680.00M,,15.00M,,,546.00M,,-122.00M,-219.00M,-219.00M,,,,,,,429.00M,210.00M,197.00M,5.00M,202.00M,,187.00M,-406.00M,,,
2010-06,,,,,,,,,717.00M,-415.00M,,314.00M,,,-531.00M,,-946.00M,-74.00M,-74.00M,-1.00M,,-1.00M,,,,312.00M,237.00M,189.00M,8.00M,197.00M,-1.00M,102.00M,-176.00M,,,
2010-03,,,,,,,,,456.00M,-317.00M,,-317.00M,,,-111.00M,,-428.00M,-154.00M,-154.00M,1.00M,,1.00M,,,,161.00M,8.00M,153.00M,36.00M,189.00M,1.00M,137.00M,-291.00M,,,
2009-12,,,,,,,,,4.00M,-418.00M,63.00M,-1.458B,,,-306.00M,1.00M,-660.00M,73.00M,73.00M,30.00M,,30.00M,,,1.00M,534.00M,638.00M,171.00M,-18.00M,153.00M,30.00M,641.00M,-568.00M,,,
2009-09,,,,,,,,,-12.00M,-501.00M,8.00M,8.00M,,,-1.323B,5.00M,-1.811B,1.188B,1.188B,382.00M,,382.00M,,,,233.00M,1.803B,191.00M,-20.00M,171.00M,382.00M,1.879B,-691.00M,,,
2009-06,,,,,,,,,479.00M,-433.00M,2.00M,2.00M,,,62.00M,2.00M,-367.00M,-108.00M,-108.00M,,,,,,,0.00,-108.00M,187.00M,4.00M,191.00M,,296.00M,-404.00M,,,
2009-03,,,,,,,,,459.00M,-169.00M,3.00M,3.00M,,,236.00M,45.00M,115.00M,-579.00M,-579.00M,,,,,,0.00,1.00M,-578.00M,191.00M,-4.00M,187.00M,,174.00M,-753.00M,,,
2008-12,,,,,,,,,-1.364B,-189.00M,462.00M,-414.00M,,-442.00M,1.429B,3.00M,1.263B,-183.00M,-183.00M,0.00,,0.00,,,0.00,202.00M,19.00M,273.00M,-82.00M,191.00M,0.00,2.00M,-185.00M,,,
2008-09,,,,,,,,,-1.184B,-214.00M,9.00M,9.00M,,442.00M,412.00M,0.00,649.00M,74.00M,74.00M,294.00M,,294.00M,,,1.00M,152.00M,521.00M,287.00M,-14.00M,273.00M,294.00M,602.00M,-528.00M,,,
2008-06,,,,,,,,,705.00M,-256.00M,7.00M,7.00M,,,-474.00M,7.00M,-716.00M,96.00M,96.00M,,,,,,,-1.00M,95.00M,203.00M,84.00M,287.00M,,221.00M,-125.00M,,,
2008-03,,,,,,,,,449.00M,-217.00M,2.00M,2.00M,,,73.00M,1.00M,-141.00M,-254.00M,-254.00M,,,,,,,1.00M,-253.00M,148.00M,55.00M,203.00M,,,-254.00M,,,
2007-12,,,,,,,,,-10.00M,-199.00M,201.00M,-513.00M,,,861.00M,-2.00M,861.00M,-865.00M,-865.00M,0.00,,0.00,,,2.00M,-2.00M,-865.00M,161.00M,-14.00M,148.00M,0.00,0.00,-865.00M,,,
2007-09,,,,,,,,,202.00M,-151.00M,4.00M,4.00M,,0.00,-614.00M,1.095B,334.00M,-594.00M,-594.00M,0.00,,0.00,,,2.00M,2.00M,-590.00M,215.00M,-54.00M,161.00M,0.00,0.00,-594.00M,,,
2007-06,,,,,,,,,841.00M,-182.00M,10.00M,10.00M,,,644.00M,-1.083B,-611.00M,-216.00M,-216.00M,0.00,,0.00,,,39.00M,17.00M,-160.00M,145.00M,70.00M,215.00M,0.00,0.00,-216.00M,,,
2007-03,,,,,,,,,902.00M,-182.00M,13.00M,13.00M,,,-644.00M,-5.00M,-818.00M,-646.00M,-646.00M,497.00M,,497.00M,,,47.00M,42.00M,-60.00M,121.00M,24.00M,145.00M,497.00M,,-646.00M,,,
2006-12,,,,,,,,,210.00M,-182.00M,38.00M,-492.00M,,,388.00M,-46.00M,198.00M,-535.00M,-535.00M,-134.00M,,-134.00M,,,,38.00M,-401.00M,114.00M,7.00M,121.00M,-134.00M,,-535.00M,,,
2006-09,,,,,,,,,118.00M,-103.00M,-1.00M,-1.00M,,,46.00M,62.00M,4.00M,-220.00M,-220.00M,13.00M,,13.00M,,,,32.00M,-175.00M,167.00M,-53.00M,114.00M,13.00M,,-220.00M,,,
2006-06,,,,,,,,,822.00M,-141.00M,6.00M,6.00M,,,-862.00M,-24.00M,-1.021B,-247.00M,-247.00M,442.00M,,442.00M,,,,27.00M,222.00M,144.00M,23.00M,167.00M,442.00M,,-247.00M,,,
2006-03,,,,,,,,,789.00M,-104.00M,6.00M,6.00M,,,-448.00M,,-546.00M,-364.00M,-364.00M,79.00M,,79.00M,,,,48.00M,-237.00M,138.00M,6.00M,144.00M,79.00M,,-364.00M,,,
2005-12,-600.00M,,,2.032B,-707.00M,,-1.289B,-629.00M,-8.00M,-95.00M,110.00M,15.00M,,,-391.00M,-105.00M,-481.00M,305.00M,305.00M,260.00M,,260.00M,,,,-65.00M,500.00M,127.00M,11.00M,138.00M,260.00M,555.00M,-250.00M,,,
2005-09,-153.00M,,,-292.00M,292.00M,,121.00M,121.00M,-32.00M,-102.00M,109.00M,7.00M,,,-52.00M,-109.00M,-154.00M,-58.00M,-58.00M,7.00M,,7.00M,,,,198.00M,147.00M,166.00M,-39.00M,127.00M,7.00M,410.00M,-468.00M,,,
2005-06,58.00M,,,-286.00M,286.00M,,541.00M,541.00M,599.00M,-242.00M,257.00M,15.00M,,,-321.00M,-253.00M,-559.00M,-33.00M,-33.00M,11.00M,,11.00M,,,,,-22.00M,148.00M,18.00M,166.00M,11.00M,145.00M,-178.00M,,,
2005-03,-162.00M,,,-290.00M,290.00M,,627.00M,627.00M,465.00M,-242.00M,245.00M,3.00M,,,-103.00M,-245.00M,-345.00M,-93.00M,-93.00M,1.00M,,1.00M,,,,,-92.00M,120.00M,28.00M,148.00M,1.00M,142.00M,-235.00M,,,
2004-12,-761.00M,,,1.292B,10.00M,,,301.00M,-86.00M,-254.00M,206.00M,-821.00M,,,209.00M,3.00M,164.00M,-76.00M,-76.00M,1.00M,,1.00M,,,,,-75.00M,117.00M,3.00M,120.00M,1.00M,1.002B,-1.078B,,,
2004-09,160.00M,,,646.00M,-646.00M,,-893.00M,-893.00M,70.00M,-259.00M,-495.00M,19.00M,,,150.00M,520.00M,-84.00M,-66.00M,-66.00M,1.00M,,1.00M,,,,,-65.00M,196.00M,-79.00M,117.00M,1.00M,139.00M,-205.00M,,,
2004-06,-160.00M,,,-646.00M,646.00M,,893.00M,893.00M,362.00M,-301.00M,536.00M,22.00M,,,-94.00M,-500.00M,-359.00M,38.00M,38.00M,3.00M,,3.00M,,,,,41.00M,152.00M,44.00M,196.00M,3.00M,209.00M,-171.00M,,,
2004-03,,,,,,,,,371.00M,-213.00M,18.00M,18.00M,,,-588.00M,14.00M,-769.00M,428.00M,428.00M,2.00M,,2.00M,,,,,430.00M,120.00M,32.00M,152.00M,2.00M,627.00M,-199.00M,,,
2003-12,-111.00M,,,2.404B,-1.067B,,-1.465B,-733.00M,8.00M,-212.00M,557.00M,345.00M,,,80.00M,-377.00M,48.00M,-95.00M,-95.00M,1.00M,,1.00M,,,,,-94.00M,158.00M,-38.00M,120.00M,1.00M,90.00M,-185.00M,,,
2003-09,-1.117B,,,-1.027B,1.027B,,1.71B,1.71B,425.00M,-140.00M,482.00M,14.00M,,,-896.00M,-461.00M,-1.015B,591.00M,591.00M,0.00,,0.00,,,,,591.00M,157.00M,1.00M,158.00M,0.00,733.00M,-142.00M,,,
2003-06,,,,,,,,,705.00M,-99.00M,7.00M,7.00M,,,-555.00M,182.00M,-465.00M,-190.00M,-190.00M,0.00,,0.00,,,,-50.00M,-240.00M,157.00M,0.00,157.00M,0.00,122.00M,-312.00M,,,
2003-03,,,,,,,,,-537.00M,-229.00M,29.00M,29.00M,,,731.00M,256.00M,787.00M,-247.00M,-247.00M,,,,,,,50.00M,-197.00M,104.00M,53.00M,157.00M,,,-247.00M,,,
2002-12,-529.00M,,,-347.00M,1.786B,,-2.51B,-2.526B,-639.00M,-344.00M,-1.51B,-1.854B,,,127.00M,1.604B,-123.00M,670.00M,670.00M,0.00,,0.00,,,,,761.00M,123.00M,-1.00M,104.00M,0.00,793.00M,-123.00M,,,
2002-09,-1.912B,,,-340.00M,-816.00M,,2.51B,2.51B,-558.00M,-424.00M,1.568B,1.144B,,0.00,-339.00M,-1.663B,-858.00M,1.344B,1.344B,0.00,,0.00,,,,,1.344B,195.00M,-72.00M,123.00M,0.00,1.44B,-96.00M,,,
2002-06,-495.00M,,,-338.00M,1.494B,,-128.00M,-128.00M,533.00M,-494.00M,149.00M,-345.00M,,,-236.00M,35.00M,-546.00M,65.00M,65.00M,1.00M,,1.00M,,,,,66.00M,124.00M,53.00M,195.00M,1.00M,274.00M,-209.00M,,,
2002-03,-575.00M,,,-341.00M,341.00M,,128.00M,128.00M,-447.00M,-619.00M,13.00M,-606.00M,,,740.00M,,134.00M,333.00M,333.00M,2.00M,,2.00M,,,,,335.00M,102.00M,22.00M,124.00M,2.00M,592.00M,-259.00M,,,
2001-12,-798.00M,1.122B,1.404B,2.437B,-965.00M,,-2.105B,-1.921B,-764.00M,-581.00M,656.00M,75.00M,,0.00,-141.00M,-1.116B,-1.182B,1.768B,1.768B,0.00,,0.00,,,,211.00M,1.979B,69.00M,33.00M,102.00M,0.00,1.974B,-206.00M,,,
2001-09,-414.00M,665.00M,665.00M,-368.00M,-1.067B,,2.27B,2.27B,421.00M,-935.00M,3.179B,2.244B,,0.00,-1.023B,-3.035B,-1.814B,1.053B,1.053B,3.00M,,3.00M,,,,141.00M,1.197B,265.00M,-196.00M,69.00M,3.00M,1.183B,-130.00M,,,
2001-06,-507.00M,-352.00M,-352.00M,-352.00M,1.474B,,251.00M,251.00M,866.00M,-1.277B,79.00M,-1.198B,,-742.00M,164.00M,306.00M,-1.47B,688.00M,688.00M,9.00M,,9.00M,,,,,697.00M,172.00M,93.00M,265.00M,9.00M,983.00M,-295.00M,,,
2001-03,-43.00M,-313.00M,-313.00M,-313.00M,626.00M,,-251.00M,-251.00M,19.00M,-847.00M,127.00M,-720.00M,,,758.00M,-312.00M,-274.00M,313.00M,313.00M,25.00M,,25.00M,,,,,338.00M,89.00M,83.00M,172.00M,25.00M,604.00M,-291.00M,,,
2000-12,61.00M,1.817B,2.091B,2.091B,-1.777B,,-1.068B,-331.00M,410.00M,-886.00M,3.771B,2.885B,,41.00M,19.00M,-3.822B,-877.00M,347.00M,347.00M,38.00M,0.00,38.00M,,,,,385.00M,171.00M,-82.00M,89.00M,38.00M,485.00M,-138.00M,0.00,,
2000-09,322.00M,-307.00M,-307.00M,-307.00M,614.00M,,294.00M,294.00M,923.00M,-875.00M,-1.837B,-2.712B,,0.00,12.00M,2.011B,-689.00M,-199.00M,-199.00M,8.00M,,8.00M,,,,,-191.00M,128.00M,43.00M,171.00M,8.00M,65.00M,-264.00M,,,
2000-06,321.00M,-294.00M,-294.00M,-294.00M,588.00M,,673.00M,673.00M,1.288B,-1.136B,1.996B,860.00M,,-41.00M,-282.00M,-1.917B,-1.38B,131.00M,131.00M,13.00M,0.00,13.00M,,,,,144.00M,76.00M,52.00M,128.00M,13.00M,189.00M,-58.00M,0.00,-28.00M,-77.00M
2000-03,132.00M,-288.00M,-288.00M,-288.00M,576.00M,,101.00M,101.00M,521.00M,-781.00M,80.00M,-701.00M,,,-187.00M,559.00M,-329.00M,-209.00M,-209.00M,8.00M,,8.00M,,,,,-201.00M,85.00M,-9.00M,76.00M,8.00M,97.00M,-306.00M,,28.00M,77.00M
1999-12,280.00M,1.661B,1.889B,1.889B,-1.398B,,-349.00M,-97.00M,418.00M,-788.00M,3.304B,2.516B,,259.00M,-154.00M,-3.57B,-949.00M,223.00M,223.00M,7.00M,0.00,7.00M,,,,300.00M,530.00M,86.00M,-1.00M,85.00M,7.00M,289.00M,-66.00M,0.00,-43.00M,40.00M
1999-09,279.00M,-276.00M,-276.00M,-276.00M,552.00M,,175.00M,175.00M,730.00M,-774.00M,15.00M,-759.00M,,0.00,-288.00M,0.00,-1.047B,541.00M,541.00M,3.00M,-207.00M,-204.00M,,,,0.00,337.00M,66.00M,20.00M,86.00M,3.00M,597.00M,-56.00M,-207.00M,10.00M,76.00M
1999-06,268.00M,-268.00M,-268.00M,-268.00M,536.00M,,428.00M,428.00M,964.00M,-1.012B,22.00M,-990.00M,,-44.00M,-340.00M,18.00M,-1.356B,649.00M,649.00M,11.00M,-259.00M,-248.00M,,,,0.00,401.00M,57.00M,9.00M,66.00M,11.00M,687.00M,-38.00M,-259.00M,94.00M,49.00M
1999-03,158.00M,-253.00M,-253.00M,-253.00M,506.00M,,-259.00M,-259.00M,152.00M,-965.00M,277.00M,-688.00M,,-55.00M,614.00M,31.00M,-98.00M,263.00M,263.00M,4.00M,-405.00M,-401.00M,,,,54.00M,-84.00M,87.00M,-30.00M,57.00M,4.00M,383.00M,-120.00M,-405.00M,10.00M,72.00M
1998-12,-18.00M,1.796B,2.006B,2.006B,-1.581B,,-473.00M,-230.00M,226.00M,-392.00M,2.38B,1.988B,,3.00M,158.00M,,-193.00M,-117.00M,-117.00M,5.00M,-56.00M,-51.00M,,,,162.00M,-6.00M,72.00M,27.00M,87.00M,5.00M,81.00M,-198.00M,-56.00M,-27.00M,51.00M
1998-09,433.00M,-328.00M,-328.00M,-328.00M,656.00M,,513.00M,513.00M,1.274B,-726.00M,28.00M,-698.00M,,0.00,-56.00M,,-754.00M,-140.00M,-140.00M,5.00M,-523.00M,-518.00M,,,,108.00M,-550.00M,102.00M,-30.00M,72.00M,5.00M,71.00M,-211.00M,-523.00M,162.00M,67.00M
1998-06,409.00M,-320.00M,-320.00M,-320.00M,640.00M,,68.00M,68.00M,797.00M,-719.00M,106.00M,-613.00M,,-1.00M,-67.00M,,-681.00M,49.00M,49.00M,17.00M,-202.00M,-185.00M,,,,,-136.00M,124.00M,-20.00M,102.00M,17.00M,94.00M,-45.00M,-202.00M,246.00M,63.00M
