,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-03,5.533B,5.533B,2.659B,2.874B,256.00M,1.843B,2.099B,,512.00M,-18.00M,193.00M,7.00M,-186.00M,731.00M,3.106B,-232.00M,7.00M,193.00M,-186.00M,-18.00M,-186.00M,-436.00M,0.00,-436.00M,,,,,-436.00M,-418.00M,33.00M,276.00M,-243.00M,-3.5069999999999997,0.0,,,-3.363,-3.5069999999999997,-3.5069999999999997,0.0,,,-3.363,-3.5069999999999997,124.38M,124.38M,
2010-12,3.175B,5.586B,10.91B,-5.321B,,,,,,35.00M,195.00M,7.00M,-188.00M,1.671B,-5.389B,68.00M,7.00M,195.00M,-188.00M,-13.00M,-188.00M,-133.00M,-35.00M,-98.00M,,,,,-98.00M,-123.79M,62.00M,,62.00M,-0.7764,,,,-0.9838,-0.7764,-0.7764,,,,-0.9838,-0.7764,124.38M,124.38M,
2010-09,5.842B,5.842B,2.45B,3.392B,256.00M,1.861B,2.117B,,503.00M,-10.00M,197.00M,8.00M,-189.00M,659.00M,3.05B,342.00M,8.00M,197.00M,-189.00M,-10.00M,-189.00M,143.00M,0.00,143.00M,,,,,143.00M,153.00M,614.00M,274.00M,340.00M,1.151,0.0,,,1.232,1.151,1.044,0.0,,,1.113,1.044,124.38M,145.29M,
2010-06,5.674B,5.674B,2.492B,3.182B,248.00M,1.835B,2.083B,,497.00M,-12.00M,201.00M,6.00M,-195.00M,636.00M,2.986B,196.00M,6.00M,201.00M,-195.00M,-12.00M,-195.00M,-11.00M,0.00,-11.00M,,,,,-11.00M,1.00M,457.00M,267.00M,190.00M,-0.0803,0.0,,,0.0162,-0.0803,-0.0803,0.0,,,0.0162,-0.0803,124.38M,124.38M,
2010-03,5.068B,5.068B,2.308B,2.76B,234.00M,1.818B,2.052B,,481.00M,-13.00M,199.00M,5.00M,-194.00M,739.00M,3.058B,-298.00M,5.00M,199.00M,-194.00M,-13.00M,-194.00M,-505.00M,0.00,-505.00M,,,,,-505.00M,-492.00M,-39.00M,267.00M,-306.00M,-4.07,0.0,,,-3.965,-4.07,-4.07,0.0,,,-3.965,-4.07,124.38M,124.38M,
2009-12,5.062B,5.062B,1.446B,3.616B,207.00M,1.72B,1.927B,,476.00M,-88.00M,240.00M,49.00M,-191.00M,778.00M,2.983B,633.00M,49.00M,240.00M,-191.00M,-88.00M,-191.00M,-598.00M,-254.00M,-344.00M,,,,,-344.00M,-286.80M,-80.00M,278.00M,-358.00M,-2.6510000000000002,0.0,,,-2.191,-2.6510000000000002,-2.6510000000000002,0.0,,,-2.191,-2.6510000000000002,124.38M,124.38M,
2009-09,5.127B,5.127B,1.44B,3.687B,222.00M,1.701B,1.923B,,470.00M,-95.00M,171.00M,7.00M,-164.00M,682.00M,2.877B,810.00M,7.00M,171.00M,-164.00M,-95.00M,-164.00M,-389.00M,-30.00M,-359.00M,,,,,-359.00M,-271.33M,54.00M,272.00M,-218.00M,-3.373,0.0,,,-2.55,-3.373,-3.373,0.0,,,-2.55,-3.373,106.45M,106.45M,
2009-06,4.889B,4.889B,1.307B,3.582B,207.00M,1.698B,1.905B,,464.00M,-39.00M,167.00M,19.00M,-148.00M,670.00M,2.857B,725.00M,19.00M,167.00M,-148.00M,-39.00M,-148.00M,-390.00M,0.00,-390.00M,,,,,-390.00M,-351.00M,59.00M,282.00M,-223.00M,-3.722,0.0,,,-3.3489999999999998,-3.722,-3.722,0.0,,,-3.3489999999999998,-3.722,104.58M,104.58M,
2009-03,4.839B,4.839B,1.269B,3.57B,217.00M,1.688B,1.905B,,448.00M,-29.00M,176.00M,11.00M,-165.00M,678.00M,2.855B,715.00M,11.00M,176.00M,-165.00M,-29.00M,-165.00M,-375.00M,0.00,-375.00M,,,,,-375.00M,-346.00M,73.00M,272.00M,-199.00M,-3.614,0.0,,,-3.3360000000000003,-3.614,-3.614,0.0,,,-3.3360000000000003,-3.614,104.21M,104.21M,
2008-12,5.469B,5.469B,1.803B,3.666B,217.00M,1.72B,1.937B,,433.00M,-32.00M,161.00M,20.00M,-141.00M,752.00M,2.974B,692.00M,20.00M,161.00M,-141.00M,-32.00M,-141.00M,-347.00M,0.00,-347.00M,,,,,-347.00M,-315.00M,99.00M,285.00M,-186.00M,-3.1060000000000003,0.0,,,-2.7960000000000003,-3.1060000000000003,-3.1060000000000003,0.0,,,-2.7960000000000003,-3.1060000000000003,103.46M,103.46M,
2008-09,6.421B,6.421B,2.695B,3.726B,264.00M,1.633B,1.897B,,466.00M,377.00M,204.00M,47.00M,-157.00M,797.00M,2.983B,743.00M,47.00M,204.00M,-157.00M,377.00M,-157.00M,31.00M,0.00,31.00M,,,,,31.00M,-346.00M,524.00M,289.00M,235.00M,0.3213,0.0,,,-3.591,0.3213,0.3213,0.0,,,-3.445,0.3213,96.36M,100.10M,
2008-06,6.179B,6.179B,2.436B,3.743B,259.00M,1.658B,1.917B,,443.00M,-1.192B,199.00M,56.00M,-143.00M,742.00M,2.983B,760.00M,56.00M,199.00M,-143.00M,-1.192B,-143.00M,-1.461B,0.00,-1.461B,,,,,-1.461B,-269.00M,-938.00M,324.00M,-1.262B,-15.61,0.0,,,-2.8939999999999997,-15.61,-15.61,0.0,,,-2.8939999999999997,-15.61,93.75M,93.75M,
2008-03,5.697B,5.697B,2.044B,3.653B,257.00M,1.644B,1.901B,,448.00M,-5.00M,207.00M,58.00M,-149.00M,734.00M,2.944B,709.00M,58.00M,207.00M,-149.00M,-5.00M,-149.00M,-341.00M,0.00,-341.00M,,,,,-341.00M,-336.00M,175.00M,309.00M,-134.00M,-3.668,0.0,,,-3.614,-3.668,-3.668,0.0,,,-3.614,-3.668,93.00M,93.00M,
2007-12,5.683B,5.683B,1.827B,3.856B,241.00M,1.723B,1.964B,,448.00M,65.00M,208.00M,80.00M,-128.00M,692.00M,2.966B,890.00M,80.00M,208.00M,-128.00M,65.00M,-128.00M,-69.00M,0.00,-69.00M,,,,,-69.00M,-134.00M,449.00M,310.00M,139.00M,-0.7764,0.0,,,-1.4780000000000002,-0.7764,-0.7764,0.0,,,-1.364,-0.7764,92.63M,110.56M,
2007-09,5.946B,5.946B,1.68B,4.266B,270.00M,1.721B,1.991B,,476.00M,-10.00M,224.00M,90.00M,-134.00M,697.00M,2.995B,1.271B,90.00M,224.00M,-134.00M,-10.00M,-134.00M,175.00M,0.00,175.00M,,,,,175.00M,185.00M,706.00M,307.00M,399.00M,1.874,0.0,,,1.982,1.874,1.633,0.0,,,1.722,1.633,93.00M,112.05M,
2007-06,5.879B,5.879B,1.58B,4.299B,268.00M,1.655B,1.923B,,465.00M,-10.00M,235.00M,95.00M,-140.00M,684.00M,2.902B,1.397B,95.00M,235.00M,-140.00M,-10.00M,-140.00M,317.00M,0.00,317.00M,,,,,317.00M,327.00M,847.00M,295.00M,552.00M,3.427,0.0,,,3.536,3.427,2.892,0.0,,,2.9810000000000003,2.892,91.88M,111.68M,
2007-03,5.427B,5.427B,1.305B,4.122B,249.00M,1.671B,1.92B,,480.00M,-12.00M,241.00M,86.00M,-155.00M,704.00M,2.914B,1.208B,86.00M,241.00M,-155.00M,-12.00M,-155.00M,81.00M,0.00,81.00M,,,,,81.00M,93.00M,612.00M,290.00M,322.00M,0.9371,0.0,,,1.073,0.9371,0.8032,0.0,,,0.911,0.8032,88.15M,111.30M,
2006-12,5.397B,5.397B,,,,,2.786B,,,-25.00M,,,,-7.633B,-4.558B,3.963B,,,,-25.00M,,17.00M,0.00,17.00M,,,,,17.00M,42.00M,675.00M,289.00M,386.00M,0.1606,0.0,,,0.4649,0.1606,0.1606,0.0,,,0.3516,0.1606,82.17M,130.91M,
2006-09,5.847B,5.847B,,,,,1.694B,,,-90.00M,,,,3.579B,5.563B,284.00M,,,,-90.00M,,15.00M,0.00,15.00M,,,,,15.00M,105.00M,574.00M,290.00M,284.00M,0.1874,0.0,,,1.3119999999999998,0.1874,0.1606,0.0,,,1.124,0.1606,80.04M,93.38M,
2006-06,5.975B,5.975B,,,,,1.68B,,,7.00M,,,,3.528B,5.499B,476.00M,,,,7.00M,,291.00M,0.00,291.00M,,,,,291.00M,284.00M,767.00M,291.00M,476.00M,3.855,0.0,,,3.763,3.855,3.052,0.0,,,2.9789999999999996,3.052,75.48M,95.34M,
2006-03,5.344B,5.344B,,,,,1.729B,,,1.00M,,,,3.213B,5.229B,115.00M,,,,1.00M,,-92.00M,0.00,-92.00M,,,,,-92.00M,-93.00M,402.00M,287.00M,115.00M,-1.3119999999999998,0.0,,,-1.3259999999999998,-1.3119999999999998,-1.3119999999999998,0.0,,,-1.3259999999999998,-1.3119999999999998,70.13M,70.13M,
2005-12,5.168B,5.168B,3.666B,1.502B,-264.00M,2.494B,2.23B,296.00M,-454.00M,-5.00M,,,,3.476B,6.002B,-4.50B,,,,-5.00M,,-600.00M,0.00,-600.00M,,,,,-600.00M,-595.00M,-2.468B,2.032B,-4.50B,-9.639,0.0,,,-9.562000000000001,-9.639,-9.639,0.0,,,-9.562000000000001,-9.639,64.91M,64.91M,
2005-09,5.485B,5.485B,,,,,1.664B,292.00M,,8.00M,,,,3.49B,5.446B,39.00M,,,,8.00M,,-153.00M,0.00,-153.00M,,,,,-153.00M,-161.00M,331.00M,-292.00M,39.00M,-2.49,0.0,,,-2.62,-2.49,-2.49,0.0,,,-2.62,-2.49,61.45M,61.45M,
2005-06,5.309B,5.309B,,,,,1.671B,286.00M,,23.00M,,,,3.123B,5.08B,229.00M,,,,23.00M,,58.00M,0.00,58.00M,,,,,58.00M,35.00M,515.00M,-286.00M,229.00M,0.9371,0.0,,,0.5655,0.9371,0.8032,0.0,,,0.4847,0.8032,61.89M,72.21M,
2005-03,4.75B,4.75B,2.97B,1.78B,-271.00M,2.363B,2.092B,290.00M,-448.00M,14.00M,,,,2.793B,5.175B,-3.395B,,,,14.00M,,-162.00M,0.00,-162.00M,,,,,-162.00M,-176.00M,-3.105B,-290.00M,-3.395B,-2.677,0.0,,,-2.909,-2.677,-2.677,0.0,,,-2.909,-2.677,60.51M,60.51M,
2004-12,4.541B,4.541B,,,,,3.476B,,,161.00M,,,,2.876B,6.681B,-13.60B,,,,161.00M,,-387.00M,0.00,-387.00M,,,,,-387.00M,-548.00M,-13.27B,329.00M,-13.60B,-6.452000000000001,0.0,,,-9.136000000000001,-6.452000000000001,-6.452000000000001,0.0,,,-9.136000000000001,-6.452000000000001,60.00M,60.00M,
2004-09,4.762B,4.762B,,,,,1.696B,,,13.00M,,,,2.776B,4.789B,-27.00M,,,,13.00M,,-214.00M,0.00,-214.00M,,,,,-214.00M,-227.00M,290.00M,317.00M,-27.00M,-3.5610000000000004,0.0,,,-3.7769999999999997,-3.5610000000000004,-3.5610000000000004,0.0,,,-3.7769999999999997,-3.5610000000000004,60.10M,60.10M,
