,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2007-06,215.00M,215.00M,5.685B,5.90B,,1.219B,532.00M,,,,937.00M,8.588B,,,,,29.91B,-12.21B,17.70B,,1.17B,1.17B,,2.952B,21.82B,30.41B,1.359B,1.359B,2.109B,3.468B,1.195B,1.195B,123.00M,1.318B,,,4.607B,9.393B,10.51B,731.00M,11.24B,,,,5.343B,5.343B,-1.521B,20.41B,29.80B,254.00M,-1.496B,3.438B,367.00M,,-1.219B,610.00M
2007-03,145.00M,145.00M,5.238B,5.383B,,1.124B,503.00M,,,,823.00M,7.833B,,,,,30.03B,-12.21B,17.82B,,1.16B,1.16B,,3.069B,22.05B,29.88B,1.212B,1.212B,2.136B,3.348B,1.165B,1.165B,124.00M,1.289B,,,4.321B,8.958B,10.72B,751.00M,11.47B,,,,5.366B,5.366B,-1.503B,20.70B,29.66B,246.00M,-1.813B,3.378B,366.00M,,-1.219B,226.00M
2006-12,121.00M,121.00M,4.594B,4.715B,,988.00M,506.00M,,468.00M,,225.00M,6.902B,,,,,30.15B,-12.21B,17.94B,,1.167B,1.167B,,3.135B,22.24B,29.14B,1.073B,1.073B,2.301B,3.374B,1.246B,1.246B,103.00M,1.349B,,,3.782B,8.505B,11.22B,824.00M,12.04B,,372.00M,372.00M,,5.341B,3.492B,21.25B,29.75B,228.00M,-1.894B,2.718B,367.00M,,-1.291B,-606.00M
2006-09,114.00M,114.00M,4.94B,5.054B,,1.16B,506.00M,,,,753.00M,7.473B,,,,,28.44B,-10.40B,18.04B,,1.174B,1.174B,,3.441B,22.66B,30.13B,1.087B,1.087B,2.015B,3.102B,1.40B,1.40B,106.00M,1.506B,,,4.067B,8.675B,11.57B,836.00M,12.41B,,,,5.46B,,4.10B,21.97B,30.64B,220.00M,-1.959B,2.585B,367.00M,,-993.00M,-514.00M
2006-06,167.00M,167.00M,4.986B,5.153B,,1.121B,510.00M,,,,1.056B,7.84B,,,,,28.62B,-10.40B,18.22B,,1.181B,1.181B,,3.513B,22.91B,30.75B,1.263B,1.263B,2.377B,3.64B,1.042B,1.042B,110.00M,1.152B,,,4.44B,9.232B,12.11B,862.00M,12.97B,,,,4.956B,,4.104B,22.03B,31.26B,218.00M,-1.974B,2.562B,367.00M,,-947.00M,-508.00M
2006-03,144.00M,144.00M,4.124B,4.268B,,1.073B,494.00M,,,,985.00M,6.82B,,,,,18.36B,,18.36B,,1.188B,1.188B,,3.548B,23.10B,29.92B,1.16B,1.16B,2.21B,3.37B,1.049B,1.049B,136.00M,1.185B,,,4.189B,8.744B,12.29B,873.00M,13.16B,,,,5.126B,,4.155B,22.45B,31.19B,195.00M,-2.265B,2.14B,384.00M,,-958.00M,-1.272B
2005-12,138.00M,138.00M,3.676B,3.814B,,991.00M,515.00M,,,,844.00M,6.164B,,,,,32.13B,-11.46B,20.67B,,1.194B,1.194B,,1.469B,23.33B,29.50B,1.078B,1.078B,2.34B,3.418B,1.077B,1.077B,162.00M,1.239B,,,3.615B,8.272B,12.53B,926.00M,13.46B,,421.00M,421.00M,4.998B,4.998B,-1.22B,22.65B,30.92B,195.00M,-2.125B,2.258B,779.00M,,-979.00M,-1.43B
2005-09,127.00M,127.00M,3.285B,3.412B,,1.111B,540.00M,,,,924.00M,5.987B,,,,,23.88B,-4.971B,18.91B,,1.202B,1.202B,,3.336B,23.45B,29.44B,1.101B,1.101B,1.957B,3.058B,790.00M,790.00M,170.00M,960.00M,,,3.851B,7.869B,12.29B,939.00M,13.23B,,,,4.799B,,4.266B,22.30B,30.16B,182.00M,-1.569B,2.314B,1.081B,,-575.00M,-729.00M
2005-06,166.00M,166.00M,3.233B,3.399B,,1.052B,488.00M,,,,850.00M,5.789B,,,,,24.07B,-4.971B,19.10B,,1.209B,1.209B,,3.40B,23.70B,29.49B,1.202B,1.202B,1.90B,3.102B,738.00M,738.00M,172.00M,910.00M,,,4.007B,8.019B,12.36B,965.00M,13.32B,,,,4.754B,,4.014B,22.09B,30.11B,182.00M,-1.416B,2.38B,1.154B,,-607.00M,-615.00M
2005-03,148.00M,148.00M,2.912B,3.06B,,1.033B,489.00M,,,,838.00M,5.42B,,,,,24.09B,-4.971B,19.12B,,1.216B,1.216B,,3.415B,23.75B,29.17B,1.131B,1.131B,2.034B,3.165B,709.00M,709.00M,170.00M,879.00M,,,3.687B,7.731B,12.37B,1.009B,13.38B,,,,4.713B,,4.045B,22.13B,29.86B,182.00M,-1.474B,2.509B,1.295B,,-619.00M,-697.00M
2004-12,120.00M,120.00M,2.809B,2.929B,,836.00M,488.00M,,,,718.00M,4.971B,,,,,29.71B,-10.57B,19.14B,,1.223B,1.223B,,3.442B,23.80B,28.77B,1.003B,1.003B,2.026B,3.029B,659.00M,659.00M,147.00M,806.00M,,,3.183B,7.018B,12.44B,1.088B,13.52B,,470.00M,470.00M,4.743B,,3.599B,22.34B,29.35B,182.00M,-1.312B,2.521B,1.308B,,-664.00M,-581.00M
2004-09,117.00M,117.00M,3.018B,3.135B,,903.00M,519.00M,,,,743.00M,5.30B,,,,,29.55B,-10.30B,19.25B,,1.231B,1.231B,,3.476B,23.96B,29.26B,1.043B,1.043B,2.029B,3.072B,647.00M,647.00M,148.00M,795.00M,,,3.257B,7.124B,12.49B,1.10B,13.59B,,,,4.733B,4.733B,-603.00M,22.45B,29.58B,182.00M,-925.00M,2.536B,1.325B,,-782.00M,-314.00M
2004-06,196.00M,196.00M,3.168B,3.364B,,919.00M,505.00M,,,,725.00M,5.513B,,,,,29.33B,-10.00B,19.33B,,1.238B,1.238B,,3.918B,24.49B,30.00B,1.133B,1.133B,1.977B,3.11B,626.00M,626.00M,185.00M,811.00M,,,3.376B,7.297B,12.49B,1.135B,13.63B,,,,4.604B,,4.596B,22.83B,30.12B,182.00M,-711.00M,2.545B,1.336B,,-802.00M,-122.00M
2004-03,152.00M,152.00M,3.074B,3.226B,,965.00M,490.00M,,,,725.00M,5.406B,,,,,29.15B,-9.80B,19.35B,,1.245B,1.245B,,3.946B,24.54B,29.95B,1.022B,1.022B,2.072B,3.094B,619.00M,619.00M,196.00M,815.00M,,,3.201B,7.11B,12.40B,1.174B,13.58B,,,,4.72B,,4.678B,22.98B,30.08B,182.00M,-717.00M,2.597B,1.395B,,-802.00M,-135.00M
2003-12,120.00M,120.00M,2.486B,2.606B,,796.00M,516.00M,,,,764.00M,4.682B,,,,,29.00B,-9.543B,19.46B,,1.253B,1.253B,,3.935B,24.65B,29.33B,967.00M,967.00M,1.989B,2.956B,603.00M,603.00M,201.00M,804.00M,,,2.799B,6.559B,11.90B,1.225B,13.13B,,520.00M,520.00M,4.803B,,4.276B,22.72B,29.28B,182.00M,-551.00M,2.605B,1.405B,,-785.00M,46.00M
2003-09,158.00M,158.00M,2.566B,2.724B,,936.00M,527.00M,,,,889.00M,5.076B,,,,,27.74B,-9.379B,18.36B,,1.263B,1.263B,,5.241B,24.87B,29.94B,1.075B,1.075B,2.273B,3.348B,538.00M,538.00M,200.00M,738.00M,,,3.046B,7.132B,11.93B,1.234B,13.17B,,,,2.763B,,7.402B,23.33B,30.46B,182.00M,-440.00M,2.612B,1.414B,,-1.461B,-521.00M
2003-06,157.00M,157.00M,1.67B,1.827B,,924.00M,557.00M,,,,939.00M,4.247B,,,,,27.80B,-9.379B,18.42B,,1.27B,1.27B,,5.282B,24.97B,29.22B,1.10B,1.10B,2.272B,3.372B,564.00M,564.00M,158.00M,722.00M,,,2.987B,7.081B,11.24B,1.294B,12.54B,,,,2.729B,2.729B,4.648B,22.64B,29.72B,182.00M,-441.00M,2.628B,1.433B,,-1.438B,-502.00M
2003-03,157.00M,157.00M,1.115B,1.272B,,924.00M,618.00M,,,,820.00M,3.634B,,,,,27.70B,-9.379B,18.32B,,1.277B,1.277B,,5.859B,25.45B,29.09B,1.052B,1.052B,2.433B,3.485B,649.00M,649.00M,158.00M,807.00M,,,2.781B,7.073B,11.00B,1.35B,12.34B,,,,2.701B,,7.069B,22.12B,29.19B,182.00M,-366.00M,2.78B,1.602B,,-1.096B,-102.00M
2002-12,,104.00M,1.846B,1.95B,,1.481B,627.00M,,,,879.00M,4.937B,,,,,29.07B,-9.379B,19.69B,,1.292B,1.292B,,4.344B,25.33B,30.27B,1.198B,1.198B,,1.198B,,868.00M,,868.00M,,,5.174B,7.24B,12.31B,1.422B,13.73B,,,,,,8.338B,22.07B,29.31B,182.00M,677.00M,2.795B,1.621B,,,990.00M
2002-09,123.00M,123.00M,2.707B,2.83B,,1.563B,648.00M,,,792.00M,154.00M,5.987B,,,,,28.25B,-10.00B,18.25B,,470.00M,470.00M,,6.796B,25.52B,31.50B,1.36B,1.36B,2.456B,3.816B,405.00M,405.00M,145.00M,550.00M,,,2.852B,7.218B,10.51B,1.422B,11.93B,1.228B,,1.228B,2.625B,,5.989B,21.77B,28.99B,182.00M,1.206B,2.806B,1.638B,,-45.00M,2.511B
2002-06,195.00M,195.00M,2.368B,2.563B,,1.556B,743.00M,,,792.00M,194.00M,5.848B,,,,,28.56B,-10.00B,18.56B,1.351B,,1.351B,,7.131B,27.04B,32.89B,1.559B,1.559B,2.344B,3.903B,350.00M,350.00M,147.00M,497.00M,,,3.059B,7.459B,9.172B,1.444B,10.62B,1.94B,,1.94B,2.611B,,5.868B,21.04B,28.49B,182.00M,3.118B,2.812B,1.645B,,-72.00M,4.395B
2002-03,134.00M,134.00M,2.181B,2.315B,,1.839B,758.00M,,,793.00M,547.00M,6.252B,,,,,28.45B,-10.10B,18.35B,,487.00M,487.00M,,7.877B,26.71B,32.96B,1.462B,1.462B,2.284B,3.746B,520.00M,520.00M,191.00M,711.00M,,,2.93B,7.387B,8.784B,1.454B,10.24B,1.965B,,1.965B,2.573B,,5.922B,20.70B,28.08B,182.00M,3.613B,2.847B,1.693B,,-71.00M,4.878B
2001-12,102.00M,102.00M,2.386B,2.488B,,1.162B,822.00M,,,790.00M,1.309B,6.571B,,,,,29.66B,-10.00B,19.66B,1.392B,1.325B,2.717B,,3.898B,26.27B,32.84B,1.785B,1.785B,2.192B,3.977B,556.00M,556.00M,216.00M,772.00M,,,2.763B,7.512B,8.31B,1.524B,9.834B,1.627B,520.00M,2.147B,2.538B,,5.437B,19.96B,27.47B,182.00M,4.188B,2.865B,1.716B,,-146.00M,5.373B
2001-09,69.00M,69.00M,2.271B,2.34B,,1.829B,871.00M,,,693.00M,348.00M,6.081B,,,,,27.63B,-9.521B,18.10B,,1.35B,1.35B,,6.304B,25.76B,31.84B,1.613B,1.613B,2.619B,4.232B,509.00M,509.00M,267.00M,776.00M,,,3.095B,8.103B,6.491B,1.607B,8.098B,2.168B,,2.168B,2.417B,,4.823B,17.51B,25.61B,182.00M,4.986B,2.81B,1.719B,,-28.00M,6.231B
2001-06,265.00M,265.00M,1.222B,1.487B,,1.67B,883.00M,,,695.00M,439.00M,5.174B,,,,,28.16B,-10.00B,18.16B,,1.411B,1.411B,,4.261B,23.83B,29.00B,1.495B,1.495B,2.357B,3.852B,301.00M,301.00M,312.00M,613.00M,,,3.429B,7.894B,5.554B,1.613B,7.167B,2.341B,,2.341B,2.399B,,2.461B,14.37B,22.26B,182.00M,5.402B,2.816B,1.728B,,68.00M,6.74B
2001-03,172.00M,172.00M,1.386B,1.558B,,1.383B,727.00M,,,694.00M,211.00M,4.573B,,,,,27.37B,-9.80B,17.57B,,1.131B,1.131B,,3.257B,21.96B,26.53B,1.261B,1.261B,1.827B,3.088B,451.00M,451.00M,245.00M,696.00M,,,2.96B,6.744B,4.669B,1.208B,5.877B,2.461B,,2.461B,,,4.219B,12.56B,19.30B,182.00M,5.907B,2.843B,1.771B,,72.00M,7.233B
2000-12,89.00M,89.00M,2.144B,2.233B,,1.303B,757.00M,,,695.00M,191.00M,5.179B,,,,,28.16B,-9.521B,18.64B,385.00M,1.143B,1.528B,,870.00M,21.03B,26.21B,1.267B,1.267B,2.231B,3.498B,569.00M,569.00M,227.00M,796.00M,,,2.696B,6.99B,4.151B,1.323B,5.474B,2.385B,508.00M,2.893B,1.706B,,1.974B,12.05B,19.04B,182.00M,5.95B,2.911B,1.865B,,-2.00M,7.176B
2000-09,171.00M,171.00M,2.163B,2.334B,,1.496B,730.00M,,,612.00M,180.00M,5.352B,,,,,25.58B,-9.307B,16.27B,,,,,4.277B,20.55B,25.90B,1.299B,1.299B,2.284B,3.583B,495.00M,495.00M,273.00M,768.00M,,,2.929B,7.28B,2.392B,1.403B,3.795B,2.164B,,2.164B,,,5.567B,11.53B,18.81B,182.00M,5.907B,2.974B,1.968B,,-2.00M,7.093B
2000-06,128.00M,128.00M,2.269B,2.397B,,1.447B,713.00M,,,612.00M,208.00M,5.377B,,,,,24.74B,-9.097B,15.64B,,,,,4.457B,20.10B,25.47B,1.273B,1.273B,2.114B,3.387B,496.00M,496.00M,246.00M,742.00M,,,2.977B,7.106B,3.93B,1.465B,5.395B,2.012B,,2.012B,,,4.186B,11.59B,18.70B,182.00M,5.597B,2.999B,2.002B,,-2.00M,6.774B
2000-03,76.00M,76.00M,1.893B,1.969B,,1.493B,717.00M,,,612.00M,208.00M,4.999B,,,,,23.69B,-8.88B,14.81B,,,,,4.505B,19.32B,24.31B,1.231B,1.231B,1.818B,3.049B,241.00M,241.00M,231.00M,472.00M,,,2.758B,6.279B,4.018B,,4.018B,1.886B,,1.886B,,,5.709B,11.61B,17.89B,182.00M,5.27B,3.047B,2.075B,,-2.00M,6.422B
1999-12,85.00M,85.00M,1.706B,1.791B,,1.134B,708.00M,,,612.00M,179.00M,4.424B,,,,,25.04B,-8.75B,16.29B,,,1.191B,,2.472B,19.95B,24.37B,1.115B,1.115B,1.956B,3.071B,302.00M,302.00M,236.00M,538.00M,,,2.258B,5.867B,4.078B,1.611B,5.689B,1.846B,613.00M,2.459B,1.669B,1.669B,163.00M,11.65B,17.52B,182.00M,5.718B,3.061B,2.101B,,-2.00M,6.858B
1999-09,,96.00M,1.869B,1.965B,,1.742B,703.00M,,,476.00M,226.00M,5.112B,,,,,25.67B,-9.308B,16.36B,,,,,2.888B,19.25B,24.36B,1.249B,1.249B,,1.249B,,475.00M,,475.00M,,,4.785B,6.509B,5.217B,,5.217B,1.752B,,1.752B,,,4.388B,11.36B,17.87B,182.00M,5.37B,3.061B,2.111B,,,6.498B
1999-06,,79.00M,1.486B,1.565B,,1.689B,657.00M,,,477.00M,225.00M,4.613B,,,,,24.89B,-9.057B,15.83B,,,,,3.064B,18.90B,23.51B,1.245B,1.245B,,1.245B,,448.00M,,448.00M,,,4.611B,6.304B,4.643B,,4.643B,1.663B,,1.663B,,,4.463B,10.77B,17.07B,182.00M,5.112B,3.058B,1.91B,,,6.438B
1999-03,,62.00M,1.121B,1.183B,,1.704B,639.00M,,,476.00M,238.00M,4.24B,,,,,23.93B,-8.841B,15.09B,,,,,2.895B,17.98B,22.22B,1.233B,1.233B,,1.233B,,412.00M,,412.00M,,,4.328B,5.973B,4.023B,,4.023B,1.531B,,1.531B,,,4.239B,9.793B,15.77B,182.00M,4.891B,3.07B,1.681B,,,6.458B
1998-12,87.00M,87.00M,1.448B,1.535B,,1.225B,596.00M,304.00M,,443.00M,-134.00M,3.969B,,,,,21.62B,-7.875B,13.74B,,,1.228B,,2.517B,17.49B,21.46B,1.047B,1.047B,1.89B,2.937B,48.00M,48.00M,154.00M,202.00M,,,2.163B,5.302B,2.436B,1.764B,4.20B,1.47B,573.00M,2.043B,1.598B,1.598B,16.00M,9.455B,14.76B,182.00M,4.733B,3.075B,1.288B,,-4.00M,6.698B
1998-09,,72.00M,2.18B,2.252B,,1.732B,609.00M,,,404.00M,192.00M,5.189B,,,,,22.45B,-8.419B,14.04B,,,,,2.97B,17.00B,22.19B,1.287B,1.287B,,1.287B,,343.00M,,343.00M,,,4.319B,5.949B,3.972B,,3.972B,1.387B,,1.387B,,,4.326B,9.685B,15.63B,182.00M,4.511B,3.068B,1.201B,,,6.56B
1998-06,,108.00M,2.124B,2.232B,,1.753B,651.00M,,,406.00M,219.00M,5.261B,,,,,22.01B,-8.292B,13.72B,,,,,2.967B,16.68B,21.94B,1.104B,1.104B,,1.104B,,514.00M,,514.00M,,,4.257B,5.875B,3.845B,,3.845B,1.264B,,1.264B,,,4.32B,9.429B,15.30B,182.00M,4.085B,3.073B,699.00M,,,6.641B
