,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-10,427.00M,,,,23.00M,23.00M,,,484.00M,484.00M,-67.00M,,35.00M,,23.00M,27.00M,-785.00M,-21.00M,788.00M,,,79.00M,88.00M,1.013B,,-836.00M,,-836.00M,,,-34.00M,-870.00M,,-32.00M,,-32.00M,20.00M,-31.00M,-11.00M,-102.00M,-102.00M,8.00M,-137.00M,,268.00M,6.00M,,274.00M,,20.00M,134.00M,-166.00M,-31.00M,213.00M,118.00M,,AOR,Restated
2015-07,433.00M,,,,26.00M,26.00M,,,477.00M,477.00M,-30.00M,,43.00M,,40.00M,-69.00M,154.00M,14.00M,123.00M,,,-134.00M,88.00M,1.077B,,-817.00M,,-817.00M,,,-35.00M,-852.00M,,-63.00M,,-63.00M,28.00M,-43.00M,-15.00M,-90.00M,-90.00M,-41.00M,-209.00M,,252.00M,16.00M,,268.00M,,28.00M,20.00M,-83.00M,-43.00M,330.00M,123.00M,,AOR,Restated
2015-04,624.00M,,,,30.00M,30.00M,,,620.00M,620.00M,-52.00M,,52.00M,,62.00M,43.00M,-62.00M,275.00M,143.00M,,,20.00M,419.00M,1.755B,,-879.00M,,-879.00M,,,21.00M,-858.00M,,-294.00M,,-294.00M,46.00M,-585.00M,-539.00M,-91.00M,-91.00M,11.00M,-913.00M,,268.00M,-16.00M,,252.00M,,46.00M,4.00M,-298.00M,-585.00M,321.00M,156.00M,,AOR,Restated
2015-01,523.00M,,,,25.00M,25.00M,,,467.00M,467.00M,212.00M,,40.00M,,6.00M,-113.00M,433.00M,-346.00M,-352.00M,,,-101.00M,-479.00M,831.00M,,-761.00M,,-761.00M,0.00,,-1.00M,-762.00M,,67.00M,,67.00M,26.00M,-33.00M,-7.00M,-91.00M,-91.00M,-34.00M,-65.00M,,264.00M,4.00M,,268.00M,,26.00M,49.00M,18.00M,-33.00M,155.00M,104.00M,,AOR,Restated
2014-10,365.00M,,,,9.00M,9.00M,,,456.00M,456.00M,-36.00M,,39.00M,,106.00M,19.00M,-682.00M,45.00M,480.00M,,,-9.00M,-147.00M,792.00M,,-723.00M,,-723.00M,-252.00M,,-10.00M,-985.00M,,297.00M,,297.00M,18.00M,-29.00M,-11.00M,-81.00M,-81.00M,4.00M,209.00M,,248.00M,16.00M,,264.00M,,18.00M,504.00M,-207.00M,-29.00M,204.00M,91.00M,,AOR,Restated
2014-07,350.00M,,,,9.00M,9.00M,,,444.00M,444.00M,-47.00M,,36.00M,,55.00M,-67.00M,127.00M,-33.00M,-8.00M,,,-25.00M,-6.00M,841.00M,,-617.00M,,-617.00M,,,7.00M,-610.00M,,-136.00M,,-136.00M,33.00M,-78.00M,-45.00M,-82.00M,-82.00M,15.00M,-248.00M,,265.00M,-17.00M,,248.00M,,33.00M,31.00M,-167.00M,-78.00M,231.00M,148.00M,,AOR,Restated
2014-04,509.00M,,,,12.00M,12.00M,,,581.00M,581.00M,-56.00M,,40.00M,,52.00M,20.00M,-25.00M,309.00M,264.00M,,,45.00M,613.00M,1.751B,,-730.00M,,-730.00M,,,27.00M,-703.00M,,-2.00M,,-2.00M,33.00M,-1.143B,-1.11B,-84.00M,-84.00M,12.00M,-1.184B,,401.00M,-136.00M,,265.00M,,33.00M,17.00M,-19.00M,-1.143B,351.00M,134.00M,,AOR,Restated
2014-01,427.00M,,,,17.00M,17.00M,,,402.00M,402.00M,51.00M,,29.00M,,-105.00M,-13.00M,393.00M,-360.00M,-271.00M,,,47.00M,-204.00M,656.00M,,-544.00M,,-544.00M,,,-65.00M,-2.953B,,2.719B,,2.719B,10.00M,-225.00M,-215.00M,-86.00M,-86.00M,-64.00M,2.354B,,344.00M,57.00M,,401.00M,,10.00M,2.523B,196.00M,-225.00M,190.00M,93.00M,,AOR,Restated
2013-10,300.00M,,,,17.00M,17.00M,-906.00M,,395.00M,395.00M,37.00M,,31.00M,,34.00M,-102.00M,-686.00M,-15.00M,363.00M,,,-70.00M,-510.00M,304.00M,,-676.00M,,-676.00M,,,-5.00M,-681.00M,,377.00M,,377.00M,31.00M,-148.00M,-117.00M,-78.00M,-78.00M,99.00M,281.00M,,440.00M,-96.00M,,344.00M,,31.00M,14.00M,363.00M,-148.00M,140.00M,83.00M,,AOR,Restated
2013-07,320.00M,,,,15.00M,15.00M,387.00M,,387.00M,387.00M,-2.00M,,23.00M,,15.00M,19.00M,109.00M,-29.00M,128.00M,,,11.00M,238.00M,996.00M,,-492.00M,,-492.00M,,,-19.00M,-511.00M,,-51.00M,,-51.00M,60.00M,-90.00M,-30.00M,-77.00M,-77.00M,-134.00M,-292.00M,,247.00M,193.00M,,440.00M,,60.00M,1.009B,-1.06B,-90.00M,168.00M,111.00M,,AOR,Restated
