,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.604B,90.00M,1.694B,1.634B,,1.634B,772.00M,,394.00M,4.494B,,5.272B,958.00M,52.74B,739.00M,71.75B,-19.80B,51.95B,,,1.856B,392.00M,54.20B,58.69B,,844.00M,,579.00M,118.00M,1.541B,805.00M,2.346B,,1.456B,,1.456B,570.00M,4.372B,,21.36B,,21.36B,11.11B,11.11B,,,,,1.942B,34.41B,38.78B,,2.779B,43.31B,3.778B,28.53B,,,,-1.428B,19.91B,,AOR,Restated
2018-03,1.048B,90.00M,1.138B,1.571B,,1.571B,808.00M,,380.00M,3.897B,,5.271B,941.00M,52.35B,647.00M,71.17B,-19.48B,51.70B,,,1.81B,386.00M,53.89B,57.79B,,768.00M,,641.00M,113.00M,1.522B,742.00M,2.264B,,1.891B,,1.891B,591.00M,4.746B,,15.70B,,15.70B,11.05B,11.05B,,,,,1.907B,28.65B,33.40B,,2.779B,42.36B,4.473B,23.80B,,,,-1.422B,24.39B,,AOR,Restated
2017-12,1.275B,90.00M,1.365B,1.493B,,1.493B,749.00M,,399.00M,4.006B,,5.258B,936.00M,51.94B,736.00M,70.81B,-19.21B,51.60B,,,1.809B,386.00M,53.80B,57.81B,,1.013B,,547.00M,110.00M,1.67B,798.00M,2.468B,,800.00M,,800.00M,671.00M,3.939B,,16.14B,,16.14B,10.94B,10.94B,,,,,1.931B,29.01B,32.95B,,2.778B,41.32B,4.476B,22.57B,,,,-1.141B,24.86B,,AOR,Restated
2017-09,1.847B,90.00M,1.937B,1.428B,,1.428B,742.00M,,342.00M,4.449B,,5.228B,939.00M,51.45B,795.00M,69.97B,-18.94B,51.04B,,,1.566B,346.00M,52.95B,57.40B,,838.00M,,561.00M,107.00M,1.506B,766.00M,2.272B,,903.00M,,903.00M,656.00M,3.831B,,15.93B,,15.93B,16.52B,16.52B,,,,,1.961B,34.42B,38.25B,,2.778B,34.56B,4.454B,21.47B,,,,-1.172B,19.15B,,AOR,Restated
2017-06,1.286B,90.00M,1.376B,1.357B,,1.357B,726.00M,,410.00M,3.869B,,5.236B,926.00M,51.08B,730.00M,69.88B,-19.06B,50.81B,,,1.504B,291.00M,52.61B,56.48B,,828.00M,,523.00M,105.00M,1.456B,793.00M,2.249B,,531.00M,,531.00M,626.00M,3.406B,,15.23B,,15.23B,16.33B,16.33B,,,,,1.899B,33.46B,36.86B,,2.778B,33.85B,4.431B,20.22B,,,,-1.221B,19.62B,,AOR,Restated
2017-03,1.049B,90.00M,1.139B,1.279B,,1.279B,760.00M,,410.00M,3.588B,,5.207B,914.00M,50.46B,903.00M,69.38B,-18.83B,50.55B,,,1.48B,282.00M,52.31B,55.90B,,789.00M,,901.00M,101.00M,1.791B,757.00M,2.548B,,723.00M,,723.00M,577.00M,3.848B,,14.31B,,14.31B,16.16B,16.16B,,,,,1.862B,32.33B,36.18B,,2.779B,33.17B,4.406B,19.38B,,,,-1.252B,19.72B,,AOR,Restated
2016-12,1.277B,60.00M,1.337B,1.258B,,1.258B,717.00M,,284.00M,3.596B,,5.22B,905.00M,50.01B,987.00M,69.06B,-18.67B,50.39B,,,1.457B,276.00M,52.12B,55.72B,,955.00M,,472.00M,101.00M,1.528B,784.00M,2.312B,,758.00M,,758.00M,570.00M,3.64B,,14.25B,,14.25B,16.00B,16.00B,,,,,1.901B,32.15B,35.79B,,2.777B,32.59B,4.421B,18.58B,,,,-1.272B,19.93B,,AOR,Restated
2016-09,1.909B,330.00M,2.239B,1.351B,,1.351B,690.00M,,322.00M,4.602B,,5.207B,900.00M,49.50B,1.05B,68.34B,-18.40B,49.94B,,,1.446B,318.00M,51.70B,56.30B,,819.00M,,593.00M,105.00M,1.517B,741.00M,2.258B,,407.00M,,407.00M,592.00M,3.257B,,15.20B,,15.20B,15.77B,15.77B,,,,,1.785B,32.76B,36.02B,,2.777B,31.94B,4.406B,17.65B,,,,-1.185B,20.28B,,AOR,Restated
2016-06,1.83B,330.00M,2.16B,1.373B,,1.373B,660.00M,,373.00M,4.566B,,5.205B,901.00M,49.04B,1.084B,67.65B,-18.19B,49.46B,,,1.408B,255.00M,51.12B,55.69B,,787.00M,,470.00M,104.00M,1.361B,774.00M,2.135B,,409.00M,,409.00M,551.00M,3.095B,,14.78B,,14.78B,15.59B,15.59B,,,,,1.803B,32.17B,35.27B,,2.778B,31.27B,4.393B,16.82B,,,,-1.198B,20.42B,,AOR,Restated
2016-03,2.673B,,2.673B,1.355B,,1.355B,716.00M,,339.00M,5.083B,,5.203B,900.00M,48.50B,1.186B,67.01B,-17.94B,49.07B,,,1.404B,214.00M,50.69B,55.77B,,791.00M,,764.00M,99.00M,1.654B,745.00M,2.399B,,402.00M,,402.00M,486.00M,3.287B,,14.79B,,14.79B,15.40B,15.40B,,,,,1.815B,32.01B,35.30B,,2.778B,30.75B,4.381B,16.22B,,,,-1.208B,20.48B,,AOR,Restated
2015-12,1.391B,0.00,1.391B,1.356B,,1.356B,736.00M,,647.00M,4.13B,,5.195B,897.00M,47.99B,1.25B,66.56B,-17.70B,48.87B,,,1.41B,194.00M,50.47B,54.60B,,743.00M,,434.00M,105.00M,1.282B,780.00M,2.062B,,594.00M,,594.00M,550.00M,3.206B,,13.61B,,13.61B,15.24B,15.24B,,,,,1.844B,30.69B,33.90B,,2.776B,30.23B,4.417B,15.53B,,,,-1.195B,20.70B,,AOR,Restated
2015-09,1.078B,,1.078B,1.508B,,1.508B,741.00M,218.00M,397.00M,3.942B,,5.183B,870.00M,47.62B,1.193B,65.59B,-17.44B,48.15B,,,1.373B,299.00M,49.82B,53.76B,,934.00M,0.00,562.00M,105.00M,1.601B,749.00M,2.35B,,521.00M,,521.00M,637.00M,3.508B,,12.80B,,12.80B,15.06B,15.06B,,,,,1.796B,29.66B,33.16B,,2.776B,29.58B,4.40B,14.95B,,,,-1.212B,20.60B,,AOR,Restated
2015-06,2.041B,,2.041B,1.513B,,1.513B,762.00M,235.00M,432.00M,4.983B,,5.183B,852.00M,46.90B,1.245B,64.90B,-17.38B,47.51B,,,1.375B,307.00M,49.19B,54.18B,,1.005B,0.00,476.00M,108.00M,1.589B,800.00M,2.389B,,431.00M,,431.00M,593.00M,3.413B,,12.91B,,12.91B,14.91B,14.91B,,,,,1.959B,29.77B,33.19B,,2.776B,28.76B,4.377B,13.71B,,,,-1.208B,20.99B,,AOR,Restated
2015-03,1.587B,,1.587B,1.564B,,1.564B,744.00M,250.00M,334.00M,4.479B,,5.215B,742.00M,46.32B,1.174B,64.15B,-17.22B,46.93B,,,1.375B,363.00M,48.67B,53.14B,,882.00M,0.00,675.00M,101.00M,1.658B,762.00M,2.42B,,416.00M,,416.00M,554.00M,3.39B,,11.88B,,11.88B,14.77B,14.77B,,,,,2.04B,28.70B,32.09B,,2.776B,28.03B,4.351B,12.89B,,,,-1.218B,21.06B,,AOR,Restated
2014-12,1.586B,,1.586B,1.611B,,1.611B,712.00M,,492.00M,4.401B,,5.194B,684.00M,45.86B,1.08B,63.21B,-16.94B,46.27B,,,1.39B,309.00M,47.97B,52.37B,,877.00M,438.00M,412.00M,100.00M,1.827B,836.00M,2.663B,,461.00M,,461.00M,640.00M,3.764B,,10.95B,,10.95B,14.40B,14.40B,,,,,2.064B,27.42B,31.18B,,2.775B,27.37B,4.321B,12.06B,,,,-1.21B,21.19B,,AOR,Restated
2014-09,1.887B,,1.887B,1.635B,,1.635B,736.00M,218.00M,304.00M,4.78B,,5.153B,601.00M,45.23B,1.087B,62.36B,-16.80B,45.55B,,,1.384B,851.00M,47.79B,52.57B,,870.00M,440.00M,562.00M,106.00M,1.978B,743.00M,2.721B,,460.00M,,460.00M,652.00M,3.833B,,11.04B,,11.04B,14.42B,14.42B,,,,,1.716B,27.18B,31.02B,,2.775B,26.38B,4.299B,11.19B,,,,-708.00M,21.55B,,AOR,Restated
2014-06,1.537B,,1.537B,1.666B,,1.666B,739.00M,239.00M,322.00M,4.503B,,5.134B,571.00M,44.71B,1.076B,61.44B,-16.54B,44.90B,,,1.369B,789.00M,47.06B,51.56B,,924.00M,404.00M,509.00M,108.00M,1.945B,765.00M,2.71B,,458.00M,,458.00M,609.00M,3.777B,,10.38B,,10.38B,14.30B,14.30B,,,,,1.659B,26.34B,30.12B,,2.775B,25.46B,4.269B,10.35B,,,,-714.00M,21.44B,,AOR,Restated
2014-03,1.857B,,1.857B,1.542B,,1.542B,705.00M,259.00M,316.00M,4.679B,,5.128B,559.00M,44.13B,898.00M,60.52B,-16.33B,44.19B,,,1.344B,686.00M,46.22B,50.90B,,888.00M,407.00M,877.00M,101.00M,2.273B,729.00M,3.002B,,632.00M,,632.00M,554.00M,4.188B,,9.544B,,9.544B,14.23B,14.23B,,,,,1.665B,25.44B,29.63B,,1.388B,25.96B,4.233B,9.577B,,,,-734.00M,21.27B,,AOR,Restated
2013-12,1.432B,,1.432B,1.414B,,1.414B,653.00M,268.00M,223.00M,3.99B,,5.12B,561.00M,43.57B,954.00M,59.81B,-16.06B,43.75B,,,1.321B,671.00M,45.74B,49.73B,,803.00M,356.00M,491.00M,96.00M,1.746B,761.00M,2.507B,,705.00M,,705.00M,579.00M,3.791B,,8.872B,,8.872B,14.16B,14.16B,,,,,1.68B,24.72B,28.51B,,2.774B,23.90B,4.21B,8.91B,,,,-750.00M,21.22B,,AOR,Restated
2013-09,1.366B,,1.366B,1.469B,,1.469B,683.00M,230.00M,316.00M,4.064B,,5.092B,559.00M,42.81B,1.133B,59.10B,-15.79B,43.31B,,,1.282B,301.00M,44.89B,48.96B,,831.00M,359.00M,415.00M,95.00M,1.70B,715.00M,2.415B,,691.00M,,691.00M,549.00M,3.655B,,8.764B,,8.764B,13.74B,13.74B,,,,,2.026B,24.53B,28.18B,,1.387B,24.48B,4.189B,8.135B,,,,-1.143B,20.77B,,AOR,Restated
2013-06,1.845B,,1.845B,1.468B,,1.468B,654.00M,242.00M,334.00M,4.543B,,5.10B,546.00M,42.26B,1.122B,58.48B,-15.57B,42.91B,,,1.272B,300.00M,44.48B,49.03B,,908.00M,316.00M,413.00M,99.00M,1.736B,782.00M,2.518B,,733.00M,,733.00M,574.00M,3.825B,,9.076B,,9.076B,13.48B,13.48B,,,,,2.124B,24.68B,28.50B,,1.387B,23.69B,4.162B,7.567B,,,,-1.148B,20.52B,,AOR,Restated
2013-03,1.917B,,1.917B,1.512B,,1.512B,655.00M,251.00M,311.00M,4.646B,,5.106B,537.00M,41.82B,994.00M,57.75B,-15.37B,42.38B,,,1.24B,299.00M,43.92B,48.56B,,815.00M,318.00M,585.00M,100.00M,1.818B,720.00M,2.538B,,552.00M,,552.00M,520.00M,3.61B,,9.309B,,9.309B,13.29B,13.29B,,,,,2.21B,24.81B,28.42B,,1.387B,22.90B,4.134B,7.113B,,,,-1.169B,20.14B,,AOR,Restated
2012-12,1.063B,,1.063B,1.331B,,1.331B,660.00M,263.00M,297.00M,3.614B,,5.105B,535.00M,41.46B,889.00M,57.28B,-15.28B,42.00B,,,1.259B,283.00M,43.54B,47.15B,,825.00M,318.00M,368.00M,95.00M,1.606B,761.00M,2.367B,,196.00M,,196.00M,556.00M,3.119B,,8.801B,,8.801B,13.11B,13.11B,,,,,2.248B,24.16B,27.28B,,1.386B,22.27B,4.113B,6.707B,,,,-1.186B,19.88B,,AOR,Restated
2012-09,1.13B,,1.13B,1.583B,,1.583B,680.00M,293.00M,260.00M,3.946B,,5.093B,50.09B,637.00M,906.00M,56.73B,-15.11B,41.62B,,,1.235B,272.00M,43.12B,47.07B,,886.00M,279.00M,613.00M,,1.778B,821.00M,2.599B,,713.00M,,713.00M,562.00M,3.874B,,8.773B,,8.773B,12.86B,12.86B,,,,,2.016B,23.65B,27.52B,,1.386B,21.56B,4.097B,6.479B,,,,-1.015B,19.55B,,AOR,Restated
2012-06,1.201B,,1.201B,1.497B,,1.497B,646.00M,324.00M,288.00M,3.956B,40.41B,5.095B,9.367B,,931.00M,55.81B,-14.87B,40.94B,,,1.211B,270.00M,42.42B,46.37B,,955.00M,280.00M,513.00M,,1.748B,889.00M,2.637B,,780.00M,,780.00M,500.00M,3.917B,,8.636B,,8.636B,12.65B,12.65B,,,,,2.088B,23.37B,27.29B,,1.386B,20.80B,4.077B,6.117B,,,,-1.061B,19.09B,,AOR,Restated
2012-03,995.00M,,995.00M,1.327B,,1.327B,682.00M,314.00M,247.00M,3.565B,,5.101B,48.20B,607.00M,1.102B,55.01B,-14.70B,40.31B,,,1.21B,252.00M,41.77B,45.34B,,844.00M,282.00M,704.00M,,1.83B,801.00M,2.631B,,769.00M,,769.00M,502.00M,3.902B,,8.066B,,8.066B,12.50B,12.50B,,,,,2.108B,22.68B,26.58B,,1.387B,20.08B,4.056B,5.726B,,,,-1.046B,18.76B,,AOR,Restated
2011-12,1.217B,,1.217B,1.401B,,1.401B,614.00M,306.00M,189.00M,3.727B,,5.098B,529.00M,39.35B,1.004B,54.44B,-14.51B,39.93B,,,1.175B,260.00M,41.37B,45.10B,,819.00M,284.00M,482.00M,90.00M,1.675B,809.00M,2.484B,,209.00M,,209.00M,624.00M,3.317B,,8.697B,,8.697B,12.37B,12.37B,,,,,2.136B,23.20B,26.52B,,1.386B,19.51B,4.031B,5.293B,,,,-1.054B,18.58B,,AOR,Restated
2011-09,1.647B,,1.647B,1.424B,,1.424B,607.00M,305.00M,231.00M,4.214B,,5.008B,47.08B,563.00M,1.056B,53.71B,-14.28B,39.42B,,,1.171B,256.00M,40.85B,45.07B,,793.00M,358.00M,567.00M,,1.718B,763.00M,2.481B,,642.00M,,642.00M,601.00M,3.724B,,8.765B,,8.765B,12.29B,12.29B,,,,,1.722B,22.78B,26.50B,,1.386B,18.83B,4.02B,4.942B,,,,-732.00M,18.56B,,AOR,Restated
2011-06,1.055B,,1.055B,1.427B,,1.427B,630.00M,315.00M,272.00M,3.699B,,5.008B,46.47B,571.00M,890.00M,52.94B,-14.03B,38.91B,,,1.176B,246.00M,40.33B,44.03B,,816.00M,400.00M,418.00M,,1.634B,789.00M,2.423B,,179.00M,,179.00M,551.00M,3.153B,,8.759B,,8.759B,12.02B,12.02B,,,,,1.795B,22.57B,25.72B,,1.386B,18.16B,3.999B,4.519B,,,,-719.00M,18.31B,,AOR,Restated
2011-03,1.248B,,1.248B,1.275B,,1.275B,582.00M,307.00M,265.00M,3.677B,,4.992B,45.92B,574.00M,804.00M,52.29B,-13.78B,38.51B,,,1.157B,241.00M,39.91B,43.59B,,,,,,,,2.767B,,180.00M,,180.00M,,2.947B,,9.016B,,9.016B,11.79B,11.79B,,,,,1.79B,22.59B,25.54B,,1.386B,17.61B,3.988B,4.207B,,,,-728.00M,18.05B,,AOR,Restated
2010-12,1.086B,,1.086B,1.184B,,1.184B,534.00M,261.00M,367.00M,3.432B,,4.984B,45.60B,565.00M,764.00M,51.91B,-13.66B,38.25B,,,1.137B,266.00M,39.66B,43.09B,,677.00M,337.00M,86.00M,325.00M,1.425B,740.00M,2.165B,,239.00M,,239.00M,548.00M,2.952B,,9.003B,,9.003B,11.56B,11.56B,,,,,1.813B,22.37B,25.32B,,1.385B,17.15B,3.985B,4.027B,,,,-734.00M,17.76B,,AOR,Restated
2010-09,1.358B,,1.358B,1.297B,,1.297B,504.00M,357.00M,394.00M,3.91B,,4.91B,44.94B,554.00M,818.00M,51.22B,-13.47B,37.75B,,,1.104B,238.00M,39.09B,43.00B,,634.00M,304.00M,273.00M,,1.211B,784.00M,1.995B,,659.00M,,659.00M,531.00M,3.185B,,9.06B,,9.06B,11.48B,11.48B,,,,,1.84B,22.38B,25.56B,,1.385B,16.57B,3.984B,3.85B,,,,-649.00M,17.44B,,AOR,Restated
2010-06,1.317B,,1.317B,1.25B,,1.25B,496.00M,364.00M,275.00M,3.702B,,4.899B,44.40B,533.00M,1.04B,50.87B,-13.34B,37.53B,,,1.064B,242.00M,38.83B,42.54B,,710.00M,368.00M,358.00M,,1.436B,827.00M,2.263B,,248.00M,,248.00M,524.00M,3.035B,,9.117B,,9.117B,11.19B,11.19B,,,,,1.871B,22.18B,25.21B,,1.385B,15.95B,3.978B,3.343B,,,,-648.00M,17.32B,,AOR,Restated
2010-03,1.753B,,1.753B,1.218B,,1.218B,506.00M,355.00M,280.00M,4.112B,,4.90B,44.08B,527.00M,962.00M,50.47B,-13.17B,37.30B,,,1.036B,263.00M,38.60B,42.71B,,685.00M,285.00M,447.00M,,1.417B,807.00M,2.224B,,239.00M,,239.00M,446.00M,2.909B,,9.48B,,9.48B,11.12B,11.12B,,,,,1.994B,22.59B,25.50B,,1.385B,15.41B,3.959B,2.889B,,,,-648.00M,17.21B,,AOR,Restated
2009-12,1.85B,,1.85B,666.00M,,666.00M,475.00M,339.00M,350.00M,3.68B,,4.891B,43.88B,477.00M,966.00M,50.21B,-13.01B,37.20B,,,1.036B,266.00M,38.50B,42.18B,,612.00M,224.00M,89.00M,379.00M,1.304B,686.00M,1.99B,,212.00M,,212.00M,480.00M,2.682B,,9.636B,,9.636B,11.04B,11.04B,,,,,2.021B,22.70B,25.38B,,1.384B,15.03B,3.968B,2.924B,,,,-654.00M,16.80B,,AOR,Restated
2009-09,1.435B,,1.435B,727.00M,,727.00M,490.00M,299.00M,266.00M,3.217B,,4.857B,43.84B,510.00M,835.00M,50.05B,-12.92B,37.12B,,,1.013B,337.00M,38.47B,41.69B,,615.00M,282.00M,373.00M,,1.27B,824.00M,2.094B,,173.00M,,173.00M,481.00M,2.748B,,9.62B,,9.62B,10.60B,10.60B,,,,,2.297B,22.51B,25.26B,,1.384B,14.75B,3.96B,2.954B,,,,-713.00M,16.43B,,AOR,Restated
2009-06,1.656B,,1.656B,629.00M,,629.00M,507.00M,283.00M,271.00M,3.346B,,4.851B,43.29B,507.00M,875.00M,49.52B,-12.76B,36.76B,,,990.00M,451.00M,38.20B,41.55B,,667.00M,339.00M,328.00M,,1.334B,834.00M,2.168B,,174.00M,,174.00M,492.00M,2.834B,,9.816B,,9.816B,10.49B,10.49B,,,,,2.394B,22.70B,25.53B,,1.384B,14.37B,3.949B,2.971B,,,,-714.00M,16.02B,,AOR,Restated
2009-03,1.466B,,1.466B,548.00M,,548.00M,446.00M,290.00M,267.00M,3.017B,484.00M,4.861B,7.271B,34.82B,899.00M,48.33B,-12.47B,35.86B,,,947.00M,379.00M,37.18B,40.20B,,644.00M,279.00M,353.00M,71.00M,1.347B,746.00M,2.093B,,137.00M,,137.00M,452.00M,2.682B,,9.058B,,9.058B,10.32B,10.32B,,,,,2.488B,21.86B,24.54B,,1.384B,14.04B,3.943B,2.983B,,,,-730.00M,15.65B,,AOR,Restated
2008-12,1.249B,,1.249B,594.00M,,594.00M,450.00M,276.00M,244.00M,2.813B,,4.861B,41.65B,468.00M,938.00M,47.92B,-12.21B,35.70B,,,974.00M,234.00M,36.91B,39.72B,,629.00M,328.00M,207.00M,,1.164B,850.00M,2.014B,,320.00M,,320.00M,546.00M,2.88B,,8.607B,,8.607B,10.28B,10.28B,,,,,2.506B,21.40B,24.28B,,1.382B,13.81B,3.949B,2.993B,,,,-704.00M,15.45B,,AOR,Restated
2008-09,857.00M,,857.00M,860.00M,,860.00M,569.00M,343.00M,260.00M,2.889B,,4.763B,7.368B,435.00M,946.00M,47.38B,-12.08B,35.30B,,,1.009B,351.00M,36.66B,39.55B,,791.00M,273.00M,518.00M,,1.582B,914.00M,2.496B,,346.00M,,346.00M,599.00M,3.441B,,8.116B,,8.116B,10.39B,10.39B,,,,,1.866B,20.38B,23.82B,,1.382B,13.29B,3.937B,2.805B,,,,-68.00M,15.74B,,AOR,Restated
