,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2014-09,5.819B,6.182B,3.61B,2.572B,,,,,5.00M,,144.00M,1.00M,-143.00M,242.00M,242.00M,2.33B,1.00M,144.00M,-143.00M,19.00M,-143.00M,2.206B,836.00M,1.37B,,,1.37B,1.367B,2.831B,481.00M,2.35B,,1.53,,,1.527,1.53,,1.53,,,1.527,1.53,,893.20M,896.90M,0.50,,AOR,Restated
2014-06,5.661B,6.015B,3.591B,2.424B,,,,,7.00M,,138.00M,1.00M,-137.00M,228.00M,228.00M,2.196B,1.00M,138.00M,-137.00M,21.00M,-137.00M,2.08B,789.00M,1.291B,,,1.291B,1.287B,2.688B,470.00M,2.218B,,1.43,,,1.425,1.43,,1.43,,,1.425,1.43,,901.50M,905.00M,0.455,,AOR,Restated
2014-03,5.286B,5.638B,3.558B,2.08B,,,,,4.00M,,133.00M,1.00M,-132.00M,226.00M,226.00M,1.854B,1.00M,133.00M,-132.00M,37.00M,-132.00M,1.759B,671.00M,1.088B,,,1.088B,1.086B,2.356B,464.00M,1.892B,,1.20,,,1.197,1.20,,1.19,,,1.187,1.19,,908.10M,912.50M,0.455,,AOR,Restated
2013-12,5.297B,5.63B,3.469B,2.161B,,,,,10.00M,,127.00M,1.00M,-126.00M,188.00M,188.00M,1.973B,1.00M,127.00M,-126.00M,36.00M,-126.00M,1.883B,709.00M,1.174B,,,1.174B,1.168B,2.468B,458.00M,2.01B,,1.28,,,1.273,1.28,,1.275,,,1.268,1.275,,916.30M,921.30M,0.395,,AOR,Restated
2013-09,5.25B,5.573B,3.406B,2.167B,,,,,18.00M,,138.00M,1.00M,-137.00M,205.00M,205.00M,1.962B,1.00M,138.00M,-137.00M,27.00M,-137.00M,1.852B,701.00M,1.151B,,,1.151B,1.140B,2.437B,447.00M,1.99B,,1.25,,,1.238,1.25,,1.24,,,1.228,1.24,,923.50M,928.40M,0.395,,AOR,Restated
2013-06,5.153B,5.47B,3.373B,2.097B,,,,,0.00,,133.00M,1.00M,-132.00M,219.00M,219.00M,1.878B,1.00M,133.00M,-132.00M,22.00M,-132.00M,1.768B,662.00M,1.106B,,,1.106B,1.106B,2.339B,438.00M,1.901B,,1.19,,,1.19,1.19,,1.18,,,1.18,1.18,,930.60M,935.30M,0.345,,AOR,Restated
2013-03,4.984B,5.29B,3.42B,1.87B,,,,,4.00M,,128.00M,1.00M,-127.00M,237.00M,237.00M,1.633B,1.00M,128.00M,-127.00M,39.00M,-127.00M,1.545B,588.00M,957.00M,,,957.00M,954.52M,2.107B,434.00M,1.673B,,1.025,,,1.022,1.025,,1.015,,,1.012,1.015,,935.60M,941.00M,0.345,,AOR,Restated
2012-12,4.931B,5.25B,3.343B,1.907B,,,,,8.00M,,128.00M,,-125.00M,182.00M,182.00M,1.725B,,128.00M,-125.00M,40.00M,-125.00M,1.64B,604.00M,1.036B,,,1.036B,1.031B,2.221B,453.00M,1.768B,,1.105,,,1.100,1.105,,1.095,,,1.090,1.095,,937.80M,944.20M,0.345,,AOR,Restated
2012-09,5.019B,5.343B,3.357B,1.986B,,,,,11.00M,,137.00M,,-137.00M,200.00M,200.00M,1.786B,,137.00M,-137.00M,28.00M,-137.00M,1.677B,635.00M,1.042B,,,1.042B,1.035B,2.261B,447.00M,1.814B,,1.105,,,1.098,1.105,,1.095,,,1.088,1.095,,944.00M,950.40M,0.30,,AOR,Restated
2012-06,4.913B,5.221B,3.307B,1.914B,,,,,9.00M,,135.00M,,-135.00M,190.00M,190.00M,1.724B,,135.00M,-135.00M,21.00M,-135.00M,1.61B,608.00M,1.002B,,,1.002B,996.40M,2.178B,433.00M,1.745B,,1.055,,,1.049,1.055,,1.05,,,1.044,1.05,,947.60M,954.40M,0.30,,AOR,Restated
2012-03,4.823B,5.112B,3.386B,1.726B,,,,,1.00M,,135.00M,,-135.00M,216.00M,216.00M,1.51B,,135.00M,-135.00M,16.00M,-135.00M,1.391B,528.00M,863.00M,,,863.00M,862.38M,1.953B,427.00M,1.526B,,0.905,,,0.9044,0.905,,0.895,,,0.8944,0.895,,955.60M,962.80M,0.30,,AOR,Restated
2011-12,4.059B,5.108B,8.03B,-2.922B,,,,,-18.00M,,141.00M,1.00M,-140.00M,191.00M,-4.539B,1.617B,1.00M,141.00M,-140.00M,53.00M,-140.00M,1.53B,566.00M,964.00M,,,964.00M,975.34M,2.084B,413.00M,1.671B,,1.00,,,1.012,1.00,,0.99,,,1.002,0.99,,961.20M,969.40M,0.30,,AOR,Restated
2011-09,5.101B,5.101B,1.715B,3.386B,1.193B,1.193B,408.00M,,17.00M,,142.00M,0.00,-142.00M,207.00M,1.808B,1.578B,0.00,142.00M,-142.00M,17.00M,-142.00M,1.453B,549.00M,904.00M,,,904.00M,893.42M,2.003B,408.00M,1.595B,,0.935,0.00,,0.9241,0.935,,0.925,0.00,,0.9142,0.925,,968.40M,976.20M,0.2375,,AOR,Restated
2011-06,4.858B,4.858B,1.703B,3.155B,1.166B,1.166B,401.00M,283.00M,25.00M,,148.00M,1.00M,-147.00M,196.00M,1.763B,1.392B,1.00M,148.00M,-147.00M,25.00M,-147.00M,1.27B,485.00M,785.00M,,,785.00M,769.55M,1.819B,401.00M,1.418B,,0.805,0.00,,0.7892,0.805,,0.795,0.00,,0.7793,0.795,,976.80M,984.80M,0.2375,,AOR,Restated
2011-03,4.49B,4.49B,1.603B,2.887B,1.167B,1.167B,395.00M,,-6.00M,,141.00M,1.00M,-140.00M,188.00M,1.75B,1.137B,1.00M,141.00M,-140.00M,14.00M,-140.00M,1.011B,372.00M,639.00M,,,639.00M,642.79M,1.547B,395.00M,1.152B,,0.655,0.00,,0.6589,0.655,,0.645,0.00,,0.6488,0.645,,979.20M,988.20M,0.19,,AOR,Restated
2010-12,3.514B,4.41B,7.233B,-2.823B,,,,,569.00M,,142.00M,1.00M,-141.00M,,-3.59B,767.00M,1.00M,142.00M,-141.00M,554.00M,-141.00M,1.18B,405.00M,775.00M,,,775.00M,401.29M,1.702B,380.00M,1.322B,,0.785,,,0.4063,0.785,,0.775,,,0.4003,0.775,,986.80M,997.40M,0.19,,AOR,Restated
2010-09,4.408B,4.408B,1.365B,3.043B,1.092B,1.092B,372.00M,,-174.00M,,153.00M,1.00M,-152.00M,,1.464B,1.579B,1.00M,153.00M,-152.00M,-154.00M,-152.00M,1.273B,495.00M,778.00M,,,778.00M,884.34M,1.798B,372.00M,1.426B,,0.79,0.00,,0.8979,0.79,,0.78,0.00,,0.8868,0.78,,986.00M,995.40M,0.165,,AOR,Restated
2010-06,4.182B,4.182B,1.362B,2.82B,1.051B,1.051B,368.00M,,-125.00M,,152.00M,1.00M,-151.00M,,1.419B,1.401B,1.00M,152.00M,-151.00M,-104.00M,-151.00M,1.146B,435.00M,711.00M,,,711.00M,788.55M,1.666B,368.00M,1.298B,,0.71,0.00,,0.7873,0.71,,0.70,0.00,,0.7766,0.70,,1.004B,1.013B,0.165,,AOR,Restated
2010-03,3.965B,3.965B,1.305B,2.66B,1.059B,1.059B,367.00M,,-266.00M,,155.00M,1.00M,-154.00M,,1.426B,1.234B,1.00M,155.00M,-154.00M,-246.00M,-154.00M,834.00M,318.00M,516.00M,,,516.00M,680.58M,1.356B,367.00M,989.00M,,0.51,0.00,,0.6731,0.51,,0.505,0.00,,0.6668,0.505,,1.009B,1.017B,0.135,,AOR,Restated
2009-12,3.754B,3.754B,1.235B,2.519B,1.018B,1.018B,373.00M,,-123.00M,,153.00M,0.00,-153.00M,,1.391B,1.128B,0.00,153.00M,-153.00M,-106.00M,-153.00M,869.00M,320.00M,549.00M,,,549.00M,626.71M,1.395B,373.00M,1.022B,,0.545,0.00,,0.6222,0.545,,0.54,0.00,,0.6166,0.54,,1.007B,1.014B,0.135,,AOR,Restated
2009-09,3.671B,3.671B,1.169B,2.502B,999.00M,999.00M,363.00M,,-183.00M,,156.00M,1.00M,-155.00M,,1.362B,1.14B,1.00M,156.00M,-155.00M,-166.00M,-155.00M,819.00M,305.00M,514.00M,,,514.00M,628.85M,1.338B,363.00M,975.00M,,0.51,0.00,,0.6241,0.51,,0.505,0.00,,0.6183,0.505,,1.006B,1.014B,0.135,,AOR,Restated
2009-06,3.303B,3.303B,1.076B,2.227B,976.00M,976.00M,350.00M,,-39.00M,,150.00M,2.00M,-148.00M,,1.326B,901.00M,2.00M,150.00M,-148.00M,-20.00M,-148.00M,733.00M,268.00M,465.00M,,,465.00M,489.74M,1.233B,350.00M,883.00M,,0.46,0.00,,0.4846,0.46,,0.46,0.00,,0.4845,0.46,,1.006B,1.011B,0.135,,AOR,Restated
2009-03,3.415B,3.415B,1.107B,2.308B,1.07B,1.07B,341.00M,,-225.00M,,141.00M,2.00M,-139.00M,,1.411B,897.00M,2.00M,141.00M,-139.00M,-205.00M,-139.00M,553.00M,191.00M,362.00M,,,362.00M,509.29M,1.035B,341.00M,694.00M,,0.36,0.00,,0.5065,0.36,,0.36,0.00,,0.5059,0.36,,1.005B,1.009B,0.135,,AOR,Restated
2008-12,4.286B,4.286B,1.536B,2.75B,1.101B,1.101B,332.00M,,-181.00M,,127.00M,5.00M,-122.00M,,1.433B,1.317B,5.00M,127.00M,-122.00M,-161.00M,-122.00M,1.034B,376.00M,658.00M,,,658.00M,773.18M,1.493B,332.00M,1.161B,,0.65,0.00,,0.7645,0.65,,0.645,0.00,,0.7587,0.645,,1.006B,1.013B,0.135,,AOR,Restated
2008-09,4.846B,4.846B,1.942B,2.904B,1.123B,1.123B,348.00M,,-222.00M,,130.00M,4.00M,-126.00M,,1.471B,1.433B,4.00M,130.00M,-126.00M,-199.00M,-126.00M,1.108B,405.00M,703.00M,,,703.00M,843.85M,1.586B,348.00M,1.238B,,0.695,0.00,,0.8340,0.695,,0.69,0.00,,0.8277,0.69,,1.013B,1.023B,0.135,,AOR,Restated
2008-06,4.568B,4.568B,1.991B,2.577B,1.101B,1.101B,346.00M,,-204.00M,,128.00M,4.00M,-124.00M,,1.447B,1.13B,4.00M,128.00M,-124.00M,-184.00M,-124.00M,822.00M,291.00M,531.00M,,,531.00M,662.78M,1.296B,346.00M,950.00M,,0.515,0.00,,0.6431,0.515,,0.51,0.00,,0.6370,0.51,,1.029B,1.038B,0.11,,AOR,Restated
2008-03,4.27B,4.27B,1.084B,3.186B,1.374B,1.374B,340.00M,342.00M,17.00M,,126.00M,8.00M,-118.00M,,1.714B,1.472B,8.00M,126.00M,-118.00M,17.00M,-118.00M,687.00M,244.00M,443.00M,,,443.00M,432.04M,1.153B,340.00M,813.00M,,0.43,0.00,,0.4194,0.43,,0.425,0.00,,0.4145,0.425,,1.037B,1.046B,0.11,,AOR,Restated
2007-12,4.197B,4.197B,1.692B,2.505B,1.121B,1.121B,337.00M,,-182.00M,,125.00M,21.00M,-104.00M,,1.458B,1.047B,21.00M,125.00M,-104.00M,-164.00M,-104.00M,779.00M,288.00M,491.00M,,,491.00M,605.71M,1.241B,337.00M,904.00M,,0.47,0.00,,0.5796,0.47,,0.465,0.00,,0.5735,0.465,,1.047B,1.057B,0.11,,AOR,Restated
2007-09,4.191B,4.191B,1.607B,2.584B,1.095B,1.095B,332.00M,,-150.00M,,124.00M,8.00M,-116.00M,,1.427B,1.157B,8.00M,124.00M,-116.00M,-135.00M,-116.00M,906.00M,374.00M,532.00M,,,532.00M,629.50M,1.362B,332.00M,1.03B,,0.505,0.00,,0.5976,0.505,,0.50,0.00,,0.5917,0.50,,1.053B,1.063B,0.0875,,AOR,Restated
2007-06,4.046B,4.046B,1.585B,2.461B,1.145B,1.145B,327.00M,,-180.00M,,120.00M,12.00M,-108.00M,,1.472B,989.00M,12.00M,120.00M,-108.00M,-162.00M,-108.00M,703.00M,257.00M,446.00M,,,446.00M,560.20M,1.15B,327.00M,823.00M,,0.415,0.00,,0.5214,0.415,,0.41,0.00,,0.5154,0.41,,1.073B,1.083B,0.0875,,AOR,Restated
2007-03,3.849B,3.849B,,,,,325.00M,,15.00M,,,,,2.805B,3.13B,719.00M,,,,15.00M,,621.00M,235.00M,386.00M,,,386.00M,376.68M,1.044B,325.00M,719.00M,,0.3575,0.00,,0.3489,0.3575,,0.3525,0.00,,0.3440,0.3525,,1.082B,1.091B,0.0875,,AOR,Restated
2006-12,3.962B,3.962B,-179.00M,4.141B,-610.00M,-610.00M,315.00M,,-857.00M,,,,,,-5.182B,9.323B,,,,-774.00M,,749.00M,264.00M,485.00M,,,485.00M,1.040B,8.954B,315.00M,8.639B,,0.4475,0.00,,0.9604,0.4475,,0.4425,0.00,,0.9512,0.4425,,1.082B,1.091B,0.075,,AOR,Restated
2006-09,3.983B,3.983B,,,,,311.00M,,22.00M,,,,,2.92B,3.231B,752.00M,,,,22.00M,,655.00M,235.00M,420.00M,,,420.00M,405.89M,1.063B,311.00M,752.00M,,0.39,0.00,,0.3769,0.39,,0.385,0.00,,0.3720,0.385,,1.079B,1.088B,0.075,,AOR,Restated
2006-06,3.923B,3.923B,,,,,308.00M,,29.00M,,,,,2.898B,3.206B,717.00M,,,,29.00M,,626.00M,236.00M,390.00M,,,390.00M,371.93M,1.025B,308.00M,717.00M,,0.3625,0.00,,0.3457,0.3625,,0.36,0.00,,0.3434,0.36,,1.077B,1.088B,0.075,,AOR,Restated
2006-03,3.71B,3.71B,,,,,303.00M,,10.00M,,,,,2.802B,3.105B,605.00M,,,,10.00M,,495.00M,184.00M,311.00M,,,311.00M,304.72M,908.00M,303.00M,605.00M,,0.29,0.00,,0.2841,0.29,,0.2875,0.00,,0.2817,0.2875,,1.073B,1.084B,0.075,,AOR,Restated
2005-12,3.621B,3.621B,220.00M,3.401B,-557.00M,-557.00M,300.00M,,-357.00M,,,,,,-4.502B,7.903B,,,,-357.00M,,467.00M,171.00M,296.00M,,,296.00M,522.28M,7.937B,300.00M,7.637B,,0.2775,0.00,,0.4906,0.2775,,0.275,0.00,,0.4854,0.275,,1.062B,1.076B,0.075,,AOR,Restated
2005-09,3.461B,3.461B,1.949B,1.512B,1.667B,1.667B,294.00M,-356.00M,42.00M,,,,,1.484B,3.445B,-1.933B,,,,42.00M,,399.00M,30.00M,369.00M,,,369.00M,330.16M,-1.639B,294.00M,-1.933B,,0.35,0.00,,0.3132,0.35,,0.345,0.00,,0.3086,0.345,,1.056B,1.068B,0.075,,AOR,Restated
2005-06,3.344B,3.344B,,,,,292.00M,,29.00M,,,,,2.584B,2.876B,468.00M,,,,29.00M,,369.00M,136.00M,233.00M,,,233.00M,214.69M,760.00M,292.00M,468.00M,,0.2225,0.00,,0.2051,0.2225,,0.22,0.00,,0.2028,0.22,,1.051B,1.062B,0.075,,AOR,Restated
2005-03,3.152B,3.152B,1.804B,1.348B,1.642B,1.642B,289.00M,-353.00M,20.00M,,,,,1.356B,3.287B,-1.939B,,,,20.00M,,201.00M,73.00M,128.00M,,,128.00M,115.26M,-1.65B,289.00M,-1.939B,,0.1225,0.00,,0.1103,0.1225,,0.12,0.00,,0.1080,0.12,,1.046B,1.057B,0.075,,AOR,Restated
2004-12,3.217B,3.217B,-57.00M,3.274B,-664.00M,-664.00M,282.00M,,-672.00M,,,,,,-4.008B,7.282B,,,,-672.00M,,96.00M,17.00M,79.00M,,,79.00M,632.00M,6.958B,282.00M,6.676B,,0.075,0.00,,0.6073,0.075,,0.075,0.00,,0.6005,0.075,,1.039B,1.052B,0.075,,AOR,Restated
2004-09,3.076B,3.076B,1.677B,1.399B,1.553B,1.553B,278.00M,-354.00M,30.00M,,,,,1.252B,3.083B,-1.684B,,,,30.00M,,316.00M,114.00M,202.00M,,,202.00M,182.82M,-1.406B,278.00M,-1.684B,,0.195,0.00,,0.1765,0.195,,0.1925,0.00,,0.1742,0.1925,,1.036B,1.046B,0.075,,AOR,Restated
2004-06,3.029B,3.029B,,,,,277.00M,,8.00M,,,,,2.393B,2.67B,359.00M,,,,8.00M,,237.00M,79.00M,158.00M,,,158.00M,152.67M,636.00M,277.00M,359.00M,,0.1525,0.00,,0.1474,0.1525,,0.15,0.00,,0.1449,0.15,,1.036B,1.046B,0.075,,AOR,Restated
