,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2017-09,572.10M,,,,,144.90M,166.50M,311.40M,311.40M,33.40M,0.00,2.50M,-52.80M,56.10M,149.70M,,,,155.50M,,1.072B,-139.30M,2.30M,-137.00M,-18.10M,0.00,0.10M,-155.00M,0.00,-931.60M,-931.60M,13.20M,,13.20M,,,-97.10M,-97.10M,-13.40M,-1.029B,726.40M,-111.50M,33.70M,648.60M,13.20M,0.00,0.00,,,
2017-06,557.30M,,,,,142.90M,160.30M,303.20M,303.20M,37.80M,15.70M,-96.20M,11.50M,126.80M,20.80M,,,,62.90M,,1.010B,-147.90M,29.30M,-118.60M,-93.90M,,3.30M,-209.20M,1.122B,-1.953B,-831.00M,15.30M,,15.30M,,,-97.30M,-97.30M,-12.00M,-925.00M,803.90M,-123.70M,46.20M,726.40M,15.30M,1.684B,-562.40M,,,
2017-03,483.80M,,,,,139.50M,166.10M,305.60M,305.60M,33.60M,33.60M,168.30M,-56.90M,59.40M,-433.60M,,,,-262.80M,,560.20M,-158.60M,0.70M,-157.90M,,0.00,-5.80M,-163.70M,,-434.90M,-434.90M,20.50M,,20.50M,,,-86.60M,-86.60M,-89.70M,-590.70M,963.70M,-194.20M,34.40M,803.90M,20.50M,,,,,
2016-12,747.00M,,0.00,,0.00,149.10M,156.50M,305.60M,305.60M,33.50M,-84.30M,-88.30M,147.90M,-234.30M,109.50M,,,,-449.10M,0.00,649.00M,-167.50M,2.60M,-164.90M,-4.780B,0.00,,-4.924B,-126.40M,4.552B,4.426B,7.90M,,7.90M,,,-86.50M,-86.50M,-0.30M,4.347B,971.40M,72.50M,-80.20M,963.70M,7.90M,0.00,-126.40M,,,
2016-09,402.60M,,0.00,,178.80M,134.00M,143.20M,277.20M,277.20M,31.40M,31.40M,-33.30M,-33.60M,67.70M,-40.80M,,,,-40.00M,-31.80M,818.20M,-148.60M,2.00M,-146.60M,-6.90M,0.00,,-153.60M,-2.038B,-1.156B,-3.194B,11.80M,,11.80M,,,-110.50M,-110.50M,0.00,-3.778B,4.098B,-3.114B,-12.40M,971.40M,11.80M,0.00,-2.038B,,,
2016-06,418.00M,,0.00,,0.00,133.40M,144.20M,277.60M,277.60M,35.30M,35.30M,-145.00M,-19.30M,57.10M,357.70M,,,,250.50M,300.40M,1.282B,-150.90M,5.20M,-145.70M,2.00M,0.00,,-174.20M,2.475B,-100.90M,2.374B,100.90M,,100.90M,,,-110.10M,-110.10M,0.00,2.365B,664.30M,3.472B,-39.00M,4.098B,100.90M,2.979B,-503.80M,,,
2016-03,585.80M,,-223.40M,,-223.40M,128.50M,139.20M,267.70M,267.70M,29.60M,29.60M,83.50M,-85.60M,47.10M,-97.60M,,,,-52.60M,165.70M,772.80M,-122.60M,,-122.60M,-94.70M,264.80M,,8.30M,262.00M,-1.077B,-815.10M,43.90M,,43.90M,,,-92.70M,-92.70M,-26.70M,-890.60M,790.80M,-109.50M,-17.00M,664.30M,43.90M,262.30M,-0.30M,,,
2015-12,521.00M,,0.00,,0.00,134.60M,137.40M,272.00M,272.00M,26.90M,-73.30M,-84.30M,187.30M,-283.50M,484.90M,,,,120.20M,287.90M,1.232B,-161.30M,,-100.90M,-40.70M,0.00,-29.00M,-260.40M,699.10M,-2.637B,-1.938B,50.90M,,50.90M,,,-92.50M,-92.50M,0.00,-1.980B,1.834B,-1.008B,-34.20M,790.80M,50.90M,732.50M,-33.40M,,,
2015-09,-47.80M,,-12.40M,,-12.40M,76.40M,59.90M,136.30M,136.30M,18.40M,18.40M,83.80M,61.80M,117.30M,-99.80M,,,,163.10M,695.00M,952.60M,-98.40M,,-98.40M,-13.61B,43.00M,28.40M,-13.75B,4.950B,6.408B,11.36B,66.60M,,66.60M,,,-95.70M,-95.70M,0.00,11.33B,3.342B,-1.471B,-37.40M,1.834B,66.60M,4.950B,-0.30M,,,
2015-06,715.50M,,,,,138.00M,99.00M,237.00M,237.00M,28.20M,28.20M,-102.90M,8.50M,70.50M,144.50M,,,,120.60M,-7.30M,1.094B,-136.20M,,-136.20M,-110.20M,0.00,3.30M,-246.90M,-0.60M,-12.40M,-13.00M,69.90M,,69.90M,,,-95.50M,-95.50M,0.00,-38.60M,2.511B,808.50M,22.50M,3.342B,69.90M,0.00,-0.60M,,,
2015-03,558.00M,,,,,135.00M,100.50M,235.50M,235.50M,30.30M,30.30M,104.20M,-111.10M,26.80M,-314.10M,,,,-294.20M,-6.00M,523.60M,-117.00M,,-117.00M,-482.60M,-87.10M,3.20M,-690.70M,-1.20M,-247.50M,-248.70M,61.60M,,61.60M,,,-70.40M,-70.40M,-3.30M,-260.80M,3.006B,-427.90M,-66.70M,2.511B,61.60M,0.00,-1.20M,,,
2014-12,-254.90M,,-65.20M,,-65.20M,44.30M,9.30M,53.60M,53.60M,1.70M,1.70M,63.80M,157.90M,-253.30M,314.90M,,,,485.20M,1.019B,1.239B,-56.10M,,-56.10M,-2.207B,129.70M,-4.20M,-2.446B,-9.80M,323.50M,313.70M,57.90M,,57.90M,,,-70.30M,-70.30M,,280.40M,4.025B,-926.30M,-93.40M,3.006B,57.90M,0.00,-9.80M,,,
2014-09,637.50M,,-38.20M,,-38.20M,132.00M,72.40M,204.40M,204.40M,28.00M,28.00M,52.20M,-30.30M,27.10M,67.20M,,,,116.20M,68.20M,1.016B,-130.70M,,-130.70M,-25.70M,12.40M,9.50M,-149.10M,-1.30M,2.10M,0.80M,14.10M,,14.10M,,,-70.00M,-70.00M,,-55.10M,3.321B,811.90M,-107.70M,4.025B,14.10M,0.00,-1.30M,,,
2014-06,676.40M,,-19.20M,,-19.20M,140.40M,95.00M,235.40M,235.40M,26.00M,26.00M,-152.80M,8.20M,45.20M,172.50M,,,,73.10M,,991.70M,-147.70M,,-147.70M,-443.90M,25.00M,2.20M,-564.40M,-402.60M,-16.50M,-419.10M,30.90M,,30.90M,,,-70.00M,-70.00M,,-458.20M,3.346B,-30.90M,5.50M,3.321B,30.90M,,-402.60M,,,
2014-03,579.70M,,,,,132.20M,92.50M,224.70M,224.70M,29.00M,29.00M,-5.90M,-67.00M,36.20M,-285.50M,,,,-322.20M,,511.20M,-130.90M,,-130.90M,-162.80M,0.00,9.00M,-284.70M,-1.00M,3.10M,2.10M,30.00M,,30.00M,,,-17.40M,-17.40M,,14.70M,3.115B,241.20M,-9.90M,3.346B,30.00M,,-1.00M,,,
2013-12,684.90M,,-201.50M,,-201.50M,121.30M,67.60M,188.90M,188.90M,23.90M,23.90M,-29.80M,162.50M,-270.20M,125.30M,,,,264.10M,,1.078B,-146.30M,,-146.30M,-13.90M,266.60M,1.20M,19.50M,-0.90M,4.70M,3.80M,28.70M,,28.70M,,,-17.40M,-17.40M,,15.10M,1.996B,1.113B,6.80M,3.115B,28.70M,,-0.90M,,,
2013-09,597.00M,0.00,0.00,,0.00,133.40M,91.90M,225.30M,225.30M,29.60M,29.60M,23.50M,-6.50M,43.90M,58.60M,,,,119.50M,,971.40M,-139.30M,,-139.30M,-546.00M,0.00,2.30M,-683.00M,-656.50M,0.00,-656.50M,38.70M,,38.70M,,,-17.40M,-17.40M,,-635.20M,2.325B,-346.80M,17.50M,1.996B,38.70M,,-656.50M,,,
2013-06,616.80M,229.80M,-229.80M,,0.00,129.50M,90.10M,219.60M,219.60M,28.30M,28.30M,-134.80M,-23.10M,69.80M,122.60M,,,,34.50M,,899.20M,-136.20M,,-136.20M,-1.002B,692.00M,3.00M,-443.70M,-309.90M,-3.70M,-313.60M,55.70M,,55.70M,,,-17.30M,-17.30M,,-275.20M,2.151B,180.30M,-6.10M,2.325B,55.70M,,-309.90M,,,
2013-03,691.90M,-229.80M,,,-229.80M,127.50M,89.30M,216.80M,216.80M,27.80M,27.80M,105.90M,-89.40M,43.60M,-196.90M,,,,-136.80M,,636.50M,-116.30M,,-116.30M,679.90M,,-8.90M,554.70M,-0.50M,-764.30M,-764.80M,54.30M,,54.30M,,,0.00,0.00,,-710.50M,1.679B,480.70M,-8.70M,2.151B,54.30M,,-0.50M,,,
2012-12,630.40M,,,6.10M,6.10M,129.30M,90.10M,219.40M,219.40M,30.50M,30.50M,-214.20M,123.30M,-210.40M,60.80M,,,,-55.60M,-31.10M,799.70M,-124.90M,,-124.90M,-824.00M,,6.80M,-942.10M,-58.10M,690.90M,632.80M,68.80M,-389.90M,-321.10M,,,-34.40M,-34.40M,,277.30M,1.541B,134.90M,2.50M,1.679B,68.80M,,-58.10M,-389.90M,,
2012-09,548.70M,0.00,,-6.10M,-6.10M,123.70M,86.90M,210.60M,210.60M,29.00M,29.00M,141.20M,-26.90M,33.80M,45.10M,,,,193.20M,-14.20M,961.20M,-104.90M,,-104.90M,-27.70M,,9.10M,-123.50M,-1.20M,-185.00M,-186.20M,38.90M,-258.50M,-219.60M,,,-17.30M,-17.30M,,-423.10M,1.118B,414.60M,8.50M,1.541B,38.90M,,-1.20M,-258.50M,,
2012-06,600.20M,0.00,,-16.10M,-16.10M,123.80M,83.70M,207.50M,207.50M,26.70M,26.70M,-104.40M,49.50M,-8.30M,289.40M,,,,226.20M,-35.70M,1.009B,-110.70M,,-110.70M,-889.40M,,11.40M,-988.70M,-0.80M,52.90M,52.10M,33.30M,,33.30M,,,-17.40M,-17.40M,,68.00M,1.043B,88.10M,-13.20M,1.118B,33.30M,,-0.80M,,,
2012-03,520.00M,0.00,,-9.30M,-9.30M,121.00M,81.30M,202.30M,202.30M,23.70M,23.70M,97.70M,-76.10M,84.60M,-191.50M,,,,-85.30M,-6.10M,645.30M,-117.80M,,-117.80M,-55.70M,,2.70M,166.70M,-1.40M,-362.90M,-364.30M,71.00M,,71.00M,,,-17.30M,-17.30M,,-310.60M,537.00M,501.40M,4.90M,1.043B,71.00M,,-1.40M,,,
2011-12,563.57M,,,5.659M,5.659M,121.13M,82.56M,203.70M,203.70M,23.98M,23.98M,-135.85M,148.41M,-171.90M,-92.70M,,,,19.35M,10.97M,827.23M,-119.68M,-10.28M,-129.96M,-123.71M,,,-243.55M,-7.791M,-562.07M,-569.86M,52.23M,0.00,52.23M,,,,-17.17M,,-534.80M,484.37M,48.87M,3.745M,537.00M,52.23M,0.036M,-7.827M,0.00,-367.89M,-108.55M
2011-09,515.41M,,,-7.473M,-7.473M,124.60M,83.10M,207.69M,207.69M,25.65M,25.65M,21.22M,41.26M,17.60M,-133.18M,,,,-53.10M,11.76M,699.94M,-109.72M,6.854M,-102.87M,-30.81M,,,-121.39M,-1.593B,953.92M,-638.63M,9.95M,0.00,9.95M,,,,-17.16M,,-645.83M,551.58M,-67.28M,0.065M,484.37M,9.95M,-462.15M,-1.593B,0.00,205.19M,70.11M
2011-06,439.55M,,,-2.111M,-2.111M,56.41M,63.08M,119.49M,119.49M,23.19M,23.19M,-74.42M,11.82M,13.70M,262.18M,,,,213.27M,-130.73M,662.65M,-58.80M,1.021M,-57.77M,-5.539B,,,-4.917B,1.786B,444.88M,2.231B,999.84M,,999.84M,,,,-13.70M,,3.217B,1.594B,-1.038B,-3.999M,551.58M,999.84M,2.231B,0.00,,162.70M,38.44M
2011-03,416.78M,,,-14.48M,-14.48M,48.56M,55.56M,104.12M,104.12M,22.78M,22.78M,53.76M,-39.48M,29.61M,-138.80M,,,,-94.92M,2.204M,436.48M,-46.31M,2.41M,-43.90M,-517.42M,,,-564.96M,-2.021M,17.27M,15.25M,50.48M,,50.48M,,,,-13.27M,,52.46M,1.633B,-76.01M,36.59M,1.594B,50.48M,17.27M,-2.021M,,,
2010-12,429.53M,,,-12.25M,-12.21M,47.51M,54.19M,101.70M,101.70M,22.15M,22.15M,-170.90M,39.21M,-55.15M,149.70M,,,,0.463M,31.71M,573.33M,-50.92M,0.889M,-50.03M,-550.36M,,-40.00M,-621.54M,-9.40M,9.131M,-0.269M,61.20M,,61.20M,,,,-13.11M,,47.82M,1.635B,-0.391M,-1.63M,1.633B,61.20M,9.131M,-9.40M,,,
2010-09,633.80M,,,-10.55M,-301.59M,45.83M,50.05M,95.88M,95.88M,25.07M,25.07M,-16.34M,-43.50M,-1.089M,168.69M,,,,107.76M,18.34M,579.27M,-51.06M,0.084M,-50.98M,-124.32M,,40.00M,-177.12M,0.00,-30.67M,-30.67M,24.35M,,24.35M,,,,-13.08M,,-19.40M,1.233B,382.74M,19.36M,1.635B,24.35M,-30.67M,0.00,,-114.44M,-39.19M
2010-06,362.12M,,,0.00,0.00,49.34M,48.40M,97.73M,97.73M,24.40M,24.40M,-102.01M,-83.54M,82.13M,139.81M,,,,36.40M,17.27M,537.92M,-51.83M,0.296M,-51.54M,-135.28M,,,-188.92M,2.919M,29.06M,31.98M,62.54M,,62.54M,,,,-13.05M,,81.47M,806.37M,430.47M,-3.903M,1.233B,62.54M,21.54M,10.44M,,107.58M,2.622M
2010-03,292.75M,,,0.00,0.00,47.03M,45.97M,92.99M,92.99M,16.48M,16.48M,38.35M,-73.88M,41.61M,-12.80M,,,,-6.724M,-1.619M,393.88M,-37.28M,0.331M,-36.95M,-1.263B,,,-1.301B,-2.919M,-7.522M,-10.44M,30.31M,,30.31M,,,,-12.96M,,6.91M,1.722B,-900.52M,-15.03M,806.37M,30.31M,,-10.44M,,6.863M,36.57M
2009-12,-884.77M,,,0.00,0.00,46.02M,43.17M,89.19M,89.19M,20.43M,1.152B,-39.68M,99.00M,33.80M,25.66M,,,,118.79M,,495.34M,-73.13M,2.703M,-70.43M,-422.14M,-16.00M,,-498.78M,-17.36M,11.38M,-5.977M,77.64M,,77.64M,,,,-12.94M,,58.72M,1.636B,55.29M,30.40M,1.722B,77.64M,0.00,-5.977M,,-159.59M,-86.18M
2009-09,351.36M,,,0.00,0.00,46.85M,38.80M,85.65M,85.65M,21.23M,-130.44M,-57.99M,21.55M,77.20M,88.90M,,,,129.65M,,503.15M,-31.47M,1.221M,-30.25M,-141.00M,0.00,,-171.25M,-2.677M,10.79M,8.109M,49.83M,,49.83M,,,,-9.628M,,48.31M,1.258B,380.21M,-2.388M,1.636B,49.83M,0.00,8.109M,,60.18M,67.80M
2009-06,295.69M,,,,,46.27M,39.68M,85.95M,85.95M,21.76M,21.76M,4.92M,93.02M,-44.38M,28.71M,,,,82.26M,,485.66M,-47.54M,1.832M,-45.70M,-140.37M,-16.79M,,-202.86M,-0.35M,-45.85M,-46.20M,29.56M,,29.56M,,,,-9.586M,,-26.23M,975.94M,256.58M,25.89M,1.258B,29.56M,0.00,-46.20M,,65.61M,1.531M
2009-03,237.71M,,,,,45.39M,35.40M,80.80M,80.80M,23.93M,23.93M,198.89M,-1.974M,75.78M,-298.45M,,,,-25.76M,,316.68M,-36.41M,0.334M,-36.07M,0.00,-33.98M,,-70.05M,740.82M,-422.03M,318.79M,17.20M,,17.20M,,,,-9.562M,,326.42M,392.85M,573.05M,10.04M,975.94M,17.20M,744.62M,-425.83M,,33.81M,16.86M
2008-12,305.69M,,,,,48.87M,35.36M,84.23M,84.23M,21.98M,21.98M,153.70M,97.23M,-148.69M,-32.48M,,,,97.46M,,509.36M,-75.60M,0.172M,-75.43M,-182.02M,48.50M,-48.50M,-257.45M,-224.95M,167.58M,-57.37M,10.24M,,-63.93M,,,,-9.551M,,-130.85M,286.52M,121.06M,-14.72M,392.85M,10.24M,24.23M,-81.60M,,-253.28M,-59.97M
2008-09,371.99M,,,,,47.35M,37.18M,84.53M,84.53M,64.02M,21.62M,-45.06M,4.033M,52.68M,-12.88M,,-42.18M,,-43.40M,,434.74M,-34.31M,0.417M,-33.90M,-139.64M,0.00,0.00,-173.54M,38.25M,-1.073B,-280.09M,29.29M,,29.29M,,,,-9.588M,,-260.39M,284.10M,0.814M,1.605M,286.52M,29.29M,48.43M,-1.083B,,253.28M,59.97M
2008-06,363.45M,,,,,47.70M,35.74M,83.44M,83.44M,,21.57M,18.13M,-7.89M,8.352M,44.41M,,50.32M,,113.32M,,581.77M,-44.91M,0.277M,-44.63M,-38.98M,,0.00,-83.61M,,,-451.62M,15.62M,,15.62M,,,,-9.567M,,-445.57M,233.82M,52.59M,-2.305M,284.10M,15.62M,,,,,
2008-03,276.50M,,,,,50.08M,37.01M,87.09M,87.09M,,20.83M,-55.36M,-60.26M,82.88M,-10.38M,,-8.15M,,-51.27M,,333.16M,-38.96M,0.222M,-38.74M,-62.57M,,48.50M,-52.80M,,,-303.18M,27.29M,,27.29M,,,,-9.553M,,-285.44M,239.11M,-5.083M,-0.206M,233.82M,27.29M,,,,,
2007-12,164.32M,,,,,173.94M,94.55M,78.08M,78.08M,,22.56M,0.763M,73.87M,-119.88M,74.45M,,91.38M,,150.45M,155.91M,571.31M,-61.88M,1.419M,-60.47M,-2.786B,-21.58M,23.22M,-2.845B,,,1.741B,567.76M,0.00,567.76M,,,,-9.54M,,2.300B,209.28M,26.10M,3.725M,239.11M,567.76M,,,0.00,,
2007-09,483.72M,,,,,,,63.03M,63.03M,,15.74M,-47.29M,-18.28M,67.59M,17.99M,,9.736M,,29.75M,-209.44M,382.80M,-29.80M,2.38M,-27.42M,-417.62M,299.64M,-23.22M,-169.34M,,,-278.72M,103.42M,0.00,103.42M,,,,-9.311M,,-184.61M,174.14M,28.84M,6.298M,209.28M,103.42M,,,0.00,,
2007-06,311.15M,,,,,-41.76M,-21.28M,64.34M,64.34M,,17.62M,-39.30M,5.839M,63.17M,35.44M,,-92.40M,,-27.25M,2.897M,368.77M,-39.21M,11.50M,-27.71M,-75.96M,,,-103.40M,,,-186.51M,25.09M,-117.49M,-92.40M,,,,-9.242M,,-288.15M,197.56M,-22.78M,-0.637M,174.14M,25.09M,,,-117.49M,,
2007-03,254.80M,,,,,41.76M,21.28M,63.05M,63.05M,,17.42M,13.27M,-23.33M,27.72M,-18.43M,,-8.716M,,-9.482M,-2.897M,322.90M,-31.17M,0.24M,-30.93M,-297.02M,,,-328.22M,,,-145.22M,36.76M,,36.76M,,,,-6.182M,,-114.65M,317.81M,-119.97M,-0.274M,197.56M,36.76M,,,,,
2006-12,332.83M,,,,,,,63.13M,63.13M,,17.67M,-20.33M,51.13M,-111.00M,75.92M,,38.03M,,33.75M,-8.337M,463.20M,-37.84M,2.119M,-35.72M,-482.86M,-84.10M,84.10M,-519.15M,,,94.36M,20.14M,,20.14M,,,,-6.164M,,108.34M,263.95M,52.38M,1.476M,317.81M,20.14M,,,,,
2006-09,258.96M,,,,,,,54.30M,54.30M,,19.96M,-32.78M,-7.232M,16.30M,19.72M,,91.16M,,87.18M,12.04M,432.42M,-39.25M,4.725M,-34.53M,-46.26M,0.00,0.00,-81.50M,,,-383.06M,17.87M,,17.87M,,,,-6.155M,,-371.35M,284.73M,-20.43M,-0.351M,263.95M,17.87M,,,,,
2006-06,314.52M,,,,-13.70M,,,51.90M,51.90M,,29.56M,-38.03M,6.679M,43.84M,-35.02M,,-45.35M,,-67.88M,,314.41M,-31.74M,2.493M,-29.24M,-1.999B,98.48M,0.00,-1.930B,,,1.610B,31.95M,,31.95M,,,,-6.147M,,1.636B,260.82M,20.99M,2.918M,284.73M,31.95M,,,,,
2006-03,215.72M,,,,13.70M,,,46.37M,46.37M,,,42.88M,-46.89M,35.89M,15.30M,,14.24M,,61.43M,,337.22M,-27.58M,0.651M,-26.93M,-128.12M,,-84.10M,-239.15M,,,-176.62M,28.45M,,28.45M,,,,-6.123M,,-154.29M,315.55M,-56.22M,1.494M,260.82M,28.45M,,,,,
2005-12,251.70M,,,,,,,41.62M,41.62M,,,-52.39M,61.14M,-101.24M,64.90M,,-77.14M,,-104.72M,,301.35M,779.71M,3.288M,783.00M,-907.18M,,,-103.56M,,,-14.32M,22.19M,-160.99M,-138.80M,,,,-6.111M,,-159.24M,275.62M,38.55M,1.378M,315.55M,22.19M,,,-160.99M,,
