,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2010-07,1.103B,1.103B,528.03M,575.24M,,524.64M,,-6.65M,39.71M,0.481M,-39.22M,88.10M,612.74M,-37.50M,0.481M,39.71M,-39.22M,-6.65M,-39.22M,-83.37M,-12.75M,-70.62M,,,,-70.62M,-64.99M,6.509M,50.17M,-43.66M,,-1.07,0.00,,-0.9845,-1.07,,-1.07,0.00,,-0.9845,-1.07,,65.88M,65.88M,0.0375,,AOR,Restated
2010-04,619.04M,619.04M,302.01M,317.03M,,287.20M,,-52.39M,8.382M,0.107M,-8.275M,,287.20M,29.83M,0.107M,8.382M,-8.275M,-52.39M,-8.275M,-30.83M,-3.219M,-27.61M,,,,-27.61M,19.31M,-10.38M,12.07M,-22.45M,,-0.53,0.00,,0.3675,-0.53,,-0.53,0.00,,0.3675,-0.53,,52.28M,52.28M,0.0375,,AOR,Restated
2010-01,614.58M,614.58M,307.24M,307.35M,,254.53M,,0.00,8.41M,0.159M,-8.251M,,254.53M,52.81M,0.159M,8.41M,-8.251M,,-8.251M,44.56M,17.54M,27.02M,,,,27.02M,27.02M,65.16M,12.19M,52.97M,,0.53,0.00,,0.53,0.53,,0.50,0.00,,0.50,0.50,,49.62M,53.09M,0.0375,,AOR,Restated
2009-10,697.44M,697.44M,359.77M,337.67M,,247.24M,0.00,0.00,8.37M,0.237M,-8.133M,,247.24M,90.44M,0.237M,8.37M,-8.133M,,-8.133M,82.30M,-1.316M,83.62M,,,,83.62M,83.62M,103.17M,12.49M,90.67M,,1.62,0.00,,1.62,1.62,,1.58,0.00,,1.58,1.58,,51.67M,52.86M,0.0375,,AOR,Restated
2009-07,529.28M,529.28M,263.53M,265.76M,,214.31M,,0.00,8.378M,0.393M,-7.985M,,214.31M,51.45M,0.393M,8.378M,-7.985M,,-7.985M,43.46M,16.91M,26.56M,,,,26.56M,26.56M,64.57M,12.73M,51.84M,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,51.60M,52.19M,0.0375,,AOR,Restated
2009-04,557.42M,557.42M,285.60M,271.83M,,222.71M,,,8.366M,0.506M,-7.86M,,222.71M,49.11M,0.506M,8.366M,-7.86M,,-7.86M,41.25M,16.54M,24.71M,,,,24.71M,24.71M,62.10M,12.48M,49.62M,,0.48,0.00,,0.48,0.48,,0.48,0.00,,0.48,0.48,,51.51M,51.88M,0.0375,,AOR,Restated
2009-01,484.58M,484.58M,243.01M,241.58M,,219.43M,,-1.864M,8.274M,-3.585M,-11.86M,,219.43M,22.15M,-3.585M,8.274M,-11.86M,,-11.86M,8.426M,-23.78M,32.20M,,,,32.20M,33.42M,25.74M,9.038M,16.70M,,0.62,,,0.6432,0.62,,0.60,,,0.6229,0.60,,52.32M,52.99M,0.0375,,AOR,Restated
2008-10,727.48M,727.48M,386.18M,341.30M,,254.83M,,0.00,8.486M,1.455M,-7.031M,,254.83M,86.47M,1.455M,8.486M,-7.031M,,-7.031M,79.44M,25.74M,53.70M,,,,53.70M,53.70M,101.58M,13.66M,87.92M,,1.04,0.00,,1.04,1.04,,1.03,0.00,,1.03,1.03,,51.47M,52.29M,0.0375,,,Restated
2008-07,560.97M,560.97M,272.03M,288.94M,,234.45M,,0.00,8.388M,1.561M,-6.827M,,234.45M,54.49M,1.561M,8.388M,-6.827M,,-6.827M,47.66M,18.45M,29.21M,,,,29.21M,29.21M,69.90M,13.86M,56.05M,,0.57,0.00,,0.57,0.57,,0.56,0.00,,0.56,0.56,,51.43M,52.46M,0.0375,,,Restated
2008-04,625.70M,625.70M,314.91M,310.79M,,230.08M,,1.864M,,,,,230.08M,80.71M,,,,1.864M,,76.06M,29.26M,46.80M,,,,46.80M,45.65M,94.04M,13.34M,80.71M,,0.91,0.00,,0.8877,0.91,,0.90,0.00,,0.8779,0.90,,51.43M,52.00M,0.0375,,,
2008-01,584.52M,584.52M,292.17M,292.35M,,239.64M,,,,,,,236.30M,56.05M,,,,,,48.23M,17.90M,30.33M,,,,30.33M,30.33M,85.60M,12.81M,72.80M,,0.57,0.00,,0.57,0.57,,0.56,0.00,,0.56,0.56,,54.04M,55.05M,0.0375,,,Restated
2007-10,696.37M,696.37M,367.76M,328.61M,,226.31M,,,,,,,226.31M,102.30M,,,,,,98.19M,37.31M,60.88M,,,,60.88M,60.88M,113.93M,11.64M,102.30M,,1.08,0.00,,1.08,1.08,,1.05,0.00,,1.05,1.05,,56.48M,57.83M,0.0375,,,
2007-07,552.38M,552.38M,274.92M,277.45M,,209.52M,,,,,,,209.52M,67.94M,,,,,,63.99M,24.89M,39.10M,,,,39.10M,39.10M,79.16M,11.22M,67.94M,,0.69,0.00,,0.69,0.69,,0.68,0.00,,0.68,0.68,,56.67M,57.50M,0.0375,,,
2007-04,591.91M,591.91M,299.33M,292.57M,,207.03M,,3.335M,,,,,207.03M,85.54M,,,,3.335M,,84.40M,31.40M,53.01M,,,,53.01M,50.91M,96.47M,10.92M,85.54M,,0.95,0.00,,0.9125,0.95,,0.92,0.00,,0.8836,0.92,,55.80M,57.62M,0.0375,,,
2007-01,557.02M,557.02M,277.41M,279.61M,,232.45M,,0.00,,,,,232.45M,47.16M,,,,0.00,,44.19M,17.43M,26.76M,,,10.95M,26.76M,26.76M,57.71M,10.55M,47.16M,,0.47,0.00,,0.47,0.47,,0.45,0.00,,0.45,0.45,,55.68M,57.31M,0.0375,,,
2006-10,568.26M,568.26M,287.88M,280.38M,,195.74M,,,,,,,195.74M,84.64M,,,,,,80.72M,29.95M,50.77M,,,,50.77M,50.77M,93.65M,9.006M,84.64M,,0.92,0.00,,0.92,0.92,,0.89,0.00,,0.89,0.89,,55.43M,56.81M,0.0375,,,
2006-07,458.93M,458.93M,231.78M,227.15M,,177.38M,,0.675M,,,,-0.675M,176.71M,50.44M,,,,0.675M,,46.03M,17.08M,28.95M,,,,28.95M,28.53M,59.50M,9.055M,50.44M,,0.33,0.00,,0.3202,0.33,,0.33,0.00,,0.3219,0.33,,43.35M,52.32M,0.0375,,,
2006-04,506.44M,506.44M,263.71M,242.72M,,191.03M,,31.37M,,,,,191.03M,51.70M,,,,31.37M,,77.50M,28.75M,48.74M,,,3.23M,48.74M,29.01M,60.99M,9.292M,51.70M,,1.05,0.00,,0.5948,1.05,,0.87,0.00,,0.4929,0.87,,43.35M,52.32M,0.0375,,,
2006-01,460.09M,460.09M,237.83M,222.26M,,179.77M,,,,,,,179.77M,42.49M,,,,,,36.46M,13.55M,22.92M,,,3.23M,22.92M,22.92M,51.97M,9.487M,42.49M,,0.44,0.00,,0.44,0.44,,0.41,0.00,,0.41,0.41,,42.65M,55.76M,0.0375,,,
