,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.844B,4.286B,22.94B,27.22B,347.00M,,347.00M,27.57B,,,,,,,,2.05B,4.904B,518.00M,5.422B,80.97B,838.00M,,80.13B,24.50B,119.92B,124.56B,,1.40B,1.40B,1.40B,1.40B,9.89B,9.89B,95.28B,,105.17B,108.78B,,832.00M,2.182B,15.39B,1.371B,820.00M,-1.255B,15.78B,,AOR,Restated
2018-03,1.766B,3.185B,23.08B,26.27B,328.00M,,328.00M,26.60B,,,,,,,,2.065B,4.904B,523.00M,5.427B,80.27B,840.00M,,79.43B,24.70B,119.40B,122.91B,,,,,,7.949B,7.949B,96.99B,,104.94B,107.05B,,832.00M,1.923B,15.64B,1.377B,820.00M,-1.151B,15.87B,,AOR,Restated
2017-12,2.012B,3.911B,23.40B,27.31B,337.00M,,337.00M,27.72B,484.00M,1.751B,1.606B,249.00M,388.00M,4.478B,-2.414B,2.064B,4.904B,513.00M,5.417B,80.30B,934.00M,,79.36B,25.06B,119.98B,124.29B,,500.00M,500.00M,500.00M,500.00M,8.132B,8.132B,96.89B,,105.02B,108.10B,,832.00M,1.628B,15.86B,1.377B,820.00M,-749.00M,16.19B,,AOR,Restated
2017-09,1.829B,3.761B,23.66B,27.42B,319.00M,,319.00M,27.74B,,,,,,,,2.057B,4.904B,522.00M,5.426B,79.74B,1.041B,,78.70B,25.56B,119.19B,123.27B,,600.00M,600.00M,600.00M,600.00M,6.102B,6.102B,97.59B,,103.69B,106.65B,,832.00M,1.279B,16.34B,1.377B,820.00M,-454.00M,16.62B,,AOR,Restated
2017-06,1.873B,4.131B,23.61B,27.74B,313.00M,,313.00M,28.05B,,,,,,,,2.06B,4.904B,544.00M,5.448B,80.70B,1.041B,,79.66B,25.54B,120.20B,124.64B,,600.00M,600.00M,600.00M,600.00M,6.765B,6.765B,98.09B,,104.86B,107.75B,,832.00M,1.089B,16.83B,1.377B,820.00M,-479.00M,16.89B,,AOR,Restated
2017-03,1.736B,4.374B,23.52B,27.90B,308.00M,,308.00M,28.20B,,,,,,,,2.088B,4.904B,535.00M,5.439B,80.38B,1.061B,,79.32B,25.42B,119.86B,124.54B,,,,,,6.01B,6.01B,99.42B,,105.43B,107.82B,,832.00M,873.00M,16.96B,1.377B,820.00M,-565.00M,16.72B,,AOR,Restated
2016-12,1.853B,5.436B,23.78B,29.22B,319.00M,,319.00M,29.55B,490.00M,1.73B,1.622B,214.00M,387.00M,4.443B,-2.347B,2.096B,4.904B,545.00M,5.449B,80.81B,1.091B,,79.72B,25.27B,120.20B,125.97B,,0.00,0.00,0.00,0.00,7.763B,7.763B,99.04B,,106.80B,109.30B,,833.00M,666.00M,17.09B,1.377B,820.00M,-550.00M,16.66B,,AOR,Restated
2016-09,1.928B,4.238B,23.86B,28.10B,305.00M,,305.00M,28.40B,,,,,,,,2.075B,4.882B,466.00M,5.348B,81.45B,1.126B,,80.33B,25.41B,120.63B,125.18B,,0.00,0.00,0.00,0.00,6.054B,6.054B,99.29B,,105.34B,107.81B,,833.00M,465.00M,17.34B,1.377B,820.00M,105.00M,17.36B,,AOR,Restated
2016-06,1.867B,4.237B,23.49B,27.73B,312.00M,,312.00M,28.04B,,,,,,,,2.091B,4.882B,456.00M,5.338B,82.25B,1.151B,,81.10B,25.26B,121.66B,126.21B,,2.00M,2.00M,2.00M,2.00M,8.968B,8.968B,97.24B,,106.21B,108.83B,,833.00M,242.00M,17.54B,1.377B,820.00M,148.00M,17.38B,,AOR,Restated
2016-03,1.708B,4.39B,23.10B,27.48B,314.00M,,314.00M,27.80B,,,,,,,,2.134B,4.878B,485.00M,5.363B,81.96B,1.151B,,80.81B,25.11B,120.84B,125.54B,,0.00,0.00,0.00,0.00,7.851B,7.851B,98.15B,,106.00B,108.33B,,833.00M,62.00M,17.72B,1.377B,820.00M,-23.00M,17.21B,,AOR,Restated
2015-12,1.382B,5.314B,22.71B,28.02B,319.00M,,319.00M,28.34B,488.00M,1.762B,1.496B,222.00M,404.00M,4.372B,-2.22B,2.152B,4.878B,512.00M,5.39B,81.61B,1.106B,,80.50B,24.80B,120.42B,126.05B,,10.00M,10.00M,10.00M,10.00M,8.349B,8.349B,98.43B,,106.78B,109.21B,,833.00M,-115.00M,17.88B,1.377B,820.00M,-380.00M,16.84B,,AOR,Restated
2015-09,1.726B,4.943B,22.71B,27.66B,316.00M,,316.00M,28.04B,,,,,,,,2.122B,4.831B,504.00M,5.335B,81.52B,1.115B,,80.40B,24.82B,119.46B,124.79B,,0.00,0.00,0.00,0.00,7.364B,7.364B,97.18B,,104.54B,107.84B,,849.00M,-400.00M,18.02B,1.377B,836.00M,-139.00M,16.95B,,AOR,Restated
2015-06,1.661B,3.755B,22.67B,26.43B,305.00M,,305.00M,26.73B,,,,,,,,2.147B,4.816B,536.00M,5.352B,80.66B,1.115B,,79.54B,24.85B,117.80B,121.86B,,1.75B,1.75B,1.75B,1.846B,3.602B,3.602B,97.08B,,100.68B,104.96B,,866.00M,-658.00M,18.36B,1.377B,852.00M,-287.00M,16.90B,,AOR,Restated
2015-03,1.737B,5.961B,22.88B,28.84B,313.00M,,313.00M,29.22B,,,,,,,,2.174B,4.816B,511.00M,5.327B,78.73B,1.098B,,77.64B,25.12B,116.11B,122.45B,,0.00,0.00,0.00,2.085B,3.208B,3.208B,97.48B,,100.68B,105.40B,,882.00M,-943.00M,18.60B,1.377B,868.00M,-115.00M,17.05B,,AOR,Restated
2014-12,1.601B,3.904B,22.05B,25.96B,310.00M,,310.00M,26.37B,521.00M,1.768B,1.468B,176.00M,405.00M,4.338B,-2.145B,2.193B,4.816B,532.00M,5.348B,77.85B,1.103B,,76.74B,24.33B,115.25B,119.56B,,500.00M,500.00M,500.00M,2.253B,3.462B,3.462B,94.20B,,97.66B,102.69B,,898.00M,-1.177B,18.77B,1.377B,884.00M,-238.00M,16.87B,,AOR,Restated
2014-09,1.77B,4.763B,22.38B,27.14B,310.00M,,310.00M,27.47B,,,,,,,,2.192B,4.816B,564.00M,5.38B,77.11B,1.178B,,75.93B,24.70B,114.13B,119.23B,,,,,1.893B,3.813B,3.813B,94.13B,,97.94B,102.07B,,914.00M,-1.272B,19.07B,1.377B,900.00M,-174.00M,17.16B,,AOR,Restated
2014-06,2.094B,4.799B,21.96B,26.76B,308.00M,,308.00M,27.09B,,,,,,,,2.194B,4.816B,557.00M,5.373B,77.03B,1.229B,,75.80B,24.34B,113.59B,118.72B,,,,,1.818B,3.824B,3.824B,93.82B,,97.65B,101.69B,,934.00M,-1.597B,19.12B,1.377B,920.00M,-52.00M,17.03B,,AOR,Restated
2014-03,2.072B,5.186B,21.62B,26.80B,316.00M,,316.00M,27.13B,,,,,,,,2.194B,4.816B,582.00M,5.398B,76.08B,1.261B,,74.81B,24.05B,112.42B,117.93B,,,,,1.981B,4.226B,4.226B,93.39B,,97.62B,101.80B,,456.00M,-1.897B,19.18B,1.377B,442.00M,-229.00M,16.13B,,AOR,Restated
2013-12,1.661B,5.273B,21.48B,26.76B,313.00M,,313.00M,27.07B,520.00M,1.745B,1.393B,141.00M,396.00M,4.195B,-1.979B,2.216B,4.816B,592.00M,5.408B,75.66B,1.341B,,74.32B,23.95B,111.81B,117.40B,,0.00,0.00,0.00,2.182B,4.83B,4.83B,92.45B,,97.28B,101.63B,,464.00M,-2.216B,19.22B,1.377B,450.00M,-319.00M,15.77B,,AOR,Restated
2013-09,2.032B,3.859B,21.63B,25.49B,331.00M,,331.00M,25.82B,,,,,,,,2.218B,4.816B,588.00M,5.404B,76.56B,1.54B,,75.02B,24.14B,112.67B,116.86B,,0.00,0.00,0.00,1.773B,4.838B,4.838B,92.32B,,97.16B,101.38B,,472.00M,-2.443B,19.25B,1.377B,458.00M,-411.00M,15.49B,,AOR,Restated
2013-06,2.112B,4.28B,22.00B,26.28B,326.00M,,326.00M,26.61B,,,,,,,,2.228B,4.816B,594.00M,5.41B,75.83B,1.636B,,74.19B,24.53B,114.10B,118.71B,,1.00B,1.00B,1.00B,3.877B,4.856B,4.856B,92.45B,,97.31B,103.38B,,480.00M,-2.736B,19.44B,1.377B,466.00M,-478.00M,15.33B,,AOR,Restated
2013-03,1.796B,4.933B,27.09B,32.02B,366.00M,,366.00M,32.39B,,,,,,,,2.252B,4.816B,567.00M,5.383B,75.02B,1.749B,,73.27B,27.22B,114.42B,119.72B,,1.00M,1.00M,1.00M,1.83B,5.847B,5.847B,94.13B,,99.98B,103.98B,,489.00M,-3.003B,19.64B,1.377B,474.00M,-12.00M,15.74B,,AOR,Restated
2012-12,1.979B,5.489B,27.24B,32.73B,344.00M,,344.00M,33.08B,525.00M,1.727B,1.313B,175.00M,396.00M,4.136B,-1.857B,2.279B,4.816B,536.00M,5.352B,75.38B,1.919B,,73.46B,27.37B,115.51B,121.35B,,125.00M,125.00M,125.00M,1.574B,5.861B,5.861B,95.47B,,101.34B,105.85B,,497.00M,-3.338B,19.65B,1.377B,482.00M,65.00M,15.50B,,AOR,Restated
2012-09,,3.93B,,3.93B,362.00M,,362.00M,4.292B,,,,,,,,2.274B,4.816B,541.00M,5.357B,76.52B,2.062B,,74.46B,27.73B,117.51B,121.80B,,70.00M,70.00M,70.00M,1.936B,6.224B,6.224B,94.88B,,101.10B,106.90B,,15.00M,-3.849B,19.91B,1.377B,,202.00M,14.90B,,AOR,Restated
2012-06,,3.766B,,3.766B,341.00M,,341.00M,4.107B,,,,,,,,2.30B,4.816B,570.00M,5.386B,77.39B,2.291B,,75.10B,27.36B,118.24B,122.34B,,560.00M,560.00M,560.00M,3.306B,6.23B,6.23B,95.10B,,101.33B,107.89B,,15.00M,-4.136B,19.90B,1.376B,,54.00M,14.46B,,AOR,Restated
2012-03,,7.306B,,7.306B,397.00M,,397.00M,7.87B,,,,,,,,2.35B,4.816B,619.00M,5.435B,77.77B,2.53B,,75.24B,28.32B,120.41B,128.28B,,621.00M,621.00M,621.00M,2.908B,7.196B,7.196B,97.14B,,104.33B,110.75B,,3.444B,-4.395B,19.94B,1.394B,3.429B,-60.00M,17.53B,,AOR,Restated
2011-12,2.132B,7.045B,24.47B,31.52B,361.00M,,361.00M,32.08B,492.00M,1.706B,1.385B,188.00M,425.00M,4.196B,-1.821B,2.375B,4.816B,631.00M,5.447B,78.79B,2.745B,,76.04B,25.75B,119.44B,127.05B,,734.00M,734.00M,734.00M,3.067B,8.11B,8.11B,95.63B,,103.74B,110.55B,,3.432B,-4.322B,18.86B,1.397B,3.419B,-69.00M,16.50B,,AOR,Restated
2011-09,,8.009B,,8.009B,422.00M,,422.00M,8.685B,,,,,,,,2.399B,5.561B,660.00M,6.221B,80.46B,2.964B,,77.50B,26.12B,121.08B,129.76B,,974.00M,974.00M,974.00M,2.943B,10.14B,10.14B,95.94B,,106.08B,112.50B,,3.422B,-3.913B,19.06B,1.397B,3.409B,92.00M,17.26B,,AOR,Restated
2011-06,,7.723B,,7.723B,354.00M,,354.00M,8.328B,,,,,,,,2.481B,5.561B,688.00M,6.249B,82.32B,3.12B,,79.20B,25.07B,122.58B,130.91B,,982.00M,982.00M,982.00M,2.722B,11.65B,11.65B,96.33B,,107.98B,114.02B,,3.412B,-4.00B,19.05B,1.399B,3.399B,-177.00M,16.89B,,AOR,Restated
2011-03,,6.979B,,6.979B,441.00M,,441.00M,7.761B,,,,,,,,2.528B,5.561B,640.00M,6.201B,82.92B,3.186B,,79.74B,26.01B,124.00B,131.76B,,964.00M,964.00M,964.00M,3.182B,12.20B,12.20B,96.37B,,108.57B,115.14B,,3.402B,-4.043B,19.05B,1.40B,3.389B,-387.00M,16.62B,,AOR,Restated
2010-12,,6.523B,,6.523B,421.00M,,421.00M,7.34B,509.00M,1.722B,1.355B,173.00M,416.00M,4.175B,-1.606B,2.569B,5.561B,652.00M,6.213B,84.35B,3.185B,,81.16B,24.43B,125.01B,132.35B,,1.221B,1.221B,1.221B,3.937B,13.19B,13.19B,94.61B,,107.80B,115.62B,,3.393B,-4.047B,19.05B,1.402B,3.38B,-260.00M,16.73B,,AOR,Restated
2010-09,,5.75B,,5.75B,512.00M,,512.00M,7.399B,,,,,,,,2.564B,5.561B,618.00M,6.179B,84.42B,3.185B,,81.24B,25.16B,126.10B,133.50B,,1.21B,1.21B,1.21B,3.661B,14.34B,14.34B,94.98B,,109.31B,116.34B,,3.383B,-4.07B,19.05B,1.405B,3.37B,208.00M,17.16B,,AOR,Restated
2010-06,,6.659B,,6.659B,466.00M,,466.00M,7.877B,,,,,,,,2.588B,5.561B,663.00M,6.224B,85.94B,3.185B,,82.76B,25.46B,127.46B,135.34B,,1.035B,1.035B,1.035B,2.964B,15.42B,15.42B,96.25B,,111.66B,117.88B,,3.373B,-3.849B,19.04B,1.405B,3.36B,306.00M,17.46B,,AOR,Restated
2010-03,,6.547B,,6.547B,503.00M,,503.00M,7.374B,,,,,,,,2.637B,5.559B,742.00M,6.301B,89.22B,3.184B,,86.04B,25.49B,129.86B,137.23B,,997.00M,997.00M,997.00M,2.684B,15.68B,15.68B,98.33B,,114.02B,119.59B,,3.622B,-3.502B,18.78B,1.407B,3.61B,144.00M,17.64B,,AOR,Restated
2009-12,,7.632B,,7.632B,468.00M,,468.00M,8.479B,500.00M,1.696B,1.323B,188.00M,373.00M,4.08B,-1.412B,2.668B,5.557B,750.00M,6.307B,92.18B,3.114B,,89.07B,27.14B,133.84B,142.32B,,1.775B,1.775B,1.775B,3.668B,18.46B,18.46B,98.68B,,117.14B,124.44B,,3.614B,-3.235B,18.78B,1.409B,3.602B,130.00M,17.88B,,AOR,Restated
2009-09,,8.003B,,8.003B,499.00M,,499.00M,8.868B,,,,,,,,2.694B,5.557B,751.00M,6.308B,94.22B,2.627B,,91.60B,22.46B,131.12B,139.99B,,2.653B,2.653B,2.653B,5.286B,18.09B,18.09B,94.88B,,112.97B,121.49B,,3.624B,-2.618B,18.75B,1.411B,3.612B,143.00M,18.49B,,AOR,Restated
2009-06,,5.209B,,5.209B,501.00M,,501.00M,8.931B,,,,,,,,2.789B,5.556B,770.00M,6.326B,98.08B,2.282B,,95.80B,20.83B,133.88B,142.81B,,4.927B,4.927B,4.927B,7.192B,18.24B,18.24B,94.73B,,112.96B,124.07B,,3.615B,-2.169B,18.74B,1.413B,3.603B,-36.00M,18.74B,,AOR,Restated
2009-03,,4.717B,,4.717B,426.00M,,426.00M,5.561B,,,,,,,,2.808B,5.551B,764.00M,6.315B,97.64B,1.861B,,95.78B,22.36B,136.42B,141.98B,,9.353B,9.353B,9.353B,9.353B,18.76B,18.76B,93.54B,,112.30B,125.16B,,3.323B,-1.913B,16.83B,1.415B,3.316B,-6.00M,16.82B,,AOR,Restated
2008-12,,10.18B,,10.18B,458.00M,,458.00M,11.43B,519.00M,1.619B,1.297B,327.00M,317.00M,4.079B,-1.293B,2.786B,5.548B,799.00M,6.347B,98.70B,1.826B,,96.88B,19.95B,134.82B,146.25B,,12.68B,12.68B,12.68B,15.82B,19.23B,19.23B,90.90B,,110.14B,129.44B,,3.314B,-1.869B,16.82B,1.425B,3.307B,-22.00M,16.81B,,,Restated
2008-09,,3.016B,,3.016B,512.20M,587.18M,1.099B,4.813B,,,,,,,,2.730B,,,12.19B,99.77B,1.472B,,98.29B,18.80B,139.48B,144.29B,,7.115B,7.115B,7.115B,17.54B,14.17B,14.17B,89.22B,,103.39B,124.59B,,7.358M,4.445B,16.61B,1.424B,,69.49M,19.71B,,,Restated
2008-06,,3.207B,,3.207B,510.90M,533.64M,1.045B,5.229B,,,,,,,,2.726B,,,964.82M,98.94B,1.472B,,97.47B,19.23B,139.21B,144.44B,,8.927B,8.927B,8.927B,17.59B,13.32B,13.32B,89.90B,,103.22B,124.73B,,7.358M,4.437B,16.59B,1.371B,,46.86M,19.71B,,,
2008-03,,3.109B,,3.109B,550.12M,616.73M,1.167B,5.348B,,,,,,,,2.666B,,,998.62M,97.14B,1.376B,,95.77B,19.12B,138.90B,144.25B,,8.717B,8.717B,8.717B,17.17B,12.36B,12.36B,89.19B,,101.54B,124.23B,,7.358M,4.495B,16.56B,1.371B,,330.45M,20.02B,,,
2007-12,,3.752B,,3.752B,615.71M,504.61M,1.120B,5.865B,,,,,,,,2.611B,,,12.57B,96.10B,1.321B,,94.78B,18.46B,135.18B,141.04B,,2.300B,2.300B,2.300B,11.12B,11.32B,11.32B,94.77B,,106.10B,121.22B,,7.347M,4.440B,16.54B,1.371B,,202.29M,19.82B,,,
2007-09,,2.932B,,2.932B,664.97M,525.95M,1.191B,4.830B,,,,,,,,2.473B,,,12.63B,95.17B,1.071B,,94.10B,18.36B,133.41B,138.24B,,1.727B,1.727B,1.727B,9.791B,10.82B,10.82B,93.44B,,104.26B,118.39B,,7.346M,4.632B,16.53B,1.271B,,-49.65M,19.85B,,,
2007-06,,2.870B,,2.870B,,,1.217B,5.246B,,,,,,,,2.422B,,,12.45B,95.61B,1.062B,,94.55B,19.06B,132.38B,137.62B,,1.882B,1.882B,1.882B,10.09B,9.288B,9.288B,95.06B,,104.34B,117.93B,,7.344M,4.489B,16.50B,1.064B,,-236.68M,19.70B,,,
2007-03,,3.029B,,3.029B,627.92M,555.58M,1.183B,5.367B,,,,,,,,2.373B,,,12.47B,95.34B,1.056B,,94.29B,19.90B,132.70B,138.07B,,2.356B,2.356B,2.356B,10.52B,8.593B,8.593B,95.34B,,103.93B,117.75B,,7.32M,4.289B,16.45B,368.84M,,-61.03M,20.31B,,,
2006-12,,3.821B,,3.821B,666.41M,570.06M,1.236B,5.954B,,,,,,,,2.398B,,,12.51B,99.47B,1.056B,,98.41B,20.01B,137.42B,143.37B,,1.991B,1.991B,1.991B,9.667B,8.643B,8.643B,101.23B,,109.87B,122.67B,,7.303M,4.493B,16.34B,7.548M,,-131.27M,20.70B,,,
2006-09,,2.094B,,2.094B,456.98M,581.56M,1.039B,4.046B,,,,,,,,1.098B,,,5.663B,61.50B,778.46M,-199.75M,60.52B,13.89B,82.91B,86.98B,,1.368B,1.368B,1.368B,6.312B,5.490B,5.490B,62.17B,,67.66B,75.94B,,4.813M,4.548B,7.466B,888.28M,,-87.65M,11.04B,,,
2006-06,,2.336B,,2.336B,,,984.43M,4.054B,,,,,,,,1.110B,,,5.712B,61.61B,777.78M,-195.71M,60.63B,12.84B,81.99B,86.06B,,958.05M,958.05M,958.05M,5.729B,6.293B,6.293B,61.40B,,67.70B,75.36B,,4.787M,4.355B,7.393B,833.63M,,-221.29M,10.70B,,,
2006-03,,2.096B,,2.096B,402.07M,563.20M,965.27M,3.931B,,,,,,,,1.110B,,,5.705B,60.21B,782.37M,-198.35M,59.23B,12.97B,80.64B,84.59B,,995.31M,995.31M,995.31M,4.896B,6.622B,6.622B,60.52B,,67.14B,73.94B,,4.778M,4.170B,7.361B,708.59M,,-169.78M,10.66B,,,
2005-12,,2.507B,,2.507B,420.82M,527.32M,948.14M,4.165B,,,,,,,,1.122B,,,5.753B,60.12B,783.54M,-186.90M,59.15B,12.97B,80.62B,84.79B,,1.038B,1.038B,1.038B,4.966B,6.972B,6.972B,60.38B,,67.35B,74.17B,,4.738M,4.035B,7.249B,581.89M,,-92.32M,10.61B,,,
2005-09,,2.166B,,2.166B,383.84M,513.34M,897.18M,3.671B,,,,,,,,1.110B,,,5.749B,60.59B,783.94M,-179.52M,59.63B,12.76B,80.90B,84.59B,,954.46M,954.46M,954.46M,5.634B,7.207B,7.207B,59.47B,,66.67B,73.95B,,4.718M,3.937B,7.266B,453.24M,,-108.93M,10.65B,,,
2005-06,,2.192B,,2.192B,350.94M,549.30M,900.24M,3.695B,,,,,,,,1.092B,,,5.779B,60.61B,758.45M,-194.24M,59.66B,13.18B,81.55B,85.28B,,921.88M,921.88M,921.88M,4.757B,7.286B,7.286B,60.87B,,68.16B,74.54B,,4.709M,3.837B,7.249B,311.34M,,-35.68M,10.74B,,,
2005-03,,2.105B,,2.105B,337.38M,551.08M,888.46M,3.514B,,,,,,,,1.108B,,,5.767B,60.15B,760.03M,-204.98M,59.18B,13.17B,80.73B,84.28B,,5.453B,5.453B,5.453B,5.453B,7.154B,7.154B,59.59B,,66.74B,73.64B,,4.686M,3.746B,7.179B,176.25M,,-108.07M,10.65B,,,
2004-12,,1.968B,,1.968B,345.56M,477.81M,823.38M,3.509B,,,,,,,,1.089B,,,5.746B,59.52B,754.72M,-208.61M,58.56B,13.55B,80.57B,84.11B,,1.316B,1.316B,1.316B,5.996B,7.240B,7.240B,58.67B,,65.91B,73.36B,,4.671M,3.663B,7.126B,29.40M,,-15.20M,10.75B,,,
2004-09,,1.856B,,1.856B,322.73M,516.91M,839.65M,3.267B,,,,,,,,1.096B,,,5.363B,59.14B,756.75M,-220.81M,58.16B,13.35B,80.78B,84.08B,,2.007B,2.007B,2.007B,6.892B,7.488B,7.488B,56.59B,,64.08B,73.40B,,4.638M,3.582B,7.035B,,,53.95M,10.68B,,,
2004-06,,1.290B,,1.290B,182.64M,549.67M,732.31M,2.833B,,,,,,,,639.82M,,,,35.09B,452.68M,-227.03M,34.42B,9.503B,46.91B,49.76B,,1.111B,1.111B,1.111B,4.813B,4.580B,4.580B,34.44B,,39.02B,45.38B,,2.716M,3.479B,970.02M,,,-77.25M,4.375B,,,
2004-03,,1.073B,,1.073B,182.12M,547.96M,730.07M,2.397B,,,,,,,,631.19M,,,,34.44B,455.57M,-231.12M,33.75B,9.296B,46.34B,48.78B,,5.889B,5.889B,5.889B,5.889B,5.768B,5.768B,31.43B,,37.19B,44.35B,,140.18M,3.408B,1.000B,206.82M,,85.04M,4.426B,,,
2003-12,,1.352B,,1.352B,698.08M,,698.08M,2.628B,,,,,,,,629.64M,,,,33.66B,454.06M,-230.52M,32.97B,9.904B,45.91B,48.60B,,4.427B,4.427B,4.427B,4.427B,5.712B,5.712B,32.73B,,38.44B,44.15B,,139.60M,3.329B,983.67M,49.94M,,49.77M,4.452B,,,
