,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-06,285.00M,,,-6.00M,-31.00M,129.00M,129.00M,2.00M,,,,38.00M,203.00M,-110.00M,-226.00M,-3.00M,-136.00M,350.00M,,,,0.00,,-82.00M,-23.00M,-2.122B,,399.00M,-239.00M,160.00M,,-172.00M,-172.00M,,,,-80.00M,-16.00M,-96.00M,,11.00M,-499.00M,,6.026B,-2.271B,3.755B,,,1.248B,-849.00M,-172.00M,,AOR,Restated
2015-03,234.00M,,,-5.00M,15.00M,123.00M,123.00M,38.00M,,,,63.00M,-112.00M,29.00M,-121.00M,-1.00M,-205.00M,317.00M,,,,0.00,,170.00M,-51.00M,-927.00M,,-293.00M,-168.00M,-461.00M,,-102.00M,-102.00M,,,,-67.00M,-16.00M,-83.00M,,1.00M,2.632B,,4.004B,2.022B,6.026B,,,0.00,-293.00M,-102.00M,,AOR,Restated
2014-12,216.00M,,,-12.00M,-31.00M,132.00M,132.00M,20.00M,,,,-18.00M,,87.00M,357.00M,-3.00M,262.00M,589.00M,,155.00M,164.00M,-9.00M,,-190.00M,,-1.118B,,-349.00M,360.00M,11.00M,,-248.00M,-248.00M,0.00,,0.00,-67.00M,-16.00M,-83.00M,,0.00,-250.00M,,4.783B,-779.00M,4.004B,,0.00,0.00,-349.00M,-248.00M,,AOR,Restated
2014-09,320.00M,,,-7.00M,-76.00M,143.00M,143.00M,9.00M,,,,82.00M,,272.00M,4.00M,-3.00M,273.00M,775.00M,,-81.00M,-69.00M,-12.00M,,-772.00M,,-1.111B,,3.00M,75.00M,78.00M,,0.00,0.00,0.00,,0.00,-69.00M,-20.00M,-89.00M,,3.00M,300.00M,,4.819B,-36.00M,4.783B,,0.00,0.00,3.00M,0.00,,AOR,Restated
2014-06,296.00M,,,-6.00M,-19.00M,126.00M,126.00M,52.00M,,,,-128.00M,,-81.00M,24.00M,17.00M,-40.00M,322.00M,,-58.00M,-58.00M,,,26.00M,,-972.00M,,-402.00M,-163.00M,-565.00M,,0.00,0.00,486.00M,,486.00M,-70.00M,-8.00M,-78.00M,,1.00M,273.00M,,5.196B,-377.00M,4.819B,,486.00M,0.00,-402.00M,0.00,,AOR,Restated
2014-03,315.00M,,,-2.00M,-44.00M,122.00M,122.00M,115.00M,,,,130.00M,,-249.00M,36.00M,-6.00M,-219.00M,421.00M,,-37.00M,-37.00M,,,86.00M,,-580.00M,,-602.00M,-201.00M,-803.00M,,-8.00M,-8.00M,,,,-41.00M,-8.00M,-49.00M,,2.00M,82.00M,,5.273B,-77.00M,5.196B,,,,-602.00M,-8.00M,,AOR,Restated
2013-12,196.00M,,,0.00,-26.00M,148.00M,148.00M,90.00M,,,,223.00M,-13.00M,358.00M,-464.00M,8.00M,-111.00M,599.00M,,-64.00M,-64.00M,0.00,,7.00M,,323.00M,,0.00,409.00M,409.00M,,0.00,0.00,0.00,,0.00,-41.00M,-8.00M,-49.00M,,0.00,492.00M,,3.859B,1.414B,5.273B,,0.00,0.00,0.00,0.00,,AOR,Restated
2013-09,293.00M,,,-3.00M,-42.00M,155.00M,155.00M,94.00M,,,,196.00M,-5.00M,18.00M,269.00M,-17.00M,265.00M,979.00M,,-51.00M,-51.00M,0.00,,2.209B,,1.071B,,-21.00M,-2.104B,-2.125B,,-167.00M,-167.00M,0.00,,0.00,-41.00M,-8.00M,-49.00M,,3.00M,-2.471B,,4.28B,-421.00M,3.859B,,0.00,0.00,-21.00M,-167.00M,,AOR,Restated
2013-06,267.00M,,,-8.00M,21.00M,171.00M,171.00M,95.00M,,,,271.00M,40.00M,84.00M,38.00M,19.00M,181.00M,1.037B,,-66.00M,-38.00M,-28.00M,,470.00M,,-886.00M,,-948.00M,2.047B,1.099B,,-173.00M,-173.00M,0.00,,0.00,-42.00M,-8.00M,-50.00M,,-1.00M,-804.00M,,4.933B,-653.00M,4.28B,,0.00,750.00M,-1.698B,-173.00M,,AOR,Restated
2013-03,335.00M,,,-15.00M,-55.00M,171.00M,171.00M,121.00M,,,,309.00M,-22.00M,1.024B,-758.00M,-5.00M,239.00M,1.13B,,-33.00M,-33.00M,,,-372.00M,,-579.00M,,0.00,256.00M,256.00M,,0.00,0.00,,,,-14.00M,-8.00M,-22.00M,,,-1.107B,,5.489B,-556.00M,4.933B,,,,0.00,0.00,,AOR,Restated
