,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,-681.40M,,,,44.90M,25.00M,94.50M,119.50M,119.50M,-42.90M,,731.70M,19.50M,,8.60M,8.90M,-4.20M,-42.00M,-73.80M,,,8.60M,-102.50M,97.40M,-27.00M,,-12.60M,,-0.30M,-6.00M,-1.80M,-35.10M,-53.30M,35.00M,-18.30M,,-90.70M,-90.70M,6.80M,-12.90M,-115.10M,664.40M,-52.80M,2.60M,614.20M,,1.215B,-1.233B,-90.70M
2017-12,406.70M,,,,1.00M,27.00M,94.20M,121.20M,121.20M,-390.70M,,,16.40M,,9.90M,-6.40M,-23.30M,3.10M,41.80M,,,-10.60M,4.60M,169.10M,-21.80M,,-11.60M,,-4.10M,,-0.30M,-26.20M,221.40M,-225.00M,-3.60M,,0.00,0.00,9.50M,-26.20M,-20.30M,540.60M,122.60M,1.20M,664.40M,,2.345B,-2.349B,0.00
2017-09,82.70M,0.00,,3.60M,4.20M,26.10M,94.40M,120.50M,120.50M,-52.60M,,17.40M,14.80M,,11.90M,-11.80M,8.60M,-2.20M,-15.50M,,,-11.40M,-32.30M,166.60M,-33.60M,,-69.40M,,-79.20M,0.00,5.00M,-107.80M,-134.70M,220.00M,85.30M,,-200.10M,-200.10M,6.50M,-2.30M,-110.60M,588.40M,-51.80M,4.00M,540.60M,,220.00M,-134.70M,-200.10M
2017-06,59.50M,0.00,,-3.60M,-1.00M,24.00M,94.30M,118.30M,118.30M,-42.00M,,19.90M,14.40M,,19.70M,-57.70M,8.80M,-5.30M,-565.30M,,,19.00M,-600.50M,-411.70M,-24.20M,,-12.90M,,-7.50M,5.30M,-3.80M,-30.20M,-252.30M,125.00M,-127.30M,,,,15.90M,-1.70M,-113.10M,1.135B,-555.00M,8.80M,588.40M,,165.00M,-292.30M,
2017-03,526.80M,-899.70M,,,-899.70M,19.10M,76.00M,95.10M,95.10M,-238.00M,,2.40M,19.80M,,12.70M,6.50M,-8.30M,14.60M,555.60M,,,-3.70M,564.70M,83.80M,-25.10M,,-12.10M,,393.60M,81.40M,-0.90M,449.00M,-57.30M,0.00,-57.30M,,0.00,0.00,13.40M,-1.20M,-45.10M,646.00M,487.70M,0.90M,1.135B,,8.00M,-65.30M,0.00
2016-12,86.50M,,,,,20.40M,94.90M,115.30M,115.30M,-24.60M,,,19.20M,,8.30M,21.50M,-20.70M,-18.20M,-3.20M,,,-14.50M,-35.10M,169.60M,-24.70M,,-13.20M,,0.00,0.40M,-0.90M,-25.20M,-37.20M,0.00,-37.20M,,,,13.20M,-16.40M,-40.40M,548.40M,104.00M,-6.40M,646.00M,,0.00,-37.20M,
2016-09,92.10M,0.00,,0.00,0.80M,21.00M,93.60M,114.60M,114.60M,-51.60M,,0.00,20.30M,,15.80M,-21.00M,5.50M,14.10M,36.60M,,,1.30M,36.50M,228.50M,-27.70M,,-31.70M,4.00M,0.00,0.00,-4.60M,-32.30M,-100.10M,0.00,-100.10M,,0.00,0.00,11.10M,-0.30M,-89.30M,441.50M,106.90M,0.00,548.40M,,0.00,-100.10M,0.00
2016-06,84.90M,0.00,,0.00,0.00,21.10M,99.80M,120.90M,120.90M,-39.50M,,0.00,14.50M,,12.90M,-3.80M,4.40M,-2.70M,49.60M,,,6.20M,53.70M,247.40M,-21.10M,,-21.10M,0.00,0.00,0.00,-0.50M,-21.60M,181.30M,-175.00M,6.30M,,-114.10M,-114.10M,8.40M,-0.50M,-99.90M,316.30M,125.90M,-0.70M,441.50M,,200.00M,-193.70M,-114.10M
2016-03,68.90M,0.00,,0.00,4.50M,20.30M,93.70M,114.00M,114.00M,-36.70M,,0.00,14.70M,,14.10M,-11.30M,1.30M,-25.60M,14.20M,,,-7.20M,-28.60M,150.90M,-26.00M,,-22.00M,-4.00M,0.00,0.00,-0.80M,-26.80M,-330.10M,0.00,-330.10M,,-135.90M,-135.90M,7.90M,-0.70M,-458.80M,650.30M,-334.70M,0.70M,316.30M,,50.00M,-380.10M,-135.90M
2015-12,84.90M,,,-25.10M,-25.10M,19.90M,96.00M,115.90M,115.90M,-28.00M,,,15.90M,,13.00M,4.30M,-3.60M,14.00M,-14.70M,,,-5.20M,-5.20M,171.40M,-19.70M,,-19.70M,,,31.10M,0.90M,12.30M,-18.90M,,-18.90M,,,,11.10M,-14.90M,-22.70M,491.30M,161.00M,-2.00M,650.30M,,,-18.90M,
2015-09,25.10M,0.00,,,37.80M,20.70M,101.60M,122.30M,122.30M,-37.90M,,,17.10M,8.00M,30.20M,-33.80M,11.00M,3.00M,38.90M,,,13.70M,32.80M,243.20M,-31.30M,,-31.30M,0.00,,2.30M,-0.30M,-29.30M,-593.70M,0.00,-593.70M,,0.00,0.00,19.60M,-29.80M,-603.90M,885.00M,-390.00M,-3.70M,491.30M,,1.183B,-1.777B,0.00
2015-06,29.50M,9.60M,,,27.80M,20.10M,100.40M,120.50M,120.50M,-31.80M,,,16.40M,-2.00M,17.40M,0.20M,3.90M,4.70M,60.60M,,,-4.90M,64.50M,242.30M,-18.40M,,-18.40M,0.00,,0.00,0.60M,-17.80M,-192.40M,175.00M,-17.40M,,0.00,0.00,13.00M,-6.80M,-11.20M,670.50M,213.30M,1.20M,885.00M,,1.670B,-1.688B,0.00
2015-03,47.80M,,-1.70M,,-1.70M,20.40M,106.20M,126.60M,126.60M,-48.60M,,,13.70M,-3.00M,19.20M,13.00M,10.30M,-20.70M,-7.30M,,,8.50M,3.80M,157.80M,-18.60M,,-18.60M,0.00,,1.30M,0.30M,-17.00M,-28.70M,0.00,-28.70M,,0.00,0.00,22.20M,-4.60M,-11.10M,544.00M,129.70M,-3.20M,670.50M,,0.00,-28.70M,0.00
2014-12,29.20M,,1.70M,,8.40M,20.30M,101.70M,122.00M,122.00M,-30.50M,,,12.10M,-3.00M,17.90M,-9.70M,18.70M,19.40M,-29.80M,,,-1.20M,-2.60M,153.50M,-21.10M,,-21.10M,,,0.00,-0.90M,-22.00M,-328.80M,,-328.80M,,,,15.20M,-7.60M,-321.20M,736.10M,-189.70M,-2.40M,544.00M,,,-328.80M,
2014-09,28.10M,5.50M,2.00M,,7.50M,22.00M,109.40M,131.40M,131.40M,-38.50M,,5.10M,10.90M,-0.50M,6.10M,-20.50M,-2.50M,-8.50M,8.70M,,,4.40M,-18.40M,131.70M,-22.40M,,-22.40M,,7.70M,0.00,-0.40M,-15.10M,-16.20M,,-16.20M,,,,5.60M,-0.10M,-10.70M,632.50M,105.90M,-2.30M,736.10M,,,-16.20M,
2014-06,11.30M,0.00,1.70M,,1.70M,23.70M,110.20M,133.90M,133.90M,-39.80M,,6.90M,13.00M,-1.10M,12.10M,6.90M,-18.40M,-6.30M,36.60M,,,1.60M,20.40M,158.40M,-20.00M,,-20.00M,,0.00,3.80M,-1.10M,-17.30M,-16.30M,0.00,-16.30M,,,,22.10M,1.00M,6.80M,484.50M,147.90M,0.10M,632.50M,,0.00,-16.30M,
2014-03,-16.80M,,2.00M,,6.50M,24.10M,106.00M,130.10M,130.10M,-39.70M,,30.20M,12.40M,-1.10M,19.90M,5.90M,-9.70M,7.70M,-82.90M,,,6.50M,-72.50M,69.00M,-21.40M,,-21.40M,,0.00,2.70M,-1.50M,-20.20M,-41.20M,,-41.20M,,,,40.80M,-6.30M,-6.70M,442.50M,42.10M,-0.10M,484.50M,,,-41.20M,
2013-12,-5.30M,,1.40M,,4.30M,24.90M,102.90M,127.80M,127.80M,-125.10M,,3.10M,13.70M,-3.00M,18.80M,15.60M,-14.10M,46.80M,64.10M,,,2.60M,115.00M,149.30M,-16.40M,,-16.40M,,2.40M,0.00,-0.40M,-14.40M,-521.30M,,-521.30M,,,,12.90M,-6.10M,-514.50M,822.50M,-379.60M,-0.40M,442.50M,,,-521.30M,
2013-09,-1.114B,,1.20M,2.00M,9.20M,25.00M,107.60M,132.60M,132.60M,-78.60M,,1.125B,10.40M,-2.00M,18.30M,-5.20M,13.10M,-16.30M,-21.70M,,,7.10M,-23.00M,78.00M,-17.10M,,-17.10M,0.00,-1.20M,-0.10M,-2.90M,-21.30M,-216.20M,,-216.20M,,,,23.90M,-1.20M,-193.50M,958.40M,-136.80M,0.90M,822.50M,,,-216.20M,
2013-06,-10.91M,,1.486M,-2.00M,-0.561M,24.28M,104.69M,128.97M,128.97M,-26.90M,,6.423M,10.82M,-0.963M,20.90M,0.673M,15.82M,57.78M,42.34M,,,1.892M,118.50M,246.27M,-26.16M,,-26.16M,0.00,-2.324M,2.125M,0.351M,-26.00M,-16.30M,,-16.30M,,,,13.58M,-2.713M,-5.436M,745.00M,214.83M,-1.397M,958.40M,,,-16.30M,
2013-03,-51.10M,,1.292M,,4.539M,21.88M,104.40M,126.28M,126.28M,-22.38M,,24.30M,19.01M,-2.252M,24.63M,1.724M,2.285M,-32.84M,-90.25M,,,10.55M,-108.52M,14.50M,-24.40M,,-24.40M,0.00,80.84M,0.00,-6.095M,50.35M,-16.25M,,-16.25M,,,,24.85M,-45.88M,-37.28M,718.47M,27.57M,-1.048M,745.00M,,,-16.25M,
2012-12,3.118M,,-52.98M,,-52.98M,24.34M,103.81M,128.16M,128.16M,-70.12M,,29.88M,12.07M,-2.185M,29.57M,6.903M,-6.004M,17.36M,65.51M,,,-6.243M,77.53M,155.02M,-22.45M,,-22.45M,60.00M,-15.32M,-7.625M,1.144M,15.75M,-16.25M,,-16.25M,,,,12.78M,-9.108M,-12.58M,560.43M,158.20M,-0.155M,718.47M,,,-16.25M,
2012-09,-77.73M,,1.422M,,1.375M,23.79M,90.90M,114.70M,114.70M,-30.95M,,42.60M,14.24M,-2.409M,9.54M,11.06M,-3.241M,74.18M,-69.28M,,,1.483M,14.21M,85.57M,-29.76M,,-25.26M,-4.50M,-3.762B,-0.05M,-6.652M,-3.799B,3.476B,,3.476B,,,,6.859M,-115.30M,3.368B,905.08M,-345.44M,0.794M,560.40M,,,0.00,
2012-06,23.59M,,1.089M,,1.089M,15.93M,61.01M,76.94M,76.94M,-21.16M,,0.00,8.754M,-1.108M,5.396M,-14.48M,2.93M,4.966M,-20.70M,,,5.586M,-21.70M,71.80M,-19.88M,,-19.88M,0.00,0.00,0.00,-0.949M,-20.83M,0.00,,0.00,,,,1.352M,-0.989M,0.363M,854.56M,51.32M,-0.804M,905.08M,,,0.00,
2012-03,-40.27M,,-11.48M,,30.86M,16.07M,60.97M,77.04M,77.04M,-89.98M,,0.00,8.949M,-0.958M,76.11M,-0.957M,-0.415M,-3.06M,41.97M,,,1.818M,39.36M,101.10M,-18.88M,,-18.88M,12.50M,0.00,-0.10M,-0.008M,-6.489M,0.00,,0.00,,,,18.76M,-52.57M,-33.81M,793.08M,60.80M,0.676M,854.56M,,,0.00,
2011-12,20.81M,,0.373M,,0.373M,16.11M,61.01M,77.12M,77.12M,-13.11M,,0.00,8.657M,-1.725M,23.26M,-6.616M,-11.47M,-0.19M,10.81M,,,3.813M,-3.66M,111.73M,-14.68M,,-14.68M,0.00,-9.784M,-0.15M,0.009M,-24.60M,0.00,,0.00,,,,1.627M,-7.941M,-6.314M,712.33M,80.82M,-0.066M,793.08M,,,0.00,
2011-09,,,-83.68M,,0.819M,17.91M,60.47M,78.38M,78.38M,-12.76M,-57.36M,3.298M,8.227M,-0.384M,-58.26M,-29.25M,2.573M,-11.93M,41.97M,,,-3.564M,-0.198M,118.91M,-7.806M,,-13.13M,5.322M,-7.806M,-5.322M,0.02M,-20.91M,,1.015M,-0.347M,-24.08M,,-24.08M,,0.38M,1.359M,613.80M,99.35M,-0.823M,712.33M,-24.08M,,-0.347M,
2011-06,,,0.525M,,0.525M,17.48M,59.67M,77.15M,77.15M,-31.91M,19.20M,0.345M,7.779M,-1.501M,37.74M,11.77M,-10.01M,14.34M,-0.424M,,,-5.081M,10.59M,119.92M,-14.85M,,-14.85M,0.00,-72.07M,0.00,-0.007M,-86.93M,,-0.342M,-0.342M,10.67M,10.25M,20.92M,,-13.19M,7.387M,572.92M,40.38M,0.499M,613.80M,10.67M,,-0.342M,10.25M
2011-03,,,0.57M,,-83.93M,16.69M,59.04M,75.74M,75.74M,16.38M,18.69M,0.00,8.768M,-1.115M,77.68M,-6.118M,-12.02M,-12.62M,-6.419M,,,6.851M,-30.33M,81.87M,-22.94M,,-14.60M,4.157M,-117.73M,0.051M,5.708M,-122.41M,,-0.338M,-0.338M,10.46M,-10.25M,0.217M,,5.128M,5.007M,608.04M,-35.54M,0.419M,572.92M,10.46M,,-0.338M,-10.25M
2010-12,,,0.725M,,30.62M,16.86M,56.61M,73.47M,73.47M,-19.82M,19.47M,2.10M,10.70M,-0.652M,12.73M,6.465M,-12.70M,3.59M,8.03M,,,1.313M,6.702M,135.32M,-13.08M,,-13.08M,0.75M,-18.53M,-0.15M,-5.316M,-36.33M,,-0.335M,-0.335M,2.944M,,2.944M,,-8.688M,-6.079M,515.62M,92.91M,-0.499M,608.04M,2.944M,,-0.335M,
2010-09,-62.81M,,1.462M,,1.462M,17.44M,55.01M,72.44M,72.44M,-73.42M,-66.88M,222.02M,9.636M,-0.215M,14.10M,-15.50M,5.975M,2.792M,8.322M,,,0.848M,2.439M,118.77M,-14.31M,,-12.31M,-1.25M,-83.19M,-5.396M,5.227M,-96.92M,,176.67M,-0.333M,-11.29M,,-11.29M,,0.212M,1.179M,491.37M,23.03M,1.23M,515.62M,-11.29M,,-0.333M,
2010-06,-46.71M,,0.517M,,0.517M,17.44M,171.30M,188.74M,188.74M,-4.067M,-90.45M,0.00,7.949M,-0.338M,73.91M,2.374M,4.421M,-4.677M,-14.10M,,,-0.279M,-12.27M,117.28M,-11.72M,,-11.72M,0.75M,0.00,0.432M,0.025M,-10.51M,,-47.30M,-47.30M,1.071M,,1.071M,,0.222M,-46.00M,431.32M,60.77M,-0.715M,491.37M,1.071M,,-47.30M,
2010-03,20.62M,,0.495M,,0.836M,16.70M,-57.10M,-40.40M,-40.40M,-36.13M,157.33M,-21.07M,8.454M,-0.709M,-0.401M,-7.75M,-2.684M,-2.866M,8.289M,,-9.581M,20.70M,6.112M,94.63M,-7.172M,,-12.49M,76.07M,-2.164M,-0.35M,-5.284M,55.78M,,-72.89M,-72.89M,8.317M,,8.317M,,0.635M,-63.94M,345.04M,86.48M,-0.202M,431.32M,8.317M,,-72.89M,
2009-12,26.10M,,1.291M,,1.291M,16.89M,57.10M,73.99M,73.99M,-8.108M,,21.07M,8.121M,-0.781M,2.038M,0.663M,-12.96M,0.725M,4.297M,,9.581M,,2.307M,126.03M,-15.96M,,-10.14M,-5.072M,0.00,-0.125M,0.006M,-15.33M,,-56.49M,-56.49M,1.906M,0.00,1.906M,,-4.234M,-58.81M,293.19M,51.89M,-0.031M,345.04M,1.906M,,-56.49M,0.00
2009-09,24.57M,0.00,1.754M,,1.754M,18.54M,52.09M,70.64M,70.64M,-11.17M,,2.243M,8.586M,-2.45M,18.69M,18.43M,0.836M,2.244M,13.41M,,-14.40M,,40.17M,153.02M,-13.08M,,-13.08M,0.75M,0.00,-0.15M,-0.005M,-12.49M,0.00,187.35M,187.35M,8.776M,,8.776M,,-288.39M,-92.26M,243.72M,48.27M,1.195M,293.19M,8.776M,,187.35M,
2009-06,30.75M,0.00,0.543M,,0.543M,17.26M,53.80M,71.06M,71.06M,-2.657M,,-0.31M,8.01M,-0.528M,24.03M,22.43M,-6.006M,8.916M,-1.803M,,1.882M,,25.42M,156.31M,-23.92M,,-17.92M,-5.25M,0.00,-0.175M,2.483M,-20.87M,-0.334M,-108.22M,-108.55M,0.347M,,0.347M,,0.111M,-108.09M,217.23M,27.35M,-0.859M,243.72M,0.347M,,-108.55M,
2009-03,-2.310B,0.00,1.902M,,1.902M,15.60M,50.45M,66.05M,66.05M,-7.783M,,2.344B,8.873M,0.078M,20.15M,10.93M,-0.459M,-10.99M,-5.223M,,3.066M,,-2.678M,120.87M,-15.76M,,-13.76M,-1.25M,0.097M,-0.225M,-0.248M,-15.39M,-0.031M,-59.93M,-59.96M,1.096M,,1.096M,,-0.532M,-59.39M,171.48M,46.09M,-0.342M,217.23M,1.096M,,-59.96M,
2008-12,38.16M,,0.231M,,0.231M,15.80M,50.38M,66.18M,66.18M,-5.382M,,,7.47M,-0.078M,19.84M,5.796M,-8.707M,17.18M,-29.88M,,9.448M,,-6.164M,120.25M,-17.02M,,-13.46M,-3.56M,-0.326M,0.00,0.483M,-16.87M,-0.283M,-29.33M,-29.62M,0.668M,,0.668M,,0.071M,-28.88M,95.66M,74.51M,1.309M,171.48M,0.668M,,-29.62M,
2008-09,-144.37M,,0.025M,,195.22M,13.78M,32.19M,45.97M,45.97M,10.43M,,0.00,6.176M,-9.052M,10.41M,-15.72M,8.42M,26.06M,-15.99M,,-22.04M,,7.746M,122.54M,-18.05M,0.00,-18.05M,0.00,-581.37M,0.00,-3.628M,-603.04M,2.062M,11.55M,13.62M,2.291M,,2.291M,,439.66M,455.57M,119.86M,-24.94M,0.737M,95.66M,2.291M,-2.336B,2.349B,
2008-06,61.38M,,1.419M,,1.419M,14.27M,30.84M,45.11M,45.11M,1.901M,,0.00,7.393M,-32.69M,3.407M,0.376M,-20.04M,-10.91M,25.38M,,7.329M,,2.124M,90.04M,-20.04M,-0.936M,-20.98M,3.00M,-0.958M,0.936M,2.00M,-16.00M,0.00,-89.96M,-89.96M,6.386M,,6.386M,,31.84M,-51.74M,97.80M,22.31M,-0.253M,119.86M,6.386M,0.00,-89.96M,
2008-03,55.99M,,0.296M,,370.24M,14.20M,31.10M,45.30M,45.30M,-2.696M,,2.90M,12.10M,-21.00M,-371.75M,-40.67M,-7.204M,49.17M,-30.46M,,37.38M,,8.212M,99.29M,-26.20M,0.936M,-21.95M,-3.322M,-4.677M,2.374M,47.02M,19.44M,1.648B,75.51M,-209.11M,13.51M,,13.51M,,21.00M,-174.60M,154.66M,-55.87M,-0.99M,97.80M,13.51M,4.027B,-2.303B,
2007-12,-358.61M,,,,0.057M,10.16M,26.40M,36.56M,36.56M,-20.00M,,,,,427.24M,-2.786M,-10.77M,4.404M,-3.705M,,-22.67M,,-35.52M,49.73M,-17.30M,,-17.30M,,-2.022B,0.001M,-37.22M,-2.077B,,,1.933B,148.83M,,148.83M,,,2.082B,100.40M,54.72M,-0.462M,154.66M,148.83M,,,
2007-09,32.11M,,,,0.29M,3.709M,4.182M,7.891M,7.891M,-11.03M,,,,,-4.236M,-17.44M,-10.11M,1.017M,4.212M,,58.04M,-11.55M,24.19M,49.21M,-6.082M,,-4.655M,,-23.30M,-1.00M,-19.70M,-48.66M,,,1.087M,1.187M,,0.218M,,5.695M,7.00M,93.80M,7.557M,-0.954M,100.40M,1.187M,,,
2007-06,24.75M,,,,0.432M,3.547M,4.074M,7.621M,7.621M,0.021M,,,,,-12.35M,-13.55M,0.068M,-1.028M,1.748M,,9.467M,6.645M,3.35M,23.82M,-7.532M,,-7.532M,,13.50M,0.00,-5.098M,0.874M,,,-0.367M,0.923M,,0.923M,,13.99M,14.54M,54.50M,39.24M,0.064M,93.80M,0.923M,,,
2007-03,21.63M,,,,-0.02M,3.414M,4.005M,7.419M,7.419M,15.89M,,,,,1.634M,-9.409M,6.689M,-3.943M,5.443M,,0.309M,3.432M,2.521M,49.08M,-3.296M,,-3.296M,,,2.15M,-0.157M,-1.303M,,,-38.31M,7.564M,,7.564M,,0.00,-30.74M,37.31M,17.03M,0.165M,54.50M,7.564M,,,
2006-12,16.09M,,,,0.032M,3.621M,4.61M,8.231M,8.231M,0.993M,,,,,-0.685M,1.124M,-4.648M,-0.027M,2.862M,,5.706M,1.469M,6.486M,31.14M,-5.93M,,-5.93M,,,,-4.21M,-10.14M,,,-16.41M,0.904M,,0.904M,,2.244M,-13.26M,29.92M,7.745M,-0.359M,37.31M,0.904M,,,
2006-09,-1.474M,,,,33.02M,3.814M,3.841M,7.655M,7.655M,-4.333M,,,,,-24.97M,1.699M,0.882M,-2.136M,-8.56M,,-14.66M,,-22.78M,-12.89M,-4.613M,,1.887M,,-153.32M,,19.64M,-131.79M,,,52.70M,0.657M,,0.657M,,10.15M,63.51M,110.14M,-81.16M,0.944M,29.92M,0.657M,,,
2006-06,12.02M,,,,-12.80M,2.246M,0.971M,3.217M,3.217M,0.007M,,,,,13.47M,1.837M,-7.543M,6.622M,6.56M,,5.423M,-2.494M,10.40M,26.32M,-3.56M,,-3.56M,,-18.51M,,-3.128M,-25.20M,,,-0.651M,0.366M,,0.366M,,1.116M,0.831M,108.28M,1.955M,-0.10M,110.14M,0.366M,,,
2006-03,11.16M,,,,0.879M,1.768M,0.914M,2.682M,2.682M,-0.001M,,,,,-11.03M,-8.652M,-11.37M,-4.746M,2.496M,,17.56M,2.494M,-2.216M,1.474M,-29.16M,,-29.16M,,27.59M,,-1.741M,-3.308M,,,,4.61M,,4.61M,,10.97M,15.58M,94.51M,13.74M,0.027M,108.28M,4.61M,,,
