,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2018-03,614.20M,,614.20M,544.20M,,544.20M,114.10M,48.80M,199.00M,361.90M,114.90M,,,,1.635B,0.0,46.50M,173.70M,785.70M,,62.10M,1.068B,-599.40M,468.60M,2.498B,2.544B,5.042B,,,,,88.40M,5.599B,7.234B,158.20M,,158.20M,355.70M,513.90M,,155.00M,456.50M,611.50M,1.70M,613.20M,172.50M,172.50M,,,1.300B,,2.739B,21.80M,2.761B,543.50M,19.10M,562.60M,,,,165.60M,3.489B,4.789B,2.90M,-2.657B,5.657B,556.60M,,-0.60M,2.446B
2017-12,664.40M,,664.40M,548.00M,,548.00M,114.20M,44.60M,199.40M,358.20M,67.80M,,,,1.638B,0.0,46.40M,172.70M,763.70M,,61.10M,1.044B,-576.80M,467.10M,3.177B,2.681B,5.858B,,,,,84.80M,6.410B,8.048B,160.30M,,160.30M,412.70M,573.00M,,120.00M,452.10M,572.10M,1.60M,573.70M,163.20M,163.20M,,,1.310B,,2.758B,22.30M,2.78B,586.40M,18.80M,605.20M,,,,159.20M,3.544B,4.854B,2.90M,-1.976B,5.629B,450.10M,,-11.70M,3.194B
2017-09,540.60M,,540.60M,533.50M,,533.50M,95.70M,45.00M,190.90M,331.60M,72.90M,,,,1.479B,0.0,46.30M,172.00M,747.40M,,60.60M,1.026B,-553.50M,472.80M,3.171B,2.772B,5.944B,3.00M,,,9.10M,31.60M,6.501B,7.980B,166.60M,66.90M,233.50M,131.70M,365.20M,,345.00M,805.80M,1.151B,1.60M,1.152B,171.20M,171.20M,,,1.866B,88.30M,2.172B,56.80M,2.229B,973.60M,20.80M,994.40M,10.00M,,,7.80M,3.329B,5.195B,2.90M,-2.383B,5.631B,450.10M,,-16.20M,2.785B
2017-06,588.40M,,588.40M,520.30M,,520.30M,106.40M,50.50M,200.10M,357.00M,70.30M,,,,1.536B,0.0,46.30M,171.50M,789.90M,,59.80M,1.068B,-582.00M,485.50M,3.165B,2.836B,6.001B,,,,,95.70M,6.582B,8.118B,148.70M,,148.70M,467.00M,615.70M,,125.00M,888.30M,1.013B,1.60M,1.015B,182.20M,182.20M,,,1.813B,,2.208B,23.20M,2.231B,1.032B,20.00M,1.052B,,,,156.80M,3.440B,5.252B,2.90M,-2.465B,5.606B,250.00M,,-27.40M,2.866B
2017-03,1.135B,5.20M,1.140B,456.70M,,456.70M,113.10M,47.00M,223.90M,384.00M,71.30M,,,,2.052B,0.0,46.20M,169.40M,762.20M,,71.90M,1.050B,-567.00M,482.70M,3.155B,2.924B,6.079B,,,,,92.90M,6.655B,8.707B,177.10M,,177.10M,989.20M,1.166B,,,1.049B,1.049B,1.60M,1.051B,158.10M,158.10M,,,2.375B,,2.234B,23.60M,2.257B,1.099B,24.00M,1.123B,,,,153.40M,3.534B,5.910B,2.90M,-2.525B,5.609B,250.00M,,-40.20M,2.797B
2016-12,646.00M,,646.00M,419.90M,,419.90M,95.30M,38.90M,124.10M,258.30M,85.40M,,,,2.338B,0.0,46.20M,168.40M,724.70M,,54.90M,994.20M,-561.60M,432.60M,2.474B,2.006B,4.480B,,,,,86.90M,5.000B,7.338B,138.70M,,138.70M,298.90M,437.60M,,,707.30M,707.30M,,707.30M,145.80M,145.80M,,,1.291B,,2.616B,,2.616B,958.90M,15.20M,974.10M,,,,228.80M,3.818B,5.109B,2.90M,-3.052B,5.570B,250.00M,,-42.80M,2.229B
2016-09,548.40M,,548.40M,447.00M,,447.00M,96.40M,51.70M,126.60M,274.70M,56.50M,,,,1.327B,0.0,51.90M,186.10M,734.90M,,65.60M,1.038B,-578.30M,460.20M,2.803B,2.653B,5.456B,3.50M,,,9.30M,24.90M,5.990B,7.317B,156.90M,38.40M,195.30M,72.80M,268.10M,,0.00,296.00M,296.00M,0.00,296.00M,161.40M,161.40M,,,901.90M,167.60M,3.049B,34.80M,3.084B,982.60M,15.90M,998.50M,11.20M,,,10.90M,4.272B,5.174B,2.90M,-3.138B,5.560B,250.00M,,-32.30M,2.143B
2016-06,441.50M,,441.50M,426.20M,,426.20M,100.80M,55.40M,124.30M,280.50M,71.80M,0.00,0.00,,1.22B,0.0,51.40M,183.20M,728.70M,,59.70M,1.023B,-571.50M,451.50M,2.805B,2.737B,5.542B,,,,,93.30M,6.087B,7.307B,131.20M,,131.20M,287.70M,418.90M,,0.00,333.40M,333.40M,,333.40M,158.50M,158.50M,,,910.80M,,3.089B,,3.089B,1.030B,17.40M,1.048B,,,,216.50M,4.353B,5.264B,2.80M,-3.230B,5.554B,250.00M,,-33.30M,2.043B
2016-03,316.30M,,316.30M,422.60M,,422.60M,98.60M,55.30M,131.20M,285.10M,68.60M,0.00,,,1.093B,0.0,51.40M,182.80M,715.20M,,59.10M,1.008B,-554.40M,454.10M,2.806B,2.838B,5.644B,,,,,95.70M,6.194B,7.286B,118.50M,,118.50M,263.90M,382.40M,,175.00M,132.70M,307.70M,,307.70M,150.90M,150.90M,,,841.00M,,3.098B,,3.098B,1.071B,19.30M,1.090B,,,,212.60M,4.401B,5.242B,2.80M,-3.315B,5.535B,148.80M,,-29.20M,2.044B
2015-12,650.30M,,650.30M,410.50M,,410.50M,103.10M,58.70M,124.60M,286.40M,40.50M,0.00,0.00,,1.388B,0.0,51.40M,182.50M,699.60M,,58.60M,992.10M,-537.60M,454.50M,2.807B,2.927B,5.734B,,,,,103.70M,6.292B,7.680B,112.00M,,112.00M,253.20M,365.20M,,175.00M,218.30M,393.30M,,393.30M,156.90M,156.90M,,,915.40M,,3.239B,,3.239B,1.132B,20.30M,1.152B,,,,206.80M,4.598B,5.513B,2.80M,-3.384B,5.574B,,,-25.90M,2.166B
2015-09,491.30M,,491.30M,416.10M,,416.10M,98.30M,58.70M,126.10M,283.10M,54.90M,1.40M,19.00M,,1.266B,0.0,51.40M,182.10M,688.90M,,59.20M,981.60M,-524.50M,457.10M,2.808B,3.023B,5.831B,25.00M,,6.20M,0.00,29.50M,6.377B,7.642B,117.00M,13.30M,130.30M,85.60M,215.90M,,175.00M,216.20M,391.20M,,391.20M,163.10M,163.10M,,,943.40M,145.10M,3.221B,34.00M,3.255B,1.178B,19.60M,1.198B,10.10M,,,11.70M,4.620B,5.563B,2.80M,-3.469B,5.560B,0.00,,-14.50M,2.079B
2015-06,885.00M,,885.00M,382.80M,,382.80M,99.90M,63.40M,131.70M,295.00M,62.20M,3.80M,0.00,,1.629B,0.0,51.50M,180.10M,665.20M,,59.90M,956.70M,-506.80M,449.90M,2.809B,3.125B,5.934B,,,,,117.40M,6.502B,8.130B,89.90M,,89.90M,259.50M,349.40M,,175.00M,496.50M,671.50M,,671.50M,152.20M,168.30M,16.10M,,1.189B,,3.271B,,3.271B,1.210B,17.60M,1.227B,,,,206.10M,4.704B,5.893B,2.80M,-3.494B,5.736B,,,-7.90M,2.237B
2015-03,670.50M,,670.50M,381.00M,,381.00M,107.90M,53.60M,136.70M,298.20M,62.00M,4.60M,0.00,,1.416B,0.0,51.40M,179.20M,655.70M,,58.70M,945.00M,-494.00M,451.00M,2.809B,3.226B,6.035B,,,,,129.60M,6.616B,8.032B,73.70M,,73.70M,217.80M,291.50M,,,581.70M,581.70M,,581.70M,156.50M,171.00M,14.50M,,1.044B,,3.358B,,3.358B,1.244B,17.60M,1.261B,,,,199.80M,4.819B,5.863B,2.80M,-3.524B,5.710B,,,-20.60M,2.169B
2014-12,544.00M,,544.00M,400.50M,,400.50M,112.00M,53.00M,145.30M,310.30M,37.70M,5.10M,39.00M,,1.337B,0.0,51.50M,179.50M,650.40M,,59.70M,941.10M,-482.90M,458.20M,2.810B,3.332B,6.142B,,,,,141.30M,6.742B,8.078B,67.00M,,67.00M,253.00M,320.00M,,,139.40M,139.40M,,139.40M,148.40M,148.40M,,,607.80M,,3.815B,,3.815B,1.346B,,1.366B,,,,187.00M,5.368B,5.976B,2.80M,-3.571B,5.672B,,,-1.20M,2.102B
2014-09,736.10M,,736.10M,396.00M,,396.00M,115.60M,57.10M,157.90M,330.60M,58.20M,5.50M,39.40M,,1.566B,0.0,51.60M,176.90M,644.00M,,63.20M,935.70M,-473.80M,461.90M,2.811B,3.434B,6.244B,45.00M,,0.00,44.90M,30.30M,6.849B,8.415B,92.10M,9.80M,101.90M,94.70M,196.60M,,0.00,114.50M,114.50M,,114.50M,150.90M,150.90M,,,619.60M,131.40M,4.153B,34.10M,4.187B,1.375B,20.10M,1.396B,10.80M,,,7.10M,5.732B,6.352B,2.80M,-3.601B,5.658B,,,2.60M,2.063B
2014-06,632.50M,,632.50M,381.70M,,381.70M,121.00M,59.00M,149.80M,329.80M,48.10M,5.90M,34.40M,,1.432B,0.0,51.70M,175.60M,643.20M,,64.10M,934.60M,-467.20M,467.40M,2.811B,3.559B,6.370B,,,,,142.40M,6.980B,8.412B,82.30M,,82.30M,266.50M,348.80M,,,102.00M,102.00M,,102.00M,147.10M,147.10M,0.00,,597.90M,,4.168B,,4.168B,1.411B,,1.433B,,,,181.70M,5.783B,6.381B,2.80M,-3.629B,5.639B,0.00,,18.10M,2.031B
2014-03,484.52M,,484.52M,387.63M,,387.63M,117.36M,59.64M,133.99M,310.98M,41.17M,5.857M,34.40M,,1.265B,0.0,51.66M,173.93M,633.33M,,62.73M,921.65M,-449.50M,472.15M,2.810B,3.668B,6.477B,,,,,148.27M,7.098B,8.362B,68.20M,,68.20M,248.29M,316.48M,,,89.50M,89.50M,,89.50M,144.70M,144.70M,0.00,,550.68M,,4.184B,,4.184B,1.450B,,1.473B,,,,174.85M,5.832B,6.382B,2.762M,-3.640B,5.607B,0.00,,10.61M,1.980B
2013-12,442.49M,,442.49M,394.47M,,394.47M,110.83M,56.65M,134.23M,301.71M,46.77M,6.149M,35.35M,,1.227B,0.0,51.66M,173.49M,624.03M,,63.64M,912.82M,-433.09M,479.74M,2.814B,3.802B,6.616B,,,,,161.31M,7.257B,8.484B,90.97M,,90.97M,324.13M,415.10M,,,77.03M,77.03M,,77.03M,136.13M,136.13M,0.00,,628.26M,,4.225B,,4.225B,1.485B,,1.510B,,,,171.07M,5.906B,6.534B,2.734M,-3.623B,5.554B,0.00,,17.42M,1.951B
2013-09,822.50M,,822.50M,409.30M,,409.30M,115.60M,51.20M,122.60M,289.40M,93.10M,6.90M,0.00,,1.624B,0.0,51.60M,171.50M,616.80M,,68.10M,908.00M,-416.50M,491.50M,2.814B,3.907B,6.721B,37.60M,,,60.60M,31.80M,7.377B,9.001B,80.50M,17.40M,97.90M,127.10M,225.00M,,,563.80M,563.80M,,563.80M,132.30M,172.10M,39.80M,,1.088B,115.40M,4.242B,33.50M,4.276B,1.535B,,1.561B,9.70M,,,9.40M,5.971B,7.059B,2.70M,-3.616B,5.536B,1.50M,,20.40M,1.942B
2013-06,958.44M,,958.44M,400.43M,,400.43M,120.43M,50.73M,134.86M,306.02M,80.51M,5.941M,0.00,,1.751B,0.0,51.56M,170.65M,612.04M,,65.58M,899.84M,-397.98M,501.86M,3.939B,3.987B,7.926B,,,,,153.67M,8.582B,10.33B,74.12M,,74.12M,359.31M,433.43M,,,657.37M,657.37M,,657.37M,126.61M,168.13M,41.52M,,1.259B,,4.347B,,4.347B,1.554B,,1.576B,,,,154.21M,6.078B,7.337B,2.702M,-2.502B,5.498B,1.518M,,-0.252M,2.997B
2013-03,745.00M,,745.00M,401.30M,,401.30M,130.16M,56.66M,133.18M,320.00M,133.15M,7.179M,0.00,,1.607B,0.0,51.53M,168.84M,592.49M,,63.62M,876.48M,-373.84M,502.64M,3.941B,4.093B,8.034B,,,,,164.89M,8.702B,10.31B,75.61M,,75.61M,314.24M,389.85M,,,,453.68M,,453.68M,125.67M,166.76M,41.10M,0.015M,1.010B,,4.551B,,4.551B,1.583B,,1.605B,,,,152.07M,6.308B,7.319B,2.693M,-2.492B,5.478B,1.518M,,2.601M,2.991B
2012-12,718.47M,,718.47M,405.65M,,405.65M,132.03M,71.99M,141.28M,345.31M,97.26M,2.094M,0.00,,1.660B,0.0,51.46M,156.78M,580.82M,,73.17M,862.23M,-358.16M,504.07M,3.941B,4.196B,8.137B,,,,,167.28M,8.808B,10.47B,76.37M,,76.37M,436.28M,512.65M,,,,798.94M,,798.94M,121.15M,232.76M,111.61M,7.403M,1.552B,,4.237B,,4.237B,1.576B,,1.593B,,,,102.43M,5.932B,7.484B,2.674M,-2.440B,5.415B,1.518M,,8.202M,2.984B
2012-09,560.43M,,560.43M,409.33M,,409.33M,134.98M,93.22M,138.99M,367.19M,114.15M,5.696M,11.72M,,1.563B,0.0,51.43M,156.66M,567.96M,,71.94M,848.00M,-340.00M,508.00M,3.943B,4.301B,8.244B,29.00M,,,82.76M,24.33M,8.914B,10.48B,87.22M,12.42M,99.65M,216.28M,315.93M,,,64.44M,64.44M,,64.44M,129.69M,129.69M,0.00,7.622M,661.35M,38.52M,4.971B,33.26M,5.004B,1.772B,,1.785B,9.397M,,,17.08M,6.855B,7.516B,2.656M,-2.444B,5.397B,1.518M,,6.79M,2.961B
2012-06,905.08M,,905.08M,336.44M,,336.44M,117.84M,26.85M,83.81M,228.50M,36.88M,0.524M,27.57M,,1.535B,0.0,8.63M,58.63M,439.69M,,45.39M,552.34M,-319.59M,232.75M,2.294B,1.915B,4.209B,,,,,50.02M,4.492B,6.027B,55.06M,,55.06M,374.85M,429.91M,,,,,,,127.19M,127.19M,,,557.11M,,1.542B,,1.542B,844.15M,12.99M,857.14M,,,,66.15M,2.465B,3.023B,2.649M,-2.366B,5.372B,1.518M,,-2.857M,3.004B
2012-03,854.56M,,854.56M,326.29M,,326.29M,116.39M,31.49M,86.49M,234.37M,40.94M,0.536M,34.33M,,1.491B,0.0,8.863M,59.84M,429.75M,,43.98M,542.44M,-310.41M,232.02M,2.297B,1.977B,4.275B,,,,,50.40M,4.557B,6.048B,65.84M,,65.84M,404.37M,470.21M,,,,,,,123.61M,123.61M,,,593.82M,,1.527B,,1.527B,871.61M,12.13M,883.73M,,,,64.19M,2.475B,3.069B,2.647M,-2.389B,5.361B,1.518M,,6.671M,2.979B
2011-12,793.08M,,793.08M,324.22M,,324.22M,119.70M,29.91M,91.73M,241.33M,39.67M,0.528M,38.46M,,1.437B,0.0,8.844M,58.91M,420.19M,,43.65M,531.60M,-294.90M,236.69M,2.288B,2.036B,4.324B,,,,,48.02M,4.609B,6.046B,62.85M,,62.85M,326.42M,389.27M,,,,,,,122.48M,122.48M,,,511.74M,,1.508B,,1.508B,944.56M,11.02M,955.58M,,,,107.43M,2.571B,3.082B,2.634M,-2.349B,5.310B,1.518M,,1.637M,2.964B
2011-09,712.33M,,712.33M,318.71M,,318.71M,119.99M,23.91M,86.64M,230.54M,41.17M,0.537M,39.61M,,1.343B,0.0,8.883M,58.94M,408.42M,,43.55M,519.79M,-281.13M,238.67M,2.290B,2.091B,4.381B,4.608M,,,11.92M,6.815M,4.666B,6.009B,63.47M,33.07M,96.54M,146.56M,243.10M,,,,,,,120.66M,168.60M,,,509.45M,11.20M,1.489B,32.85M,1.521B,957.43M,,966.89M,7.714M,,,55.20M,2.562B,3.072B,2.625M,-2.370B,5.304B,1.518M,,1.995M,2.937B
2011-06,613.80M,,613.80M,292.32M,,292.32M,145.61M,,87.22M,232.84M,27.70M,0.557M,40.58M,,1.208B,0.0,8.942M,58.96M,405.83M,,43.83M,517.56M,-269.97M,247.59M,2.287B,2.145B,4.432B,,,,,50.02M,4.729B,5.937B,51.79M,,51.79M,290.18M,341.98M,0.347M,,,0.347M,,0.347M,124.81M,124.81M,,,467.14M,,1.470B,,1.470B,971.07M,9.832M,980.90M,,,,108.78M,2.560B,3.027B,2.623M,-2.397B,5.297B,1.518M,,9.254M,2.910B
2011-03,572.92M,,572.92M,285.92M,,285.92M,145.18M,,72.05M,217.23M,40.67M,0.55M,41.64M,,1.159B,0.0,8.931M,58.79M,390.02M,,42.98M,500.72M,-254.04M,246.68M,2.215B,2.163B,4.378B,,,,,52.44M,4.677B,5.836B,60.72M,,60.72M,216.08M,276.80M,,,,0.689M,,0.689M,129.30M,129.30M,,,406.78M,,1.452B,,1.452B,998.65M,10.29M,1.009B,,,,113.21M,2.574B,2.981B,2.616M,-2.434B,5.279B,1.518M,,8.801M,2.855B
2010-12,608.04M,,608.04M,274.44M,,274.44M,133.54M,,69.97M,203.51M,27.10M,0.936M,71.18M,,1.185B,0.0,8.851M,57.79M,374.78M,,41.84M,483.26M,-236.81M,246.44M,2.117B,2.064B,4.181B,,,,,52.89M,4.480B,5.666B,63.98M,,63.98M,170.95M,234.93M,1.027M,,,1.027M,,1.027M,200.26M,200.26M,,,436.22M,,1.434B,,1.434B,956.63M,,967.38M,,,,73.84M,2.475B,2.912B,2.603M,-2.516B,5.269B,1.518M,,-0.111M,2.754B
2010-09,515.62M,,515.62M,283.10M,,283.10M,124.30M,,68.18M,192.48M,33.92M,0.942M,72.81M,,1.099B,0.0,8.882M,57.35M,366.46M,,41.13M,473.83M,-222.13M,251.70M,2.109B,2.119B,4.228B,,,,,47.46M,4.527B,5.626B,57.48M,14.28M,71.76M,9.892M,81.65M,,,,1.362M,,1.362M,120.52M,200.02M,,83.11M,441.91M,,1.447B,,1.447B,955.61M,,965.62M,,,,72.70M,2.485B,2.927B,2.595M,-2.527B,5.224B,1.518M,,0.143M,2.699B
2010-06,491.37M,,491.37M,261.52M,,261.52M,120.80M,,67.40M,188.20M,32.95M,0.847M,73.68M,,1.049B,0.0,8.788M,56.22M,354.88M,,40.52M,460.41M,-205.53M,254.88M,2.128B,2.250B,4.378B,,,,,49.04M,4.682B,5.731B,52.25M,,52.25M,144.68M,196.92M,,,,1.346M,,1.346M,195.67M,195.67M,,,393.94M,,1.429B,,1.429B,1.018B,,1.028B,,,,59.62M,2.517B,2.911B,2.594M,-2.390B,5.213B,1.518M,,-4.071M,2.820B
2010-03,431.32M,,431.32M,266.81M,,266.81M,123.12M,,72.56M,195.68M,31.86M,0.872M,74.42M,,1.001B,0.0,8.876M,56.94M,338.96M,,40.34M,445.12M,-188.20M,256.92M,2.116B,2.307B,4.424B,,,,,58.48M,4.739B,5.740B,49.69M,,49.69M,152.04M,201.73M,,,,48.29M,,48.29M,195.87M,195.87M,,,445.89M,,1.411B,,1.411B,1.023B,,1.035B,,,,58.77M,2.504B,2.950B,2.592M,-2.418B,5.205B,1.518M,,1.709M,2.790B
2009-12,345.04M,,345.04M,263.23M,,263.23M,125.70M,,68.64M,194.34M,26.36M,0.91M,48.97M,,878.84M,0.0,8.96M,57.25M,331.90M,,40.03M,438.14M,-174.46M,263.68M,2.113B,2.364B,4.477B,,,,,62.89M,4.803B,5.682B,48.82M,,48.82M,141.93M,190.75M,,,,31.23M,,31.23M,116.25M,116.25M,,,338.23M,,1.482B,,1.482B,1.034B,,1.045B,,,,58.95M,2.586B,2.925B,2.585M,-2.438B,5.188B,1.518M,,6.811M,2.758B
