,OperatingRevenue,Revenue,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,8.51B,8.51B,747.00M,747.00M,85.00M,-13.00M,167.00M,-167.00M,2.00M,821.00M,167.00M,-167.00M,,-167.00M,1.512B,218.00M,1.294B,,1.294B,1.305B,85.00M,1.679B,,2.78,,,2.804,2.78,,2.76,,,2.784,2.76,,465.28M,468.38M,0.73,,AOR,Restated
2018-03,7.831B,7.831B,692.00M,692.00M,85.00M,-10.00M,157.00M,-157.00M,12.00M,779.00M,157.00M,-157.00M,,-157.00M,1.217B,135.00M,1.082B,,1.082B,1.091B,85.00M,1.374B,,2.32,,,2.339,2.32,,2.30,,,2.319,2.30,,465.70M,469.47M,0.71,,AOR,Restated
2017-12,8.015B,8.015B,737.00M,737.00M,66.00M,-127.00M,156.00M,-156.00M,-1.00M,675.00M,156.00M,-156.00M,,-156.00M,1.151B,-382.00M,1.533B,,1.533B,1.629B,66.00M,1.307B,,3.29,,,3.496,3.29,,3.27,,,3.474,3.27,,465.61M,469.93M,0.71,,AOR,Restated
2017-09,8.61B,8.61B,714.00M,714.00M,65.00M,-50.00M,150.00M,-150.00M,-15.00M,714.00M,150.00M,-150.00M,,-150.00M,-155.00M,-85.00M,-70.00M,,-70.00M,-32.20M,65.00M,-5.00M,,-0.15,,,-0.0690,-0.15,,-0.15,,,-0.0690,-0.15,,466.37M,466.37M,0.71,,AOR,Restated
2017-06,8.108B,8.108B,706.00M,706.00M,65.00M,-72.00M,147.00M,-147.00M,1.00M,700.00M,147.00M,-147.00M,,-147.00M,1.505B,200.00M,1.305B,,1.305B,1.367B,65.00M,1.652B,,2.79,,,2.923,2.79,,2.77,,,2.902,2.77,,467.98M,471.85M,0.71,,AOR,Restated
2017-03,7.51B,7.51B,676.00M,676.00M,64.00M,-111.00M,154.00M,-154.00M,-17.00M,612.00M,154.00M,-154.00M,,-154.00M,1.221B,128.00M,1.093B,,1.093B,1.192B,64.00M,1.375B,,2.33,,,2.542,2.33,,2.31,,,2.520,2.31,,468.90M,472.73M,0.69,,AOR,Restated
2016-12,8.168B,8.168B,708.00M,708.00M,3.00M,-131.00M,154.00M,-154.00M,39.00M,619.00M,154.00M,-154.00M,,-154.00M,1.869B,259.00M,1.61B,,1.61B,1.723B,163.00M,2.023B,,3.44,,,3.681,3.44,,3.41,,,3.649,3.41,,468.18M,471.59M,0.69,,AOR,Restated
2016-09,8.527B,8.527B,772.00M,772.00M,4.00M,-115.00M,152.00M,-152.00M,-12.00M,649.00M,152.00M,-152.00M,,-152.00M,1.637B,277.00M,1.36B,,1.36B,1.455B,320.00M,1.789B,,2.90,,,3.104,2.90,,2.88,,,3.082,2.88,,468.02M,471.40M,0.69,,AOR,Restated
2016-06,7.897B,7.897B,829.00M,829.00M,5.00M,-98.00M,153.00M,-153.00M,2.00M,738.00M,153.00M,-153.00M,,-153.00M,881.00M,155.00M,726.00M,,726.00M,806.75M,525.00M,1.034B,,1.55,,,1.723,1.55,,1.54,,,1.711,1.54,,467.70M,471.16M,0.69,,AOR,Restated
2016-03,6.877B,6.877B,772.00M,772.00M,7.00M,-148.00M,146.00M,-146.00M,13.00M,644.00M,146.00M,-146.00M,,-146.00M,563.00M,124.00M,439.00M,,439.00M,554.29M,570.00M,709.00M,,0.98,,,1.238,0.98,,0.97,,,1.226,0.97,,446.74M,450.01M,0.67,,AOR,Restated
2015-12,4.679B,4.679B,570.00M,570.00M,35.00M,-16.00M,93.00M,-93.00M,12.00M,601.00M,93.00M,-93.00M,,-93.00M,750.00M,67.00M,683.00M,,683.00M,697.57M,35.00M,843.00M,,2.11,,,2.155,2.11,,2.09,,,2.134,2.09,,324.64M,327.82M,0.67,,AOR,Restated
2015-09,4.871B,4.871B,568.00M,568.00M,51.00M,-14.00M,68.00M,-68.00M,53.00M,658.00M,68.00M,-68.00M,,-68.00M,660.00M,132.00M,528.00M,,528.00M,539.20M,51.00M,728.00M,,1.63,,,1.665,1.63,,1.62,,,1.654,1.62,,324.21M,327.17M,0.67,,AOR,Restated
2015-06,5.048B,5.048B,578.00M,578.00M,55.00M,-1.00M,71.00M,-71.00M,1.00M,633.00M,71.00M,-71.00M,,-71.00M,1.085B,143.00M,942.00M,,942.00M,942.87M,55.00M,1.156B,,2.89,,,2.893,2.89,,2.86,,,2.863,2.86,,325.46M,328.69M,0.67,,AOR,Restated
2015-03,4.389B,4.389B,554.00M,554.00M,30.00M,-2.00M,68.00M,-68.00M,-4.00M,578.00M,68.00M,-68.00M,,-68.00M,801.00M,120.00M,681.00M,,681.00M,682.70M,30.00M,869.00M,,2.08,,,2.085,2.08,,2.05,,,2.055,2.05,,328.21M,331.69M,0.65,,AOR,Restated
2014-12,4.737B,4.737B,590.00M,590.00M,30.00M,-5.00M,67.00M,-67.00M,9.00M,624.00M,67.00M,-67.00M,,-67.00M,787.00M,232.00M,555.00M,,555.00M,558.53M,30.00M,854.00M,,1.68,,,1.691,1.68,,1.67,,,1.681,1.67,,331.19M,334.80M,0.65,,AOR,Restated
2014-09,5.20B,5.20B,554.00M,554.00M,27.00M,-4.00M,70.00M,-70.00M,17.00M,594.00M,70.00M,-70.00M,,-70.00M,961.00M,176.00M,785.00M,,785.00M,788.27M,27.00M,1.031B,,2.35,,,2.360,2.35,,2.32,,,2.330,2.32,,334.47M,337.67M,1.30,,AOR,Restated
2014-06,4.815B,4.815B,566.00M,566.00M,30.00M,-2.00M,72.00M,-72.00M,-13.00M,581.00M,72.00M,-72.00M,,-72.00M,912.00M,133.00M,779.00M,,779.00M,780.71M,30.00M,984.00M,,2.30,,,2.305,2.30,,2.28,,,2.285,2.28,,337.85M,341.13M,0.63,,AOR,Restated
2014-03,4.419B,4.419B,535.00M,535.00M,21.00M,-4.00M,71.00M,-71.00M,13.00M,565.00M,71.00M,-71.00M,,-71.00M,827.00M,93.00M,734.00M,,734.00M,737.55M,21.00M,898.00M,,2.16,,,2.170,2.16,,2.14,,,2.150,2.14,,338.87M,342.04M,0.63,,AOR,Restated
2013-12,5.074B,5.074B,570.00M,570.00M,27.00M,-1.00M,70.00M,-70.00M,3.00M,599.00M,70.00M,-70.00M,,-70.00M,1.086B,88.00M,998.00M,,998.00M,998.92M,27.00M,1.156B,,2.93,,,2.933,2.93,,2.90,,,2.903,2.90,,340.91M,344.43M,0.51,,AOR,Restated
2013-09,5.172B,5.172B,563.00M,563.00M,30.00M,-1.00M,72.00M,-72.00M,-4.00M,588.00M,72.00M,-72.00M,,-72.00M,1.071B,155.00M,916.00M,,916.00M,916.86M,30.00M,1.143B,,2.68,,,2.683,2.68,,2.66,,,2.662,2.66,,340.89M,343.82M,0.51,,AOR,Restated
2013-06,4.705B,4.705B,564.00M,564.00M,23.00M,-2.00M,73.00M,-73.00M,26.00M,611.00M,73.00M,-73.00M,,-73.00M,1.006B,115.00M,891.00M,,891.00M,892.77M,23.00M,1.079B,,2.61,,,2.615,2.61,,2.59,,,2.595,2.59,,341.05M,344.10M,0.00,,AOR,Restated
2013-03,4.31B,4.31B,514.00M,514.00M,15.00M,,60.00M,-60.00M,10.00M,539.00M,60.00M,-60.00M,,-60.00M,1.075B,122.00M,953.00M,,953.00M,953.00M,15.00M,1.135B,,2.80,,,2.80,2.80,,2.77,,,2.77,2.77,,340.78M,343.91M,0.49,,AOR,Restated
2012-12,4.687B,4.687B,553.00M,553.00M,15.00M,0.00,63.00M,-63.00M,-2.00M,566.00M,63.00M,-63.00M,,-63.00M,630.00M,-135.00M,765.00M,,765.00M,765.00M,15.00M,693.00M,,2.24,,,2.24,2.24,,2.22,,,2.22,2.22,,340.80M,343.92M,0.49,,AOR,Restated
2012-09,5.138B,5.138B,519.00M,519.00M,12.00M,-8.00M,63.00M,-63.00M,-4.00M,519.00M,63.00M,-63.00M,,-63.00M,787.00M,147.00M,640.00M,,640.00M,646.50M,12.00M,850.00M,,1.88,,,1.899,1.88,,1.86,,,1.879,1.86,,340.21M,342.87M,0.98,,AOR,Restated
2012-06,3.926B,3.926B,514.00M,514.00M,12.00M,-1.00M,62.00M,-62.00M,16.00M,541.00M,62.00M,-62.00M,,-62.00M,476.00M,148.00M,328.00M,,328.00M,328.69M,12.00M,538.00M,,0.96,,,0.9620,0.96,,0.96,,,0.9620,0.96,,339.77M,342.67M,0.47,,AOR,Restated
2012-03,4.185B,4.185B,510.00M,510.00M,12.00M,-2.00M,62.00M,-62.00M,2.00M,522.00M,62.00M,-62.00M,,-62.00M,1.083B,110.00M,973.00M,,973.00M,974.80M,12.00M,1.145B,,2.87,,,2.875,2.87,,2.84,,,2.845,2.84,,338.57M,341.69M,0.47,,AOR,Restated
2011-12,4.479B,4.479B,,531.00M,,,63.00M,-63.00M,-9.00M,522.00M,63.00M,-63.00M,,-63.00M,855.00M,120.00M,735.00M,,735.00M,735.00M,,918.00M,,2.17,,,2.17,2.17,,2.16,,,2.16,2.16,,338.22M,340.50M,0.00,,AOR,Restated
2011-09,4.294B,4.294B,,520.00M,,,62.00M,-62.00M,89.00M,609.00M,62.00M,-62.00M,-740.00M,-62.00M,126.00M,165.00M,-39.00M,,-39.00M,-39.00M,,188.00M,,-0.11,0.00,,-0.11,-0.11,,-0.11,0.00,,-0.11,-0.11,,338.39M,338.39M,0.35,,AOR,Restated
2011-06,4.253B,4.253B,,518.00M,,,62.00M,-62.00M,12.00M,530.00M,62.00M,-62.00M,,-62.00M,715.00M,121.00M,594.00M,,594.00M,594.00M,,777.00M,,1.75,0.00,,1.75,1.75,,1.74,0.00,,1.74,1.74,,338.92M,341.69M,0.35,,AOR,Restated
2011-03,3.808B,3.808B,,499.00M,,,63.00M,-63.00M,-13.00M,486.00M,63.00M,-63.00M,,-63.00M,346.00M,96.00M,250.00M,,250.00M,250.00M,,409.00M,,0.74,0.00,,0.74,0.74,,0.73,0.00,,0.73,0.73,,337.09M,339.66M,0.33,,AOR,Restated
2010-12,4.409B,4.409B,,502.00M,,,62.00M,-62.00M,10.00M,512.00M,62.00M,-62.00M,,-62.00M,1.134B,133.00M,1.001B,,1.001B,1.001B,,1.196B,,2.94,0.00,,2.94,2.94,,2.93,0.00,,2.93,2.93,,340.16M,342.46M,0.33,,AOR,Restated
2010-09,3.888B,3.888B,,433.00M,,,58.00M,-58.00M,-25.00M,408.00M,58.00M,-58.00M,,-58.00M,835.00M,160.00M,675.00M,,675.00M,675.00M,,893.00M,,1.98,0.00,,1.98,1.98,,1.97,0.00,,1.97,1.97,,340.22M,341.86M,0.33,,AOR,
2010-06,3.76B,3.76B,,463.00M,,,52.00M,-52.00M,3.00M,466.00M,52.00M,-52.00M,,-52.00M,819.00M,142.00M,677.00M,,677.00M,677.00M,,871.00M,,1.99,0.00,,1.99,1.99,,1.98,0.00,,1.98,1.98,,339.98M,341.24M,0.33,,AOR,Restated
2010-03,3.949B,3.949B,,460.00M,,,52.00M,-52.00M,-4.00M,456.00M,52.00M,-52.00M,,-52.00M,879.00M,124.00M,755.00M,,755.00M,755.00M,,931.00M,,2.23,0.00,,2.23,2.23,,2.22,0.00,,2.22,2.22,,338.48M,339.87M,0.31,,AOR,Restated
2009-12,4.272B,4.272B,,486.00M,,,56.00M,-56.00M,41.00M,527.00M,56.00M,-56.00M,,-56.00M,1.161B,208.00M,953.00M,,953.00M,953.00M,,1.217B,,2.83,0.00,,2.83,2.83,,2.82,0.00,,2.82,2.82,,337.40M,338.92M,0.31,,AOR,Restated
2009-09,3.681B,3.681B,,451.00M,,,60.00M,-60.00M,51.00M,502.00M,60.00M,-60.00M,,-60.00M,588.00M,94.00M,494.00M,,494.00M,494.00M,,648.00M,,1.46,0.00,,1.46,1.46,,1.46,0.00,,1.46,1.46,,337.19M,338.41M,0.31,,AOR,Restated
2009-06,3.547B,3.547B,,454.00M,,,56.00M,-56.00M,-21.00M,433.00M,56.00M,-56.00M,,-56.00M,636.00M,101.00M,535.00M,,535.00M,535.00M,,692.00M,,1.58,0.00,,1.58,1.58,,1.58,0.00,,1.58,1.58,,336.90M,337.51M,0.31,,AOR,Restated
2009-03,3.575B,3.575B,,420.00M,,,53.00M,-53.00M,14.00M,434.00M,53.00M,-53.00M,,-53.00M,692.00M,125.00M,567.00M,,567.00M,567.00M,,745.00M,,1.69,0.00,,1.69,1.69,,1.69,0.00,,1.69,1.69,,335.47M,336.12M,0.26,,AOR,Restated
2008-12,3.103B,3.103B,,444.00M,,,54.00M,-54.00M,65.00M,509.00M,54.00M,-54.00M,,-54.00M,107.00M,87.00M,20.00M,,20.00M,20.00M,,161.00M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,333.99M,335.01M,0.27,,AOR,Restated
2008-09,3.619B,3.619B,,457.00M,,,68.00M,-68.00M,6.00M,463.00M,68.00M,-68.00M,,-68.00M,47.00M,-7.00M,54.00M,,54.00M,54.00M,,115.00M,,0.16,0.00,,0.16,0.16,,0.16,0.00,,0.16,0.16,,333.63M,335.27M,0.26,,AOR,Restated
2008-06,3.834B,3.834B,,461.00M,,,62.00M,-62.00M,-125.00M,336.00M,62.00M,-62.00M,,-62.00M,883.00M,137.00M,746.00M,,746.00M,746.00M,,945.00M,,2.20,0.00,,2.20,2.20,,2.18,0.00,,2.18,2.18,,333.24M,335.48M,0.29,,AOR,Restated
2008-03,3.076B,3.076B,,375.00M,,,46.00M,-46.00M,15.00M,390.00M,46.00M,-46.00M,,-46.00M,530.00M,153.00M,377.00M,,377.00M,377.00M,,576.00M,,1.11,0.00,,1.11,1.11,,1.10,0.00,,1.10,1.10,,330.75M,333.04M,0.27,,AOR,Restated
2007-12,3.495B,3.495B,,385.00M,,,43.00M,-43.00M,49.00M,434.00M,43.00M,-43.00M,,-43.00M,713.00M,141.00M,572.00M,,572.00M,572.00M,,756.00M,,1.71,0.00,,1.71,1.71,,1.68,0.00,,1.68,1.68,,347.78M,355.96M,0.27,,AOR,Restated
2007-09,3.642B,3.642B,,358.00M,,,44.00M,-44.00M,32.00M,390.00M,44.00M,-44.00M,,-44.00M,796.00M,140.00M,656.00M,,656.00M,656.00M,,840.00M,,1.98,0.00,,1.98,1.98,,1.95,0.00,,1.95,1.95,,325.20M,330.62M,0.27,,AOR,Restated
2007-06,3.468B,3.468B,,,,,42.00M,-42.00M,352.00M,352.00M,42.00M,-42.00M,,-42.00M,814.00M,165.00M,649.00M,,649.00M,649.00M,,856.00M,,1.96,0.00,,1.96,1.96,,1.93,0.00,,1.93,1.93,,324.54M,330.07M,0.27,,AOR,Restated
2007-03,3.549B,3.549B,,356.00M,,,46.00M,-46.00M,4.00M,360.00M,46.00M,-46.00M,,-46.00M,830.00M,129.00M,701.00M,,701.00M,701.00M,,876.00M,,2.13,0.00,,2.13,2.13,,2.10,0.00,,2.10,2.10,,329.11M,333.81M,0.25,,AOR,Restated
2006-12,3.469B,3.469B,,365.00M,,,42.00M,-42.00M,75.00M,440.00M,42.00M,-42.00M,,-42.00M,789.00M,124.00M,665.00M,0.00,665.00M,665.00M,,831.00M,,2.03,0.00,0.00,2.03,2.03,,1.99,0.00,-0.0000,1.99,1.99,,327.42M,334.30M,0.25,,AOR,Restated
2006-09,3.389B,3.389B,353.00M,353.00M,,,46.00M,-46.00M,-31.00M,322.00M,46.00M,-46.00M,,-46.00M,708.00M,130.00M,578.00M,0.00,578.00M,578.00M,,754.00M,,1.76,0.00,0.00,1.76,1.76,,1.73,0.00,0.00,1.73,1.73,,328.41M,334.10M,0.25,,AOR,Restated
2006-06,3.289B,3.289B,,340.00M,,,45.00M,-45.00M,-12.00M,328.00M,45.00M,-45.00M,,-45.00M,707.00M,134.00M,573.00M,0.00,573.00M,573.00M,,752.00M,,1.75,0.00,0.00,1.75,1.75,,1.72,0.00,0.00,1.72,1.72,,327.43M,333.14M,0.25,,AOR,Restated
2006-03,3.181B,3.181B,,398.00M,,,43.00M,-43.00M,-5.00M,393.00M,43.00M,-43.00M,,-43.00M,619.00M,134.00M,485.00M,4.00M,489.00M,485.00M,,662.00M,,1.48,0.01,0.00,1.48,1.49,,1.45,0.01,0.0119,1.45,1.46,,328.19M,334.93M,0.23,,AOR,Restated
2005-12,3.188B,3.188B,,301.00M,,,46.00M,-46.00M,11.00M,312.00M,46.00M,-46.00M,,-46.00M,240.00M,4.00M,236.00M,0.00,236.00M,236.00M,,286.00M,,0.69,0.00,0.00,0.69,0.69,,0.68,0.00,0.00,0.68,0.68,,333.92M,338.87M,0.23,,AOR,Restated
2005-09,3.494B,3.494B,,308.00M,,,43.00M,-43.00M,-25.00M,283.00M,43.00M,-43.00M,,-43.00M,-97.00M,15.00M,-112.00M,0.00,-112.00M,-112.00M,,-54.00M,,-0.43,0.00,0.00,-0.43,-0.43,,-0.43,0.00,0.00,-0.43,-0.43,,260.47M,260.47M,0.23,,AOR,Restated
2005-06,3.258B,3.258B,,316.00M,,,43.00M,-43.00M,-6.00M,310.00M,43.00M,-43.00M,,-43.00M,595.00M,128.00M,467.00M,0.00,467.00M,467.00M,,638.00M,,1.61,0.00,0.00,1.61,1.61,,1.58,0.00,0.00,1.58,1.58,,290.06M,295.57M,0.23,,AOR,Restated
2005-03,3.148B,3.148B,,336.00M,,,42.00M,-42.00M,-5.00M,331.00M,42.00M,-42.00M,,-42.00M,563.00M,126.00M,437.00M,0.00,437.00M,437.00M,,605.00M,,1.50,0.00,0.00,1.50,1.50,,1.48,0.00,0.00,1.48,1.48,,291.33M,295.27M,0.21,,AOR,Restated
2004-12,3.293B,3.293B,337.00M,337.00M,,,43.00M,-43.00M,1.00M,338.00M,43.00M,-43.00M,,-43.00M,246.00M,-32.00M,278.00M,,278.00M,278.00M,27.00M,289.00M,,0.95,0.00,,0.95,0.95,,0.93,0.00,,0.93,0.93,,292.59M,298.83M,0.21,,AOR,Restated
2004-09,3.073B,3.073B,306.00M,306.00M,,,50.00M,-50.00M,-14.00M,292.00M,50.00M,-50.00M,,-50.00M,69.00M,65.00M,4.00M,,4.00M,4.00M,26.00M,119.00M,,-0.03,0.00,,-0.03,-0.03,,-0.03,0.00,,-0.03,-0.03,,287.57M,292.46M,0.21,,AOR,Restated
2004-06,3.067B,3.067B,,304.00M,,,46.00M,-46.00M,-1.00M,303.00M,46.00M,-46.00M,,-46.00M,552.00M,129.00M,423.00M,,423.00M,423.00M,,598.00M,,1.47,0.00,,1.47,1.47,,1.44,0.00,,1.44,1.44,,287.76M,293.75M,0.21,,AOR,Restated
2004-03,2.895B,2.895B,,314.90M,,,44.27M,-44.27M,17.08M,331.98M,44.27M,-44.27M,,-44.27M,569.37M,122.54M,446.82M,,446.82M,446.82M,,613.64M,,1.56,0.00,,1.56,1.56,,1.53,0.00,,1.53,1.53,,286.43M,292.04M,0.19,,AOR,Restated
2003-12,3.156B,3.156B,,320.68M,,,44.04M,-44.04M,,320.68M,44.04M,-44.04M,,-44.04M,-1.180B,-518.54M,509.12M,,509.12M,509.12M,,-1.136B,,1.765,,,1.765,1.765,,1.765,0.00,,1.765,1.765,,275.60M,285.61M,0.19,,AOR,Restated
2003-09,2.670B,2.670B,,293.36M,,,44.35M,-44.35M,3.088M,296.44M,44.35M,-44.35M,,-44.35M,421.91M,66.95M,354.96M,,354.96M,354.96M,,466.26M,,1.25,0.00,,1.25,1.25,,1.22,0.00,,1.22,1.22,,283.97M,290.95M,0.19,,AOR,Restated
2003-06,2.625B,2.625B,,287.29M,,,43.68M,-43.68M,-0.726M,286.56M,43.68M,-43.68M,,-43.68M,458.64M,88.17M,370.47M,,370.47M,370.47M,,502.32M,,1.35,0.00,,1.35,1.35,,1.32,0.00,,1.32,1.32,,274.42M,280.66M,0.19,,AOR,Restated
2003-03,2.238B,2.238B,259.67M,259.67M,,,44.93M,-44.93M,6.154M,265.83M,44.93M,-44.93M,,-44.93M,299.87M,52.43M,247.44M,,247.44M,247.44M,15.72M,344.80M,,0.92,0.00,,0.92,0.92,,0.90,0.00,,0.90,0.90,,268.96M,274.94M,0.17,,AOR,Restated
2002-12,2.083B,2.083B,265.74M,265.74M,,,46.86M,-46.86M,,265.74M,46.86M,-46.86M,-9.199M,-46.86M,-282.45M,-152.95M,-168.65M,,-168.65M,-168.65M,,-235.59M,,-0.5786,,,-0.5786,-0.5786,,-0.5786,0.00,,-0.5786,-0.5786,,281.83M,281.83M,0.17,,AOR,Restated
2002-09,1.876B,1.876B,250.67M,250.67M,0.00,,48.68M,-48.68M,,250.67M,48.68M,-48.68M,-14.03M,-48.68M,-63.84M,-7.334M,-56.51M,0.00,-56.51M,-56.51M,0.00,-15.16M,,-0.24,0.00,0.00,-0.24,-0.24,,-0.24,0.00,0.00,-0.24,-0.24,,235.46M,235.46M,0.17,,AOR,
2002-06,1.625B,1.625B,229.73M,229.73M,0.00,,51.95M,-51.95M,,229.73M,51.95M,-51.95M,-12.07M,-51.95M,124.58M,20.68M,103.90M,0.00,103.90M,103.90M,0.00,176.53M,,0.37,0.00,0.00,0.37,0.37,,0.36,0.00,0.00,0.36,0.36,,280.81M,288.61M,0.17,,AOR,
2002-03,1.539B,1.539B,197.20M,197.20M,,,46.00M,-46.00M,,197.20M,46.00M,-46.00M,179.05M,-46.00M,0.00,23.92M,197.80M,,197.80M,197.80M,7.798M,46.00M,,0.74,0.00,,0.74,0.74,,0.70,0.00,,0.70,0.70,,258.59M,271.53M,0.15,,AOR,
2001-12,2.096B,2.096B,221.84M,221.84M,,,45.91M,-45.91M,,221.84M,45.91M,-45.91M,,-45.91M,0.00,-47.55M,46.26M,0.00,11.68M,11.68M,23.05M,45.91M,,0.2107,,0.00,0.2107,0.2235,,0.04,0.10,0.0003,0.04,0.14,,143.56M,234.03M,0.15,,AOR,Restated
2001-09,1.532B,1.532B,205.53M,205.53M,,,49.13M,-49.13M,,205.53M,49.13M,-49.13M,132.21M,-49.13M,0.00,-76.34M,-442.59M,,-442.59M,-442.59M,14.75M,49.13M,,-1.95,0.00,,-1.95,-1.95,,-1.95,0.00,,-1.95,-1.95,,230.61M,230.61M,0.15,,AOR,
2001-06,1.597B,1.597B,207.11M,207.11M,19.87M,,49.64M,-49.64M,,226.98M,49.64M,-49.64M,,-49.64M,149.77M,18.25M,131.52M,0.00,131.52M,131.52M,19.87M,199.41M,,0.54,0.00,0.00,0.54,0.54,,0.52,0.00,0.00,0.52,0.52,,243.55M,252.92M,0.15,,AOR,
2001-03,1.554B,1.554B,193.29M,193.29M,19.88M,,54.32M,-54.32M,,213.17M,54.32M,-54.32M,,-54.32M,168.04M,26.97M,141.06M,-22.67M,118.39M,141.06M,19.88M,222.36M,,0.58,-0.10,0.00,0.58,0.48,,0.55,-0.10,-0.0919,0.55,0.46,,246.65M,257.38M,0.13,,AOR,
