,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-09,393.29M,393.29M,111.88M,281.42M,26.59M,,,-20.83M,86.41M,0.161M,-90.84M,,186.00M,95.42M,0.161M,86.41M,-90.84M,-20.22M,-90.84M,-15.64M,0.982M,-16.62M,,,,,-16.62M,-3.086M,230.18M,159.41M,70.76M,-0.13,,,,-0.0251,-0.13,-0.13,,,,-0.0251,-0.13,129.05M,129.05M,
2014-06,383.42M,383.42M,107.44M,275.98M,25.44M,,,-14.46M,79.79M,0.18M,-83.89M,,186.45M,89.54M,0.18M,79.79M,-83.89M,-13.07M,-83.89M,-7.424M,2.043M,-9.467M,,,,,-9.467M,-0.0712M,233.37M,161.00M,72.37M,-0.07,0.0,,,0.0029,-0.07,-0.07,0.0,,,0.0029,-0.07,128.95M,128.95M,
2014-03,345.55M,345.55M,97.17M,248.38M,24.68M,,,-14.08M,76.33M,0.086M,-80.48M,,169.12M,79.26M,0.086M,76.33M,-80.48M,4.31M,-80.48M,3.093M,1.686M,1.407M,,,,,1.407M,10.56M,223.87M,144.44M,79.42M,0.01,0.0,,,0.0812,0.01,0.01,0.0,,,0.0761,0.01,128.56M,138.36M,
2013-12,335.40M,335.40M,100.54M,234.86M,21.71M,,,-20.71M,73.42M,0.182M,-77.29M,,155.04M,79.82M,0.182M,73.42M,-77.29M,-24.44M,-77.29M,-21.91M,-2.75M,-19.16M,,,,,-19.16M,-1.051M,184.83M,133.33M,51.50M,-0.15,0.0,,,-0.009,-0.15,-0.15,0.0,,,-0.009,-0.15,128.41M,128.41M,
2013-09,332.09M,332.09M,103.30M,228.80M,21.83M,,,-9.792M,72.63M,0.274M,-76.34M,,155.11M,73.69M,0.274M,72.63M,-76.34M,24.38M,-76.34M,21.74M,0.207M,21.53M,,,,,21.53M,31.23M,227.65M,133.28M,94.37M,0.17,0.0,,,0.2458,0.17,0.16,0.0,,,0.2308,0.16,127.88M,136.91M,
2013-06,324.30M,324.30M,103.72M,220.58M,21.51M,,,-14.07M,75.26M,0.697M,-78.49M,,162.60M,57.98M,0.697M,75.26M,-78.49M,-13.52M,-78.49M,-34.02M,1.875M,-35.90M,,,,,-35.90M,-26.75M,182.33M,141.09M,41.24M,-0.28,,,,-0.2084,-0.28,-0.28,,,,-0.2084,-0.28,127.71M,127.71M,
2013-03,313.07M,313.07M,100.70M,212.38M,20.43M,,,-9.686M,76.83M,0.641M,-79.79M,,146.07M,66.31M,0.641M,76.83M,-79.79M,-9.534M,-79.79M,-23.02M,-0.641M,-22.38M,,,,,-22.38M,-12.96M,179.45M,125.64M,53.81M,-0.18,0.0,,,-0.1059,-0.18,-0.18,0.0,,,-0.1059,-0.18,127.06M,127.06M,
2012-12,293.84M,293.84M,89.43M,204.42M,19.62M,,,-24.39M,77.34M,0.709M,-80.21M,,150.98M,53.43M,0.709M,77.34M,-80.21M,-23.97M,-80.21M,-50.75M,1.785M,-52.53M,-0.053M,,0.097M,,-52.49M,-36.58M,157.95M,131.36M,26.59M,-0.4142,-0.0004,,,-0.289,-0.41,-0.4142,-0.0004,,,-0.289,-0.41,126.64M,126.64M,
2012-09,238.61M,238.61M,71.68M,166.92M,17.56M,,,-29.92M,68.45M,0.335M,-71.32M,,118.58M,48.35M,0.335M,68.45M,-71.32M,-29.67M,-71.32M,-52.64M,1.029M,-53.67M,0.969M,,0.254M,,-52.44M,-33.97M,116.82M,101.01M,15.81M,-0.44,0.01,,,-0.2802,-0.43,-0.44,0.01,,,-0.2802,-0.43,121.69M,121.69M,
2012-06,229.15M,229.15M,66.20M,162.94M,17.74M,,,-43.61M,61.32M,0.037M,-64.94M,,111.74M,51.20M,0.037M,61.32M,-64.94M,-38.64M,-64.94M,-52.38M,2.453M,-54.83M,1.38M,,-0.018M,,-53.47M,-26.50M,102.94M,94.00M,8.937M,-0.45,0.01,,,-0.2163,-0.44,-0.45,0.01,,,-0.2163,-0.44,121.32M,121.32M,
2012-03,192.49M,192.49M,52.19M,140.30M,17.22M,,,-0.693M,59.24M,0.047M,-61.62M,,99.32M,40.98M,0.047M,59.24M,-61.62M,-0.681M,-61.62M,-21.32M,1.327M,-22.65M,,,0.02M,,-22.63M,-22.18M,120.02M,82.10M,37.92M,-0.2,,,,-0.196,-0.2,-0.2,,,,-0.196,-0.2,111.43M,111.43M,
2011-12,183.82M,183.82M,50.26M,133.56M,15.80M,,,0.97M,58.81M,0.039M,-67.96M,,95.24M,38.32M,0.039M,58.81M,-67.96M,0.805M,-67.96M,-28.84M,0.329M,-29.17M,0.00,,0.088M,,-29.08M,-29.71M,109.42M,79.44M,29.97M,-0.27,0.0,,,-0.2758,-0.27,-0.27,0.0,,,-0.2758,-0.27,109.45M,109.45M,
2011-09,175.55M,175.55M,51.85M,123.70M,15.42M,,,-4.839M,58.40M,0.038M,-58.36M,,93.55M,30.15M,0.038M,58.40M,-58.36M,-4.839M,-58.36M,-33.05M,0.391M,-33.44M,0.00,,0.132M,,-33.30M,-30.16M,103.49M,78.14M,25.35M,-0.3,0.0,,,-0.2715,-0.3,-0.3,0.0,,,-0.2715,-0.3,110.23M,110.23M,
2011-06,171.05M,171.05M,50.11M,120.95M,15.72M,,,-3.63M,54.14M,0.029M,-54.11M,,92.41M,28.53M,0.029M,54.14M,-54.11M,-3.63M,-54.11M,-29.21M,0.702M,-29.91M,0.00,,0.091M,,-29.82M,-27.46M,101.62M,76.69M,24.93M,-0.27,0.0,,,-0.249,-0.27,-0.27,0.0,,,-0.249,-0.27,112.32M,112.32M,
2011-03,167.75M,167.75M,50.70M,117.04M,15.90M,,,-6.813M,53.17M,0.03M,-53.14M,,90.77M,26.27M,0.03M,53.17M,-53.14M,-6.813M,-53.14M,-33.68M,0.691M,-34.38M,,,0.125M,,-34.25M,-29.82M,94.37M,74.88M,19.49M,-0.3,0.0,,,-0.2613,-0.3,-0.3,0.0,,,-0.2613,-0.3,114.42M,114.42M,
2010-12,165.50M,165.50M,51.81M,113.69M,14.98M,,,-2.506M,52.86M,0.063M,-61.89M,,87.70M,25.98M,0.063M,52.86M,-61.89M,-2.477M,-61.89M,-38.39M,0.195M,-38.58M,,,-0.58M,,-39.16M,-37.53M,87.20M,72.72M,14.47M,-0.34,0.0,,,-0.3258,-0.34,-0.34,0.0,,,-0.3258,-0.34,114.86M,114.86M,
2010-09,158.64M,158.64M,50.60M,108.04M,14.42M,,,-5.208M,52.66M,0.112M,-52.54M,,84.14M,23.90M,0.112M,52.66M,-52.54M,-5.208M,-52.54M,-33.86M,0.719M,-34.58M,,,0.087M,,-34.49M,-31.10M,88.53M,69.73M,18.80M,-0.3,0.0,,,-0.2705,-0.3,-0.3,0.0,,,-0.2705,-0.3,114.75M,114.75M,
2010-06,154.52M,154.52M,49.96M,104.56M,14.30M,,,-52.98M,52.49M,0.175M,-52.32M,,83.13M,21.43M,0.175M,52.49M,-52.32M,-52.98M,-52.32M,-83.87M,-0.018M,-83.85M,,,0.155M,,-83.70M,-30.73M,37.45M,68.83M,-31.38M,-0.72,0.0,,,-0.262,-0.72,-0.72,0.0,,,-0.262,-0.72,115.67M,115.67M,
2010-03,147.96M,147.96M,47.07M,100.89M,14.51M,,,-4.34M,51.98M,0.082M,-51.90M,,81.95M,18.94M,0.082M,51.98M,-51.90M,-4.34M,-51.90M,-37.30M,0.109M,-37.41M,,,0.085M,,-37.33M,-34.50M,82.13M,67.45M,14.68M,-0.32,0.0,,,-0.2959,-0.32,-0.32,0.0,,,-0.2959,-0.32,117.12M,117.12M,
2009-12,144.98M,144.98M,46.84M,98.14M,14.34M,,,-9.911M,52.01M,0.206M,-51.80M,,80.03M,18.10M,0.206M,52.01M,-51.80M,-9.911M,-51.80M,-43.61M,0.002M,-43.61M,,,0.10M,,-43.51M,-37.07M,74.09M,65.69M,8.399M,-0.37,0.0,,,-0.3149,-0.37,-0.37,0.0,,,-0.3149,-0.37,116.92M,116.92M,
2009-09,139.29M,139.29M,45.29M,94.00M,13.20M,,,-15.90M,50.46M,0.334M,-50.12M,,78.15M,15.85M,0.334M,50.46M,-50.12M,-15.90M,-50.12M,-50.17M,0.018M,-50.19M,,,0.08M,,-50.11M,-39.77M,65.23M,64.95M,0.285M,-0.43,0.0,,,-0.3414,-0.43,-0.43,0.0,,,-0.3414,-0.43,116.69M,116.69M,
2009-06,136.20M,136.20M,43.87M,92.32M,13.16M,,,-1.785M,42.62M,0.294M,-42.32M,,77.42M,14.91M,0.294M,42.62M,-42.32M,-1.785M,-42.32M,-29.20M,0.229M,-29.43M,,,0.068M,,-29.36M,-28.20M,77.67M,64.25M,13.42M,-0.25,0.0,,,-0.2401,-0.25,-0.25,0.0,,,-0.2401,-0.25,117.08M,117.08M,
2009-03,135.05M,135.05M,44.54M,90.51M,12.08M,,,2.951M,35.67M,0.288M,-35.38M,,75.73M,14.78M,0.288M,35.67M,-35.38M,2.951M,-35.38M,-17.65M,0.242M,-17.89M,,,0.00,,-17.89M,-19.81M,81.68M,63.65M,18.02M,-0.15,0.0,,,-0.1663,-0.15,-0.15,0.0,,,-0.1663,-0.15,117.98M,117.98M,
2008-12,134.43M,134.43M,46.56M,87.87M,13.26M,,,32.90M,40.41M,1.309M,-39.10M,,75.38M,12.49M,1.309M,40.41M,-39.10M,32.90M,-39.10M,6.298M,0.345M,5.953M,,,0.00,,5.953M,-25.15M,108.82M,62.11M,46.70M,0.07,0.0,,,-0.1969,0.07,0.07,0.0,,,-0.1969,0.07,116.54M,116.54M,
2008-09,118.66M,118.66M,42.01M,76.65M,12.42M,,,-3.951M,36.62M,1.847M,-34.78M,,65.14M,11.50M,1.847M,36.62M,-34.78M,-3.951M,-34.78M,-27.22M,0.424M,-27.65M,,,0.00,,-27.65M,-25.08M,62.12M,52.72M,9.40M,-0.26,0.0,,,-0.2361,-0.26,-0.26,0.0,,,-0.2361,-0.26,107.38M,107.38M,
2008-06,111.95M,111.95M,39.36M,72.59M,12.55M,,,-5.237M,33.24M,1.63M,-31.61M,,61.80M,10.79M,1.63M,33.24M,-31.61M,-5.237M,-31.61M,-26.05M,0.19M,-26.24M,,,0.00,,-26.24M,-22.84M,56.44M,49.25M,7.183M,-0.24,0.0,,,-0.2082,-0.24,-0.24,0.0,,,-0.2082,-0.24,107.13M,107.13M,
2008-03,109.92M,109.92M,40.24M,69.68M,10.49M,,,-4.714M,28.37M,2.098M,-26.27M,,57.84M,11.84M,2.098M,28.37M,-26.27M,-4.714M,-26.27M,-19.15M,0.078M,-19.23M,,,,,-19.23M,-16.16M,56.58M,47.35M,9.222M,-0.18,0.0,,,-0.1518,-0.18,-0.18,0.0,,,-0.1518,-0.18,108.47M,108.47M,
2007-12,108.90M,108.90M,42.98M,65.92M,11.88M,,,-24.20M,,,,,56.22M,9.70M,,,,-24.20M,,-28.75M,0.133M,-28.88M,,,,,-28.88M,-13.15M,33.64M,38.50M,-4.86M,-0.27,0.0,,,-0.1216,-0.27,-0.27,0.0,,,-0.1216,-0.27,105.97M,105.97M,
2007-09,103.20M,103.20M,43.65M,59.55M,11.29M,42.95M,2.245M,0.077M,,,,-2.245M,54.24M,5.311M,,,,0.077M,,-16.99M,0.542M,-17.53M,,,,,-17.53M,-17.58M,50.50M,45.05M,5.311M,-0.17,0.0,,,-0.1705,-0.17,-0.17,0.0,,,-0.1705,-0.17,104.19M,104.19M,
2007-06,100.29M,100.29M,39.25M,61.04M,11.58M,41.65M,2.222M,-0.657M,,,,-2.222M,53.23M,7.811M,,,,-0.657M,,-14.97M,0.101M,-15.07M,,,,,-15.07M,-14.64M,51.68M,43.73M,7.811M,-0.15,0.0,,,-0.1459,-0.15,-0.15,0.0,,,-0.1459,-0.15,103.16M,103.16M,
2007-03,95.81M,95.81M,37.47M,58.34M,10.82M,40.29M,1.792M,0.035M,,,,-1.792M,51.12M,7.225M,,,,0.035M,,-16.30M,0.092M,-16.39M,,,,,-16.39M,-16.42M,49.31M,41.94M,7.225M,-0.16,0.0,,,-0.1602,-0.16,-0.16,0.0,,,-0.1602,-0.16,105.67M,105.67M,
2006-12,96.75M,96.75M,39.99M,56.76M,10.81M,39.89M,2.841M,-2.993M,,,,-2.841M,50.70M,6.054M,,,,-2.993M,,-24.31M,-0.047M,-24.26M,,,,,-24.26M,-21.28M,48.79M,41.29M,6.054M,-0.22,0.0,,,-0.1916,-0.22,-0.22,0.0,,,-0.1916,-0.22,105.01M,105.01M,
2006-09,98.17M,98.17M,42.15M,56.02M,11.04M,39.02M,4.494M,0.435M,,,,-4.851M,49.70M,6.316M,,,,0.435M,,-24.15M,0.194M,-24.34M,,,,,-24.34M,-24.60M,50.03M,43.72M,6.316M,-0.24,0.0,,,-0.2425,-0.24,-0.24,0.0,,,-0.2425,-0.24,103.73M,103.73M,
2006-06,87.38M,87.38M,40.18M,47.20M,11.50M,32.88M,3.373M,-53.91M,,,,-3.373M,44.38M,2.82M,,,,-53.91M,,75.44M,0.197M,-75.64M,,,,,-75.64M,-21.86M,40.47M,37.65M,2.82M,-0.77,0.0,,,-0.2221,-0.77,-0.77,0.0,,,-0.2221,-0.77,98.14M,98.14M,
2006-03,68.80M,68.80M,34.26M,34.54M,8.703M,21.01M,0.876M,,,,,8.784M,39.37M,-4.83M,,,,,,-8.807M,0.398M,-9.205M,,,,,-9.205M,-9.205M,21.66M,26.49M,-4.83M,-0.11,0.0,,,-0.11,-0.11,-0.11,0.0,,,-0.11,-0.11,85.69M,85.69M,
2005-12,72.42M,72.42M,38.97M,33.44M,7.141M,22.26M,0.805M,-20.14M,,,,-0.595M,29.61M,3.836M,,,,-20.14M,,-31.11M,1.173M,-32.28M,-0.015M,,,,-32.30M,-20.20M,32.05M,28.21M,3.836M,-0.39,0.0,,,-0.248,-0.39,-0.39,-0.0002,,,-0.2488,-0.39,85.11M,85.62M,
2005-09,66.02M,66.02M,35.00M,31.02M,6.725M,21.67M,0.701M,0.004M,,,,-0.717M,28.38M,2.634M,,,,0.004M,,-14.09M,0.354M,-14.45M,0.003M,,,,-14.44M,-14.45M,31.04M,28.40M,2.634M,-0.19,0.0,,,-0.19,-0.19,-0.19,0.0,,,-0.19,-0.19,74.49M,74.49M,
2005-06,63.25M,63.25M,34.68M,28.57M,7.112M,21.64M,0.546M,-15.38M,,,,-0.506M,28.80M,-0.227M,,,,-15.38M,,-26.04M,0.331M,-26.38M,0.121M,,,,-26.26M,-17.15M,29.36M,29.59M,-0.227M,-0.38,0.0,,,-0.2488,-0.38,-0.38,0.0,,,-0.2488,-0.38,70.33M,70.33M,
2005-03,58.30M,58.30M,31.29M,27.01M,7.20M,21.64M,0.798M,-1.567M,,,,-0.584M,29.06M,-2.047M,,,,-1.567M,,-21.30M,0.246M,-21.54M,-0.17M,,,,-21.71M,-20.60M,27.70M,29.75M,-2.047M,-0.33,0.0,,,-0.3156,-0.33,-0.33,0.0,,,-0.3156,-0.33,65.26M,65.26M,
2004-12,65.53M,65.53M,37.38M,28.15M,7.235M,22.35M,0.834M,-21.77M,,,,4.888M,35.31M,-7.16M,,,,-21.77M,,-41.50M,0.014M,-41.52M,-0.32M,,,,-41.84M,-28.45M,22.99M,30.15M,-7.16M,-0.66,0.0,,,-0.4548,-0.66,-0.66,-0.0049,,,-0.4587,-0.66,63.66M,64.90M,
2004-09,58.74M,58.74M,32.04M,26.70M,7.374M,22.64M,0.90M,-2.18M,,,,-0.812M,30.10M,-3.40M,,,,-2.18M,,-21.19M,0.234M,-24.83M,-2.542M,,,,-27.37M,-23.52M,31.19M,34.59M,-3.40M,-0.43,-0.04,,,-0.4074,-0.47,-0.43,-0.04,,,-0.4074,-0.47,57.78M,57.78M,
2004-06,56.35M,56.35M,29.85M,26.50M,7.096M,20.56M,0.873M,-2.046M,,,,0.67M,29.20M,-2.698M,,,,-2.046M,,-22.49M,0.274M,-22.77M,-0.479M,,,,-23.25M,-21.54M,23.18M,25.88M,-2.698M,-0.4,-0.01,,,-0.3784,-0.41,-0.4,-0.01,,,-0.3784,-0.41,56.93M,56.93M,
2004-03,50.86M,50.86M,28.01M,22.84M,7.181M,22.82M,0.838M,-22.34M,,,,-0.821M,30.01M,-7.168M,,,,-22.34M,,-51.27M,0.233M,-51.50M,0.075M,,,,-51.42M,-38.10M,23.01M,30.18M,-7.168M,-0.92,0.0,,,-0.6793,-0.92,-0.92,0.0,,,-0.6793,-0.92,55.68M,55.68M,
2003-12,51.44M,51.44M,32.77M,18.67M,7.722M,30.32M,1.345M,-21.07M,,,,0.881M,40.27M,-21.60M,,,,-21.07M,,-63.66M,0.361M,-64.22M,10.08M,0.00,,,-54.14M,-51.58M,18.79M,40.39M,-21.60M,-1.2,0.19,0.0,,-0.9665,-1.01,-1.2,0.1832,0.0,,-0.9702,-1.01,54.14M,55.02M,
