,NetIncome,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-06,-26.26M,,,8.08M,21.64M,7.947M,29.59M,29.59M,,,,,,-4.35M,-0.435M,1.60M,-5.074M,-1.391M,,-9.65M,,1.766M,-4.065M,0.345M,-3.72M,-5.806M,,-0.069M,-9.595M,,,-66.99M,1.485M,,1.485M,,,,75.44M,9.934M,19.02M,2.105M,,21.12M,1.485M,,,,,
2005-03,-21.71M,,,1.468M,21.64M,8.107M,29.75M,29.75M,,,,,,9.404M,0.145M,-3.944M,-0.985M,1.873M,,6.493M,,16.00M,-3.13M,0.57M,-2.56M,-10.21M,,-0.234M,-13.00M,,,-53.89M,0.278M,,0.278M,,,,,-53.61M,69.63M,-50.61M,,19.02M,0.278M,,,,,
2004-12,-41.84M,,,-28.10M,22.45M,7.705M,30.15M,30.15M,,,,,,-14.03M,1.213M,2.356M,1.657M,-2.068M,,-9.426M,,0.155M,-2.604M,0.394M,-2.21M,-0.911M,,4.486M,1.365M,,,45.09M,2.019M,,2.019M,,,,,47.11M,21.00M,48.63M,,69.63M,2.019M,,,,,
2004-09,-34.28M,,,1.835M,26.86M,7.734M,34.59M,34.59M,,,,,,4.191M,1.455M,0.27M,-0.768M,-8.27M,,-3.122M,,-0.97M,-1.226M,0.298M,-0.928M,-0.479M,,-0.05M,-1.457M,,,1.584M,0.011M,,0.011M,,,,,1.595M,21.83M,-0.832M,,21.00M,0.011M,,,,,
2004-06,-19.74M,,,3.124M,18.43M,7.447M,25.88M,25.88M,,,,,,-1.452M,-2.794M,1.57M,-0.522M,6.488M,,3.29M,,12.55M,-1.39M,0.406M,-0.984M,-0.362M,,4.43M,3.084M,,,-13.06M,0.096M,,0.096M,,,,,-12.97M,19.16M,2.664M,,21.83M,0.096M,,,,,
2004-03,-51.42M,,,22.98M,22.82M,7.362M,30.18M,30.18M,,,,,,1.241M,0.767M,-0.554M,14.83M,-15.54M,,0.748M,,2.485M,-1.994M,0.398M,-1.596M,-0.039M,,-0.031M,-1.666M,,,10.01M,,,,,,,,10.01M,8.338M,10.83M,,19.16M,,,,,,
2003-12,-54.14M,,,9.088M,38.40M,1.99M,40.39M,40.39M,,,,,,-2.624M,0.086M,-0.429M,-15.20M,13.32M,,-4.844M,,-9.512M,-2.925M,4.001M,1.076M,-0.377M,,13.03M,13.73M,,,257.86M,-0.009M,,-296.93M,,,,7.917M,-31.16M,35.28M,-26.95M,,8.338M,-0.009M,,,,,
2003-09,-30.84M,,,15.77M,21.07M,1.172M,22.24M,22.24M,,,,,-14.95M,3.853M,-0.153M,-0.042M,12.92M,-21.49M,,-4.914M,,-12.69M,-3.121M,45.94M,42.82M,-0.219M,,-11.76M,30.84M,,,-3.652M,0.018M,,0.018M,,,,-1.266M,-4.90M,22.04M,13.24M,,35.28M,0.018M,,,,,
2003-06,-56.41M,,,17.05M,16.80M,1.105M,17.91M,17.91M,,,,,14.15M,5.46M,-1.005M,-2.354M,-15.70M,18.12M,,4.52M,,-2.781M,-2.957M,142.51M,139.55M,-0.227M,,-20.00M,119.33M,,,-134.80M,0.022M,,0.022M,,,,-7.587M,-142.36M,47.86M,-25.82M,,22.04M,0.022M,,,,,
2003-03,-33.76M,,,1.74M,25.60M,6.068M,31.67M,31.67M,,,,,0.794M,6.44M,0.729M,-2.933M,-1.197M,-8.312M,,-5.273M,,-4.821M,-6.133M,,-6.133M,-2.303M,,,-8.436M,,,-0.027M,,,,,,,,-0.027M,61.14M,-13.28M,,47.86M,,,,,,
2002-12,-6.164M,,,-4.929M,9.103M,8.637M,17.74M,17.74M,,,,,,12.58M,0.915M,21.38M,-8.581M,8.597M,,34.89M,,41.54M,-1.873M,,-1.873M,-29.72M,,,-18.23M,,,-5.777M,0.07M,,0.07M,,,,1.191M,-4.516M,42.35M,18.79M,,61.14M,0.07M,,,,,
2002-09,-31.67M,,,2.413M,26.38M,8.461M,34.84M,34.84M,,,,,-1.112M,-3.394M,3.824M,-7.771M,-1.326M,-10.14M,,-18.81M,,-14.34M,-13.51M,,-13.51M,,,,-13.51M,,,39.96M,0.047M,,0.047M,,,,-1.126M,38.88M,31.31M,11.04M,,42.35M,0.047M,,,,,
2002-06,-47.34M,,,56.58M,24.19M,8.285M,32.48M,32.48M,,,,,-30.77M,0.691M,-3.405M,-10.99M,6.207M,20.55M,,13.06M,,24.01M,-41.40M,,-41.40M,16.51M,,,-24.89M,,,-0.154M,0.137M,,0.137M,,,,-0.065M,-0.082M,32.28M,-0.962M,,31.31M,0.137M,,,,,
2002-03,-163.82M,,,97.58M,26.05M,8.002M,34.06M,34.06M,,,,,31.88M,7.259M,0.022M,-17.85M,-1.066M,-21.45M,,-33.09M,,-33.39M,-29.58M,,-29.58M,-16.51M,,,-46.10M,,,97.78M,0.075M,,0.075M,,,,,97.86M,13.90M,18.37M,,32.28M,0.075M,,,,,
2001-12,-30.36M,,,14.84M,12.58M,7.86M,20.44M,20.44M,,,,,,-3.758M,1.491M,0.768M,0.171M,10.31M,,8.982M,,13.91M,107.61M,,107.61M,,,,-139.53M,,,68.68M,0.397M,,0.397M,,,,,69.08M,70.45M,-56.54M,,13.90M,0.397M,,,,,
2001-09,-49.12M,,,25.42M,20.14M,7.614M,27.76M,27.76M,,,,,,2.112M,-3.233M,10.88M,-0.22M,-6.028M,,3.516M,,7.581M,-87.85M,,-87.85M,,,,-87.85M,,,-0.536M,0.379M,,0.379M,,,,,-0.157M,150.88M,-80.43M,,70.45M,0.379M,,,,,
2001-06,-23.32M,,,1.236M,18.37M,7.288M,25.66M,25.66M,,,,,-20.73M,6.557M,-2.489M,7.116M,5.971M,23.93M,,41.08M,,23.92M,-169.01M,,-169.01M,,,,-169.01M,,,44.56M,1.041M,,1.041M,,,,,45.60M,250.36M,-99.49M,,150.88M,1.041M,,,,,
2001-03,-23.00M,,,6.256M,15.01M,6.968M,21.98M,21.98M,,,,,20.73M,-8.883M,0.382M,-30.95M,,-3.175M,,-42.63M,,-16.66M,-158.31M,,-158.31M,,,,-158.31M,,,408.92M,1.433M,,1.433M,,,,,410.35M,14.98M,235.38M,,250.36M,1.433M,,,,,
2000-12,-5.379M,,,0.1344M,,,-8.664M,-8.664M,,,,,,-16.17M,,15.59M,-2.541M,16.50M,,13.38M,,25.79M,283.11M,,283.11M,,,,-162.17M,,,24.74M,1.643M,,1.643M,,,,0.1286M,26.51M,124.84M,-109.86M,,14.98M,1.643M,,,,,
2000-09,-5.905M,,,0.4331M,,,16.16M,16.16M,,,,,,-2.945M,,1.829M,-8.543M,6.217M,,-3.442M,,7.249M,-119.96M,,-119.96M,,,,-119.96M,,,-25.01M,235.43M,,235.43M,,,,-0.0707M,210.35M,27.20M,97.64M,,124.84M,235.43M,,,,,
2000-06,-7.908M,,,0.5640M,,,14.28M,14.28M,,,,,,-12.58M,,22.21M,-0.6348M,1.314M,,10.31M,,17.25M,-102.56M,,-102.56M,,,,-102.56M,,,-0.0125M,0.8417M,,0.8417M,,,,-0.0134M,0.8157M,111.70M,-84.50M,,27.20M,0.8417M,,,,,
2000-03,-9.723M,,,0.5316M,,,13.05M,13.05M,,,,,,-3.524M,,-4.289M,-3.690M,4.874M,,-6.629M,,-2.774M,-60.59M,,-60.59M,,,,-60.59M,,,-59.51M,231.49M,,231.49M,,,,-0.0445M,171.93M,3.131M,108.57M,,111.70M,231.49M,,,,,
1999-12,-9.50M,,,0.40M,,,27.60M,27.60M,0.20M,,,,-16.40M,-0.50M,,11.80M,-1.70M,-0.30M,,9.30M,,11.60M,-60.90M,,-60.90M,,,,-60.90M,,,57.00M,0.50M,0.00,0.50M,,,,-7.90M,49.60M,2.70M,0.30M,,3.10M,0.50M,,,0.00,,
1999-09,-8.00M,,,-10.60M,,,4.30M,4.30M,-0.20M,,,,16.40M,-3.40M,,4.70M,-1.60M,1.80M,,1.50M,,3.40M,-56.40M,,-56.40M,,,,-56.40M,,,40.00M,11.20M,0.00,11.20M,,,,-0.40M,50.80M,5.00M,-2.20M,,2.70M,11.20M,,,0.00,,
1999-06,-7.60M,,,9.70M,,,-1.60M,-1.60M,,,,,0.10M,2.10M,,8.10M,0.80M,1.00M,,12.00M,,12.60M,-54.70M,,-54.70M,,,,-54.70M,,,-5.00M,82.70M,-32.80M,49.90M,,,,-0.10M,44.80M,2.30M,2.70M,,5.00M,82.70M,,,-32.80M,,
1999-03,-8.30M,,,1.20M,,,8.30M,8.30M,,,,,-0.10M,-1.80M,,-2.30M,-1.60M,0.10M,,-5.60M,,-4.50M,-36.90M,,-36.90M,,,,-36.90M,,,23.00M,,,,,,,-6.10M,16.90M,26.70M,-24.50M,,2.30M,,,,,,
