,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2012-12,1.791B,1.791B,299.00M,1.492B,724.00M,117.00M,841.00M,249.00M,71.00M,-27.00M,38.00M,4.00M,-34.00M,,1.161B,331.00M,4.00M,38.00M,-34.00M,-7.00M,-34.00M,290.00M,74.00M,216.00M,,235.98M,487.00M,159.00M,328.00M,,,0.3388,0.31,,2012-12,0.3385,0.31,,702.00M,,,2012-12,AOR,Restated
2012-09,1.699B,1.699B,284.00M,1.415B,667.00M,109.00M,776.00M,247.00M,72.00M,-23.00M,35.00M,2.00M,-33.00M,,1.095B,320.00M,2.00M,35.00M,-33.00M,-22.00M,-33.00M,265.00M,76.00M,189.00M,,205.33M,462.00M,162.00M,300.00M,,,0.2933,0.27,,2012-09,0.2931,0.27,,708.00M,,,2012-09,AOR,Restated
2012-06,1.668B,1.668B,284.00M,1.384B,668.00M,110.00M,778.00M,249.00M,72.00M,-35.00M,29.00M,3.00M,-26.00M,,1.099B,285.00M,3.00M,29.00M,-26.00M,-41.00M,-26.00M,218.00M,58.00M,160.00M,,185.55M,407.00M,160.00M,247.00M,,,0.2557,0.22,,2012-06,0.2555,0.22,,720.00M,,,2012-06,AOR,Restated
2012-03,1.681B,1.681B,287.00M,1.394B,716.00M,113.00M,829.00M,241.00M,72.00M,491.00M,28.00M,3.00M,-25.00M,,1.142B,252.00M,3.00M,28.00M,-25.00M,489.00M,-25.00M,716.00M,142.00M,574.00M,,180.38M,913.00M,169.00M,744.00M,,,0.2401,0.78,,2012-03,0.2352,0.77,,736.00M,,,2012-03,AOR,Restated
2011-12,1.715B,1.715B,271.00M,1.444B,711.00M,113.00M,824.00M,242.00M,73.00M,-5.00M,27.00M,2.00M,-25.00M,,1.139B,305.00M,2.00M,27.00M,-25.00M,-7.00M,-25.00M,273.00M,32.00M,241.00M,,244.40M,461.00M,161.00M,300.00M,,,0.3360,0.33,,2011-12,0.3259,0.32,,740.00M,,,2011-12,AOR,Restated
2011-09,1.681B,1.681B,265.00M,1.416B,697.00M,106.00M,803.00M,247.00M,73.00M,-8.00M,28.00M,4.00M,-24.00M,,1.123B,293.00M,4.00M,28.00M,-24.00M,-20.00M,-24.00M,249.00M,67.00M,182.00M,,187.84M,439.00M,162.00M,277.00M,,,0.2478,0.24,,2011-09,0.2478,0.24,,751.00M,,,2011-09,AOR,Restated
2011-06,1.653B,1.653B,259.00M,1.394B,665.00M,105.00M,770.00M,239.00M,71.00M,-12.00M,32.00M,4.00M,-28.00M,,1.08B,314.00M,4.00M,32.00M,-28.00M,-29.00M,-28.00M,257.00M,67.00M,190.00M,,199.88M,450.00M,161.00M,289.00M,,,0.2618,0.25,,2011-06,0.2616,0.25,,765.00M,,,2011-06,AOR,Restated
2011-03,1.673B,1.673B,270.00M,1.403B,733.00M,100.00M,833.00M,226.00M,72.00M,-30.00M,37.00M,3.00M,-34.00M,,1.131B,272.00M,3.00M,37.00M,-34.00M,-63.00M,-34.00M,175.00M,30.00M,166.00M,,192.86M,368.00M,156.00M,212.00M,,,0.2526,0.22,,2011-03,0.2521,0.22,,774.00M,,,2011-03,AOR,Restated
2010-12,1.604B,1.604B,264.00M,1.34B,704.00M,97.00M,801.00M,220.00M,70.00M,-38.00M,37.00M,3.00M,-34.00M,,1.091B,249.00M,3.00M,37.00M,-34.00M,-38.00M,-34.00M,177.00M,35.00M,132.00M,,162.49M,377.00M,163.00M,214.00M,,0.00,0.2096,0.17,,2010-12,0.2092,0.17,,778.00M,,,2010-12,AOR,
2010-09,1.48B,1.48B,246.00M,1.234B,612.00M,100.00M,712.00M,208.00M,67.00M,-31.00M,36.00M,2.00M,-34.00M,,987.00M,247.00M,2.00M,36.00M,-34.00M,-31.00M,-34.00M,182.00M,44.00M,134.00M,,159.51M,374.00M,156.00M,218.00M,,0.00,0.2001,0.17,,2010-09,0.1999,0.17,,786.00M,,,2010-09,AOR,
