,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.016B,1.774B,388.00M,2.162B,809.00M,940.00M,,177.00M,,94.00M,3.493B,0.00,66.00M,365.00M,1.191B,,29.00M,339.00M,1.99B,-1.212B,778.00M,8.319B,2.643B,10.96B,309.00M,61.00M,81.00M,75.00M,12.27B,15.76B,168.00M,,168.00M,,168.00M,,,,,,2.368B,2.368B,372.00M,3.17B,5.026B,,5.026B,592.00M,735.00M,1.327B,,,10.74B,,2018-03,4.691B,328.00M,5.023B,,2018-03,AOR,Restated
2017-12,,2.142B,390.00M,2.532B,666.00M,666.00M,,,,369.00M,3.567B,,,,,,,,,,838.00M,8.318B,2.754B,11.07B,332.00M,,,171.00M,12.41B,15.98B,181.00M,186.00M,367.00M,,367.00M,,,,,,2.151B,2.151B,368.00M,3.101B,5.587B,,5.587B,618.00M,579.00M,1.197B,,,11.02B,,2017-12,4.507B,436.00M,4.958B,,2017-12,AOR,Restated
2017-09,,1.826B,200.00M,2.026B,514.00M,514.00M,,,,401.00M,3.687B,,,,,,,,,,868.00M,8.301B,2.847B,11.15B,159.00M,,,134.00M,12.31B,16.00B,187.00M,36.00M,223.00M,,223.00M,,,130.00M,,130.00M,2.041B,2.041B,700.00M,3.287B,6.079B,,6.079B,2.239B,473.00M,2.712B,,,12.46B,,2017-09,4.434B,-906.00M,3.535B,,2017-09,AOR,Restated
2017-06,,2.306B,,2.306B,468.00M,468.00M,,,,399.00M,3.173B,,,,,,,,,,895.00M,8.638B,2.892B,11.53B,158.00M,,,112.00M,12.70B,15.87B,121.00M,22.00M,143.00M,,143.00M,,,,,,2.329B,2.329B,443.00M,3.121B,6.202B,,6.202B,2.332B,465.00M,2.797B,,,12.48B,,2017-06,4.273B,-894.00M,3.389B,,2017-06,AOR,Restated
2017-03,1.183B,4.247B,9.00M,4.256B,649.00M,728.00M,,165.00M,,113.00M,5.324B,0.00,73.00M,425.00M,1.199B,,22.00M,336.00M,2.055B,-1.118B,937.00M,8.627B,3.004B,11.63B,158.00M,11.00M,58.00M,55.00M,12.85B,18.17B,180.00M,,180.00M,,180.00M,,,1.31B,,1.31B,2.353B,2.353B,507.00M,4.622B,6.876B,,6.876B,2.401B,434.00M,2.835B,,,14.69B,,2017-03,4.236B,-761.00M,3.487B,,2017-03,AOR,Restated
2016-12,,5.575B,,5.575B,557.00M,557.00M,,,,379.00M,6.511B,,,,,,,,,,893.00M,7.227B,1.867B,9.094B,158.00M,,,104.00M,10.25B,16.76B,143.00M,15.00M,158.00M,,158.00M,,,780.00M,,780.00M,2.075B,2.075B,352.00M,3.605B,6.358B,,6.358B,2.164B,398.00M,2.562B,,,12.81B,,2016-12,4.564B,-618.00M,3.949B,,2016-12,AOR,Restated
2016-09,,5.61B,9.00M,5.619B,459.00M,459.00M,,,,391.00M,6.469B,,,,,,,,,,933.00M,7.232B,1.961B,9.193B,159.00M,,,110.00M,10.40B,16.86B,139.00M,96.00M,235.00M,,235.00M,,,600.00M,,600.00M,2.085B,2.085B,371.00M,3.509B,6.576B,,6.576B,2.234B,402.00M,2.636B,,,13.00B,,2016-09,4.527B,-664.00M,3.862B,,2016-09,AOR,Restated
2016-06,,6.108B,10.00M,6.118B,314.00M,314.00M,,,,367.00M,6.799B,,,,,,,,,,904.00M,3.146B,423.00M,3.569B,157.00M,,,101.00M,4.731B,11.53B,115.00M,24.00M,139.00M,,139.00M,,,599.00M,,599.00M,2.085B,2.085B,333.00M,3.322B,2.605B,,2.605B,1.266B,332.00M,1.598B,,,7.764B,,2016-06,4.289B,-520.00M,3.766B,,2016-06,AOR,Restated
2016-03,,5.983B,,5.983B,556.00M,556.00M,,,,420.00M,6.959B,0.00,73.00M,426.00M,1.079B,,74.00M,310.00M,1.962B,-1.005B,957.00M,3.148B,443.00M,3.591B,157.00M,,,103.00M,4.808B,11.77B,175.00M,941.00M,1.116B,,1.116B,,,,,,2.279B,2.279B,419.00M,4.033B,2.207B,,2.207B,1.235B,359.00M,1.594B,,,8.091B,,2016-03,4.309B,-655.00M,3.676B,,2016-03,AOR,Restated
2015-12,,2.213B,56.00M,2.269B,490.00M,490.00M,,,223.00M,189.00M,7.173B,,,,,,,,,,986.00M,3.146B,464.00M,3.61B,,,11.00M,156.00M,4.763B,11.94B,241.00M,,241.00M,,241.00M,,,,,,2.18B,2.18B,1.203B,3.827B,1.74B,,1.74B,399.00M,366.00M,765.00M,,,6.542B,,2015-12,7.00M,73.00M,5.394B,,2015-12,AOR,Restated
2015-09,,3.097B,260.00M,3.357B,738.00M,738.00M,,,207.00M,250.00M,4.664B,,,,,,,,,,1.262B,5.847B,572.00M,6.419B,,,14.00M,101.00M,7.796B,12.46B,326.00M,,326.00M,,326.00M,,,,,,2.766B,2.766B,348.00M,3.729B,1.74B,,1.74B,381.00M,505.00M,886.00M,,,6.568B,,2015-09,7.00M,3.00M,5.892B,,2015-09,AOR,Restated
2015-06,,2.981B,903.00M,3.884B,604.00M,604.00M,,,152.00M,267.00M,5.022B,,,,,,,,,,1.201B,5.849B,596.00M,6.445B,,,20.00M,96.00M,7.762B,12.78B,184.00M,,184.00M,,184.00M,,,348.00M,,348.00M,2.901B,2.901B,348.00M,4.064B,1.741B,,1.741B,335.00M,518.00M,853.00M,,,6.888B,,2015-06,7.00M,-153.00M,5.896B,,2015-06,AOR,Restated
2015-03,,2.843B,1.017B,3.86B,700.00M,700.00M,,,152.00M,295.00M,5.422B,0.00,73.00M,426.00M,1.01B,,79.00M,249.00M,1.837B,-887.00M,950.00M,3.146B,525.00M,3.671B,10.00M,,,3.18B,7.811B,13.23B,169.00M,47.00M,216.00M,,216.00M,,,350.00M,,350.00M,2.427B,2.427B,1.228B,4.453B,1.746B,,1.746B,308.00M,444.00M,752.00M,,,7.298B,,2015-03,6.101B,-270.00M,5.935B,,2015-03,AOR,Restated
2014-12,,2.764B,976.00M,3.74B,982.00M,982.00M,12.00M,,143.00M,258.00M,5.255B,0.00,79.00M,544.00M,1.845B,,93.00M,372.00M,2.933B,-1.747B,1.186B,5.854B,669.00M,6.523B,,,25.00M,113.00M,7.847B,13.10B,212.00M,,212.00M,,212.00M,,,350.00M,,350.00M,2.961B,2.961B,328.00M,4.233B,1.745B,,1.745B,465.00M,533.00M,998.00M,,,7.192B,,2014-12,7.00M,-446.00M,5.91B,,2014-12,AOR,Restated
2014-09,,2.972B,821.00M,3.793B,722.00M,722.00M,11.00M,,152.00M,249.00M,5.038B,0.00,79.00M,540.00M,1.966B,,85.00M,368.00M,3.038B,-1.857B,1.181B,5.86B,690.00M,6.55B,,,24.00M,90.00M,7.845B,12.88B,219.00M,,219.00M,,219.00M,,,350.00M,,350.00M,2.874B,2.874B,292.00M,4.045B,1.745B,,1.745B,441.00M,543.00M,984.00M,,,6.986B,,2014-09,7.00M,-668.00M,5.897B,,2014-09,AOR,Restated
2014-06,,3.067B,982.00M,4.049B,685.00M,685.00M,11.00M,,149.00M,276.00M,5.288B,0.00,79.00M,541.00M,1.955B,,52.00M,366.00M,2.993B,-1.853B,1.14B,5.871B,735.00M,6.606B,,,18.00M,112.00M,7.876B,13.16B,230.00M,,230.00M,,230.00M,,,,,,3.141B,3.141B,275.00M,3.979B,2.095B,,2.095B,462.00M,572.00M,1.034B,,,7.326B,,2014-06,7.00M,-912.00M,5.838B,,2014-06,AOR,Restated
2014-03,,3.707B,377.00M,4.084B,1.007B,1.007B,,,142.00M,304.00M,5.652B,0.00,79.00M,539.00M,1.937B,,28.00M,356.00M,2.939B,-1.823B,1.116B,5.858B,768.00M,6.626B,,,21.00M,124.00M,7.887B,13.54B,282.00M,,282.00M,,282.00M,,,,,,3.322B,3.322B,337.00M,4.306B,2.095B,,2.095B,425.00M,581.00M,1.006B,,,7.742B,,2014-03,7.00M,-1.148B,5.797B,,2014-03,AOR,Restated
2013-12,,3.813B,77.00M,3.89B,892.00M,892.00M,13.00M,,170.00M,245.00M,5.316B,0.00,79.00M,532.00M,1.902B,,31.00M,338.00M,2.882B,-1.772B,1.11B,5.856B,809.00M,6.665B,,,29.00M,138.00M,7.942B,13.26B,306.00M,,306.00M,,306.00M,,,,,,3.087B,3.087B,418.00M,4.149B,2.094B,,2.094B,440.00M,501.00M,941.00M,,,7.50B,,2013-12,7.00M,-1.316B,5.758B,,2013-12,AOR,Restated
2013-09,,3.727B,105.00M,3.832B,573.00M,573.00M,16.00M,,174.00M,261.00M,4.97B,0.00,79.00M,531.00M,1.814B,,66.00M,335.00M,2.825B,-1.734B,1.091B,5.859B,852.00M,6.711B,,,28.00M,114.00M,7.944B,12.91B,249.00M,,249.00M,,249.00M,,,,,,3.003B,3.003B,343.00M,3.907B,2.094B,,2.094B,474.00M,498.00M,972.00M,,,7.257B,,2013-09,7.00M,-1.599B,5.657B,,2013-09,AOR,Restated
2013-06,,3.749B,34.00M,3.783B,744.00M,744.00M,17.00M,,172.00M,329.00M,5.179B,0.00,79.00M,532.00M,1.927B,,61.00M,323.00M,2.922B,-1.82B,1.102B,5.841B,890.00M,6.731B,,,30.00M,109.00M,7.972B,13.15B,274.00M,,274.00M,,274.00M,,,,,,3.292B,3.292B,318.00M,4.205B,2.094B,,2.094B,443.00M,520.00M,963.00M,,,7.654B,,2013-06,7.00M,-1.84B,5.497B,,2013-06,AOR,Restated
2013-03,,4.685B,62.00M,4.747B,1.031B,1.031B,24.00M,,169.00M,315.00M,6.416B,0.00,79.00M,530.00M,1.992B,,64.00M,310.00M,2.975B,-1.853B,1.122B,5.841B,977.00M,6.818B,,,29.00M,123.00M,8.092B,14.51B,334.00M,,334.00M,,334.00M,,,997.00M,,997.00M,3.496B,3.496B,318.00M,5.567B,2.094B,,2.094B,409.00M,584.00M,993.00M,,0.00,9.032B,,2013-03,7.00M,-2.046B,5.476B,,2013-03,AOR,Restated
2012-12,,4.20B,52.00M,4.252B,1.081B,1.081B,20.00M,,193.00M,270.00M,5.816B,0.00,79.00M,520.00M,1.951B,,75.00M,312.00M,2.937B,-1.807B,1.13B,5.843B,1.065B,6.908B,,,,108.00M,8.146B,13.96B,317.00M,,317.00M,,317.00M,,,982.00M,,982.00M,3.298B,3.298B,431.00M,5.482B,2.094B,,2.094B,321.00M,508.00M,829.00M,,0.00,8.806B,,2012-12,7.00M,-2.285B,5.156B,,2012-12,AOR,Restated
2012-09,,4.002B,5.00M,4.007B,735.00M,735.00M,23.00M,,197.00M,244.00M,5.206B,0.00,79.00M,491.00M,1.906B,,96.00M,307.00M,2.879B,-1.765B,1.114B,5.842B,1.155B,6.997B,,,,146.00M,8.257B,13.46B,278.00M,,278.00M,,278.00M,,,968.00M,,968.00M,3.118B,3.118B,336.00M,5.008B,2.093B,,2.093B,312.00M,501.00M,813.00M,,15.00M,8.36B,,2012-09,7.00M,-2.494B,5.088B,,2012-09,AOR,Restated
2012-06,,4.082B,29.00M,4.111B,627.00M,627.00M,27.00M,,192.00M,262.00M,5.219B,0.00,79.00M,489.00M,1.845B,,101.00M,301.00M,2.815B,-1.709B,1.106B,5.842B,1.244B,7.086B,,,,145.00M,8.337B,13.56B,326.00M,,326.00M,,326.00M,,,955.00M,,955.00M,3.236B,3.236B,311.00M,5.114B,2.093B,,2.093B,287.00M,509.00M,796.00M,,80.00M,8.474B,,2012-06,7.00M,-2.687B,5.002B,,2012-06,AOR,Restated
2012-03,,3.162B,49.00M,3.211B,940.00M,940.00M,28.00M,,205.00M,249.00M,4.633B,0.00,79.00M,489.00M,1.816B,,95.00M,284.00M,2.763B,-1.663B,1.10B,5.826B,1.337B,7.163B,,,,124.00M,8.387B,13.02B,324.00M,,324.00M,,324.00M,,,,,,3.444B,3.444B,321.00M,4.505B,2.039B,,2.039B,288.00M,529.00M,817.00M,,78.00M,7.848B,,2012-03,7.00M,-2.859B,5.094B,,2012-03,AOR,Restated
2011-12,,2.327B,53.00M,2.38B,1.009B,1.009B,32.00M,,222.00M,243.00M,3.886B,0.00,79.00M,486.00M,1.695B,,103.00M,273.00M,2.636B,-1.586B,1.05B,5.725B,1.379B,7.104B,0.00,,,143.00M,8.297B,12.18B,268.00M,66.00M,334.00M,,334.00M,,,,,,3.16B,3.16B,282.00M,4.169B,2.025B,,2.025B,354.00M,505.00M,859.00M,,86.00M,7.448B,,2011-12,7.00M,-3.418B,4.649B,,2011-12,AOR,Restated
2011-09,,2.215B,38.00M,2.253B,694.00M,694.00M,28.00M,,218.00M,240.00M,3.433B,0.00,79.00M,486.00M,1.724B,,95.00M,271.00M,2.655B,-1.612B,1.043B,5.732B,1.477B,7.209B,0.00,,,150.00M,8.402B,11.84B,304.00M,65.00M,369.00M,,369.00M,,,,,,2.962B,2.962B,252.00M,3.895B,2.012B,,2.012B,333.00M,490.00M,823.00M,,85.00M,7.197B,,2011-09,8.00M,-3.658B,4.553B,,2011-09,AOR,Restated
2011-06,,2.29B,7.00M,2.297B,675.00M,675.00M,28.00M,,226.00M,258.00M,3.484B,0.00,79.00M,487.00M,1.699B,,85.00M,271.00M,2.621B,-1.581B,1.04B,5.739B,1.591B,7.33B,14.00M,,,155.00M,8.539B,12.02B,260.00M,21.00M,281.00M,,281.00M,,,,,,3.18B,3.18B,261.00M,4.051B,1.999B,,1.999B,349.00M,509.00M,858.00M,,80.00M,7.379B,,2011-06,8.00M,-3.84B,4.564B,,2011-06,AOR,Restated
2011-03,,2.95B,8.00M,2.958B,1.013B,1.013B,30.00M,,223.00M,262.00M,4.486B,0.00,79.00M,467.00M,1.647B,,117.00M,270.00M,2.58B,-1.53B,1.05B,5.494B,1.511B,7.005B,27.00M,,,151.00M,8.233B,12.72B,260.00M,24.00M,284.00M,443.00M,727.00M,,,596.00M,,596.00M,3.321B,3.321B,249.00M,4.893B,1.987B,,1.987B,296.00M,498.00M,794.00M,361.00M,77.00M,8.114B,,2011-03,8.00M,-4.012B,4.528B,,2011-03,AOR,Restated
2010-06,,2.726B,13.00M,2.739B,573.00M,573.00M,22.00M,,172.00M,249.00M,3.755B,0.00,71.00M,440.00M,1.459B,,74.00M,236.00M,2.28B,-1.345B,935.00M,4.86B,1.172B,6.032B,51.00M,,,93.00M,7.111B,10.87B,213.00M,46.00M,259.00M,284.00M,543.00M,1.044B,,1.044B,,1.044B,2.65B,2.65B,293.00M,4.53B,853.00M,,853.00M,186.00M,348.00M,534.00M,358.00M,,6.328B,,2010-06,8.00M,-4.448B,4.538B,,2010-06,AOR,Restated
2010-03,,3.029B,15.00M,3.044B,856.00M,856.00M,25.00M,,176.00M,250.00M,4.351B,0.00,71.00M,440.00M,1.422B,,70.00M,245.00M,2.248B,-1.299B,949.00M,4.605B,1.179B,5.784B,58.00M,,,90.00M,6.881B,11.23B,214.00M,35.00M,249.00M,349.00M,598.00M,,,,,,2.835B,2.835B,338.00M,3.771B,1.871B,,1.871B,195.00M,371.00M,566.00M,426.00M,0.00,6.684B,,2010-03,8.00M,-4.609B,4.548B,,2010-03,AOR,Restated
2009-12,,2.593B,18.00M,2.611B,901.00M,901.00M,24.00M,,184.00M,224.00M,3.944B,0.00,79.00M,482.00M,1.408B,,,278.00M,2.247B,-1.257B,990.00M,4.606B,1.282B,5.888B,60.00M,,,67.00M,7.005B,10.95B,198.00M,27.00M,225.00M,362.00M,587.00M,,,,,,2.68B,2.68B,333.00M,3.60B,1.844B,,1.844B,178.00M,369.00M,547.00M,487.00M,,6.529B,,2009-12,8.00M,-4.80B,4.42B,,2009-12,AOR,Restated
2009-09,,2.314B,18.00M,2.332B,688.00M,688.00M,23.00M,,178.00M,272.00M,3.493B,0.00,79.00M,485.00M,1.368B,,,290.00M,2.222B,-1.228B,994.00M,4.596B,1.38B,5.976B,72.00M,,6.00M,70.00M,7.118B,10.61B,218.00M,24.00M,242.00M,307.00M,549.00M,,,,,,2.52B,2.52B,304.00M,3.373B,1.818B,,1.818B,181.00M,385.00M,566.00M,588.00M,,6.41B,,2009-09,8.00M,-5.101B,4.201B,,2009-09,AOR,Restated
2009-06,,2.192B,24.00M,2.216B,619.00M,619.00M,24.00M,,168.00M,279.00M,3.306B,0.00,79.00M,484.00M,1.281B,,,270.00M,2.114B,-1.129B,985.00M,4.589B,1.486B,6.075B,84.00M,,6.00M,73.00M,7.223B,10.53B,226.00M,19.00M,245.00M,,245.00M,,,,,,2.581B,2.581B,274.00M,3.392B,1.792B,,1.792B,190.00M,392.00M,582.00M,,,6.417B,,2009-06,8.00M,-5.251B,4.112B,,2009-06,AOR,Restated
2009-03,,1.793B,199.00M,1.992B,837.00M,837.00M,27.00M,,163.00M,278.00M,3.297B,0.00,78.00M,483.00M,1.188B,,73.00M,228.00M,2.05B,-1.077B,973.00M,4.561B,1.639B,6.20B,97.00M,,,71.00M,7.341B,10.64B,190.00M,44.00M,234.00M,374.00M,608.00M,,,,,,2.644B,2.644B,261.00M,3.513B,1.766B,,1.766B,181.00M,419.00M,600.00M,522.00M,,6.491B,,2009-03,8.00M,-5.336B,4.147B,,2009-03,AOR,Restated
2008-12,,1.449B,79.89M,1.529B,927.05M,927.05M,27.42M,,181.00M,278.74M,2.943B,0.00,76.77M,740.60M,1.229B,,,,2.046B,-1.074B,972.24M,4.956B,1.789B,6.745B,,,4.399M,177.49M,7.899B,10.84B,213.47M,,213.47M,387.54M,601.01M,,,,,,2.512B,2.512B,357.51M,3.471B,2.10B,,2.10B,73.80M,,73.80M,,,6.651B,,2008-12,8.202M,-4.927B,4.191B,,2008-12,,Restated
2008-09,,2.262B,42.48M,2.305B,645.18M,645.18M,26.59M,,196.27M,258.50M,3.431B,0.00,78.39M,720.91M,1.196B,,,,1.995B,-1.052B,942.75M,11.32B,1.668B,12.99B,,,58.78M,198.19M,14.19B,17.62B,210.03M,,210.03M,344.05M,554.08M,,,,,,2.337B,2.337B,279.10M,3.170B,2.10B,,2.10B,194.73M,,194.73M,,,6.429B,,2008-09,8.357M,1.881B,11.19B,,2008-09,,
2008-06,,2.045B,241.06M,2.286B,652.46M,652.46M,28.32M,,199.19M,233.38M,3.400B,0.00,94.77M,798.18M,1.189B,,,,2.082B,-1.054B,1.029B,11.31B,1.805B,13.12B,,,,263.66M,14.41B,17.81B,181.33M,,181.33M,349.06M,530.38M,,,,,,2.603B,2.603B,300.15M,3.433B,2.10B,,2.10B,197.07M,,197.07M,,,6.743B,,2008-06,8.376M,1.801B,11.07B,,2008-06,,Restated
2008-03,,1.890B,536.73M,2.427B,758.20M,758.20M,34.14M,,193.78M,316.85M,3.730B,0.00,94.78M,492.86M,1.217B,,,276.12M,2.081B,-1.079B,1.002B,11.21B,1.892B,13.10B,150.00M,,55.30M,55.29M,14.36B,18.09B,169.63M,72.26M,241.89M,431.34M,673.24M,,,200.00M,,200.00M,2.662B,2.662B,264.83M,3.800B,2.10B,,2.10B,219.34M,415.05M,634.40M,478.74M,,7.119B,,2008-03,8.393M,1.666B,10.97B,,2008-03,,Restated
2007-12,,1.484B,500.11M,1.985B,901.62M,901.62M,34.59M,,171.20M,282.60M,3.375B,0.00,100.96M,768.25M,1.207B,,,,2.077B,-1.037B,1.040B,11.21B,2.032B,13.24B,,,58.46M,53.66M,14.39B,17.77B,162.87M,,162.87M,410.17M,573.04M,,,200.00M,,200.00M,2.498B,2.498B,310.68M,3.581B,2.10B,,2.10B,219.78M,,219.78M,,,6.838B,,2007-12,8.452M,1.514B,10.93B,,2007-12,,
2007-09,,1.388B,627.48M,2.016B,601.84M,601.84M,32.74M,,172.42M,206.84M,3.030B,0.00,113.59M,823.86M,1.177B,,,,2.114B,-988.51M,1.126B,10.95B,2.104B,13.05B,,,50.00M,59.26M,14.29B,17.32B,169.42M,,169.42M,324.24M,493.66M,,,,,,2.266B,2.266B,232.02M,2.991B,2.10B,,2.10B,277.04M,,277.04M,,,6.211B,,2007-09,8.65M,1.405B,11.11B,,2007-09,,
