,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2018-03,169.00M,,,,,,,301.00M,301.00M,10.00M,82.00M,,19.00M,36.00M,-77.00M,-89.00M,-171.00M,-4.00M,,-10.00M,-351.00M,263.00M,,2018-03,-231.00M,,-231.00M,,-6.00M,1.00M,,2018-03,-1.00M,-1.00M,,-64.00M,-64.00M,-76.00M,-76.00M,,-38.00M,-179.00M,2018-03,3.298B,-152.00M,0.00,,2018-03,,,,-1.00M,-64.00M,2018-03,AOR,Restated
2017-12,-524.00M,,,,21.00M,,,323.00M,323.00M,700.00M,65.00M,,17.00M,85.00M,-11.00M,-59.00M,197.00M,-41.00M,,-25.00M,61.00M,745.00M,,2017-12,-309.00M,,-309.00M,0.00,-16.00M,-3.00M,,2017-12,-1.00M,-1.00M,,0.00,0.00,-40.00M,-40.00M,,-85.00M,-126.00M,2017-12,3.004B,291.00M,3.00M,,2017-12,,,,-1.00M,0.00,2017-12,AOR,Restated
2017-09,206.00M,,,,-5.00M,,,328.00M,328.00M,21.00M,69.00M,,18.00M,37.00M,68.00M,-27.00M,-194.00M,-11.00M,,-21.00M,-185.00M,486.00M,,2017-09,-194.00M,,-194.00M,0.00,15.00M,1.00M,,2017-09,-383.00M,-383.00M,,0.00,0.00,-40.00M,-40.00M,,-12.00M,-435.00M,2017-09,3.13B,-127.00M,1.00M,,2017-09,,,,-383.00M,0.00,2017-09,AOR,Restated
2017-06,166.00M,,,,-16.00M,,,310.00M,310.00M,19.00M,49.00M,,19.00M,62.00M,-61.00M,-63.00M,-39.00M,2.00M,,77.00M,-84.00M,522.00M,,2017-06,-183.00M,,-183.00M,0.00,-113.00M,14.00M,,2017-06,,,,0.00,0.00,-27.00M,-27.00M,,-28.00M,-55.00M,2017-06,2.944B,185.00M,1.00M,,2017-06,,,,,0.00,2017-06,AOR,Restated
2017-03,81.00M,,,,,,,300.00M,300.00M,57.00M,43.00M,,16.00M,64.00M,39.00M,-55.00M,-57.00M,-2.00M,,-109.00M,-184.00M,371.00M,,2017-03,-180.00M,,-180.00M,,19.00M,3.00M,,2017-03,,,,0.00,0.00,-27.00M,-27.00M,,-25.00M,-52.00M,2017-03,2.782B,161.00M,1.00M,,2017-03,,,,,0.00,2017-03,AOR,Restated
2016-12,-921.00M,,,,1.00M,,,321.00M,321.00M,-6.00M,1.094B,,16.00M,146.00M,-133.00M,-86.00M,112.00M,-20.00M,,60.00M,-67.00M,627.00M,,2016-12,-301.00M,,-301.00M,920.00M,-4.00M,18.00M,,2016-12,-535.00M,-535.00M,,,,-26.00M,-26.00M,,7.00M,-566.00M,2016-12,2.099B,689.00M,-2.00M,,2016-12,,,,-535.00M,,2016-12,AOR,Restated
2016-09,135.00M,,,,-5.00M,,,335.00M,335.00M,84.00M,207.00M,,17.00M,-70.00M,-45.00M,-50.00M,38.00M,-40.00M,,-98.00M,-195.00M,856.00M,,2016-09,-269.00M,,-269.00M,,2.00M,-17.00M,,2016-09,-276.00M,-276.00M,,,,-14.00M,-14.00M,,-13.00M,-469.00M,2016-09,2.181B,90.00M,0.00,,2016-09,,,,-276.00M,,2016-09,AOR,Restated
2016-06,-2.00M,,,,0.00,,,281.00M,281.00M,234.00M,,,21.00M,108.00M,131.00M,-97.00M,20.00M,-17.00M,,-11.00M,26.00M,777.00M,,2016-06,-283.00M,,-283.00M,0.00,-2.00M,2.00M,,2016-06,-2.00M,-2.00M,,,,-14.00M,-14.00M,,36.00M,-40.00M,2016-06,1.781B,443.00M,-2.00M,,2016-06,,,,-2.00M,,2016-06,AOR,Restated
2016-03,-24.00M,,,,-104.00M,,,276.00M,276.00M,138.00M,,,16.00M,112.00M,-52.00M,-96.00M,-98.00M,-6.00M,,-5.00M,-257.00M,526.00M,,2016-03,-280.00M,,-280.00M,0.00,184.00M,2.00M,,2016-03,-499.00M,-499.00M,,,,-13.00M,-13.00M,,-137.00M,-742.00M,2016-03,2.363B,-327.00M,6.00M,,2016-03,,,,-499.00M,,2016-03,AOR,Restated
2015-12,-427.00M,0.00,,,-9.00M,,,310.00M,310.00M,66.00M,305.00M,,19.00M,44.00M,-10.00M,-45.00M,53.00M,-9.00M,0.00,-13.00M,-24.00M,272.00M,,2015-12,-422.00M,,-422.00M,-4.00M,-17.00M,92.00M,,2015-12,-2.00M,-2.00M,0.00,,0.00,-14.00M,-14.00M,,18.00M,-59.00M,2015-12,2.43B,-176.00M,-3.00M,,2015-12,,0.00,,-2.00M,,2015-12,AOR,Restated
2015-09,-74.00M,-76.00M,,,-142.00M,,,227.00M,227.00M,2.00M,29.00M,,18.00M,89.00M,196.00M,-63.00M,-17.00M,26.00M,-46.00M,-10.00M,86.00M,810.00M,,2015-09,-283.00M,,-283.00M,-819.00M,0.00,41.00M,,2015-09,54.00M,54.00M,0.00,,0.00,-15.00M,-15.00M,,86.00M,-39.00M,2015-09,3.308B,-342.00M,-2.00M,,2015-09,,0.00,,54.00M,,2015-09,AOR,Restated
2015-06,139.00M,,,,1.00M,,,276.00M,276.00M,69.00M,16.00M,,20.00M,115.00M,-127.00M,-119.00M,72.00M,-89.00M,82.00M,-14.00M,-195.00M,438.00M,,2015-06,-322.00M,,-322.00M,,0.00,-3.00M,,2015-06,-76.00M,-76.00M,675.00M,,675.00M,-11.00M,-11.00M,,8.00M,596.00M,2015-06,2.598B,709.00M,1.00M,,2015-06,,675.00M,,-76.00M,,2015-06,AOR,Restated
2015-03,221.00M,,,,-44.00M,,,289.00M,289.00M,61.00M,57.00M,,20.00M,97.00M,38.00M,-60.00M,-112.00M,85.00M,,-24.00M,-73.00M,625.00M,,2015-03,-284.00M,,-284.00M,,29.00M,41.00M,,2015-03,-205.00M,-205.00M,,,,-12.00M,-12.00M,,21.00M,-196.00M,2015-03,2.403B,215.00M,-20.00M,,2015-03,,,,-205.00M,,2015-03,AOR,Restated
2014-12,329.00M,0.00,,,-34.00M,,,166.00M,166.00M,106.00M,43.00M,,9.00M,-69.00M,-180.00M,96.00M,11.00M,119.00M,,-21.00M,-16.00M,559.00M,,2014-12,-274.00M,,-274.00M,0.00,-26.00M,455.00M,,2014-12,-102.00M,-102.00M,0.00,,0.00,-12.00M,-12.00M,,130.00M,-12.00M,2014-12,1.778B,632.00M,-6.00M,,2014-12,,0.00,3.00M,-105.00M,,2014-12,AOR,Restated
2014-09,72.00M,0.00,,,-40.00M,,,318.00M,318.00M,-91.00M,3.00M,,15.00M,272.00M,79.00M,-134.00M,-145.00M,1.00M,,-22.00M,-221.00M,324.00M,,2014-09,-277.00M,,-277.00M,0.00,1.00M,112.00M,,2014-09,2.00M,2.00M,0.00,,0.00,-13.00M,-13.00M,,-15.00M,-26.00M,2014-09,1.653B,134.00M,-9.00M,,2014-09,,0.00,578.00M,-576.00M,,2014-09,AOR,Restated
2014-06,147.00M,,,,-2.00M,,,306.00M,306.00M,-127.00M,0.00,,14.00M,143.00M,84.00M,-177.00M,2.00M,3.00M,,-15.00M,-103.00M,375.00M,,2014-06,-254.00M,,-254.00M,0.00,0.00,4.00M,,2014-06,10.00M,10.00M,0.00,,0.00,-12.00M,-12.00M,,55.00M,53.00M,2014-06,1.475B,178.00M,0.00,,2014-06,,0.00,15.00M,-5.00M,,2014-06,AOR,Restated
2014-03,65.00M,,,,-50.00M,,,298.00M,298.00M,35.00M,1.00M,,13.00M,171.00M,-16.00M,-182.00M,-94.00M,-50.00M,,-8.00M,-350.00M,180.00M,,2014-03,-235.00M,,-235.00M,-28.00M,24.00M,61.00M,,2014-03,3.00M,3.00M,,,,-77.00M,-77.00M,,-6.00M,-80.00M,2014-03,1.555B,-78.00M,-2.00M,,2014-03,,,3.00M,0.00,,2014-03,AOR,Restated
2013-12,-1.28B,,,,-4.00M,,,381.00M,381.00M,-733.00M,2.14B,,9.00M,409.00M,-10.00M,-157.00M,-367.00M,-150.00M,166.00M,-18.00M,-536.00M,382.00M,,2013-12,-372.00M,,-372.00M,0.00,1.00M,-5.00M,,2013-12,186.00M,186.00M,0.00,,0.00,-101.00M,-101.00M,,-5.00M,80.00M,2013-12,1.475B,86.00M,-6.00M,,2013-12,,0.00,276.00M,-90.00M,,2013-12,AOR,Restated
2013-09,415.00M,,,,-281.00M,,,299.00M,299.00M,-43.00M,44.00M,,17.00M,85.00M,68.00M,-199.00M,116.00M,-518.00M,457.00M,-17.00M,-93.00M,440.00M,,2013-09,-408.00M,,-408.00M,0.00,587.00M,-11.00M,,2013-09,-251.00M,-251.00M,0.00,,0.00,-124.00M,-124.00M,,-4.00M,-379.00M,2013-09,1.248B,229.00M,-2.00M,,2013-09,,0.00,275.00M,-526.00M,,2013-09,AOR,Restated
2013-06,-2.347B,,,,0.00,,-267.00M,415.00M,415.00M,-469.00M,2.269B,,19.00M,576.00M,72.00M,-171.00M,-85.00M,344.00M,-315.00M,-15.00M,-170.00M,288.00M,,2013-06,-610.00M,,-610.00M,-5.00M,0.00,17.00M,,2013-06,373.00M,373.00M,1.00M,,1.00M,-174.00M,-174.00M,,-8.00M,192.00M,2013-06,1.378B,-118.00M,-12.00M,,2013-06,,1.00M,907.00M,-534.00M,,2013-06,AOR,Restated
2013-03,356.00M,,,,-1.00M,,267.00M,267.00M,267.00M,-11.00M,4.00M,,19.00M,92.00M,115.00M,-228.00M,-144.00M,287.00M,-308.00M,-9.00M,-287.00M,433.00M,,2013-03,-510.00M,,-510.00M,-8.00M,0.00,11.00M,,2013-03,80.00M,80.00M,1.00M,,1.00M,-211.00M,-211.00M,,25.00M,-105.00M,2013-03,1.561B,-179.00M,-4.00M,,2013-03,,1.00M,80.00M,,,2013-03,AOR,Restated
2012-12,662.00M,,,,-95.00M,,-751.00M,281.00M,281.00M,-3.00M,60.00M,,17.00M,-42.00M,26.00M,-126.00M,81.00M,-176.00M,177.00M,-16.00M,-34.00M,842.00M,,2012-12,-816.00M,,-816.00M,-3.00M,-10.00M,16.00M,,2012-12,161.00M,161.00M,4.00M,,4.00M,-174.00M,-174.00M,,-11.00M,-20.00M,2012-12,1.549B,9.00M,3.00M,,2012-12,,4.00M,181.00M,-20.00M,,2012-12,AOR,Restated
2012-09,480.00M,,,,-2.00M,,272.00M,272.00M,272.00M,13.00M,7.00M,,19.00M,60.00M,7.00M,-160.00M,-64.00M,-267.00M,229.00M,-16.00M,-271.00M,574.00M,,2012-09,-816.00M,,-816.00M,0.00,90.00M,-11.00M,,2012-09,-15.00M,-15.00M,5.00M,,5.00M,-174.00M,-174.00M,,-1.00M,-185.00M,2012-09,1.897B,-348.00M,0.00,,2012-09,,5.00M,0.00,-15.00M,,2012-09,AOR,Restated
2012-06,371.00M,,,,0.00,,248.00M,248.00M,248.00M,67.00M,8.00M,,19.00M,50.00M,7.00M,-242.00M,-195.00M,118.00M,-87.00M,-13.00M,-412.00M,347.00M,,2012-06,-882.00M,,-882.00M,-11.00M,53.00M,-19.00M,,2012-06,-37.00M,-37.00M,13.00M,,13.00M,-174.00M,-174.00M,,-2.00M,-200.00M,2012-06,2.612B,-712.00M,-3.00M,,2012-06,,13.00M,-3.00M,-34.00M,,2012-06,AOR,Restated
2012-03,674.00M,,,,-10.00M,,231.00M,231.00M,231.00M,-55.00M,24.00M,,17.00M,88.00M,-21.00M,-201.00M,-32.00M,245.00M,-319.00M,-28.00M,-356.00M,609.00M,,2012-03,-696.00M,,-696.00M,-11.00M,-143.00M,-5.00M,,2012-03,1.439B,1.439B,2.00M,,2.00M,-173.00M,-173.00M,,-174.00M,1.094B,2012-03,1.76B,848.00M,4.00M,,2012-03,,2.00M,3.346B,-1.907B,,2012-03,AOR,Restated
2011-12,-897.00M,,,,-13.00M,,260.00M,260.00M,260.00M,-565.00M,2.089B,,17.00M,2.00M,-73.00M,-163.00M,229.00M,804.00M,-855.00M,90.00M,32.00M,922.00M,,2011-12,-1.006B,-6.00M,-1.012B,-8.00M,3.00M,-22.00M,,2011-12,26.00M,26.00M,5.00M,,5.00M,-173.00M,-173.00M,,-124.00M,-266.00M,2011-12,2.135B,-383.00M,8.00M,,2011-12,,5.00M,213.00M,-187.00M,,2011-12,AOR,Restated
2011-09,675.00M,,,,-15.00M,,270.00M,270.00M,270.00M,-68.00M,174.00M,,18.00M,12.00M,4.00M,-102.00M,346.00M,-418.00M,418.00M,-51.00M,197.00M,1.261B,,2011-09,-761.00M,0.00,-761.00M,-10.00M,17.00M,6.00M,,2011-09,-90.00M,-90.00M,27.00M,,27.00M,-148.00M,-148.00M,,3.00M,-208.00M,2011-09,1.855B,305.00M,-25.00M,,2011-09,,27.00M,1.023B,-1.113B,,2011-09,AOR,Restated
2011-06,660.00M,,,,-50.00M,,250.00M,250.00M,250.00M,-5.00M,1.00M,,25.00M,94.00M,2.00M,-174.00M,-528.00M,-437.00M,437.00M,139.00M,-561.00M,412.00M,,2011-06,-618.00M,0.00,-618.00M,-2.284B,52.00M,-12.00M,,2011-06,-167.00M,-167.00M,5.00M,,5.00M,-99.00M,-99.00M,,-2.00M,-263.00M,2011-06,4.533B,-2.713B,35.00M,,2011-06,,5.00M,775.00M,-942.00M,,2011-06,AOR,Restated
2011-03,670.00M,,,,-3.00M,,256.00M,256.00M,256.00M,-33.00M,0.00,,19.00M,59.00M,119.00M,-56.00M,179.00M,,,-221.00M,21.00M,989.00M,,2011-03,-402.00M,6.00M,-396.00M,-7.00M,-12.00M,-3.00M,,2011-03,-31.00M,-31.00M,3.00M,,3.00M,-74.00M,-74.00M,,-15.00M,-117.00M,2011-03,4.056B,454.00M,23.00M,,2011-03,,3.00M,0.00,-31.00M,,2011-03,AOR,Restated
2010-12,1.05B,,,,-10.00M,,248.00M,248.00M,248.00M,-328.00M,7.00M,,16.00M,30.00M,-90.00M,-204.00M,182.00M,229.00M,-316.00M,31.00M,-168.00M,845.00M,,2010-12,-430.00M,-53.00M,-483.00M,-2.00M,-17.00M,85.00M,,2010-12,-156.00M,-156.00M,-225.00M,109.00M,-116.00M,286.00M,286.00M,,-345.00M,-331.00M,2010-12,3.951B,97.00M,8.00M,,2010-12,,-225.00M,0.00,-156.00M,109.00M,2010-12,AOR,Restated
2010-09,814.00M,,,,-5.00M,,242.00M,242.00M,242.00M,34.00M,0.00,,15.00M,89.00M,-137.00M,-110.00M,-54.00M,-338.00M,338.00M,-34.00M,-335.00M,854.00M,,2010-09,-344.00M,1.00M,-343.00M,-2.00M,-2.00M,-50.00M,,2010-09,-11.00M,-11.00M,26.00M,0.00,26.00M,-434.00M,-434.00M,,305.00M,-114.00M,2010-09,3.602B,343.00M,6.00M,,2010-09,,26.00M,0.00,-11.00M,0.00,2010-09,AOR,Restated
2010-06,537.00M,,,,-49.00M,,231.00M,231.00M,231.00M,16.00M,,,21.00M,75.00M,126.00M,-118.00M,-69.00M,-47.00M,47.00M,-17.00M,-78.00M,753.00M,,2010-06,-319.00M,14.00M,-305.00M,0.00,-3.00M,-12.00M,,2010-06,-13.00M,-13.00M,27.00M,-70.00M,-43.00M,-49.00M,-49.00M,,-85.00M,-190.00M,2010-06,3.364B,243.00M,-5.00M,,2010-06,,27.00M,0.00,-13.00M,-70.00M,2010-06,AOR,Restated
2010-03,743.00M,,,,,,224.00M,224.00M,224.00M,-102.00M,,,18.00M,18.00M,-52.00M,-69.00M,-21.00M,185.00M,-185.00M,-31.00M,-173.00M,715.00M,,2010-03,-309.00M,38.00M,-271.00M,0.00,-3.00M,-11.00M,,2010-03,-250.00M,-250.00M,232.00M,-39.00M,193.00M,-49.00M,-49.00M,,-174.00M,-280.00M,2010-03,3.215B,150.00M,-1.00M,,2010-03,,232.00M,,-250.00M,-39.00M,2010-03,AOR,Restated
2009-12,2.095B,,,,,,240.00M,240.00M,240.00M,-6.00M,,,13.00M,-1.163B,-158.00M,-129.00M,632.00M,175.00M,-144.00M,-576.00M,-200.00M,998.00M,,2009-12,-455.00M,,-437.00M,-241.00M,23.00M,-38.00M,,2009-12,-130.00M,-130.00M,668.00M,-287.00M,381.00M,66.00M,66.00M,,-434.00M,-117.00M,2009-12,3.022B,188.00M,5.00M,,2009-12,,668.00M,-3.00M,-127.00M,-287.00M,2009-12,AOR,Restated
2009-09,-583.00M,,,,,,199.00M,199.00M,199.00M,20.00M,,,14.00M,1.259B,132.00M,-94.00M,127.00M,-175.00M,144.00M,17.00M,151.00M,1.055B,,2009-09,-404.00M,,-404.00M,-6.00M,-11.00M,5.00M,,2009-09,3.366B,1.872B,1.00M,,1.00M,-52.00M,-52.00M,,0.00,1.821B,2009-09,544.00M,2.46B,18.00M,,2009-09,,1.00M,4.302B,-936.00M,,2009-09,AOR,Restated
2009-06,320.00M,,,,,,176.00M,176.00M,176.00M,6.00M,,,16.00M,35.00M,40.00M,-121.00M,42.00M,,,-9.00M,-48.00M,509.00M,,2009-06,-580.00M,,-580.00M,-749.00M,0.00,11.00M,,2009-06,-79.00M,46.00M,8.00M,0.00,8.00M,-161.00M,-161.00M,,-8.00M,-116.00M,2009-06,1.449B,-925.00M,20.00M,,2009-06,,8.00M,,-79.00M,0.00,2009-06,AOR,Restated
2009-03,277.00M,,,,,,191.00M,191.00M,191.00M,-19.00M,,,14.00M,48.00M,28.00M,-34.00M,-116.00M,,,-8.00M,-130.00M,385.00M,,2009-03,-330.00M,,-330.00M,-11.00M,0.00,-13.00M,,2009-03,-1.589B,-220.00M,1.239B,0.00,1.239B,-49.00M,-49.00M,,13.00M,982.00M,2009-03,435.00M,1.013B,1.00M,,2009-03,,1.239B,,-1.589B,0.00,2009-03,AOR,Restated
2008-12,46.00M,,,,-2.00M,,190.00M,190.00M,190.00M,-93.00M,161.00M,,12.00M,48.00M,56.00M,-107.00M,-4.00M,,,-78.00M,-133.00M,230.00M,,2008-12,-520.00M,,-468.00M,0.00,1.00M,-62.00M,,2008-12,2.844B,43.00M,2.00M,,2.00M,201.00M,201.00M,,-334.00M,-89.00M,2008-12,853.00M,-388.00M,-30.00M,,2008-12,,2.00M,,-2.234B,,2008-12,AOR,Restated
2008-09,215.00M,,,,-70.00M,,186.00M,186.00M,186.00M,-14.00M,34.00M,,14.00M,67.00M,55.00M,-143.00M,0.00,,,-147.00M,-235.00M,199.00M,,2008-09,-457.00M,,-457.00M,0.00,32.00M,42.00M,,2008-09,-1.624B,154.00M,3.00M,,3.00M,-145.00M,-145.00M,,12.00M,23.00M,2008-09,1.036B,-162.00M,-20.00M,,2008-09,,3.00M,,-1.624B,,2008-09,,Restated
2008-06,335.00M,,,,,,180.00M,180.00M,180.00M,-157.00M,34.00M,,13.00M,77.00M,68.00M,-89.00M,-80.00M,,,-4.00M,-105.00M,370.00M,,2008-06,-443.00M,,-443.00M,-7.00M,3.00M,-20.00M,,2008-06,-249.00M,202.00M,7.00M,,7.00M,-95.00M,-95.00M,,6.00M,118.00M,2008-06,1.014B,14.00M,8.00M,,2008-06,,7.00M,,-249.00M,,2008-06,,Restated
2008-03,551.00M,,,,,,182.00M,182.00M,182.00M,-51.00M,22.00M,,11.00M,33.00M,-98.00M,-4.00M,-8.00M,,,-44.00M,-154.00M,494.00M,,2008-03,-450.00M,,-450.00M,-318.00M,-3.00M,4.00M,,2008-03,-376.00M,196.00M,17.00M,,17.00M,-143.00M,-143.00M,,1.00M,71.00M,2008-03,1.231B,-205.00M,-12.00M,,2008-03,,17.00M,,-376.00M,,2008-03,,Restated
2007-12,634.00M,,,,-355.00M,,695.00M,138.00M,138.00M,116.00M,,,,-1.263B,169.00M,-57.00M,-67.00M,,,-7.00M,38.00M,670.00M,,2007-12,-510.00M,,-510.00M,,-36.00M,-155.00M,,2007-12,,-105.00M,-217.00M,,-217.00M,,-315.00M,,120.00M,-269.00M,2007-12,1.053B,-1.509B,39.00M,,2007-12,-1.525B,-217.00M,,,,2007-12,,Restated
2007-09,397.00M,,,,133.00M,,-365.00M,192.00M,192.00M,-125.00M,,,,26.00M,-136.00M,-28.00M,75.00M,,,22.00M,-67.00M,556.00M,,2007-09,-452.00M,,-452.00M,,26.00M,20.00M,,2007-09,,334.00M,254.00M,,254.00M,,69.00M,,-477.00M,180.00M,2007-09,668.00M,333.00M,6.00M,,2007-09,-95.00M,254.00M,,,,2007-09,,
