,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2013-09,1.475B,91.00M,1.566B,215.00M,,257.00M,472.00M,517.00M,242.00M,34.00M,1.009B,1.802B,232.00M,0.00,213.00M,907.00M,5.221B,,,,,,,,16.32B,132.00M,101.00M,233.00M,540.00M,219.00M,3.032B,21.58B,26.80B,,2013-09,545.00M,105.00M,1.009B,1.659B,410.00M,2.069B,73.00M,564.00M,564.00M,23.00M,587.00M,,66.00M,66.00M,147.00M,3.258B,1.479B,5.949B,782.00M,782.00M,,384.00M,,248.00M,8.999B,12.26B,,2013-09,789.00M,2.361B,8.439B,,,,,-56.00M,11.53B,,2013-09,AOR,Restated
2013-06,1.248B,628.00M,1.876B,257.00M,,289.00M,546.00M,511.00M,263.00M,29.00M,530.00M,1.333B,200.00M,0.00,215.00M,836.00M,5.022B,,,,,,,,16.24B,132.00M,104.00M,236.00M,485.00M,214.00M,2.903B,21.45B,26.48B,,2013-06,551.00M,67.00M,530.00M,1.148B,366.00M,1.514B,77.00M,10.00M,10.00M,38.00M,48.00M,,64.00M,64.00M,234.00M,2.198B,1.471B,6.726B,840.00M,840.00M,,598.00M,,199.00M,10.04B,12.24B,,2013-06,789.00M,2.077B,8.431B,,,,,-71.00M,11.23B,,2013-06,AOR,Restated
2013-03,1.378B,75.00M,1.453B,212.00M,,553.00M,765.00M,497.00M,299.00M,50.00M,844.00M,1.69B,234.00M,7.00M,297.00M,1.071B,5.626B,,,,,,,,18.15B,188.00M,138.00M,326.00M,1.361B,115.00M,3.198B,23.82B,29.45B,,2013-03,590.00M,117.00M,844.00M,1.551B,503.00M,2.054B,80.00M,10.00M,10.00M,0.00,10.00M,,65.00M,65.00M,153.00M,2.652B,1.465B,6.379B,862.00M,862.00M,,598.00M,,300.00M,9.674B,12.33B,,2013-03,788.00M,4.27B,8.407B,,,,,429.00M,13.89B,,2013-03,AOR,Restated
2012-12,1.561B,86.00M,1.647B,283.00M,,687.00M,970.00M,470.00M,295.00M,31.00M,1.183B,1.979B,213.00M,12.00M,195.00M,817.00M,5.945B,223.00M,,14.00B,,2.875B,27.73B,-9.719B,18.01B,188.00M,136.00M,324.00M,1.446B,76.00M,3.056B,23.70B,29.65B,,2012-12,657.00M,65.00M,1.183B,1.905B,582.00M,2.487B,82.00M,10.00M,10.00M,0.00,10.00M,,65.00M,65.00M,158.00M,3.141B,1.457B,6.288B,858.00M,858.00M,,586.00M,,305.00M,9.561B,12.70B,,2012-12,787.00M,4.166B,8.33B,,,,,490.00M,13.77B,,2012-12,AOR,Restated
2012-09,1.549B,89.00M,1.638B,784.00M,0.00,636.00M,1.42B,720.00M,842.00M,,,1.562B,224.00M,0.00,251.00M,109.00M,5.324B,,,,,,,,17.47B,188.00M,139.00M,327.00M,1.397B,68.00M,3.134B,24.20B,29.52B,,2012-09,612.00M,173.00M,636.00M,1.421B,594.00M,2.015B,,25.00M,25.00M,,25.00M,,58.00M,58.00M,153.00M,2.571B,,6.099B,2.186B,2.186B,1.526B,479.00M,,75.00M,10.44B,13.01B,,2012-09,786.00M,3.667B,8.307B,,,,,595.00M,13.36B,,2012-09,AOR,Restated
2012-06,1.897B,132.00M,2.029B,649.00M,0.00,393.00M,1.042B,1.478B,123.00M,,,1.601B,176.00M,2.00M,255.00M,62.00M,5.272B,,,,,,,,16.94B,188.00M,142.00M,330.00M,1.185B,201.00M,2.928B,23.39B,28.66B,,2012-06,574.00M,251.00M,393.00M,1.218B,602.00M,1.82B,,40.00M,40.00M,,40.00M,54.00M,54.00M,,160.00M,2.367B,,7.358B,2.056B,2.056B,226.00M,487.00M,,98.00M,10.30B,12.67B,,2012-06,786.00M,3.474B,8.291B,,,,,361.00M,12.91B,,2012-06,AOR,Restated
2012-03,2.612B,179.00M,2.791B,711.00M,33.00M,500.00M,1.244B,587.00M,112.00M,,744.00M,1.443B,126.00M,2.00M,263.00M,91.00M,6.092B,,,,,,,,16.36B,188.00M,144.00M,332.00M,1.479B,161.00M,2.765B,22.87B,28.96B,,2012-03,497.00M,429.00M,500.00M,1.426B,599.00M,2.025B,,69.00M,69.00M,,69.00M,57.00M,57.00M,,175.00M,2.571B,,7.344B,2.10B,2.10B,226.00M,484.00M,,81.00M,10.32B,12.90B,,2012-03,785.00M,3.369B,8.263B,,,,,658.00M,13.08B,,2012-03,AOR,Restated
2011-12,1.76B,94.00M,1.854B,300.00M,12.00M,320.00M,632.00M,427.00M,275.00M,12.00M,796.00M,1.51B,93.00M,20.00M,396.00M,756.00M,5.388B,263.00M,,13.06B,,1.735B,24.58B,-8.702B,15.88B,188.00M,147.00M,335.00M,1.472B,159.00M,2.463B,20.72B,26.11B,,2011-12,561.00M,343.00M,796.00M,1.70B,534.00M,2.234B,71.00M,524.00M,524.00M,165.00M,689.00M,,50.00M,50.00M,589.00M,3.94B,1.169B,3.624B,784.00M,784.00M,,459.00M,,270.00M,6.40B,10.34B,,2011-12,784.00M,3.052B,8.408B,,,,,652.00M,12.90B,,2011-12,AOR,Restated
2011-09,2.135B,94.00M,2.229B,571.00M,,,571.00M,610.00M,110.00M,,,720.00M,155.00M,,425.00M,2.165B,6.36B,,,,,,,,17.02B,188.00M,149.00M,337.00M,1.254B,141.00M,2.288B,22.78B,29.14B,,2011-09,542.00M,461.00M,1.445B,2.448B,539.00M,2.987B,,578.00M,578.00M,,578.00M,,15.00M,15.00M,626.00M,4.475B,,3.659B,2.592B,2.592B,,350.00M,,1.288B,7.96B,12.44B,,2011-09,781.00M,4.253B,8.364B,,,,,462.00M,13.86B,,2011-09,AOR,Restated
2011-06,1.855B,203.00M,2.058B,418.00M,,1.301B,1.719B,1.266B,101.00M,,,1.367B,141.00M,,308.00M,80.00M,5.899B,,,,,,,,16.66B,188.00M,151.00M,339.00M,1.675B,195.00M,2.195B,22.74B,28.64B,,2011-06,490.00M,289.00M,1.166B,1.945B,506.00M,2.451B,,,539.00M,,539.00M,18.00M,18.00M,,203.00M,3.44B,,3.771B,2.735B,2.735B,,353.00M,,1.346B,8.205B,11.64B,,2011-06,780.00M,3.908B,8.33B,,,,,1.31B,14.33B,,2011-06,AOR,Restated
