,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-09,2.165B,0.00,0.00,-607.00M,,-607.00M,2.437B,2.437B,-341.00M,,-5.00M,274.00M,-296.00M,-443.00M,126.00M,,,-613.00M,3.44B,,-2.116B,,101.00M,0.00,1.00M,-2.014B,,-342.00M,1.316B,974.00M,227.00M,-1.211B,-984.00M,,,,-1.292B,-1.292B,30.00M,-1.272B,,1.097B,154.00M,1.251B,,227.00M,1.316B,-342.00M,-1.211B,,AOR,Restated
2006-06,1.808B,0.00,-2.00M,-439.00M,,-441.00M,2.486B,2.486B,-8.00M,,3.00M,-74.00M,36.00M,653.00M,105.00M,,,794.00M,4.695B,,-2.221B,,-43.00M,0.00,7.00M,-2.257B,,-790.00M,-249.00M,-1.039B,35.00M,-148.00M,-113.00M,,,,-1.292B,-1.292B,46.00M,-2.398B,,1.057B,40.00M,1.097B,,35.00M,1.24B,-2.279B,-148.00M,,AOR,Restated
2006-03,1.445B,0.00,-8.00M,-313.00M,,-321.00M,2.492B,2.492B,59.00M,,-8.00M,307.00M,509.00M,-2.029B,-189.00M,,,-1.709B,2.458B,,-1.821B,,-734.00M,0.00,,-2.555B,,-259.00M,1.269B,1.01B,201.00M,0.00,201.00M,,,,-1.289B,-1.289B,8.00M,-70.00M,,1.224B,-167.00M,1.057B,,201.00M,1.271B,-261.00M,0.00,,AOR,Restated
2005-12,1.655B,,-31.00M,-166.00M,,-197.00M,2.206B,2.206B,-347.00M,,0.00,547.00M,-55.00M,316.00M,283.00M,,,544.00M,4.591B,,-1.833B,,1.906B,1.00M,0.00,74.00M,,1.414B,-2.463B,-1.049B,70.00M,-1.101B,-1.031B,,,,-1.06B,-1.06B,-6.00M,-3.874B,,433.00M,791.00M,1.224B,,70.00M,1.973B,-3.022B,-1.829B,,AOR,Restated
2005-09,1.246B,,-29.00M,-198.00M,,-227.00M,1.803B,1.803B,-57.00M,,0.00,43.00M,-256.00M,881.00M,-235.00M,,,390.00M,3.346B,,-1.414B,,1.464B,0.00,0.00,50.00M,,-1.086B,-774.00M,-1.86B,64.00M,-507.00M,-443.00M,,,,-1.066B,-1.066B,0.00,-3.369B,,406.00M,27.00M,433.00M,,64.00M,0.00,-1.86B,-507.00M,,AOR,Restated
2005-06,1.00B,,-9.00M,-161.00M,,-170.00M,1.809B,1.809B,-232.00M,,0.00,530.00M,89.00M,501.00M,83.00M,,,673.00M,3.784B,,-1.279B,,596.00M,34.00M,0.00,-649.00M,,-465.00M,-1.643B,-2.108B,251.00M,-235.00M,16.00M,,,,-1.064B,-1.064B,0.00,-3.156B,,427.00M,-21.00M,406.00M,,251.00M,-761.00M,-1.347B,-235.00M,,AOR,Restated
2005-03,885.00M,,-66.00M,74.00M,,8.00M,1.825B,1.825B,-43.00M,,-3.00M,-65.00M,128.00M,-1.624B,-97.00M,,,-1.593B,1.253B,,-1.05B,,500.00M,64.00M,37.00M,-449.00M,,-572.00M,761.00M,189.00M,47.00M,,47.00M,,,,-1.066B,-1.066B,3.00M,-827.00M,,760.00M,-23.00M,427.00M,,47.00M,761.00M,-572.00M,,,AOR,Restated
2004-12,688.00M,,-39.00M,314.00M,,275.00M,1.864B,1.864B,-960.00M,,-3.00M,-421.00M,357.00M,1.512B,-107.00M,,,1.762B,3.417B,,-1.637B,,-21.34B,105.00M,0.00,-22.87B,,4.716B,4.008B,8.724B,65.00M,-448.00M,-383.00M,,,,-1.036B,-1.036B,3.00M,7.308B,,13.29B,-12.14B,760.00M,,65.00M,8.372B,352.00M,-448.00M,,AOR,Restated
2004-09,1.245B,,-51.00M,-185.00M,,-236.00M,1.889B,1.889B,707.00M,,-2.00M,-1.543B,-305.00M,-69.00M,-5.00M,,,-379.00M,1.842B,,-1.324B,,104.00M,157.00M,0.00,-1.063B,,1.048B,-575.00M,473.00M,58.00M,0.00,58.00M,,,,-1.036B,-1.036B,2.00M,-503.00M,,11.59B,276.00M,13.29B,,58.00M,1.487B,-1.014B,0.00,,AOR,Restated
2004-06,1.135B,,40.00M,-175.00M,,-135.00M,1.888B,1.888B,409.00M,,,165.00M,80.00M,-49.00M,43.00M,,,74.00M,3.693B,,-1.202B,,2.991B,51.00M,0.00,1.84B,,-42.00M,-35.00M,-77.00M,30.00M,0.00,30.00M,,,,-1.035B,-1.035B,,-1.082B,,7.081B,4.451B,11.59B,,30.00M,,-77.00M,0.00,,AOR,Restated
2004-03,1.911B,,-889.00M,-496.00M,,-1.385B,1.923B,1.923B,458.00M,,,-271.00M,150.00M,-986.00M,-33.00M,,,-869.00M,1.998B,,-936.00M,,2.179B,51.00M,50.00M,1.344B,,-142.00M,0.00,-142.00M,63.00M,,63.00M,,,,-1.034B,-1.034B,,-1.113B,,4.806B,2.229B,7.081B,,63.00M,,-142.00M,,,AOR,Restated
2003-12,881.00M,,-97.00M,-52.00M,,-149.00M,1.945B,1.945B,2.332B,,,-454.00M,-1.945B,657.00M,137.00M,,,-1.151B,3.549B,,-1.984B,,735.00M,-626.00M,,-1.875B,,-322.00M,-1.00M,-323.00M,39.00M,-191.00M,-152.00M,,,,-1.268B,-1.268B,,-1.742B,,4.94B,-68.00M,4.806B,,39.00M,0.00,-323.00M,-191.00M,,AOR,Restated
2003-09,1.128B,,-31.00M,-320.00M,,-351.00M,1.952B,1.952B,465.00M,,,-211.00M,-649.00M,530.00M,62.00M,,,-57.00M,3.05B,,-1.266B,,-343.00M,13.00M,,-1.596B,,-330.00M,1.00M,-329.00M,21.00M,-299.00M,-278.00M,,,,-1.272B,-1.272B,,-1.879B,,5.139B,-425.00M,4.94B,,21.00M,0.00,-329.00M,-299.00M,,AOR,Restated
2003-06,1.388B,,-73.00M,-248.00M,,-321.00M,1.977B,1.977B,419.00M,,,-1.042B,162.00M,1.382B,-87.00M,,,1.457B,4.172B,,-1.072B,,350.00M,-280.00M,,-1.002B,,-1.655B,-127.00M,-1.782B,21.00M,,21.00M,,,,-1.102B,-1.102B,,-2.863B,,4.832B,307.00M,5.139B,,21.00M,,-1.782B,,,AOR,Restated
2003-03,4.996B,,-1.574B,-345.00M,,-1.919B,1.996B,1.996B,206.00M,,,-2.835B,311.00M,-276.00M,-126.00M,,,-91.00M,2.635B,,-897.00M,,2.27B,-5.00M,,1.368B,,-841.00M,-1.021B,-1.862B,21.00M,,21.00M,,,,-897.00M,-897.00M,,-2.738B,,3.567B,1.265B,4.832B,,21.00M,,-1.862B,,,AOR,Restated
2002-12,2.243B,,-478.00M,-186.00M,,-664.00M,2.138B,2.138B,1.641B,,,-564.00M,-487.00M,-445.00M,222.00M,,,-710.00M,4.394B,,-1.81B,,3.022B,1.00M,,1.213B,,-349.00M,-1.684B,-2.033B,21.00M,-58.00M,-37.00M,,,,-897.00M,-897.00M,-63.00M,-2.987B,,873.00M,2.62B,3.571B,,64.00M,338.00M,-2.371B,-58.00M,,AOR,Restated
2002-09,1.709B,,-19.00M,-715.00M,,-734.00M,2.148B,2.148B,244.00M,,,123.00M,-150.00M,412.00M,80.00M,,,342.00M,4.109B,,-1.502B,,464.00M,0.00,,-1.038B,,459.00M,-2.164B,-1.705B,29.00M,-175.00M,-146.00M,,,,-898.00M,-898.00M,8.00M,-2.741B,,543.00M,330.00M,873.00M,,29.00M,738.00M,-2.443B,-175.00M,,AOR,Restated
2002-06,1.782B,,-207.00M,-301.00M,,-508.00M,2.156B,2.156B,170.00M,,,59.00M,-586.00M,480.00M,386.00M,,,280.00M,4.371B,,-1.731B,,316.00M,0.00,,-1.415B,,-201.00M,-1.574B,-1.775B,65.00M,-630.00M,-565.00M,,,,-902.00M,-902.00M,-1.00M,-3.243B,,830.00M,-287.00M,543.00M,,65.00M,530.00M,-2.305B,-630.00M,,AOR,Restated
2002-03,-193.00M,,-90.00M,-384.00M,,-474.00M,2.136B,2.136B,389.00M,,,1.931B,693.00M,-2.366B,-216.00M,,,-1.889B,2.262B,,-1.765B,,-323.00M,0.00,,-2.088B,,843.00M,531.00M,1.374B,32.00M,-593.00M,-561.00M,,,,-860.00M,-860.00M,,-47.00M,,703.00M,127.00M,830.00M,,32.00M,5.263B,-3.889B,-593.00M,,AOR,Restated
2001-12,1.011B,,-197.00M,-78.00M,,-275.00M,2.255B,2.255B,1.118B,,,761.00M,-535.00M,-1.159B,405.00M,,,-1.289B,4.079B,,-3.093B,,-55.00M,0.00,1.00M,-3.147B,,-921.00M,1.667B,746.00M,46.00M,-407.00M,-361.00M,,-325.00M,-325.00M,-865.00M,-865.00M,14.00M,-791.00M,,562.00M,141.00M,703.00M,,46.00M,3.121B,-2.375B,-732.00M,,AOR,Restated
2001-09,2.072B,,-77.00M,-453.00M,,-530.00M,2.20B,2.20B,192.00M,,,-386.00M,-473.00M,798.00M,-35.00M,,,290.00M,4.149B,,-2.352B,,495.00M,0.00,,-1.857B,,-692.00M,-687.00M,-1.379B,145.00M,-196.00M,-51.00M,,-145.00M,-145.00M,-864.00M,-864.00M,60.00M,-2.379B,,649.00M,-87.00M,562.00M,,145.00M,1.68B,-3.059B,-341.00M,,AOR,Restated
2001-06,2.071B,,-95.00M,-440.00M,,-535.00M,2.174B,2.174B,-16.00M,,,406.00M,-238.00M,465.00M,-45.00M,,,182.00M,4.627B,,-2.937B,,449.00M,0.00,-1.00M,-2.489B,,51.00M,-318.00M,-267.00M,42.00M,-400.00M,-358.00M,,-500.00M,-500.00M,-868.00M,-868.00M,-47.00M,-2.04B,,551.00M,98.00M,649.00M,,42.00M,4.174B,-4.441B,-900.00M,,AOR,Restated
2001-03,1.854B,,-129.00M,216.00M,,87.00M,2.448B,2.448B,633.00M,,,-1.022B,574.00M,-2.468B,-386.00M,,,-2.28B,1.95B,,-2.807B,,1.402B,510.00M,1.00M,-894.00M,,1.258B,-84.00M,1.174B,90.00M,-1.065B,-975.00M,,-500.00M,-500.00M,-859.00M,-859.00M,12.00M,-1.148B,,643.00M,-92.00M,551.00M,,90.00M,2.238B,-1.064B,-1.565B,,AOR,Restated
2000-12,1.128B,,-732.00M,-177.00M,,-909.00M,2.805B,2.805B,45.00M,,,280.00M,-524.00M,-37.00M,267.00M,,,-294.00M,3.336B,,-3.922B,,1.19B,-6.00M,-1.00M,-2.739B,,-224.00M,891.00M,667.00M,425.00M,-798.00M,-373.00M,,0.00,0.00,-858.00M,-858.00M,65.00M,-499.00M,,545.00M,98.00M,643.00M,,425.00M,874.00M,-207.00M,-798.00M,,AOR,Restated
2000-09,2.999B,,-1.954B,-202.00M,,-2.156B,2.363B,2.363B,420.00M,,,-227.00M,-793.00M,1.541B,-342.00M,,,406.00M,3.994B,,-3.861B,,1.854B,-533.00M,,-2.54B,,-54.00M,-326.00M,-380.00M,135.00M,-565.00M,-430.00M,,0.00,0.00,-862.00M,-862.00M,-50.00M,-1.722B,,813.00M,-268.00M,545.00M,,135.00M,-253.00M,-127.00M,-565.00M,,AOR,Restated
2000-06,1.851B,,-25.00M,10.00M,,-15.00M,2.317B,2.317B,189.00M,,,-395.00M,-983.00M,482.00M,137.00M,,,-364.00M,3.787B,,-2.992B,,1.00M,0.00,-1.00M,-2.992B,,763.00M,-263.00M,500.00M,112.00M,-608.00M,-496.00M,,0.00,0.00,-864.00M,-864.00M,21.00M,-839.00M,,857.00M,-44.00M,813.00M,,112.00M,768.00M,-268.00M,-608.00M,,AOR,Restated
2000-03,1.822B,,-191.00M,-152.00M,,-343.00M,2.263B,2.263B,334.00M,,,-657.00M,408.00M,-581.00M,-508.00M,,,-681.00M,2.949B,,-2.349B,,-3.551B,0.00,1.00M,-5.899B,,-526.00M,4.867B,4.341B,60.00M,-284.00M,-224.00M,,0.00,0.00,-834.00M,-834.00M,29.00M,3.312B,,495.00M,362.00M,857.00M,,60.00M,4.867B,-526.00M,-284.00M,,AOR,Restated
1999-12,3.106B,,-67.00M,-128.00M,,-195.00M,2.175B,2.175B,378.00M,,,-2.444B,-787.00M,2.325B,305.00M,,,1.843B,5.175B,,-3.298B,,3.00B,25.00M,0.00,-273.00M,,-161.00M,-3.001B,-3.162B,127.00M,-1.148B,-1.021B,100.00M,,100.00M,-823.00M,-823.00M,,-4.939B,,532.00M,-37.00M,495.00M,,227.00M,-2.214B,-948.00M,-1.148B,,AOR,Restated
1999-09,1.135B,,-268.00M,-193.00M,,-461.00M,2.443B,2.443B,315.00M,,,827.00M,-345.00M,-562.00M,33.00M,,,-874.00M,3.806B,,-2.523B,,-1.112B,-25.00M,0.00,-3.66B,,-1.734B,1.702B,-32.00M,128.00M,-21.00M,107.00M,0.00,,0.00,-829.00M,-829.00M,,-754.00M,,1.14B,-608.00M,532.00M,,128.00M,1.702B,-1.734B,-21.00M,,AOR,Restated
1999-06,1.938B,,,5.00M,,5.00M,1.993B,1.993B,260.00M,,,-714.00M,401.00M,291.00M,-3.00M,,,689.00M,4.368B,,-2.344B,,-3.088B,0.00,1.00M,-5.431B,,455.00M,1.163B,1.618B,201.00M,0.00,201.00M,0.00,,0.00,-830.00M,-830.00M,,989.00M,,1.214B,-74.00M,1.14B,,201.00M,1.245B,373.00M,0.00,,AOR,Restated
1999-03,1.98B,,,-155.00M,,-155.00M,1.942B,1.942B,23.00M,,,-671.00M,,,,,,,3.325B,,-2.139B,,824.00M,5.00M,1.00M,-1.309B,,-123.00M,-651.00M,-774.00M,175.00M,0.00,175.00M,3.00M,,3.00M,-805.00M,-805.00M,,-1.401B,,599.00M,615.00M,1.214B,,178.00M,5.00M,-779.00M,0.00,,AOR,Restated
1998-12,4.423B,,,-230.00M,,-2.445B,4.164B,4.164B,454.00M,,,578.00M,,,,,,,6.925B,,-4.691B,,-1.29B,30.00M,5.00M,-5.946B,,655.00M,-392.00M,263.00M,539.00M,-1.00M,538.00M,,,,-1.781B,-1.781B,,-1.42B,,801.00M,-441.00M,599.00M,,861.00M,2.496B,-2.233B,-1.00M,,AOR,Restated
1998-09,1.262B,,,-22.00M,,-22.00M,1.241B,1.241B,221.00M,,,-519.00M,,,,,,,2.305B,,-1.46B,2.731B,591.00M,55.00M,3.00M,-811.00M,,-196.00M,-428.00M,-624.00M,88.00M,-329.00M,-241.00M,,,,-455.00M,-455.00M,,-1.32B,,627.00M,174.00M,801.00M,,88.00M,-230.00M,-394.00M,-329.00M,,AOR,Restated
1998-06,1.02B,,,4.00M,,4.00M,1.235B,1.235B,-62.00M,,,217.00M,,,,,,,2.538B,,-1.556B,-2.731B,-6.00M,84.00M,1.00M,-1.477B,,-36.00M,-572.00M,-608.00M,41.00M,-97.00M,-56.00M,,,,-458.00M,-458.00M,,-1.122B,,688.00M,-61.00M,627.00M,,41.00M,-568.00M,-40.00M,-97.00M,,AOR,Restated
1998-03,985.00M,,,-8.00M,,-8.00M,1.201B,1.201B,131.00M,,,-1.223B,,,,,,,1.213B,,-1.175B,,94.00M,144.00M,2.00M,-935.00M,,-393.00M,797.00M,404.00M,104.00M,-71.00M,33.00M,,,,-437.00M,-437.00M,,0.00,,410.00M,278.00M,688.00M,,104.00M,1.194B,-790.00M,-71.00M,,AOR,Restated
1997-12,3.201B,,,-102.00M,,-102.00M,3.977B,3.977B,887.00M,,,-1.516B,,,,,,,7.049B,,-4.729B,,-575.00M,185.00M,,-5.106B,,1.531B,-2.643B,-1.112B,457.00M,-7.00M,450.00M,,,,-1.756B,-1.756B,14.00M,-2.154B,,705.00M,-211.00M,649.00M,,707.00M,974.00M,-2.086B,-7.00M,,AOR,Restated
1997-09,816.00M,,,-39.00M,,-39.00M,1.086B,1.086B,89.00M,,,-202.00M,,,,,,,1.873B,,-1.356B,,-179.00M,-263.00M,,-1.798B,,-551.00M,782.00M,231.00M,63.00M,0.00,63.00M,,,,-408.00M,-408.00M,0.00,-114.00M,,744.00M,-39.00M,705.00M,,63.00M,375.00M,-144.00M,0.00,,AOR,Restated
1997-06,-787.00M,,,-14.00M,,-14.00M,1.646B,1.646B,-653.00M,,,1.564B,,,,,,,1.91B,,-1.508B,,-759.00M,66.00M,,-2.201B,,-71.00M,617.00M,546.00M,66.00M,-15.00M,51.00M,,,,-409.00M,-409.00M,1.00M,189.00M,,846.00M,-102.00M,744.00M,,66.00M,747.00M,-201.00M,-15.00M,,AOR,Restated
1997-03,857.00M,,,-17.00M,,-17.00M,1.068B,1.068B,115.00M,,,-1.387B,,,,,,,747.00M,,-1.263B,,294.00M,125.00M,,-844.00M,,338.00M,757.00M,1.095B,15.00M,-80.00M,-65.00M,,,,-393.00M,-393.00M,-8.00M,629.00M,,314.00M,532.00M,846.00M,,15.00M,1.229B,-134.00M,-80.00M,,AOR,Restated
1996-12,919.00M,,,-14.00M,,-14.00M,1.396B,1.396B,130.00M,,,497.00M,,,,,,,2.868B,,-2.161B,,-255.00M,-8.00M,,-2.405B,,49.00M,-174.00M,-125.00M,87.00M,-312.00M,-225.00M,0.00,,0.00,-468.00M,-468.00M,-102.00M,-920.00M,,770.00M,-457.00M,324.00M,,87.00M,174.00M,-299.00M,-312.00M,,AOR,Restated
1996-09,867.00M,,,-57.00M,,-57.00M,1.041B,1.041B,95.00M,,,-231.00M,,,,,,,1.829B,,-1.333B,,-130.00M,200.00M,,-1.263B,,365.00M,36.00M,401.00M,6.00M,-233.00M,-227.00M,0.00,,0.00,-381.00M,-381.00M,-11.00M,-218.00M,,422.00M,348.00M,770.00M,,6.00M,360.00M,41.00M,-233.00M,,AOR,Restated
1996-06,1.227B,,,-21.00M,,-21.00M,1.483B,1.483B,120.00M,,,-660.00M,,,,,,,2.288B,,-1.726B,,-76.00M,-296.00M,,-2.098B,,202.00M,-962.00M,-760.00M,56.00M,-30.00M,26.00M,1.00B,,1.00B,-691.00M,-691.00M,10.00M,-415.00M,,571.00M,-225.00M,422.00M,,1.056B,462.00M,-1.222B,-30.00M,,AOR,Restated
1996-03,464.00M,,,-46.00M,,-46.00M,546.00M,546.00M,58.00M,,,-146.00M,,,,,,,916.00M,,-635.00M,,41.00M,-85.00M,,-679.00M,,-71.00M,201.00M,130.00M,14.00M,-75.00M,-61.00M,,,,-225.00M,-225.00M,,-156.00M,,490.00M,81.00M,571.00M,,14.00M,201.00M,-71.00M,-75.00M,,AOR,Restated
1995-12,-1.616B,,,0.90M,-0.10M,0.80M,2.421B,2.421B,341.80M,,,2.948B,,,,,,,3.860B,,-2.718B,,-694.40M,163.80M,,-3.249B,,-302.40M,1.277B,974.50M,93.70M,-87.00M,6.70M,,,,-1.151B,-1.151B,,-634.40M,,454.60M,-23.00M,566.00M,,93.70M,1.85B,-875.50M,-87.00M,,AOR,Restated
1995-09,-2.285B,,,-51.20M,50.30M,-0.90M,541.10M,541.10M,128.00M,,,2.578B,,,,,,,1.012B,,-578.10M,,-81.20M,-215.30M,,-874.60M,,-151.20M,40.10M,-111.10M,29.40M,-23.20M,6.20M,,,,-225.00M,-225.00M,,-329.90M,,647.30M,-192.70M,454.60M,,29.40M,130.10M,-241.20M,-23.20M,,AOR,Restated
1995-06,442.00M,,,-3.30M,50.40M,47.10M,539.30M,539.30M,14.90M,,,189.20M,,,,,,,1.269B,,-581.10M,,-17.20M,-90.30M,,-688.60M,,272.10M,-514.70M,-242.60M,16.40M,0.00,16.40M,,,,-224.00M,-224.00M,,-450.20M,,517.30M,130.00M,647.30M,,16.40M,-198.00M,-44.60M,0.00,,AOR,Restated
1995-03,395.20M,,,-4.40M,-100.60M,-105.00M,532.20M,532.20M,29.30M,,,-235.00M,,,,,,,648.90M,,-460.30M,,-433.20M,24.80M,,-868.70M,,76.50M,599.70M,676.20M,16.50M,-105.80M,-89.30M,,,,-214.40M,-214.40M,,372.50M,,364.60M,152.70M,517.30M,,16.50M,691.90M,-15.70M,-105.80M,,AOR,Restated
1994-12,425.00M,,,25.80M,175.60M,201.40M,535.20M,535.20M,-247.30M,,,377.60M,,,,,,,1.372B,,-676.00M,,-289.40M,121.00M,,-844.40M,,112.60M,-262.40M,-149.80M,10.30M,-242.20M,-231.90M,,,,-211.20M,-211.20M,,-592.90M,,431.00M,-65.60M,365.00M,,10.30M,-82.70M,-67.10M,-242.20M,,AOR,Restated
1994-09,480.80M,,,-71.00M,53.40M,-17.60M,506.30M,506.30M,27.20M,,,-158.00M,,,,,,,888.50M,,-620.00M,,0.30M,-169.10M,,-788.80M,,35.30M,97.80M,133.10M,13.50M,-87.50M,-74.00M,,,,-211.80M,-211.80M,,-152.70M,,484.00M,-53.00M,431.00M,,13.50M,148.40M,-15.30M,-87.50M,,AOR,Restated
1994-06,385.50M,,,-19.70M,20.80M,1.10M,504.50M,504.50M,-0.80M,,,277.60M,,,,,,,1.200B,,-575.40M,,-210.10M,52.80M,,-732.70M,,-211.40M,125.20M,-86.20M,13.10M,-74.00M,-60.90M,,,,-211.60M,-211.60M,,-358.70M,,374.90M,109.10M,484.00M,,13.10M,224.40M,-310.60M,-74.00M,,AOR,Restated
1994-03,357.70M,,,-69.10M,-47.80M,-116.90M,492.00M,492.00M,35.90M,,,-289.20M,,,,,,,507.30M,,-478.60M,,-563.80M,60.30M,,-982.10M,,-41.50M,497.40M,455.90M,21.10M,-43.30M,-22.20M,,,,-202.40M,-202.40M,,231.30M,,618.40M,-243.50M,374.90M,,21.10M,553.90M,-98.00M,-43.30M,,AOR,Restated
1993-12,385.90M,,,-68.60M,-68.60M,-137.20M,570.80M,570.80M,-204.80M,,,482.80M,,,,,,,1.173B,,-591.60M,,190.20M,-45.90M,,-447.30M,,164.50M,98.50M,263.00M,19.10M,0.00,19.10M,,,,-202.10M,-202.10M,-627.10M,-547.10M,,439.60M,178.80M,618.40M,,19.10M,197.60M,65.40M,0.00,,,Restated
1993-09,388.60M,,,-53.30M,72.60M,19.30M,484.20M,484.20M,-16.20M,,,-33.90M,,,,,,,883.90M,,-580.90M,,-1.90M,-82.70M,,-665.50M,,836.30M,-410.20M,426.10M,21.40M,-42.10M,-20.70M,,,,-202.70M,-202.70M,-468.40M,-265.70M,,486.90M,-47.30M,439.60M,,21.40M,549.40M,-123.30M,-42.10M,,,Restated
1993-06,294.40M,,,-2.40M,64.30M,61.90M,479.60M,479.60M,-33.00M,,,251.90M,,,,,,,1.083B,,-604.80M,,62.10M,94.00M,,-448.70M,,342.40M,-177.40M,165.00M,34.50M,-101.20M,-66.70M,,,,-202.80M,-202.80M,-462.70M,-567.20M,,419.80M,67.10M,486.90M,,34.50M,275.90M,-110.90M,-101.20M,,,Restated
1993-03,-1.914B,,,-53.00M,80.50M,27.50M,472.40M,472.40M,64.40M,,,1.624B,,,,,,,300.70M,,-443.80M,,7.00M,-69.60M,,-506.40M,,619.10M,356.40M,975.50M,20.60M,-47.80M,-27.20M,,,,-195.90M,-195.90M,-632.10M,120.30M,,505.20M,-85.40M,419.80M,,20.60M,1.171B,-195.70M,-47.80M,,,Restated
1992-12,350.00M,,,,,-21.50M,463.60M,463.60M,-64.90M,,,490.10M,,,,-139.30M,,-204.40M,1.148B,,-611.60M,1.533B,,1.60M,33.00M,-637.90M,,,,34.00M,7.10M,-41.40M,-34.30M,,,,,-196.10M,,-552.00M,,0.00,-42.10M,505.20M,,7.10M,,,-41.40M,,,Restated
1992-09,385.60M,,,,,-17.00M,460.30M,460.30M,-23.40M,,,-24.40M,,,,215.70M,,215.70M,996.80M,,-485.00M,-485.00M,,-30.40M,0.00,-515.40M,,,,-52.90M,8.40M,-41.60M,-33.20M,,,,,-196.70M,,-282.80M,,0.00,198.60M,0.00,,8.40M,,,-41.60M,,,
1992-06,304.50M,,,,,27.80M,474.30M,474.30M,3.80M,,,-18.50M,,,,50.10M,,50.10M,842.00M,,-541.30M,-541.30M,,-25.10M,-32.00M,-598.40M,,,,32.90M,6.00M,-33.30M,-27.30M,,,,,-196.60M,,-191.00M,,0.00,52.60M,0.00,,6.00M,,,-33.30M,,,
1992-03,261.60M,,,,,35.30M,444.00M,444.00M,31.00M,,,-17.30M,,,,-126.50M,,-126.50M,628.10M,,-506.40M,-506.40M,,-20.70M,-1.00M,-528.10M,,,,91.30M,13.50M,-45.20M,-31.70M,,,,,-191.00M,,-131.40M,,327.50M,-31.40M,0.00,,13.50M,,,-45.20M,,,
1991-12,316.20M,,,,,-44.30M,435.30M,435.30M,-53.70M,,,-28.80M,,,,349.40M,,257.00M,881.70M,,-539.70M,-539.70M,,18.70M,-15.40M,-536.40M,,,,-156.20M,4.90M,-31.70M,-26.80M,,,,,-191.40M,,-374.40M,,0.00,-29.10M,0.00,,4.90M,,,-31.70M,,,
1991-09,363.10M,,,,,22.00M,436.20M,436.20M,13.80M,,,-19.10M,,,,23.60M,,23.60M,839.60M,,-394.00M,-394.00M,,52.90M,-483.60M,-824.70M,,,,300.20M,3.70M,-14.20M,-10.50M,,,,,-191.00M,,98.70M,,0.00,113.60M,0.00,,3.70M,,,-14.20M,,,
1991-06,253.30M,,,,,-4.90M,450.10M,450.10M,4.40M,,,-19.70M,,,,59.70M,,59.70M,742.90M,,-471.90M,-471.90M,,-50.80M,-40.70M,-563.40M,,,,-13.20M,3.70M,-71.60M,-67.90M,,,,,-191.30M,,-272.40M,,0.00,-92.90M,0.00,,3.70M,,,-71.60M,,,
1991-03,223.90M,,,,,10.00M,443.40M,443.40M,50.00M,,,-19.80M,,,,-278.70M,,-278.70M,428.80M,,-420.80M,-420.80M,,111.50M,-129.10M,-438.40M,,,,299.70M,11.00M,-29.80M,-18.80M,,,,,-185.60M,,95.30M,,250.20M,85.70M,0.00,,11.00M,,,-29.80M,,,
1990-12,267.50M,,,,,,410.00M,410.00M,,,,,,,,154.70M,,28.60M,724.30M,,-583.20M,-583.20M,,-62.10M,-540.50M,-1.186B,,,,532.40M,8.90M,-54.40M,-45.50M,,,,,-185.90M,,301.00M,,0.00,-160.50M,0.00,,8.90M,,,-54.40M,,,
1990-09,323.60M,,,,,,437.70M,437.70M,,,,,,,,-48.70M,,-48.70M,712.60M,,-447.50M,-447.50M,,-74.00M,0.00,-521.50M,,,,94.40M,2.90M,-39.00M,-36.10M,,,,,-186.10M,,-127.80M,,0.00,63.30M,0.00,,2.90M,,,-39.00M,,,
1990-06,262.50M,,,,,,414.40M,414.40M,,,,,,,,26.70M,,26.70M,703.60M,,-412.10M,-412.10M,,-3.10M,-6.50M,-421.70M,,,,4.00M,3.00M,-26.10M,-23.10M,,,,,-186.00M,,-205.10M,,0.00,76.80M,0.00,,3.00M,,,-26.10M,,,
1990-03,247.80M,,,,,,429.00M,429.00M,,,,,,,,-146.00M,,-146.00M,530.80M,,-335.60M,-335.60M,,0.10M,,-335.50M,,,,14.90M,2.70M,-30.80M,-28.10M,,,,,-174.80M,,-188.00M,,263.30M,7.30M,0.00,,2.70M,,,-30.80M,,,
