,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2012-03,2.966B,2.966B,2.11B,856.00M,,,,,,144.00M,,-144.00M,,,856.00M,,144.00M,-144.00M,4.00M,-144.00M,716.00M,267.00M,449.00M,,,,,449.00M,449.00M,1.117B,257.00M,860.00M,0.43,,,,0.43,0.43,0.43,,,,0.43,0.43,1.047B,1.049B,0.12
2011-12,3.003B,3.003B,5.144B,-2.141B,,,,,17.00M,140.00M,2.00M,-138.00M,,17.00M,893.00M,2.00M,140.00M,-138.00M,9.00M,-138.00M,764.00M,275.00M,489.00M,,,,,489.00M,478.12M,1.14B,236.00M,904.00M,0.46,,,,0.4496,0.46,0.46,,,,0.4497,0.46,1.05B,1.056B,0.12
2011-09,2.963B,2.963B,1.069B,1.894B,765.00M,765.00M,251.00M,,5.00M,138.00M,1.00M,-137.00M,,1.016B,878.00M,1.00M,138.00M,-137.00M,5.00M,-137.00M,746.00M,282.00M,464.00M,,,,,464.00M,460.89M,1.135B,251.00M,884.00M,0.43,0.0,,,0.4271,0.43,0.43,0.0,,,0.4271,0.43,1.071B,1.077B,0.12
2011-06,3.019B,3.019B,1.083B,1.936B,764.00M,764.00M,246.00M,,-1.00M,134.00M,1.00M,-133.00M,,1.01B,926.00M,1.00M,134.00M,-133.00M,-1.00M,-133.00M,792.00M,286.00M,506.00M,,,,,506.00M,506.64M,1.172B,246.00M,926.00M,0.46,0.0,,,0.4606,0.46,0.46,0.0,,,0.4606,0.46,1.102B,1.109B,0.04
2011-03,2.81B,2.81B,1.029B,1.781B,765.00M,765.00M,243.00M,,4.00M,140.00M,1.00M,-139.00M,,1.008B,773.00M,1.00M,140.00M,-139.00M,4.00M,-139.00M,638.00M,243.00M,395.00M,,,,,395.00M,392.52M,1.021B,243.00M,778.00M,0.36,0.0,,,0.3578,0.36,0.35,0.0,,,0.3478,0.35,1.108B,1.115B,0.0867
2010-12,2.816B,2.816B,4.841B,-2.025B,,,,,6.00M,149.00M,2.00M,-147.00M,,6.00M,846.00M,2.00M,149.00M,-147.00M,2.00M,-147.00M,701.00M,271.00M,430.00M,,,,,430.00M,426.32M,1.107B,257.00M,850.00M,0.39,,,,0.3867,0.39,0.38,,,,0.3767,0.38,1.116B,1.13B,0.0867
2010-09,2.666B,2.666B,878.00M,1.788B,731.00M,731.00M,232.00M,90.00M,7.00M,131.00M,1.00M,-130.00M,,963.00M,825.00M,1.00M,131.00M,-130.00M,7.00M,-130.00M,702.00M,288.00M,414.00M,,,,,414.00M,409.45M,1.065B,232.00M,833.00M,0.36,0.0,,,0.356,0.36,0.36,0.0,,,0.356,0.36,1.134B,1.145B,0.08
2010-06,2.663B,2.663B,944.00M,1.719B,721.00M,721.00M,230.00M,,7.00M,135.00M,2.00M,-133.00M,,951.00M,768.00M,2.00M,135.00M,-133.00M,7.00M,-133.00M,642.00M,228.00M,414.00M,,,,,414.00M,409.49M,1.007B,230.00M,777.00M,0.36,0.0,,,0.3561,0.36,0.36,0.0,,,0.3561,0.36,1.149B,1.159B,0.08
2010-03,2.491B,2.491B,902.00M,1.589B,729.00M,729.00M,228.00M,,10.00M,142.00M,1.00M,-141.00M,,957.00M,632.00M,1.00M,142.00M,-141.00M,10.00M,-141.00M,501.00M,196.00M,305.00M,,,,,305.00M,298.91M,871.00M,228.00M,643.00M,0.26,0.0,,,0.2548,0.26,0.26,0.0,,,0.2549,0.26,1.173B,1.183B,0.08
2009-12,2.32B,2.32B,73.00M,2.247B,660.00M,660.00M,226.00M,88.00M,13.00M,138.00M,2.00M,-136.00M,,886.00M,1.361B,2.00M,138.00M,-136.00M,13.00M,-136.00M,456.00M,153.00M,303.00M,0.00,,,,303.00M,294.36M,822.00M,228.00M,594.00M,0.26,0.0,,,0.2527,0.26,0.2567,0.0,,,0.2494,0.2567,1.179B,1.191B,0.0733
2009-09,2.289B,2.289B,815.00M,1.474B,653.00M,653.00M,227.00M,92.00M,4.00M,140.00M,2.00M,-138.00M,,880.00M,594.00M,2.00M,140.00M,-138.00M,4.00M,-138.00M,460.00M,170.00M,290.00M,0.00,,,,290.00M,287.48M,827.00M,224.00M,600.00M,0.2467,0.0,,,0.2445,0.2467,0.2433,0.0,,,0.2412,0.2433,1.177B,1.189B,0.0733
2009-06,2.185B,2.185B,531.00M,1.654B,654.00M,654.00M,227.00M,98.00M,7.00M,139.00M,3.00M,-136.00M,,881.00M,773.00M,3.00M,139.00M,-136.00M,7.00M,-136.00M,448.00M,166.00M,282.00M,23.00M,,,,305.00M,277.59M,814.00M,227.00M,587.00M,0.24,0.02,,,0.2363,0.26,0.2367,0.02,,,0.233,0.2567,1.176B,1.186B,0.0733
2009-03,2.247B,2.247B,613.00M,1.634B,662.00M,662.00M,224.00M,113.00M,3.00M,141.00M,,-141.00M,,886.00M,748.00M,,141.00M,-141.00M,3.00M,-141.00M,384.00M,130.00M,254.00M,-8.00M,,,,246.00M,252.02M,749.00M,224.00M,525.00M,0.2167,-0.0067,,,0.215,0.21,0.2133,-0.0067,,,0.2117,0.2067,1.173B,1.182B,0.0733
2008-12,2.674B,2.674B,839.00M,1.835B,723.00M,723.00M,228.00M,96.00M,-31.00M,136.00M,,-99.00M,,951.00M,884.00M,,136.00M,-99.00M,-31.00M,-99.00M,562.00M,201.00M,361.00M,-114.00M,,,,247.00M,380.91M,930.00M,232.00M,698.00M,0.3067,-0.0933,,,0.3237,0.2133,0.3033,-0.0933,,,0.3201,0.21,1.171B,1.187B,0.0733
2008-09,2.961B,2.961B,1.035B,1.926B,754.00M,754.00M,227.00M,106.00M,5.00M,131.00M,,-131.00M,,981.00M,945.00M,,131.00M,-131.00M,5.00M,-131.00M,607.00M,227.00M,380.00M,2.00M,,,,382.00M,376.87M,968.00M,230.00M,738.00M,0.3133,0.0033,,,0.3107,0.3167,0.31,0.0033,,,0.3074,0.3133,1.207B,1.225B,0.0733
2008-06,2.907B,2.907B,1.006B,1.901B,733.00M,733.00M,227.00M,112.00M,17.00M,133.00M,,-133.00M,,960.00M,941.00M,,133.00M,-133.00M,17.00M,-133.00M,601.00M,209.00M,392.00M,-7.00M,,,,385.00M,380.91M,965.00M,231.00M,734.00M,0.3233,-0.0067,,,0.3142,0.3167,0.3167,-0.0067,,,0.3078,0.31,1.219B,1.245B,0.06
2008-03,2.713B,2.713B,898.00M,1.815B,745.00M,745.00M,222.00M,111.00M,55.00M,119.00M,,-119.00M,,967.00M,848.00M,,119.00M,-119.00M,55.00M,-119.00M,562.00M,211.00M,351.00M,,,,,351.00M,316.65M,906.00M,225.00M,681.00M,0.29,0.0,,,0.2617,0.29,0.2833,0.0,,,0.2558,0.2833,1.213B,1.246B,0.05
2007-12,2.577B,2.577B,798.00M,1.779B,761.00M,761.00M,220.00M,110.00M,25.00M,115.00M,,-60.00M,,954.00M,825.00M,,115.00M,-60.00M,25.00M,-60.00M,570.00M,205.00M,365.00M,0.00,,,,365.00M,348.99M,909.00M,224.00M,685.00M,0.29,0.0033,,,0.2771,0.2933,0.2833,0.0033,,,0.2708,0.2867,1.237B,1.276B,0.05
2007-09,2.501B,2.501B,747.00M,1.754B,748.00M,748.00M,220.00M,114.00M,14.00M,102.00M,,-102.00M,,968.00M,786.00M,,102.00M,-102.00M,14.00M,-102.00M,470.00M,173.00M,297.00M,110.00M,,,,407.00M,288.15M,792.00M,218.00M,572.00M,0.23,0.0833,,,0.2232,0.3133,0.2233,0.08,,,0.2167,0.3033,1.298B,1.337B,0.05
2007-06,2.53B,2.53B,470.00M,2.06B,,,222.00M,,3.00M,101.00M,,-101.00M,1.226B,1.448B,612.00M,,101.00M,-101.00M,3.00M,-101.00M,514.00M,190.00M,324.00M,,,,,324.00M,322.11M,838.00M,223.00M,615.00M,0.2467,0.0,,,0.2452,0.2467,0.2367,0.0,,,0.2353,0.2367,1.316B,1.377B,0.04
2007-03,2.422B,2.422B,1.00B,1.422B,734.00M,734.00M,221.00M,,10.00M,99.00M,,-99.00M,,955.00M,467.00M,,99.00M,-99.00M,10.00M,-99.00M,378.00M,138.00M,240.00M,,,,,240.00M,233.65M,702.00M,225.00M,477.00M,0.1833,0.0,,,0.1785,0.1833,0.1733,0.0,,,0.1688,0.1733,1.313B,1.390B,0.04
2006-12,2.396B,2.396B,,,,,216.00M,,62.00M,,,,-5.066B,-1.92B,1.521B,,,,62.00M,,470.00M,123.00M,347.00M,0.00,,,,347.00M,301.23M,821.00M,219.00M,602.00M,0.2667,0.0,,,0.2318,0.2667,0.25,0.0,,,0.2171,0.25,1.311B,1.391B,0.0333
2006-09,2.418B,2.418B,,,,,214.00M,,25.00M,,,,1.715B,1.929B,489.00M,,,,25.00M,,417.00M,89.00M,328.00M,0.00,,,,328.00M,308.34M,707.00M,218.00M,489.00M,0.25,0.0,,,0.2351,0.25,0.2367,0.0,,,0.2226,0.2367,1.320B,1.397B,0.0333
2006-06,2.421B,2.421B,486.00M,1.935B,,,216.00M,,11.00M,98.00M,,-98.00M,1.073B,1.289B,646.00M,,98.00M,-98.00M,11.00M,-98.00M,559.00M,169.00M,390.00M,,,,,390.00M,382.33M,875.00M,218.00M,657.00M,0.2933,0.0,,,0.2876,0.2933,0.2767,0.0,,,0.2712,0.2767,1.331B,1.411B,0.0217
2006-03,2.331B,2.331B,,,,,211.00M,,-3.00M,,,,1.624B,1.835B,496.00M,,,,-3.00M,,395.00M,150.00M,245.00M,,,,,245.00M,246.86M,708.00M,212.00M,496.00M,0.1867,0.0,,,0.1881,0.1867,0.1767,0.0,,,0.178,0.1767,1.318B,1.393B,0.0217
2005-12,2.219B,2.219B,1.477B,742.00M,,1.309B,209.00M,,-92.00M,,,,902.00M,2.42B,-1.678B,,,,-92.00M,,375.00M,138.00M,237.00M,0.00,,5.00M,,237.00M,295.14M,-1.465B,213.00M,-1.678B,0.1833,0.0,,,0.2279,0.1833,0.1767,-0.0033,,,0.2188,0.1733,1.303B,1.380B,0.0217
2005-09,2.125B,2.125B,838.00M,1.287B,,727.00M,207.00M,,11.00M,,,,838.00M,1.772B,-485.00M,,,,11.00M,,264.00M,100.00M,164.00M,0.00,,4.00M,,164.00M,157.17M,-278.00M,202.00M,-485.00M,0.1267,0.0,,,0.1214,0.1267,0.12,0.0,,,0.115,0.12,1.300B,1.371B,0.0167
2005-06,2.166B,2.166B,,,,,205.00M,,30.00M,,,,1.53B,1.735B,431.00M,,,,30.00M,,159.00M,-6.00M,165.00M,0.00,,,,165.00M,147.00M,640.00M,209.00M,431.00M,0.1267,0.0,,,0.1128,0.1267,0.1217,0.0,,,0.1085,0.1217,1.299B,1.365B,0.0167
2005-03,2.108B,2.108B,1.059B,1.049B,902.00M,902.00M,205.00M,-206.00M,-2.00M,,,,853.00M,1.96B,-911.00M,,,,-2.00M,,238.00M,84.00M,154.00M,425.00M,,,,579.00M,155.29M,-702.00M,209.00M,-911.00M,0.12,0.3283,,,0.121,0.4483,0.1133,0.3133,,,0.1143,0.4267,1.292B,1.357B,0.0167
2004-12,2.18B,2.18B,1.092B,1.088B,906.00M,906.00M,218.00M,-176.00M,39.00M,,,,916.00M,2.04B,-952.00M,,,,39.00M,,243.00M,84.00M,159.00M,-92.00M,,4.00M,,67.00M,133.48M,-733.00M,219.00M,-952.00M,0.1233,-0.0717,,,0.1035,0.0517,0.1183,-0.0717,,,0.0995,0.05,1.290B,1.352B,0.0167
2004-09,1.943B,1.943B,1.05B,893.00M,874.00M,874.00M,172.00M,-203.00M,45.00M,,,,863.00M,1.909B,-1.016B,,,,45.00M,,176.00M,62.00M,114.00M,9.00M,,5.00M,,123.00M,84.85M,-837.00M,179.00M,-1.016B,0.0883,0.0067,,,0.0657,0.095,0.085,0.0067,,,0.0634,0.0917,1.289B,1.350B,0.0167
2004-06,1.997B,1.997B,,,,,159.00M,,-10.00M,,,,1.541B,1.70B,297.00M,,,,-10.00M,,178.00M,60.00M,118.00M,1.00M,,,,119.00M,124.63M,462.00M,165.00M,297.00M,0.0917,0.0,,,0.0968,0.0917,0.0883,0.0,,,0.0932,0.0883,1.288B,1.349B,0.0167
2004-03,1.92B,1.92B,1.091B,829.00M,910.00M,910.00M,162.00M,-224.00M,167.00M,,,,867.00M,1.939B,-1.11B,,,,167.00M,,40.00M,13.00M,27.00M,3.00M,,3.00M,,30.00M,-85.72M,-943.00M,167.00M,-1.11B,0.0217,0.0017,,,-0.0659,0.0233,0.0217,0.0017,,,-0.0619,0.0233,1.288B,1.349B,0.0167
2003-12,1.953B,1.953B,,,,,,,5.00M,,,,,2.011B,-3.525B,,,,5.00M,,182.00M,59.00M,123.00M,,0.00,,,123.00M,119.62M,-3.364B,161.00M,-3.525B,0.095,0.0,0.0,,0.0924,0.095,0.095,0.0,-0.0,,0.0924,0.095,1.285B,1.288B,0.0167
2003-09,1.882B,1.882B,,,,,,,21.00M,,,,,1.98B,-98.00M,,,,21.00M,,-180.00M,-77.00M,-103.00M,,0.00,,,-103.00M,-115.60M,62.00M,160.00M,-98.00M,-0.08,0.0,0.0,,-0.0898,-0.08,-0.08,0.0,0.0,,-0.0898,-0.08,1.284B,1.284B,0.0167
2003-06,1.942B,1.942B,,,,,,,19.00M,,,,,1.657B,285.00M,,,,19.00M,,199.00M,72.00M,127.00M,,0.00,,,127.00M,114.87M,447.00M,162.00M,285.00M,0.0983,0.0,0.0,,0.0889,0.0983,0.0983,0.0,0.0,,0.0889,0.0983,1.283B,1.286B,0.0167
2003-03,2.016B,2.016B,,,,,,,-10.00M,,,,,1.839B,177.00M,,,,-10.00M,,64.00M,22.00M,42.00M,,57.00M,,,99.00M,48.56M,337.00M,160.00M,177.00M,0.0333,0.0433,0.0,,0.0384,0.0767,0.0333,0.0433,0.0444,,0.0384,0.0767,1.283B,1.285B,0.0167
2002-12,1.824B,1.824B,1.242B,582.00M,1.115B,1.115B,159.00M,-451.00M,918.00M,,,,1.626B,2.90B,-2.318B,,,,918.00M,,140.00M,60.00M,80.00M,,0.00,-28.00M,,137.00M,-470.80M,-1.199B,1.119B,-2.318B,0.0633,0.0783,0.0,,-0.3671,0.1083,0.05,0.075,0.0,,-0.3119,0.0933,1.280B,1.522B,0.0167
2002-09,2.055B,2.055B,1.057B,998.00M,881.00M,881.00M,163.00M,-161.00M,34.00M,,,,607.00M,1.651B,-653.00M,,,,34.00M,,196.00M,69.00M,127.00M,,,13.00M,,127.00M,104.97M,-490.00M,-782.00M,-653.00M,0.1,0.0,,,0.0828,0.1,0.1,0.0,,,0.0828,0.1,1.278B,1.282B,0.0167
