,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,62.60M,,62.60M,1.052B,71.90M,1.148B,52.30M,86.00M,,,2.50M,1.354B,0.0,600.90M,1.228B,7.094B,6.848B,258.20M,16.03B,-8.245B,7.783B,11.33B,121.30M,11.45B,25.90M,,99.50M,41.80M,195.60M,158.40M,19.75B,21.11B,572.40M,113.30M,144.90M,830.60M,506.70M,1.337B,174.40M,,707.00M,707.00M,,707.00M,341.50M,341.50M,,,2.560B,343.30M,7.500B,,7.500B,836.50M,,944.60M,1.700B,19.60M,,2.50M,126.60M,10.63B,13.19B,3.50M,4.309B,4.872B,1.314B,41.70M,7.912B
2017-12,83.30M,,83.30M,1.106B,51.70M,1.217B,51.20M,78.60M,,,6.40M,1.437B,0.0,600.10M,1.222B,6.954B,6.757B,288.90M,15.82B,-8.045B,7.777B,11.32B,141.10M,11.46B,27.20M,,95.80M,27.10M,146.50M,179.70M,19.71B,21.15B,598.10M,114.40M,141.40M,853.90M,594.20M,1.448B,167.90M,,,706.70M,,706.70M,312.10M,312.10M,,,2.635B,341.30M,7.481B,,7.481B,796.40M,,894.30M,1.686B,19.60M,,2.30M,128.70M,10.55B,13.19B,3.50M,4.152B,4.840B,1.059B,22.60M,7.959B
2017-09,63.90M,,63.90M,1.127B,52.10M,1.194B,47.80M,86.20M,,,3.70M,1.397B,0.0,599.50M,1.178B,6.856B,6.573B,399.20M,15.61B,-7.856B,7.750B,11.23B,152.10M,11.39B,16.40M,,100.00M,28.70M,95.70M,175.30M,19.55B,20.95B,599.30M,115.70M,143.20M,858.20M,534.50M,1.393B,162.20M,,705.70M,705.70M,,705.70M,329.30M,329.30M,,1.60M,2.592B,356.60M,7.152B,,7.152B,1.268B,,1.362B,1.670B,18.80M,,2.20M,123.90M,10.68B,13.27B,3.50M,3.603B,4.821B,771.50M,15.40M,7.672B
2017-06,36.00M,,36.00M,1.074B,51.70M,1.137B,45.40M,69.70M,,,4.30M,1.293B,0.0,598.90M,1.176B,6.817B,6.488B,337.50M,15.42B,-7.727B,7.690B,11.21B,157.50M,11.37B,18.30M,,100.10M,28.30M,93.80M,172.00M,19.47B,20.76B,596.50M,107.80M,135.20M,839.50M,506.10M,1.346B,164.20M,,705.40M,705.40M,,705.40M,321.90M,321.90M,,5.90M,2.543B,345.20M,7.076B,,7.076B,1.230B,,1.325B,1.671B,19.00M,,2.20M,117.00M,10.55B,13.10B,3.50M,3.497B,4.804B,652.20M,11.10M,7.663B
2017-03,33.20M,,33.20M,1.017B,51.80M,1.077B,45.00M,74.20M,,,4.60M,1.234B,0.0,597.00M,1.16B,6.660B,6.446B,256.50M,15.12B,-7.527B,7.593B,11.18B,173.00M,11.36B,21.70M,,97.10M,32.30M,91.80M,168.40M,19.36B,20.60B,520.80M,108.40M,177.30M,806.50M,473.70M,1.280B,158.20M,,6.20M,6.20M,,6.20M,325.40M,325.40M,,7.20M,1.777B,339.80M,7.664B,,7.664B,1.218B,,1.317B,1.676B,19.20M,,2.40M,116.90M,11.13B,12.91B,3.50M,3.402B,4.788B,524.70M,13.50M,7.683B
2016-12,67.80M,,67.80M,994.80M,46.40M,1.093B,44.00M,74.50M,,,5.50M,1.284B,0.0,597.00M,1.160B,6.552B,6.387B,256.90M,14.95B,-7.364B,7.589B,11.16B,182.30M,11.35B,24.80M,,69.70M,32.40M,115.60M,168.50M,19.35B,20.63B,553.80M,108.60M,132.60M,795.00M,533.50M,1.328B,158.90M,,5.80M,5.80M,,5.80M,312.90M,312.90M,,5.90M,1.812B,344.30M,7.653B,,7.653B,1.210B,,1.298B,1.685B,18.40M,,2.40M,124.80M,11.12B,12.94B,3.50M,3.324B,4.764B,414.90M,14.20M,7.691B
2016-09,55.00M,,55.00M,1.017B,48.30M,1.110B,43.70M,86.30M,,,6.80M,1.302B,0.0,591.90M,1.133B,6.495B,6.253B,320.40M,14.79B,-7.177B,7.616B,11.16B,201.40M,11.36B,,,89.20M,27.90M,93.80M,168.70M,19.36B,20.66B,542.80M,109.00M,136.30M,788.10M,536.20M,1.324B,151.60M,,5.70M,5.70M,,5.70M,320.20M,320.20M,,16.10M,1.818B,366.00M,7.740B,,7.740B,1.195B,,1.281B,1.65B,23.00M,20.30M,2.30M,122.30M,11.20B,13.02B,3.50M,3.244B,4.742B,326.70M,-23.00M,7.639B
2016-06,42.00M,,42.00M,990.60M,102.30M,1.106B,41.90M,63.30M,,,6.10M,1.259B,0.0,591.90M,1.120B,6.462B,6.200B,296.50M,14.67B,-7.036B,7.634B,11.15B,214.60M,11.37B,,,80.90M,31.70M,90.80M,179.50M,19.39B,20.65B,558.00M,102.80M,153.20M,814.00M,536.90M,1.351B,148.70M,,5.60M,5.60M,,5.60M,320.30M,320.30M,,22.20M,1.848B,356.70M,7.608B,,7.608B,1.140B,,1.232B,1.662B,23.30M,19.50M,2.30M,137.40M,11.04B,12.89B,3.50M,3.268B,4.724B,209.20M,-30.90M,7.756B
2016-03,33.40M,,33.40M,935.00M,91.40M,1.039B,38.80M,67.80M,,,4.60M,1.183B,0.0,590.90M,1.104B,6.387B,6.160B,213.70M,14.45B,-6.843B,7.612B,11.15B,231.10M,11.38B,,,74.30M,27.50M,84.90M,177.00M,19.36B,20.54B,542.40M,103.40M,149.30M,795.10M,509.10M,1.304B,147.60M,,5.50M,5.50M,,5.50M,316.90M,316.90M,,36.10M,1.810B,354.30M,7.555B,,7.555B,1.129B,,1.216B,1.679B,23.60M,,2.70M,135.50M,10.96B,12.77B,3.50M,3.191B,4.702B,101.70M,-31.10M,7.763B
2015-12,32.40M,,32.40M,962.90M,47.10M,1.088B,38.80M,66.10M,,,4.50M,1.230B,0.0,591.00M,1.099B,6.212B,6.078B,217.10M,14.20B,-6.644B,7.553B,11.15B,246.40M,11.39B,10.10M,,69.90M,16.50M,90.50M,173.90M,19.31B,20.54B,577.40M,103.70M,127.00M,808.10M,526.10M,1.334B,140.20M,,5.50M,5.50M,,5.50M,313.90M,313.90M,,41.00M,1.835B,346.80M,7.527B,,7.527B,1.132B,,1.215B,1.678B,18.20M,,2.50M,139.10M,10.92B,12.76B,3.50M,3.138B,4.678B,14.90M,-30.50M,7.774B
2015-09,102.50M,,102.50M,988.80M,101.80M,1.106B,37.70M,76.60M,,116.20M,5.80M,1.444B,0.0,588.40M,1.088B,6.165B,5.909B,300.60M,14.05B,-6.498B,7.553B,11.13B,258.60M,11.39B,,,71.90M,21.50M,126.40M,187.60M,19.35B,20.79B,560.80M,104.30M,162.10M,827.20M,553.20M,1.380B,146.00M,,5.40M,5.40M,,5.40M,316.50M,316.50M,,36.30M,1.900B,363.10M,7.556B,,7.556B,1.133B,,1.215B,1.677B,137.50M,,2.40M,141.00M,11.09B,12.99B,4.20M,3.070B,6.952B,2.200B,-26.60M,7.800B
2015-06,99.90M,,99.90M,969.40M,43.40M,1.026B,37.20M,54.90M,,119.90M,3.20M,1.341B,0.0,579.90M,1.091B,6.145B,5.869B,245.90M,13.93B,-6.392B,7.539B,11.10B,272.70M,11.38B,,,74.60M,11.80M,133.10M,192.40M,19.33B,20.67B,544.10M,97.80M,133.70M,775.60M,504.40M,1.28B,144.50M,,5.10M,5.10M,,5.10M,315.80M,315.80M,,26.90M,1.788B,367.30M,7.548B,,7.548B,1.138B,,1.224B,1.694B,141.90M,,2.20M,139.00M,11.11B,12.90B,4.10M,2.960B,6.927B,2.107B,-21.70M,7.762B
2015-03,134.30M,,134.30M,930.40M,47.40M,990.20M,37.00M,57.60M,,122.40M,2.20M,1.344B,0.0,580.60M,1.075B,6.059B,5.789B,166.80M,13.67B,-6.223B,7.447B,11.10B,289.40M,11.38B,,45.00M,52.20M,,129.20M,191.70M,19.25B,20.59B,491.60M,98.50M,164.70M,754.80M,490.70M,1.246B,133.90M,,10.10M,10.10M,,10.10M,314.60M,314.60M,,36.40M,1.756B,382.70M,7.554B,,7.554B,1.140B,,1.224B,1.696B,146.20M,,2.60M,69.60M,11.07B,12.83B,4.20M,2.868B,6.914B,1.997B,-27.80M,7.762B
2014-12,75.20M,,75.20M,930.40M,69.40M,1.101B,35.90M,55.00M,,122.00M,1.50M,1.391B,0.0,563.50M,1.002B,5.834B,5.645B,150.90M,13.20B,-6.031B,7.165B,10.83B,298.90M,11.13B,,,72.70M,14.10M,124.30M,196.80M,18.70B,20.09B,527.30M,98.70M,141.90M,767.90M,559.20M,1.327B,131.00M,,10.40M,10.40M,,10.40M,306.30M,306.30M,,35.30M,1.826B,357.20M,7.051B,,7.051B,1.149B,,1.225B,1.678B,150.60M,,2.50M,58.80M,10.52B,12.35B,4.10M,2.795B,6.877B,1.902B,-28.90M,7.745B
2014-09,113.00M,,113.00M,955.20M,39.30M,1.026B,38.20M,68.00M,,112.10M,3.40M,1.361B,0.0,542.90M,954.80M,5.784B,5.482B,245.00M,13.01B,-5.859B,7.149B,10.76B,279.90M,11.04B,,32.40M,49.60M,,125.10M,229.40M,18.63B,19.99B,517.30M,99.50M,143.80M,760.60M,490.50M,1.251B,135.80M,,,10.50M,,10.50M,311.70M,311.70M,,,1.725B,372.50M,7.02B,,7.02B,1.158B,,1.234B,1.495B,148.00M,,2.30M,61.40M,10.33B,12.06B,4.10M,2.844B,6.864B,1.780B,-2.20M,7.929B
2014-06,49.50M,,49.50M,932.80M,33.50M,966.30M,38.60M,52.60M,,107.30M,3.00M,1.225B,0.0,544.20M,949.20M,5.717B,5.428B,172.30M,12.81B,-5.684B,7.127B,10.75B,292.00M,11.04B,,28.40M,50.30M,,124.60M,276.40M,18.65B,19.88B,522.30M,92.50M,117.80M,732.60M,502.30M,1.235B,147.20M,,,10.10M,,10.10M,313.30M,313.30M,,,1.706B,370.90M,7.042B,,7.042B,1.150B,,1.223B,1.477B,152.70M,,2.30M,49.80M,10.32B,12.02B,4.10M,2.758B,6.844B,1.757B,4.50M,7.853B
2014-03,175.80M,,175.80M,873.20M,37.90M,911.10M,38.20M,56.90M,,118.30M,3.00M,1.307B,0.0,542.20M,942.50M,5.554B,5.416B,92.60M,12.55B,-5.494B,7.053B,10.73B,301.10M,11.03B,,22.00M,50.50M,,123.00M,257.90M,18.54B,19.84B,491.10M,92.90M,162.40M,746.40M,499.10M,1.246B,139.40M,,,5.40M,,5.40M,307.10M,307.10M,,,1.697B,385.80M,7.008B,,7.008B,1.166B,,1.240B,1.464B,173.30M,,2.70M,49.80M,10.32B,12.02B,4.10M,2.672B,6.788B,1.644B,1.40M,7.822B
2013-12,213.30M,,213.30M,890.70M,38.20M,984.20M,37.80M,59.00M,,117.60M,3.00M,1.422B,0.0,541.80M,935.60M,5.404B,5.393B,85.80M,12.36B,-5.323B,7.037B,10.72B,315.80M,11.04B,,19.50M,46.90M,,116.50M,267.70M,18.53B,19.95B,511.40M,93.70M,121.30M,726.40M,521.10M,1.248B,151.40M,,15.70M,15.70M,,15.70M,301.80M,301.80M,,0.70M,1.717B,369.10M,7.002B,,7.002B,1.185B,,1.252B,1.464B,177.90M,,2.60M,59.90M,10.33B,12.04B,4.10M,2.633B,6.765B,1.501B,3.00M,7.904B
2013-09,97.30M,,97.30M,906.80M,32.60M,983.90M,36.90M,67.90M,,96.50M,4.40M,1.290B,0.0,545.10M,903.50M,5.332B,5.13B,284.30M,12.20B,-5.148B,7.047B,10.71B,327.20M,11.04B,,21.50M,45.10M,,113.80M,268.50M,18.54B,19.83B,505.50M,93.60M,136.70M,735.80M,573.80M,1.310B,135.30M,,,15.50M,,15.50M,308.80M,308.80M,,,1.769B,379.80M,7.024B,,7.024B,1.156B,,1.220B,1.462B,177.70M,,2.50M,54.20M,10.32B,12.09B,4.10M,2.490B,6.745B,1.501B,-0.80M,7.737B
2013-06,96.70M,,96.70M,876.50M,32.40M,955.50M,36.00M,50.60M,,125.60M,2.70M,1.269B,0.0,545.70M,886.30M,5.247B,5.112B,216.00M,12.01B,-4.989B,7.018B,10.71B,330.10M,11.04B,,18.70M,47.70M,,115.70M,268.30M,18.51B,19.77B,527.60M,85.10M,126.20M,738.90M,559.00M,1.298B,138.90M,,,15.30M,,15.30M,298.70M,298.70M,,,1.751B,396.60M,7.013B,,7.013B,1.172B,,1.232B,1.472B,141.90M,,2.80M,54.40M,10.31B,12.06B,4.10M,2.413B,6.723B,1.423B,-7.40M,7.710B
2013-03,130.10M,,130.10M,821.90M,33.80M,874.30M,35.10M,58.00M,,118.20M,2.20M,1.223B,0.0,545.50M,869.90M,5.080B,5.076B,194.20M,11.77B,-4.819B,6.947B,10.70B,343.10M,11.04B,,18.30M,50.40M,,113.90M,246.40M,18.42B,19.64B,464.30M,84.90M,153.40M,702.60M,499.40M,1.202B,134.10M,,,25.10M,,25.10M,314.10M,314.10M,,,1.675B,390.10M,7.008B,,7.008B,1.208B,,1.266B,1.421B,100.60M,,2.70M,43.90M,10.23B,11.90B,4.10M,2.442B,6.654B,1.364B,-4.70M,7.732B
2012-12,67.60M,,67.60M,836.60M,39.60M,945.20M,34.50M,54.40M,,117.80M,7.70M,1.231B,0.0,542.90M,864.20M,4.946B,5.018B,187.80M,11.56B,-4.649B,6.910B,10.69B,358.70M,11.05B,,17.90M,59.70M,,108.70M,240.30M,18.39B,19.62B,474.50M,84.90M,126.30M,685.70M,525.00M,1.211B,151.70M,,,19.40M,,19.40M,313.20M,313.20M,,,1.695B,387.00M,7.051B,,7.051B,1.233B,,1.283B,1.421B,43.40M,,2.40M,31.40M,10.22B,11.91B,4.10M,2.403B,6.589B,1.287B,-5.80M,7.703B
2012-09,74.00M,0.00,74.00M,854.20M,39.80M,959.50M,35.50M,63.30M,,123.90M,7.40M,1.27B,0.0,543.30M,837.40M,4.86B,4.854B,291.30M,11.39B,-4.482B,6.903B,10.68B,371.90M,11.05B,,,,,,411.00M,18.36B,19.63B,490.60M,85.70M,0.80M,577.10M,629.80M,1.207B,,44.40M,,44.40M,,44.40M,311.10M,311.10M,,,1.699B,,7.06B,,7.06B,1.165B,,1.165B,1.420B,,,2.40M,548.60M,10.19B,11.89B,4.00M,2.361B,6.563B,1.170B,-19.80M,7.739B
2012-06,69.30M,0.00,69.30M,845.30M,41.40M,939.70M,34.10M,53.40M,,128.10M,7.60M,1.234B,0.0,5.368B,822.40M,4.753B,,261.50M,11.20B,-4.322B,6.883B,10.68B,388.60M,11.07B,,,94.10M,,108.40M,204.60M,18.36B,19.59B,529.50M,80.40M,10.20M,620.10M,635.50M,1.256B,,34.00M,,34.00M,,34.00M,323.50M,323.50M,,,1.752B,,7.079B,,7.079B,1.152B,,1.152B,1.407B,,,2.30M,517.00M,10.16B,11.91B,4.00M,2.294B,6.548B,1.134B,-31.80M,7.680B
2012-03,73.50M,,73.50M,808.40M,,808.40M,35.30M,117.60M,,144.40M,,1.179B,0.0,5.415B,808.60M,4.622B,,218.40M,11.06B,-4.251B,6.813B,10.65B,398.10M,11.05B,,32.00M,49.00M,,127.10M,204.40M,18.28B,19.46B,451.00M,,,451.00M,921.60M,1.373B,,34.20M,,34.20M,,34.20M,309.00M,309.00M,,,1.716B,,6.870B,,6.870B,1.165B,,1.165B,1.403B,,,2.00M,548.50M,9.986B,11.70B,4.00M,2.226B,6.532B,992.80M,-17.30M,7.752B
2011-12,66.30M,,66.30M,825.80M,54.50M,948.70M,35.20M,53.40M,,157.70M,1.40M,1.266B,0.0,536.90M,802.80M,4.515B,4.763B,234.60M,10.85B,-4.060B,6.792B,10.65B,409.60M,11.06B,,31.60M,58.00M,,89.10M,258.20M,18.29B,19.55B,563.60M,81.40M,144.70M,789.70M,668.40M,1.458B,114.40M,,,34.80M,,34.80M,290.20M,290.20M,,,1.898B,421.20M,6.887B,,6.887B,1.161B,,1.192B,1.396B,46.80M,,2.10M,26.60M,9.971B,11.87B,4.00M,2.165B,6.496B,961.50M,-21.50M,7.681B
2011-09,72.60M,,72.60M,901.30M,38.60M,972.70M,37.80M,62.60M,,104.60M,4.10M,1.254B,0.0,5.181B,785.50M,4.376B,,291.80M,10.63B,-3.925B,6.709B,10.65B,427.60M,11.07B,,34.50M,53.80M,,90.20M,240.10M,18.20B,19.46B,515.20M,81.60M,18.60M,615.40M,669.90M,1.285B,,9.70M,,9.70M,,9.70M,306.80M,306.80M,,108.40M,1.858B,,7.022B,,7.022B,1.070B,,1.070B,1.414B,5.20M,,2.10M,474.20M,9.984B,11.84B,4.00M,2.055B,6.486B,930.70M,-2.20M,7.612B
2011-06,320.50M,,320.50M,872.30M,69.80M,948.40M,34.40M,51.40M,,117.20M,7.70M,1.480B,0.0,5.168B,779.10M,4.338B,,193.80M,10.48B,-3.776B,6.703B,10.64B,439.20M,11.08B,,35.30M,51.80M,,94.60M,238.60M,18.20B,19.68B,476.80M,75.30M,,552.10M,676.40M,1.228B,,397.80M,,397.80M,,397.80M,304.90M,304.90M,,102.90M,2.204B,,6.908B,,6.908B,975.70M,,1.013B,1.434B,6.10M,,2.00M,450.80M,9.811B,12.02B,4.00M,1.944B,6.477B,763.70M,3.80M,7.665B
2011-03,67.90M,,67.90M,839.50M,77.40M,916.90M,36.30M,59.70M,,115.80M,13.70M,1.210B,0.0,5.188B,779.10M,4.270B,,116.60M,10.35B,-3.66B,6.694B,10.66B,435.00M,11.09B,,,,,,400.60M,18.19B,19.40B,431.60M,75.80M,,507.40M,674.70M,1.182B,,615.70M,,615.70M,,615.70M,316.40M,316.40M,,113.40M,2.371B,,6.192B,,6.192B,1.052B,,1.052B,1.434B,,,2.30M,550.60M,9.228B,11.60B,4.00M,1.972B,6.450B,648.70M,17.60M,7.795B
2010-12,88.30M,,88.30M,828.90M,45.40M,944.10M,31.30M,55.90M,,121.50M,5.00M,1.246B,0.0,5.125B,768.50M,4.169B,,133.20M,10.20B,-3.498B,6.698B,10.66B,451.30M,11.11B,,34.00M,,,68.50M,308.20M,18.22B,19.46B,606.50M,76.70M,0.00,683.20M,556.60M,1.240B,,878.50M,,878.50M,,878.50M,295.10M,295.10M,,104.70M,2.676B,,5.865B,,5.865B,1.045B,,1.072B,1.417B,14.40M,,2.40M,567.90M,8.936B,11.61B,4.00M,1.890B,6.431B,500.80M,21.90M,7.846B
