,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-12,189.60M,,6.10M,0.00,6.70M,,,,265.20M,-11.00M,,5.50M,8.40M,-38.10M,18.50M,50.90M,9.70M,,,-20.10M,59.00M,488.20M,-189.10M,2.40M,-186.70M,-16.70M,,-8.70M,-212.10M,-85.40M,-85.40M,14.30M,-97.20M,-82.90M,-109.00M,-109.00M,,5.10M,-272.20M,55.00M,3.90M,113.00M,14.30M,833.30M,-918.70M,-97.20M
2016-09,85.70M,,0.00,0.00,198.20M,,,,272.10M,49.20M,,5.60M,-0.40M,-35.20M,-31.60M,15.10M,7.90M,,,-57.20M,-65.80M,515.30M,-226.70M,1.90M,-224.80M,-16.80M,,6.40M,-235.20M,-57.60M,-57.60M,8.70M,-110.50M,-101.80M,-102.80M,-102.80M,,-4.90M,-267.10M,42.00M,13.00M,55.00M,8.70M,1.778B,-1.836B,-110.50M
2016-06,181.00M,,0.00,0.00,-1.40M,,,,269.90M,12.30M,,5.60M,-3.90M,-24.50M,-61.80M,-23.00M,12.30M,,,39.30M,-33.20M,412.80M,-240.50M,2.60M,-237.90M,-7.90M,,-1.20M,-247.00M,46.40M,46.40M,13.90M,-110.30M,-96.40M,-103.40M,-103.40M,,-3.80M,-157.20M,33.40M,8.60M,42.00M,13.90M,977.60M,-931.20M,-110.30M
2016-03,156.90M,,0.00,5.60M,4.70M,,,,263.00M,-3.30M,,6.50M,-4.10M,-8.30M,22.60M,-44.10M,-39.70M,,,72.70M,11.50M,431.50M,-271.50M,2.90M,-268.60M,-6.00M,,4.40M,-270.20M,13.40M,13.40M,12.80M,-85.80M,-73.00M,-103.70M,-103.70M,,3.00M,-160.30M,32.40M,1.00M,33.40M,12.80M,812.00M,-798.60M,-85.80M
2015-12,172.40M,,,4.50M,4.50M,,,,264.50M,129.00M,,3.80M,7.00M,-220.50M,24.10M,55.50M,23.90M,,,-114.40M,-10.90M,355.20M,-213.60M,4.10M,-209.50M,-36.80M,,6.70M,-239.60M,16.20M,16.20M,13.60M,-111.40M,-97.80M,-104.30M,-104.30M,,0.20M,-185.70M,102.50M,-70.10M,32.40M,13.60M,23.00M,-6.80M,-111.40M
2015-09,215.10M,,,0.00,1.40M,,,,266.80M,0.40M,,3.50M,-1.90M,-31.10M,-25.40M,-75.20M,7.40M,,,56.10M,-37.10M,423.30M,-232.80M,9.00M,-223.80M,-23.30M,,2.10M,-245.00M,-3.20M,-3.20M,19.30M,-93.80M,-74.50M,-97.80M,-97.80M,,-0.20M,-175.70M,99.90M,2.60M,102.50M,19.30M,102.20M,-105.40M,-93.80M
2015-06,190.40M,,,0.00,-1.60M,,,,265.60M,-1.30M,,4.40M,-1.00M,-20.60M,-45.70M,-1.30M,38.30M,,,-28.30M,-37.00M,405.10M,-229.60M,4.90M,-224.70M,-3.20M,,3.10M,-224.80M,-7.50M,-7.50M,6.80M,-113.40M,-106.60M,-98.50M,-98.50M,,-2.10M,-214.70M,134.30M,-34.40M,99.90M,6.80M,135.20M,-142.70M,-113.40M
2015-03,172.50M,,,0.00,-1.40M,,,,253.10M,-11.40M,,7.20M,-4.10M,-14.90M,31.30M,12.30M,-34.00M,,,80.60M,90.20M,496.10M,-269.60M,3.20M,-266.40M,-509.40M,,2.40M,-773.40M,495.10M,495.10M,26.20M,-86.10M,-59.90M,-98.70M,-98.70M,,-0.10M,336.40M,75.20M,59.10M,134.30M,26.20M,1.156B,-660.80M,-86.10M
2014-12,50.50M,,,,-10.00M,,,,247.50M,-4.30M,,3.20M,-1.60M,149.50M,23.50M,-13.30M,5.60M,,,-28.70M,-12.90M,428.20M,-179.40M,21.80M,-157.60M,-122.20M,,31.00M,-248.80M,-3.90M,-3.90M,9.10M,-123.10M,-114.00M,-99.50M,-99.50M,,0.20M,-217.20M,113.00M,-37.80M,75.20M,9.10M,443.50M,-447.40M,-123.10M
2014-09,185.80M,,,,-3.00M,,,,255.10M,21.50M,,3.60M,-1.00M,-28.80M,-29.00M,-21.70M,1.80M,,,-12.90M,-61.80M,379.30M,-210.20M,7.20M,-203.00M,-27.20M,,41.80M,-188.40M,-28.80M,-28.80M,14.10M,-21.40M,-7.30M,-92.50M,-92.50M,,1.20M,-127.40M,49.50M,63.50M,113.00M,14.10M,194.10M,-222.90M,-21.40M
2014-06,179.00M,,,,1.30M,,,,249.70M,-7.00M,,3.90M,-2.70M,-23.70M,-62.80M,3.30M,18.00M,,,-38.10M,-79.60M,325.90M,-259.20M,4.20M,-255.00M,-40.10M,,-17.40M,-312.50M,31.40M,31.40M,49.50M,-123.90M,-74.40M,-92.90M,-92.90M,,-3.80M,-139.70M,175.80M,-126.30M,49.50M,49.50M,745.70M,-714.30M,-123.90M
2014-03,132.60M,,,,-1.60M,,,,232.60M,-19.20M,,6.70M,0.40M,11.60M,14.00M,-9.60M,-22.10M,,,47.60M,29.90M,396.40M,-213.70M,2.50M,-211.20M,-6.20M,,7.30M,-210.10M,-13.80M,-13.80M,15.90M,-132.20M,-116.30M,-93.70M,-93.70M,,,-223.80M,213.30M,-37.50M,175.80M,15.90M,0.00,-13.80M,-132.20M
2013-12,236.70M,,,0.00,-3.60M,,,,245.40M,15.40M,,3.40M,-1.00M,-72.00M,9.20M,-3.60M,19.50M,,,-46.40M,-21.30M,411.00M,-192.10M,11.90M,-180.20M,-19.70M,,2.60M,-197.30M,-16.50M,-16.50M,12.00M,0.00,12.00M,-93.60M,-93.60M,,0.40M,-97.70M,97.30M,116.00M,213.30M,12.00M,121.00M,-137.50M,0.00
2013-09,171.10M,,,40.80M,39.20M,,,,243.60M,0.60M,,3.70M,-4.10M,-51.90M,-30.70M,-3.60M,-21.70M,,,28.90M,-27.10M,375.70M,-226.90M,4.60M,-222.30M,-20.50M,,8.10M,-234.70M,6.40M,6.40M,15.90M,-78.50M,-62.60M,-85.10M,-85.10M,,0.90M,-140.40M,96.70M,0.60M,97.30M,15.90M,326.50M,-320.10M,-78.50M
2013-06,56.40M,,,42.00M,39.60M,,,,236.20M,-36.90M,,4.40M,-1.50M,70.10M,-58.90M,0.10M,52.00M,,,-24.40M,-31.20M,341.70M,-247.00M,4.20M,-242.80M,-16.60M,,-20.80M,-280.20M,-6.20M,-6.20M,63.00M,-68.40M,-5.40M,-84.90M,-84.90M,,1.60M,-94.90M,130.10M,-33.40M,96.70M,63.00M,68.80M,-75.00M,-68.40M
2013-03,124.90M,,,57.90M,56.60M,,,,228.80M,-17.60M,,7.70M,-0.10M,-30.30M,18.80M,-4.30M,-11.90M,,,44.30M,46.90M,419.80M,-214.80M,3.20M,-211.60M,-9.20M,,-0.90M,-221.70M,-42.60M,-42.60M,59.90M,-67.20M,-7.30M,-84.90M,-84.90M,,-0.80M,-135.60M,67.60M,62.50M,130.10M,59.90M,702.90M,-745.50M,-67.20M
2012-12,127.00M,,,0.00,-0.80M,,,,235.70M,119.90M,,4.00M,-2.50M,8.20M,10.10M,8.20M,-12.40M,,,-49.20M,-43.30M,457.10M,-196.10M,4.20M,-191.90M,-22.20M,,-31.20M,-245.30M,-35.70M,-35.70M,21.10M,-117.50M,-96.40M,-85.70M,-85.70M,,-0.40M,-218.20M,74.00M,-6.40M,67.60M,21.10M,733.20M,-768.90M,-117.50M
2012-09,152.80M,,,30.70M,30.60M,,,,223.20M,-10.30M,,4.50M,-1.00M,9.40M,-16.80M,-18.20M,-8.90M,,,-11.60M,-55.50M,361.70M,-244.90M,3.10M,-241.80M,-1.30M,,3.80M,-239.30M,-12.90M,-12.90M,11.80M,-35.70M,-23.90M,-80.40M,-80.40M,,-0.50M,-117.70M,69.30M,4.70M,74.00M,11.80M,670.10M,-683.00M,-35.70M
2012-06,149.50M,,,0.00,107.20M,,,,234.60M,-28.60M,,4.70M,-0.30M,-21.90M,-41.00M,7.60M,15.80M,,,-72.40M,-90.00M,360.80M,-188.30M,16.60M,-171.70M,-52.00M,,13.10M,-210.60M,96.00M,96.00M,10.50M,-163.40M,-152.90M,-81.60M,-81.60M,,-15.90M,-154.40M,73.50M,-4.20M,69.30M,10.50M,1.651B,-1.555B,-163.40M
2012-03,142.80M,,,0.00,-7.80M,,,,233.40M,2.90M,,8.00M,-0.30M,-84.80M,10.50M,-11.50M,-44.10M,,,77.90M,32.80M,334.20M,-274.20M,4.80M,-269.40M,-10.20M,,37.30M,-242.30M,-22.40M,-22.40M,27.00M,-9.00M,18.00M,-81.40M,-81.40M,,1.10M,-84.70M,66.30M,7.20M,73.50M,27.00M,564.30M,-586.70M,-9.00M
2011-12,191.00M,,,,44.40M,-572.30M,-57.10M,-629.40M,292.20M,353.70M,-45.90M,4.20M,-6.80M,-184.70M,64.70M,-29.60M,5.60M,,-77.90M,-141.10M,-178.30M,479.90M,-240.40M,11.20M,-229.20M,-1.80M,,-30.00M,-261.00M,-59.20M,-59.20M,5.10M,-30.80M,-25.70M,,-81.60M,,-58.70M,-225.20M,72.60M,-6.30M,66.30M,5.10M,278.90M,-338.10M,-30.80M
2011-09,193.60M,,,,1.00M,195.50M,19.50M,215.00M,215.00M,39.40M,6.50M,4.30M,-0.30M,35.30M,-33.10M,-36.10M,39.40M,,70.20M,-48.80M,-8.40M,491.20M,-214.40M,7.10M,-207.30M,-9.00M,,-0.70M,-217.00M,-284.30M,-284.30M,4.20M,-167.00M,-162.80M,,-75.30M,,0.30M,-522.10M,320.50M,-247.90M,72.60M,4.20M,318.00M,-602.30M,-167.00M
2011-06,46.20M,,,,175.00M,189.70M,18.90M,208.60M,208.60M,-71.60M,39.00M,4.50M,-1.40M,33.00M,-36.20M,36.70M,12.80M,,-60.00M,-30.40M,-77.10M,361.90M,-184.50M,9.40M,-175.10M,-6.00M,,3.20M,-177.90M,236.90M,236.90M,21.10M,-115.00M,-93.90M,,-75.80M,,1.40M,68.60M,67.90M,252.60M,320.50M,21.10M,2.178B,-1.941B,-115.00M
2011-03,158.10M,,,,-3.50M,187.10M,18.70M,205.80M,205.80M,13.30M,0.40M,7.60M,-0.70M,41.70M,-11.40M,23.90M,-45.90M,,67.70M,-23.70M,10.60M,433.70M,-297.20M,6.90M,-290.30M,-11.60M,,7.60M,-294.30M,53.80M,53.80M,10.30M,-147.90M,-137.60M,,-76.70M,,0.70M,-159.80M,88.30M,-20.40M,67.90M,10.30M,486.50M,-432.70M,-147.90M
2010-12,147.90M,,,,7.20M,-575.50M,-52.90M,-628.40M,285.80M,63.00M,-11.50M,6.20M,3.20M,-203.90M,57.40M,-39.70M,46.20M,,83.10M,15.90M,162.90M,470.00M,-223.30M,20.00M,-203.30M,-28.10M,,33.30M,-198.10M,-179.30M,-179.30M,19.40M,-41.70M,-22.30M,,-76.90M,,-25.60M,-304.10M,120.50M,-32.20M,88.30M,19.40M,124.00M,-303.30M,-41.70M
2010-09,134.50M,,,,31.70M,193.90M,17.70M,211.60M,211.60M,56.60M,11.00M,6.30M,-1.10M,44.50M,-4.70M,-35.10M,-18.30M,,-26.40M,-45.80M,-130.30M,368.90M,-186.00M,4.80M,-181.20M,30.00M,,108.30M,-42.90M,-222.10M,-222.10M,32.80M,0.00,32.80M,,-72.80M,,0.60M,-261.50M,56.00M,64.50M,120.50M,32.80M,49.30M,-271.40M,0.00
2010-06,159.90M,,,,-2.20M,196.20M,17.60M,213.80M,213.80M,-7.50M,0.40M,5.80M,-1.00M,44.10M,-55.80M,-15.00M,36.40M,,-56.80M,-34.20M,-125.40M,295.70M,-177.00M,6.70M,-170.30M,0.00,,-95.10M,-265.40M,-7.70M,-7.70M,24.90M,-1.40M,23.50M,,-72.50M,,1.00M,-55.70M,81.40M,-25.40M,56.00M,24.90M,288.70M,-296.40M,-1.40M
2010-03,65.20M,,,,128.00M,185.40M,17.60M,203.00M,203.00M,-50.80M,0.10M,6.20M,-0.80M,49.90M,11.90M,13.20M,-99.20M,,0.10M,-30.20M,-104.20M,299.10M,-208.40M,5.90M,-202.50M,-0.80M,,19.20M,-184.10M,-18.70M,-18.70M,9.40M,0.00,9.40M,,-72.40M,,0.10M,-81.60M,48.00M,33.40M,81.40M,9.40M,2.231B,-2.250B,0.00
2009-12,35.90M,,,,78.20M,192.90M,18.10M,211.00M,211.00M,-30.20M,-3.30M,3.40M,-1.10M,79.50M,52.10M,-14.50M,57.10M,,-43.90M,-67.40M,-16.60M,384.10M,-283.80M,9.00M,-274.80M,37.80M,-27.10M,41.00M,-223.10M,-179.40M,-179.40M,21.70M,-0.50M,21.20M,,-72.20M,-1.40M,11.50M,-220.30M,107.30M,-59.30M,48.00M,21.70M,1.124B,-1.304B,-0.50M
2009-09,121.10M,,,,30.20M,200.70M,17.50M,218.20M,218.20M,-0.40M,8.60M,3.60M,-1.90M,65.00M,-23.60M,-19.90M,3.50M,,-16.60M,-63.00M,-119.60M,324.80M,-187.40M,6.10M,-181.30M,473.30M,4.40M,-418.30M,-121.90M,-94.10M,-94.10M,11.10M,0.00,11.10M,,-72.10M,0.90M,-9.00M,-163.20M,67.60M,39.70M,107.30M,11.10M,914.10M,-1.008B,0.00
2009-06,226.10M,,,,-140.20M,201.10M,17.60M,218.70M,218.70M,-25.80M,0.00,3.30M,0.20M,61.10M,-38.00M,4.80M,-101.30M,,-2.10M,-31.60M,-168.20M,175.20M,-161.70M,11.80M,-149.90M,-0.30M,22.70M,399.10M,271.60M,-503.80M,-503.80M,3.10M,-0.20M,2.90M,,-72.00M,0.20M,,-572.70M,193.50M,-125.90M,67.60M,3.10M,448.60M,-952.40M,-0.20M
2009-03,113.40M,,,,18.80M,204.40M,17.40M,221.80M,221.80M,31.80M,1.80M,4.70M,0.30M,67.30M,62.60M,17.70M,33.80M,,,-61.60M,52.50M,512.40M,-193.40M,4.90M,-188.50M,0.20M,,19.20M,-169.10M,-150.20M,-150.20M,3.70M,-0.30M,3.40M,,-72.00M,0.30M,,-218.50M,68.70M,124.80M,193.50M,3.70M,230.90M,-381.10M,-0.30M
2008-12,-131.60M,,,,-0.30M,120.10M,7.10M,127.20M,127.20M,,89.80M,14.50M,1.00M,1.70M,55.00M,58.40M,-171.50M,,,-125.80M,-64.00M,38.00M,-122.80M,2.40M,-120.40M,-537.10M,,1.10M,-656.40M,682.60M,682.60M,4.40M,-4.00M,0.40M,,-34.60M,-3.90M,,647.20M,39.90M,28.80M,68.70M,4.40M,760.00M,-77.40M,-4.00M
2008-09,88.70M,,,,-1.10M,75.80M,1.50M,77.30M,77.30M,,0.00,2.80M,0.30M,15.60M,-9.50M,-34.40M,16.70M,,,3.10M,-24.10M,162.70M,-98.70M,2.50M,-96.20M,-1.20M,,6.40M,-91.00M,-20.30M,-20.30M,5.30M,0.00,5.30M,,-31.00M,1.10M,,-44.90M,13.10M,26.80M,39.90M,5.30M,526.40M,-546.70M,0.00
2008-06,40.70M,,,,,74.60M,1.60M,76.20M,76.20M,,0.00,2.80M,0.80M,10.10M,-15.50M,-1.30M,28.10M,,,19.60M,30.90M,163.50M,-83.80M,2.30M,-81.50M,-0.50M,,12.00M,-70.00M,-70.30M,-70.30M,9.60M,-40.60M,-31.00M,,-31.10M,1.60M,,-130.80M,50.40M,-37.30M,13.10M,9.60M,45.00M,-115.30M,-40.60M
2008-03,76.10M,,,,,71.80M,1.60M,73.40M,73.40M,,0.00,3.90M,0.70M,14.40M,-8.90M,-6.90M,-37.80M,,,31.90M,-21.70M,148.00M,-81.60M,1.00M,-80.60M,-11.70M,,-25.00M,-117.30M,120.80M,120.80M,5.30M,-97.80M,-92.50M,,-31.60M,1.20M,,-2.10M,21.80M,28.60M,50.40M,5.30M,122.00M,-1.20M,-97.80M
2007-12,82.10M,,,,-13.10M,70.00M,1.60M,71.60M,71.60M,10.30M,,,,11.20M,13.90M,-4.40M,22.20M,,,-3.10M,28.60M,190.70M,-76.50M,1.40M,-75.10M,34.70M,,37.20M,-3.20M,,-94.30M,6.70M,-70.70M,-64.00M,,-31.90M,,1.90M,-188.30M,22.60M,-0.80M,21.80M,6.70M,,,-70.70M
2007-09,67.00M,,,,0.10M,76.40M,1.60M,78.00M,78.00M,12.90M,,,,10.70M,-9.80M,-4.60M,14.10M,,,-7.50M,-7.80M,160.90M,-102.90M,2.00M,-100.90M,-1.90M,,-72.70M,-175.50M,,152.10M,5.30M,-127.00M,-121.70M,,-20.40M,,1.30M,11.30M,25.90M,-3.30M,22.60M,5.30M,,,-127.00M
2007-06,87.20M,,,,-0.80M,75.50M,1.40M,76.90M,76.90M,1.70M,,,,2.20M,-12.70M,-4.40M,60.40M,,,0.00,43.30M,210.50M,-69.00M,1.70M,-67.30M,4.60M,,12.60M,-50.10M,,-50.30M,8.60M,-94.40M,-85.80M,,-20.80M,,2.10M,-154.80M,20.30M,5.60M,25.90M,8.60M,,,-94.40M
2007-03,53.90M,,,,,77.10M,1.90M,79.00M,79.00M,2.90M,,,,17.40M,-5.00M,-3.90M,-93.80M,,,48.70M,-54.00M,99.20M,-44.10M,1.00M,-43.10M,0.30M,,11.30M,-31.50M,,3.60M,10.70M,-70.70M,-60.00M,,-20.80M,,0.70M,-76.50M,29.10M,-8.80M,20.30M,10.70M,,,-70.70M
2006-12,66.90M,,,,-3.60M,-38.20M,109.80M,71.60M,71.60M,16.30M,,,,10.50M,16.40M,-16.70M,47.80M,,-1.00M,2.20M,48.70M,210.40M,-84.60M,1.00M,-83.60M,0.60M,0.30M,54.60M,-28.10M,,-120.80M,11.40M,-74.30M,-62.90M,,-21.10M,,2.30M,-202.50M,49.30M,-20.20M,29.10M,11.40M,,,-74.30M
2006-09,77.30M,,,,0.00,75.10M,1.80M,76.90M,76.90M,13.20M,,,,2.20M,-12.30M,-3.10M,4.80M,,-0.60M,-4.40M,-15.60M,154.00M,-63.90M,8.90M,-55.00M,1.10M,-0.30M,24.40M,-29.80M,,-0.50M,4.60M,-91.90M,-87.30M,,-18.70M,,0.90M,-105.60M,30.70M,18.60M,49.30M,4.60M,,,-91.90M
2006-06,70.80M,,,,-19.10M,72.70M,1.70M,74.40M,74.40M,1.30M,,,,28.20M,-25.50M,1.90M,24.00M,,-20.80M,7.40M,-13.00M,142.60M,-87.70M,1.10M,-86.60M,1.30M,,36.70M,-48.60M,,109.60M,13.60M,-185.20M,-171.60M,,-19.30M,,3.10M,-78.20M,14.90M,15.80M,30.70M,13.60M,,,-185.20M
2006-03,64.60M,,,,18.20M,71.30M,1.80M,73.10M,73.10M,-0.90M,,,,-0.10M,-0.60M,-7.80M,-83.50M,,-67.50M,8.70M,-150.70M,4.20M,-90.50M,7.50M,-83.00M,-0.80M,,-14.20M,-98.00M,,83.70M,45.70M,-140.60M,-94.90M,,-19.40M,,7.50M,-23.10M,131.80M,-116.90M,14.90M,45.70M,,,-140.60M
2005-12,60.00M,,,,-30.40M,-31.10M,103.40M,72.30M,72.30M,-4.90M,,,,55.00M,14.30M,6.80M,47.80M,,58.70M,,102.10M,254.10M,-59.00M,-28.00M,-87.00M,11.00M,0.00,-89.60M,-165.60M,,106.20M,30.60M,-107.70M,-77.10M,,-19.60M,,,9.50M,33.80M,98.00M,131.80M,30.60M,,,-107.70M
