,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-09,2.344B,2.344B,1.390B,953.80M,237.90M,237.90M,0.00,6.20M,81.60M,0.10M,-81.50M,29.90M,521.10M,432.70M,0.10M,81.60M,-81.50M,-0.40M,-81.50M,350.80M,135.60M,215.20M,,-0.20M,215.00M,215.00M,699.20M,266.80M,432.40M,0.62,,,0.62,0.62,0.61,,,0.61,0.61,348.90M,350.30M,0.3
2015-06,2.311B,2.311B,1.420B,891.00M,230.00M,230.00M,0.00,6.20M,81.40M,0.10M,-81.30M,29.80M,511.90M,379.10M,0.10M,81.40M,-81.30M,0.90M,-81.30M,298.70M,108.40M,190.30M,,0.00,190.30M,190.30M,645.70M,265.60M,380.10M,0.54,,,0.54,0.54,0.54,,,0.54,0.54,350.70M,352.00M,0.28
2015-03,2.169B,2.169B,1.304B,865.10M,234.30M,234.30M,0.00,4.90M,79.30M,0.30M,-79.00M,29.00M,501.60M,363.50M,0.30M,79.30M,-79.00M,,-79.00M,284.50M,112.00M,172.50M,,-0.10M,172.40M,172.40M,616.90M,253.10M,363.80M,0.49,,,0.49,0.49,0.49,,,0.49,0.49,353.30M,354.80M,0.28
2014-12,2.229B,2.229B,1.540B,688.70M,248.50M,248.50M,-20.00M,6.30M,78.30M,0.00,-78.30M,29.20M,511.90M,176.80M,0.00,78.30M,-78.30M,-19.50M,-78.30M,79.00M,28.50M,50.50M,,-0.20M,50.30M,63.08M,404.80M,247.50M,157.30M,0.14,,,0.1761,0.14,0.14,,,0.1759,0.14,354.60M,356.00M,0.28
2014-09,2.268B,2.268B,1.401B,866.80M,221.40M,221.40M,0.00,7.90M,77.50M,0.10M,-77.40M,29.00M,493.90M,372.90M,0.10M,77.50M,-77.40M,-0.10M,-77.40M,295.40M,109.60M,185.80M,,0.00,185.80M,185.80M,628.00M,255.10M,372.90M,0.52,,,0.52,0.52,0.52,,,0.52,0.52,356.30M,357.70M,0.28
2014-06,2.229B,2.229B,1.377B,852.30M,217.50M,217.50M,-3.20M,5.00M,77.30M,0.30M,-77.00M,29.00M,481.80M,370.50M,0.30M,77.30M,-77.00M,-2.80M,-77.00M,290.70M,111.70M,179.00M,,0.00,179.00M,180.97M,617.70M,249.70M,368.00M,0.5,,,0.5055,0.5,0.5,,,0.5055,0.5,356.20M,357.60M,0.26
2014-03,2.077B,2.077B,1.325B,752.50M,210.40M,210.40M,,3.40M,77.40M,0.10M,-77.30M,29.10M,456.00M,296.50M,0.10M,77.40M,-77.30M,1.00M,-77.30M,220.20M,87.60M,132.60M,,-0.10M,132.50M,132.50M,530.20M,232.60M,297.60M,0.37,,,0.37,0.37,0.37,,,0.37,0.37,359.80M,361.00M,0.26
2013-12,2.142B,2.142B,1.284B,857.50M,201.50M,201.50M,0.00,8.00M,80.00M,0.20M,-79.80M,29.20M,465.10M,392.40M,0.20M,80.00M,-79.80M,0.80M,-79.80M,313.40M,76.70M,236.70M,,-0.10M,236.60M,236.60M,638.80M,245.40M,393.40M,0.66,,,0.66,0.66,0.65,,,0.65,0.65,361.20M,362.20M,0.26
2013-09,2.165B,2.165B,1.318B,847.80M,250.60M,250.60M,-0.70M,0.60M,79.90M,0.10M,-79.80M,29.30M,504.90M,342.90M,0.10M,79.90M,-79.80M,0.30M,-79.80M,263.40M,92.30M,171.10M,,0.30M,171.40M,171.86M,586.90M,243.60M,343.30M,0.47,,,0.4713,0.47,0.47,,,0.4713,0.47,361.70M,363.00M,0.26
2013-06,2.112B,2.112B,1.41B,701.70M,277.50M,277.50M,-2.50M,4.60M,80.00M,0.10M,-79.90M,29.40M,528.50M,173.20M,0.10M,80.00M,-79.90M,-2.20M,-79.90M,91.10M,34.70M,56.40M,,-0.10M,56.30M,57.85M,407.30M,236.20M,171.10M,0.16,,,0.1643,0.16,0.15,,,0.1542,0.15,362.90M,364.40M,0.235
2013-03,1.999B,1.999B,1.223B,775.50M,265.80M,265.80M,-5.60M,2.90M,79.50M,0.30M,-79.20M,29.30M,507.60M,267.90M,0.30M,79.50M,-79.20M,-5.40M,-79.20M,183.30M,58.40M,124.90M,,-0.30M,124.60M,128.41M,491.60M,228.80M,262.80M,0.34,,,0.3505,0.34,0.34,,,0.3505,0.34,362.70M,364.10M,0.235
2012-12,2.028B,2.028B,1.284B,744.90M,199.70M,199.70M,-11.80M,8.90M,81.70M,0.20M,-81.50M,29.80M,454.80M,290.10M,0.20M,81.70M,-81.50M,-9.50M,-81.50M,199.10M,72.10M,127.00M,,0.00,127.00M,134.53M,516.50M,235.70M,280.80M,0.35,,,0.3707,0.35,0.35,,,0.3707,0.35,363.30M,364.10M,0.235
2012-09,2.047B,2.047B,1.280B,766.40M,217.10M,217.10M,-2.50M,8.00M,81.30M,0.30M,-81.00M,31.60M,460.20M,306.20M,0.30M,81.30M,-81.00M,-2.10M,-81.00M,223.10M,70.30M,152.80M,,-0.10M,152.70M,154.41M,527.60M,223.20M,304.40M,0.42,,,0.4247,0.42,0.42,,,0.4247,0.42,365.40M,366.40M,0.235
2012-06,2.061B,2.061B,1.238B,822.10M,194.90M,194.90M,-110.30M,5.60M,87.30M,0.20M,-87.10M,31.20M,446.60M,375.50M,0.20M,87.30M,-87.10M,-109.80M,-87.10M,178.60M,29.10M,149.50M,,-0.30M,149.20M,241.52M,500.50M,234.60M,265.90M,0.41,,,0.6609,0.41,0.4,,,0.6503,0.4,367.90M,368.90M,0.22
2012-03,1.982B,1.982B,1.203B,779.20M,215.30M,215.30M,3.60M,7.20M,92.00M,0.30M,-91.70M,32.00M,468.20M,311.00M,0.30M,92.00M,-91.70M,3.80M,-91.70M,223.10M,80.30M,142.80M,,0.10M,142.90M,140.60M,548.50M,233.40M,315.10M,0.39,,,0.3838,0.39,0.38,,,0.3738,0.38,371.00M,372.50M,0.22
2011-12,2.025B,2.025B,1.208B,817.60M,,192.90M,-10.60M,,55.00M,0.00,-55.00M,69.20M,497.30M,320.30M,0.00,55.00M,-55.00M,-6.30M,-55.00M,259.00M,68.00M,191.00M,,0.00,191.00M,198.82M,606.20M,292.20M,314.00M,0.52,,,0.5411,0.52,0.51,,,0.531,0.51,370.30M,371.60M,0.22
2011-09,2.116B,2.116B,1.26B,856.20M,,207.50M,-10.00M,,108.30M,0.00,-108.30M,19.40M,441.90M,414.30M,0.00,108.30M,-108.30M,-10.00M,-108.30M,296.00M,102.40M,193.60M,,-0.10M,193.50M,200.04M,619.30M,215.00M,404.30M,0.52,0.0,,0.5375,0.52,0.52,0.0,,0.5375,0.52,373.20M,374.70M,0.22
2011-06,2.087B,2.087B,1.238B,848.80M,,200.10M,-218.00M,,111.40M,0.10M,-111.30M,19.50M,428.20M,420.60M,0.10M,111.40M,-111.30M,-218.00M,-111.30M,91.30M,45.10M,46.20M,,0.30M,46.50M,188.20M,411.30M,208.60M,202.70M,0.12,0.0,,0.4947,0.12,0.12,0.0,,0.4927,0.12,378.20M,380.20M,0.2
2011-03,1.965B,1.965B,1.160B,805.20M,,203.90M,-0.30M,,115.70M,0.20M,-115.50M,19.70M,429.40M,375.80M,0.20M,115.70M,-115.50M,-0.30M,-115.50M,260.00M,101.90M,158.10M,,0.10M,158.20M,158.38M,581.50M,205.80M,375.70M,0.41,0.0,,0.4105,0.41,0.41,0.0,,0.4105,0.41,382.20M,384.00M,0.2
2010-12,2.021B,2.021B,1.185B,836.00M,,203.90M,-7.60M,,72.30M,0.20M,-72.10M,68.10M,500.90M,335.10M,0.20M,72.30M,-72.10M,-2.20M,-72.10M,260.80M,112.90M,147.90M,,-0.30M,147.60M,152.54M,618.90M,285.80M,333.10M,0.38,,,0.3929,0.38,0.38,,,0.3928,0.38,384.20M,386.30M,0.2
2010-09,2.062B,2.062B,1.225B,836.80M,,209.40M,-44.40M,,122.00M,0.40M,-121.60M,20.10M,441.10M,395.70M,0.40M,122.00M,-121.60M,-44.40M,-121.60M,229.70M,95.20M,134.50M,,-0.30M,134.20M,163.06M,563.30M,211.60M,351.70M,0.35,0.0,,0.4252,0.35,0.35,0.0,,0.4247,0.35,384.00M,386.10M,0.2
2010-06,2.066B,2.066B,1.218B,848.10M,,210.80M,-2.60M,,130.50M,0.10M,-130.40M,20.20M,444.80M,403.30M,0.10M,130.50M,-130.40M,-2.60M,-130.40M,270.30M,110.40M,159.90M,,-0.20M,159.70M,161.39M,614.60M,213.80M,400.80M,0.42,0.0,,0.4244,0.42,0.42,0.0,,0.4244,0.42,382.50M,384.70M,0.19
2010-03,1.958B,1.958B,1.137B,820.90M,,210.30M,-136.70M,,134.50M,0.00,-134.50M,20.20M,433.50M,387.40M,0.00,134.50M,-134.50M,-136.70M,-134.50M,116.20M,51.00M,65.20M,,-0.20M,65.00M,153.86M,453.70M,203.00M,250.70M,0.17,0.0,,0.403,0.17,0.17,0.0,,0.4018,0.17,381.40M,383.30M,0.19
2009-12,1.999B,1.999B,1.201B,797.90M,,154.30M,-116.50M,,147.10M,0.30M,-146.80M,,454.10M,343.80M,0.30M,147.10M,-146.80M,-116.50M,-146.80M,80.50M,44.60M,35.90M,,-0.30M,35.60M,111.32M,438.60M,211.00M,227.60M,0.09,0.0,,0.2888,0.09,0.09,0.0,,0.2877,0.09,380.90M,383.10M,0.19
2009-09,2.074B,2.074B,1.208B,866.00M,,247.60M,-43.70M,,144.80M,0.50M,-144.30M,,465.90M,400.10M,0.50M,144.80M,-144.30M,-43.70M,-144.30M,212.10M,91.10M,121.00M,,-0.50M,120.50M,148.90M,575.20M,218.20M,356.90M,0.32,0.0,,0.3948,0.32,0.32,0.0,,0.3945,0.32,379.70M,381.10M,0.19
2009-06,2.066B,2.066B,1.227B,839.20M,,215.80M,139.10M,,150.50M,0.50M,-150.00M,21.90M,456.30M,382.90M,0.50M,150.50M,-150.00M,139.10M,-150.00M,372.00M,145.80M,226.20M,,-0.30M,225.90M,141.32M,741.20M,218.70M,522.50M,0.6,0.0,,0.3769,0.6,0.59,0.0,,0.3674,0.59,379.17M,379.93M,0.19
2009-03,2.060B,2.060B,1.209B,851.80M,,240.80M,-36.00M,,153.50M,0.70M,-152.80M,,462.60M,389.20M,0.70M,153.50M,-152.80M,-36.00M,-152.80M,200.40M,87.00M,113.40M,,-0.40M,113.00M,136.40M,575.70M,221.80M,353.90M,0.3,0.0,,0.3618,0.3,0.3,0.0,,0.3616,0.3,378.90M,379.90M,0.19
2008-12,1.244B,1.244B,863.20M,381.20M,,169.20M,-173.40M,,66.80M,1.70M,-65.10M,,320.30M,60.90M,1.70M,66.80M,-65.10M,-173.40M,-65.10M,-177.60M,-46.00M,-131.60M,,-0.10M,-131.70M,-3.212M,16.40M,127.20M,-110.80M,-0.75,0.0,,-0.2124,-0.75,-0.75,0.0,,-0.2155,-0.75,239.00M,240.40M,0.19
2008-09,834.00M,834.00M,499.50M,334.50M,,90.20M,-1.60M,,22.60M,2.60M,-20.00M,,167.50M,167.00M,2.60M,22.60M,-20.00M,-1.60M,-20.00M,145.40M,56.70M,88.70M,,0.00,88.70M,89.68M,245.30M,77.30M,168.00M,0.49,0.0,,0.4954,0.49,0.48,0.0,,0.4853,0.48,182.30M,184.10M,0.19
2008-06,827.50M,827.50M,577.50M,250.00M,,88.20M,0.70M,,21.10M,2.50M,-18.60M,,164.40M,85.60M,2.50M,21.10M,-18.60M,0.70M,-18.60M,67.70M,27.00M,40.70M,,0.00,40.70M,40.28M,165.00M,76.20M,88.80M,0.22,0.0,,0.2177,0.22,0.22,0.0,,0.2177,0.22,182.00M,183.90M,0.17
2008-03,779.20M,779.20M,476.50M,302.70M,,87.10M,0.20M,,21.40M,2.80M,-18.60M,,160.50M,142.20M,2.80M,21.40M,-18.60M,0.20M,-18.60M,123.80M,47.70M,76.10M,,0.00,76.10M,75.98M,218.60M,73.40M,145.20M,0.41,0.0,,0.4093,0.41,0.41,0.0,,0.4093,0.41,183.40M,185.10M,0.17
2007-12,796.00M,796.00M,497.20M,298.80M,,82.80M,7.00M,,,,,4.50M,158.90M,139.90M,,,,7.00M,,131.00M,48.90M,82.10M,,,82.10M,77.71M,211.50M,71.60M,139.90M,0.44,0.0,,0.4164,0.44,0.43,0.0,,0.4067,0.43,186.20M,188.10M,0.17
2007-09,806.20M,806.20M,520.40M,285.80M,,75.20M,-2.80M,,,,,4.30M,157.50M,128.30M,,,,-2.80M,,109.00M,42.00M,67.00M,,,67.00M,68.72M,206.30M,78.00M,128.30M,0.36,0.0,,0.3692,0.36,0.35,0.0,,0.3591,0.35,187.80M,189.70M,0.17
2007-06,808.40M,808.40M,496.30M,312.10M,,77.90M,-3.50M,,,,,4.20M,159.00M,153.10M,,,,-3.50M,,133.70M,46.50M,87.20M,,,87.20M,89.48M,230.00M,76.90M,153.10M,0.45,0.0,,0.4618,0.45,0.45,0.0,,0.4617,0.45,192.70M,194.60M,0.1067
2007-03,765.60M,765.60M,486.70M,278.90M,,81.10M,-3.70M,,,,,4.10M,164.20M,114.70M,,,,-3.70M,,94.40M,40.50M,53.90M,,,53.90M,56.30M,193.70M,79.00M,114.70M,0.28,0.0,,0.2924,0.28,0.28,0.0,,0.2923,0.28,193.70M,195.60M,0.1067
2006-12,766.20M,766.20M,482.30M,283.90M,,78.50M,-4.50M,,,,,4.10M,154.20M,129.70M,,,,-4.50M,,108.90M,42.00M,66.90M,,,66.90M,69.66M,201.30M,71.60M,129.70M,0.3567,0.0,,0.3715,0.3567,0.35,0.0,,0.3647,0.35,186.65M,188.15M,0.1067
2006-09,787.10M,787.10M,493.20M,293.90M,,79.60M,-0.70M,,,,,4.00M,160.50M,133.40M,,,,-0.70M,,116.40M,39.10M,77.30M,,,77.30M,77.76M,210.30M,76.90M,133.40M,0.3933,0.0,,0.3957,0.3933,0.3867,0.0,,0.389,0.3867,197.55M,199.65M,0.1067
2006-06,779.80M,779.80M,492.50M,287.30M,,75.10M,-3.10M,,,,,3.80M,153.30M,134.00M,,,,-3.10M,,114.20M,43.40M,70.80M,,,70.80M,72.72M,208.40M,74.40M,134.00M,0.3467,0.0,,0.3562,0.3467,0.3467,0.0,,0.356,0.3467,202.50M,205.05M,0.0933
2006-03,737.50M,737.50M,456.40M,281.10M,,81.80M,-3.20M,,,,,3.80M,158.70M,122.40M,,,,-3.20M,,104.20M,39.60M,64.60M,,,64.60M,66.58M,195.50M,73.10M,122.40M,0.3133,0.0,,0.3229,0.3133,0.3067,0.0,,0.3161,0.3067,206.40M,209.25M,0.0933
2005-12,738.10M,738.10M,471.00M,267.10M,,73.10M,-5.50M,,,,,3.80M,151.70M,115.40M,,,,-5.50M,,96.80M,36.80M,60.00M,,,60.00M,63.41M,190.20M,72.30M,115.40M,0.33,0.0,,0.3488,0.33,0.32,0.0,,0.3384,0.32,181.80M,184.85M,0.0933
2005-09,730.00M,730.00M,462.90M,267.10M,,71.80M,-3.60M,,,,,3.70M,147.70M,119.40M,,,,-3.60M,,102.90M,39.10M,63.80M,,,63.80M,66.03M,192.20M,72.80M,119.40M,0.3067,0.0,,0.3173,0.3067,0.3,0.0,,0.3104,0.3,210.00M,213.90M,0.0933
2005-06,718.60M,718.60M,451.30M,267.30M,,73.70M,-0.30M,,,,,,144.40M,122.90M,,,,-0.30M,,103.90M,39.50M,64.40M,,,64.40M,64.59M,194.40M,71.50M,122.90M,0.3,0.0,,0.3009,0.3,0.2933,0.0,,0.2942,0.2933,213.75M,218.10M,0.08
2005-03,677.20M,677.20M,418.70M,258.50M,,74.40M,,,,,,3.50M,139.00M,119.50M,,,,,,105.60M,40.10M,65.50M,,,65.50M,65.50M,181.70M,62.20M,119.50M,0.2933,0.0,,0.2933,0.2933,0.2867,0.0,,0.2867,0.2867,222.30M,226.50M,0.08
2004-12,687.70M,687.70M,437.70M,250.00M,,70.20M,-3.50M,,,,,3.50M,140.40M,109.60M,,,,-3.50M,,92.90M,35.30M,57.60M,,,57.60M,59.77M,176.30M,65.70M,109.60M,0.32,0.0,,0.3322,0.32,0.3067,0.0,,0.3186,0.3067,178.45M,182.40M,0.08
2004-09,699.90M,699.90M,442.00M,257.90M,,68.70M,-2.60M,,,,,3.50M,141.40M,116.50M,,,,-2.60M,,100.80M,38.30M,62.50M,,,62.50M,64.11M,185.80M,69.30M,116.50M,0.2733,0.0,,0.2804,0.2733,0.2733,0.0,,0.2803,0.2733,226.95M,230.70M,0.08
2004-06,683.20M,683.20M,431.20M,252.00M,,66.90M,-3.60M,,,,,3.40M,135.80M,116.20M,,,,-3.60M,,98.20M,37.30M,60.90M,,,60.90M,63.13M,181.90M,65.70M,116.20M,0.2667,0.0,,0.2764,0.2667,0.26,0.0,,0.2696,0.26,229.65M,233.55M,0.04
2004-03,637.30M,637.30M,403.50M,233.80M,,62.50M,-2.80M,,,,,3.30M,123.80M,110.00M,,,,-2.80M,,91.80M,34.90M,56.90M,,,56.90M,58.64M,168.70M,58.70M,110.00M,0.24,0.0,,0.2474,0.24,0.24,0.0,,0.2473,0.24,234.00M,237.60M,0.04
2003-12,637.90M,637.90M,404.70M,233.20M,,65.50M,0.00,,,,,,126.70M,106.50M,,,,0.00,,89.90M,34.20M,55.70M,0.00,,55.70M,55.70M,167.70M,61.20M,106.50M,0.3067,-0.0167,0.0,0.3067,0.29,0.2354,,-0.0133,0.2354,0.2354,167.05M,236.62M,0.04
2003-09,648.00M,648.00M,433.70M,214.30M,,65.30M,0.90M,,,,,,127.00M,87.30M,,,,0.90M,,72.00M,27.30M,44.70M,,,44.70M,44.14M,149.00M,61.70M,87.30M,0.1867,0.0,,0.1844,0.1867,0.1867,0.0,,0.1844,0.1867,243.30M,243.30M,0.04
2003-06,637.30M,637.30M,399.30M,238.00M,,62.00M,-1.60M,,,,,3.10M,124.50M,113.50M,,,,-1.60M,,97.50M,37.10M,60.40M,,,60.40M,61.39M,172.90M,59.40M,113.50M,0.2467,0.0,,0.2507,0.2467,0.2467,0.0,,0.2507,0.2467,243.75M,243.75M,
