,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,85.10M,,,-1.50M,26.00M,7.80M,33.80M,33.80M,-0.40M,1.30M,10.50M,,6.00M,-47.10M,-32.30M,31.00M,-7.10M,,-55.50M,80.50M,,-40.90M,,-40.90M,-4.40M,,-0.10M,-45.40M,,-0.70M,46.90M,46.20M,0.20M,-52.60M,-52.40M,-47.30M,-47.30M,-7.90M,-61.40M,,494.60M,-26.30M,-21.90M,446.40M,,0.20M,0.00,-0.70M,-52.60M,,AOR,Restated
2018-03,77.90M,,,-0.20M,25.50M,7.90M,33.40M,33.40M,1.70M,2.00M,8.70M,,-1.70M,-39.20M,-21.10M,-17.00M,-0.60M,,-77.90M,44.10M,,-40.30M,,-40.30M,-85.80M,,-0.90M,-127.00M,,-1.00M,144.80M,143.80M,0.30M,-55.20M,-54.90M,-47.50M,-47.50M,-0.30M,41.10M,,526.10M,-41.80M,10.30M,494.60M,,0.30M,0.00,-1.00M,-55.20M,,AOR,Restated
2017-12,36.40M,,15.00M,-9.60M,24.10M,7.40M,31.50M,31.50M,77.90M,2.30M,8.50M,,-2.80M,38.70M,-8.60M,32.70M,-25.30M,,37.50M,182.20M,,-40.40M,,-40.40M,-0.10M,,31.00M,-9.50M,,490.00M,-436.90M,53.10M,0.60M,-0.80M,-0.20M,-47.60M,-47.60M,-0.80M,4.50M,,342.90M,177.20M,6.00M,526.10M,,0.60M,492.80M,-2.80M,-0.80M,,AOR,Restated
2017-09,82.60M,,-7.90M,-7.20M,23.50M,8.70M,32.20M,32.20M,0.90M,3.40M,7.90M,,-5.80M,-6.90M,12.30M,-9.20M,-4.30M,,-8.10M,105.40M,,-39.90M,,-39.90M,-0.20M,,8.70M,-31.40M,,-0.10M,13.50M,13.40M,0.10M,-41.60M,-41.50M,-47.60M,-47.60M,-0.20M,-75.90M,,335.10M,-1.90M,9.70M,342.90M,,0.10M,0.60M,-0.70M,-41.60M,,AOR,Restated
2017-06,87.60M,,,-0.30M,24.90M,7.00M,31.90M,31.90M,-1.30M,2.80M,9.90M,,-1.30M,-12.70M,-21.70M,16.00M,-11.70M,,-30.10M,98.40M,,-44.80M,,-44.80M,-0.90M,,-0.90M,-46.60M,,-0.80M,61.60M,60.80M,0.60M,-11.00M,-10.40M,-45.00M,-45.00M,-1.00M,4.40M,,268.60M,56.20M,10.30M,335.10M,,0.60M,,-0.80M,-11.00M,,AOR,Restated
2017-03,86.10M,,,-0.20M,22.80M,7.50M,30.30M,30.30M,6.40M,1.30M,10.30M,,1.40M,-59.70M,-30.10M,5.80M,4.50M,,-79.50M,57.70M,,-34.30M,,-34.30M,-37.90M,,-5.30M,-77.50M,,-4.90M,159.10M,154.20M,1.30M,-104.20M,-102.90M,-45.40M,-45.40M,-3.40M,2.50M,,281.90M,-17.30M,4.00M,268.60M,,1.30M,,-4.90M,-104.20M,,AOR,Restated
2016-12,81.70M,,1.00M,-16.00M,21.70M,7.30M,29.00M,29.00M,-0.70M,4.80M,8.50M,,9.20M,44.40M,-13.00M,22.40M,-2.90M,,50.90M,166.90M,,-40.90M,,-40.90M,-1.50M,,6.00M,-36.40M,,-0.40M,-89.90M,-90.30M,0.90M,-16.60M,-15.70M,-45.40M,-45.40M,-0.10M,-151.50M,,317.30M,-21.00M,-14.40M,281.90M,,0.90M,0.20M,-0.60M,-16.60M,,AOR,Restated
2016-09,93.60M,,-3.20M,-3.40M,22.10M,7.10M,29.20M,29.20M,9.30M,2.10M,6.80M,,-4.20M,-14.60M,4.00M,-2.20M,2.50M,,-10.30M,123.60M,,-25.20M,,-25.20M,-11.10M,,-1.10M,-37.40M,,-3.00M,11.20M,8.20M,1.30M,-17.90M,-16.60M,-45.50M,-45.50M,-0.10M,-54.00M,,284.80M,32.20M,0.30M,317.30M,,1.30M,0.20M,-3.20M,-17.90M,,AOR,Restated
2016-06,119.80M,,,-18.80M,21.90M,7.00M,28.90M,28.90M,3.00M,4.50M,9.40M,,2.40M,-22.40M,-10.40M,37.50M,-3.50M,,1.20M,150.80M,,-30.20M,,-30.20M,-0.50M,,49.60M,18.90M,,-1.00M,8.80M,7.80M,1.50M,-56.90M,-55.40M,-43.00M,-43.00M,-36.30M,-126.90M,,250.20M,42.80M,-8.20M,284.80M,,1.50M,,-1.00M,-56.90M,,AOR,Restated
2016-03,91.10M,,,-2.50M,21.10M,7.20M,28.30M,28.30M,6.00M,1.60M,12.40M,,-0.10M,-4.00M,-13.90M,-10.60M,1.80M,,-26.70M,111.30M,,-27.70M,,-27.70M,-16.40M,,-3.00M,-47.10M,,-0.60M,81.40M,80.80M,1.20M,-106.60M,-105.40M,-43.50M,-43.50M,-1.70M,-69.80M,,253.20M,-5.60M,2.60M,250.20M,,1.20M,,-0.60M,-106.60M,,AOR,Restated
2015-12,81.80M,,,17.00M,20.80M,7.40M,28.20M,28.20M,17.70M,3.30M,11.70M,-0.90M,3.90M,9.00M,-7.10M,-59.50M,-2.50M,,-60.10M,102.30M,,-24.70M,,-24.70M,0.00,,31.80M,7.10M,,-0.50M,-28.00M,-28.50M,1.20M,-29.00M,-27.80M,-43.60M,-43.60M,0.90M,-99.00M,,251.20M,10.40M,-8.40M,253.20M,,1.20M,0.00,-0.50M,-29.00M,,AOR,Restated
2015-09,96.10M,,,0.20M,21.00M,7.50M,28.50M,28.50M,-11.50M,1.40M,10.10M,-1.20M,0.50M,15.50M,1.00M,-16.30M,5.60M,,5.80M,129.90M,,-27.20M,,-27.20M,0.00,,3.70M,-23.50M,,-200.90M,163.10M,-37.80M,1.90M,-42.70M,-40.80M,-42.50M,-42.50M,-3.60M,-124.70M,,275.10M,-18.30M,-5.60M,251.20M,,1.90M,0.00,-200.90M,-42.70M,,AOR,Restated
2015-06,78.50M,,,-3.80M,19.20M,7.70M,26.90M,26.90M,8.00M,3.20M,11.20M,-2.20M,-6.20M,-12.40M,-6.20M,-0.20M,-3.40M,,-22.20M,94.80M,,-29.60M,,-29.60M,1.10M,,7.70M,-20.80M,,-1.10M,33.40M,32.30M,1.70M,-55.90M,-54.20M,-42.80M,-42.80M,2.00M,-62.70M,,262.20M,11.30M,1.60M,275.10M,,1.70M,0.00,-1.10M,-55.90M,,AOR,Restated
2015-03,72.80M,,,-1.50M,22.50M,7.10M,29.60M,29.60M,9.90M,8.40M,12.20M,-11.40M,4.90M,-28.50M,-36.80M,-28.90M,-0.10M,,-94.30M,32.10M,,-21.70M,,-21.70M,-12.20M,,1.50M,-32.40M,,-2.10M,32.80M,30.70M,3.50M,-63.90M,-60.40M,-42.70M,-42.70M,9.60M,-62.80M,,332.80M,-63.10M,-7.50M,262.20M,,3.50M,0.40M,-2.50M,-63.90M,,AOR,Restated
2014-12,21.60M,,,8.00M,22.90M,7.40M,30.30M,30.30M,-17.70M,3.00M,11.90M,-5.40M,1.00M,57.50M,-15.70M,69.80M,1.10M,,112.70M,166.20M,,-31.10M,,-31.10M,-0.20M,,65.60M,34.30M,,118.50M,-164.30M,-45.80M,5.30M,-20.70M,-15.40M,-42.60M,-42.60M,0.50M,-103.30M,,242.90M,97.20M,-7.30M,332.80M,,5.30M,299.20M,-180.70M,-20.70M,,AOR,Restated
2014-09,49.00M,,,-0.10M,22.30M,6.90M,29.20M,29.20M,-16.00M,2.80M,9.50M,-3.20M,-8.40M,-18.30M,19.00M,61.70M,4.80M,,67.20M,132.30M,,-24.60M,,-24.60M,-19.00M,,1.00M,-42.60M,,-0.60M,-104.30M,-104.90M,7.70M,-10.90M,-3.20M,-41.20M,-41.20M,2.70M,-146.60M,,304.20M,-56.90M,-4.40M,242.90M,,7.70M,0.10M,-0.70M,-10.90M,,AOR,Restated
2014-06,-23.10M,,,-0.60M,22.60M,6.90M,29.50M,29.50M,-16.80M,110.60M,9.70M,-0.70M,-3.60M,-40.40M,2.40M,38.20M,-2.80M,,-2.60M,103.10M,,-23.30M,,-23.30M,-49.20M,,-7.60M,-80.10M,,-0.70M,118.00M,117.30M,4.50M,-68.10M,-63.60M,-41.70M,-41.70M,0.70M,12.70M,,268.60M,35.70M,-0.10M,304.20M,,4.50M,0.00,-0.70M,-68.10M,,AOR,Restated
2014-03,53.70M,,,-4.10M,22.10M,6.80M,28.90M,28.90M,10.70M,2.90M,10.50M,-1.30M,1.60M,-96.50M,-27.60M,2.10M,-1.70M,,-123.70M,-19.70M,,-15.10M,,-15.10M,-2.00M,,2.80M,-14.30M,,-6.00M,126.40M,120.40M,4.30M,-50.00M,-45.70M,-42.00M,-42.00M,0.90M,33.60M,,272.70M,-0.40M,-3.70M,268.60M,,4.30M,0.00,-6.00M,-50.00M,,AOR,Restated
2013-12,6.30M,,,4.50M,23.10M,11.20M,34.30M,34.30M,-40.70M,64.50M,7.80M,-0.10M,-2.30M,105.50M,-8.20M,4.20M,0.50M,,102.00M,178.10M,,-20.60M,,-20.60M,-1.40M,,0.60M,-21.40M,,-0.50M,-87.90M,-88.40M,1.30M,-55.70M,-54.40M,-42.30M,-42.30M,-1.50M,-186.60M,,298.90M,-29.90M,3.70M,272.70M,,1.30M,,-0.50M,-55.70M,,AOR,Restated
2013-09,72.00M,,,-0.90M,22.00M,7.20M,29.20M,29.20M,-2.70M,-9.80M,8.30M,-6.50M,3.60M,-6.50M,38.70M,-10.80M,-0.10M,,21.30M,115.60M,,-18.10M,,-18.10M,4.80M,,1.40M,-11.90M,,-1.10M,-17.60M,-18.70M,3.10M,-31.50M,-28.40M,-41.20M,-41.20M,-0.90M,-89.20M,,280.30M,14.50M,4.10M,298.90M,,3.10M,0.00,-1.10M,-31.50M,,AOR,Restated
2013-06,71.90M,,,-4.50M,22.70M,7.10M,29.80M,29.80M,3.40M,11.50M,8.70M,,1.80M,-32.60M,-17.60M,29.00M,-3.80M,,-25.00M,99.20M,,-22.10M,,-22.10M,-10.00M,,11.30M,-20.80M,,-201.30M,29.80M,-171.50M,4.10M,-40.60M,-36.50M,-41.40M,-41.40M,0.90M,-248.50M,,449.40M,-170.10M,1.00M,280.30M,,4.10M,,-201.30M,-40.60M,,AOR,Restated
2013-03,49.50M,,,-3.20M,22.30M,7.00M,29.30M,29.30M,7.10M,2.20M,11.50M,,-2.10M,-79.70M,-17.00M,22.40M,2.40M,,-71.90M,24.00M,,-19.80M,,-19.80M,-0.10M,,-1.30M,-21.20M,,-0.80M,99.00M,98.20M,28.40M,-41.60M,-13.20M,0.00,0.00,5.00M,90.00M,,359.10M,92.80M,-2.50M,449.40M,,28.40M,,-0.80M,-41.60M,,AOR,Restated
2012-12,74.00M,,,-0.30M,21.80M,8.00M,29.80M,29.80M,-18.40M,2.50M,7.80M,,6.90M,147.80M,-18.90M,-16.70M,0.30M,,112.50M,208.70M,,-17.50M,,-17.50M,-21.30M,,8.10M,-30.70M,,-1.20M,-8.60M,-9.80M,21.20M,-14.30M,6.90M,-82.00M,-82.00M,-1.20M,-86.10M,,264.90M,91.90M,2.30M,359.10M,,21.20M,0.10M,-1.30M,-14.30M,,AOR,Restated
2012-09,66.60M,,,-0.40M,23.50M,8.00M,31.50M,31.50M,1.70M,2.70M,7.70M,,-7.50M,-42.10M,45.80M,-12.80M,0.70M,,-8.40M,94.70M,,-16.20M,,-16.20M,-22.90M,,1.30M,-37.80M,,298.50M,-266.80M,31.70M,10.00M,-8.50M,1.50M,-39.30M,-39.30M,-44.40M,-50.50M,,254.50M,6.40M,4.00M,264.90M,,10.00M,299.10M,-0.60M,-8.50M,,AOR,Restated
2012-06,65.40M,,,-0.60M,22.30M,6.40M,28.70M,28.70M,-7.90M,3.50M,7.80M,,3.50M,11.40M,-51.40M,24.30M,-4.20M,,-19.90M,81.20M,,-19.70M,,-19.70M,-1.00M,,2.00M,-18.70M,,-8.90M,-15.60M,-24.50M,0.90M,-1.20M,-0.30M,-39.20M,-39.20M,0.30M,-63.70M,,261.20M,-1.20M,-5.50M,254.50M,,0.90M,,-8.90M,-1.20M,,AOR,Restated
2012-03,44.50M,,,-2.00M,22.80M,6.20M,29.00M,29.00M,2.70M,3.20M,10.50M,,1.20M,-56.50M,-14.60M,44.00M,0.30M,,-26.80M,65.10M,,-17.60M,,-17.60M,-188.80M,,-0.40M,-206.80M,,-1.00M,205.20M,204.20M,3.50M,-6.00M,-2.50M,-39.00M,-39.00M,1.00M,163.70M,,236.30M,22.00M,2.90M,261.20M,,3.50M,,-1.00M,-6.00M,,AOR,Restated
2011-12,9.30M,,,-1.10M,24.30M,4.40M,28.70M,28.70M,-8.30M,34.00M,6.00M,,0.80M,71.20M,12.80M,-27.40M,-0.50M,,56.10M,126.90M,,-18.30M,,-18.30M,-20.30M,0.00,24.70M,-13.90M,,-1.00M,-59.10M,-60.10M,3.00M,-0.20M,2.80M,,-38.90M,-0.20M,-96.40M,,218.80M,16.60M,0.90M,236.30M,,3.00M,0.20M,-1.20M,-0.20M,,AOR,Restated
2011-09,45.30M,,,-1.00M,23.20M,4.70M,27.90M,27.90M,-0.20M,2.60M,8.20M,,-5.70M,-18.30M,41.90M,-2.10M,0.60M,,22.10M,101.00M,,-18.90M,,-18.90M,-0.20M,0.00,-0.60M,-19.70M,,-86.50M,127.60M,41.10M,1.80M,-52.30M,-50.50M,,-38.20M,-13.60M,-61.20M,,203.30M,20.10M,-4.60M,218.80M,,1.80M,-98.40M,11.90M,-52.30M,,AOR,Restated
2011-06,55.50M,,,-0.30M,25.30M,4.90M,30.20M,30.20M,0.20M,5.70M,7.80M,,-1.70M,5.80M,-43.70M,-3.50M,-4.10M,,-45.50M,54.20M,,-21.10M,,-21.10M,-2.60M,22.80M,-1.20M,-2.10M,,38.40M,,38.40M,11.70M,-59.10M,-47.40M,,-39.10M,0.30M,-47.80M,,195.40M,4.30M,3.60M,203.30M,,11.70M,39.30M,-0.90M,-59.10M,,AOR,Restated
2011-03,46.30M,,,-8.50M,25.30M,4.80M,30.10M,30.10M,7.20M,3.00M,13.30M,,-1.20M,-88.20M,-27.30M,66.70M,2.30M,,-46.50M,46.80M,,-16.70M,,-16.70M,16.50M,,-0.70M,-0.90M,,45.70M,,45.70M,4.00M,-113.70M,-109.70M,,-39.70M,5.50M,-98.20M,,244.50M,-52.30M,3.20M,195.40M,,4.00M,59.10M,-13.40M,-113.70M,,AOR,Restated
2010-12,32.50M,,,-0.30M,26.60M,5.00M,31.60M,31.60M,6.60M,12.50M,7.80M,,-10.70M,68.20M,22.80M,-27.00M,9.40M,,73.40M,154.10M,,-19.10M,,-19.10M,-31.70M,-22.80M,27.60M,-46.00M,,-42.80M,,-75.10M,4.40M,-30.00M,-25.60M,,-39.50M,-6.80M,-147.00M,,276.70M,-38.90M,6.70M,244.50M,,4.40M,-76.30M,33.50M,-30.00M,,AOR,Restated
2010-09,49.30M,,,0.80M,25.10M,4.90M,30.00M,30.00M,18.30M,0.20M,8.10M,,3.50M,-20.20M,1.80M,-16.00M,13.80M,,-20.60M,90.50M,,-18.60M,,-18.60M,16.40M,0.00,2.20M,0.00,,-13.20M,,-13.20M,2.10M,-11.00M,-8.90M,,-38.20M,-1.00M,-61.30M,,243.50M,29.20M,4.00M,276.70M,,2.10M,8.30M,-21.50M,-11.00M,,AOR,Restated
2010-06,101.00M,,,-0.60M,24.40M,4.90M,29.30M,29.30M,0.30M,0.00,8.40M,,-45.10M,-23.80M,-19.30M,16.70M,-4.00M,,-30.40M,66.80M,,-16.50M,,-16.50M,0.80M,1.30M,-0.40M,-14.80M,,27.00M,,27.00M,15.30M,-55.10M,-39.80M,,-38.50M,0.90M,-50.40M,,247.20M,1.60M,-5.30M,243.50M,,15.30M,33.00M,-6.00M,-55.10M,,AOR,Restated
2010-03,,,,-11.50M,26.90M,5.00M,31.90M,31.90M,5.00M,2.30M,13.30M,,48.60M,-58.90M,-36.50M,53.10M,2.40M,,-39.90M,51.10M,,-13.50M,,-13.50M,9.60M,,-0.40M,-4.30M,,15.50M,,15.50M,2.00M,-34.00M,-32.00M,,-38.70M,0.30M,-54.90M,,260.50M,-8.10M,-5.20M,247.20M,,2.00M,35.00M,-19.50M,-34.00M,,AOR,Restated
2009-12,37.10M,0.30M,,-2.70M,27.60M,5.40M,33.00M,33.00M,17.80M,4.60M,8.00M,,8.10M,79.70M,-12.30M,-33.70M,-4.70M,,29.00M,134.90M,,-17.60M,,-17.60M,-9.10M,,11.60M,-15.10M,,37.60M,,37.60M,1.40M,-84.90M,-83.50M,,-39.70M,1.80M,-83.80M,,221.50M,36.00M,3.00M,260.50M,,1.40M,38.80M,-1.20M,-84.90M,,AOR,Restated
2009-09,55.70M,0.00,,0.00,27.00M,5.50M,32.50M,32.50M,22.60M,0.50M,8.40M,,5.60M,-34.40M,13.80M,34.30M,3.00M,,16.70M,142.00M,,-13.90M,,-13.90M,0.80M,,-1.20M,-14.30M,,-9.10M,,-9.10M,1.60M,-80.10M,-78.50M,,-39.20M,-1.50M,-128.30M,,222.20M,-0.60M,-0.10M,221.50M,,1.60M,6.60M,-15.70M,-80.10M,,AOR,Restated
2009-06,19.20M,0.30M,,0.30M,27.90M,5.50M,33.40M,33.40M,5.20M,0.30M,10.50M,,16.30M,13.40M,45.80M,27.20M,2.00M,,88.40M,173.60M,,-29.80M,,-29.80M,2.80M,,-1.30M,-28.30M,,-41.20M,,-41.20M,0.10M,-11.70M,-11.60M,,-39.20M,-0.40M,-92.40M,,160.20M,52.90M,9.10M,222.20M,,0.10M,0.00,-41.20M,-11.70M,,AOR,Restated
2009-03,3.00M,-0.60M,,-0.60M,27.10M,4.30M,31.40M,31.40M,-1.60M,0.40M,11.10M,,19.60M,47.00M,40.30M,-36.90M,1.10M,,51.50M,114.80M,,-21.70M,,-21.70M,2.70M,,4.20M,-14.80M,,-51.50M,,-51.50M,0.90M,-15.30M,-14.40M,,-39.10M,0.80M,-104.20M,,164.70M,-4.20M,-0.30M,160.20M,,0.90M,12.50M,-64.00M,-15.30M,,AOR,Restated
2008-12,-22.00M,,,0.30M,28.80M,6.00M,34.80M,34.80M,-16.90M,12.40M,7.30M,,7.30M,156.90M,117.60M,-89.80M,4.20M,21.00M,209.90M,233.10M,,-27.50M,,-27.50M,-1.00M,,24.10M,-4.40M,,-189.20M,,-189.20M,0.50M,-39.60M,-39.10M,,-37.40M,-2.90M,-268.60M,,211.40M,-39.90M,-6.80M,164.70M,,0.50M,5.10M,-194.30M,-39.60M,,AOR,
2008-09,33.80M,,,4.00M,28.20M,6.20M,34.40M,34.40M,24.80M,26.60M,10.00M,,7.40M,-37.90M,13.60M,-20.20M,1.10M,-21.00M,-64.40M,76.60M,,-26.00M,,-26.00M,-8.20M,,360.00M,325.80M,,-208.70M,,-208.70M,4.50M,-145.10M,-140.60M,,-42.00M,0.20M,-391.10M,,203.10M,11.30M,-3.00M,211.40M,,4.50M,14.50M,-223.20M,-145.10M,,,Restated
2008-06,48.00M,,,-1.00M,29.90M,6.30M,36.20M,36.20M,13.20M,5.70M,11.60M,,7.30M,-0.40M,-67.70M,25.90M,-5.40M,,-47.60M,73.40M,,-31.60M,,-31.60M,-0.50M,,-3.50M,-35.60M,,66.00M,,66.00M,0.10M,-49.20M,-49.10M,,-42.50M,0.00,-25.60M,,188.10M,12.20M,2.80M,203.10M,,0.10M,132.80M,-66.80M,-49.20M,,,Restated
2008-03,44.60M,,,-1.00M,29.00M,6.00M,35.00M,35.00M,4.40M,0.10M,12.70M,,4.80M,-64.50M,-13.60M,21.00M,9.60M,,-47.50M,53.10M,,-33.20M,,-33.20M,-0.60M,,11.30M,-22.50M,,56.10M,,56.10M,0.80M,-62.60M,-61.80M,,-43.20M,0.70M,-48.20M,,205.40M,-17.60M,0.30M,188.10M,,0.80M,95.60M,-39.50M,-62.60M,,,Restated
2007-12,-212.60M,,,-14.40M,40.60M,7.70M,48.30M,48.30M,-50.10M,,,,-24.00M,107.50M,1.90M,-4.70M,8.80M,-18.60M,94.90M,178.20M,,-40.30M,-105.80M,-146.10M,-25.60M,,112.30M,-59.40M,,,,-48.60M,0.50M,-22.50M,-22.00M,,-31.10M,-4.80M,-106.50M,,188.30M,12.30M,4.80M,205.40M,,0.50M,,,-22.50M,,,Restated
2007-09,65.70M,,,8.10M,38.90M,6.00M,44.90M,44.90M,2.80M,,,,12.20M,-6.50M,52.20M,-5.00M,10.70M,9.10M,60.50M,194.20M,,-37.40M,4.20M,-33.20M,-2.00M,,-3.00M,-38.20M,,,,17.80M,0.50M,-123.90M,-123.40M,,-32.20M,0.80M,-137.00M,,168.20M,19.00M,1.10M,188.30M,,0.50M,,,-123.90M,,,
2007-06,60.00M,,,-3.80M,39.50M,7.20M,46.70M,46.70M,-6.10M,,,,13.20M,8.90M,1.00M,-1.80M,-4.70M,-20.70M,-17.30M,92.70M,,-26.90M,14.70M,-12.20M,-1.10M,,-3.40M,-16.70M,,,,-66.70M,3.20M,-51.70M,-48.50M,,-30.60M,0.20M,-145.60M,,234.60M,-69.60M,3.20M,168.20M,,3.20M,,,-51.70M,,,
