,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1998-12,83.50M,,83.50M,503.10M,,,503.10M,,,,486.20M,,,64.30M,1.137B,,,,,,1.435B,-614.60M,820.40M,,528.60M,528.60M,,,,49.20M,1.398B,2.535B,,134.80M,,,,134.80M,,134.80M,,,,,,,,266.60M,401.40M,574.10M,,574.10M,74.90M,74.90M,,,48.10M,697.10M,1.098B,,,1.059B,,,,,,,1.437B,,,
1998-09,42.30M,,42.30M,561.60M,,,561.60M,,,,471.00M,,,63.70M,1.139B,,,,,,1.394B,-590.50M,803.80M,,488.20M,488.20M,,,,52.20M,1.344B,2.483B,,154.10M,,,,154.10M,,154.10M,,,,,,,,237.50M,391.60M,585.10M,,585.10M,68.90M,68.90M,,,47.20M,701.20M,1.093B,,,1.013B,,,,,,,1.39B,,,
1998-06,21.70M,,21.70M,489.20M,,,489.20M,,,,483.40M,,,63.90M,1.058B,,,,,,1.335B,-560.00M,775.30M,,486.70M,486.70M,,,,60.00M,1.322B,2.380B,,132.50M,,,,132.50M,,132.50M,,,,,,,,224.10M,356.60M,576.20M,,576.20M,66.30M,66.30M,,,44.10M,686.60M,1.043B,,,963.90M,,,,,,,1.337B,,,
1998-03,9.90M,,9.90M,509.40M,,,509.40M,,,,487.90M,,,68.50M,1.076B,,,,,,1.314B,-540.30M,773.40M,,476.60M,476.60M,,,,47.20M,1.297B,2.373B,,148.70M,,,,148.70M,,148.70M,,,,,,,,235.10M,383.80M,591.30M,,591.30M,67.80M,67.80M,,,42.40M,701.50M,1.085B,,,916.30M,,,,,,,1.288B,,,
1997-12,7.70M,,7.70M,438.60M,,,438.60M,,,,433.20M,,,65.10M,944.60M,,,,,,1.212B,-519.10M,693.20M,,425.60M,425.60M,,,,42.90M,1.162B,2.106B,,128.70M,,,,128.70M,,128.70M,,,,,,,,243.80M,372.50M,466.20M,,466.20M,52.80M,52.80M,,,40.80M,559.80M,932.30M,,,871.30M,,,,,,,1.174B,,,
1997-09,9.50M,,9.50M,461.90M,,,461.90M,,,,417.50M,,,53.60M,942.50M,,,,,,1.173B,-497.80M,674.80M,,421.20M,421.20M,,,,46.30M,1.142B,2.085B,,142.00M,,,,142.00M,,142.00M,,,,,,,,236.50M,378.50M,487.00M,,487.00M,61.50M,61.50M,,,37.20M,585.70M,964.20M,,,829.00M,,,,,,,1.121B,,,
1997-06,7.20M,,7.20M,432.60M,,,432.60M,,,,386.10M,,,46.90M,872.80M,,,,,,1.064B,-432.20M,632.10M,,387.70M,387.70M,,,,45.70M,1.066B,1.938B,,124.70M,,,,124.70M,,124.70M,,,,,,,,194.80M,319.50M,458.70M,,458.70M,60.00M,60.00M,,,36.50M,555.20M,874.70M,,,781.60M,,,,,,,1.064B,,,
1997-03,3.70M,,3.70M,397.00M,,,397.00M,,,,386.10M,,,49.00M,835.80M,,,,,,1.05B,-432.20M,617.80M,,362.90M,362.90M,,,,43.40M,1.024B,1.860B,,123.70M,,,,123.70M,,123.70M,,,,,,,,199.80M,323.50M,462.30M,,462.30M,56.60M,56.60M,,,36.50M,555.40M,878.90M,,,741.50M,,,,,,,981.00M,,,
1996-12,3.70M,,3.70M,335.30M,,,335.30M,,,,379.60M,,,44.70M,763.30M,,,,,,1.015B,-432.20M,582.90M,,320.50M,320.50M,,,,46.20M,949.60M,1.713B,,110.30M,,,,110.30M,,110.30M,,,3.90M,,3.90M,,,178.60M,292.80M,388.50M,,388.50M,54.50M,54.50M,,,36.00M,479.00M,771.80M,,,704.40M,,,,,,,941.10M,,,
1996-09,4.60M,,4.60M,372.80M,,,372.80M,,,,359.70M,,,42.90M,780.00M,,,,,,952.60M,-396.70M,555.90M,,307.10M,307.10M,,,,43.70M,906.70M,1.687B,,124.30M,,,,124.30M,,124.30M,,,,,,,,185.50M,309.80M,431.80M,,431.80M,60.00M,60.00M,,,37.50M,529.30M,839.10M,,,667.40M,,,,,,,847.60M,,,
1996-06,4.80M,,4.80M,375.50M,,,375.50M,,,,352.30M,,,39.90M,772.50M,,,,,,942.70M,-396.70M,546.00M,,303.30M,303.30M,,,,39.50M,888.80M,1.661B,,129.20M,,,,129.20M,,129.20M,,,,,,,,157.00M,286.20M,465.50M,,465.50M,60.50M,60.50M,,,39.50M,565.50M,851.70M,,,634.20M,,,,,,,809.60M,,,
1996-03,3.90M,,3.90M,283.10M,,,283.10M,,,,278.30M,,,38.20M,603.50M,,,,,,831.40M,-369.50M,461.90M,,159.90M,159.90M,,,,37.10M,658.90M,1.262B,,83.40M,,,,83.40M,,83.40M,,,,,,,,169.20M,252.60M,175.30M,,175.30M,49.40M,49.40M,,,18.60M,243.30M,495.90M,,,625.20M,,,,,,,766.50M,,,
1995-12,6.70M,,6.70M,254.20M,,,254.20M,,,,276.80M,,,34.20M,571.90M,,,,,,808.40M,-356.60M,451.80M,,155.80M,155.80M,,,,38.80M,646.40M,1.218B,,90.40M,,,,90.40M,,90.40M,,,4.00M,,4.00M,,,132.40M,226.80M,191.90M,,191.90M,47.80M,47.80M,,,17.70M,257.40M,484.20M,,,598.00M,,,,,,,734.10M,,,
1995-09,7.50M,,7.50M,291.00M,,,291.00M,,,,263.20M,,,36.80M,598.50M,,,,,,773.90M,-343.00M,430.90M,,146.10M,146.10M,,,,34.40M,611.40M,1.210B,,106.20M,,,,106.20M,,106.20M,,,,,,,,159.80M,266.00M,170.70M,,170.70M,45.40M,45.40M,,,14.00M,230.10M,496.10M,,,572.20M,,,,,,,713.80M,,,
1995-06,4.50M,,4.50M,281.10M,,,281.10M,,,,275.00M,,,33.30M,593.90M,,,,,,758.10M,-329.80M,428.30M,,145.40M,145.40M,,,,36.00M,609.70M,1.204B,,89.80M,,,,89.80M,,89.80M,,,,,,,,141.30M,231.10M,224.30M,,224.30M,44.70M,44.70M,,,13.60M,282.60M,513.70M,,,545.80M,,,,,,,689.90M,,,
1995-03,3.10M,,3.10M,274.30M,,,274.30M,,,,277.90M,,,34.10M,589.40M,,,,,,726.80M,-315.90M,410.90M,,140.50M,140.50M,,,,35.80M,587.20M,1.177B,,100.90M,,,,100.90M,,100.90M,,,,,,,,155.20M,256.10M,206.70M,,206.70M,43.70M,43.70M,,,16.50M,266.90M,523.00M,,,522.00M,,,,,,,653.60M,,,
1994-12,2.70M,,2.70M,254.30M,,,254.30M,,,,255.50M,,,32.20M,544.70M,,,,,,699.50M,-303.50M,396.00M,,142.50M,142.50M,,,,36.70M,575.20M,1.120B,,89.90M,,,,89.90M,,89.90M,,,3.90M,,3.90M,,,139.10M,232.90M,204.90M,,204.90M,42.20M,42.20M,,,14.70M,261.80M,494.70M,,,496.50M,,,,,,,625.20M,,,
1994-09,6.70M,,6.70M,261.00M,,,261.00M,,,,231.60M,,,31.10M,530.40M,,,,,,669.50M,-292.50M,377.00M,,139.60M,139.60M,,,,37.30M,553.90M,1.084B,,93.70M,,,,93.70M,,93.70M,,,,,,,,134.20M,227.90M,204.90M,,204.90M,43.30M,43.30M,,,12.60M,260.80M,488.70M,,,468.10M,,,,,,,595.60M,,,
1994-06,8.80M,,8.80M,248.60M,,,248.60M,,,,223.10M,,,27.00M,507.50M,,,,,,618.40M,-277.90M,340.50M,,134.70M,134.70M,,,,35.10M,510.30M,1.018B,,81.30M,,,,81.30M,,81.30M,,,,,,,,117.20M,198.50M,196.40M,,196.40M,43.20M,43.20M,,,12.60M,252.20M,450.70M,,,443.00M,,,,,,,567.10M,,,
1994-03,0.80M,,0.80M,233.70M,,,233.70M,,,,210.50M,,,23.50M,468.50M,,,,,,583.70M,-267.70M,316.00M,,116.40M,116.40M,,,,34.30M,466.70M,935.20M,,83.30M,,,,83.30M,,83.30M,,,,,,,,100.10M,183.40M,154.50M,,154.50M,43.70M,43.70M,,,11.80M,210.00M,393.40M,,,420.90M,,,,,,,541.80M,,,
1993-12,0.40M,,0.40M,,,,204.70M,,,,209.10M,,,21.40M,435.60M,,,,,,571.20M,-258.10M,313.10M,,153.20M,153.20M,,,,,466.30M,901.90M,,74.10M,,,,74.10M,,74.10M,,,1.40M,,1.40M,,,90.70M,166.20M,165.80M,,165.80M,43.20M,43.20M,,,11.10M,220.10M,386.30M,,,401.00M,,,,,,,515.60M,,,
1993-09,1.20M,,1.20M,,,,229.30M,,,,192.20M,,,22.00M,444.70M,,,,,,514.70M,-214.40M,300.30M,,91.10M,91.10M,,,,63.10M,454.50M,899.20M,,81.30M,,,,81.30M,,81.30M,,,,,,,,99.80M,181.10M,180.00M,,180.00M,30.30M,30.30M,,,12.10M,222.40M,403.50M,,,383.60M,,,,,,,495.70M,,,
1993-06,1.40M,,1.40M,,,,182.30M,,,,163.40M,,,20.70M,367.80M,,,,,,458.10M,-214.40M,243.70M,,61.80M,61.80M,,,,46.40M,351.90M,719.70M,,52.30M,,,,52.30M,,52.30M,,,,,,,,87.40M,139.70M,83.40M,,83.40M,26.50M,26.50M,,,8.70M,118.60M,258.30M,,,358.20M,,,,,,,461.40M,,,
1993-03,0.90M,,0.90M,,,,174.70M,,,,157.20M,,,22.20M,355.00M,,,,,,452.30M,-214.40M,237.90M,,62.30M,62.30M,,,,45.10M,345.30M,700.30M,,49.30M,,,,49.30M,,49.30M,,,,,,,,87.50M,136.80M,86.80M,,86.80M,24.60M,24.60M,,,8.90M,120.30M,257.10M,,,343.20M,,,,,,,443.20M,,,
1992-12,4.00M,,4.00M,,,,156.80M,,,,161.10M,,,18.30M,340.20M,,,,,,438.50M,-207.80M,230.70M,,107.20M,107.20M,,,,-0.10M,337.80M,678.00M,,42.70M,,,,42.70M,,42.70M,,,1.00M,,1.00M,,,74.90M,118.60M,101.50M,,101.50M,26.40M,26.40M,,,6.30M,134.20M,252.80M,,,329.50M,,,,,,,425.20M,,,
1992-09,2.70M,,2.70M,,,,168.10M,,,,156.00M,,,19.00M,345.80M,,,,,,435.00M,-202.20M,232.80M,,57.80M,57.80M,,,,48.40M,339.00M,684.80M,,50.60M,,,,50.60M,,50.60M,,,,,,,,83.80M,134.40M,105.20M,,105.20M,24.40M,24.40M,,,6.60M,136.20M,270.60M,,,318.10M,,,,,,,414.20M,,,
1992-06,5.50M,,5.50M,,,,159.00M,,,,157.80M,,,18.40M,340.70M,,,,,,427.90M,-195.50M,232.40M,,58.30M,58.30M,,,,45.40M,336.10M,676.80M,,,,,,,,,,,,,,,,,115.60M,129.70M,,129.70M,25.30M,25.30M,,,6.50M,161.50M,277.10M,,,304.20M,,,,,,,399.70M,,,
1992-03,6.80M,,6.80M,,,,169.50M,,,,153.30M,,,19.00M,348.60M,,,,,,421.10M,-188.10M,233.00M,,90.40M,90.40M,,,,10.50M,333.90M,682.50M,,53.70M,,,,53.70M,,53.70M,,,,,,,,79.30M,133.00M,132.20M,,132.20M,27.20M,27.20M,,,6.40M,165.80M,298.80M,,,293.50M,,,,,,,383.70M,,,
1991-12,5.30M,,5.30M,,,,140.80M,,,,157.30M,,,18.30M,321.70M,,,,,,418.20M,-184.00M,234.20M,,91.20M,91.20M,,,,9.00M,334.40M,656.10M,,39.00M,,,,39.00M,,39.00M,,,3.20M,,3.20M,,,68.40M,110.60M,179.40M,,179.40M,27.20M,27.20M,,,6.30M,212.90M,323.50M,,,283.50M,,,,,,,332.60M,,,
1991-09,7.10M,,7.10M,,,,175.90M,,,,153.30M,,,16.70M,353.00M,,,,,,407.70M,-176.60M,231.10M,,53.50M,53.50M,,,,39.40M,324.00M,677.00M,,60.70M,,,,60.70M,,60.70M,,,,,,,,76.10M,136.80M,186.00M,,186.00M,22.00M,22.00M,,,8.20M,216.20M,353.00M,,,277.30M,,,,,,,324.00M,,,
1991-06,2.40M,,2.40M,,,,169.40M,,,,158.00M,,,20.60M,350.40M,,,,,,392.20M,-165.70M,226.50M,,54.30M,54.30M,,,,51.80M,332.60M,683.00M,,55.10M,,,,55.10M,,55.10M,,,,,,,,72.30M,127.40M,206.90M,,206.90M,25.40M,25.40M,,,8.50M,240.80M,368.20M,,,269.20M,,,,,,,314.80M,,,
1991-03,1.50M,,1.50M,,,,156.30M,,,,167.40M,,,22.90M,348.10M,,,,,,384.70M,-160.00M,224.70M,,55.30M,55.30M,,,,56.10M,336.10M,684.20M,,51.10M,,,,51.10M,,51.10M,,,,,,,,72.60M,123.70M,218.90M,,218.90M,25.20M,25.20M,,,8.90M,253.00M,376.70M,,,263.10M,,,,,,,307.50M,,,
1990-12,3.30M,,3.30M,,,,146.20M,,,,172.00M,,,20.90M,342.40M,,,,,,380.00M,-155.20M,224.80M,,102.30M,102.30M,,,,6.60M,333.70M,676.10M,,56.20M,,,,56.20M,,56.20M,,,3.10M,,3.10M,,,68.70M,128.00M,212.80M,,212.80M,24.40M,24.40M,,,8.30M,245.50M,373.50M,,,259.30M,,,,,,,302.60M,,,
1990-09,2.60M,,2.60M,,,,181.20M,,,,169.40M,,,15.10M,368.30M,,,,,,398.50M,-159.80M,238.70M,,56.30M,56.30M,,,,41.80M,336.80M,705.10M,,70.40M,,,,70.40M,,70.40M,,,,,,,,66.70M,137.10M,220.20M,,220.20M,23.30M,23.30M,,,7.50M,251.00M,388.10M,,,269.30M,,,,,,,317.00M,,,
1990-06,3.50M,,3.50M,,,,172.40M,,,,172.70M,,,15.00M,363.60M,,,,,,378.20M,-152.70M,225.50M,,62.20M,62.20M,,,,38.30M,326.00M,689.60M,,68.80M,,,,68.80M,,68.80M,,,,,,,,64.50M,133.30M,217.50M,,217.50M,22.30M,22.30M,,,7.50M,247.30M,380.60M,,,262.50M,,,,,,,309.00M,,,
1990-03,3.80M,,3.80M,,,,156.10M,,,,156.70M,,,13.20M,329.80M,,,,,,359.80M,-147.20M,212.60M,,41.70M,41.70M,,,,38.10M,292.40M,622.20M,,60.50M,,,,60.50M,,60.50M,,,,,,,,62.50M,123.00M,174.60M,,174.60M,27.40M,27.40M,,,-0.10M,201.90M,324.90M,,,253.20M,,,,,,,297.30M,,,
1989-12,2.90M,,2.90M,,,,136.50M,,,,144.20M,,,9.20M,292.80M,,,,,,350.20M,-140.90M,209.30M,,57.10M,57.10M,,,,9.10M,275.50M,568.30M,,53.80M,,,,53.80M,,53.80M,,,3.50M,,3.50M,,,55.50M,112.80M,147.50M,,147.50M,20.20M,20.20M,,,6.20M,173.90M,286.70M,,,244.50M,,,,,,,281.60M,,,
1989-09,4.10M,,4.10M,,,,150.60M,,,,139.50M,,,5.70M,299.90M,,,,,,351.80M,-136.30M,215.50M,,25.70M,25.70M,,,,35.20M,276.40M,576.30M,,57.70M,,,,57.70M,,57.70M,,,,,,,,59.80M,117.50M,158.20M,,158.20M,,,,,23.80M,182.00M,299.50M,,,237.50M,,,,,,,276.80M,,,
1989-06,5.50M,,5.50M,,,,153.00M,,,,146.20M,,,3.50M,308.20M,,,,,,344.90M,-130.40M,214.50M,,25.60M,25.60M,,,,34.50M,274.60M,582.80M,,70.20M,,,,70.20M,,70.20M,,,,,,,,53.90M,124.10M,166.80M,,166.80M,,,,,25.20M,192.00M,316.10M,,,228.60M,,,,,,,266.70M,,,
1988-12,7.00M,,7.00M,,,,114.80M,,,,122.40M,,,6.30M,250.50M,,,,,,295.50M,-119.30M,176.20M,,20.80M,20.80M,,,,30.10M,227.10M,477.60M,,,,,,,,,,,4.10M,,4.10M,,,99.00M,103.10M,106.80M,,106.80M,16.20M,16.20M,,,6.10M,129.10M,232.20M,,,211.40M,,,,,,,245.40M,,,
1987-12,29.60M,,29.60M,,,,79.60M,,,,92.80M,,,6.20M,208.20M,,,,,,223.40M,-95.50M,127.90M,,11.50M,11.50M,,,,36.70M,176.10M,384.30M,,,,,,,,,,,4.80M,,4.80M,,,73.20M,78.00M,83.60M,,83.60M,13.20M,13.20M,,,,96.80M,174.80M,,,180.20M,,,,,,,209.50M,,,
1986-12,35.90M,,35.90M,,,,68.20M,,,,82.20M,,,3.30M,189.60M,,,,,,194.60M,-81.20M,113.40M,,9.20M,9.20M,,,,37.20M,159.80M,349.40M,,,,,,,,,,,5.10M,,5.10M,,,61.70M,66.80M,88.30M,,88.30M,11.10M,11.10M,,,0.10M,99.50M,166.30M,,,151.90M,,,,,,,183.10M,,,
1985-12,9.00M,,9.00M,,,,52.80M,,,,73.10M,,,3.40M,138.30M,,,,,,166.90M,-65.90M,101.00M,,9.00M,9.00M,,,,22.20M,132.20M,270.50M,,,,,,,,,,,7.40M,,7.40M,,,48.80M,56.20M,51.40M,,51.40M,9.90M,9.90M,,,,61.30M,117.50M,,,117.40M,,,,,,,153.00M,,,
1984-12,21.80M,,21.80M,,,,45.50M,,,,62.20M,,,2.40M,131.90M,,,,,,131.60M,-54.80M,76.80M,,5.80M,5.80M,,,,18.40M,101.00M,232.90M,,,,,,,,,,,11.40M,,11.40M,,,40.50M,51.90M,67.10M,,67.10M,6.00M,6.00M,,,,73.10M,125.00M,,,97.90M,,,,,,,107.90M,,,
