,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-03,262.20M,,262.20M,481.50M,1.00M,30.60M,532.00M,259.60M,51.20M,257.10M,506.20M,,,108.90M,1.409B,0.00,39.90M,529.90M,1.102B,,1.672B,-1.138B,533.20M,809.00M,211.90M,1.021B,,,,139.80M,1.694B,3.103B,,357.50M,,,,357.50M,304.60M,662.10M,,,202.20M,,202.20M,,,88.80M,953.10M,798.00M,,798.00M,50.80M,50.80M,,9.50M,184.90M,1.034B,1.987B,,2.00M,2.089B,506.80M,1.450B,,,,-40.80M,1.107B,,AOR,Restated
2014-12,332.80M,,332.80M,469.30M,2.00M,38.00M,523.30M,247.00M,55.50M,251.90M,481.40M,39.10M,42.30M,,1.429B,0.00,40.10M,551.10M,1.151B,,1.743B,-1.194B,548.80M,829.40M,204.70M,1.034B,24.20M,,36.50M,60.30M,1.711B,3.141B,,369.80M,42.70M,22.00M,67.30M,501.80M,175.00M,676.80M,5.30M,201.70M,201.70M,,201.70M,12.70M,12.70M,16.00M,992.20M,766.70M,,766.70M,66.90M,81.60M,111.60M,8.40M,33.60M,993.50M,1.986B,,2.00M,2.061B,502.40M,1.417B,,,,-2.60M,1.146B,,AOR,Restated
2014-09,242.90M,,242.90M,538.40M,4.70M,33.00M,584.40M,250.30M,47.80M,246.60M,476.50M,,,64.60M,1.435B,0.00,40.80M,549.00M,1.159B,,1.749B,-1.202B,546.60M,831.50M,213.10M,1.045B,,,,158.50M,1.750B,3.185B,,356.90M,,,,356.90M,298.00M,654.90M,,,381.60M,,381.60M,,,107.90M,1.144B,619.20M,,619.20M,62.50M,62.50M,,10.10M,130.00M,811.70M,1.956B,,2.00M,2.085B,478.00M,1.407B,,,,60.80M,1.218B,,AOR,Restated
2014-06,304.20M,,304.20M,552.30M,5.30M,45.80M,603.40M,263.40M,58.10M,278.90M,527.10M,,,54.80M,1.490B,0.00,43.80M,605.80M,1.221B,,1.870B,-1.288B,582.60M,842.10M,203.50M,1.046B,,,,125.70M,1.754B,3.243B,,376.70M,,,,376.70M,223.20M,599.90M,,,181.30M,,181.30M,,,83.60M,864.80M,926.00M,,926.00M,56.60M,56.60M,,9.10M,133.60M,1.116B,1.981B,,2.00M,2.080B,484.30M,1.406B,,,,92.90M,1.253B,,AOR,Restated
2014-03,268.60M,,268.60M,523.80M,6.20M,43.90M,573.90M,257.60M,63.40M,271.80M,519.50M,,,47.80M,1.410B,0.00,42.70M,597.70M,1.191B,,1.831B,-1.267B,564.30M,926.60M,199.10M,1.126B,,,,121.70M,1.812B,3.222B,,350.20M,,,,350.20M,223.90M,574.10M,,,181.40M,,181.40M,,,78.50M,834.00M,811.00M,,811.00M,75.00M,75.00M,,8.30M,130.60M,1.017B,1.851B,,2.00M,2.147B,474.70M,1.341B,,,,80.10M,1.363B,,AOR,Restated
2013-12,272.70M,,272.70M,432.80M,5.50M,26.40M,467.40M,239.40M,59.30M,270.50M,495.90M,33.60M,12.10M,,1.282B,0.00,44.50M,612.20M,1.184B,,1.841B,-1.267B,574.60M,926.80M,203.40M,1.130B,18.30M,6.90M,46.90M,48.10M,1.826B,3.108B,,339.30M,42.00M,21.40M,64.20M,466.90M,87.60M,554.50M,,181.10M,181.10M,,181.10M,13.10M,13.10M,15.80M,829.50M,688.40M,,688.40M,92.50M,107.90M,55.30M,7.90M,27.80M,879.40M,1.709B,,2.00M,2.136B,479.10M,1.321B,,,,94.50M,1.391B,,AOR,Restated
2013-09,298.90M,,298.90M,534.30M,5.80M,28.30M,574.70M,239.80M,59.40M,250.90M,488.90M,,,45.40M,1.408B,0.00,46.20M,613.20M,1.182B,,1.842B,-1.262B,579.90M,992.20M,210.70M,1.203B,,,,114.40M,1.897B,3.305B,,326.20M,,,,326.20M,226.80M,553.00M,,,1.10M,,1.10M,,,84.70M,638.80M,957.50M,,957.50M,86.90M,86.90M,,8.20M,158.20M,1.203B,1.841B,,2.00M,2.174B,473.40M,1.264B,,,,70.00M,1.456B,,AOR,Restated
2013-06,280.30M,,280.30M,503.60M,1.30M,28.00M,553.00M,243.70M,53.90M,279.00M,510.40M,,,43.50M,1.387B,0.00,44.60M,601.20M,1.158B,,1.804B,-1.242B,562.10M,982.90M,209.60M,1.192B,,,,136.90M,1.892B,3.279B,,338.30M,,,,338.30M,213.70M,552.00M,,,1.80M,,1.80M,,,76.90M,630.70M,973.90M,,973.90M,81.90M,81.90M,,8.80M,158.50M,1.214B,1.845B,,2.00M,2.146B,468.10M,1.238B,,,,46.80M,1.425B,,AOR,Restated
2013-03,449.40M,,449.40M,494.80M,1.50M,29.50M,528.60M,242.00M,59.00M,270.10M,502.50M,,,44.20M,1.525B,0.00,45.10M,602.50M,1.165B,,1.812B,-1.246B,566.80M,984.20M,211.30M,1.196B,,,,140.90M,1.903B,3.428B,,320.00M,,,,320.00M,207.80M,527.80M,,,201.40M,,201.40M,,,63.40M,792.60M,953.80M,,953.80M,79.30M,79.30M,,8.10M,162.30M,1.195B,1.988B,,2.00M,2.117B,460.60M,1.205B,,,,56.90M,1.432B,,AOR,Restated
2012-12,359.10M,,359.10M,411.50M,1.80M,24.30M,446.20M,229.40M,55.00M,275.70M,489.00M,,,44.80M,1.339B,0.00,45.30M,603.20M,1.162B,,1.810B,-1.237B,572.80M,991.50M,206.30M,1.198B,35.20M,11.90M,50.20M,47.90M,1.916B,3.255B,,285.40M,0.00,19.30M,60.30M,365.00M,89.10M,454.10M,,201.50M,201.50M,,201.50M,9.10M,9.10M,6.30M,731.00M,853.90M,,853.90M,105.10M,121.10M,86.50M,7.70M,20.20M,1.082B,1.813B,,2.00M,2.110B,458.60M,1.207B,,,,71.00M,1.434B,,AOR,Restated
2012-09,264.90M,,264.90M,589.70M,,,589.70M,234.90M,51.10M,263.10M,471.20M,,,52.90M,1.379B,0.00,45.90M,618.70M,1.152B,,1.816B,-1.241B,575.40M,985.10M,205.30M,1.190B,,,,101.40M,1.867B,3.246B,,292.00M,,,,292.00M,234.00M,526.00M,,,201.80M,,201.80M,,,67.90M,795.70M,860.20M,,860.20M,61.70M,61.70M,,12.30M,127.50M,1.049B,1.845B,,2.00M,2.079B,456.00M,1.224B,,,,75.20M,1.388B,,AOR,Restated
