,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,2.142B,2.142B,1.306B,836.00M,,14.00M,,91.00M,5.00M,-86.00M,,641.00M,195.00M,5.00M,91.00M,-86.00M,59.00M,-86.00M,168.00M,59.00M,109.00M,,,,109.00M,91.48M,947.00M,688.00M,259.00M,,0.22,,,,0.1853,0.22,,0.22,,,,0.1854,0.22,,505.00M,507.00M,0.43,,AOR,Restated
2017-03,2.591B,2.591B,1.585B,1.006B,,14.00M,,98.00M,5.00M,-93.00M,,828.00M,178.00M,5.00M,98.00M,-93.00M,58.00M,-93.00M,143.00M,29.00M,114.00M,,,,114.00M,94.87M,1.123B,882.00M,241.00M,,0.23,,,,0.1921,0.23,,0.22,,,,0.1823,0.22,,505.00M,508.00M,0.43,,AOR,Restated
2016-12,1.995B,1.995B,1.351B,644.00M,,37.00M,,97.00M,5.00M,-92.00M,,797.00M,-153.00M,5.00M,97.00M,-92.00M,-4.00M,-92.00M,-249.00M,-151.00M,-98.00M,,,,-98.00M,-113.60M,694.00M,846.00M,-152.00M,,-0.1941,,,,-0.2250,-0.1941,,-0.1941,,,,-0.2248,-0.1941,,505.00M,508.00M,0.41,,AOR,Restated
2016-09,2.45B,2.45B,1.642B,808.00M,5.00M,9.00M,,99.00M,6.00M,-93.00M,,231.00M,577.00M,6.00M,99.00M,-93.00M,31.00M,-93.00M,515.00M,188.00M,327.00M,,,,327.00M,308.58M,894.00M,280.00M,614.00M,,0.65,,,,0.6135,0.65,,0.64,,,,0.6038,0.64,,505.00M,508.00M,0.41,,AOR,Restated
2016-06,1.905B,1.905B,1.334B,571.00M,10.00M,0.00,,97.00M,5.00M,-92.00M,,224.00M,347.00M,5.00M,97.00M,-92.00M,23.00M,-92.00M,278.00M,91.00M,187.00M,,,,187.00M,174.89M,646.00M,271.00M,375.00M,,0.37,,,,0.3460,0.37,,0.37,,,,0.3462,0.37,,505.00M,508.00M,0.41,,AOR,Restated
2016-03,2.616B,2.616B,1.565B,1.051B,10.00M,1.00M,,92.00M,6.00M,-86.00M,,224.00M,827.00M,6.00M,92.00M,-86.00M,13.00M,-86.00M,754.00M,283.00M,471.00M,,,,471.00M,466.00M,1.128B,282.00M,846.00M,,0.93,,,,0.9201,0.93,,0.93,,,,0.9202,0.93,,505.00M,508.00M,0.41,,AOR,Restated
2015-12,2.278B,2.278B,1.492B,786.00M,8.00M,4.00M,,102.00M,5.00M,-97.00M,,254.00M,532.00M,5.00M,102.00M,-97.00M,6.00M,-97.00M,441.00M,132.00M,309.00M,,,,309.00M,267.66M,848.00M,305.00M,543.00M,,0.6119,,,,0.5300,0.6119,,0.60,,,,0.5186,0.60,,505.00M,508.00M,0.39,,AOR,Restated
2015-09,2.688B,2.688B,1.561B,1.127B,30.00M,-16.00M,,96.00M,6.00M,-90.00M,,313.00M,814.00M,6.00M,96.00M,-90.00M,14.00M,-90.00M,724.00M,285.00M,439.00M,,,,439.00M,442.03M,1.189B,369.00M,820.00M,,0.87,,,,0.876,0.87,,0.87,,,,0.8760,0.87,,505.00M,508.00M,0.39,,AOR,Restated
2015-06,2.314B,2.314B,1.429B,885.00M,10.00M,30.00M,,97.00M,6.00M,-91.00M,,317.00M,568.00M,6.00M,97.00M,-91.00M,54.00M,-91.00M,531.00M,186.00M,345.00M,,,,345.00M,313.15M,996.00M,368.00M,628.00M,,0.68,,,,0.6171,0.68,,0.68,,,,0.6173,0.68,,506.00M,508.00M,0.39,,AOR,Restated
2015-03,3.135B,3.135B,1.757B,1.378B,5.00M,5.00M,,98.00M,6.00M,-92.00M,,330.00M,1.048B,6.00M,98.00M,-92.00M,28.00M,-92.00M,984.00M,398.00M,586.00M,,,,586.00M,572.20M,1.467B,385.00M,1.082B,,1.16,,,,1.133,1.16,,1.15,,,,1.123,1.15,,506.00M,508.00M,0.39,,AOR,Restated
2014-12,2.773B,2.773B,1.658B,1.115B,6.00M,4.00M,,98.00M,6.00M,-92.00M,,308.00M,807.00M,6.00M,98.00M,-92.00M,66.00M,-92.00M,781.00M,305.00M,476.00M,,,,476.00M,429.07M,1.236B,357.00M,879.00M,,0.9407,,,,0.8480,0.9407,,0.94,,,,0.8482,0.94,,506.00M,511.00M,0.37,,AOR,Restated
2014-09,2.641B,2.641B,1.577B,1.064B,10.00M,-2.00M,,100.00M,6.00M,-94.00M,,318.00M,746.00M,6.00M,100.00M,-94.00M,53.00M,-94.00M,705.00M,261.00M,444.00M,,,,444.00M,413.13M,1.176B,371.00M,805.00M,,0.88,,,,0.8190,0.88,,0.87,,,,0.8091,0.87,,506.00M,507.00M,0.37,,AOR,Restated
2014-06,2.249B,2.249B,1.589B,660.00M,2.00M,5.00M,,94.00M,6.00M,-88.00M,,295.00M,365.00M,6.00M,94.00M,-88.00M,47.00M,-88.00M,324.00M,112.00M,212.00M,,,,212.00M,183.96M,757.00M,339.00M,418.00M,,0.42,,,,0.3646,0.42,,0.42,,,,0.3648,0.42,,506.00M,508.00M,0.37,,AOR,Restated
2014-03,3.223B,3.223B,2.212B,1.011B,2.00M,4.00M,,97.00M,6.00M,-91.00M,,306.00M,705.00M,6.00M,97.00M,-91.00M,32.00M,-91.00M,646.00M,260.00M,386.00M,,,,386.00M,368.00M,1.103B,360.00M,743.00M,,0.76,,,,0.7244,0.76,,0.76,,,,0.7246,0.76,,506.00M,508.00M,0.37,,AOR,Restated
2013-12,2.318B,2.318B,1.643B,675.00M,5.00M,16.00M,18.00M,99.00M,5.00M,-94.00M,,310.00M,365.00M,5.00M,99.00M,-94.00M,33.00M,-94.00M,304.00M,104.00M,200.00M,,,,200.00M,167.76M,742.00M,339.00M,403.00M,,0.3954,,,,0.3317,0.3954,,0.39,,,,0.3268,0.39,,506.30M,509.70M,0.36,,AOR,Restated
2013-09,2.554B,2.554B,1.514B,1.04B,3.00M,1.00M,15.00M,100.00M,7.00M,-93.00M,,328.00M,712.00M,7.00M,100.00M,-93.00M,41.00M,-93.00M,660.00M,270.00M,390.00M,,,,390.00M,367.25M,1.123B,363.00M,760.00M,,0.77,,,,0.7250,0.77,,0.77,,,,0.7252,0.77,,505.86M,507.69M,0.36,,AOR,Restated
2013-06,2.31B,2.31B,1.401B,909.00M,2.00M,4.00M,14.00M,101.00M,5.00M,-96.00M,,297.00M,612.00M,5.00M,101.00M,-96.00M,35.00M,-96.00M,551.00M,218.00M,333.00M,,,,333.00M,316.09M,980.00M,328.00M,652.00M,,0.66,,,,0.6266,0.66,,0.66,,,,0.6267,0.66,,505.90M,507.38M,0.36,,AOR,Restated
2013-03,2.786B,2.786B,1.865B,921.00M,2.00M,4.00M,21.00M,102.00M,6.00M,-96.00M,,311.00M,610.00M,6.00M,102.00M,-96.00M,26.00M,-96.00M,540.00M,220.00M,320.00M,,,,320.00M,299.85M,982.00M,340.00M,642.00M,,0.63,,,,0.5902,0.63,,0.63,,,,0.5903,0.63,,505.94M,507.22M,0.36,,AOR,Restated
2012-12,2.406B,2.406B,1.656B,750.00M,4.00M,-13.00M,25.00M,113.00M,5.00M,-108.00M,,282.00M,468.00M,5.00M,113.00M,-108.00M,1.00M,-108.00M,361.00M,137.00M,224.00M,,,,224.00M,223.38M,775.00M,301.00M,474.00M,,0.44,,,,0.4388,0.44,,0.44,,,,0.4388,0.44,,506.17M,506.89M,0.355,,AOR,Restated
2012-09,2.402B,2.402B,1.498B,904.00M,2.00M,4.00M,24.00M,106.00M,5.00M,-101.00M,,310.00M,594.00M,5.00M,106.00M,-101.00M,95.00M,-101.00M,588.00M,241.00M,347.00M,,,,347.00M,290.45M,1.025B,331.00M,694.00M,,0.69,0.00,,,0.5782,0.69,,0.68,0.00,,,0.5685,0.68,,505.91M,507.11M,0.355,,AOR,Restated
2012-06,2.098B,2.098B,1.39B,708.00M,7.00M,0.00,20.00M,103.00M,4.00M,-99.00M,,275.00M,433.00M,4.00M,103.00M,-99.00M,23.00M,-99.00M,357.00M,146.00M,211.00M,,,,211.00M,198.65M,756.00M,296.00M,460.00M,,0.42,0.00,,,0.3956,0.42,,0.42,0.00,,,0.3956,0.42,,505.90M,506.97M,0.355,,AOR,Restated
2012-03,2.875B,2.875B,1.807B,1.068B,5.00M,-1.00M,29.00M,101.00M,4.00M,-97.00M,,285.00M,783.00M,4.00M,101.00M,-97.00M,19.00M,-97.00M,705.00M,212.00M,493.00M,,,,493.00M,479.72M,1.105B,299.00M,806.00M,,0.97,0.00,,,0.9438,0.97,,0.97,0.00,,,0.9438,0.97,,506.01M,507.03M,0.355,,AOR,Restated
2011-12,2.636B,2.636B,3.488B,-852.00M,,-1.00M,31.00M,114.00M,-143.00M,-257.00M,,-1.561B,709.00M,-143.00M,114.00M,-257.00M,128.00M,-257.00M,580.00M,220.00M,360.00M,0.00,,,360.00M,360.62M,1.084B,390.00M,694.00M,,0.71,0.00,,,0.7112,0.71,,0.71,0.00,,,0.7112,0.71,,505.92M,507.04M,0.3425,,AOR,Restated
2011-09,2.62B,2.62B,1.167B,1.453B,,-10.00M,31.00M,117.00M,36.00M,-81.00M,,897.00M,556.00M,36.00M,117.00M,-81.00M,-9.00M,-81.00M,466.00M,201.00M,265.00M,29.00M,,,294.00M,271.50M,846.00M,262.00M,583.00M,,0.52,0.06,,,0.5328,0.58,,0.52,0.06,,,0.5328,0.58,,505.91M,507.00M,0.3425,,AOR,Restated
2011-06,2.469B,2.469B,1.01B,1.459B,,-11.00M,28.00M,117.00M,50.00M,-67.00M,,838.00M,621.00M,50.00M,117.00M,-67.00M,-7.00M,-67.00M,547.00M,227.00M,320.00M,3.00M,,,323.00M,327.15M,902.00M,238.00M,664.00M,,0.63,0.00,,,0.6441,0.63,,0.63,0.00,,,0.6441,0.63,,505.99M,506.76M,0.3425,,AOR,Restated
2011-03,3.354B,3.354B,1.563B,1.791B,,-12.00M,43.00M,127.00M,71.00M,-56.00M,,935.00M,856.00M,71.00M,127.00M,-56.00M,-9.00M,-56.00M,791.00M,329.00M,462.00M,64.00M,,,526.00M,469.80M,1.163B,245.00M,918.00M,,0.91,0.13,,,0.9254,1.04,,0.91,0.13,,,0.9254,1.04,,505.98M,507.13M,0.3425,,AOR,Restated
2010-12,2.745B,2.745B,3.744B,-999.00M,,-10.00M,35.00M,116.00M,-109.00M,-225.00M,,-1.588B,589.00M,-109.00M,116.00M,-225.00M,129.00M,-225.00M,493.00M,203.00M,290.00M,-8.00M,,,282.00M,296.50M,989.00M,380.00M,609.00M,,0.58,-0.02,,,0.5928,0.56,,0.57,-0.02,,,0.5828,0.55,,505.94M,506.98M,0.3425,,AOR,Restated
2010-09,3.114B,3.114B,1.261B,1.853B,,28.00M,31.00M,120.00M,35.00M,-85.00M,,882.00M,971.00M,35.00M,120.00M,-85.00M,32.00M,-85.00M,918.00M,371.00M,547.00M,20.00M,,,567.00M,530.20M,1.303B,265.00M,1.038B,,1.08,0.04,,,1.047,1.12,,1.08,0.04,,,1.047,1.12,,505.94M,506.97M,0.3425,,AOR,Restated
2010-06,2.361B,2.361B,1.072B,1.289B,,-12.00M,28.00M,120.00M,42.00M,-78.00M,,858.00M,431.00M,42.00M,120.00M,-78.00M,-7.00M,-78.00M,346.00M,124.00M,222.00M,2.00M,,,224.00M,229.70M,699.00M,233.00M,466.00M,,0.44,0.00,,,0.4552,0.44,,0.44,0.00,,,0.4552,0.44,,506.11M,507.09M,0.3425,,AOR,
2010-03,3.573B,3.573B,1.688B,1.885B,,-12.00M,42.00M,116.00M,38.00M,-78.00M,,939.00M,946.00M,38.00M,116.00M,-78.00M,-9.00M,-78.00M,859.00M,361.00M,498.00M,-7.00M,,,491.00M,505.80M,1.207B,232.00M,975.00M,,0.99,-0.02,,,1.005,0.97,,0.99,-0.02,,,1.005,0.97,,505.95M,507.15M,0.3425,,AOR,Restated
2009-12,2.515B,2.515B,1.057B,1.458B,,-229.00M,33.00M,114.00M,,113.00M,,830.00M,628.00M,,114.00M,113.00M,-229.00M,113.00M,512.00M,161.00M,351.00M,,,,349.00M,507.99M,811.00M,116.00M,626.00M,,0.70,0.00,,,1.010,0.70,,0.69,0.00,,,0.9994,0.69,,505.99M,507.38M,0.3325,,AOR,Restated
2009-09,3.04B,3.04B,1.241B,1.799B,,24.00M,30.00M,129.00M,,-129.00M,621.00M,875.00M,924.00M,,129.00M,-129.00M,30.00M,-129.00M,825.00M,337.00M,488.00M,,,,488.00M,472.40M,1.209B,255.00M,954.00M,,0.96,0.00,,,0.9292,0.96,,0.96,0.00,,,0.9292,0.96,,505.98M,507.24M,0.3325,,AOR,Restated
2009-06,2.56B,2.56B,1.067B,1.493B,,46.00M,26.00M,133.00M,,-133.00M,627.00M,856.00M,637.00M,,133.00M,-133.00M,47.00M,-133.00M,551.00M,240.00M,311.00M,,,,311.00M,281.10M,915.00M,231.00M,684.00M,,0.61,0.00,,,0.5509,0.61,,0.61,0.00,,,0.5510,0.61,,505.99M,506.94M,0.3325,,AOR,Restated
2009-03,3.92B,3.92B,2.068B,1.852B,,-44.00M,44.00M,145.00M,,-145.00M,674.00M,925.00M,927.00M,,145.00M,-145.00M,-34.00M,-145.00M,748.00M,304.00M,444.00M,,,,444.00M,472.60M,1.129B,236.00M,893.00M,,0.88,0.00,,,0.9365,0.88,,0.88,0.00,,,0.9365,0.88,,505.99M,506.55M,0.3325,,AOR,Restated
2008-12,2.549B,2.549B,1.248B,1.301B,,-522.00M,35.00M,118.00M,,289.00M,,771.00M,530.00M,,118.00M,289.00M,-539.00M,289.00M,280.00M,108.00M,172.00M,62.00M,,,234.00M,492.66M,592.00M,194.00M,398.00M,,0.34,0.12,,,0.9736,0.46,,0.34,0.12,,,0.9724,0.46,,506.07M,507.04M,0.3225,,,Restated
2008-09,3.718B,3.718B,1.899B,1.819B,,-14.00M,31.00M,149.00M,,-149.00M,609.00M,854.00M,965.00M,,149.00M,-149.00M,-6.00M,-149.00M,810.00M,334.00M,476.00M,180.00M,,,656.00M,485.10M,1.173B,164.00M,959.00M,,0.94,0.35,,,0.9579,1.29,,0.94,0.35,,,0.9579,1.29,,507.72M,508.33M,0.3225,,,Restated
2008-06,2.55B,2.55B,1.535B,1.015B,,9.00M,27.00M,146.00M,,-146.00M,620.00M,838.00M,177.00M,,146.00M,-146.00M,16.00M,-146.00M,47.00M,213.00M,-166.00M,16.00M,,,-150.00M,-171.85M,411.00M,218.00M,193.00M,,-0.32,0.03,,,-0.3315,-0.29,,-0.32,0.03,,,-0.3315,-0.29,,508.49M,509.49M,0.3225,,,Restated
2008-03,3.792B,3.792B,2.119B,1.673B,,-2.00M,43.00M,153.00M,,-153.00M,627.00M,862.00M,811.00M,,153.00M,-153.00M,10.00M,-153.00M,668.00M,233.00M,435.00M,13.00M,,,448.00M,436.30M,1.038B,217.00M,821.00M,,0.86,0.02,,,0.8626,0.88,,0.85,0.02,,,0.8526,0.88,,508.49M,510.11M,0.3225,,,Restated
2007-12,2.965B,2.965B,1.422B,1.543B,,-48.00M,35.00M,,,,696.00M,911.00M,632.00M,,,,-48.00M,,502.00M,310.00M,192.00M,33.00M,,,225.00M,223.20M,850.00M,218.00M,632.00M,,0.385,0.055,,,0.4463,0.44,,0.38,0.055,,,0.4410,0.435,,508.62M,511.35M,0.2925,,,
2007-09,3.475B,3.475B,1.674B,1.801B,,35.00M,31.00M,,,,588.00M,832.00M,969.00M,,,,35.00M,,814.00M,314.00M,500.00M,6.00M,,,506.00M,478.50M,1.208B,239.00M,969.00M,,0.985,0.01,,,0.9427,0.995,,0.985,0.01,,,0.9428,0.995,,508.54M,509.09M,0.2925,,,
2007-06,2.81B,2.81B,1.389B,1.421B,,48.00M,30.00M,,,,592.00M,817.00M,604.00M,,,,48.00M,,467.00M,174.00M,293.00M,-18.00M,,,275.00M,262.88M,823.00M,219.00M,604.00M,,0.58,-0.035,,,0.5206,0.545,,0.575,-0.035,,,0.5157,0.54,,507.26M,508.07M,0.2925,,,
2007-03,3.508B,3.508B,1.977B,1.531B,,40.00M,43.00M,,,,595.00M,830.00M,701.00M,,,,40.00M,,581.00M,260.00M,321.00M,8.00M,,,329.00M,295.00M,922.00M,221.00M,701.00M,,0.63,0.02,,,0.5786,0.65,,0.63,0.02,,,0.5787,0.65,,505.78M,506.71M,0.2925,,,
2006-12,2.476B,2.476B,1.33B,1.146B,,-23.00M,33.00M,,,,594.00M,809.00M,337.00M,,,,-23.00M,,182.00M,72.00M,110.00M,-157.00M,,,-47.00M,123.90M,566.00M,229.00M,337.00M,,0.22,-0.31,,,0.2475,-0.09,,0.21,-0.31,,,0.2375,-0.10,,504.60M,505.55M,0.285,,,
2006-09,3.297B,3.297B,1.74B,1.557B,,37.00M,32.00M,,,,533.00M,793.00M,764.00M,,,,37.00M,,601.00M,229.00M,372.00M,2.00M,,,374.00M,349.10M,1.023B,259.00M,764.00M,,0.735,0.005,,,0.6895,0.74,,0.735,0.005,,,0.6896,0.74,,503.49M,504.66M,0.285,,,
2006-06,2.542B,2.542B,1.338B,1.204B,,65.00M,27.00M,,,,839.00M,1.067B,137.00M,,,,65.00M,,4.00M,12.00M,-8.00M,217.00M,,,209.00M,-47.00M,366.00M,229.00M,137.00M,,-0.015,0.43,,,-0.0925,0.415,,-0.015,0.43,,,-0.0924,0.415,,502.95M,504.17M,0.285,,,
2006-03,3.461B,3.461B,2.146B,1.315B,,56.00M,41.00M,,,,578.00M,820.00M,495.00M,,,,56.00M,,357.00M,149.00M,208.00M,-5.00M,,,203.00M,174.40M,725.00M,230.00M,495.00M,,0.415,-0.01,,,0.3481,0.405,,0.415,-0.01,,,0.3484,0.405,,502.37M,504.13M,0.285,,,
2005-12,2.909B,2.909B,1.738B,1.171B,,6.00M,36.00M,,,,563.00M,751.00M,420.00M,,,,6.00M,,334.00M,137.00M,197.00M,25.00M,,,205.00M,193.40M,640.00M,220.00M,420.00M,,0.40,0.025,,,0.3927,0.425,,0.395,0.025,,,0.3877,0.415,,490.20M,495.98M,0.28,,,
2005-09,3.324B,3.324B,1.979B,1.345B,,91.00M,34.00M,,,,537.00M,775.00M,570.00M,,,,91.00M,,452.00M,183.00M,269.00M,-16.00M,,,253.00M,214.40M,801.00M,231.00M,570.00M,,0.56,-0.03,,,0.4458,0.53,,0.55,-0.035,,,0.4382,0.515,,478.07M,488.57M,0.28,,,
2005-06,2.377B,2.377B,1.316B,1.061B,,42.00M,28.00M,,,,553.00M,755.00M,306.00M,,,,42.00M,,149.00M,58.00M,91.00M,-173.00M,,,-82.00M,65.35M,504.00M,198.00M,306.00M,,0.19,-0.36,,,0.1363,-0.17,,0.19,-0.36,,,0.1372,-0.17,,477.46M,486.04M,0.28,,,
2005-03,3.244B,3.244B,1.849B,1.395B,,60.00M,43.00M,,,,576.00M,803.00M,592.00M,,,,60.00M,,451.00M,171.00M,280.00M,5.00M,,-1.00M,285.00M,242.75M,804.00M,212.00M,592.00M,,0.59,0.01,,,0.5118,0.60,,0.58,0.01,,,0.5031,0.59,,476.63M,484.38M,0.28,,,
2004-12,2.348B,2.348B,1.326B,1.022B,,59.00M,36.00M,,,,543.00M,737.00M,285.00M,,,,59.00M,,196.00M,62.00M,134.00M,-47.00M,,,87.00M,93.66M,496.00M,211.00M,285.00M,,0.175,0.005,,,0.0906,0.18,,0.17,0.005,,,0.0865,0.175,,477.70M,483.23M,0.275,,,
2004-09,2.749B,2.749B,1.418B,1.331B,,53.00M,30.00M,,,,527.00M,747.00M,584.00M,,,,53.00M,,429.00M,177.00M,252.00M,-8.00M,,,244.00M,220.20M,796.00M,212.00M,584.00M,,0.53,-0.015,,,0.4630,0.515,,0.53,-0.015,,,0.4631,0.515,,474.54M,475.46M,0.275,,,
2004-06,2.285B,2.285B,1.25B,1.035B,,87.00M,28.00M,,,,534.00M,729.00M,306.00M,,,,87.00M,,184.00M,57.00M,127.00M,-3.00M,,,124.00M,66.95M,485.00M,179.00M,306.00M,,0.265,-0.005,,,0.1382,0.26,,0.265,-0.005,,,0.1388,0.26,,473.41M,476.00M,0.275,,,
2004-03,3.225B,3.225B,1.827B,1.398B,,39.00M,45.00M,,,,545.00M,762.00M,636.00M,,,,39.00M,,451.00M,180.00M,271.00M,,,-1.00M,271.00M,247.57M,833.00M,197.00M,636.00M,,0.575,0.00,,,0.5254,0.575,,0.57,0.00,,,0.5209,0.57,,472.39M,477.70M,0.275,,,
2003-12,2.671B,2.671B,1.464B,1.207B,,63.00M,35.00M,,,,593.00M,795.00M,412.00M,,,,63.00M,,253.00M,89.00M,164.00M,-25.00M,0.00,,139.00M,123.16M,600.00M,188.00M,412.00M,,0.235,0.045,0.00,0.0004,0.1484,0.28,,0.23,0.045,-0.0088,0.0004,0.1434,0.28,,471.41M,471.41M,0.27,,,
