,OperatingRevenue,Revenue,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2013-09,2.255B,2.255B,,,20.77M,-20.77M,-4.074M,-4.074M,20.77M,-20.77M,,-20.77M,193.97M,65.18M,128.79M,,,,128.79M,128.79M,,214.74M,,1.70,,,1.70,1.70,,1.68,,,1.68,1.68,,75.54M,76.46M,0.25,,AOR,Restated
2013-06,2.234B,2.234B,,,21.52M,-21.52M,-4.072M,-4.072M,21.52M,-21.52M,,-21.52M,210.77M,77.24M,133.52M,,,,133.52M,133.52M,,232.29M,,1.72,,,1.72,1.72,,1.70,,,1.70,1.70,,77.51M,78.37M,0.25,,AOR,Restated
2013-03,2.147B,2.147B,,,15.08M,-15.08M,-4.092M,-4.092M,15.08M,-15.08M,,-15.08M,206.42M,88.64M,117.78M,,,,117.78M,117.78M,,221.50M,,1.47,,,1.47,1.47,,1.46,,,1.46,1.46,,79.98M,80.95M,0.21,,AOR,Restated
2012-12,2.156B,2.156B,,,15.08M,-15.08M,-4.596M,-4.596M,15.08M,-15.08M,,-15.08M,34.82M,9.836M,24.99M,,,,24.99M,24.99M,,49.90M,,0.31,,,0.31,0.31,,0.31,,,0.31,0.31,,79.94M,81.43M,0.21,,AOR,Restated
2012-09,2.140B,2.140B,,,15.08M,-15.08M,-4.60M,-4.60M,15.08M,-15.08M,,-15.08M,208.62M,82.33M,126.29M,,,,126.29M,126.29M,,223.70M,,1.54,,,1.54,1.54,,1.52,,,1.52,1.52,,82.16M,82.96M,0.21,,AOR,Restated
2012-06,2.125B,2.125B,,,15.07M,-15.07M,-4.596M,-4.596M,15.07M,-15.07M,,-15.07M,264.66M,95.49M,169.17M,,,,169.17M,169.17M,,279.74M,,1.96,,,1.96,1.96,,1.94,,,1.94,1.94,,86.28M,87.04M,0.21,,AOR,Restated
2012-03,2.068B,2.068B,,,15.08M,-15.08M,-4.621M,-4.621M,15.08M,-15.08M,,-15.08M,249.65M,86.39M,163.26M,,,,163.26M,163.26M,,264.72M,,1.84,,,1.84,1.84,,1.81,,,1.81,1.81,,88.77M,90.07M,0.18,,AOR,Restated
2011-12,2.091B,2.091B,,,15.08M,-15.08M,-1.018B,-1.018B,15.08M,-15.08M,,-15.08M,248.64M,89.48M,159.15M,,,,159.15M,159.15M,,263.71M,,1.71,,,1.71,1.71,,1.67,,,1.67,1.67,,92.31M,94.30M,0.18,,AOR,Restated
2011-09,2.062B,2.062B,596.11M,,15.08M,-15.08M,340.67M,936.78M,15.08M,-15.08M,106.58M,-15.08M,112.42M,38.39M,74.04M,,,,74.04M,74.04M,,127.50M,,0.78,0.00,,0.78,0.78,,0.77,0.00,,0.77,0.77,,95.35M,96.30M,0.18,,AOR,Restated
2011-06,2.063B,2.063B,598.73M,,15.08M,-15.08M,331.60M,930.33M,15.08M,-15.08M,99.58M,-15.08M,130.64M,-34.37M,165.02M,,,,165.02M,165.02M,,145.72M,,1.69,0.00,,1.69,1.69,,1.67,0.00,,1.67,1.67,,97.71M,98.69M,0.18,,AOR,Restated
2011-03,2.037B,2.037B,588.55M,,15.13M,-15.13M,325.54M,914.09M,15.13M,-15.13M,93.88M,-15.13M,214.43M,73.68M,140.75M,,,,140.75M,140.75M,,229.56M,,1.39,0.00,,1.39,1.39,,1.38,0.00,,1.38,1.38,,101.19M,101.97M,0.16,,AOR,Restated
2010-12,2.106B,2.106B,634.67M,,15.16M,-15.16M,377.09M,1.012B,15.16M,-15.16M,84.66M,-15.16M,-122.11M,62.28M,-184.39M,,,,-184.39M,-184.39M,,-106.95M,,-1.61,0.00,,-1.61,-1.61,,-1.61,0.00,,-1.61,-1.61,,106.12M,107.52M,0.16,,AOR,Restated
2010-09,2.114B,2.114B,581.97M,,15.16M,-15.16M,376.85M,958.82M,15.16M,-15.16M,99.24M,-15.16M,226.73M,85.06M,141.67M,,,,141.67M,141.67M,,241.89M,,1.31,0.00,,1.31,1.31,,1.30,0.00,,1.30,1.30,,107.81M,108.58M,0.16,,AOR,
2010-06,2.140B,2.140B,604.24M,,15.16M,-15.16M,362.12M,966.36M,15.16M,-15.16M,90.03M,-15.16M,253.46M,88.78M,164.68M,,,,164.68M,164.68M,,268.62M,,1.47,0.00,,1.47,1.47,,1.46,0.00,,1.46,1.46,,111.89M,112.72M,0.16,,AOR,Restated
2010-03,2.168B,2.168B,571.15M,,15.16M,-15.16M,405.18M,976.33M,15.16M,-15.16M,76.64M,-15.16M,248.37M,91.14M,157.22M,,,,157.22M,157.22M,,263.53M,,1.35,0.00,,1.35,1.35,,1.34,0.00,,1.34,1.34,,116.82M,117.19M,0.15,,AOR,Restated
2009-12,2.182B,2.182B,620.52M,,15.16M,-15.16M,425.21M,1.046B,15.16M,-15.16M,73.31M,-15.16M,61.16M,49.21M,11.94M,,,,11.94M,11.94M,,76.32M,,0.11,0.00,,0.11,0.11,,0.09,0.00,,0.09,0.09,,117.58M,119.20M,0.15,,AOR,Restated
2009-09,2.157B,2.157B,601.12M,,15.16M,-15.16M,390.38M,991.50M,15.16M,-15.16M,89.33M,-15.16M,209.07M,64.34M,144.73M,,,,144.73M,144.73M,,224.23M,,1.22,0.00,,1.22,1.22,,1.22,0.00,,1.22,1.22,,118.18M,118.29M,0.15,,AOR,Restated
2009-06,2.274B,2.274B,589.04M,,15.16M,-15.16M,398.49M,987.53M,15.16M,-15.16M,222.20M,-15.16M,281.52M,88.20M,193.32M,,,,193.32M,193.32M,,296.68M,,1.63,0.00,,1.63,1.63,,1.63,0.00,,1.63,1.63,,118.48M,118.73M,0.15,,AOR,Restated
2009-03,2.088B,2.088B,566.68M,,15.19M,-15.19M,387.79M,954.48M,15.19M,-15.19M,83.71M,-15.19M,157.87M,77.29M,80.58M,,,,80.58M,80.58M,,173.06M,,0.68,0.00,,0.68,0.68,,0.68,0.00,,0.68,0.68,,117.89M,117.97M,0.14,,AOR,Restated
2008-12,2.221B,2.221B,606.92M,,15.19M,-15.19M,418.62M,1.026B,15.19M,-15.19M,77.71M,-15.19M,191.46M,9.015M,182.44M,,,,182.44M,182.44M,,206.64M,,1.54,0.00,,1.54,1.54,,1.54,0.00,,1.54,1.54,,117.63M,118.07M,0.14,,AOR,Restated
2008-09,1.955B,1.955B,585.05M,,15.19M,-15.19M,422.77M,1.008B,15.19M,-15.19M,69.91M,-15.19M,-163.52M,-52.09M,-111.43M,,,,-111.43M,-111.43M,,-148.33M,,-0.94,0.00,,-0.94,-0.94,,-0.94,0.00,,-0.94,-0.94,,117.99M,117.99M,0.14,,AOR,Restated
2008-06,2.249B,2.249B,560.76M,,15.29M,-15.29M,425.09M,985.85M,15.29M,-15.29M,79.28M,-15.29M,249.41M,59.46M,189.95M,,,,189.95M,189.95M,,264.70M,,1.61,0.00,,1.61,1.61,,1.59,0.00,,1.59,1.59,,118.31M,119.64M,0.14,,AOR,Restated
2008-03,2.177B,2.177B,533.44M,,15.29M,-15.29M,405.21M,938.65M,15.29M,-15.29M,73.90M,-15.29M,285.93M,99.10M,186.83M,,,,186.83M,186.83M,,301.22M,,1.58,0.00,,1.58,1.58,,1.56,0.00,,1.56,1.56,,118.10M,119.39M,0.12,,AOR,Restated
2007-12,2.183B,2.183B,590.32M,,15.30M,-15.30M,395.22M,985.54M,15.30M,-15.30M,72.74M,-15.30M,196.90M,76.08M,120.82M,,,,120.82M,120.82M,,212.20M,,1.03,0.00,,1.03,1.03,,1.01,0.00,,1.01,1.01,,117.74M,119.56M,0.12,,AOR,Restated
2007-09,2.148B,2.148B,553.46M,,15.29M,-15.29M,359.76M,913.21M,15.29M,-15.29M,65.53M,-15.29M,284.14M,96.95M,187.19M,,,,187.19M,187.19M,,299.43M,,1.58,0.00,,1.58,1.58,,1.56,0.00,,1.56,1.56,,118.45M,119.74M,0.12,,AOR,Restated
2007-06,2.065B,2.065B,539.86M,,15.30M,-15.30M,355.04M,894.90M,15.30M,-15.30M,70.58M,-15.30M,252.47M,86.19M,166.28M,,,,166.28M,166.28M,,267.77M,,1.38,0.00,,1.38,1.38,,1.36,0.00,,1.36,1.36,,120.66M,122.49M,0.12,,AOR,Restated
2007-03,2.057B,2.057B,555.21M,,15.30M,-15.30M,,555.21M,15.30M,-15.30M,75.29M,-15.30M,277.52M,98.06M,179.46M,,,,179.46M,179.46M,,292.82M,,1.47,0.00,,1.47,1.47,,1.45,0.00,,1.45,1.45,,122.15M,124.11M,0.10,,AOR,Restated
2006-12,2.208B,2.208B,600.65M,,15.31M,-15.31M,,600.65M,15.31M,-15.31M,139.74M,-15.31M,390.18M,137.68M,252.51M,0.00,,,252.51M,252.51M,,405.49M,,2.03,0.00,0.00,2.03,2.03,,1.99,0.00,0.0001,1.99,1.99,,123.15M,125.62M,0.10,,AOR,Restated
2006-09,1.984B,1.984B,551.04M,,15.31M,-15.31M,,551.04M,15.31M,-15.31M,88.44M,-15.31M,231.04M,79.74M,151.30M,0.00,,,151.30M,151.30M,,246.35M,,1.20,0.00,0.00,1.20,1.20,,1.18,0.00,0.00,1.18,1.18,,125.79M,127.77M,0.10,,AOR,Restated
2006-06,1.949B,1.949B,542.63M,,15.32M,-15.32M,,542.63M,15.32M,-15.32M,81.06M,-15.32M,232.16M,81.03M,151.14M,0.00,,,151.14M,151.14M,,247.48M,,1.18,0.00,0.00,1.18,1.18,,1.16,0.00,0.00,1.16,1.16,,128.49M,130.33M,0.10,,AOR,Restated
2006-03,1.930B,1.930B,497.05M,,15.32M,-15.32M,,497.05M,15.32M,-15.32M,69.02M,-15.32M,242.36M,81.43M,160.92M,1.547M,,,162.47M,160.92M,,257.67M,,1.24,0.01,0.00,1.24,1.25,,1.22,0.01,0.0117,1.22,1.23,,130.00M,132.00M,0.08,,AOR,Restated
2005-12,1.882B,1.882B,600.78M,,15.32M,-15.32M,,600.78M,15.32M,-15.32M,74.54M,-15.32M,149.41M,12.37M,137.05M,0.00,,,137.05M,137.05M,,164.73M,,1.04,0.00,0.00,1.04,1.04,,1.03,0.00,0.00,1.03,1.03,,131.01M,131.64M,0.08,,AOR,Restated
2005-09,1.879B,1.879B,516.38M,,15.32M,-15.32M,,516.38M,15.32M,-15.32M,71.12M,-15.32M,141.37M,41.09M,100.29M,0.00,,,100.29M,100.29M,,156.69M,,0.74,0.00,0.00,0.74,0.74,,0.74,0.00,0.00,0.74,0.74,,134.71M,136.18M,0.08,,AOR,Restated
2005-06,1.874B,1.874B,519.78M,,15.31M,-15.31M,,519.78M,15.31M,-15.31M,69.97M,-15.31M,188.10M,60.48M,127.62M,0.00,,,127.62M,127.62M,,203.41M,,0.93,0.00,0.00,0.93,0.93,,0.92,0.00,0.00,0.92,0.92,,137.70M,139.02M,0.08,,AOR,Restated
2005-03,1.862B,1.862B,511.35M,,15.31M,-15.31M,,511.35M,15.31M,-15.31M,65.77M,-15.31M,176.72M,62.32M,114.40M,0.00,,,114.40M,114.40M,,192.04M,,0.82,0.00,0.00,0.82,0.82,,0.82,0.00,0.00,0.82,0.82,,139.74M,139.83M,0.07,,AOR,Restated
2004-12,1.878B,1.878B,603.53M,,15.31M,-15.31M,3.830B,4.433B,15.31M,-15.31M,74.36M,-15.31M,139.87M,53.74M,86.13M,,,,86.13M,86.13M,,155.18M,,0.61,0.00,,0.61,0.61,,0.61,0.00,,0.61,0.61,,139.98M,140.21M,0.07,,AOR,Restated
2004-09,1.834B,1.834B,518.46M,,15.11M,-15.11M,,518.46M,15.11M,-15.11M,67.46M,-15.11M,109.25M,34.41M,74.84M,,,,74.84M,74.84M,,124.36M,,0.53,0.00,,0.53,0.53,,0.53,0.00,,0.53,0.53,,141.69M,141.79M,0.07,,AOR,Restated
2004-06,1.839B,1.839B,496.12M,,15.83M,-15.83M,,496.12M,15.83M,-15.83M,60.34M,-15.83M,144.04M,48.83M,95.21M,,,,95.21M,95.21M,,159.88M,,0.67,0.00,,0.67,0.67,,0.67,0.00,,0.67,0.67,,142.20M,142.22M,0.07,,AOR,Restated
2004-03,1.860B,1.860B,538.59M,,10.16M,-10.16M,2.163M,540.76M,10.16M,-10.16M,66.62M,-10.16M,142.76M,48.38M,94.38M,,,,94.38M,94.38M,,152.92M,,0.73,0.00,,0.73,0.73,,0.73,0.00,,0.73,0.73,,129.52M,129.52M,,,AOR,Restated
2003-12,1.846B,1.846B,597.70M,,,-1.175M,3.888B,4.486B,,-1.175M,85.27M,-1.175M,-134.39M,-56.76M,-77.63M,,,,-77.63M,-77.63M,,-134.39M,,-0.71,0.00,,-0.71,-0.71,,-0.71,0.00,,-0.71,-0.71,,109.22M,109.22M,,,AOR,Restated
2003-09,1.776B,1.776B,488.35M,,,0.00,29.29M,517.64M,,0.00,71.05M,0.00,145.78M,46.38M,99.40M,,,,99.40M,99.40M,,145.78M,,0.91,0.00,,0.91,0.91,,0.91,0.00,,0.91,0.91,,109.22M,109.22M,,,AOR,
2003-06,1.723B,1.723B,433.55M,,,0.00,28.94M,462.48M,,0.00,71.72M,0.00,137.61M,46.96M,90.65M,,,,90.65M,90.65M,,137.61M,,0.83,0.00,,0.83,0.83,,0.83,0.00,,0.83,0.83,,109.22M,109.22M,,,AOR,
2003-03,1.732B,1.732B,563.82M,,,0.00,29.63M,593.45M,,0.00,82.23M,0.00,110.37M,37.13M,73.24M,,,,73.24M,73.24M,,110.37M,,0.67,0.00,,0.67,0.67,,0.67,0.00,,0.67,0.67,,109.22M,109.22M,,,AOR,
