,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,992.80M,9.999B,10.99B,11.86B,,11.98B,22.97B,358.40M,916.00M,332.90M,1.249B,685.00M,10.40B,,13.44B,32.41B,,7.708B,,,7.708B,7.708B,,,,,,7.708B,1.068B,,1.068B,,148.50M,148.50M,142.70M,,,6.963B,,,8.322B,28.27B,,1.50M,5.415B,3.187B,4.721B,,256.40M,4.138B,,AOR,Restated
2017-06,848.20M,9.778B,10.63B,10.29B,,10.33B,20.95B,355.50M,905.50M,344.70M,1.250B,661.70M,10.19B,,12.89B,30.06B,,5.599B,,,5.599B,5.599B,,,,,,5.599B,1.137B,,1.137B,,170.10M,170.10M,153.40M,,,6.718B,,,8.178B,25.83B,,1.50M,5.501B,3.172B,4.687B,,236.90M,4.225B,,AOR,Restated
2017-03,874.50M,9.720B,10.60B,10.11B,,10.12B,20.72B,348.80M,894.50M,360.10M,1.255B,641.20M,10.14B,,12.74B,29.57B,,5.503B,,,5.503B,5.503B,,,,,,5.503B,1.067B,,1.067B,,194.10M,194.10M,128.70M,,,6.602B,,,7.992B,25.41B,,1.50M,5.411B,3.174B,4.575B,,148.30M,4.159B,,AOR,Restated
2016-12,1.032B,9.800B,10.83B,10.19B,145.60M,10.32B,21.15B,343.60M,830.90M,272.40M,1.103B,624.00M,10.22B,,12.65B,29.71B,,5.768B,,,5.768B,5.768B,,,,,,5.768B,1.067B,,1.067B,,232.20M,232.20M,111.70M,,,6.626B,,,8.037B,25.61B,,1.50M,5.297B,3.176B,4.471B,,94.60M,4.098B,,AOR,Restated
2016-09,1.117B,10.32B,11.43B,10.37B,,10.37B,21.81B,337.10M,839.68M,297.63M,1.137B,635.18M,10.77B,,13.27B,30.28B,,5.906B,57.08M,,5.963B,5.963B,,,,,,5.963B,1.166B,,1.166B,,318.41M,318.41M,106.92M,,,6.443B,,,8.034B,25.78B,,1.503M,5.296B,3.168B,4.289B,,328.11M,4.505B,,AOR,Restated
2016-06,1.233B,10.24B,11.48B,9.946B,,9.946B,21.42B,327.86M,834.17M,287.05M,1.121B,660.53M,10.68B,,13.17B,29.80B,,5.644B,81.30M,,5.725B,5.725B,,,,,,5.725B,1.165B,,1.165B,,439.27M,439.27M,105.48M,,,6.298B,,,8.008B,25.20B,,1.502M,5.181B,3.151B,4.053B,,327.25M,4.608B,,AOR,Restated
2016-03,2.061B,9.489B,11.55B,10.02B,,10.02B,21.57B,312.32M,839.77M,313.08M,1.153B,913.32M,9.893B,,12.67B,30.29B,,5.633B,258.09M,,5.891B,5.891B,,,,,,5.891B,1.415B,,1.415B,,564.12M,564.12M,101.40M,,,6.309B,,,8.389B,25.72B,,1.50M,5.045B,3.153B,3.860B,,225.24M,4.565B,,AOR,Restated
2015-12,1.288B,10.72B,12.01B,8.563B,196.28M,8.755B,20.77B,298.41M,833.51M,318.32M,1.152B,1.195B,11.22B,,14.34B,30.04B,,6.473B,,,6.473B,6.473B,,,,,,6.473B,1.165B,,1.165B,,92.33M,92.33M,94.42M,,,6.424B,,,7.775B,25.51B,,1.497M,4.857B,3.148B,3.601B,,118.55M,4.524B,,AOR,Restated
2015-09,1.544B,11.06B,12.61B,8.554B,,8.584B,21.19B,286.75M,841.18M,344.72M,1.186B,1.278B,11.58B,,14.80B,30.59B,,6.826B,,,6.826B,6.826B,,,,,,6.826B,1.171B,,1.171B,,91.07M,91.07M,93.74M,,,6.449B,,,7.805B,25.90B,,1.497M,4.824B,3.139B,3.527B,,246.04M,4.684B,,AOR,Restated
2015-06,1.297B,11.19B,12.49B,8.803B,,8.803B,21.29B,289.42M,842.20M,373.95M,1.216B,1.312B,11.71B,,14.93B,30.84B,,6.691B,26.94M,,6.718B,6.718B,,,,,,6.718B,1.171B,,1.171B,,94.32M,94.32M,95.63M,,,6.430B,,,7.791B,26.01B,,1.496M,4.852B,3.127B,3.500B,,348.42M,4.828B,,AOR,Restated
2015-03,1.065B,11.63B,12.70B,8.779B,,8.779B,21.48B,286.19M,828.56M,374.80M,1.203B,1.302B,12.17B,,15.35B,30.80B,,6.581B,31.19M,,6.612B,6.612B,,,,,,6.612B,1.171B,,1.171B,,97.56M,97.56M,87.15M,,,6.259B,,,7.615B,25.67B,,1.493M,4.840B,3.135B,3.398B,,549.00M,5.128B,,AOR,Restated
2014-12,1.319B,11.61B,12.93B,8.530B,201.76M,8.715B,21.64B,277.64M,841.24M,427.42M,1.269B,1.321B,12.11B,,15.82B,31.56B,,7.019B,,,7.019B,7.019B,,,,,,7.019B,1.171B,,1.171B,,100.82M,100.82M,75.16M,,,6.530B,,,7.877B,26.38B,,1.49M,4.809B,3.131B,3.317B,,555.77M,5.181B,,AOR,Restated
2014-09,1.411B,12.09B,13.50B,7.490B,,7.490B,20.99B,274.42M,816.82M,416.51M,1.233B,1.302B,12.61B,,15.78B,30.67B,,6.079B,24.59M,,6.104B,6.104B,,,,,,6.104B,1.171B,,1.171B,323.07M,88.36M,411.44M,78.71M,,,6.784B,,,8.445B,25.33B,,1.49M,4.779B,3.118B,3.215B,,659.75M,5.343B,,AOR,Restated
2014-06,1.399B,12.17B,13.57B,7.297B,,7.345B,20.92B,262.12M,804.88M,419.83M,1.225B,1.298B,12.66B,,15.82B,30.62B,,6.087B,0.00,,6.087B,6.087B,,,,,,6.087B,1.171B,,1.171B,324.92M,92.01M,416.93M,78.71M,,,6.691B,,,8.357B,25.27B,,1.489M,4.658B,3.104B,3.178B,,764.07M,5.350B,,AOR,Restated
2014-03,1.106B,12.16B,13.27B,6.954B,,6.954B,20.22B,255.51M,785.45M,396.73M,1.182B,1.308B,12.62B,,15.69B,29.67B,,5.664B,14.90M,,5.679B,5.679B,,,,,,5.679B,1.171B,,1.171B,251.64M,95.65M,347.29M,79.37M,,,6.611B,,,8.208B,24.57B,,1.486M,4.535B,3.096B,3.119B,,583.48M,5.096B,,AOR,Restated
2013-12,1.717B,11.76B,13.48B,6.694B,175.36M,6.832B,20.31B,253.63M,784.56M,408.18M,1.193B,1.339B,12.22B,,15.26B,29.71B,,5.717B,3.371M,,5.721B,5.721B,,,,,,5.721B,1.638B,,1.638B,,99.31M,99.31M,76.78M,,,6.663B,,,8.477B,24.88B,,1.482M,4.416B,3.088B,3.098B,,426.83M,4.833B,,AOR,Restated
2013-09,1.287B,12.42B,13.71B,6.668B,,6.668B,20.37B,253.87M,672.23M,349.70M,1.022B,1.320B,12.88B,,15.62B,29.35B,,5.656B,20.96M,,5.677B,5.677B,,,,,,5.677B,1.638B,,1.638B,44.88M,103.38M,148.26M,70.88M,,,6.455B,,,8.313B,24.57B,,1.482M,4.325B,3.075B,3.006B,,386.31M,4.783B,,AOR,Restated
2013-06,1.270B,12.19B,13.47B,6.567B,,6.567B,20.03B,250.56M,638.98M,329.53M,968.50M,1.318B,12.65B,,15.32B,28.73B,,5.417B,33.63M,,5.450B,5.450B,,,,,,5.450B,1.647B,,1.647B,32.92M,107.46M,140.37M,58.85M,,,6.233B,,,8.079B,23.93B,,1.48M,4.215B,3.059B,2.901B,,420.51M,4.796B,,AOR,Restated
2013-03,1.605B,12.38B,13.99B,6.757B,,6.767B,20.75B,250.48M,638.62M,356.04M,994.67M,1.343B,12.86B,,15.57B,29.48B,,5.665B,,,5.665B,5.665B,,,,,,5.665B,1.671B,,1.671B,179.50M,111.53M,291.03M,60.90M,,,6.174B,,,8.197B,24.27B,,1.478M,4.102B,3.052B,2.727B,,778.03M,5.207B,,AOR,Restated
2012-12,909.40M,12.47B,13.38B,6.860B,143.25M,7.005B,20.39B,250.80M,640.71M,325.10M,965.82M,1.365B,12.95B,,15.63B,28.95B,,5.918B,0.00,,5.918B,5.918B,,,,,,5.918B,972.40M,,972.40M,161.29M,115.62M,276.91M,61.41M,,,6.192B,,,7.503B,23.76B,,1.474M,4.001B,3.052B,2.700B,,830.40M,5.185B,,AOR,Restated
2012-09,1.073B,251.50M,1.324B,760.68M,,809.80M,2.134B,246.97M,640.93M,334.30M,975.24M,1.356B,12.74B,0.00,15.44B,28.17B,,1.722B,0.00,3.643B,5.365B,5.365B,,,,120.22M,120.22M,5.485B,972.37M,,972.37M,183.56M,,183.56M,,94.02M,,5.897B,,,7.147B,22.94B,,1.473M,3.993B,3.043B,2.667B,,858.86M,5.230B,,AOR,Restated
2012-06,1.107B,504.92M,1.612B,685.82M,,695.81M,2.308B,241.72M,639.52M,346.41M,985.93M,1.356B,12.12B,0.00,14.82B,27.24B,,1.518B,0.00,3.569B,5.086B,5.086B,,,,124.82M,124.82M,5.211B,972.34M,,972.34M,52.34M,,52.34M,,94.62M,,5.685B,,,6.804B,22.21B,,1.472M,3.884B,3.029B,2.557B,,676.43M,5.034B,,AOR,Restated
2012-03,1.065B,383.72M,1.449B,672.20M,,672.20M,2.121B,236.46M,640.10M,372.41M,1.013B,1.368B,12.09B,18.38M,14.83B,27.25B,,1.517B,53.70M,3.596B,5.166B,5.166B,,,,129.41M,129.41M,5.296B,972.31M,,972.31M,,,,,94.29M,,5.565B,,,6.631B,22.29B,,1.463M,3.734B,3.029B,2.397B,,597.22M,4.965B,,AOR,Restated
2011-12,1.167B,11.63B,12.80B,5.960B,127.53M,6.060B,18.86B,242.91M,639.10M,374.85M,1.014B,1.364B,12.00B,44.28M,14.74B,27.02B,,5.313B,30.43M,,5.344B,5.344B,,,,,,5.344B,972.28M,,972.28M,,134.03M,134.03M,64.41M,,,5.482B,,,6.653B,22.15B,,1.464M,3.587B,3.025B,2.297B,,557.58M,4.874B,,AOR,Restated
2011-09,1.060B,508.38M,1.568B,614.28M,,644.97M,2.213B,247.50M,639.02M,379.76M,1.019B,1.362B,11.89B,0.00,14.70B,26.77B,,1.531B,0.00,3.744B,5.275B,5.275B,,,,139.14M,139.14M,5.414B,972.25M,,972.25M,13.67M,,13.67M,,96.45M,,5.316B,,0.00,6.398B,21.76B,,1.458M,3.597B,3.016B,2.124B,,524.41M,5.014B,,AOR,Restated
2011-06,1.135B,447.01M,1.582B,612.52M,,612.52M,2.195B,254.26M,640.64M,424.55M,1.065B,1.369B,11.57B,88.59M,14.44B,26.78B,,1.500B,0.00,3.699B,5.199B,5.199B,,,,144.25M,144.25M,5.343B,972.22M,,972.22M,,,,,93.12M,,5.245B,,0.00,6.310B,21.90B,,1.457M,3.538B,3.004B,2.048B,,381.27M,4.876B,,AOR,Restated
2011-03,940.43M,435.61M,1.376B,576.09M,,576.09M,1.952B,259.46M,621.41M,385.32M,1.007B,1.383B,11.68B,24.09M,14.53B,26.70B,,1.470B,50.00M,3.646B,5.165B,5.165B,,,,149.36M,149.36M,5.315B,972.19M,,972.19M,,,,,,,5.120B,,0.00,6.092B,21.95B,,1.456M,3.390B,2.997B,1.938B,,297.02M,4.747B,,AOR,Restated
2010-12,1.151B,358.70M,1.509B,542.93M,,542.93M,2.052B,267.17M,619.78M,393.72M,1.013B,1.377B,11.44B,76.43M,14.28B,26.40B,,1.444B,41.70M,3.627B,5.112B,5.112B,,,,154.49M,154.49M,5.267B,972.16M,,972.16M,,,,,137.21M,,5.064B,,5.00M,6.178B,21.62B,,1.453M,3.264B,2.994B,1.764B,,285.52M,4.781B,,AOR,Restated
2010-06,1.004B,416.82M,1.421B,523.66M,,523.66M,1.944B,272.92M,924.43M,,924.43M,1.432B,11.54B,47.37M,14.81B,26.12B,,1.615B,39.69M,3.566B,5.221B,5.221B,,,,152.79M,152.79M,5.374B,972.11M,,972.11M,,,,,134.76M,,4.964B,,8.16M,6.079B,21.08B,,1.451M,3.341B,2.973B,1.556B,,278.15M,5.038B,,AOR,Restated
2010-03,932.54M,436.40M,1.369B,513.82M,,513.82M,1.883B,273.27M,924.83M,,924.83M,1.462B,11.44B,124.52M,14.74B,26.24B,,1.441B,121.12M,3.577B,5.139B,5.139B,,,,158.82M,158.82M,5.297B,972.08M,,972.08M,,,,,143.44M,,5.046B,,8.16M,6.169B,21.27B,,1.451M,3.194B,2.965B,1.341B,,154.04M,4.974B,,AOR,Restated
2009-12,1.319B,453.47M,1.772B,507.93M,,507.93M,2.280B,275.42M,926.40M,94.63M,1.021B,1.484B,10.93B,167.24M,14.26B,25.86B,,1.484B,30.13M,3.584B,5.099B,5.099B,,,,164.90M,164.90M,5.264B,972.06M,,972.06M,,,,,220.28M,,5.154B,,8.16M,6.354B,21.01B,,1.447M,3.054B,2.963B,1.231B,,65.92M,4.853B,,AOR,Restated
2009-09,1.236B,445.68M,1.682B,515.63M,,515.63M,2.197B,274.65M,1.009B,,1.009B,1.506B,10.91B,153.82M,14.30B,25.67B,,1.376B,43.80M,3.561B,4.981B,4.981B,,,,167.01M,167.01M,5.148B,972.03M,,972.03M,,,,,197.29M,,5.155B,,8.16M,6.332B,20.76B,,1.447M,3.060B,2.951B,1.231B,,,4.903B,,AOR,Restated
2009-06,809.18M,521.65M,1.331B,582.19M,,582.19M,1.913B,275.74M,1.009B,,1.009B,56.55M,10.38B,358.73M,12.31B,24.82B,,1.284B,55.49M,3.514B,4.853B,4.853B,,,,173.81M,173.81M,5.026B,972.01M,,972.01M,,,,,224.77M,,5.203B,,8.16M,6.408B,20.46B,,1.445M,2.933B,2.941B,1.200B,,-311.60M,4.365B,,AOR,Restated
2009-03,664.34M,664.27M,1.329B,439.53M,,439.53M,1.768B,277.29M,1.005B,,1.005B,1.553B,9.655B,530.70M,13.10B,23.82B,,1.233B,64.50M,3.471B,4.768B,4.768B,,,,180.56M,180.56M,4.949B,971.98M,,971.98M,,,,,202.62M,,5.228B,,8.16M,6.411B,20.15B,,1.445M,2.714B,2.936B,1.200B,,-782.33M,3.670B,,AOR,Restated
2008-12,1.041B,703.40M,1.744B,513.18M,,557.34M,2.301B,278.62M,1.002B,,1.002B,1.565B,9.770B,449.37M,13.15B,24.51B,,1.521B,0.00,3.536B,5.057B,5.057B,,,,187.36M,187.36M,5.245B,971.96M,,971.96M,,,,,256.51M,,5.408B,,11.16M,6.647B,20.81B,,1.443M,2.650B,2.928B,1.200B,,-670.95M,3.710B,,AOR,Restated
2008-09,1.054B,620.43M,1.674B,514.55M,,538.44M,2.213B,266.28M,840.49M,,840.49M,1.560B,10.17B,327.54M,13.34B,25.35B,,1.338B,,3.640B,4.978B,4.978B,,,,194.69M,194.69M,5.173B,971.93M,,971.93M,,,,,355.96M,,5.579B,,11.16M,6.918B,21.62B,,1.443M,2.484B,2.921B,1.200B,,-475.80M,3.732B,,AOR,Restated
2008-06,956.60M,472.22M,1.429B,528.35M,,586.72M,2.016B,270.14M,828.74M,,828.74M,1.542B,10.88B,10.35M,13.91B,26.21B,,1.307B,,3.513B,4.820B,4.820B,,,,202.07M,202.07M,5.022B,971.91M,,971.91M,,,,,510.90M,,5.532B,,11.16M,7.026B,21.96B,,1.442M,2.612B,2.912B,1.141B,,-137.77M,4.247B,,AOR,Restated
2008-03,1.021B,652.30M,1.673B,621.15M,,621.15M,2.294B,272.33M,829.04M,,829.04M,1.527B,11.07B,,19.03B,26.45B,,1.409B,94.72M,3.609B,5.113B,5.113B,,,,,,5.113B,1.493B,,1.493B,52.17M,,52.17M,,,7.178B,5.412B,11.16M,11.16M,14.15B,22.23B,,1.44M,2.439B,2.913B,1.141B,,-5.497M,4.207B,,AOR,Restated
2007-12,804.96M,410.88M,1.216B,580.38M,,606.39M,1.822B,275.78M,832.66M,,832.66M,1.491B,11.17B,0.00,14.16B,26.75B,,1.437B,,3.571B,5.008B,5.008B,,,,216.77M,216.77M,5.225B,971.86M,,971.86M,108.43M,,108.43M,,541.65M,,5.411B,,21.16M,7.054B,22.66B,,1.438M,2.269B,2.905B,1.141B,,53.91M,4.089B,,AOR,Restated
2007-09,815.15M,319.48M,1.135B,584.69M,,584.69M,1.719B,276.96M,801.71M,,801.71M,1.465B,10.92B,,18.96B,26.57B,,1.289B,27.84M,3.756B,5.073B,5.073B,,,,,,5.073B,971.83M,,971.83M,37.03M,,37.03M,,,7.164B,5.142B,,21.16M,13.34B,22.65B,,1.437M,2.162B,2.902B,1.141B,,-2.486M,3.923B,,AOR,Restated
2007-06,1.010B,263.94M,1.274B,560.54M,,560.54M,1.835B,279.75M,791.20M,,791.20M,1.415B,10.26B,,18.11B,25.77B,,1.252B,51.62M,3.746B,5.050B,5.050B,,,,,,5.050B,971.82M,,971.82M,3.677M,,3.677M,,,6.819B,4.860B,,22.16M,12.68B,21.96B,,1.436M,1.989B,2.893B,1.022B,,-48.22M,3.814B,,AOR,Restated
2007-03,759.84M,430.77M,1.191B,500.12M,,500.12M,1.691B,278.65M,790.54M,,790.54M,1.345B,10.56B,,18.32B,25.46B,,1.215B,73.99M,2.433B,3.722B,3.722B,,,,,,3.722B,971.80M,,971.80M,64.26M,,64.26M,,,6.767B,4.603B,,22.16M,12.43B,21.54B,,1.432M,1.838B,2.899B,905.42M,,88.99M,3.921B,,AOR,Restated
2006-12,987.67M,314.11M,1.302B,612.01M,,612.01M,1.914B,275.20M,790.52M,,790.52M,1.325B,10.17B,,21.03B,25.17B,,1.378B,36.23M,3.718B,5.133B,5.133B,,,,,,5.133B,1.338B,,1.338B,57.16M,,57.16M,,,6.754B,4.430B,,22.16M,12.60B,21.33B,,1.43M,1.676B,2.895B,827.96M,,88.06M,3.833B,,AOR,Restated
2006-09,647.14M,271.16M,918.29M,534.39M,1.952M,536.34M,1.455B,271.70M,805.19M,,805.19M,1.320B,10.26B,,18.21B,25.02B,,1.130B,,3.907B,5.038B,5.038B,,,,,,5.038B,971.75M,,971.75M,63.34M,,63.34M,,,6.767B,4.216B,,23.16M,12.04B,21.26B,,1.429M,1.436B,2.892B,728.52M,,158.15M,3.759B,,AOR,Restated
2006-06,663.50M,781.16M,1.445B,536.87M,,536.87M,1.982B,274.67M,805.25M,,805.25M,59.15M,10.38B,53.30M,17.72B,24.53B,,1.158B,,3.837B,4.995B,4.995B,,,,,,4.995B,971.73M,,971.73M,,,,,,6.743B,4.050B,,23.16M,11.79B,20.96B,,1.428M,1.297B,2.885B,573.41M,,-40.00M,3.570B,,AOR,Restated
2006-03,650.70M,817.94M,1.469B,514.15M,,514.15M,1.983B,268.24M,804.89M,,804.89M,60.04M,10.41B,12.95M,17.79B,24.68B,,1.092B,36.57M,3.900B,5.029B,5.029B,,,,,,5.029B,428.51M,543.20M,971.71M,,,,,,6.698B,3.907B,,23.16M,11.60B,21.03B,,1.427M,1.159B,2.881B,466.09M,,78.40M,3.654B,,AOR,Restated
2005-12,,,,,,,,,,,,,,,,25.37B,,,,,,,,,,,,,,,,,,,,,3.875B,,,24.16M,3.899B,21.67B,,,,,,,,3.700B,,AOR,Restated
2005-09,641.27M,936.55M,1.578B,481.74M,,481.74M,2.060B,275.15M,817.83M,,817.83M,1.202B,10.72B,,18.75B,25.41B,,1.133B,25.91M,4.864B,6.023B,6.023B,,,,,,6.023B,971.67M,,971.67M,69.02M,,69.02M,,,6.585B,3.662B,24.16M,24.16M,11.31B,21.72B,,1.425M,880.34M,2.853B,329.22M,,263.03M,3.666B,,AOR,Restated
2005-06,500.77M,811.45M,1.312B,427.99M,,427.99M,1.740B,273.64M,820.50M,,820.50M,1.169B,10.81B,,18.15B,24.46B,,1.109B,51.38M,3.929B,5.090B,5.090B,,,,,,5.090B,971.65M,,971.65M,90.00M,,90.00M,,,6.503B,3.494B,24.16M,24.16M,11.08B,20.59B,,1.424M,790.83M,2.839B,184.32M,,399.55M,3.843B,,AOR,Restated
2005-03,475.03M,978.88M,1.454B,459.98M,,459.98M,1.914B,278.69M,820.62M,,820.62M,64.18M,10.69B,31.76M,18.04B,24.32B,,1.209B,110.16M,4.044B,5.363B,5.363B,,,,,,5.363B,971.63M,,971.63M,,,,,,6.462B,3.382B,24.16M,24.16M,10.84B,20.66B,,1.423M,674.21M,2.792B,88.23M,,256.53M,3.636B,,AOR,Restated
2004-12,,,,,,,,277.09M,,993.72M,993.72M,1.119B,,,19.06B,24.55B,,,,,,,,,,,,,971.61M,,971.61M,,,,,,3.615B,3.354B,24.16M,24.16M,7.965B,20.89B,,1.423M,569.60M,2.790B,63.63M,,,3.635B,,AOR,Restated
2004-09,692.37M,225.85M,918.22M,4.746B,,4.746B,5.664B,270.92M,831.35M,,831.35M,1.106B,9.820B,31.38M,12.93B,23.64B,,1.309B,74.59M,4.073B,5.456B,5.456B,,,,,,5.456B,971.59M,,971.59M,,,,,,6.329B,3.222B,,24.16M,10.55B,20.08B,,1.423M,493.27M,2.790B,36.04M,,306.66M,3.555B,,AOR,Restated
