,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,106.00M,,-0.50M,-3.60M,-4.10M,30.00M,30.00M,13.50M,,9.60M,41.20M,484.30M,73.60M,-202.30M,-271.90M,-75.70M,,-16.50M,,-16.50M,,113.00M,-3.40M,79.10M,,1.092B,,1.092B,,-7.00M,-7.00M,276.40M,,276.40M,-29.70M,0.00,-29.70M,11.90M,1.344B,,996.80M,1.347B,-2.20M,2.342B,,276.40M,1.442B,-350.00M,-7.00M,,AOR,Restated
2017-12,,,,,,,,,,,,,,,,164.00M,,-18.70M,,7.50M,-1.70M,-286.70M,2.90M,-299.20M,,293.10M,,293.10M,,-132.10M,-132.10M,0.00,,0.00,-30.20M,0.00,-30.20M,12.20M,143.00M,,992.80M,7.80M,-3.80M,996.80M,,0.00,514.20M,-221.10M,-132.10M,,AOR,Restated
2017-09,,,,,,,,,,,,,,,,366.70M,,-12.30M,,-12.30M,0.00,-214.90M,2.60M,-245.70M,,88.70M,,88.70M,,-38.20M,-38.20M,0.00,,0.00,-28.80M,0.00,-28.80M,0.90M,22.60M,,848.20M,143.60M,1.00M,992.80M,,0.00,88.70M,0.00,-38.20M,,AOR,Restated
2017-06,,,,,,,,,,,,,,,,-24.50M,,-16.30M,,-16.30M,0.00,73.60M,23.90M,62.50M,,69.00M,,69.00M,,-113.50M,-113.50M,,,,-30.30M,,-30.30M,10.20M,-64.60M,,874.50M,-26.60M,0.30M,848.20M,,,69.00M,,-113.50M,,AOR,Restated
2017-03,,,,,,,,,,,,,,,,24.20M,,-14.80M,,-14.80M,-127.40M,89.40M,-24.70M,-58.80M,,,,,,-105.10M,-105.10M,,,,-29.70M,,-29.70M,7.10M,-127.70M,,1.032B,-162.30M,4.80M,874.50M,,,,,-105.10M,,AOR,Restated
2016-12,,,,,,,,,,,,,,,,176.60M,,-18.40M,,-18.40M,0.00,140.80M,2.60M,94.30M,,-123.00M,,-123.00M,,-188.80M,-188.80M,,,,-30.30M,,-30.30M,-2.90M,-345.00M,,1.117B,-74.10M,-10.60M,1.032B,,,0.00,-123.00M,-188.80M,,AOR,Restated
2016-09,,,,,,,,,,,,,,,,255.80M,,-19.10M,,-19.10M,-27.40M,-92.20M,0.40M,-114.30M,,-0.10M,,-0.10M,,-228.70M,-228.70M,,,,-30.00M,,-30.00M,4.40M,-254.40M,,1.233B,-112.90M,-3.10M,1.117B,,,-0.10M,0.00,-228.70M,,AOR,Restated
2016-06,,,,,,,,,,,,,,,,22.20M,,-24.90M,,-24.90M,-65.90M,-558.60M,0.90M,-387.40M,,-249.90M,,-249.90M,,-199.80M,-199.80M,,,,-32.60M,,-32.60M,21.20M,-461.10M,,2.061B,-826.20M,-1.90M,1.233B,,,0.10M,-250.00M,-199.80M,,AOR,Restated
2016-03,,,,,,,,,,,,,,,,-346.00M,,-22.80M,,-22.80M,904.00M,232.10M,1.20M,1.133B,,249.60M,,249.60M,,-245.80M,-245.80M,,,,-32.40M,,-32.40M,8.80M,-19.80M,,1.288B,773.00M,-0.50M,2.061B,,,249.60M,,-245.80M,,AOR,Restated
2015-12,,,,,,,,,,,,,,,,-299.57M,,-25.47M,-3.394M,-28.86M,-15.16M,105.30M,58.55M,193.93M,,,,,,-74.23M,-74.23M,,,,-33.29M,,-33.29M,-74.50M,-137.07M,,1.544B,-234.84M,-20.74M,1.288B,,,,,-74.23M,,AOR,Restated
2015-09,,,,,,,,,,,,,,,,360.58M,,-27.18M,-0.013M,-27.20M,-4.816M,-25.12M,44.26M,14.62M,,,,,,-30.92M,-30.92M,,,,-20.46M,,-20.46M,0.687M,-94.94M,,1.297B,266.48M,-19.98M,1.544B,,,,,-30.92M,,AOR,Restated
2015-06,,,,,,,,,,,,,,,,346.56M,,-40.09M,3.397M,-36.70M,-11.57M,60.50M,-2.049M,1.735M,,0.00,,0.00,,-103.42M,-103.42M,,,,-21.62M,,-21.62M,-3.047M,-126.04M,,1.065B,225.47M,6.798M,1.297B,,,0.00,0.00,-103.42M,,AOR,Restated
2015-03,,,,,,,,,,,,,,,,-177.67M,,-22.16M,0.01M,-22.15M,64.54M,-2.38M,2.746M,54.02M,,0.00,,0.00,,-84.33M,-84.33M,,,,-18.83M,,-18.83M,1.559M,-104.35M,,1.319B,-231.21M,-22.28M,1.065B,,,0.00,,-84.33M,,AOR,Restated
2014-12,,,,,,,,,,,,,,,,-120.85M,,-24.72M,-0.173M,-24.90M,-40.09M,317.76M,-21.28M,207.42M,,0.00,,0.00,,-99.32M,-99.32M,,,,-19.11M,,-19.11M,1.293M,-117.90M,,1.411B,-83.24M,-9.366M,1.319B,,,,0.00,-99.32M,,AOR,Restated
2014-09,,,,,,,,,,,,,,,,252.90M,,-28.01M,0.045M,-27.97M,-28.61M,-113.03M,-0.757M,-178.12M,,0.00,,0.00,,-34.01M,-34.01M,,,,-19.45M,,-19.45M,0.205M,-52.50M,,1.399B,22.28M,-9.882M,1.411B,,,,0.00,-34.01M,,AOR,Restated
2014-06,,,,,,,,,,,,,,,,134.59M,,-17.76M,0.128M,-17.63M,-59.54M,289.80M,0.78M,225.73M,,0.00,,0.00,,-55.75M,-55.75M,,,,-20.75M,,-20.75M,5.673M,-71.61M,,1.106B,288.71M,4.247M,1.399B,,,,0.00,-55.75M,,AOR,Restated
2014-03,,,,,,,,,,,,,,,,127.18M,,-13.10M,0.00,-13.10M,-20.95M,-184.84M,-0.791M,-191.14M,,-467.33M,,-467.33M,,-26.11M,-26.11M,,,,-18.18M,,-18.18M,-23.36M,-534.19M,,1.717B,-598.15M,-13.12M,1.106B,,,,-467.33M,-26.11M,,AOR,Restated
2013-12,,,,,,,,,,,,,,,,303.52M,,-18.81M,1.268M,-17.54M,-223.30M,507.43M,0.555M,248.85M,,-1.324M,,-1.324M,,-93.39M,-93.39M,,,,-18.35M,,-18.35M,0.612M,-113.01M,,1.287B,439.37M,-8.883M,1.717B,,,0.00,-1.324M,-93.39M,,AOR,Restated
2013-09,,,,,,,,,,,,,,,,450.38M,,-11.62M,0.115M,-11.50M,-49.99M,-235.62M,0.238M,-297.99M,,-8.59M,,-8.59M,,-106.50M,-106.50M,,,,-18.83M,,-18.83M,0.369M,-133.79M,,1.270B,18.60M,-2.293M,1.287B,,,0.00,-8.59M,-106.50M,,AOR,Restated
2013-06,,,,,,,,,,,,,,,,221.98M,,-10.19M,-0.003M,-10.19M,0.00,-336.61M,-1.388M,-325.09M,,-23.72M,,-23.72M,,-186.51M,-186.51M,,,,-20.16M,,-20.16M,2.319M,-226.68M,,1.605B,-329.78M,-4.445M,1.270B,,,0.00,-23.72M,-186.51M,,AOR,Restated
2013-03,,,,,,,,,,,,,,,,51.68M,,-11.71M,0.042M,-11.67M,0.00,-27.20M,0.103M,-18.51M,,698.09M,,698.09M,,-6.617M,-6.617M,,,,-16.79M,,-16.79M,-4.412M,670.17M,,909.40M,703.34M,-8.121M,1.605B,,,698.09M,0.00,-6.617M,,AOR,Restated
2012-12,,,,,,,,,,,,,,,,250.54M,,-16.42M,-0.078M,-16.49M,1.364M,-330.40M,-0.69M,-351.59M,,0.00,,0.00,,-41.73M,-41.73M,,,,-16.76M,,-16.76M,-0.736M,-58.53M,,1.073B,-159.59M,-3.516M,909.40M,,,0.00,0.00,-41.73M,,AOR,Restated
2012-09,,,,,,,,,,,,,,,,244.65M,,-17.68M,0.647M,-17.03M,0.00,-134.36M,0.591M,-149.71M,,0.00,,0.00,,-111.77M,-111.77M,,,,-17.28M,,-17.28M,0.077M,-129.57M,,1.107B,-34.63M,0.146M,1.073B,,,0.00,0.00,-111.77M,,AOR,Restated
2012-06,,,,,,,,,,,,,,,,183.49M,,-15.24M,-0.005M,-15.24M,-3.50M,41.57M,-0.325M,32.84M,,0.00,,0.00,,-155.07M,-155.07M,,,,-19.41M,,-19.41M,3.913M,-170.24M,,1.065B,46.10M,-3.918M,1.107B,,,0.00,0.00,-155.07M,,AOR,Restated
2012-03,,,,,,,,,,,,,,,,1.021M,,-7.126M,1.811M,-5.315M,,27.20M,1.204M,18.58M,,0.00,,0.00,,-103.63M,-103.63M,,,,-15.94M,,-15.94M,-1.526M,-122.30M,,1.167B,-102.70M,0.805M,1.065B,,,0.00,,-103.63M,,AOR,Restated
2011-12,,,,,,,,,,,,,,,,345.61M,,-10.59M,1.258M,-9.336M,0.00,-77.53M,,-51.13M,,26.48M,,26.48M,,-168.90M,-168.90M,,0.00,0.00,,,-16.53M,-0.393M,-186.69M,,1.060B,107.79M,-0.603M,1.167B,,,,,-168.90M,,AOR,Restated
2011-09,,,,,,,,,,,,,,,,185.94M,,-8.112M,-0.623M,-8.735M,0.00,-154.37M,,-162.26M,,3.324M,,3.324M,,-78.15M,-78.15M,,0.00,0.00,,,-17.18M,0.495M,-91.51M,,1.135B,-67.84M,-7.74M,1.060B,,,,,-78.15M,,AOR,Restated
2011-06,,,,,,,,,,,,,,,,140.12M,,-10.83M,3.154M,-7.674M,-45.08M,235.68M,,183.26M,,2.605M,,2.605M,,-111.20M,-111.20M,,0.00,0.00,,,-17.56M,-1.426M,-127.58M,,940.43M,195.80M,-1.14M,1.135B,,,,,-111.20M,,AOR,Restated
2011-03,,,,,,,,,,,,,,,,183.63M,,-6.213M,0.034M,-6.179M,,-160.59M,,-166.45M,,-32.41M,,-32.41M,,-175.59M,-175.59M,,-5.00M,-5.00M,,,-16.12M,-1.943M,-231.07M,,1.151B,-213.89M,3.812M,940.43M,,,,,-180.59M,,AOR,Restated
2010-12,,,,,,,,,,,,,,,,75.28M,,-9.111M,0.262M,-8.849M,7.162M,185.10M,-35.47M,91.61M,,85.03M,,85.03M,,-153.39M,-153.39M,,-3.16M,-3.16M,,,-16.92M,-97.48M,-185.92M,,1.168B,-19.02M,1.232M,1.151B,,,,,-156.55M,,AOR,Restated
2010-09,,,,,,,,,,,,,,,,147.18M,,-14.27M,0.072M,-14.20M,-0.427M,91.07M,-0.49M,87.36M,,0.49M,,0.49M,,-56.34M,-56.34M,,0.00,0.00,,,-17.24M,-0.175M,-73.27M,,1.004B,161.27M,3.31M,1.168B,,,,,-56.34M,,AOR,
2010-06,,,,,,,,,,,,,,,,196.39M,,-14.64M,0.005M,-14.63M,-5.503M,101.61M,8.681M,119.13M,,-8.681M,,-8.681M,,-212.48M,-212.48M,,0.00,0.00,,,-17.88M,-2.562M,-241.59M,,932.54M,73.92M,-2.743M,1.004B,,,,,-212.48M,,AOR,Restated
2010-03,,,,,,,,,,,,,,,,121.89M,,-13.20M,0.041M,-13.16M,-1.232M,-385.76M,76.84M,-306.98M,,-76.84M,,-76.84M,,-100.34M,-100.34M,,0.00,0.00,,,-17.59M,-3.928M,-198.70M,,1.319B,-383.78M,-2.228M,932.54M,,,,,-100.34M,,AOR,Restated
2009-12,,,,,,,,,,,,,,,,56.89M,,-17.52M,1.235M,-16.28M,8.123M,33.43M,-22.99M,19.38M,,-36.23M,,-36.23M,,0.00,0.00,,0.00,0.00,,,-17.64M,59.14M,5.277M,,1.236B,81.54M,1.158M,1.319B,,,,,0.00,,AOR,Restated
2009-09,,,,,,,,,,,,,,,,386.80M,,-10.30M,0.027M,-10.28M,-3.20M,79.36M,27.49M,116.16M,,31.73M,,31.73M,,-31.95M,-31.95M,,0.00,0.00,,,-17.70M,-59.40M,-77.32M,,809.18M,425.64M,1.031M,1.236B,,,,,-31.95M,,AOR,Restated
2009-06,,,,,,,,,,,,,,,,90.81M,,-14.78M,0.149M,-14.63M,0.00,54.74M,-22.16M,41.08M,,22.16M,,22.16M,,0.00,0.00,,0.00,0.00,,,-17.77M,-0.877M,3.51M,,664.34M,135.41M,9.436M,809.18M,,,,,0.00,,AOR,Restated
2009-03,,,,,,,,,,,,,,,,-264.57M,,-13.29M,0.137M,-13.15M,0.00,-86.96M,53.89M,-35.16M,,-53.89M,,-53.89M,,0.00,0.00,,-3.00M,-3.00M,,,-16.49M,-0.655M,-74.03M,,1.041B,-373.76M,-2.587M,664.34M,,,,,-3.00M,,AOR,Restated
2008-12,,,,,,,,,,,,,,,,184.76M,,-18.68M,0.359M,-18.32M,-222.71M,92.47M,92.42M,-66.19M,,-99.46M,,-99.46M,,0.00,0.00,,0.00,0.00,,,-16.47M,-0.055M,-115.98M,,1.054B,2.599M,-15.59M,1.041B,,,,,0.00,,AOR,Restated
2008-09,,,,,,,,,,,,,,,,380.71M,,-8.59M,-0.181M,-8.771M,-142.69M,-26.00M,148.48M,-46.79M,,-154.94M,,-154.94M,,-59.00M,-59.00M,,0.00,0.00,,,-16.46M,0.517M,-229.89M,,956.60M,104.04M,-6.96M,1.054B,,,,,-59.00M,,AOR,Restated
2008-06,,,,,,,,,,,,,,,,-16.53M,,-13.34M,-0.69M,-14.03M,31.85M,-40.53M,10.44M,-26.12M,,-10.44M,,-10.44M,,,,,0.00,0.00,,,-16.57M,4.621M,-22.39M,,1.021B,-65.04M,1.05M,956.60M,,,,,0.00,,AOR,Restated
2008-03,,,,,,,,,,,,,,,,450.19M,,-15.46M,1.251M,-14.20M,,-158.19M,20.30M,-189.91M,,-20.30M,,-20.30M,,,,,-10.00M,-10.00M,,,-14.17M,0.599M,-43.88M,,804.96M,216.40M,-0.774M,1.021B,,,,,-10.00M,,AOR,Restated
2007-12,,,,,,,,,,,,,,,,366.72M,,-18.92M,1.285M,-17.64M,-60.90M,-262.06M,113.21M,-252.42M,,-113.21M,0.00,-113.21M,,0.00,0.00,,0.00,0.00,,,-14.16M,1.91M,-125.46M,,815.15M,-11.16M,0.98M,804.96M,,,0.00,0.00,0.00,,AOR,Restated
2007-09,,,,,,,,,,,,,,,,320.68M,,-6.33M,-1.156M,-7.486M,-101.09M,-221.09M,-25.60M,-404.32M,,25.60M,0.00,25.60M,,-124.88M,-124.88M,,-1.00M,-1.00M,,,-14.15M,0.097M,-114.33M,,1.010B,-197.97M,3.049M,815.15M,,,0.00,0.00,-125.88M,,AOR,Restated
2007-06,,,,,,,,,,,,,,,,345.56M,,-17.27M,0.07M,-17.20M,0.00,129.59M,-53.13M,-28.70M,,53.13M,-0.021M,53.11M,,-115.69M,-115.69M,,0.00,0.00,,,-14.50M,5.934M,-71.14M,,759.84M,245.73M,4.508M,1.010B,,,19.98M,-20.00M,-115.69M,,AOR,Restated
2007-03,,,,,,,,,,,,,,,,170.59M,,-16.15M,1.186M,-14.96M,,-298.00M,-210.17M,-523.14M,,210.17M,-0.021M,210.15M,,-75.00M,-75.00M,,,0.00,,,-12.23M,1.44M,124.36M,,987.67M,-228.19M,0.356M,759.84M,,,19.98M,-20.00M,-75.00M,,AOR,Restated
2006-12,252.51M,,,,,,,,,,126.50M,,,,,308.73M,,-41.90M,170.02M,128.12M,-95.03M,-669.95M,1.079B,442.40M,,-296.65M,0.00,-296.65M,,-103.99M,-103.99M,,,-1.00M,,,-12.32M,1.684M,-412.27M,,647.14M,338.86M,1.676M,987.67M,,,-111.94M,60.00M,-105.99M,,AOR,Restated
2006-09,151.30M,,,,,,,,,,155.98M,,,,,307.28M,,-9.113M,0.032M,-9.081M,0.00,-583.35M,376.96M,-215.47M,,56.67M,-0.021M,56.65M,,-154.97M,-154.97M,,,0.00,,,-12.57M,0.202M,-110.69M,,663.50M,-18.88M,2.519M,647.14M,,,91.96M,-35.32M,-154.97M,,AOR,Restated
2006-06,313.61M,,,,,,,,,,-9.349M,,,,,247.26M,,-11.43M,-0.273M,-11.71M,47.51M,-150.98M,-74.64M,-189.81M,,62.74M,-0.02M,62.72M,,-101.63M,-101.63M,,,0.00,,,-12.86M,0.571M,-51.20M,,650.70M,6.244M,6.552M,663.50M,,,59.94M,-64.68M,-101.63M,,AOR,Restated
2006-03,,,,,,,,,,,,,,,,57.00M,,-12.26M,1.632M,-10.63M,,290.78M,-401.78M,-121.63M,,-67.46M,-0.018M,-67.48M,,-61.86M,-61.86M,,,-1.00M,,,-10.41M,0.104M,-140.65M,,855.57M,-205.28M,0.414M,650.70M,,,19.98M,-20.00M,-61.86M,,AOR,Restated
2005-12,137.05M,,,,,,,,,,390.84M,,,,,289.29M,,-19.74M,13.93M,-5.812M,0.00,-800.04M,755.25M,-50.61M,,76.35M,-0.064M,76.29M,-4.732M,-83.54M,-88.27M,,,0.00,,,-10.47M,,-22.46M,,641.27M,216.22M,-1.923M,855.57M,,-4.732M,-54.95M,55.90M,-83.54M,,AOR,Restated
2005-09,100.29M,,,,,,,,,,322.56M,,,,,422.85M,,-14.49M,0.208M,-14.28M,,-123.73M,47.63M,-90.38M,,-47.63M,-0.074M,-47.70M,2.587M,-134.64M,-132.05M,,,0.00,,,-10.78M,,-190.53M,,500.77M,141.94M,-1.439M,641.27M,,2.587M,103.20M,-150.90M,-134.64M,,AOR,Restated
2005-06,127.62M,,,,,,,,,,-10.16M,,,,,117.46M,,-8.206M,0.059M,-8.147M,0.00,23.07M,18.38M,33.30M,,-18.38M,0.00,-18.38M,0.445M,-96.09M,-95.65M,,,0.00,,,-11.00M,,-125.03M,,475.03M,25.74M,,500.77M,,0.445M,-18.38M,0.00,-96.09M,,AOR,Restated
2005-03,114.40M,,,,,,,,,,-37.70M,,,,,76.70M,,-13.62M,0.029M,-13.59M,,-362.42M,-64.99M,-441.00M,,64.99M,-0.041M,64.95M,1.70M,-24.60M,-22.90M,,,,,,-9.795M,,32.25M,,807.08M,-332.05M,,475.03M,,1.70M,104.95M,-40.00M,-24.60M,,AOR,Restated
2004-12,86.13M,,,,,,,,,,-702.00M,,,,,241.58M,,-15.84M,-0.873M,-16.72M,-3.536M,-62.69M,-9.356M,-92.30M,,-4.114M,0.029M,-4.085M,0.00,-223.82M,-223.82M,,196.22M,196.22M,,,-9.789M,,-41.47M,,692.37M,107.81M,,807.08M,,0.00,35.92M,-40.00M,-27.59M,,AOR,Restated
2004-09,264.43M,,,,,,,,,,308.94M,,,,,260.01M,,-10.43M,-0.318M,-10.74M,0.00,-120.57M,-0.389M,-131.71M,,0.39M,-0.029M,0.361M,0.00,-35.24M,-35.24M,,0.00,0.00,,,-9.928M,,-44.80M,,608.87M,83.50M,,692.37M,,0.00,60.36M,-60.00M,-35.24M,,AOR,Restated
2004-06,,,,,,,,,,,,,,,,136.02M,,-11.87M,1.191M,-10.68M,3.536M,-82.86M,64.68M,-25.32M,,-64.68M,,-64.68M,-0.252M,-0.797M,-1.049M,,0.00,0.00,,,-9.959M,,-75.69M,,573.86M,35.01M,,608.87M,,-0.252M,-64.68M,0.00,-0.797M,,AOR,Restated
2004-03,,,,,,,,,,,,,,,,177.34M,,-13.31M,,-13.31M,,-299.42M,-182.90M,-495.63M,,-595.56M,,-595.56M,725.74M,0.00,725.74M,,-196.22M,-196.22M,,,0.00,,-66.04M,,958.20M,-384.34M,,573.86M,,725.74M,1.154B,-1.75B,-196.22M,,AOR,Restated
2003-12,,,,,,,,,,,,,,,,109.62M,,1.047M,-14.34M,-13.30M,,1.859B,-2.042B,-195.70M,,1.75B,,1.75B,,,,,-1.250B,-1.250B,,,0.00,-0.248M,499.90M,,544.36M,413.83M,,958.20M,,,2.475B,-724.99M,-1.250B,,AOR,Restated
2003-09,,,,,,,,,,,,,,,,253.67M,,-82.80M,17.33M,-65.47M,,-1.143B,1.080B,-128.60M,,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,,-21.05M,-0.199M,-21.25M,,440.55M,103.82M,,544.36M,,0.00,0.00,0.00,0.00,,AOR,
2003-06,,,,,,,,,,,,,,,,106.34M,,16.55M,-3.44M,13.11M,,-262.83M,-15.14M,-264.87M,,0.00,,0.00,0.00,0.00,0.00,,0.00,0.00,,,-139.31M,-0.253M,-139.56M,,738.64M,-298.09M,,440.55M,,0.00,0.00,0.00,0.00,,AOR,
2003-03,,,,,,,,,,,,,,,,271.60M,,-16.55M,3.44M,-13.11M,,-124.10M,15.14M,-122.07M,,0.00,,0.00,0.00,,0.00,,-0.50M,-0.50M,,,-20.82M,-0.263M,-21.59M,,610.69M,127.94M,,738.64M,,0.00,0.00,0.00,-0.50M,,AOR,
